Although ^cs+con+++=Although
and ^cc++++=and
left ^nn+++xvbn+=left
it ^pp3+it+++=it
unlocked ^vbd+++xvbn+=unlocked,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wittaker ^np+nom+++=Wittaker.
. ^zz++++=EXTRAWORD
" ^zz++++="Exactly!"
exactly ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^cs+sub+++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
thing ^nn++++=thing
we ^pp1a+pp1+++=we
thought ^vbd+++xvbn+=thought
was ^vbd+bedz+vrb++=was
' ^zz++++='Burglars!'
burglars ^nns+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
first ^od++++=first
place ^nn++++=place
my ^pp$+pp1+++=my
wife ^nn++++=wife
looked ^vbd+++xvbn+=looked
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sideboard ^nn++++=sideboard,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
dining ^jj+++xvbg+=dining-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wittaker ^np+nom+++=Wittaker.
. ^zz++++=EXTRAWORD
" ^zz++++="There,
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
sideboard ^nn++++=sideboard,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
a ^at++++=a
dozen ^cd++++=dozen
solid ^jj+atrb+++=solid
silver ^nn++++=silver
spoons ^nns++++=spoons
you ^pp2+pp2+++=you
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
marked ^vpsv++agls+xvbn+=marked
with ^in++++=with
my ^pp$+pp1+++=my
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
initials ^nns+nom+++=initials--understand!"
-- ^--+clp+++=EXTRAWORD
understand ^vb+vprv+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
cellar ^nn++++=cellar
window ^nn++++=window--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
one ^pn++++=one
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
house ^nn++++=house--had
-- ^--+clp+++=EXTRAWORD
had ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
broken ^vpsv++agls+xvbnx+=broken
out ^rb+phrv+++=out
of ^in+ppvb+++=of."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
not ^xnot++not++=not
broken ^vbd+++xvbn+=broken
into ^in+ppvb+++=into?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
Marshal ^nn++++=Marshal.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
quite ^rb++++=quite
a ^at++++=a
fool ^nn++++=fool,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom
with ^in++++=with
some ^dti++++=some
heat ^nn++++=heat.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
because ^cs+cos+++=because
of ^in"++++=of
the ^ati++++=the
marks ^nns++++=marks
his ^pp$+pp3+++=his
jimmy ^nn++++=jimmy
made ^vbd+++xvbn+=made
on ^in++++=on
the ^ati++++=the
sill ^nn++++=sill."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
one ^cd1++++=one
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
playing ^vbg+++xvbgx+=playing
a ^at++++=a
joke ^nn++++=joke
on ^in++++=on
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wittaker ^np+nom+++=Wittaker.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
wait ^vb++++=wait,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
offended ^vpsv++agls+xvbnx+=offended
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
ask ^vb++++=ask
you ^pp2+pp2+++=you
a ^at++++=a
question ^nn+nom+++=question?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
wife ^nn++++=wife
knows ^vbz+vprv+++=knows
no ^at++++=no
more ^rbr++++=more
about ^in++++=about
it ^pp3+it+++=it
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom
hotly ^rb++++=hotly.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wittaker ^np+nom+++=Wittaker
soothingly ^jj++++=soothingly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+tht0++=mean
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
your ^pp$+pp2+++=your
own ^ap++++=own
spoons ^nns++++=spoons,
, ^zz++++=EXTRAWORD
solid ^jj++++=solid
or ^cc+phrs+++=or
plated ^jj+++xvbn+=plated?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Plated,"
plated ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wittaker ^np+nom+++=Wittaker,
, ^zz++++=EXTRAWORD
" ^zz++++="there's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
where ^wrb+who+++=where
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
the ^ati++++=the
joke ^nn++++=joke.
. ^zz++++=EXTRAWORD
Try ^vb++++=Try
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
who ^whp+who+++=who
would ^md+prd+++=would
consider ^nn+nom+++=consider
it ^pp3+it+++=it
a ^at++++=a
joke ^nn++++=joke
to ^to++++=to
send ^vbi++++=send
you ^pp2+pp2+++=you
solid ^jj+atrb+++=solid
silver ^nn++++=silver
spoons ^nns++++=spoons."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Billy
billy ^np++++=EXTRAWORD
Getz ^np+++??+=Getz!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom,
, ^zz++++=EXTRAWORD
mentioning ^vbg+vpub++xvbg+=mentioning
the ^ati++++=the
town ^nn++++=town
joker ^nn++++=joker.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
in ^in++++=in
mind ^nn++++=mind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wittaker ^np+nom+++=Wittaker.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
you ^pp2+pp2+++=you
can ^md+pos+++=can
handle ^vb++++=handle
this ^dt+dem+++=this
alone ^jj++++=alone,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
I ^pp1a+pp1+++=I
can ^md+pos+++=can,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
agreed ^vwbn+vpub++xvbn+=agreed
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Marshal ^nn++++=Marshal
chuckled ^vbd+++xvbn+=chuckled.
. ^zz++++=EXTRAWORD
" ^zz++++="Un-burgled!"
un ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
burgled ^vwbn+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
one ^pn++++=one
for ^in++++=for
sure ^jj++++=sure!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
burglary ^nn+nom+++=burglary
to ^to++++=to
set ^vbi++++=set
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb,
, ^zz++++=EXTRAWORD
the ^ati++++=the
un ^np++++=un-detective,
- ^zz++++=EXTRAWORD
detective ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
grinning ^vbg+++xvbgx+=grinning
as ^ql++++=as
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
hide ^vbi++++=hide
the ^ati++++=the
grin ^nn++++=grin
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
Billy ^np++++=Billy
Getz ^np+++??+=Getz
on ^in++++=on
Main ^jjb+atrb+++=Main
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
uttered ^vwbn+++xvbn+=uttered
a ^at++++=a
hasty ^jj++++=hasty
" ^zz++++="Can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
stop ^vb++++=stop
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
Wittaker ^np+nom++??+=Wittaker!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
Riverbank ^np+++??+=Riverbank
police ^nns++++=police
grasped ^vwbn+vprv++xvbn+=grasped
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
rush ^nn++++=rush?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
some ^dti++++=some
fun ^nn++++=fun
for ^in++++=for
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wittaker ^np+nom++??+=Wittaker.
. ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
other ^ap++++=other
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
just ^rb+emph+++=just
borrowed ^vbd+++xvbn+=borrowed
this ^dt+dem+++=this
from ^in++++=from
Doc ^np++++=Doc
Mortimer ^np+nom+++=Mortimer
and ^cc++++=and
promised ^vb+++xvbn+=promised
to ^to+vcmp+++=to
take ^vbi++++=take
it ^pp3+it+++=it
back ^jjb++++=back
quick ^jj++++=quick."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
Marshal ^nn++++=Marshal,
, ^zz++++=EXTRAWORD
gazing ^vbg+++xvbg+=gazing
at ^in++++=at
the ^ati++++=the
curious ^jj+atrb+++=curious
affair ^nn++++=affair
Billy ^np++++=Billy
had ^vb+hv+vrb++=had
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
looked ^vbd+++xvbn+=looked
very ^ql+amp+++=very
much ^ap++++=much
like ^in++++=like
a ^at++++=a
coffeepot ^nn+++??+=coffeepot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
lid ^nn++++=lid
was ^vbd+bedz+vrb++=was
a ^at++++=a
wheel ^nn++++=wheel,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
small ^jj+atrb+++=small
tin ^nn++++=tin
windmill ^np++++=windmill.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
below ^in+pl+++=below
the ^ati++++=the
lid ^nn++++=lid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
above ^jjb++++=above
the ^ati++++=the
spout ^nn++++=spout,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
hole ^nn++++=hole
as ^ql++++=as
large ^jj++++=large
as ^in++++=as
a ^at++++=a
dime ^nn+++??+=dime.
. ^zz++++=EXTRAWORD
" ^zz++++="Lung-tester,"
lung ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
tester ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
pull ^vbi++++=pull
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
go ^vb++++=go,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Wittaker ^np+nom++??+=Wittaker?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
in ^in++++=in
a ^at++++=a
hurry ^nn++++=hurry.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
borrowed ^vbd+++xvbn+=borrowed
it ^pp3+it+++=it
to ^to++++=to
settle ^vbi++++=settle
a ^at++++=a
bet ^nn+++xvbn+=bet
with ^in++++=with
Sam ^nn++++=Sam
Simmons ^np++++=Simmons.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
show ^vb+vprv+++=show
two ^cd++++=two
pounds ^nns++++=pounds
more ^rbr++++=more
lung ^nn++++=lung
pressure ^nn++++=pressure
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
pounds ^nns++++=pounds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You?"
you ^pp2+pp2+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
scoffed ^vbd+++xvbn+=scoffed
Wittaker ^np+nom++??+=Wittaker.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
bet ^vbd+vpub+tht0+xvbnx+=bet
I ^pp1a+pp1+++=I
can ^md+pos+++=can
show ^vb+vprv+++=show
twenty ^cd++++=twenty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can
show ^vb+vprv+++=show
twenty ^cd++++=twenty-six."
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
away ^rb+phrv+++=away
until ^cs+sub+++=until
baby ^nn++++=baby
tries ^vbz++++=tries
the ^ati++++=the
new ^jj+atrb+++=new
toy ^nn++++=toy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
hurry ^nn++++=hurry
up ^rp++++=up,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Marshal ^npt++++=Marshal
put ^vbd+++xvbn+=put
his ^pp$+pp3+++=his
lips ^nns++++=lips
to ^in++++=to
the ^ati++++=the
spout ^nn++++=spout
and ^cc++++=and
blew ^vbd+++xvbn+=blew.
. ^zz++++=EXTRAWORD
Instantly ^rb+cnj+++=Instantly,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
hole ^nn++++=hole
under ^in++++=under
the ^ati++++=the
lid ^nn++++=lid,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
cloud ^nn++++=cloud
of ^in++++=of
flour ^nn++++=flour
shot ^vbd+++xvbn+=shot
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
covering ^vbg+++xvbg+=covering
his ^pp$+pp3+++=his
face ^nn++++=face
and ^cc++++=and
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deluging ^vbg+++xvbg+=deluging
his ^pp$+pp3+++=his
garments ^nns+nom+++=garments.
. ^zz++++=EXTRAWORD
From ^in++++=From
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
street ^nn++++=street
came ^vbd+++xvbn+=came
shouts ^nns++++=shouts
of ^in++++=of
joy ^nn++++=joy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Marshal ^nn++++=Marshal,
, ^zz++++=EXTRAWORD
brushing ^vbg+++xvbg+=brushing
at ^rb++++=at
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
grinned ^j+++xvbn+=grinned.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^pn++++=EXTRAWORD
on ^in++++=on
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
good ^jj++++=good-naturedly,
- ^zz++++=EXTRAWORD
naturedly ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
patting ^vbg+++xvbg+=patting
the ^ati++++=the
flour ^nn++++=flour
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
just ^rb+emph+++=just
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
to ^to++++=to
put ^vbi++++=put
you ^pp2+pp2+++=you
onto ^in++++=onto
some ^dti++++=some
fun ^nn++++=fun,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
about ^in++++=about
the ^ati++++=the
Griscom ^np+++??+=Griscom
un ^np++++=un-burglary?"
- ^zz++++=EXTRAWORD
burglary ^nn+nom+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
thing ^nn++++=thing!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Billy ^np++++=Billy
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
expect ^vb+vprv+tht0++=expect
you ^pp2+pp2+++=you
would ^md+prd+++=would
know ^vb+vprv+++=know
anything ^pn++++=anything
about ^in++++=about
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Marshal ^nn++++=Marshal
with ^in++++=with
a ^at++++=a
wink ^nn++++=wink.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
how ^wrb+who+++=how
about ^in++++=about
putting ^xvbg+++xvbg+=putting
Correspondence ^nn+nom+++=Correspondence
School ^nn++++=School
Detective ^nn++++=Detective
Gubb ^np+++??+=Gubb
onto ^in++++=onto
the ^ati++++=the
job ^nn++++=job?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fine!"
fine ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
the ^ati++++=the
un ^np++++=un-burgled
- ^zz++++=EXTRAWORD
burgled ^jj+++xvbn+=EXTRAWORD
Griscom ^np+++??+=Griscom
thing ^nn++++=thing
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
the ^ati++++=the
rest ^nn++++=rest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Billy ^np++++=Billy
found ^vbd+vprv++xvbn+=found
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
at ^rb++++=at
work ^nn++++=work
in ^in++++=in
the ^ati++++=the
house ^npl++++=house
on ^in++++=on
Tenth ^od++++=Tenth
Street ^npl++++=Street,
, ^zz++++=EXTRAWORD
hanging ^vbg+++xvbg+=hanging
paper ^nn++++=paper
on ^in++++=on
the ^ati++++=the
second ^od++++=second
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lank ^nn+++??+=lank
detective ^nn++++=detective
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Billy ^np++++=Billy
solemnly ^rb++++=solemnly
as ^in++++=as
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
the ^ati++++=the
Griscom ^np+++??+=Griscom
affair ^nn++++=affair
was ^vbd+bedz+aux++=was
explained ^vpsv++agls+xvbnx+=explained
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
started ^vbd+++xvbnx+=started
in ^in++++=in
takin ^nn+++??+=takin'
' ^zz++++=EXTRAWORD
lessons ^nns++++=lessons
from ^in++++=from
the ^ati++++=the
Rising ^jj+atrb++xvbg+=Rising
Sun ^nn++++=Sun
Deteckative ^np+++??+=Deteckative
Agency ^np++++=Agency's
's ^$++++=EXTRAWORD
Correspondence ^nn+nom+++=Correspondence
School ^nn++++=School
of ^in++++=of
Deteckating ^np+++??+=Deteckating,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
solemnly ^rb+cnj+++=solemnly,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
