Some ^dti++++=Some
Williams ^np++++=Williams
could ^md+pos+++=could
imagine ^vb+vprv+++=imagine.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
it ^pp3+it+++=it
over ^rb++++=over
with ^in++++=with
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
contempt ^nn++++=contempt;
; ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
back ^jjb++++=back
was ^vbd+bedz+vrb++=was
a ^at++++=a
paper ^nn++++=paper
label ^nn++++=label,
, ^zz++++=EXTRAWORD
the ^ati++++=the
left ^vbd+++xvbn+=left-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
half ^nn++++=half
of ^in++++=of
which ^whp+rel+pied++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
torn ^vpsv++agls+xvbnx+=torn
off ^rb+phrv+++=off.
. ^zz++++=EXTRAWORD
All ^abn++++=All
that ^dt+dem+++=that
remained ^jj+++xvbn+=remained
were ^vbd+bed+vrb++=were
the ^ati++++=the
ends ^nns++++=ends
of ^in++++=of
two ^cd++++=two
lines ^nns++++=lines
of ^in++++=of
writing ^xvbg+++xvbg+=writing:
: ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
had ^vb+hv+vrb++=had
the ^ati++++=the
letters ^nns+nom+++=letters
-- ^--+clp+++=--ngley
ngley ^nn+++??+=EXTRAWORD
Hall ^npl++++=Hall;
; ^zz++++=EXTRAWORD
the ^ati++++=the
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
-- ^--+clp+++=--ssex.
ssex ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
just ^rb+emph+++=just
worth ^in++++=worth
while ^cs+sub+++=while
to ^to++++=to
identify ^vbi++++=identify
the ^ati++++=the
place ^nn++++=place
represented ^vbd+++xvbn+=represented,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
could ^md+pos+++=could
easily ^rb++++=easily
do ^vb+do+vrb++=do
with ^in++++=with
the ^ati++++=the
help ^nn++++=help
of ^in++++=of
a ^at++++=a
gazetteer ^nn+nom+++=gazetteer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
send ^vb++++=send
it ^pp3+it+++=it
back ^jjb++++=back
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Britnell ^np++++=Britnell,
, ^zz++++=EXTRAWORD
with ^in++++=with
some ^dti++++=some
remarks ^vbz+vpub+++=remarks
reflecting ^vbg+vprv++xvbg+=reflecting
upon ^in++++=upon
the ^ati++++=the
judgment ^nn+nom+++=judgment
of ^in++++=of
that ^dt+dem+++=that
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lighted ^vbd+++xvbnx+=lighted
the ^ati++++=the
candles ^nns++++=candles,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
dark ^jj+pred+++=dark,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
the ^ati++++=the
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
supplied ^vbd+++xvbn+=supplied
the ^ati++++=the
friend ^nn++++=friend
with ^in++++=with
whom ^whp+rel+pied++=whom
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
playing ^vbg+++xvbgx+=playing
golf ^nn++++=golf
( ^zz++++=(for
for ^in++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
the ^ati++++=the
authorities ^nns+nom+++=authorities
of ^in++++=of
the ^ati++++=the
University ^nn+nom+++=University
I ^pp1a+pp1+++=I
write ^vb++++=write
of ^in++++=of
indulge ^vb++++=indulge
in ^cs+sub+++=in
that ^cs"++++=that
pursuit ^nn++++=pursuit
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
relaxation ^nn+nom+++=relaxation);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tea ^nn++++=tea
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
to ^to+vcmp+++=to
the ^ati++++=the
accompaniment ^nn+nom+++=accompaniment
of ^in++++=of
a ^at++++=a
discussion ^nn++++=discussion
which ^whp+rel+obj++=which
golfing ^jj+atrb++xvbg+=golfing
persons ^nns++++=persons
can ^md+pos+++=can
imagine ^vb+vprv+++=imagine
for ^in++++=for
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
which ^whp+who+++=which
the ^ati++++=the
conscientious ^jj+atrb+++=conscientious
writer ^nn++++=writer
has ^vbz+hvz+vrb++=has
no ^at++++=no
right ^nn++++=right
to ^to+ncmp+++=to
inflict ^vbi++++=inflict
upon ^in++++=upon
any ^dti++++=any
non ^&fw++++=non-golfing
- ^zz++++=EXTRAWORD
golfing ^jj+atrb++xvbg+=EXTRAWORD
persons ^nns++++=persons.
. ^zz++++=EXTRAWORD
The ^ati++++=The
conclusion ^nn++++=conclusion
arrived ^vbd+++xvbn+=arrived
at ^rb++++=at
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
certain ^jj+atrb+++=certain
strokes ^nns+++??+=strokes
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
better ^jjr++++=better,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
in ^in++++=in
certain ^jj+atrb+++=certain
emergencies ^nns+++??+=emergencies
neither ^dt++neg++=neither
player ^nn++++=player
had ^vbd+hvd+aux++=had
experienced ^vprf+++xvbnx+=experienced
that ^dt+dem+++=that
amount ^nn++++=amount
of ^in++++=of
luck ^nn++++=luck
which ^whp+rel+obj++=which
a ^at++++=a
human ^nn++++=human
being ^vwbg+beg++xvbg+=being
has ^vbz+hvz+vrb++=has
a ^at++++=a
right ^nn++++=right
to ^to+ncmp+++=to
expect ^vbi+vprv+++=expect.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
that ^cs+sub+++=that
the ^ati++++=the
friend ^nn++++=friend--let
-- ^--+clp+++=EXTRAWORD
let ^j+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
call ^nn++++=call
him ^pp3o+pp3+++=him
Professor ^npt++++=Professor
Binks ^np+++??+=Binks--took
-- ^--+clp+++=EXTRAWORD
took ^j+++xvbn+=EXTRAWORD
up ^rp++++=up
the ^ati++++=the
framed ^jj+atrb++xvbn+=framed
engraving ^nn++++=engraving,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
this ^dt+dem+++=this
place ^nn++++=place,
, ^zz++++=EXTRAWORD
Williams ^np++++=Williams?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
try ^vb++++=try
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Williams ^np++++=Williams,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
to ^in++++=to
the ^ati++++=the
shelf ^nn++++=shelf
for ^in++++=for
a ^at++++=a
gazetteer ^nn+nom+++=gazetteer.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
back ^nn++++=back.
. ^zz++++=EXTRAWORD
Somethingley ^np+++??+=Somethingley
Hall ^nn++++=Hall,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
in ^in++++=in
Sussex ^np++++=Sussex
or ^cc++++=or
Essex ^np++++=Essex.
. ^zz++++=EXTRAWORD
Half ^abn++++=Half
the ^ati++++=the
name ^nn++++=name's
's ^$++++=EXTRAWORD
gone ^vbd+++xvbn+=gone,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
happen ^vb+++??+=happen
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
from ^in++++=from
that ^dt+dem+++=that
man ^nn++++=man
Britnell ^np+++??+=Britnell,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Binks ^np+++??+=Binks.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
for ^in++++=for
the ^ati++++=the
museum ^nn++++=museum?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
should ^md+nec+++=should
buy ^vb++++=buy
it ^pp3+it+++=it
if ^cs+cnd+++=if
the ^ati++++=the
price ^nn++++=price
was ^vbd+bedz+vrb++=was
five ^cd++++=five
shillings ^nns+nom+++=shillings,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Williams ^np++++=Williams;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^in++++=EXTRAWORD
for ^in"++++=for
some ^dti++++=some
unearthly ^jj+atrb+++=unearthly
reason ^nn++++=reason
he ^pp3a+pp3+++=he
wants ^vbz++++=wants
two ^cd++++=two
guineas ^nns++++=guineas
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
conceive ^vb+vprv+++=conceive
why ^wrb+who+whcl++=why.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
wretched ^jj+atrb+++=wretched
engraving ^nn++++=engraving,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
any ^dti++++=any
figures ^nns++++=figures
to ^to++++=to
give ^vbi++++=give
it ^pp3+it+++=it
life ^nn++++=life."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
worth ^in++++=worth
two ^cd++++=two
guineas ^nns++++=guineas,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
think ^vb+vprv+++=think,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Binks ^np+++??+=Binks;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^ql++++=so
badly ^rb++++=badly
done ^vpsv++agls+xvbn+=done.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moonlight ^nn++++=moonlight
seems ^vbz+seem+++=seems
rather ^rb++++=rather
good ^jj++++=good
to ^to+jcmp+++=to
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
figure ^nn++++=figure
just ^rb+emph+++=just
on ^in++++=on
the ^ati++++=the
edge ^nn++++=edge
in ^in++++=in
front ^nn++++=front."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Let's
let ^vb++++0=EXTRAWORD
us ^pp1o+pp1+++=EXTRAWORD
look ^vb++++=look,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Williams ^np++++=Williams.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
true ^jj++++=true
the ^ati++++=the
light ^nn++++=light
is ^vbz+bez+aux++=is
rather ^rb++splt++=rather
cleverly ^rb++++=cleverly
given ^vbd+++xvbn+=given.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
figure ^nn++++=figure?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
the ^ati++++=the
head ^nn++++=head,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
very ^ql+amp+++=very
front ^jjb++++=front
of ^in++++=of
the ^ati++++=the
picture ^nn++++=picture."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
indeed ^qlp++++=indeed
there ^rn+pl+++=there
was ^vbd+bedz+vrb++=was--hardly
-- ^--+clp+++=EXTRAWORD
hardly ^rb+down+++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
black ^jj+atrb+++=black
blot ^nn++++=blot
on ^in++++=on
the ^ati++++=the
extreme ^nn++++=extreme
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
engraving ^nn++++=engraving--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
head ^nn++++=head
of ^in++++=of
a ^at++++=a
man ^nn++++=man
or ^cc++++=or
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
muffled ^jj++++=muffled
up ^rp++++=up,
, ^zz++++=EXTRAWORD
the ^ati++++=the
back ^rp++++=back
turned ^vprf+++xvbn+=turned
to ^in++++=to
the ^ati++++=the
spectator ^nn++++=spectator,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looking ^jj+++xvbg+=looking
towards ^in++++=towards
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Williams ^np++++=Williams
had ^vb+hv+aux++=had
not ^xnot++not++=not
noticed ^vprf+++xvbn+=noticed
it ^pp3+it+++=it
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
" ^zz++++="Still,"
still ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="though
though ^cs+sub+++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
cleverer ^jjr+atrb+++=cleverer
thing ^nn++++=thing
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
spend ^vb++++=spend
two ^cd++++=two
guineas ^nns++++=guineas
of ^in++++=of
museum ^nn++++=museum
money ^nn++++=money
on ^in++++=on
a ^at++++=a
picture ^nn++++=picture
of ^in++++=of
a ^at++++=a
place ^nn++++=place
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Professor ^npt++++=Professor
Binks ^np+++??+=Binks
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
work ^nn++++=work
to ^to++++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soon ^rb+tm+++=soon
went ^vbd+++xvbn+=went;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
very ^ql+amp+++=very
nearly ^rb+down+++=nearly
up ^rp++++=up
to ^in++++=to
Hall ^nn++++=Hall
time ^nn++++=time
Williams ^np++++=Williams
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged
in ^in++++=in
a ^at++++=a
vain ^jj+atrb+++=vain
attempt ^nn++++=attempt
to ^to+ncmp+++=to
identify ^vbi++++=identify
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
his ^pp$+pp3+++=his
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
the ^ati++++=the
vowel ^nn+++??+=vowel
before ^cs+sub+++=before
the ^ati++++=the
ng ^nn+++??+=ng
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
easy ^jj++++=easy
enough ^dt++++=enough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
the ^ati++++=the
name ^nn++++=name
may ^md+pos+++=may
be ^vb+be+vrb++=be
anything ^pn++++=anything
from ^in++++=from
Guestingley ^np+++??+=Guestingley
to ^in++++=to
Langley ^np++++=Langley,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
many ^ap++++=many
more ^ql++++=more
names ^nns++++=names
ending ^vwbg+++xvbg+=ending
like ^in++++=like
this ^dt+dem+++=this
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
rotten ^jj+atrb+++=rotten
book ^nn++++=book
has ^vbz+hvz+vrb++=has
no ^at++++=no
index ^nn++++=index
of ^in++++=of
terminations ^nns+nom+++=terminations."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hall ^npl++++=Hall
in ^in++++=in
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Williams ^np++++=Williams's
's ^$++++=EXTRAWORD
college ^npl++++=college
was ^vbd+bedz+vrb++=was
at ^rb++++=at
seven ^cd++++=seven.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
need ^vb++++=need
not ^xnot++not++=not
be ^vb+be+aux++=be
dwelt ^vpsv++agls+xvbnx+=dwelt
upon ^in+strn+++=upon;
; ^zz++++=EXTRAWORD
the ^ati++++=the
less ^ql++++=less
so ^cs+sub+++=so
as ^ql++++=as
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
there ^rn+pl+++=there
colleagues ^nns++++=colleagues
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
playing ^vbg+++xvbgx+=playing
golf ^nn++++=golf
during ^in++++=during
the ^ati++++=the
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
words ^nns++++=words
with ^in++++=with
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
no ^at++++=no
concern ^nn++++=concern
were ^vbd+bed+aux++=were
freely ^rb++splt++=freely
bandied ^vpsv++agls+xvbnx+=bandied
across ^in+pl+++=across
the ^ati++++=the
table ^nn++++=table--merely
-- ^--+clp+++=EXTRAWORD
merely ^rb+down+++=EXTRAWORD
golfing ^jj+atrb++xvbg+=golfing
words ^nns++++=words,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
hasten ^vb++++=hasten
to ^to++++=to
explain ^vbi+vpub+++=explain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
more ^ql++++=more
to ^to++++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbnx+=been
spent ^vpsv++agls+xvbnx+=spent
in ^in++++=in
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
common ^jj++++=common-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
after ^in++++=after
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
some ^dti++++=some
few ^ap++++=few
retired ^jj+++xvbn+=retired
to ^in++++=to
Williams ^np++++=Williams's
's ^$++++=EXTRAWORD
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
little ^ap++++=little
doubt ^vb++++=doubt
that ^tht+vcmp+++=that
whist ^nn++++=whist
was ^vbd+bedz+aux++=was
played ^vpsv++agls+xvbnx+=played
and ^cc++++=and
tobacco ^nn++++=tobacco
smoked ^vbd+++xvbn+=smoked.
. ^zz++++=EXTRAWORD
During ^in++++=During
a ^at++++=a
lull ^nn++++=lull
in ^in++++=in
these ^dt+dem+++=these
operations ^nns+nom+++=operations
Williams ^np++++=Williams
picked ^vbd+++xvbn+=picked
up ^rp++++=up
the ^ati++++=the
mezzotint ^nn++++=mezzotint
from ^in++++=from
the ^ati++++=the
table ^nn++++=table
without ^in++++=without
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
handed ^vbd+++xvbn+=handed
it ^pp3+it+++=it
to ^in++++=to
a ^at++++=a
person ^nn++++=person
mildly ^rb+down+++=mildly
interested ^jj++++=interested
in ^in++++=in
art ^nn++++=art,
, ^zz++++=EXTRAWORD
telling ^jj+++xvbg+=telling
him ^pp3o+pp3+++=him
where ^wrb+who+++=where
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
particulars ^nns++++=particulars
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
already ^rb++++=already
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gentleman ^nn+nom+++=gentleman
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
carelessly ^rb+cnj+++=carelessly,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
tone ^nn++++=tone
of ^in++++=of
some ^dti++++=some
interest ^nn++++=interest:
: ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
really ^rb+emph+++=really
a ^at++++=a
very ^ql+amp+++=very
good ^jj+atrb+++=good
piece ^nn++++=piece
of ^in++++=of
work ^nn++++=work,
, ^zz++++=EXTRAWORD
Williams ^np++++=Williams;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
quite ^rb++++=quite
a ^at++++=a
feeling ^jj+++xvbg+=feeling
of ^in++++=of
the ^ati++++=the
romantic ^jj+atrb+++=romantic
period ^nn++++=period.
. ^zz++++=EXTRAWORD
The ^ati++++=The
light ^nn++++=light
is ^vbz+bez+aux++=is
admirably ^rb++splt++=admirably
managed ^vpsv++agls+xvbnx+=managed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
rather ^rb++++=rather
too ^rb++++=too
grotesque ^jj++++=grotesque,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
somehow ^rb++++=somehow
very ^ql+amp+++=very
impressive ^jj++++=impressive."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Williams ^np++++=Williams,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
then ^rn+tm+++=then
busy ^jj+atrb+++=busy
giving ^jj+atrb++xvbg+=giving
whisky ^nn++++=whisky-and-soda
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
soda ^nn++++=EXTRAWORD
to ^in++++=to
others ^aps++++=others
of ^in++++=of
the ^ati++++=the
company ^nn++++=company,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
come ^vbi++++=come
across ^in+ppvb+++=across
the ^ati++++=the
room ^nn++++=room
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
the ^ati++++=the
view ^nn++++=view
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
rather ^rb++++=rather
late ^jj++++=late
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
visitors ^nns++++=visitors
