Do ^vb+do+aux++=Do
would ^md+prd+++=would
go ^vb++++=go
down ^rp++++=down
that ^dt+dem+++=that
valley ^nn++++=valley
at ^rb++++=at
night ^nn++++=night;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
waited ^vprf+++xvbnx+=waited
till ^cs+sub+++=till
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
brute ^nn++++=brute
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
Kaffirland ^np+++??+=Kaffirland."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they
go ^vb++++=go
down ^in++++=down
Sasassa ^np+++??+=Sasassa
Valley ^nn++++=Valley
at ^rb++++=at
night ^nn++++=night?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
" ^zz++++="Kaffirs,
kaffirs ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Ghosts,"
ghosts ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dick ^np++++=Dick.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
both ^abx++++=both
laughed ^jj+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
such ^abl++++=such
a ^at++++=a
matter ^nn++++=matter-of-fact
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
fact ^nn++++=EXTRAWORD
fellow ^jjb++++=fellow
as ^ql++++=as
you ^pp2+pp2+++=you
a ^at++++=a
sight ^nn++++=sight
of ^in++++=of
their ^pp$+pp3+++=their
charms ^nns++++=charms?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
bunk ^nn++++=bunk.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dick ^np++++=Dick,
, ^zz++++=EXTRAWORD
seriously ^rb+cnj+++=seriously,
, ^zz++++=EXTRAWORD
" ^zz++++="yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
what ^wdt+who+whcl++=what
the ^ati++++=the
niggers ^nns+nom+++=niggers
talk ^nn++++=talk
about ^in+strn+++=about;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
promise ^nn++++=promise
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
lads ^nns++++=lads,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
ever ^rb++++=ever
to ^to++++=to
see ^vbi+vprv+++=see
it ^pp3+it+++=it
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
sat ^vbd+++xvbn+=sat
up ^rp++++=up
in ^in++++=in
his ^pp$+pp3+++=his
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
" ^zz++++="Nonsense,
nonsense ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Dick ^np++++=Dick;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
joking ^vbg+++xvbgx+=joking,
, ^zz++++=EXTRAWORD
man ^nn++++=man!
! ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come,
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
us ^pp1o+pp1+++=us
all ^abn++++=all
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
the ^ati++++=the
legend ^nn++++=legend
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
own ^ap++++=own
experience ^nn+nom+++=experience
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
Pass ^vb++++=Pass
him ^pp3o+pp3+++=him
over ^in++++=over
the ^ati++++=the
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
to ^in++++=to
the ^ati++++=the
legend ^nn++++=legend,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
Dick ^np++++=Dick.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
seems ^vbz+seem+++=seems
that ^tht+vcmp+++=that
the ^ati++++=the
niggers ^nns+nom+++=niggers
have ^vb+hv+aux++=have
had ^vb+hv+aux++=had
it ^pp3+it+++=it
handed ^vbd+++xvbn+=handed
down ^rb+phrv+++=down
to ^in++++=to
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
Sasassa ^np+++??+=Sasassa
Valley ^nn++++=Valley
is ^vbz+bez+aux++=is
haunted ^vpsv++by+xvbnx+=haunted
by ^in++++=by
a ^at++++=a
frightful ^jj+atrb+++=frightful
fiend ^nn++++=fiend.
. ^zz++++=EXTRAWORD
Hunters ^nns+nom++??+=Hunters
and ^cc++++=and
wanderers ^nns+nom+++=wanderers
passing ^vwbg+++xvbg+=passing
down ^rp++++=down
the ^ati++++=the
defile ^vb++++=defile
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
its ^pp$+it+++=its
glowing ^jj+atrb++xvbg+=glowing
eyes ^nns++++=eyes
under ^in++++=under
the ^ati++++=the
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
cliff ^nn++++=cliff;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
story ^nn++++=story
goes ^vbz++++=goes
that ^dt+pdem+++=that
whoever ^whp+who+++=whoever
has ^vbz+hvz+aux++=has
chanced ^vprf+++xvbnx+=chanced
to ^to++++=to
encounter ^nn+nom+++=encounter
that ^cs+sub+++=that
baleful ^jj+atrb+++=baleful
glare ^nn++++=glare
has ^vbz+hvz+aux++=has
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
after ^cs+sub+++=after-life
- ^zz++++=EXTRAWORD
life ^nn++++=EXTRAWORD
blighted ^vwbn+++xvbn+=blighted
by ^in++++=by
the ^ati++++=the
malignant ^jj+atrb+++=malignant
power ^nn++++=power
of ^in++++=of
this ^dt+dem+++=this
creature ^nn++++=creature.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
that ^dt+pdem+++=that
be ^vb+be+vrb++=be
true ^jj+pred+++=true
or ^cc++++=or
not ^xnot++not++=not,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
Dick ^np++++=Dick,
, ^zz++++=EXTRAWORD
ruefully ^rb+cnj+++=ruefully,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
may ^md+pos+++=may
have ^vb+hv+vrb++=have
an ^at++++=an
opportunity ^nn+nom+++=opportunity
of ^in++++=of
judging ^xvbg+++xvbg+=judging
for ^in++++=for
myself ^ppl+pp1+++=myself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Dick ^np++++=Dick--go
-- ^--+clp+++=EXTRAWORD
go ^vb++++=EXTRAWORD
on ^in+strn+++=on,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
" ^zz++++="Let's
let ^vb++++0=EXTRAWORD
us ^pp1o+pp1+++=EXTRAWORD
hear ^vb+vprv+++=hear
about ^in++++=about
what ^wdt+who+++=what
you ^pp2+pp2+++=you
saw ^vbd+vprv++xvbn+=saw."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
groping ^vbg+++xvbgx+=groping
down ^in++++=down
the ^ati++++=the
valley ^nn++++=valley,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
for ^in++++=for
that ^dt+dem+++=that
cow ^nn++++=cow
of ^in++++=of
Madison ^np+++??+=Madison's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,
, ^zz++++=EXTRAWORD
got ^j+++xvbn+=got
half ^abn++++=half-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
black ^jj+atrb+++=black
craggy ^jj+atrb+++=craggy
cliff ^np++++=cliff
juts ^nns+++??+=juts
into ^in++++=into
the ^ati++++=the
ravine ^npl++++=ravine
on ^in++++=on
the ^ati++++=the
right ^nn++++=right,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
halted ^vbd+++xvbnx+=halted
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
pull ^nn++++=pull
at ^in++++=at
my ^pp$+pp1+++=my
flask ^nn++++=flask.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
my ^pp$+pp1+++=my
eye ^nn++++=eye
fixed ^vbd+++xvbn+=fixed
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
upon ^in++++=upon
the ^ati++++=the
projecting ^jj+++xvbg+=projecting
cliff ^np++++=cliff
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
mentioned ^vprf+++xvbnx+=mentioned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
noticed ^vbn+vprv++xvbn+=noticed
nothing ^pn++++=nothing
unusual ^jj++++=unusual
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
then ^rn+tm+++=then
put ^vb+++xvbn+=put
up ^rb+phrv+++=up
my ^pp$+pp1+++=my
flask ^nn++++=flask
and ^cc++++=and
took ^vbd+++xvbn+=took
a ^at++++=a
step ^nn++++=step
or ^cc++++=or
two ^cd++++=two
forward ^nn++++=forward,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment
there ^rn+pl+++=there
burst ^nn+++xvbn+=burst,
, ^zz++++=EXTRAWORD
apparently ^rb++++=apparently
from ^in++++=from
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
about ^in++++=about
eight ^cd++++=eight
feet ^nns++++=feet
from ^in++++=from
the ^ati++++=the
ground ^nn++++=ground
and ^cc++++=and
a ^at++++=a
hundred ^cd++++=hundred
yards ^nns++++=yards
from ^in++++=from
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
a ^at++++=a
strange ^jj+atrb+++=strange,
, ^zz++++=EXTRAWORD
lurid ^jj+atrb+++=lurid
glare ^nn++++=glare,
, ^zz++++=EXTRAWORD
flickering ^jj++++=flickering
and ^cc+phrs+++=and
oscillating ^jj+++xvbg+=oscillating,
, ^zz++++=EXTRAWORD
gradually ^rb++++=gradually
dying ^vbg+++xvbg+=dying
away ^rp+pl+++=away
and ^cc+phrs+++=and
then ^rn+tm+++=then
reappearing ^vbg+seem++xvbg+=reappearing
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
many ^ap++++=many
a ^at++++=a
glow ^nn++++=glow-worm
- ^zz++++=EXTRAWORD
worm ^nn++++=EXTRAWORD
and ^cc++++=and
firefly ^nn++++=firefly--nothing
-- ^--+clp+++=EXTRAWORD
nothing ^pn++++=EXTRAWORD
of ^in++++=of
that ^dt+dem+++=that
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
burning ^jj+++xvbg+=burning
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
I ^pp1a+pp1+++=I
gazed ^vbd+++xvbnx+=gazed
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling
in ^in++++=in
every ^at++++=every
limb ^nn++++=limb,
, ^zz++++=EXTRAWORD
for ^in++++=for
fully ^rb+amp+++=fully
ten ^cd++++=ten
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
a ^at++++=a
step ^vb++++=step
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
instantly ^rb+tm+++=instantly
it ^pp3+it+++=it
vanished ^vbd+++xvbn+=vanished,
, ^zz++++=EXTRAWORD
vanished ^j+++xvbn+=vanished
like ^in++++=like
a ^at++++=a
candle ^nn++++=candle
blown ^vbd+++xvbn+=blown
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stepped ^vbd+++xvbnx+=stepped
back ^jjb++++=back
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
some ^dti++++=some
time ^nn++++=time
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
could ^md+pos+++=could
find ^vb+vprv+++=find
the ^ati++++=the
exact ^jj+atrb+++=exact
spot ^nn++++=spot
and ^cc++++=and
position ^nn+nom+++=position
from ^in++++=from
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
visible ^jj+pred+++=visible.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
the ^ati++++=the
weird ^jj+atrb+++=weird
reddish ^jj+atrb+++=reddish
light ^nn++++=light,
, ^zz++++=EXTRAWORD
flickering ^jj++++=flickering
away ^rp+pl+++=away
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
screwed ^vbd+++xvbnx+=screwed
up ^rp++++=up
my ^pp$+pp1+++=my
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vpsv++agls+xvbn+=made
for ^in+ppvb+++=for
the ^ati++++=the
rock ^nn++++=rock;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
ground ^nn++++=ground
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
uneven ^jj++++=uneven
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
steer ^vbi++++=steer
straight ^jj++++=straight;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
along ^in++++=along
the ^ati++++=the
whole ^jj+atrb+++=whole
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
cliff ^nn++++=cliff,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
tracks ^nns++++=tracks
for ^in++++=for
home ^nr++++=home;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
you ^pp2+pp2+++=you
remarked ^vbd+vpub+tht0+xvbn+=remarked
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
knew ^vbd+vprv+tht0+xvbn+=knew
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
raining ^vbg+++xvbgx+=raining,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
way ^nn++++=way
along ^in+strn+++=along.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
hollo ^nn+++??+=hollo!
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
Tom ^np++++=Tom?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+++=What
indeed ^rb++++=indeed?
? ^zz++++=EXTRAWORD
Tom ^np++++=Tom
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
sitting ^vbg+++xvbgx+=sitting
with ^in++++=with
his ^pp$+pp3+++=his
legs ^nns++++=legs
over ^in++++=over
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
bunk ^nn++++=bunk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
face ^nn++++=face
betraying ^vwbg+++xvbg+=betraying
excitement ^nn+nom+++=excitement
so ^rb+emph+++=so
intense ^jj++++=intense
as ^in++++=as
to ^to++++=to
be ^vbi++vrb++=be
almost ^rb+hdg+++=almost
painful ^jj+pred+++=painful.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
fiend ^nn++++=fiend
would ^md+prd+++=would
have ^vb+hv+vrb++=have
two ^cd++++=two
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
lights ^vbz++++=lights
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
Dick ^np++++=Dick?
? ^zz++++=EXTRAWORD
Speak ^vb++++=Speak
out ^rp+pl+++=out!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^rb+down+++=EXTRAWORD
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hurrah!"
hurrah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
" ^zz++++="that's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
better ^jjr++++=better."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Whereupon ^cs+sub+++=Whereupon
he ^pp3a+pp3+++=he
kicked ^vbd+++xvbnx+=kicked
the ^ati++++=the
blankets ^nns++++=blankets
into ^in++++=into
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
pacing ^vbg+++xvbg+=pacing
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
with ^in++++=with
long ^jj+atrb+++=long
feverish ^jj+atrb+++=feverish
strides ^nns++++=strides.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped
opposite ^jj+atrb+++=opposite
Dick ^np++++=Dick,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
his ^pp$+pp3+++=his
hand ^nn++++=hand
upon ^in++++=upon
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
Dick ^np++++=Dick,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
we ^pp1a+pp1+++=we
get ^vb++++=get
to ^to+vcmp+++=to
Sasassa ^vb+++??+=Sasassa
Valley ^nn++++=Valley
before ^in++++=before
sunrise ^nn++++=sunrise?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Scarcely,"
scarcely ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dick ^np++++=Dick.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
look ^vb++++=look
here ^rn+pl+++=here;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
old ^jj+atrb+++=old
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
Dick ^np++++=Dick
Wharton ^np+++??+=Wharton,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
and ^cc++++=and
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
tell ^vb++++=tell
any ^dti++++=any
other ^ap++++=other
man ^nn++++=man
what ^wdt+who+++=what
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
told ^vprf+++xvbnx+=told
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
promise ^vb++++=promise
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
by ^in++++=by
the ^ati++++=the
look ^nn++++=look
on ^in++++=on
Dick ^np++++=Dick's
's ^$++++=EXTRAWORD
face ^nn++++=face
as ^ql++++=as
he ^pp3a+pp3+++=he
acquiesced ^vbd+++xvbnx+=acquiesced
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
considered ^vbd+vprv++xvbnx+=considered
poor ^jj+atrb+++=poor
Tom ^np++++=Tom
to ^to++++=to
be ^vbi++vrb++=be
mad ^jj+pred+++=mad;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indeed ^rb++++=indeed
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
myself ^ppl+pp1+++=myself
completely ^rb+amp+++=completely
mystified ^vpsv++by+xvbn+=mystified
by ^in++++=by
his ^pp$+pp3+++=his
conduct ^nn++++=conduct.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
seen ^j+++xvbn+=seen
so ^ql++++=so
many ^ap++++=many
proofs ^nns++++=proofs
of ^in++++=of
my ^pp$+pp1+++=my
friend ^nn++++=friend's
's ^vbz+bez+vrb++0=EXTRAWORD
good ^jj+atrb+++=good
sense ^nn++++=sense
and ^cc++++=and
quickness ^nns+nom+++=quickness
of ^in++++=of
apprehension ^nn++++=apprehension
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
quite ^rb++++=quite
possible ^jj++++=possible
that ^tht+jcmp+++=that
Wharton ^np++++=Wharton's
's ^$++++=EXTRAWORD
story ^nn++++=story
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
a ^at++++=a
meaning ^jj+++xvbg+=meaning
in ^in++++=in
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
too ^ql++++=too
obtuse ^jj++++=obtuse
to ^to++++=to
take ^vbi++++=take
in ^rb+phrv+++=in.
. ^zz++++=EXTRAWORD
All ^abn++++=All
night ^nn++++=night
Tom ^np++++=Tom
Donahue ^np+++??+=Donahue
was ^vbd+bedz+aux++=was
greatly ^rb+amp+splt++=greatly
excited ^vpsv++agls+xvbnx+=excited,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Wharton ^np+++??+=Wharton
left ^vbd+++xvbn+=left
he ^pp3a+pp3+++=he
begged ^vbd+++xvbnx+=begged
him ^pp3o+pp3+++=him
to ^to++++=to
remember ^nn+nom+++=remember
his ^pp$+pp3+++=his
promise ^nn++++=promise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
elicited ^jj+++xvbn+=elicited
from ^in++++=from
him ^pp3o+pp3+++=him
a ^at++++=a
description ^nn+nom+++=description
of ^in++++=of
the ^ati++++=the
exact ^jj+atrb+++=exact
spot ^nn++++=spot
at ^in++++=at
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
apparition ^nn+nom+++=apparition,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
hour ^nn++++=hour
at ^in++++=at
which ^whp+rel+pied++=which
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
After ^in++++=After
his ^pp$+pp3+++=his
departure ^nn++++=departure,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
about ^in++++=about
four ^cd++++=four
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
