Tomorrow ^nr+tm+++=TOMORROW
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
talked ^vbd+++xvbn+=talked
to ^in++++=to
your ^pp$+pp2+++=your
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
voice ^nn++++=voice
echoed ^vwbn+++xvbn+=echoed
over ^in++++=over
the ^ati++++=the
line ^nn++++=line
in ^in++++=in
a ^at++++=a
way ^nn++++=way
it ^pp3+it+++=it
had ^vb+hv+aux++=had
never ^rb++splt++=never
done ^vprf+++xvbnx+=done
all ^abn++++=all
the ^ati++++=the
years ^nns++++=years
before ^cs+sub+++=before
when ^wrb+who+++=when
you ^pp2+pp2+++=you
and ^cc++++=and
Nonso ^np+++??+=Nonso
spent ^vbd+++xvbn+=spent
summers ^nns+nom+++=summers
with ^in++++=with
Grandmama ^np+++??+=Grandmama.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
all ^abn++++=all
right ^jj++++=right?
? ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
kept ^vbd+++xvbnx+=kept
asking ^vbg+vsua+tht0+xvbg+=asking
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
all ^abn++++=all
right ^jj++++=right?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sounded ^vbd+++xvbnx+=sounded
fearful ^jj++++=fearful,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
suspected ^vbd+vprv++xvbnx+=suspected
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
death ^nn++++=death.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
played ^vbd+++xvbn+=played
with ^in++++=with
the ^ati++++=the
phone ^nn++++=phone
wire ^nn++++=wire
and ^cc++++=and
said ^vbd+vpub++xvbn+=said
little ^ap++++=little.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
would ^md+prd+++=would
send ^vb++++=send
word ^nn++++=word
to ^in++++=to
your ^pp$+pp2+++=your
father ^nn++++=father,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
somewhere ^rb++++=somewhere
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods
attending ^vwbg+++xvbg+=attending
a ^at++++=a
Black ^jj+atrb+++=Black
Arts ^nns++++=Arts
festival ^nn+nom+++=festival
where ^wrb+who+++=where
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
phones ^nns++++=phones
or ^cc++++=or
radios ^nns++++=radios.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
she ^pp3a+pp3+++=she
sobbed ^vbd+++xvbnx+=sobbed
a ^at++++=a
harsh ^jj+atrb+++=harsh
sob ^nn++++=sob,
, ^zz++++=EXTRAWORD
a ^at++++=a
sob ^nn++++=sob
like ^in++++=like
the ^ati++++=the
bark ^nn++++=bark
of ^in++++=of
a ^at++++=a
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
everything ^pn++++=everything
would ^md+prd+++=would
be ^vb+be+vrb++=be
fine ^jj+pred+++=fine
and ^cc++++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
arrange ^vb++++=arrange
for ^in++++=for
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
body ^nn++++=body
to ^to++++=to
be ^vbi+vbi+aux++=be
flown ^vpsv++agls+xvbnx+=flown
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
made ^vbd+++xvbn+=made
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
her ^pp$+pp3+++=her
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
a ^at++++=a
ho ^uh++++=ho-ho-ho
- ^zz++++=EXTRAWORD
ho ^uh++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ho ^uh++++=EXTRAWORD
laugh ^nn++++=laugh
that ^tht+rel+++=that
started ^jj+++xvbn+=started
deep ^jj++++=deep
inside ^jjb++++=inside
her ^pp$+pp3+++=her
belly ^nn++++=belly
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
soften ^vb++++=soften
as ^ql++++=as
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
up ^rp++++=up
and ^cc++++=and
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
suit ^nn++++=suit
her ^pp3o+pp3+++=her
willowy ^jj+atrb+++=willowy
body ^nn++++=body
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
into ^in++++=into
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
room ^nn++++=room
to ^to++++=to
say ^vbi+vpub+++=say
good ^jj+atrb+++=good
night ^nn++++=night,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
always ^rb++++=always
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
laughing ^vbg+++xvbg+=laughing
that ^dt+dem+++=that
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
times ^nns++++=times,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
pressed ^vbd+++xvbn+=pressed
your ^pp$+pp2+++=your
palms ^nns++++=palms
to ^in++++=to
your ^pp$+pp2+++=your
ears ^nns++++=ears
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
sound ^nn++++=sound
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kept ^vbd+++xvbn+=kept
your ^pp$+pp2+++=your
palms ^nns++++=palms
pressed ^vbd+++xvbn+=pressed
to ^in++++=to
your ^pp$+pp2+++=your
ears ^nns++++=ears
even ^rb++++=even
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
your ^pp$+pp2+++=your
room ^nn++++=room
to ^to++++=to
say ^vbi+vpub+++=say
Good ^jj+atrb+++=Good
night ^nn++++=night,
, ^zz++++=EXTRAWORD
darling ^np+nom+++=darling,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep
well ^rb++++=well.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
never ^rb++++=never
left ^vbd+++xvbn+=left
your ^pp$+pp2+++=your
room ^nn++++=room
with ^in++++=with
that ^dt+dem+++=that
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
phone ^nn++++=phone
call ^nn++++=call,
, ^zz++++=EXTRAWORD
Grandmama ^np+++??+=Grandmama
lay ^vbd+++xvbn+=lay
stretched ^vbd+++xvbn+=stretched
out ^rp+pl+++=out
with ^in++++=with
her ^pp$+pp3+++=her
back ^rp++++=back
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
eyes ^nns++++=eyes
unblinking ^vwbg+++xvbg+=unblinking,
, ^zz++++=EXTRAWORD
rolling ^vbg+nom++xvbg+=rolling
from ^in++++=from
side ^nn++++=side
to ^in++++=to
side ^nn++++=side,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
were ^vbd+bed+aux++=were
playing ^vbg+++xvbgx+=playing
some ^dti++++=some
sort ^nn++++=sort
of ^in++++=of
silly ^jj+atrb+++=silly
game ^nn++++=game.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
wrong ^jj+pred+++=wrong
to ^to+jcmp+++=to
fly ^vbi++++=fly
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
body ^nn++++=body
back ^jjb++++=back
to ^in++++=to
America ^np++++=America,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
spirit ^nn++++=spirit
would ^md+prd+++=would
always ^rb++++=always
hover ^jjr++++=hover
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
belonged ^vbd+++xvbnx+=belonged
to ^in++++=to
this ^dt+dem+++=this
hard ^jj+atrb+++=hard
earth ^nn++++=earth
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
failed ^vprf+++xvbnx+=failed
to ^to+vcmp+++=to
absorb ^vbi++++=absorb
the ^ati++++=the
shock ^nn++++=shock
of ^in++++=of
his ^pp$+pp3+++=his
fall ^nn++++=fall.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
belonged ^vbd+++xvbnx+=belonged
to ^in++++=to
the ^ati++++=the
trees ^nns++++=trees
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
which ^whp+rel+pied++=which
had ^vbd+hvd+aux++=had
let ^vprf+++xvbnx+=let
go ^vb++++=go
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
sat ^vbd+++xvbn+=sat
and ^cc+phrs+++=and
watched ^vbd+++xvbn+=watched
her ^pp$+pp3+++=her
and ^cc++++=and
at ^rb++++=at
first ^rb"++++=first
you ^pp2+pp2+++=you
wished ^vbd+vprv+tht0+xvbn+=wished
she ^pp3a+pp3+++=she
would ^md+prd+++=would
get ^vb++++=get
up ^rp++++=up
and ^cc++++=and
take ^vb++++=take
you ^pp2+pp2+++=you
in ^in++++=in
her ^pp$+pp3+++=her
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
you ^pp2+pp2+++=you
wished ^vbd+vprv+tht0+xvbn+=wished
she ^pp3a+pp3+++=she
would ^md+prd+++=wouldn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
eighteen ^cd++++=eighteen
years ^nns++++=years
and ^cc++++=and
the ^ati++++=the
trees ^nns++++=trees
in ^in++++=in
Grandmama ^np++++=Grandmama's
's ^$++++=EXTRAWORD
yard ^nn++++=yard
look ^vb++++=look
unchanged ^jj++++=unchanged;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
still ^rb++++=still
reach ^vb++++=reach
out ^rp+pl+++=out
and ^cc++++=and
hug ^nn++++=hug
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
cast ^nn+++xvbn+=cast
shadows ^nps++++=shadows
over ^in++++=over
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
everything ^pn++++=everything
else ^rb+cnj+++=else
seems ^vbz+seem+++=seems
smaller ^jjr++++=smaller:
: ^zz++++=EXTRAWORD
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
the ^ati++++=the
garden ^nn++++=garden
at ^rb++++=at
the ^ati++++=the
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
the ^ati++++=the
water ^nn++++=water
tank ^nn++++=tank
copper ^nn++++=copper-colored
- ^zz++++=EXTRAWORD
colored ^jj+++xvbn+=EXTRAWORD
from ^in++++=from
rust ^nn++++=rust.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
Grandmama ^np++++=Grandmama's
's ^$++++=EXTRAWORD
grave ^jj++++=grave
in ^in++++=in
the ^ati++++=the
backyard ^nn+++??+=backyard
looks ^nns++++=looks
tiny ^jj++++=tiny,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
imagine ^vb+vprv+tht0++=imagine
her ^pp$+pp3+++=her
body ^nn++++=body
being ^xvbg+++xvbg+=being
crumpled ^vbd+++xvbn+=crumpled
to ^to++++=to
fit ^vbi++++=fit
a ^at++++=a
small ^jj+atrb+++=small
coffin ^nn++++=coffin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
grave ^nn++++=grave
is ^vbz+bez+aux++=is
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
a ^at++++=a
thin ^jj+atrb+++=thin
coat ^nn++++=coat
of ^in++++=of
cement ^nn++++=cement;
; ^zz++++=EXTRAWORD
the ^ati++++=the
soil ^nn++++=soil
around ^in++++=around
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
freshly ^rb++splt++=freshly
dug ^vpsv++agls+xvbnx+=dug
and ^cc++++=and
you ^pp2+pp2+++=you
stand ^vb++++=stand
next ^in+cmpx+++=next
to ^in"++++=to
it ^pp3+it+++=it
and ^cc++++=and
picture ^nn++++=picture
it ^pp3+it+++=it
in ^in++++=in
ten ^cd++++=ten
years ^nns++++=years'
' ^zz++++=EXTRAWORD
time ^nn++++=time,
, ^zz++++=EXTRAWORD
untended ^jj+atrb+++=untended,
, ^zz++++=EXTRAWORD
tangled ^jj+atrb+++=tangled
weeds ^nns++++=weeds
covering ^vwbg+++xvbg+=covering
the ^ati++++=the
cement ^nn++++=cement,
, ^zz++++=EXTRAWORD
choking ^jj+++xvbg+=choking
the ^ati++++=the
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
Dozie ^np+++??+=Dozie
is ^vbz+bez+aux++=is
watching ^vbg+++xvbgx+=watching
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
airport ^nn++++=airport,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
hugged ^vprf+++xvbnx+=hugged
you ^pp2+pp2+++=you
cautiously ^rb+cnj+++=cautiously,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
welcome ^jj++++=welcome
and ^cc+cls+++=and
what ^wdt+who+++=what
a ^at++++=a
surprise ^nn++++=surprise
that ^tht+ncmp+++=that
you ^pp2+pp2+++=you
came ^vbd+++xvbn+=came
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
stared ^vbd+++xvbn+=stared
at ^rb++++=at
his ^pp$+pp3+++=his
face ^nn++++=face
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
in ^in++++=in
the ^ati++++=the
busy ^jj++++=busy,
, ^zz++++=EXTRAWORD
shuffling ^vbg+nom++xvbg+=shuffling
lounge ^nn++++=lounge
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
brown ^jj++++=brown
and ^cc+phrs+++=and
sad ^jj++++=sad
like ^in++++=like
those ^dt+dem+++=those
of ^in++++=of
your ^pp$+pp2+++=your
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
poodle ^nn+++??+=poodle.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
need ^vb++++=need
that ^dt+pdem+++=that
look ^vb++++=look,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
to ^to++++=to
know ^vbi+vprv+++=know
that ^tht+vcmp+++=that
the ^ati++++=the
secret ^nn++++=secret
of ^in++++=of
how ^wrb+who+++=how
Nonso ^np+++??+=Nonso
died ^vbd+++xvbn+=died
was ^vbd+bedz+vrb++=was
safe ^jj+pred+++=safe
with ^in++++=with
Dozie ^np+++??+=Dozie,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
safe ^jj++++=safe
with ^in++++=with
Dozie ^np+++??+=Dozie.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
drove ^vbd+++xvbnx+=drove
to ^to+vcmp+++=to
Grandmama ^vb++++=Grandmama's
's ^$++++=EXTRAWORD
house ^npl++++=house,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
about ^in++++=about
your ^pp$+pp2+++=your
mother ^nn++++=mother
and ^cc++++=and
you ^pp2+pp2+++=you
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
your ^pp$+pp2+++=your
mother ^npt++++=mother
lived ^vbd+++xvbn+=lived
in ^in++++=in
California ^np++++=California
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
not ^xnot++not++=not
mention ^nn+nom+++=mention
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
commune ^nn+++??+=commune
among ^in++++=among
people ^nns++++=people
with ^in++++=with
shaved ^vbd+++xvbn+=shaved
heads ^nns++++=heads
and ^cc++++=and
pierced ^xvbn+++xvbn+=pierced
breasts ^nns++++=breasts
or ^cc++++=or
that ^dt+pdem+++=that
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
always ^rb++++=always
hung ^vbd+++xvbn+=hung
up ^rp++++=up
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
speaking ^vbg+++xvbgx+=speaking.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
move ^vb++++=move
toward ^in++++=toward
the ^ati++++=the
avocado ^nn+++??+=avocado
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Dozie ^np+++??+=Dozie
is ^vbz+bez+aux++=is
still ^rb++splt++=still
watching ^vbg+++xvbgx+=watching
you ^pp2+pp2+++=you
and ^cc++++=and
you ^pp2+pp2+++=you
look ^vb++++=look
at ^rb++++=at
him ^pp3o+pp3+++=him
and ^cc++++=and
try ^vb++++=try
to ^to+vcmp+++=to
remember ^nn+nom+++=remember
the ^ati++++=the
love ^nn++++=love
that ^tht+rel+subj++=that
clogged ^vbd+++xvbn+=clogged
you ^pp2+pp2+++=you
up ^rp++++=up
so ^rb++++=so
fully ^rb+amp+++=fully
that ^cs+sub+++=that
summer ^nn++++=summer
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
made ^vwbn+++xvbn+=made
you ^pp2+pp2+++=you
hold ^nn++++=hold
on ^in++++=on
tight ^nn++++=tight
to ^in++++=to
Dozie ^np++++=Dozie's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
the ^ati++++=the
afternoon ^nn++++=afternoon
after ^cs+sub+++=after
Nonso ^np+++??+=Nonso
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Dozie ^np++++=Dozie's
's ^$++++=EXTRAWORD
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
aunty ^npt++++=aunty
Mgbechibelije ^np+++??+=Mgbechibelije,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
to ^to++++=to
take ^vbi++++=take
him ^pp3o+pp3+++=him
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
gentle ^jj+atrb+++=gentle
sorrow ^nn++++=sorrow
in ^in++++=in
the ^ati++++=the
lines ^nns++++=lines
across ^in+pl+++=across
his ^pp$+pp3+++=his
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
a ^at++++=a
melancholy ^nn++++=melancholy
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
stands ^vbz++++=stands
with ^in++++=with
his ^pp$+pp3+++=his
arms ^nns++++=arms
by ^in++++=by
his ^pp$+pp3+++=his
sides ^nns++++=sides.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
suddenly ^rb++++=suddenly
wonder ^vb++++=wonder
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
longed ^vbd+++xvbnx+=longed,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
like ^in++++=like
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
quiet ^nn++++=quiet
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
times ^nns++++=times
he ^pp3a+pp3+++=he
would ^md+prd+++=would
sit ^vb++++=sit
so ^rb++++=so
still ^rb++++=still
that ^cs+sub+++=that
the ^ati++++=the
fruit ^nn++++=fruit
flies ^vbz++++=flies
perched ^vwbn+++xvbn+=perched
on ^in++++=on
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
pictures ^nns++++=pictures
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
you ^pp2+pp2+++=you
and ^cc++++=and
the ^ati++++=the
birds ^nns++++=birds
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
in ^rb+phrv+++=in
a ^at++++=a
cardboard ^nn++++=cardboard
cage ^nn++++=cage,
, ^zz++++=EXTRAWORD
petting ^jj+++xvbg+=petting
them ^pp3o+pp3+++=them
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wonder ^vb++++=wonder
what ^wdt+who+++=what,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
about ^in++++=about
being ^xvbg+++xvbg+=being
the ^ati++++=the
wrong ^jj+atrb+++=wrong
grandson ^nn++++=grandson,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=did
not ^xnot++not++=not
bear ^vb+vprv+++=bear
the ^ati++++=the
Nnabuisi ^np+++??+=Nnabuisi
name ^nn++++=name.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
reach ^vb++++=reach
out ^rp+pl+++=out
to ^in++++=to
touch ^nn++++=touch
the ^ati++++=the
trunk ^nn++++=trunk
of ^in++++=of
the ^ati++++=the
avocado ^nn+++??+=avocado
tree ^nn++++=tree;
; ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
Dozie ^np+++??+=Dozie
starts ^vbz++++=starts
to ^to++++=to
say ^vbi+vpub+++=say
something ^pn++++=something,
, ^zz++++=EXTRAWORD
startling ^jj++++=startling
you ^pp2+pp2+++=you
because ^cs+cos+++=because
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
bring ^vb++++=bring
up ^rb+phrv+++=up
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
death ^nn++++=death,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
tells ^vbz++++=tells
you ^pp2+pp2+++=you
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
never ^rb++++=never
imagined ^vbn+vprv++xvbn+=imagined
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
would ^md+prd+++=would
come ^vb++++=come
back ^jjb++++=back
to ^to++++=to
say ^vbi+vpub+++=say
goodbye ^nn++++=goodbye
to ^in++++=to
Grandmama ^np+++??+=Grandmama
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
how ^wrb+who+whcl++=how
much ^rb++++=much
you ^pp2+pp2+++=you
hated ^vbd+++xvbn+=hated
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
word ^nn++++=word
" ^zz++++="hate"
hate ^vb++++=EXTRAWORD
" ^zz++++=EXTRAWORD
hangs ^vbz++++=hangs
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
between ^in++++=between
you ^pp2+pp2+++=you
both ^abx++++=both
like ^in++++=like
an ^at++++=an
accusation ^nn+nom+++=accusation.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
want ^vb++++=want
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
you ^pp2+pp2+++=you
in ^in++++=in
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
hearing ^vbg+vprv++xvbgx+=hearing
his ^pp$+pp3+++=his
voice ^nn++++=voice
in ^in++++=in
eighteen ^cd++++=eighteen
years ^nns++++=years,
, ^zz++++=EXTRAWORD
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
that ^cs+sub+++=that
Grandmama ^np+++??+=Grandmama
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
would ^md+prd+++=would
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
his ^pp$+pp3+++=his
words ^nns++++=words
you ^pp2+pp2+++=you
leaned ^vbd+++xvbn+=leaned
on ^in++++=on
your ^pp$+pp2+++=your
office ^nn++++=office
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
legs ^nns++++=legs
turning ^vwbg+++xvbg+=turning
molten ^jj++++=molten,
, ^zz++++=EXTRAWORD
a ^at++++=a
lifetime ^nn++++=lifetime
of ^in++++=of
silence ^nn+nom+++=silence
collapsing ^vwbg+++xvbg+=collapsing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
Grandmama ^np+++??+=Grandmama
you ^pp2+pp2+++=you
thought ^vbd+++xvbn+=thought
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Nonso ^np+++??+=Nonso,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Dozie ^np+++??+=Dozie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
avocado ^nn+++??+=avocado
tree ^nn++++=tree
and ^cc++++=and
