Martha ^np+++??+=Martha
of ^in++++=of
de ^&fw++++=de
sistahs ^nns+++??+=sistahs
dat ^nn+++??+=dat's
's ^$++++=EXTRAWORD
willin ^nn+++??+=willin'
' ^zz++++=EXTRAWORD
to ^in++++=to
he ^pp3a+pp3+++=he'p
'p ^nn+++??+=EXTRAWORD
mek ^nn+++??+=mek
dis ^np++++=dis
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
Chris ^np++++=Chris'mus
'mus ^nns++be+??+0=EXTRAWORD
a ^at++++=a
real ^jj+atrb+++=real
sho ^nn+++??+=sho
' ^zz++++='nough
nough ^nn+++??+=EXTRAWORD
one ^pn++++=one,
, ^zz++++=EXTRAWORD
'll ^md+prd+++0='ll
' ^zz++++='blige
blige ^nn+++??+=EXTRAWORD
me ^pp1o+pp1+++=me
by ^in++++=by
meetin ^nn+++??+=meetin'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
in ^in++++=in
de ^&fw++++=de
basement ^nn+nom+++=basement
of ^in++++=of
de ^&fw++++=de
chu ^nn+++??+=chu'ch
'ch ^nn+++??+=EXTRAWORD
aftah ^nn+++??+=aftah
services ^nns++++=services.
. ^zz++++=EXTRAWORD
De ^&fw++++=De
brothahs ^nns+++??+=brothahs
kin ^nns++++=kin
go ^vb++++=go
' ^zz++++='long
long ^rb++++=EXTRAWORD
home ^nr++++=home
it ^pp3+it+++0='twell
well ^rb++++=EXTRAWORD
dey ^nn+++??+=dey
called ^vbd+++xvbn+=called
fu ^nn+++??+=fu'."
'." ^nn+++??+=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
another ^dt++++=another
outburst ^nn++++=outburst
of ^in++++=of
merriment ^nn+nom+++=merriment
at ^in++++=at
this ^dt+dem+++=this
sally ^np++++=sally,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj++++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj+atrb+++=EXTRAWORD
score ^nn++++=score
or ^cc++++=or
more ^rbr++++=more
of ^in++++=of
sisters ^nns+nom+++=sisters
who ^whp+rel+obj++=who
a ^rb++++=a
little ^rb"++++=little
later ^rbr+tm+++=later
met ^vbd+++xvbn+=met
the ^ati++++=the
pastor ^nn++++=pastor
as ^in++++=as
agreed ^nn++++=agreed.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
Martha ^np+++??+=Martha
Maria ^&fw++++=Maria
Mixon ^np+++??+=Mixon,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
very ^ql+amp+++=very
close ^in+cmpx+++=close
to ^in"++++=to
her ^pp$+pp3+++=her
pastor ^nn++++=pastor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
many ^ap++++=many
a ^at++++=a
day ^nn++++=day
had ^vbd+hvd+aux++=had
joyed ^vprf+++xvbnx+=joyed
his ^pp$+pp3+++=his
clerical ^jj+atrb+++=clerical
heart ^nn++++=heart
with ^in++++=with
special ^jj+atrb+++=special
dinners ^nns+nom+++=dinners.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,"
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
preacher ^nn+nom+++=preacher,
, ^zz++++=EXTRAWORD
rubbing ^vbg+++xvbg+=rubbing
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
" ^zz++++="Sistah
sistah ^nn+++??+=EXTRAWORD
Marthy ^np+++??+=Marthy,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in++++=on
han ^np++++=han'
' ^zz++++=EXTRAWORD
ez ^nn+++??+=ez
usual ^jj++++=usual
to ^in++++=to
he ^pp3a+pp3+++=he'p
'p ^nn+++??+=EXTRAWORD
me ^pp1o+pp1+++=me
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
Sis ^np+++??+=Sis
Jinny ^np+++??+=Jinny,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
Sis ^np+++??+=Sis
Dicey ^np+++??+=Dicey,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
quick ^jj++++=quick
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
the ^ati++++=the
signs ^nns++++=signs
of ^in++++=of
any ^dti++++=any
incipient ^jj+atrb+++=incipient
jealousy ^nn++++=jealousy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
equally ^rb++++=equally
ready ^jj++++=ready
to ^to+jcmp+++=to
check ^vbi+vprv+tht0++=check
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="We's
we ^pp1a+pp1+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
hyeah ^nn+++??+=hyeah,
, ^zz++++=EXTRAWORD
de ^&fw++++=de
faithful ^jj++++=faithful
few ^ap++++=few,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
we ^pp1a+pp1+++=we's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
ready ^jj+atrb+++=ready
fu ^nn+++??+=fu'
' ^zz++++=EXTRAWORD
wo ^&fw++++=wo'k."
'k." ^nn+++??+=EXTRAWORD
The ^ati++++=The
sisters ^nns+nom+++=sisters
beamed ^vbd+++xvbn+=beamed
and ^cc+phrs+++=and
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi++vrb++=have
some ^dti++++=some'p'n
'p'n ^nn+++??+=EXTRAWORD
evah ^nn+++??+=evah
night ^nn++++=night,
, ^zz++++=EXTRAWORD
beginnin ^nn+++??+=beginnin'
' ^zz++++=EXTRAWORD
wid ^in++++=wid
Chris ^np++++=Chris'mus
'mus ^nns++be+??+0=EXTRAWORD
night ^nn++++=night,
, ^zz++++=EXTRAWORD
straight ^jj++++=straight
on ^in++++=on
endurin ^nn+++??+=endurin'
' ^zz++++=EXTRAWORD
of ^in++++=of
de ^&fw++++=de
week ^nn++++=week,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
separate ^nn+nom+++=separate
you ^pp2+pp2+++=you
all ^rb++++=all
into ^in++++=into
companies ^nns++++=companies
fu ^nn+++??+=fu'
' ^zz++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
chawge ^nn+++??+=chawge
of ^in++++=of
each ^dt++++=each
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
I ^np++++=I's
's ^$++++=EXTRAWORD
a ^at++++=a-goin'
- ^zz++++=EXTRAWORD
goin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
powahful ^jj+atrb+++=powahful
preachah ^nn+++??+=preachah
f ^zz++++=f'om
'om ^nn+++??+=EXTRAWORD
de ^&fw++++=de
Souf ^np+++??+=Souf
wid ^in++++=wid
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
all ^rb++++=all
to ^to++++=to
show ^vbi+vprv+++=show
him ^pp3o+pp3+++=him
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
kin ^nns++++=kin
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
On ^in++++=On
Chris ^np++++=Chris'mus
'mus ^nns++be+??+0=EXTRAWORD
day ^nn++++=day
we ^pp1a+pp1+++=we
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
sermont ^jj+++xvbn+=sermont
at ^rb++++=at
de ^&fw++++=de
chu ^nn+++??+=chu'ch
'ch ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
a ^at++++=a
festabal ^nn+nom+++=festabal
in ^in++++=in
de ^&fw++++=de
evenin ^nn+++??+=evenin'
' ^zz++++=EXTRAWORD
wid ^in++++=wid
a ^at++++=a
Chris ^np++++=Chris'mus
'mus ^nns++be+??+0=EXTRAWORD
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Sis ^np+++??+=Sis'
' ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^in++++=to
boa ^nn+++??+=boa'd
'd ^md+prd+vrb++0=EXTRAWORD
de ^&fw++++=de
minister ^npt+nom+++=minister."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="La,
la ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Brothah ^np+++??+=Brothah
Todbu ^np+++??+=Todbu'y,
'y, ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
scarcely ^rb+down+++=scarcely
feel ^vb+vprv+++=feel
lak ^nn+++??+=lak
I ^np++++=I's
's ^$++++=EXTRAWORD
' ^zz++++='portant
portant ^nn+nom+++=EXTRAWORD
' ^zz++++='nough
nough ^nn+++??+=EXTRAWORD
fu ^nn+++??+=fu'
' ^zz++++=EXTRAWORD
dat ^nn+++??+=dat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Mixon ^np++++=Mixon
modestly ^rb+cnj+++=modestly,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
de ^&fw++++=de
bes ^nns+++??+=bes'
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kin ^nns++++=kin.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hatter ^jjr++++=hatter
be ^vb+be+vrb++=be
lak ^nn+++??+=lak
de ^&fw++++=de
widder ^jjr+atrb+++=widder's
's ^vbz+bez+vrb++0=EXTRAWORD
mice ^nns++++=mice
in ^in++++=in
de ^&fw++++=de
scuse ^nn+++??+=scuse
of ^in++++0=o'
meal ^nn++++=meal."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
got ^vbd+++xvbn+=got
no ^at++++=no
doubt ^nn++++=doubt
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
what ^wdt+who+++=what
you ^pp2+pp2+++=you
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
do ^vb++++=do,
, ^zz++++=EXTRAWORD
Sis ^np+++??+=Sis
Marthy ^np+++??+=Marthy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
pastor ^nn++++=pastor
passed ^vbd+++xvbn+=passed
to ^in++++=to
the ^ati++++=the
appointment ^nn+nom+++=appointment
of ^in++++=of
his ^pp$+pp3+++=his
other ^ap++++=other
committees ^nns+nom+++=committees.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
evening ^nn++++=evening
services ^nns++++=services
the ^ati++++=the
brothers ^nns+nom+++=brothers
were ^vbd+bed+aux++=were
similarly ^rb+cnj+splt++=similarly
called ^vpsv++agls+xvbnx+=called
in ^rb+phrv+++=in
consultation ^nn+nom+++=consultation
and ^cc++++=and
appointed ^vpsv++agls+xvbn+=appointed
to ^to+vcmp+++=to
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
duties ^nns++++=duties.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
black ^jj+atrb+++=black
people ^nns++++=people
to ^to++++=to
whom ^whp+wpor+++=whom
these ^dt+dem+++=these
responsibilities ^nns+nom+++=responsibilities
were ^vbd+bed+aux++=were
thus ^rb+cnj+splt++=thus
turned ^vpsv++agls+xvbnx+=turned
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
joy ^nn++++=joy
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
it ^pp3+it+++=it
the ^ati++++=the
vision ^nn++++=vision
of ^in++++=of
other ^ap++++=other
days ^nns++++=days
the ^ati++++=the
vision ^nn++++=vision
of ^in++++=of
the ^ati++++=the
dear ^jj+atrb+++=dear
old ^jj+atrb+++=old
days ^nns++++=days,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hard ^jj+atrb+++=hard
old ^jj+atrb+++=old
days ^nns++++=days
back ^jjb++++=back
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
South ^np+pl+++=South,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
their ^pp$+pp3+++=their
Christmas ^np++++=Christmas
from ^in++++=from
year ^nn++++=year
to ^in++++=to
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
time ^nn++++=time
of ^in++++=of
sadness ^nns+nom+++=sadness
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
of ^in++++=of
joy ^nn++++=joy,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
though ^cs+sub+++=though
the ^ati++++=the
week ^nn++++=week
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
over ^in++++=over
must ^nn++++=must
come ^vb++++=come
separation ^nn+nom+++=separation
and ^cc++++=and
sadness ^nns+nom+++=sadness.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
time ^nn++++=time
when ^wrb+who+++=when
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
hired ^vpsv++agls+xvbnx+=hired
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
loaned ^j+++xvbn+=loaned,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
given ^vbd+++xvbn+=given
away ^rb+cnj+++=away,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
to ^in++++=to
change ^nn++++=change
their ^pp$+pp3+++=their
homes ^nrs++++=homes.
. ^zz++++=EXTRAWORD
So ^ql++++=So
even ^cs+sub+++=even
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
danced ^vbd+++xvbnx+=danced
they ^pp3a+pp3+++=they
sighed ^vbd+++xvbnx+=sighed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
shouted ^vbd+vpub+tht0+xvbnx+=shouted
they ^pp3a+pp3+++=they
moaned ^vbd+++xvbnx+=moaned.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
such ^abl++++=such
repressing ^jj+atrb++xvbg+=repressing
fact ^nn++++=fact
to ^to++++=to
daunt ^vbi++++=daunt
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Christmas ^np++++=Christmas
would ^md+prd+++=would
come ^vb++++=come.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
enjoy ^vb++++=enjoy
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
over ^in++++=over
would ^nn++++=would
go ^vb++++=go
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
homes ^nrs++++=homes
to ^to++++=to
live ^vbi++++=live
through ^in++++=through
the ^ati++++=the
round ^nn++++=round
of ^in++++=of
months ^nns++++=months
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
familiar ^jj+atrb+++=familiar
faces ^nns++++=faces
and ^cc++++=and
among ^in++++=among
their ^pp$+pp3+++=their
own ^ap++++=own
old ^jj+atrb+++=old
loved ^jj+atrb++xvbn+=loved
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thought ^nn+++xvbn+=thought
gave ^vbd+++xvbn+=gave
sweetness ^nns+nom+++=sweetness
to ^in++++=to
their ^pp$+pp3+++=their
labour ^nn++++=labour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
responsibilities ^nns+nom+++=responsibilities
devolving ^vwbg+++xvbg+=devolving
upon ^in++++=upon
them ^pp3o+pp3+++=them
imbued ^vbd+++xvbn+=imbued
the ^ati++++=the
sacred ^jj+atrb+++=sacred
holiday ^nn++++=holiday
with ^in++++=with
a ^at++++=a
meaning ^jj+++xvbg+=meaning
and ^cc++++=and
charm ^nn++++=charm
that ^tht+rel+obj++=that
it ^pp3+it+++=it
had ^vb+hv+aux++=had
never ^rb++++=never
had ^vb+hv+vrb++=had
before ^in++++=before
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
bubbled ^vbd+++xvbnx+=bubbled
over ^in++++=over
with ^in++++=with
importance ^nn+nom+++=importance
and ^cc++++=and
with ^in++++=with
the ^ati++++=the
glory ^nn++++=glory
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
A ^at++++=A
sister ^nn++++=sister
and ^cc++++=and
a ^at++++=a
brother ^nn++++=brother
could ^md+pos+++=could
not ^xnot++not++=not
meet ^vb++++=meet
without ^in++++=without
a ^at++++=a
friendly ^jj++++=friendly
banter ^jjr++++=banter.
. ^zz++++=EXTRAWORD
" ^zz++++="Hi,
hi ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sis ^np+++??+=Sis'
' ^zz++++=EXTRAWORD
Dicey ^np+++??+=Dicey,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Brother ^nn++++=Brother
Williams ^np++++=Williams
would ^md+prd+++=would
call ^vb++++=call
out ^rp+pl+++=out
across ^in+pl+++=across
the ^ati++++=the
fence ^nn++++=fence
to ^in++++=to
his ^pp$+pp3+++=his
neighbour ^nn++++=neighbour,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
don ^npt++++=don'
' ^zz++++=EXTRAWORD
believe ^vb+vprv+tht0++=believe
you ^pp2+pp2+++=you
doin ^nn+++??+=doin'
' ^zz++++=EXTRAWORD
anything ^pn++++=anything
to ^in++++=to'ds
'ds ^nns+++??+0=EXTRAWORD
dat ^nn+++??+=dat
Chris ^np++++=Chris'mus
'mus ^nns++be+??+0=EXTRAWORD
celebration ^nn+nom+++=celebration.
. ^zz++++=EXTRAWORD
Evah ^np+++??+=Evah
time ^nn++++=time
I ^pp1a+pp1+++=I
sees ^vbz+vprv+tht0++=sees
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
de ^&fw++++=de
washtub ^nn+++??+=washtub
tryin ^nn+++??+=tryin'
' ^zz++++=EXTRAWORD
to ^in++++=to
mek ^jj+atrb++??+=mek
braid ^nn++++=braid
and ^cc++++0=an'
meat ^nn++++=meat
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
dat ^nn+++??+=dat
no ^at++++=no
' ^zz++++='count
count ^npt++++=EXTRAWORD
man ^nn++++=man
of ^in++++0=o'
yo ^nn+++??+=yo'n."
'n." ^nn+++??+=EXTRAWORD
Sister ^nn++++=Sister
Dicey ^np++++=Dicey's
's ^$++++=EXTRAWORD
laugh ^nn++++=laugh
rang ^vbd+++xvbn+=rang
out ^rp+pl+++=out
loud ^jj++++=loud
and ^cc+phrs+++=and
musical ^jj++++=musical
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
" ^zz++++="Nevah
nevah ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
min ^nnu++++=min',
', ^nn+++??+=EXTRAWORD
Brothah ^np+++??+=Brothah
Williams ^np++++=Williams.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don'
' ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
back ^rp++++=back
bowed ^vwbn+++xvbn+=bowed
so ^ql++++=so
much ^ap++++=much
by ^in++++=by
de ^&fw++++=de
yoke ^nn++++=yoke."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
honey ^nn++++=honey,
, ^zz++++=EXTRAWORD
I ^np++++=I's
's ^$++++=EXTRAWORD
labo ^nn+++??+=labo'in'
'in' ^nn+++??+=EXTRAWORD
even ^rb++++=even
ef ^nn+++??+=ef
you ^pp2+pp2+++=you
do ^vb+do+aux++=do'n
'n ^nn+++??+=EXTRAWORD
know ^vb+vprv+++=know
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
it ^pp3+it+++=it
on ^in++++=on
de ^&fw++++=de
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
' ^zz++++='low
low ^jj++++=EXTRAWORD
you ^pp2+pp2+++=you
labo ^nn+++??+=labo'in'
'in' ^nn+++??+=EXTRAWORD
de ^&fw++++=de
mos ^nps++++=mos'
' ^zz++++=EXTRAWORD
to ^in++++=to
git ^np++++=git
dat ^nn+++??+=dat
wife ^nn++++=wife
of ^in++++0=o'
yo ^nn+++??+=yo'n
'n ^nn+++??+=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
dress ^nn++++=dress,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
her ^pp$+pp3+++=her
tormentor ^nn++++=tormentor's
's ^$++++=EXTRAWORD
guffaw ^nn++++=guffaw
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
admit ^vbi+vpub+++=admit
some ^dti++++=some
such ^abl++++=such
benevolent ^jj+atrb+++=benevolent
intention ^nn+nom+++=intention.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
corners ^nns+nom+++=corners
of ^in++++=of
every ^at++++=every
house ^nn++++=house
where ^wrb+who+++=where
the ^ati++++=the
younger ^jjr++++=younger
and ^cc++++=and
more ^rbr++++=more
worldly ^jj++++=worldly-minded
- ^zz++++=EXTRAWORD
minded ^jj+atrb++xvbn+=EXTRAWORD
people ^nns++++=people
congregated ^vbd+++xvbn+=congregated
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
much ^ap++++=much
whispering ^jj+++xvbg+=whispering
and ^cc+phrs+++=and
giggling ^jj+++xvbg+=giggling,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
own ^ap++++=own
plans ^nns++++=plans
for ^in++++=for
Christmas ^np++++=Christmas
outside ^in+cmpx+++=outside
of ^in"++++=of
the ^ati++++=the
church ^nn++++=church
affair ^nn++++=affair.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
give ^vbi++++=give
me ^pp1o+pp1+++=me
de ^&fw++++=de
pleasure ^nn++++=pleasure
of ^in++++=of
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
comp ^nn+++??+=comp'ny
'ny ^nn+++??+=EXTRAWORD
to ^to++++=to
de ^&fw++++=de
dance ^nn++++=dance
aftah ^nn+++??+=aftah
de ^&fw++++=de
festabal ^jj++++=festabal?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
some ^dti++++=some
ardent ^jj+atrb+++=ardent
and ^cc+phrs+++=and
early ^jj+atrb+++=early
swain ^nn+++??+=swain
would ^md+prd+++=would
murmur ^vb+vpub+++=murmur
to ^in++++=to
his ^pp$+pp3+++=his
lady ^npt++++=lady
love ^nn++++=love,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whisper ^nn++++=whisper
would ^md+prd+++=would
fly ^vb++++=fly
back ^jjb++++=back
in ^in++++=in
well ^rb++++=well-feigned
- ^zz++++=EXTRAWORD
feigned ^jj+atrb++xvbn+=EXTRAWORD
affright ^nn+++??+=affright,
, ^zz++++=EXTRAWORD
" ^zz++++="Heish,
heish ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
have ^vbi++++=have
Brothah ^np+++??+=Brothah
Todbu ^np+++??+=Todbu'y
'y ^nn+++??+=EXTRAWORD
chu ^nn+++??+=chu'chin'
'chin' ^nn+++??+=EXTRAWORD
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
the ^ati++++=the
swain ^nn+++??+=swain
persisted ^vbd+++xvbn+=persisted,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
little ^ap++++=little
chance ^nn++++=chance
of ^in++++=of
his ^pp$+pp3+++=his
being ^vbg+beg++xvbg+=being
ultimately ^rb++++=ultimately
refused ^vbd+++xvbn+=refused.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
devil ^nn++++=devil
kept ^vbd+++xvbn+=kept
pace ^nn++++=pace
with ^in++++=with
the ^ati++++=the
things ^nns++++=things
of ^in++++=of
the ^ati++++=the
spirit ^nn++++=spirit
in ^in++++=in
the ^ati++++=the
great ^jj+atrb+++=great
preparation ^nn+nom+++=preparation.
