( ^zz++++=(1
obtain ^vbi++++=obtain
a ^at++++=a
whole ^jj+atrb+++=whole
day ^nn++++=day's
's ^$++++=EXTRAWORD
exemption ^nn+nom+++=exemption
from ^in++++=from
school ^nn++++=school,
, ^zz++++=EXTRAWORD
the ^ati++++=the
customary ^jj++++=customary
half ^abn++++=half-holiday
- ^zz++++=EXTRAWORD
holiday ^nn++++=EXTRAWORD
not ^xnot++not++=not
being ^vbg+beg++xvbg+=being
long ^rb++++=long
enough ^qlp++++=enough
for ^in++++=for
our ^pp$+pp1+++=our
picnic ^nn++++=picnic.
. ^zz++++=EXTRAWORD
Somehow ^rb+cnj+++=Somehow,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
not ^xnot++not++=not
work ^vb++++=work
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
fortune ^nn++++=fortune
arranged ^vwbn+vsua++xvbn+=arranged
it ^pp3+it+++=it
for ^in++++=for
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
say ^vb+vpub+++=say
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
else ^rb+cnj+++=else
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
played ^vbd+++xvbn+=played
truant ^nn++++=truant
( ^zz++++=("hookey"
" ^zz++++=EXTRAWORD
hookey ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
called ^vbd+++xvbn+=called
it ^pp3+it+++=it)
) ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
afternoon ^nn++++=afternoon
the ^ati++++=the
four ^cd++++=four
owners ^nns++++=owners
of ^in++++=of
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
exchanged ^vbd+++xvbn+=exchanged
significant ^jj+atrb+++=significant
glances ^nns+nom+++=glances
when ^wrb+who+++=when
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grimshaw ^np++++=Grimshaw
announced ^vbd+vpub++xvbn+=announced
from ^in++++=from
the ^ati++++=the
desk ^nn++++=desk
that ^tht+rel+obj++=that
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
no ^at++++=no
school ^nn++++=school
the ^ati++++=the
following ^jj+atrb++xvbg+=following
day ^nn++++=day,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
having ^vbg+hvg++xvbg+=having
just ^rb+emph+++=just
received ^vbd+++xvbn+=received
intelligence ^nn+nom+++=intelligence
of ^in++++=of
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
his ^pp$+pp3+++=his
uncle ^nn++++=uncle
in ^in++++=in
Boston ^np++++=Boston.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
sincerely ^rb++splt++=sincerely
attached ^vpsv++agls+xvbnx+=attached
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grimshaw ^np++++=Grimshaw,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid
that ^tht+jcmp+++=that
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
his ^pp$+pp3+++=his
uncle ^nn++++=uncle
did ^vbd+dod+aux++=did
not ^xnot++not++=not
affect ^vb++++=affect
me ^pp1o+pp1+++=me
as ^ql++++=as
it ^pp3+it+++=it
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
done ^vprf+++xvbn+=done.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
up ^rp++++=up
before ^in++++=before
sunrise ^nn++++=sunrise
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
take ^vb++++=take
advantage ^nn+nom+++=advantage
of ^in++++=of
the ^ati++++=the
flood ^nn++++=flood-tide,
- ^zz++++=EXTRAWORD
tide ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
waits ^nns+++??+=waits
for ^in++++=for
no ^at++++=no
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
preparations ^nns+nom+++=preparations
for ^in++++=for
the ^ati++++=the
cruise ^nn++++=cruise
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
the ^ati++++=the
previous ^jj+atrb+++=previous
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
eatables ^nns++++=eatables
and ^cc++++=and
drinkables ^nns+++??+=drinkables,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
stored ^vprf+++xvbnx+=stored
in ^in++++=in
the ^ati++++=the
stern ^nn++++=stern
of ^in++++=of
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
a ^at++++=a
generous ^jj+atrb+++=generous
bag ^nn++++=bag
of ^in++++=of
hard ^jj++++=hard-tack
- ^zz++++=EXTRAWORD
tack ^nn++++=EXTRAWORD
( ^zz++++=(for
for ^in++++=EXTRAWORD
the ^ati++++=the
chowder ^jjr++++=chowder),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
pork ^nn++++=pork
to ^in++++=to
fry ^nns++++=fry
the ^ati++++=the
cunners ^nns+nom+++=cunners
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
three ^cd++++=three
gigantic ^jj+atrb+++=gigantic
apple ^nn++++=apple
pies ^nns++++=pies
( ^zz++++=(bought
bought ^vprf+++xvbn+=EXTRAWORD
at ^rb++++=at
Pettingil ^np+++??+=Pettingil's),
's), ^nn+++??+=EXTRAWORD
half ^abn++++=half
a ^at++++=a
dozen ^cd++++=dozen
lemons ^nns++++=lemons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
keg ^nn+++??+=keg
of ^in++++=of
spring ^nn++++=spring
water ^nn++++=water--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
last ^ap++++=last-named
- ^zz++++=EXTRAWORD
named ^xvbn+++xvbn+=EXTRAWORD
articles ^nns++++=articles
were ^vbd+bed+aux++=were
slung ^vpsv++agls+xvbnx+=slung
over ^in++++=over
the ^ati++++=the
side ^nn++++=side,
, ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
it ^pp3+it+++=it
cool ^jj++++=cool,
, ^zz++++=EXTRAWORD
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
under ^in++++=under
way ^nn++++=way.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crockery ^nn+nom+++=crockery
and ^cc++++=and
the ^ati++++=the
bricks ^nns++++=bricks
for ^in++++=for
our ^pp$+pp1+++=our
campstove ^nn+++??+=campstove
we ^pp1a+pp1+++=we
placed ^vbd+++xvbn+=placed
in ^in++++=in
the ^ati++++=the
bows ^nns++++=bows
with ^in++++=with
the ^ati++++=the
groceries ^nns+nom+++=groceries,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
included ^vbd+++xvbn+=included
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
pepper ^nn++++=pepper,
, ^zz++++=EXTRAWORD
salt ^jj++++=salt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
bottle ^nn++++=bottle
of ^in++++=of
pickles ^nns+++??+=pickles.
. ^zz++++=EXTRAWORD
Phil ^np++++=Phil
Adams ^np++++=Adams
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
the ^ati++++=the
outfit ^nn++++=outfit
a ^at++++=a
small ^jj+atrb+++=small
tent ^nn++++=tent
of ^in++++=of
unbleached ^jj+++xvbn+=unbleached
cotton ^np++++=cotton
cloth ^nn++++=cloth,
, ^zz++++=EXTRAWORD
under ^in++++=under
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
intended ^vbd+vsua++xvbn+=intended
to ^to+vcmp+++=to
take ^vbi++++=take
our ^pp$+pp1+++=our
nooning ^nvbg+++xvbg+=nooning.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
unshipped ^vbd+++xvbn+=unshipped
the ^ati++++=the
mast ^nn++++=mast,
, ^zz++++=EXTRAWORD
threw ^j+++xvbn+=threw
in ^in++++=in
an ^at++++=an
extra ^jj+atrb+++=extra
oar ^nn++++=oar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
embark ^vbi++++=embark.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
Christopher ^np+nom+++=Christopher
Columbus ^np+++??+=Columbus,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
started ^vbd+++xvbnx+=started
on ^in++++=on
his ^pp$+pp3+++=his
rather ^rb++++=rather
successful ^jj+atrb+++=successful
voyage ^nn++++=voyage
of ^in++++=of
discovery ^nn+nom+++=discovery,
, ^zz++++=EXTRAWORD
felt ^j+++xvbn+=felt
half ^abn++++=half
the ^ati++++=the
responsibility ^nn+nom+++=responsibility
and ^cc++++=and
importance ^nn+nom+++=importance
that ^tht+rel+subj++=that
weighed ^vbd+++xvbn+=weighed
upon ^in++++=upon
me ^pp1o+pp1+++=me
as ^ql++++=as
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
on ^in++++=on
the ^ati++++=the
middle ^jjb+atrb+++=middle
seat ^nn++++=seat
of ^in++++=of
the ^ati++++=the
Dolphin ^np+++??+=Dolphin,
, ^zz++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
oar ^nn++++=oar
resting ^vwbg+++xvbg+=resting
in ^in++++=in
the ^ati++++=the
rowlock ^nn++++=rowlock.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
if ^cs+cnd+++=if
Christopher ^np+nom+++=Christopher
Columbus ^np+++??+=Columbus
quietly ^rb++++=quietly
slipped ^vbd+++xvbn+=slipped
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
without ^in++++=without
letting ^xvbg+++xvbg+=letting
his ^pp$+pp3+++=his
estimable ^jj+atrb+++=estimable
family ^nn++++=family
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
up ^rp++++=up
to ^to++++=to?
? ^zz++++=EXTRAWORD
Charley ^np++++=Charley
Marden ^np+++??+=Marden,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
father ^nn++++=father
had ^vbd+hvd+aux++=had
promised ^vprf+++xvbnx+=promised
to ^to+vcmp+++=to
cane ^vb++++=cane
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
ever ^rb++++=ever
stepped ^vbd+++xvbn+=stepped
foot ^nn++++=foot
on ^in++++=on
sail ^vb++++=sail
or ^cc++++=or
row ^nn++++=row
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
wharf ^nn++++=wharf
in ^in++++=in
a ^at++++=a
sourgrape ^nn+++??+=sourgrape
humor ^nn++++=humor,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
us ^pp1o+pp1+++=us
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
would ^md+prd+++=would
tempt ^vb++++=tempt
him ^pp3o+pp3+++=him
to ^to++++=to
go ^vbi++++=go
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
river ^nn++++=river
in ^in++++=in
such ^abl++++=such
a ^at++++=a
crazy ^jj+atrb+++=crazy
clam ^nn+++??+=clam-shell
- ^zz++++=EXTRAWORD
shell ^nn++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pretended ^vbd+vprv++xvbnx+=pretended
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
behold ^vbi++++=behold
us ^pp1o+pp1+++=us
alive ^jj++++=alive
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
throw ^vbi++++=throw
a ^at++++=a
wet ^jj+atrb+++=wet
blanket ^nn++++=blanket
over ^in++++=over
the ^ati++++=the
expedition ^nn+nom+++=expedition.
. ^zz++++=EXTRAWORD
" ^zz++++="Guess
guess ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
squally ^rb++++=squally
time ^nn++++=time
of ^in++++=of
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Charley ^np++++=Charley,
, ^zz++++=EXTRAWORD
casting ^vbg+++xvbg+=casting
off ^in+pl+++=off
the ^ati++++=the
painter ^nn++++=painter.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
drop ^vb++++=drop
in ^in++++=in
at ^in++++=at
old ^jj+atrb+++=old
Newbury ^np+++??+=Newbury's"
's" ^nn+++??+=EXTRAWORD
( ^zz++++=(Newbury
newbury ^np++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
parish ^nn++++=parish
undertaker ^nn+nom+++=undertaker)
) ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
leave ^nn++++=leave
word ^nn++++=word,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
go ^vb++++=go
along ^in+strn+++=along!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bosh!"
bosh ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
muttered ^vbd+++xvbn+=muttered
Phil ^np++++=Phil
Adams ^np++++=Adams,
, ^zz++++=EXTRAWORD
sticking ^vbg+++xvbg+=sticking
the ^ati++++=the
boathook ^nn++++=boathook
into ^in++++=into
the ^ati++++=the
string ^nn++++=string-piece
- ^zz++++=EXTRAWORD
piece ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
wharf ^nn++++=wharf,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sending ^vbg+++xvbg+=sending
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
half ^nn++++=half
a ^at++++=a
dozen ^cd++++=dozen
yards ^nns++++=yards
toward ^in++++=toward
the ^ati++++=the
current ^nn++++=current.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
calm ^nn++++=calm
and ^cc++++=and
lovely ^jj++++=lovely
the ^ati++++=the
river ^nn++++=river
was ^vbd+bedz+vrb++=was!
! ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
ripple ^nn++++=ripple
stirred ^vbd+++xvbn+=stirred
on ^in++++=on
the ^ati++++=the
glassy ^nn+++??+=glassy
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
broken ^j+++xvbn+=broken
only ^rb+down+++=only
by ^in++++=by
the ^ati++++=the
sharp ^jj++++=sharp
cutwater ^jjr++++=cutwater
of ^in++++=of
our ^pp$+pp1+++=our
tiny ^jj+atrb+++=tiny
craft ^nn++++=craft.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
as ^ql++++=as
round ^in++++=round
and ^cc++++=and
red ^jj++++=red
as ^ql++++=as
an ^at++++=an
August ^nr++++=August
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
peering ^vwbg+++xvbg+=peering
above ^jjb++++=above
the ^ati++++=the
water ^nn++++=water-line.
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
town ^nn++++=town
had ^vbd+hvd+aux++=had
drifted ^vprf+++xvbnx+=drifted
behind ^rp+pl+++=behind
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
entering ^vbg+++xvbgx+=entering
among ^in++++=among
the ^ati++++=the
group ^nn++++=group
of ^in++++=of
islands ^nns++++=islands.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
we ^pp1a+pp1+++=we
could ^md+pos+++=could
almost ^rb+hdg+++=almost
touch ^nn++++=touch
with ^in++++=with
our ^pp$+pp1+++=our
boathook ^nn++++=boathook
the ^ati++++=the
shelving ^nn++++=shelving
banks ^nns++++=banks
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
neared ^vbd+++xvbn+=neared
the ^ati++++=the
mouth ^nn++++=mouth
of ^in++++=of
the ^ati++++=the
harbor ^nn++++=harbor,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
breeze ^nn++++=breeze
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
wrinkled ^vwbn+++xvbn+=wrinkled
the ^ati++++=the
blue ^jj+atrb+++=blue
water ^nn++++=water,
, ^zz++++=EXTRAWORD
shook ^j+++xvbn+=shook
the ^ati++++=the
spangles ^nns+++??+=spangles
from ^in++++=from
the ^ati++++=the
foliage ^nn+nom+++=foliage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gently ^rb++++=gently
lifted ^vbd+++xvbn+=lifted
the ^ati++++=the
spiral ^nn++++=spiral
mist ^nn++++=mist-wreaths
- ^zz++++=EXTRAWORD
wreaths ^nns++++=EXTRAWORD
that ^tht+rel+subj++=that
still ^rb++++=still
clung ^vbd+++xvbn+=clung
alongshore ^nn+++??+=alongshore.
. ^zz++++=EXTRAWORD
The ^ati++++=The
measured ^jj+atrb++xvbn+=measured
dip ^nn++++=dip
of ^in++++=of
our ^pp$+pp1+++=our
oars ^nns+++??+=oars
and ^cc++++=and
the ^ati++++=the
drowsy ^jj+atrb+++=drowsy
twitterings ^nns+++??+=twitterings
of ^in++++=of
the ^ati++++=the
birds ^nns++++=birds
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
mingle ^vbi+++??+=mingle
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
break ^vb++++=break,
, ^zz++++=EXTRAWORD
the ^ati++++=the
enchanted ^nn++++=enchanted
silence ^nn+nom+++=silence
that ^dt+dem+++=that
reigned ^jj+++xvbn+=reigned
about ^rb++++=about
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scent ^nn++++=scent
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
clover ^nn++++=clover
comes ^vbz++++=comes
back ^jjb++++=back
to ^in++++=to
me ^pp1o+pp1+++=me
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
recall ^vb+vprv+++=recall
that ^tht+vcmp+++=that
delicious ^jj+atrb+++=delicious
morning ^nn++++=morning
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
floated ^vbd+++xvbn+=floated
away ^rp+pl+++=away
in ^in++++=in
a ^at++++=a
fairy ^nn++++=fairy
boat ^nn++++=boat
down ^in++++=down
a ^at++++=a
river ^nn++++=river
like ^in++++=like
a ^at++++=a
dream ^nn++++=dream!
! ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
was ^vbd+bedz+vrb++=was
well ^rb++++=well
up ^rp++++=up
when ^wrb+who+++=when
the ^ati++++=the
nose ^nn++++=nose
of ^in++++=of
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
nestled ^vbd+++xvbn+=nestled
against ^in++++=against
the ^ati++++=the
snow ^np++++=snow-white
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
bosom ^nn++++=bosom
of ^in++++=of
Sandpeep ^np+++??+=Sandpeep
Island ^nn++++=Island.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
island ^nn++++=island,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
the ^ati++++=the
cluster ^nn+nom+++=cluster,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
it ^pp3+it+++=it
being ^xvbg+++xvbg+=being
washed ^vpsv++by+xvbn+=washed
by ^in++++=by
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
landed ^vbd+++xvbn+=landed
on ^in++++=on
the ^ati++++=the
river ^nn++++=river-side,
- ^zz++++=EXTRAWORD
side ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
sloping ^jj+++xvbg+=sloping
sands ^npl++++=sands
and ^cc++++=and
quiet ^jj+atrb+++=quiet
water ^nn++++=water
affording ^vwbg+++xvbg+=affording
us ^pp1o+pp1+++=us
a ^at++++=a
good ^jj+atrb+++=good
place ^nn++++=place
to ^in++++=to
moor ^npl++++=moor
the ^ati++++=the
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
took ^vbd+++xvbn+=took
us ^pp1o+pp1+++=us
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
more ^rbr++++=more
to ^in++++=to
transport ^nn++++=transport
our ^pp$+pp1+++=our
stores ^nns++++=stores
to ^in++++=to
the ^ati++++=the
spot ^nn++++=spot
selected ^vwbn+++xvbn+=selected
for ^in++++=for
the ^ati++++=the
encampment ^nn+nom+++=encampment.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
pitched ^vbd+++xvbn+=pitched
our ^pp$+pp1+++=our
tent ^nn++++=tent,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
the ^ati++++=the
five ^cd++++=five
oars ^nns+++??+=oars
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
canvas ^nn++++=canvas,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
out ^rb+phrv+++=out
our ^pp$+pp1+++=our
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
down ^in++++=down
the ^ati++++=the
rocks ^nns++++=rocks
seaward ^jjb++++=seaward
to ^in++++=to
fish ^nns++++=fish.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
early ^jj+pred+++=early
for ^in++++=for
cunners ^nns+nom+++=cunners,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
lucky ^np++++=lucky
enough ^qlp++++=enough
to ^to++++=to
catch ^vbi++++=catch
as ^in++++=as
nice ^jj++++=nice
a ^at++++=a
mess ^nn++++=mess
as ^ql++++=as
ever ^rb++++=ever
you ^pp2+pp2+++=you
saw ^vbd+vprv++xvbn+=saw.
. ^zz++++=EXTRAWORD
A ^at++++=A
cod ^nn++++=cod
for ^in++++=for
the ^ati++++=the
chowder ^jjr++++=chowder
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^rb++++=so
easily ^rb++++=easily
secured ^vbd+++xvbn+=secured.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace
hauled ^vbd+++xvbn+=hauled
in ^in++++=in
a ^at++++=a
plump ^jj++++=plump
little ^rb++++=little
fellow ^jjb++++=fellow
clustered ^jj+++xvbn+=clustered
all ^abn++++=all
over ^in++++=over
with ^in++++=with
flaky ^jj+atrb+++=flaky
silver ^nn++++=silver.
. ^zz++++=EXTRAWORD
To ^in++++=To
skin ^nn++++=skin
the ^ati++++=the
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
build ^nn++++=build
our ^pp$+pp1+++=our
fireplace ^nn++++=fireplace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cook ^nn++++=cook
the ^ati++++=the
chowder ^nn++++=chowder
kept ^vbd+++xvbn+=kept
us ^pp1o+pp1+++=us
busy ^jj++++=busy
the ^ati++++=the
next ^ap++++=next
two ^cd++++=two
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fresh ^jj+atrb+++=fresh
air ^nn++++=air
and ^cc++++=and
the ^ati++++=the
exercise ^nn++++=exercise
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
us ^pp1o+pp1+++=us
the ^ati++++=the
appetites ^nns++++=appetites
of ^in++++=of
wolves ^nps++++=wolves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
about ^in++++=about
famished ^nn++++=famished
by ^in++++=by
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
savory ^nn++++=savory
mixture ^nn++++=mixture
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
for ^in++++=for
our ^pp$+pp1+++=our
clam ^nn+++??+=clam-shell
- ^zz++++=EXTRAWORD
shell ^nn++++=EXTRAWORD
saucers ^nns+nom+++=saucers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
insult ^nn++++=insult
the ^ati++++=the
rising ^jj+atrb++xvbg+=rising
generation ^nn+nom+++=generation
on ^in++++=on
the ^ati++++=the
seaboard ^nn++++=seaboard
by ^in++++=by
telling ^xvbg+++xvbg+=telling
them ^pp3o+pp3+++=them
how ^wrb+who+++=how
delectable ^jj++++=delectable
is ^vbz+bez+vrb++=is
a ^at++++=a
chowder ^nn++++=chowder
compounded ^vwbn+++xvbn+=compounded
and ^cc+phrs+++=and
eaten ^vwbn+++xvbn+=eaten
in ^in++++=in
this ^dt+dem+++=this
Robinson ^np++++=Robinson
Crusoe ^np+++??+=Crusoe
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
the ^ati++++=the
boys ^nns++++=boys
who ^whp+rel+subj++=who
live ^vb++++=live
inland ^jjb++++=inland,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
know ^vb+vprv+++=know
not ^xnot++not++=not
of ^in++++=of
such ^abl++++=such
