Each ^dt++++=Each
them ^pp3o+pp3+++=them
to ^in++++=to
their ^pp$+pp3+++=their
task ^nn++++=task.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
laws ^nns++++=laws
of ^in++++=of
the ^ati++++=the
chase ^nn++++=chase,
, ^zz++++=EXTRAWORD
the ^ati++++=the
choicest ^jjt+atrb+++=choicest
area ^nn++++=area
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left
for ^in++++=for
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
and ^cc++++=and
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
excited ^vbd+++xvbn+=excited
galleries ^nns+nom+++=galleries
followed ^vbd+vprv++xvbn+=followed
each ^ppls++++=each
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
leading ^jj+atrb++xvbg+=leading
contestants ^nns+nom+++=contestants.
. ^zz++++=EXTRAWORD
Bets ^nns++++=Bets
were ^vbd+bed+aux++=were
freely ^rb++splt++=freely
made ^vpsv++agls+xvbnx+=made.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
In ^in++++=In
a ^at++++=a
scant ^jj++++=scant
nine ^cd++++=nine
minutes ^nns++++=minutes
by ^in++++=by
the ^ati++++=the
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
Anastasie ^np+++??+=Anastasie
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen
to ^to+vcmp+++=to
freeze ^vbi++++=freeze
and ^cc++++=and
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
plunged ^vwbn+++xvbn+=plunged
to ^in++++=to
his ^pp$+pp3+++=his
plump ^jj+atrb+++=plump
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
whipped ^j+++xvbn+=whipped
out ^rp+pl+++=out
his ^pp$+pp3+++=his
trowel ^nn+++??+=trowel,
, ^zz++++=EXTRAWORD
dug ^xvbn+++xvbn+=dug
like ^in++++=like
a ^at++++=a
badger ^nn++++=badger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
another ^dt++++=another
minute ^nn++++=minute
brought ^vbd+++xvbn+=brought
to ^in+phrv+++=to
light ^jj++++=light
a ^at++++=a
handsome ^jj+atrb+++=handsome
truffle ^nn+++??+=truffle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
a ^at++++=a
small ^jj+atrb+++=small
potato ^nn++++=potato,
, ^zz++++=EXTRAWORD
blackish ^jj++++=blackish-gray
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
best ^jjt+atrb+++=best
truffles ^nns+++??+=truffles
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
studded ^vpsv++agls+xvbn+=studded
with ^in++++=with
warts ^nns++++=warts.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
gesture ^nn++++=gesture
of ^in++++=of
triumph ^nn++++=triumph,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exhibited ^vbd+++xvbnx+=exhibited
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
umpire ^nn++++=umpire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
popped ^vbd+++xvbn+=popped
it ^pp3+it+++=it
into ^in++++=into
his ^pp$+pp3+++=his
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rewarded ^vbd+++xvbnx+=rewarded
Anastasie ^np+++??+=Anastasie
with ^in++++=with
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
cheese ^nn++++=cheese,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
urged ^vbn+vsua++xvbn+=urged
her ^pp$+pp3+++=her
to ^in++++=to
new ^jj+atrb+++=new
conquests ^nps++++=conquests.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^ap++++=a
few ^ap"++++=few
seconds ^nns++++=seconds
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan
gave ^vbd+++xvbn+=gave
a ^at++++=a
short ^jj+atrb+++=short
hop ^nn++++=hop,
, ^zz++++=EXTRAWORD
skip ^vb++++=skip
and ^cc++++=and
jump ^nn++++=jump,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
fastened ^vpsv++agls+xvbnx+=fastened
on ^in++++=on
Clotilde ^np+++??+=Clotilde,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
motionless ^jj++++=motionless,
, ^zz++++=EXTRAWORD
save ^vb++++=save
for ^in++++=for
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
her ^pp$+pp3+++=her
snout ^nn++++=snout
which ^whp+rel+subj++=which
quivered ^vbd+++xvbn+=quivered
gently ^rb++++=gently.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan
dug ^vwbn+++xvbn+=dug
feverishly ^jj++++=feverishly
and ^cc++++=and
soon ^rb+tm+++=soon
brandished ^vbd+++xvbn+=brandished
aloft ^rb++++=aloft
a ^at++++=a
well ^rb++++=well-developed
- ^zz++++=EXTRAWORD
developed ^vprf+++xvbn+=EXTRAWORD
truffle ^nn+++??+=truffle.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
battle ^nn++++=battle
waged ^vbd+++xvbn+=waged.
. ^zz++++=EXTRAWORD
At ^rb++++=At
one ^cd1++++=one
time ^nn++++=time,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
series ^nn++++=series
of ^in++++=of
successes ^nns+nom+++=successes,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
was ^vbd+bedz+vrb++=was
three ^cd++++=three
up ^rp++++=up
on ^in++++=on
his ^pp$+pp3+++=his
rival ^jjb++++=rival,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Clotilde ^np+++??+=Clotilde,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
brilliant ^jj+atrb+++=brilliant
work ^nn++++=work
beneath ^in+pl+++=beneath
a ^at++++=a
chestnut ^nn++++=chestnut
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
brought ^j+++xvbn+=brought
to ^in++++=to
light ^jj++++=light
a ^at++++=a
nest ^nn++++=nest
of ^in++++=of
four ^cd++++=four
truffles ^nns+++??+=truffles
and ^cc++++=and
sent ^vbd+++xvbn+=sent
the ^ati++++=the
Pantan ^np+++??+=Pantan
colors ^nns++++=colors
to ^in++++=to
the ^ati++++=the
van ^nn++++=van.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
was ^vbd+bedz+aux++=was
setting ^vbg+++xvbgx+=setting;
; ^zz++++=EXTRAWORD
time ^nn++++=time
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
up ^rp++++=up.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
hunters ^nns+nom+++=hunters
had ^vb+hv+vrb++=had
long ^rb++++=long
since ^cs+sub+++=since
stopped ^vbd+++xvbn+=stopped
and ^cc++++=and
were ^vbd+bed+aux++=were
clustered ^vpsv++agls+xvbnx+=clustered
about ^in++++=about
the ^ati++++=the
two ^cd++++=two
chief ^jjb+atrb+++=chief
contestants ^nns+nom+++=contestants,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
but ^cc++++=but
collected ^vbd+++xvbn+=collected,
, ^zz++++=EXTRAWORD
bent ^j+++xvbn+=bent
all ^abn++++=all
their ^pp$+pp3+++=their
skill ^nn++++=skill
to ^in++++=to
the ^ati++++=the
hunt ^nn++++=hunt.
. ^zz++++=EXTRAWORD
Practically ^rb+down+++=Practically
every ^at++++=every
square ^jj+atrb+++=square
inch ^nn++++=inch
of ^in++++=of
ground ^nn++++=ground
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
covered ^vpsv++agls+xvbnx+=covered.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
one ^cd1++++=one
propitious ^jj+atrb+++=propitious
spot ^nn++++=spot
remained ^vbd+++xvbn+=remained,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
a ^at++++=a
giant ^jjb+atrb+++=giant
oak ^nn++++=oak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
moved ^xvbn+++xvbn+=moved
by ^in++++=by
a ^at++++=a
common ^jj+atrb+++=common
impulse ^nn++++=impulse,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stout ^jj+atrb+++=stout
Bonticu ^np+++??+=Bonticu
and ^cc++++=and
the ^ati++++=the
slender ^jj+atrb+++=slender
Pantan ^np+++??+=Pantan
simultaneously ^rb+tm+++=simultaneously
directed ^vbd+++xvbn+=directed
their ^pp$+pp3+++=their
pigs ^nns++++=pigs
toward ^in++++=toward
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^rb++++=a
little ^rb"++++=little
minute ^nn++++=minute
of ^in++++=of
time ^nn++++=time
now ^rn+tm+++=now
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gallery ^npl+nom+++=gallery
held ^vbd+vprv++xvbn+=held
its ^pp$+it+++=its
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
great ^nn++++=great
shout ^vb++++=shout
made ^vbd+++xvbn+=made
the ^ati++++=the
leaves ^nns++++=leaves
shake ^vb++++=shake
and ^cc++++=and
rustle ^nn++++=rustle.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
two ^cd++++=two
perfectly ^rb+amp+++=perfectly
synchronized ^vbd+++xvbn+=synchronized
machines ^nns++++=machines,
, ^zz++++=EXTRAWORD
Anastasie ^np+++??+=Anastasie
and ^cc++++=and
Clotilde ^np+++??+=Clotilde
had ^vbd+hvd+aux++=had
frozen ^vprf+++xvbnx+=frozen
and ^cc++++=and
were ^vbd+bed+aux++=were
pointing ^vbg+++xvbgx+=pointing.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
pointing ^vbg+++xvbgx+=pointing
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
spot ^nn++++=spot.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
active ^jj++++=active
than ^in++++=than
his ^pp$+pp3+++=his
rival ^jjb++++=rival,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
darted ^vprf+++xvbnx+=darted
to ^in++++=to
his ^pp$+pp3+++=his
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
trowel ^vb+++??+=trowel
poised ^vbd+++xvbn+=poised
for ^in++++=for
action ^nn++++=action.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
large ^jj+atrb+++=large
hand ^nn++++=hand
was ^vbd+bedz+aux++=was
laid ^vpsv++agls+xvbnx+=laid
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
politely ^rb+cnj+++=politely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
silky ^jj+atrb+++=silky
voice ^nn++++=voice
of ^in++++=of
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
Monsieur ^npt++++=Monsieur
will ^md+prd+++=will
pardon ^vb++++=pardon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
the ^ati++++=the
honor ^nn++++=honor
of ^in++++=of
informing ^xvbg+++xvbg+=informing
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
my ^pp$+pp1+++=my
find ^vb+vprv+++=find?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan,
, ^zz++++=EXTRAWORD
trowel ^nn+++??+=trowel
in ^in++++=in
mid ^jjb++++=mid-air,
- ^zz++++=EXTRAWORD
air ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
bowed ^j+++xvbn+=bowed
as ^ql++++=as
best ^jjt++++=best
a ^at++++=a
kneeling ^jj+atrb++xvbg+=kneeling
man ^nn++++=man
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
trust ^vb+vprv+++=trust,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
coolly ^rb+cnj+++=coolly,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
Monsieur ^npt++++=Monsieur
will ^md+prd+++=will
not ^xnot++not++=not
consider ^nn+nom+++=consider
it ^pp3+it+++=it
an ^at++++=an
impertinence ^nn+nom+++=impertinence
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
continue ^vb++++=continue
to ^to++++=to
dig ^vbi++++=dig
up ^rp++++=up
what ^wdt+who+++=what
my ^pp$+pp1+++=my
Clotilde ^np+++??+=Clotilde
has ^vbz+hvz+vrb++=has,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
peradventure ^nn+++??+=peradventure,
, ^zz++++=EXTRAWORD
discovered ^j+++xvbn+=discovered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
hope ^nn++++=hope
Monsieur ^npt++++=Monsieur
will ^md+prd+++=will
not ^xnot++not++=not
take ^vb++++=take
it ^pp3+it+++=it
amiss ^jj++++=amiss
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
step ^vb++++=step
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
light ^nn++++=light
as ^ql++++=as
his ^pp$+pp3+++=his
shadow ^nn++++=shadow
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
exactly ^rb++++=exactly
that ^cs+sub+++=that
of ^in++++=of
a ^at++++=a
sapling ^nn+nom+++=sapling."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
was ^vbd+bedz+aux++=was
trembling ^nvbg+++xvbg+=trembling,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
controlled ^jj+++xvbn+=controlled.
. ^zz++++=EXTRAWORD
" ^zz++++="With
with ^in++++=EXTRAWORD
profoundest ^jjt+atrb+++=profoundest
respect ^nn++++=respect,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
from ^in++++=from
deep ^nn++++=deep
in ^in++++=in
his ^pp$+pp3+++=his
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
beg ^vb++++=beg
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
inform ^vb++++=inform
Monsieur ^npt++++=Monsieur
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
may ^md+pos+++=may
say ^vb+vpub+++=say
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
in ^in++++=in
error ^nn++++=error.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
ask ^vb++++=ask
Monsieur ^npt++++=Monsieur,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
sportsman ^nn+nom+++=sportsman,
, ^zz++++=EXTRAWORD
to ^in++++=to
step ^nn++++=step
back ^jjb++++=back
and ^cc++++=and
permit ^nn++++=permit
me ^pp1o+pp1+++=me
to ^to++++=to
take ^vbi++++=take
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
justly ^rb++++=justly
mine ^nn++++=mine."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pantan ^np++++=Pantan's
's ^$++++=EXTRAWORD
face ^nn++++=face
was ^vbd+bedz+vrb++=was
terrible ^jj+pred+++=terrible
to ^to++++=to
see ^vbi+vprv+++=see,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
icily ^rb++++=icily
formal ^jj+pred+++=formal.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
regret ^nn++++=regret,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
admit ^vb+vpub+++=admit
Monsieur ^np++++=Monsieur's
's ^$++++=EXTRAWORD
contention ^nn+nom+++=contention.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
sport ^nn++++=sport,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
own ^ap++++=own
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
call ^vb++++=call
upon ^in++++=upon
Monsieur ^npt++++=Monsieur
to ^to++++=to
retire ^vbi++++=retire
from ^in++++=from
his ^pp$+pp3+++=his
position ^nn+nom+++=position."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That,"
that ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
never ^rb++++=never
do ^vb+do+vrb++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
both ^abx++++=both
turned ^jj+atrb++xvbn+=turned
faces ^nns++++=faces
of ^in++++=of
appeal ^nn++++=appeal
to ^in++++=to
the ^ati++++=the
umpire ^nn++++=umpire.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
official ^jj++++=official
was ^vbd+bedz+aux++=was
bewildered ^vpsv++agls+xvbnx+=bewildered.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
rules ^nns++++=rules,
, ^zz++++=EXTRAWORD
Messieurs ^np+++??+=Messieurs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
confusedly ^rb++++=confusedly.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
forty ^cd++++=forty
years ^nns++++=years
as ^in++++=as
an ^at++++=an
umpire ^nn++++=umpire,
, ^zz++++=EXTRAWORD
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
happened ^vprf+++xvbn+=happened.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
matter ^nn++++=matter
to ^to++++=to
be ^vbi+vbi+aux++=be
settled ^vpsv++agls+xvbnx+=settled
between ^in++++=between
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
personally ^rb++++=personally."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
the ^ati++++=the
words ^nns++++=words,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan
commenced ^vwbn+++xvbn+=commenced
to ^to++++=to
dig ^vbi++++=dig
furiously ^rb++++=furiously.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
dropped ^vbd+++xvbn+=dropped
to ^in++++=to
his ^pp$+pp3+++=his
knees ^nns++++=knees
and ^cc++++=and
also ^rb++++=also
dug ^vbd+++xvbn+=dug,
, ^zz++++=EXTRAWORD
like ^in++++=like
some ^dti++++=some
great ^jj++++=great,
, ^zz++++=EXTRAWORD
green ^nn++++=green,
, ^zz++++=EXTRAWORD
panic ^nn++++=panic-stricken
- ^zz++++=EXTRAWORD
stricken ^jj++++=EXTRAWORD
beaver ^jjr++++=beaver.
. ^zz++++=EXTRAWORD
Mounds ^nns++++=Mounds
of ^in++++=of
dirt ^nn++++=dirt
flew ^vbd+++xvbn+=flew
up ^rp++++=up.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
second ^od++++=second
they ^pp3a+pp3+++=they
spied ^vprf+++xvbn+=spied
the ^ati++++=the
truffle ^nn+++??+=truffle,
, ^zz++++=EXTRAWORD
a ^at++++=a
monster ^nn+nom+++=monster
of ^in++++=of
its ^pp$+it+++=its
tribe ^nn++++=tribe.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
second ^od++++=second
the ^ati++++=the
plump ^jj+atrb+++=plump
fingers ^nns+nom+++=fingers
of ^in++++=of
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
and ^cc++++=and
the ^ati++++=the
thin ^jj+atrb+++=thin
fingers ^nns+nom+++=fingers
of ^in++++=of
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan
closed ^vbd+++xvbn+=closed
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Cries ^nns++++=Cries
of ^in++++=of
dismay ^nn++++=dismay
rose ^vbd+++xvbn+=rose
from ^in++++=from
the ^ati++++=the
gallery ^nn+nom+++=gallery.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
largest ^nn++++=largest
of ^in++++=of
truffles ^nns+++??+=truffles,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=called
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
break ^vb++++=break
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Broken ^jj+atrb++xvbn+=Broken
ones ^cd1s++++=ones
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
count ^vb++++=count."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
too ^ql++++=too
late ^jj++++=late.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
tugged ^vbd+++xvbn+=tugged
violently ^rb++++=violently;
; ^zz++++=EXTRAWORD
as ^cs+sub+++=as
violently ^rb++++=violently
tugged ^vbd+++xvbn+=tugged
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan.
. ^zz++++=EXTRAWORD
The ^ati++++=The
truffle ^nn+++??+=truffle,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed
a ^at++++=a
giant ^nn++++=giant
of ^in++++=of
its ^pp$+it+++=its
species ^nn++++=species,
, ^zz++++=EXTRAWORD
burst ^j+++xvbn+=burst
asunder ^rb++++=asunder.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
men ^nns++++=men
stood ^vbd+++xvbn+=stood,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
his ^pp$+pp3+++=his
half ^nn++++=half,
, ^zz++++=EXTRAWORD
each ^dt++++=each
glaring ^jj++++=glaring.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
trust ^vb+vprv+++=trust,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
hollowest ^jjt+atrb+++=hollowest
death ^nn++++=death-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
Monsieur ^npt++++=Monsieur
is ^vbz+bez+aux++=is
satisfied ^vpsv++agls+xvbnx+=satisfied.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
opinion ^nn++++=opinion
of ^in++++=of
Monsieur ^npt++++=Monsieur
as ^in++++=as
a ^at++++=a
sportsman ^nn+nom+++=sportsman,
, ^zz++++=EXTRAWORD
a ^at++++=a
gentleman ^nn+nom+++=gentleman
and ^cc++++=and
a ^at++++=a
Frenchman ^nn+nom+++=Frenchman."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
part ^nn++++=part,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan,
, ^zz++++=EXTRAWORD
with ^in++++=with
rising ^xvbg+++xvbg+=rising
passion ^nn++++=passion,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
impossible ^jj+pred+++=impossible
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
consider ^nn+nom+++=consider
Monsieur ^npt++++=Monsieur
as ^ql++++=as
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
three ^cd++++=three."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
say ^vb+vpub+++=say?"
