Eleven ^cd++++=Eleven
my ^pp$+pp1+++=my
fingers ^nns+nom+++=fingers
in ^in++++=in
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="That'll
that ^dt+pdem+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
teach ^vb+vsua+++=teach
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
fearful ^jj+atrb+++=fearful
burn ^nn++++=burn.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
the ^ati++++=the
mark ^nn++++=mark
of ^in++++=of
it ^pp3+it+++=it
to ^to++++=to-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
taken ^vprf+++xvbnx+=taken
such ^abl++++=such
pride ^nn++++=pride
in ^in++++=in
my ^pp$+pp1+++=my
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^md"++pmd"++=used
to ^to++++=to
sit ^vb++++=sit
me ^pp1o+pp1+++=me
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
counter ^nn++++=counter,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
customers ^nns+nom+++=customers
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+vrb++=do
it ^pp3+it+++=it
something ^pn++++=something
beautiful ^jj+atrb+++=beautiful
big ^jj+atrb+++=big,
, ^zz++++=EXTRAWORD
soft ^jj+atrb+++=soft
curls ^nns++++=curls
and ^cc++++=and
waved ^vpsv++agls+xvbn+=waved
over ^in++++=over
the ^ati++++=the
top ^nn++++=top.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
the ^ati++++=the
assistants ^nns+nom+++=assistants
standing ^vwbg+++xvbg+=standing
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
me ^pp1o+pp1+++=me
ever ^rb++++=ever
so ^rb+emph+++=so
solemn ^jj++++=solemn
with ^in++++=with
the ^ati++++=the
penny ^nn++++=penny
grandfather ^nn+nom+++=grandfather
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
to ^to++++=to
hold ^vbi+vprv+++=hold
while ^cs+sub+++=while
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
done ^vprf+++xvbn+=done
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
always ^rb++++=always
took ^vbd+++xvbn+=took
the ^ati++++=the
penny ^nn++++=penny
back ^jjb++++=back
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
grandfather ^nn+nom+++=grandfather!
! ^zz++++=EXTRAWORD
Wild ^jj++++=Wild,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
fright ^nn++++=fright
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
made ^vprf+++xvbnx+=made
of ^in++++=of
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
frightened ^vbd+++xvbnx+=frightened
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
round ^in++++=round
the ^ati++++=the
corners ^nns+nom+++=corners,
, ^zz++++=EXTRAWORD
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
far ^rb+pl+++=far
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
run ^vb+++xvbn+=run.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
have ^vb+hv+aux++=have
looked ^vprf+++xvbnx+=looked
a ^at++++=a
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
hand ^nn++++=hand
rolled ^vbd+++xvbn+=rolled
up ^rp++++=up
in ^in++++=in
my ^pp$+pp1+++=my
pinny ^nn+++??+=pinny
and ^cc++++=and
my ^pp$+pp1+++=my
hair ^nn++++=hair
sticking ^vwbg+++xvbg+=sticking
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
People ^nns++++=People
must ^md+nec+++=must
have ^vb+hv+aux++=have
laughed ^vprf+++xvbnx+=laughed
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
me ^pp1o+pp1+++=me
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
grandfather ^nn+nom+++=grandfather
never ^rb++++=never
got ^vbd+++xvbn+=got
over ^in+ppvb+++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
bear ^vb+vprv+++=bear
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
me ^pp1o+pp1+++=me
after ^in+strn+++=after.
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Couldn't
n't ^xnot++not++0=EXTRAWORD
eat ^vb++++=eat
his ^pp$+pp3+++=his
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
So ^ql++++=So
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
took ^vbd+++xvbn+=took
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
cripple ^nn++++=cripple,
, ^zz++++=EXTRAWORD
an ^at++++=an
upholstress ^nns+nom+++=upholstress.
. ^zz++++=EXTRAWORD
Tiny ^jj++++=Tiny!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^md"++pmd"++=had
to ^md+nec+++=to
stand ^vb++++=stand
on ^in++++=on
the ^ati++++=the
sofas ^nns+++??+=sofas
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
cut ^vbi++++=cut
out ^rp+pl+++=out
the ^ati++++=the
backs ^nns++++=backs.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
helping ^vbg+++xvbgx+=helping
her ^pp$+pp3+++=her
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
my ^pp$+pp1+++=my
lady ^nn++++=lady
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
so ^ql++++=so
very ^ql+amp+++=very,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
thirteen ^cd++++=thirteen,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
remember ^nn+nom+++=remember
ever ^rb++++=ever
feeling ^nvbg+++xvbg+=feeling
well ^rb++++=well
a ^at++++=a
child ^nn++++=child,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
might ^md+pos+++=might
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+tht0++=see
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
uniform ^nn++++=uniform,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
thing ^nn++++=thing
and ^cc++++=and
another ^dt++++=another.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
lady ^npt++++=lady
put ^vbd+++xvbn+=put
me ^pp1o+pp1+++=me
into ^in++++=into
collars ^nns++++=collars
and ^cc++++=and
cuffs ^nns++++=cuffs
from ^in++++=from
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
yes ^uh++++=yes
once ^cs+tm+++=once
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
funny ^jj+pred+++=funny!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
lady ^npt++++=lady
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
two ^cd++++=two
little ^jj+atrb+++=little
nieces ^nns++++=nieces
staying ^vwbg+++xvbg+=staying
with ^in++++=with
her ^pp$+pp3+++=her
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
at ^in++++=at
Sheldon ^np++++=Sheldon
at ^in++++=at
the ^ati++++=the
time ^nn++++=time
and ^cc++++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
fair ^nn++++=fair
on ^in++++=on
the ^ati++++=the
common ^nn++++=common.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ellen ^np++++=Ellen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
two ^cd++++=two
young ^jj+atrb+++=young
ladies ^nns++++=ladies
for ^in++++=for
a ^at++++=a
ride ^nn++++=ride
on ^in++++=on
the ^ati++++=the
donkeys ^nns++++=donkeys."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Off ^in+pl+++=Off
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went;
; ^zz++++=EXTRAWORD
solemn ^jj++++=solemn
little ^ap++++=little
loves ^vbz++++=loves
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were;
; ^zz++++=EXTRAWORD
each ^dt++++=each
had ^vb+hv+vrb++=had
a ^at++++=a
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
donkeys ^nns++++=donkeys
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
too ^ql++++=too
shy ^vb++++=shy
to ^to++++=to
go ^vbi++++=go
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
stood ^vbd+++xvbn+=stood
and ^cc+phrs+++=and
watched ^vbd+++xvbn+=watched
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
Beautiful ^jj++++=Beautiful
those ^dt+dem+++=those
donkeys ^nns++++=donkeys
were ^vbd+bed+vrb++=were!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
the ^ati++++=the
first ^rb++++=first
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
seen ^vprf+++xvbnx+=seen
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
cart ^nn++++=cart
for ^in++++=for
pleasure ^nn++++=pleasure
as ^ql++++=as
you ^pp2+pp2+++=you
might ^md+pos+++=might
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
a ^at++++=a
lovely ^jj+atrb+++=lovely
silver ^nn++++=silver-grey,
- ^zz++++=EXTRAWORD
grey ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
little ^ap++++=little
red ^jj+atrb+++=red
saddles ^nns++++=saddles
and ^cc++++=and
blue ^jj+atrb+++=blue
bridles ^nns+++??+=bridles
and ^cc++++=and
bells ^nns++++=bells
jing ^vwbg+++xvbg+=jing-a-jingling
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
jingling ^vbg+nom++xvbg+=EXTRAWORD
on ^in++++=on
their ^pp$+pp3+++=their
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
quite ^rb++++=quite
big ^jj+atrb+++=big
girls ^nns++++=girls
older ^jjr++++=older
than ^cs+sub+++=than
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
even ^rb++++=even
were ^vbd+bed+aux++=were
riding ^vbg+++xvbgx+=riding
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
ever ^rb++++=ever
so ^ql++++=so
gay ^np++++=gay.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
at ^rb++++=at
all ^abn++++=all
common ^jj++++=common,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
enjoying ^vbg+++xvbg+=enjoying
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
way ^nn++++=way
the ^ati++++=the
little ^jj+atrb+++=little
feet ^nns++++=feet
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
eyes ^nns++++=eyes
so ^rb+emph+++=so
gentle ^jj++++=gentle
and ^cc++++=and
the ^ati++++=the
soft ^jj+atrb+++=soft
ears ^nns++++=ears
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go
on ^in++++=on
a ^at++++=a
donkey ^nn++++=donkey
more ^ql++++=more
than ^cs+sub+++=than
anything ^pn++++=anything
in ^in++++=in
the ^ati++++=the
world ^nn++++=world!
! ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
my ^pp$+pp1+++=my
young ^jj+atrb+++=young
ladies ^nns++++=ladies.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
would ^md+prd+++=would
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
looked ^vprf+++xvbnx+=looked
like ^in++++=like
perched ^vbd+++xvbn+=perched
up ^rp++++=up
there ^rn+pl+++=there
in ^in++++=in
my ^pp$+pp1+++=my
uniform ^nn++++=uniform?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
all ^rb++++=all
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
donkeys ^nns++++=donkeys
donkeys ^nns++++=donkeys
on ^in++++=on
the ^ati++++=the
brain ^nn++++=brain
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv+tht0+xvbnx+=felt
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
burst ^vprf+++xvbnx+=burst
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
some ^dti++++=some
one ^pn++++=one;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^wpr+who+whq++=who
was ^vbd+bedz+aux++=was
there ^rn+pl+++=there
to ^to++++=to
tell ^vbi++++=tell?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^in++++=to
bed ^nn++++=bed
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
sleeping ^vbg+++xvbgx+=sleeping
in ^in++++=in
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
James ^np++++=James's
's ^$++++=EXTRAWORD
bedroom ^nn++++=bedroom,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
cook ^nn++++=cook
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
as ^in++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
lights ^nns++++=lights
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
donkeys ^nns++++=donkeys,
, ^zz++++=EXTRAWORD
jingling ^vbg+nom++xvbg+=jingling
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
neat ^jj+atrb+++=neat
little ^jj+atrb+++=little
feet ^nns++++=feet
and ^cc++++=and
sad ^jj+atrb+++=sad
eyes ^nns++++=eyes
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
you ^pp2+pp2+++=you
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
and ^cc++++=and
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
be ^vbi++vrb++=be
asleep ^jj+pred+++=asleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
suddenly ^rb++++=suddenly
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
up ^rp++++=up
and ^cc++++=and
called ^vbd+++xvbn+=called
out ^rp+pl+++=out
as ^ql++++=as
loud ^jj++++=loud
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go
on ^in++++=on
a ^at++++=a
donkey ^nn++++=donkey.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
want ^vb++++=want
a ^at++++=a
donkey ^nn++++=donkey-ride!"
- ^zz++++=EXTRAWORD
ride ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
they ^pp3a+pp3+++=they
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
laugh ^vb++++=laugh
at ^in+ppvb+++=at
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
knew ^vbd+vprv+tht0+xvbnx+=knew
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
dreaming ^vbg+++xvbgx+=dreaming.
. ^zz++++=EXTRAWORD
Artful ^np+++??+=Artful
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
what ^wdt+who+++=what
a ^at++++=a
silly ^jj+atrb+++=silly
child ^nn++++=child
would ^md+prd+++=would
think ^vb+vprv+++=think
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
never ^rb++++=never
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
think ^vb+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it
at ^in++++=at
one ^cd1++++=one
time ^nn++++=time.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^rb++++=a
little ^rb"++++=little
flower ^nn++++=flower-shop
- ^zz++++=EXTRAWORD
shop ^nn++++=EXTRAWORD
just ^rb+emph+++=just
down ^in++++=down
the ^ati++++=the
road ^nn++++=road
and ^cc++++=and
across ^in+pl+++=across
from ^in++++=from
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
was ^vbd+bedz+aux++=was
living ^vbg+++xvbgx+=living.
. ^zz++++=EXTRAWORD
Funny ^jj++++=Funny
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
me ^pp1o+pp1+++=me
such ^abl++++=such
a ^at++++=a
one ^pn++++=one
for ^in++++=for
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
having ^vbg+hvg++xvbg+=having
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
company ^nn++++=company
at ^in++++=at
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
shop ^nn++++=shop
more ^rbr++++=more
often ^rb++++=often
than ^in++++=than
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
saying ^nvbg+++xvbg+=saying
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Harry ^np++++=Harry
and ^cc++++=and
I ^pp1a+pp1+++=I
( ^zz++++=(his
his ^pp$+pp3+++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Harry ^np++++=Harry)
) ^zz++++=EXTRAWORD
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
quarrelling ^vbi+nom++xvbg+=quarrelling
about ^in++++=about
how ^wrb+who+++=how
things ^nns++++=things
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
arranged ^vbn+vsua++xvbn+=arranged
and ^cc++++=and
that ^dt+pdem+++=that
began ^vbd+++xvbn+=began
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Flowers ^nns+nom+++=Flowers!
! ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flowers ^nns+nom+++=flowers
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
bring ^vb++++=bring
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+aux++=EXTRAWORD
stop ^vb++++=stop
at ^rb++++=at
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
lilies ^nns++++=lilies-of-the-valley
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
valley ^npl++++=EXTRAWORD
more ^ql++++=more
than ^in++++=than
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
exaggerating ^vbg+++xvbg+=exaggerating!
! ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
