Seated ^xvbn+++xvbn+=Seated
of ^in++++0=o'
dumb ^jj+atrb+++=dumb
animals ^nns+nom+++=animals,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
conjurer ^nn++++=conjurer.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
' ^zz++++='and
and ^cc++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
' ^zz++++='art
art ^nn++++=EXTRAWORD
and ^cc++++=and
bowed ^vwbn+++xvbn+=bowed.
. ^zz++++=EXTRAWORD
" ^zz++++="Gentlemen
gentlemen ^nns++++=EXTRAWORD
all ^rb+cnj+++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'Aving
' ^zz++++=EXTRAWORD
aving ^xvbg+++xvbg+=EXTRAWORD
given ^vwbn+++xvbn+=given
you ^pp2+pp2+++=you
this ^dt+dem+++=this
specimen ^nn++++=specimen
of ^in++++=of
wot ^wpr++++=wot
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
to ^to+vcmp+++=to
give ^vbi++++=give
notice ^vb+vprv+++=notice
that ^tht+vcmp+++=that
with ^in++++=with
the ^ati++++=the
landlord ^nn++++=landlord's
's ^$++++=EXTRAWORD
kind ^nn++++=kind
permission ^nn++++=permission
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
give ^vb++++=give
my ^pp$+pp1+++=my
celebrated ^jj+atrb++xvbn+=celebrated
conjuring ^nn++++=conjuring
entertainment ^nn+nom+++=entertainment
in ^in++++=in
the ^ati++++=the
tap ^nn++++=tap-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
this ^dt+dem+++=this
evening ^nn++++=evening
at ^in++++=at
seven ^cd++++=seven
o ^zz++++=o'clock;
'clock; ^nn+++??+=EXTRAWORD
ad ^&fw++++=ad--mission,
-- ^--+clp+++=EXTRAWORD
mission ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
three ^cd++++=three-pence
- ^zz++++=EXTRAWORD
pence ^nns++++=EXTRAWORD
each ^dt++++=each."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand
' ^zz++++='im
im ^&fw++++=EXTRAWORD
at ^rb++++=at
fust ^nn+++??+=fust,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
last ^rb"++++=last
they ^pp3a+pp3+++=they
see ^vb+vprv+++=see
wot ^wpr++++=wot
' ^zz++++='e
e ^zz++++=EXTRAWORD
meant ^vbd+vprv++xvbn+=meant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
explaining ^jj+++xvbg+=explaining
to ^in++++=to
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
giving ^vbg+++xvbgx+=giving
little ^ap++++=little
jumps ^nns++++=jumps,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
led ^vbd+++xvbnx+=led
' ^zz++++='im
im ^&fw++++=EXTRAWORD
up ^rp++++=up
into ^in++++=into
a ^at++++=a
corner ^nn++++=corner
and ^cc++++=and
coaxed ^vbd+++xvbn+=coaxed
' ^zz++++='im
im ^&fw++++=EXTRAWORD
into ^in++++=into
dressing ^xvbg+++xvbg+=dressing
' ^zz++++='imself
imself ^nn+++??+=EXTRAWORD
agin ^nn+++??+=agin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
fight ^vbi++++=fight
the ^ati++++=the
conjurer ^jjr++++=conjurer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
that ^cs+sub+++=that
tired ^jj+++xvbn+=tired
' ^zz++++='e
e ^zz++++=EXTRAWORD
could ^md+pos+++=could
scarcely ^rb+down+splt++=scarcely
stand ^vb++++=stand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by-and-by
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
' ^zz++++='e
e ^zz++++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
anything ^pn++++=anything
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
gave ^jj+atrb++xvbn+=gave
way ^nn++++=way
and ^cc++++=and
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
risk ^vb++++=risk
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tap ^nn++++=tap-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
crowded ^vpsv++agls+xvbnx+=crowded
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
all ^abn++++=all
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
to ^to++++=to
pay ^vbi++++=pay
threepence ^nns+nom+++=threepence
each ^dt++++=each--coining
-- ^--+clp+++=EXTRAWORD
coining ^jj+atrb++xvbg+=EXTRAWORD
money ^nn++++=money,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
call ^vb++++=call
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++0=o'
the ^ati++++=the
things ^nns++++=things
wot ^wpr++++=wot
he ^pp3a+pp3+++=he
done ^vbd+++xvbnx+=done
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
clever ^jj++++=clever,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a'most
'most ^nn++be+??+0=EXTRAWORD
from ^in++++=from
the ^ati++++=the
fust ^nn+++??+=fust
start ^vb++++=start-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
unpleasantness ^nns+nom+++=unpleasantness.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
asked ^vbd+vsua+tht0+xvbnx+=asked
somebody ^pn++++=somebody
to ^to++++=to
lend ^vbi++++=lend
' ^zz++++='im
im ^&fw++++=EXTRAWORD
a ^at++++=a
pocket- ^nn+++??+=pocket-'andkercher
'andkercher ^jjr++++0=EXTRAWORD
to ^to++++=to
turn ^vbi++++=turn
into ^in++++=into
a ^at++++=a
white ^jj+atrb+++=white
rabbit ^nn++++=rabbit,
, ^zz++++=EXTRAWORD
Henery ^np+++??+=Henery
Walker ^np++++=Walker
rushed ^vbd+++xvbn+=rushed
up ^rp++++=up
and ^cc++++=and
lent ^vbd+++xvbn+=lent
' ^zz++++='im
im ^&fw++++=EXTRAWORD
' ^zz++++='is,
is ^vbz+bez+vrb++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
instead ^rb+cnj+++=instead
of ^in++++=of
a ^at++++=a
white ^jj+atrb+++=white
rabbit ^nn++++=rabbit
it ^pp3+it+++=it
turned ^vbd+++xvbn+=turned
into ^in++++=into
a ^at++++=a
black ^jj+atrb+++=black
one ^pn++++=one
with ^in++++=with
two ^cd++++=two
white ^jj++++=white
spots ^vbz++++=spots
on ^in++++=on
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
Henery ^np+++??+=Henery
Walker ^np++++=Walker
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
sat ^vbd+++xvbn+=sat
for ^in++++=for
some ^dti++++=some
time ^nn++++=time
puzzling ^vwbg+++xvbg+=puzzling
over ^in++++=over
it ^pp3+it+++=it
' ^zz++++='e
e ^zz++++=EXTRAWORD
got ^vprf+++xvbn+=got
up ^rp++++=up
and ^cc++++=and
went ^vbd+++xvbn+=went
off ^rp+pl+++=off
' ^zz++++='ome
ome ^nn+++??+=EXTRAWORD
without ^in++++=without
saying ^xvbg+++xvbg+=saying
good ^jj++++=good-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
conjurer ^nn++++=conjurer
borrowed ^vbd+++xvbn+=borrowed
Sam ^nn++++=Sam
Jones ^np++++=Jones's
's ^$++++=EXTRAWORD
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
looking ^jj+++xvbg+=looking
into ^in++++=into
it ^pp3+it+++=it
for ^in++++=for
some ^dti++++=some
time ^nn++++=time
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
surprised ^jj+++xvbn+=surprised
and ^cc+phrs+++=and
astonished ^jj+++xvbn+=astonished
that ^dt+dem+++=that
Sam ^nn++++=Sam
Jones ^np++++=Jones
lost ^vbd+++xvbn+=lost
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
temper ^nn++++=temper
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
' ^zz++++='adn't
ad ^&fw++++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
seen ^vprf+++xvbn+=seen
a ^at++++=a
hat ^nn++++=hat
afore ^in+strn+++=afore.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
like ^in++++=like
this ^dt+pdem+++=this,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
conjurer ^nn++++=conjurer.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
' ^zz++++='e
e ^zz++++=EXTRAWORD
pulled ^vbd+++xvbn+=pulled
out ^rp+pl+++=out
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
dress ^nn++++=dress
and ^cc++++=and
jacket ^nn++++=jacket
and ^cc++++=and
a ^at++++=a
pair ^nn++++=pair
of ^in++++0=o'
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
' ^zz++++='e
e ^zz++++=EXTRAWORD
took ^vbd+++xvbn+=took
out ^rp+pl+++=out
a ^at++++=a
pound ^nn++++=pound
or ^cc++++=or
two ^cd++++=two
of ^in++++0=o'
taters ^nn++++=taters
and ^cc++++=and
some ^dti++++=some
crusts ^nns++++=crusts
of ^in++++0=o'
bread ^nn++++=bread
and ^cc++++=and
other ^ap++++=other
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
' ^zz++++='e
e ^zz++++=EXTRAWORD
gave ^vbd+++xvbn+=gave
it ^pp3+it+++=it
back ^jjb++++=back
to ^in++++=to
Sam ^np++++=Sam
Jones ^np++++=Jones
and ^cc++++=and
shook ^vbd+++xvbn+=shook
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
head ^nn++++=head
at ^in++++=at
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
' ^zz++++='im
im ^&fw++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
very ^ql+amp+++=very
careful ^jj++++=careful
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
spoil ^vb++++=spoil
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
' ^zz++++='e
e ^zz++++=EXTRAWORD
asked ^vbd+vsua+tht0+xvbn+=asked
somebody ^pn++++=somebody
to ^to++++=to
lend ^vbi++++=lend
' ^zz++++='im
im ^&fw++++=EXTRAWORD
a ^at++++=a
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
arter ^jjr++++=arter
he ^pp3a+pp3+++=he
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
promised ^vbd+vpub++xvbn+=promised
to ^to+vcmp+++=to
take ^vbi++++=take
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
care ^nn++++=care
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tailor ^nn++++=tailor,
, ^zz++++=EXTRAWORD
lent ^j+++xvbn+=lent
' ^zz++++='im
im ^&fw++++=EXTRAWORD
a ^at++++=a
gold ^nn++++=gold
watch ^nn++++=watch
wot ^wpr++++=wot
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
left ^vpsv++agls+xvbnx+=left
' ^zz++++='im
im ^&fw++++=EXTRAWORD
by ^in++++=by
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
great ^jj+pred+++=great-aunt
- ^zz++++=EXTRAWORD
aunt ^nn++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
thought ^vbd+++xvbn+=thought
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++0=o'
that ^dt+dem+++=that
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
conjurer ^nn++++=conjurer
took ^vbd+++xvbn+=took
a ^at++++=a
flat ^jj++++=flat-iron
- ^zz++++=EXTRAWORD
iron ^nn++++=EXTRAWORD
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
smash ^vbi++++=smash
it ^pp3+it+++=it
up ^rp++++=up
into ^in++++=into
little ^jj+atrb+++=little
bits ^nns++++=bits
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
three ^cd++++=three
men ^nns++++=men
to ^to++++=to
hold ^vbi+vprv+++=hold
' ^zz++++='im
im ^&fw++++=EXTRAWORD
down ^rp++++=down
in ^in++++=in
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
seat ^nn++++=seat.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
difficult ^jj+atrb+++=difficult
trick ^nn++++=trick
of ^in++++0=o'
the ^ati++++=the
lot ^nn++++=lot,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
conjurer ^jjr++++=conjurer,
, ^zz++++=EXTRAWORD
picking ^vbg+++xvbg+=picking
off ^in+pl+++=off
a ^at++++=a
wheel ^nn++++=wheel
wot ^wpr++++=wot
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
stuck ^vbd+++xvbn+=stuck
to ^in++++=to
the ^ati++++=the
flat ^jj++++=flat-iron.
- ^zz++++=EXTRAWORD
iron ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Sometimes
sometimes ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
it ^pp3+it+++=it
and ^cc++++=and
sometimes ^rb++++=sometimes
I ^pp1a+pp1+++=I
ca ^np++++=can't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Last ^rb++++=Last
time ^nn++++=time
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
it ^pp3+it+++=it
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
failure ^nn++++=failure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
cost ^nn++++=cost
me ^pp1o+pp1+++=me
eighteenpence ^nn+nom+++=eighteenpence
and ^cc++++=and
a ^at++++=a
pint ^nn++++=pint
of ^in++++0=o'
beer ^nn++++=beer
afore ^in++++=afore
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
the ^ati++++=the
watch ^vb++++=watch
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
was ^vbd+bedz+aux++=was
satisfied ^vpsv++agls+xvbnx+=satisfied.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
' ^zz++++='im
im ^&fw++++=EXTRAWORD
the ^ati++++=the
bits ^nns++++=bits,
, ^zz++++=EXTRAWORD
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
me ^pp1o+pp1+++=me
my ^pp$+pp1+++=my
watch ^vb++++=watch
back ^jjb++++=back
safe ^jj++++=safe
and ^cc++++=and
sound ^nn++++=sound,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
trembling ^jj+atrb++xvbg+=trembling
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="it'll
it ^pp3+it+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
cost ^vb++++=cost
you ^pp2+pp2+++=you
twenty ^cd++++=twenty
pounds ^nns++++=pounds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Ow
' ^zz++++=EXTRAWORD
ow ^nn+++??+=EXTRAWORD
much ^ap++++=much?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
conjurer ^jjr++++=conjurer,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
start ^nn++++=start.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
told ^vprf+++xvbnx+=told
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
afore ^in++++=afore
you ^pp2+pp2+++=you
lent ^vbd+++xvbn+=lent
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Eighteenpence ^np+nom++??+=Eighteenpence
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
price ^nn++++=price."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stirred ^vbd+++xvbnx+=stirred
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
bits ^nns++++=bits
up ^rb+phrv+++=up
with ^in+ppvb+++=with
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
finger ^nn++++=finger
and ^cc++++=and
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
' ^zz++++='ead.
ead ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
tried ^vprf+++xvbnx+=tried
one ^pn++++=one
of ^in++++0=o'
these ^dt+dem+++=these
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^vwbn+++xvbn+=EXTRAWORD
watches ^vbz++++=watches
afore ^in+strn+++=afore,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'Owever,
' ^zz++++=EXTRAWORD
owever ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
fail ^vb++++=fail,
, ^zz++++=EXTRAWORD
gentle ^jj++++=gentle-men,
- ^zz++++=EXTRAWORD
men ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
the ^ati++++=the
fust ^nn+++??+=fust
and ^cc++++=and
only ^rb+down+++=only
trick ^nn++++=trick
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
failed ^vprf+++xvbnx+=failed
in ^in++++=in
to ^to++++=to-night.
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
expect ^vb+vprv+++=expect
everything ^pn++++=everything
to ^to++++=to
turn ^vbi++++=turn
out ^rb+phrv+++=out
right ^nn++++=right,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
fail ^vb++++=fail
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
try ^vb++++=try
it ^pp3+it+++=it
agin ^nn+++??+=agin
if ^cs+cnd+++=if
anybody ^pn++++=anybody
else ^rb+cnj+++=else'll
'll ^md+prd+++0=EXTRAWORD
lend ^vb++++=lend
me ^pp1o+pp1+++=me
another ^dt++++=another
watch ^vb++++=watch."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
speak ^vbi++++=speak
but ^cc++++=but
could ^md+pos+++=couldn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
sat ^vbd+++xvbn+=sat
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
with ^in++++=with
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
face ^nn++++=face
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
at ^rb++++=at
the ^ati++++=the
pieces ^nns++++=pieces
of ^in++++=of
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
watch ^vb++++=watch
on ^in++++=on
the ^ati++++=the
conjurer ^jjr+atrb+++=conjurer's
's ^vbz+bez+vrb++0=EXTRAWORD
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
conjurer ^nn++++=conjurer
took ^vbd+++xvbn+=took
a ^at++++=a
big ^jj+atrb+++=big
pistol ^nn++++=pistol
with ^in++++=with
a ^at++++=a
trumpet ^nn++++=trumpet-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
barrel ^nn++++=barrel
out ^rp+pl+++=out
of ^in++++=of
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
box ^nn++++=box,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
putting ^jj+++xvbg+=putting
in ^in++++=in
a ^at++++=a
charge ^nn++++=charge
of ^in++++0=o'
powder ^nn++++=powder
picked ^vbd+++xvbn+=picked
up ^rp++++=up
the ^ati++++=the
pieces ^nns++++=pieces
of ^in++++0=o'
watch ^nn++++=watch
and ^cc++++=and
rammed ^vbd+++xvbn+=rammed
them ^pp3o+pp3+++=them
in ^in++++=in
arter ^jjr++++=arter
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
bits ^nns++++=bits
grating ^jj+atrb+++=grating
agin ^nn+++??+=agin
the ^ati++++=the
ramrod ^nn++++=ramrod,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
he ^pp3a+pp3+++=he
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
loaded ^vbd+++xvbn+=loaded
it ^pp3+it+++=it
' ^zz++++='e
e ^zz++++=EXTRAWORD
walked ^vprf+++xvbn+=walked
round ^rb++++=round
and ^cc++++=and
handed ^vbd+++xvbn+=handed
it ^pp3+it+++=it
to ^in++++=to
us ^pp1o+pp1+++=us
to ^to++++=to
look ^vbi++++=look
at ^in+strn+++=at.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses
to ^in++++=to
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed;
; ^zz++++=EXTRAWORD
" ^zz++++="it's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
a ^at++++=a
success ^nns+nom+++=success;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
tell ^vb++++=tell
in ^in++++=in
the ^ati++++=the
loading ^nvbg+++xvbg+=loading."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
held ^vbd+vprv++xvbn+=held
up ^rp++++=up
the ^ati++++=the
pistol ^nn++++=pistol.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
now ^rn+tm+splt++=now
fire ^vb++++=fire
this ^dt+dem+++=this
pistol ^nn++++=pistol,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
in ^in++++=in
so ^ql++++=so
doing ^xvbg+++xvbg+=doing
mend ^vb++++=mend
