Married ^vbd+++xvbn+=Married
relation ^nn+nom+++=relation
to ^in++++=to
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
no ^at++++=no
wise ^jj++++=wise
to ^to+jcmp+++=to
touch ^vb++++=touch
the ^ati++++=the
individuality ^nn+nom+++=individuality
of ^in++++=of
either ^dtx++++=either;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
preserved ^vpsv++agls+xvbnx+=preserved
intact ^jj++++=intact.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
was ^vbd+bedz+aux++=was
to ^to++++=to
remain ^vbi++++=remain
a ^at++++=a
free ^jj+atrb+++=free
integral ^nn+nom+++=integral
of ^in++++=of
humanity ^nn+nom+++=humanity,
, ^zz++++=EXTRAWORD
responsible ^jj++++=responsible
to ^in++++=to
no ^ati++neg++=no
dominating ^jj+atrb++xvbg+=dominating
exactions ^nns+nom+++=exactions
of ^in++++=of
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^jj+atrb++xvbn+=EXTRAWORD
marriage ^nn+nom+++=marriage
laws ^nns++++=laws.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
element ^nn+nom+++=element
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
to ^to++++=to
make ^vbi++++=make
possible ^jj++++=possible
such ^abl++++=such
a ^at++++=a
union ^nn++++=union
was ^vbd+bedz+aux++=was
trust ^vb+vprv+++=trust
in ^in++++=in
each ^ppls++++=each
other's ^ppls++++=other's
love ^nn++++=love,
, ^zz++++=EXTRAWORD
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
courtesy ^nn++++=courtesy,
, ^zz++++=EXTRAWORD
tempered ^vwbn+++xvbn+=tempered
by ^in++++=by
the ^ati++++=the
reserving ^jj+atrb++xvbg+=reserving
clause ^nn++++=clause
of ^in++++=of
readiness ^nns+nom+++=readiness
to ^to+ncmp+++=to
meet ^vbi++++=meet
the ^ati++++=the
consequences ^nns+nom+++=consequences
of ^in++++=of
reciprocal ^jj+atrb+++=reciprocal
liberty ^nn++++=liberty.
. ^zz++++=EXTRAWORD
Faraday ^np+++??+=Faraday
appreciated ^vwbn+vprv++xvbn+=appreciated
the ^ati++++=the
need ^nn++++=need
of ^in++++=of
offering ^xvbg+++xvbg+=offering
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife
advantages ^nns+nom+++=advantages
for ^in++++=for
culture ^nn++++=culture
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
of ^in++++=of
impossible ^jj+atrb+++=impossible
attainment ^nn+nom+++=attainment
during ^in++++=during
her ^pp$+pp3+++=her
girlhood ^nn+nom+++=girlhood.
. ^zz++++=EXTRAWORD
Marriage ^nn+nom+++=Marriage,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
marks ^nns++++=marks
too ^ql++++=too
often ^rb++++=often
the ^ati++++=the
closing ^jj+atrb++xvbg+=closing
period ^nn++++=period
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman's
's ^vbz+bez+vrb++0=EXTRAWORD
intellectual ^jj+atrb+++=intellectual
existence ^nn+nom+++=existence,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
her ^pp$+pp3+++=her
case ^nn++++=case
the ^ati++++=the
open ^jj+atrb+++=open
portal ^nn++++=portal
through ^in++++=through
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
might ^md+pos+++=might
seek ^vb++++=seek
the ^ati++++=the
embellishments ^nns+nom+++=embellishments
that ^tht+rel+obj++=that
her ^pp3o+pp3+++=her
strong ^jj+atrb+++=strong,
, ^zz++++=EXTRAWORD
graceful ^jj+atrb+++=graceful
mentality ^nn+nom+++=mentality
deserved ^vbd+++xvbn+=deserved.
. ^zz++++=EXTRAWORD
An ^at++++=An
urgent ^jj+atrb+++=urgent
desire ^nn++++=desire
with ^in++++=with
Eleanor ^np++++=Eleanor
was ^vbd+bedz+aux++=was
to ^to++++=to
acquire ^vbi++++=acquire
a ^at++++=a
thorough ^jj+atrb+++=thorough
speaking ^jj+atrb++xvbg+=speaking
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
French ^jj+atrb+++=French
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
agreed ^vbd+vpub++xvbnx+=agreed
that ^tht+vcmp+++=that
a ^at++++=a
lengthy ^jj+atrb+++=lengthy
sojourn ^nn++++=sojourn
in ^in++++=in
Paris ^np++++=Paris
could ^md+pos+++=could
be ^vb+be+vrb++=be
the ^ati++++=the
only ^rb+down+++=only
practical ^jj+atrb+++=practical
and ^cc+phrs+++=and
reliable ^jj+atrb+++=reliable
means ^nns++++=means
of ^in++++=of
accomplishing ^xvbg+++xvbg+=accomplishing
such ^abl++++=such
an ^at++++=an
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Faraday ^np++++=Faraday's
's ^$++++=EXTRAWORD
three ^cd++++=three
months ^nns++++=months
of ^in++++=of
vacation ^nn+nom+++=vacation
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
spent ^vpsv++by+xvbnx+=spent
by ^in++++=by
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
idle ^jj+atrb+++=idle
happiness ^nns+nom+++=happiness
of ^in++++=of
a ^at++++=a
loitering ^jj+atrb++xvbg+=loitering
honeymoon ^nn++++=honeymoon
through ^in++++=through
the ^ati++++=the
continent ^nn++++=continent
of ^in++++=of
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
leave ^vb++++=leave
his ^pp$+pp3+++=his
wife ^nn++++=wife
in ^in++++=in
the ^ati++++=the
French ^jj+atrb+++=French
capital ^nn++++=capital
for ^in++++=for
a ^at++++=a
stay ^vb++++=stay
that ^dt+pdem+++=that
might ^md+pos+++=might
extend ^vb++++=extend
indefinitely ^rb++++=indefinitely
two ^cd++++=two,
, ^zz++++=EXTRAWORD
three ^cd++++=three
years ^nns++++=years
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
should ^md+nec+++=should
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
needful ^jj++++=needful,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
returning ^jj+++xvbg+=returning
to ^to++++=to
join ^vbi++++=join
her ^pp$+pp3+++=her
with ^in++++=with
the ^ati++++=the
advent ^nn++++=advent
of ^in++++=of
each ^dt++++=each
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
to ^to++++=to
renew ^vbi++++=renew
their ^pp$+pp3+++=their
love ^nn++++=love
in ^in++++=in
a ^at++++=a
fresh ^jj++++=fresh
and ^cc++++=and
re ^in++++=re-strengthened
- ^zz++++=EXTRAWORD
strengthened ^vbd+++xvbn+=EXTRAWORD
union ^nn++++=union.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
in ^in++++=in
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
married ^vpsv++agls+xvbnx+=married,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
September ^nr+nom+++=September
we ^pp1a+pp1+++=we
find ^vb+vprv+tht0++=find
Eleanor ^np++++=Eleanor
established ^vbd+vprv++xvbn+=established
in ^in++++=in
the ^ati++++=the
pension ^nn++++=pension
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
couple ^nn++++=couple
Clairegobeau ^np+++??+=Clairegobeau
and ^cc++++=and
comfortably ^rb++++=comfortably
ensconced ^xvbn+++xvbn+=ensconced
in ^in++++=in
her ^pp$+pp3+++=her
pretty ^rb++++=pretty
room ^nn++++=room
that ^tht+rel+subj++=that
opened ^vprf+++xvbn+=opened
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
Rue ^nn++++=Rue
Rivoli ^np++++=Rivoli,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
heart ^nn++++=heart
full ^jj++++=full
of ^in++++=of
sweet ^jj+atrb+++=sweet
memories ^nns++++=memories
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
to ^to++++=to
cheer ^vbi++++=cheer
her ^pp$+pp3+++=her
coming ^vbg+++xvbg+=coming
solitude ^nn++++=solitude.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
always ^rb++++=always
down ^rp++++=down
at ^rb++++=at
her ^pp$+pp3+++=her
with ^in++++=with
his ^pp$+pp3+++=his
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
kind ^nn++++=kind
glance ^nn++++=glance,
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
the ^ati++++=the
portrait ^nn++++=portrait
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
the ^ati++++=the
fanciful ^np+nom+++=fanciful
little ^ap++++=little
desk ^nn++++=desk
at ^in++++=at
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
hoped ^vbd+vprv++xvbnx+=hoped
to ^to+vcmp+++=to
spend ^vbi++++=spend
many ^ap++++=many
happy ^jj+atrb+++=happy
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
Books ^nns++++=Books
were ^vbd+bed+vrb++=were
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
character ^nn+nom+++=character
to ^in++++=to
the ^ati++++=the
graceful ^jj+atrb+++=graceful
furnishings ^nns++++=furnishings
which ^whp+rel+obj++=which
their ^pp$+pp3+++=their
united ^np++++=united
taste ^nn++++=taste
had ^vbd+hvd+aux++=had
evolved ^vprf+++xvbnx+=evolved
from ^in++++=from
the ^ati++++=the
paucity ^nn+nom+++=paucity
of ^in++++=of
the ^ati++++=the
Clairegobeau ^np+++??+=Clairegobeau
germ ^nn++++=germ,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window
was ^vbd+bedz+vrb++=was
Paris ^np++++=Paris!
! ^zz++++=EXTRAWORD
Eleanor ^np++++=Eleanor
was ^vbd+bedz+aux++=was
supremely ^rb++splt++=supremely
satisfied ^vpsv++agls+xvbnx+=satisfied
amid ^in++++=amid
her ^pp$+pp3+++=her
new ^jj+atrb+++=new
and ^cc+phrs+++=and
attractive ^jj+atrb+++=attractive
surroundings ^nns++++=surroundings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pang ^nn++++=pang
of ^in++++=of
parting ^xvbg+++xvbg+=parting
from ^in++++=from
her ^pp$+pp3+++=her
husband ^nn++++=husband
seeming ^vb+seem++xvbg+=seeming
to ^to+vcmp+++=to
lend ^vbi++++=lend
sharp ^jj+atrb+++=sharp
zest ^nn++++=zest
to ^in++++=to
a ^at++++=a
situation ^nn+nom+++=situation
that ^tht+rel+subj++=that
offered ^vprf+++xvbn+=offered
the ^ati++++=the
fulfillment ^nn+nom+++=fulfillment
of ^in++++=of
a ^at++++=a
cherished ^jj+atrb++xvbn+=cherished
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Faraday ^np+++??+=Faraday,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
stronger ^jjr+atrb+++=stronger
man ^nn++++=man-nature,
- ^zz++++=EXTRAWORD
nature ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
felt ^j+++xvbn+=felt
more ^rbr++++=more
keenly ^rb++++=keenly
the ^ati++++=the
discomfit ^nn+++??+=discomfit
of ^in++++=of
giving ^xvbg+++xvbg+=giving
up ^rp++++=up
a ^at++++=a
companionship ^nn+nom+++=companionship
that ^tht+rel+++=that
in ^in++++=in
its ^pp$+it+++=its
brief ^jj+atrb+++=brief
duration ^nn+nom+++=duration
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
replete ^nn+++??+=replete
with ^in++++=with
the ^ati++++=the
duality ^nn+nom+++=duality
of ^in++++=of
accomplished ^vbd+++xvbn+=accomplished
delight ^nn++++=delight
and ^cc++++=and
growing ^vbg+++xvbg+=growing
promise ^nn++++=promise.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
to ^in++++=to
him ^pp3o+pp3+++=him
also ^rb++++=also
was ^vbd+bedz+vrb++=was
the ^ati++++=the
situation ^nn+nom+++=situation
made ^vbd+++xvbn+=made
acceptable ^jj++++=acceptable
by ^in++++=by
its ^pp$+it+++=its
involving ^jj+++xvbg+=involving
a ^at++++=a
principle ^nn++++=principle
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
it ^pp3+it+++=it
incumbent ^nn++++=incumbent
upon ^in++++=upon
him ^pp3o+pp3+++=him
to ^to++++=to
uphold ^vbi++++=uphold.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
returned ^vbd+++xvbnx+=returned
to ^in++++=to
Plymdale ^np+++??+=Plymdale
and ^cc++++=and
to ^in++++=to
his ^pp$+pp3+++=his
duties ^nns++++=duties
at ^in++++=at
the ^ati++++=the
university ^nn+nom+++=university,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resumed ^vbd+++xvbn+=resumed
his ^pp$+pp3+++=his
bachelor ^nn++++=bachelor
existence ^nn+nom+++=existence
as ^in++++=as
quietly ^rb++++=quietly
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
interrupted ^vpsv++agls+xvbnx+=interrupted
but ^cc++++=but
by ^in++++=by
the ^ati++++=the
interval ^nn+nom+++=interval
of ^in++++=of
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
The ^ati++++=The
small ^jj+atrb+++=small
public ^nn++++=public
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
acquaintance ^nn+nom+++=acquaintance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten
his ^pp$+pp3+++=his
existence ^nn+nom+++=existence
during ^in++++=during
the ^ati++++=the
past ^jjb++++=past
few ^ap++++=few
months ^nns++++=months,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
fired ^vpsv++agls+xvbnx+=fired
anew ^nn+++??+=anew
with ^in++++=with
indignant ^jj+atrb+++=indignant
astonishment ^nn+nom+++=astonishment
at ^in++++=at
the ^ati++++=the
effrontery ^nn+nom+++=effrontery
of ^in++++=of
the ^ati++++=the
situation ^nn+nom+++=situation
which ^whp+rel+obj++=which
his ^pp$+pp3+++=his
singular ^nn++++=singular
coming ^vwbg+++xvbg+=coming
back ^rp++++=back
offered ^vprf+++xvbn+=offered
to ^in++++=to
their ^pp$+pp3+++=their
contemplation ^nn+nom+++=contemplation.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
two ^cd++++=two
young ^jj+atrb+++=young
people ^nns++++=people
should ^md+nec+++=should
presume ^vb+vprv+++=presume
to ^to+vcmp+++=to
introduce ^vbi++++=introduce
such ^abl++++=such
innovations ^nns+nom+++=innovations
into ^in++++=into
matrimony ^nn++++=matrimony!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
uncalled ^vpsv++agls+xvbnx+=uncalled
for ^in+strn+++=for!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
improper ^jj+pred+++=improper!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
indecent ^jj+pred+++=indecent!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
have ^vb+hv+aux++=have
already ^rb++splt++=already
tired ^vprf+++xvbnx+=tired
of ^in++++=of
her ^pp$+pp3+++=her
idiosyncrasies ^nns++++=idiosyncrasies,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
her ^pp$+pp3+++=her
in ^in++++=in
Paris ^np++++=Paris.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
places ^nns++++=places,
, ^zz++++=EXTRAWORD
to ^to++++=to
leave ^vbi++++=leave
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman
alone ^rb++++=alone!
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
not ^xnot++not++=not
at ^rb++++=at
once ^rb"+tm+++=once
in ^in++++=in
Hades ^np++++=Hades?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left
in ^in++++=in
Paris ^np++++=Paris
forsooth ^nn+++??+=forsooth
to ^to++++=to
learn ^vbi+vprv+++=learn
French ^jj++++=French.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
since ^cs+sub+++=since
when ^wrb+who+++=when
was ^vbd+bedz+vrb++=was
Mme ^npt++++=Mme.
. ^zz++++=EXTRAWORD
Belaire ^np++++=Belaire's
's ^$++++=EXTRAWORD
French ^jj++++=French,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taught ^vpsv++agls+xvbnx+=taught
to ^to+vcmp+++=to
select ^vbi++++=select
generations ^nns+nom+++=generations
of ^in++++=of
Plymdalions ^np+++??+=Plymdalions,
, ^zz++++=EXTRAWORD
considered ^vpbn+vprv++xvbn+=considered
insufficient ^jj++++=insufficient
for ^in++++=for
the ^ati++++=the
practical ^jj+atrb+++=practical
needs ^nns++++=needs
of ^in++++=of
existence ^nn+nom+++=existence
as ^in++++=as
related ^nn++++=related
by ^in++++=by
that ^dt+dem+++=that
foreign ^jj+atrb+++=foreign
tongue ^nn++++=tongue?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Faraday ^np++++=Faraday's
's ^$++++=EXTRAWORD
life ^nn++++=life
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
with ^in++++=with
occupation ^nn+nom+++=occupation
and ^cc++++=and
his ^pp$+pp3+++=his
brief ^jj+atrb+++=brief
moments ^nns+nom+++=moments
of ^in++++=of
leisure ^nn++++=leisure
were ^vbd+bed+vrb++=were
too ^ql++++=too
precious ^jj++++=precious
to ^to++++=to
give ^vbi++++=give
to ^to++++=to
heeding ^vbg+++xvbg+=heeding
the ^ati++++=the
idle ^jj+atrb+++=idle
gossip ^nn++++=gossip
that ^tht+rel+subj++=that
floated ^vbd+++xvbn+=floated
to ^in++++=to
his ^pp$+pp3+++=his
hearing ^nvbg+++xvbg+=hearing
and ^cc++++=and
away ^rp+pl+++=away
again ^rb+tm+++=again
without ^in++++=without
holding ^xvbg+++xvbg+=holding
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts
an ^at++++=an
instant ^nn+nom+++=instant.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived
uninterruptedly ^rb++++=uninterruptedly
a ^at++++=a
certain ^jj+atrb+++=certain
existence ^nn+nom+++=existence
with ^in++++=with
his ^pp$+pp3+++=his
wife ^nn++++=wife
through ^in++++=through
the ^ati++++=the
medium ^nn++++=medium
of ^in++++=of
letters ^nns+nom+++=letters.
. ^zz++++=EXTRAWORD
True ^jj++++=True,
, ^zz++++=EXTRAWORD
an ^at++++=an
inadequate ^jj+atrb+++=inadequate
substitute ^nn++++=substitute
for ^in++++=for
her ^pp$+pp3+++=her
actual ^jj+atrb+++=actual
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
much ^ap++++=much
satisfaction ^nn+nom+++=satisfaction
in ^in++++=in
this ^dt+dem+++=this
constant ^jj+atrb+++=constant
communion ^nn++++=communion
of ^in++++=of
thought ^nn+++xvbn+=thought
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
told ^vbd+vpub++xvbnx+=told
such ^abl++++=such
details ^nns++++=details
of ^in++++=of
their ^pp$+pp3+++=their
daily ^jj+atrb+++=daily
lives ^nns++++=lives
as ^ql++++=as
they ^pp3a+pp3+++=they
thought ^vbd+++xvbnx+=thought
worth ^in++++=worth
the ^ati++++=the
telling ^nn++++=telling.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
readings ^nns++++=readings
were ^vbd+bed+aux++=were
discussed ^vpsv++agls+xvbnx+=discussed.
. ^zz++++=EXTRAWORD
Opinions ^nns++++=Opinions
exchanged ^vbd+++xvbn+=exchanged.
. ^zz++++=EXTRAWORD
Newspaper ^nn+nom+++=Newspaper
cuttings ^nns++++=cuttings
sent ^vbd+++xvbn+=sent
back ^jjb++++=back
and ^cc++++=and
forth ^rb+cnj+++=forth,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
upon ^in++++=upon
questions ^nns+nom+++=questions
that ^tht+rel+++=that
interested ^jj++++=interested
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
not ^xnot++not++=not
interest ^nn++++=interest
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
large ^jj++++=large
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
dared ^vbd+++??+=dared
not ^xnot++not++=not
look ^vb++++=look
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Happenings ^nns++++=Happenings,
, ^zz++++=EXTRAWORD
small ^jj++++=small
in ^in++++=in
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
big ^jj++++=big
in ^in++++=in
their ^pp$+pp3+++=their
psychological ^jj+atrb+++=psychological
comprehensiveness ^nns+nom+++=comprehensiveness,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
them ^pp3o+pp3+++=them
with ^in++++=with
strange ^jj+atrb+++=strange
fascination ^nn+nom+++=fascination.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
earnestness ^nns+nom+++=earnestness
and ^cc++++=and
intensity ^nn+nom+++=intensity
in ^in++++=in
such ^abl++++=such
matters ^nns+nom+++=matters
were ^vbd+bed+vrb++=were
extreme ^nn++++=extreme;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
happily ^rb+cnj+++=happily,
, ^zz++++=EXTRAWORD
Faraday ^np+++??+=Faraday
brought ^vbd+++xvbn+=brought
to ^rb+phrv+++=to
this ^dt+dem+++=this
union ^nn++++=union
humorous ^jj+atrb+++=humorous
instincts ^nns++++=instincts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
optimism ^nn+nom+++=optimism
that ^tht+rel+subj++=that
saved ^vprf+++xvbn+=saved
it ^pp3+it+++=it
from ^in++++=from
a ^at++++=a
too ^ql++++=too
monotonous ^jj+atrb+++=monotonous
sombreness ^nns+nom+++=sombreness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
man ^nn++++=man
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
friends ^nns++++=friends
in ^in++++=in
Plymdale ^np+++??+=Plymdale.
. ^zz++++=EXTRAWORD
Certainly ^rb++++=Certainly
none ^pn++++=none
that ^dt+dem+++=that
ever ^rb++++=ever
remotely ^rb++++=remotely
approached ^vbd+++xvbn+=approached
the ^ati++++=the
position ^nn+nom+++=position
which ^whp+rel+obj++=which
Eleanor ^np++++=Eleanor
held ^vbd+vprv++xvbn+=held
in ^cs+sub+++=in
that ^cs"++++=that
regard ^nn++++=regard.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
pre ^nn+++??+=pre-eminent.
- ^zz++++=EXTRAWORD
eminent ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
his ^pp$+pp3+++=his
nature ^nn++++=nature
was ^vbd+bedz+vrb++=was
genial ^jj+pred+++=genial.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
invited ^vbd+++xvbnx+=invited
companionship ^nn+nom+++=companionship
from ^in++++=from
his ^pp$+pp3+++=his
fellow ^jjb+atrb+++=fellow
beings ^nns++++=beings,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
short ^jj++++=short
that ^dt+dem+++=that
companionship ^nn+nom+++=companionship
might ^md+pos+++=might
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
always ^rb++++=always
a ^at++++=a
gratifying ^jj+atrb+++=gratifying
consciousness ^nns+nom+++=consciousness
of ^in++++=of
having ^nn+nn+aux++=having
made ^vbd+++xvbn+=made
their ^pp$+pp3+++=their
personalities ^nns+nom+++=personalities
felt ^vbd+vprv++xvbn+=felt.
. ^zz++++=EXTRAWORD
The ^ati++++=The
society ^nn++++=society
in ^in++++=in
Plymdale ^np+++??+=Plymdale
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
most ^ap+emph+++=most
frequented ^jj+++xvbn+=frequented
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
Beatons ^np+++??+=Beatons.
. ^zz++++=EXTRAWORD
Beaton ^np+++??+=Beaton
p ^zz++++=p
re ^in++++=re
was ^vbd+bedz+vrb++=was
a ^at++++=a
fellow ^jjb+atrb+++=fellow
professor ^nn++++=professor,
, ^zz++++=EXTRAWORD
many ^ap++++=many
years ^nns++++=years
older ^jjr++++=older
than ^in++++=than
Faraday ^np+++??+=Faraday,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
men ^nns++++=men
with ^in++++=with
whom ^whp+rel+pied++=whom
time ^nn++++=time,
, ^zz++++=EXTRAWORD
after ^in++++=after
putting ^xvbg+++xvbg+=putting
its ^pp$+it+++=its
customary ^jj+atrb+++=customary
stamp ^nn++++=stamp
upon ^in++++=upon
his ^pp$+pp3+++=his
outward ^jjb+atrb+++=outward
being ^nvbg+++xvbg+=being,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
no ^at++++=no
further ^jjb+atrb+++=further
care ^nn++++=care.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spirit ^nn++++=spirit
of ^in++++=of
his ^pp$+pp3+++=his
youth ^nn++++=youth
had ^vbd+hvd+aux++=had
