Four ^cd++++=Four
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
tropics ^nns++++=tropics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
man ^nn++++=man
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
live ^vb++++=live
four ^cd++++=four
days ^nns++++=days
without ^in++++=without
food ^nn++++=food
or ^cc++++=or
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sea ^nn++++=sea
is ^vbz+bez+vrb++=is
alive ^jj+pred+++=alive
with ^in++++=with
sharks ^nns++++=sharks.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
suicide ^nn++++=suicide!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
leader ^nn++++=leader's
's ^$++++=EXTRAWORD
face ^nn++++=face
darkened ^vbd+++xvbn+=darkened,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
speak ^vb++++=speak
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Rossiter ^np+nom+++=Rossiter
calmly ^rb++++=calmly
remarked, ^nn+++??+=remarked,-"That
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
own ^ap++++=own
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
fine ^jj+atrb+++=fine
ring ^nn++++=ring
in ^in++++=in
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
The ^ati++++=The
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
bareheaded ^j+++xvbn+=bareheaded
and ^cc+phrs+++=and
stripped ^jj+++xvbn+=stripped
nearly ^rb+down+++=nearly
naked ^jj++++=naked
in ^in++++=in
the ^ati++++=the
broiling ^nn+nom+++=broiling
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
thus ^rb+cnj+splt++=thus
addressing ^vbg+++xvbgx+=addressing
something ^pn++++=something
which ^whp+who+++=which
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
close ^jj++++=close
at ^rb++++=at
hand ^nn++++=hand
in ^in++++=in
the ^ati++++=the
water ^nn++++=water:
: ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
about ^in++++=about
four ^cd++++=four
days ^nns++++=days
now ^rn+tm+++=now
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
travelled ^vprf+++xvbnx+=travelled
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
very ^ql+amp+++=very
positive ^jj++++=positive
about ^in++++=about
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
died ^vprf+++xvbnx+=died
of ^in++++=of
loneliness.. ^nn+++??+=loneliness....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say!
! ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
hungry ^jj++++=hungry,
, ^zz++++=EXTRAWORD
too ^ql++++=too?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
only ^rb+down+++=only
thirsty ^jj+pred+++=thirsty
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
the ^ati++++=the
advantage ^nn+nom+++=advantage
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
thirsty ^jj++++=thirsty.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
your ^pp$+pp2+++=your
being ^vbg+beg++xvbg+=being
hungry ^jj++++=hungry--ha,
-- ^--+clp+++=EXTRAWORD
ha ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ha ^uh++++=ha,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha!
! ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
ever ^rb++++=ever
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
a ^at++++=a
shark ^nn+++??+=shark
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
always ^rb++++=always
hungry ^jj++++=hungry?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
well ^jj+pred+++=well
enough ^qlp++++=enough
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
your ^pp$+pp2+++=your
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
companion ^nn++++=companion
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
time ^nn++++=time
enough ^dt++++=enough
for ^in++++=for
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hate ^vb++++=hate
to ^to+vcmp+++=to
disturb ^vbi++++=disturb
the ^ati++++=the
pleasant ^jj+atrb+++=pleasant
relation ^nn+nom+++=relation
which ^whp+rel+subj++=which
exists ^vbz++++=exists
between ^in++++=between
us ^pp1o+pp1+++=us
at ^rb++++=at
present ^vb++++=present.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say--now,
-- ^--+clp+++=EXTRAWORD
now ^rn+dspt+++=EXTRAWORD
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
a ^at++++=a
witticism ^nn+nom+++=witticism--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
prefer ^vb+vprv+++=prefer
the ^ati++++=the
outside ^jjb+atrb+++=outside
relation ^nn+nom+++=relation
to ^in++++=to
the ^ati++++=the
inside ^jjb+atrb+++=inside
intimacy ^nn+nom+++=intimacy.
. ^zz++++=EXTRAWORD
Ha ^uh++++=Ha,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
laugh ^nn++++=laugh
at ^rb++++=at
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
sly ^jj+atrb+++=sly
old ^jj+atrb+++=old
rogue ^nn++++=rogue!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
very ^ql+amp+++=very
sly ^jj++++=sly,
, ^zz++++=EXTRAWORD
patient ^nn++++=patient
old ^jj+atrb+++=old
shark ^nn+++??+=shark
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are!
! ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
those ^dt+dem+++=those
clumsy ^jj+atrb+++=clumsy
fins ^nns++++=fins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
dreadfully ^rb++++=dreadfully
homely ^jj+atrb+++=homely
mouth ^nn++++=mouth
away ^rp+pl+++=away
down ^in++++=down
somewhere ^rb++++=somewhere
on ^in++++=on
the ^ati++++=the
under ^in++++=under
side ^nn++++=side
of ^in++++=of
your ^pp$+pp2+++=your
body ^nn++++=body,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eyes ^nns++++=eyes
so ^rb++++=so
grotesquely ^rb++++=grotesquely
wide ^jj++++=wide
apart ^in+strn+++=apart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
should ^md+nec+++=should
go ^vb++++=go
on ^in++++=on
land ^nn++++=land
and ^cc++++=and
match ^nn++++=match
your ^pp$+pp2+++=your
wit ^nn++++=wit
against ^in++++=against
the ^ati++++=the
various ^jj+atrb+++=various
and ^cc+phrs+++=and
amusing ^jj+atrb+++=amusing
species ^nn++++=species
of ^in++++=of
sharks ^nns++++=sharks
which ^whp+rel+subj++=which
abound ^vb++++=abound
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
patience ^nn+nom+++=patience
in ^in++++=in
pursuing ^xvbg+++xvbg+=pursuing
a ^at++++=a
manifest ^jj+atrb+++=manifest
advantage ^nn+nom+++=advantage
would ^md+prd+++=would
make ^vb++++=make
you ^pp2+pp2+++=you
a ^at++++=a
millionaire ^nn++++=millionaire
in ^in++++=in
a ^at++++=a
year ^nn++++=year?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
get ^vb++++=get
that ^dt+dem+++=that
philosophy ^nn++++=philosophy
through ^in++++=through
your ^pp$+pp2+++=your
thick ^jj+atrb+++=thick
skull ^nn++++=skull,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend?
? ^zz++++=EXTRAWORD
" ^zz++++="There,
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
turn ^nn++++=turn
over ^in++++=over
like ^in++++=like
that ^dt+pdem+++=that
and ^cc++++=and
make ^vb++++=make
a ^at++++=a
fool ^nn++++=fool
of ^in++++=of
yourself ^ppl+pp2+++=yourself
by ^in++++=by
opening ^xvbg+++xvbg+=opening
your ^pp$+pp2+++=your
pretty ^jj+atrb+++=pretty
mouth ^nn++++=mouth
and ^cc++++=and
dazzling ^jj+++xvbg+=dazzling
the ^ati++++=the
midday ^nn++++=midday
sun ^nn++++=sun
with ^in++++=with
the ^ati++++=the
gleam ^nn++++=gleam
of ^in++++=of
your ^pp$+pp2+++=your
white ^jj+atrb+++=white
belly ^nn++++=belly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
ready ^jj++++=ready
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
God ^np++++=God!
! ^zz++++=EXTRAWORD
how ^wrb+who+++=how
thirsty ^jj++++=thirsty
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am!
! ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
ever ^rb++++=ever
feel ^vb+vprv+++=feel
like ^in++++=like
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
ever ^rb++++=ever
see ^vb+vprv+++=see
blinding ^jj+atrb+++=blinding
flashes ^nns++++=flashes
that ^tht+rel+obj++=that
tear ^nn++++=tear
through ^in++++=through
your ^pp$+pp2+++=your
brain ^nn++++=brain
and ^cc++++=and
turn ^vb++++=turn
the ^ati++++=the
sun ^nn++++=sun
black ^nn++++=black?
? ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
answered ^vprf+++xvbn+=answered
my ^pp$+pp1+++=my
question ^nn+nom+++=question
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
hypothetical ^jj+atrb+++=hypothetical
question ^nn+nom+++=question--yes,
-- ^--+clp+++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hypothetical ^jj++++=hypothetical.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
Hypo ^nn++++=Hypo--hypothetical
-- ^--+clp+++=EXTRAWORD
hypothetical ^jj+atrb+++=EXTRAWORD
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
Question ^nn+nom+++=Question;
; ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
right ^nn++++=right.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
pretty ^rb++++=pretty
wild ^jj+atrb+++=wild
young ^jj+atrb+++=young
shark ^nn+++??+=shark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
your ^pp$+pp2+++=your
mother ^nn++++=mother
anxious ^jj++++=anxious
and ^cc+phrs+++=and
miserable ^jj++++=miserable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
drifted ^vprf+++xvbnx+=drifted
into ^in++++=into
gambling ^nn+nom+++=gambling
and ^cc++++=and
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
pretty ^rb++++=pretty
well ^rb++++=well
to ^in++++=to
the ^ati++++=the
dogs ^nns++++=dogs.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
sharks ^nns++++=sharks
ever ^rb++++=ever
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
dogs ^nns++++=dogs?
? ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
poser ^nn++++=poser.
. ^zz++++=EXTRAWORD
Sharks ^np+++??+=Sharks;
; ^zz++++=EXTRAWORD
dogs ^nns++++=dogs.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
very ^ql+amp+++=very
ridiculously ^rb+cnj+++=ridiculously,
, ^zz++++=EXTRAWORD
sublimely ^rb++++=sublimely
amusing ^jj+atrb+++=amusing
old ^jj+atrb+++=old
shark ^nn+++??+=shark!
! ^zz++++=EXTRAWORD
Dreadfully ^np+++??+=Dreadfully
discreet ^jj++++=discreet
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
disclose ^vb++++=disclose
your ^pp$+pp2+++=your
hand ^nn++++=hand
except ^in++++=except
on ^in++++=on
a ^at++++=a
showdown ^nn++++=showdown.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
glum ^jj+atrb+++=glum
old ^jj+atrb+++=old
villain ^nn++++=villain
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are!
! ^zz++++=EXTRAWORD
" ^zz++++="Pretty
pretty ^rb++++=EXTRAWORD
well ^rb++++=well
to ^in++++=to
the ^ati++++=the
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
braced ^vwbn+++xvbn+=braced
up ^rp++++=up
and ^cc++++=and
left ^vwbn+++xvbn+=left
home ^nr++++=home
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
man ^nn++++=man
of ^in++++=of
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
of ^in++++=of
a ^at++++=a
shark ^nn+++??+=shark
making ^vwbg+++xvbg+=making
a ^at++++=a
man ^nn++++=man
of ^in++++=of
himself ^ppl+pp3+++=himself!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then--easy
-- ^--+clp+++=EXTRAWORD
easy ^jj++++=EXTRAWORD
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
excited ^jj+++xvbn+=excited.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
only ^rb+down+++=only
staggered ^vbd+++xvbn+=staggered
that ^dt+dem+++=that
time ^nn++++=time
and ^cc++++=and
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
quite ^rb++++=quite
go ^vb++++=go
overboard ^rb+pl+++=overboard.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
my ^pp$+pp1+++=my
gesticulations ^nns+nom+++=gesticulations
excite ^vb++++=excite
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
your ^pp$+pp2+++=your
mouth ^nn++++=mouth
shut ^vbd+++xvbn+=shut,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
pretty ^rb++++=pretty
when ^wrb+who+++=when
you ^pp2+pp2+++=you
smile ^nn++++=smile
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying--oh!...
-- ^--+clp+++=EXTRAWORD
oh!. ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
long ^rb++++=long
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
that ^dt+dem+++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
old ^jj++++=old
fellow ^jjb++++=fellow?
? ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
thing ^nn++++=thing
for ^in++++=for
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
climb ^vbi++++=climb
into ^in++++=into
a ^at++++=a
boat ^nn++++=boat
when ^wrb+who+++=when
a ^at++++=a
fellow ^jjb++++=fellow
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Were ^vbd+bed+vrb++=Were
you ^pp2+pp2+++=you
ever ^rb++++=ever
that ^cs+sub+++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
partner ^nn++++=partner?
? ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in++++=on
like ^in++++=like
this ^dt+pdem+++=this:
: ^zz++++=EXTRAWORD
Biff ^np+++??+=Biff!
! ^zz++++=EXTRAWORD
Big ^jj+atrb+++=Big
blaze ^nn++++=blaze
of ^in++++=of
red ^jj+atrb+++=red
fire ^nn++++=fire
in ^in++++=in
your ^pp$+pp2+++=your
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then--then--well,
-- ^--+clp+++=EXTRAWORD
then ^rn+tm+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
awhile ^rb++++=awhile
you ^pp2+pp2+++=you
come ^vb++++=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
queerest ^jjt++++=queerest
and ^cc+phrs+++=and
crookedest ^jjt++++=crookedest
of ^in++++=of
augers ^nn++++=augers
boring ^jj++++=boring
through ^in++++=through
your ^pp$+pp2+++=your
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
million ^cd++++=million
tadpoles ^nns+++??+=tadpoles
of ^in++++=of
white ^jj+atrb+++=white
fire ^nn++++=fire
darting ^vwbg+++xvbg+=darting
in ^in++++=in
every ^at++++=every
direction ^nn+nom+++=direction
through ^in++++=through
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
ever ^rb++++=ever
get ^vb++++=get
that ^dt+dem+++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can
possibly ^rb++splt++=possibly
keep ^vb++++=keep
out ^rb+phrv+++=out
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
never ^rb++++=never
get ^vb++++=get
thirsty ^jj++++=thirsty.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
was ^vbd+bedz+vrb++=was
over ^in++++=over
there ^rn+pl+++=there
when ^wrb+who+++=when
the ^ati++++=the
red ^jj+atrb+++=red
fire ^nn++++=fire
struck ^vbd+++xvbn+=struck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
over ^in++++=over
here ^rn+pl+++=here
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Shifted ^j+++xvbn+=Shifted
about ^in++++=about
thirty ^cd++++=thirty
degrees ^nns+nom+++=degrees.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
way ^nn++++=way
about ^in++++=about
two ^cd++++=two
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
those ^dt+dem+++=those
dogs ^nns++++=dogs?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
they ^pp3a+pp3+++=they
come ^vb++++=come
to ^in++++=to
you ^pp2+pp2+++=you
or ^cc++++=or
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
go ^vb++++=go
to ^in++++=to
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
depends ^vbz++++=depends.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
some ^dti++++=some
friends ^nns++++=friends
that ^tht+rel+subj++=that
wanted ^vprf+++xvbn+=wanted
to ^to+vcmp+++=to
do ^vbi++++=do
you ^pp2+pp2+++=you
a ^at++++=a
good ^jj+atrb+++=good
turn ^nn++++=turn;
; ^zz++++=EXTRAWORD
wanted ^vb+++xvbn+=wanted
to ^to+vcmp+++=to
straighten ^vbi++++=straighten
you ^pp2+pp2+++=you
up ^rp++++=up
and ^cc++++=and
make ^vb++++=make
a ^at++++=a
man ^nn++++=man
of ^in++++=of
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
ascertained ^vprf+++xvbnx+=ascertained
the ^ati++++=the
exact ^jj+atrb+++=exact
situation ^nn+nom+++=situation
of ^in++++=of
a ^at++++=a
wonderful ^nn++++=wonderful
treasure ^vb++++=treasure
buried ^vbd+++xvbn+=buried
in ^in++++=in
an ^at++++=an
island ^nn++++=island
of ^in++++=of
the ^ati++++=the
Pacific ^nn++++=Pacific.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
qualities ^nns+nom+++=qualities
useful ^jj++++=useful
for ^in++++=for
such ^abl++++=such
an ^at++++=an
expedition ^nn+nom+++=expedition--reckless
-- ^--+clp+++=EXTRAWORD
reckless ^jj++++=EXTRAWORD
dare ^vb++++=dare-devil,
- ^zz++++=EXTRAWORD
devil ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
afraid ^jj++++=afraid
of ^in++++=of
nothing ^pn++++=nothing--things
-- ^--+clp+++=EXTRAWORD
things ^nns++++=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Understand ^vb+vprv+++=Understand,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
all ^abn++++=all
swore ^vbd+vpub++xvbn+=swore
oaths ^nns++++=oaths
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
your ^pp$+pp2+++=your
leg ^nn++++=leg--as
-- ^--+clp+++=EXTRAWORD
