Of ^in++++=Of
college ^nn++++=college
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
an ^at++++=an
incinerator ^nn++++=incinerator,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
apparatus ^nn++++=apparatus
was ^vbd+bedz+vrb++=was
too ^ql++++=too
costly ^jj++++=costly
for ^in++++=for
our ^pp$+pp1+++=our
unauthorised ^jj+atrb+++=unauthorised
laboratory ^nn++++=laboratory.
. ^zz++++=EXTRAWORD
Bodies ^nns++++=Bodies
were ^vbd+bed+vrb++=were
always ^rb++++=always
a ^at++++=a
nuisance ^nn+nom+++=nuisance
- ^zz++++=-even
even ^rb++++=EXTRAWORD
the ^ati++++=the
small ^jj+atrb+++=small
guinea ^np++++=guinea-pig
- ^zz++++=EXTRAWORD
pig ^nn++++=EXTRAWORD
bodies ^nns++++=bodies
from ^in++++=from
the ^ati++++=the
slight ^jj+atrb+++=slight
clandestine ^jj+atrb+++=clandestine
experiments ^nns+nom+++=experiments
in ^in++++=in
Wests ^np+++??+=Wests
room ^nn++++=room
at ^in++++=at
the ^ati++++=the
boarding ^nn++++=boarding-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
local ^jj+atrb+++=local
death ^nn++++=death-notices
- ^zz++++=EXTRAWORD
notices ^nns++++=EXTRAWORD
like ^in++++=like
ghouls ^nns+++??+=ghouls,
, ^zz++++=EXTRAWORD
for ^in++++=for
our ^pp$+pp1+++=our
specimens ^nns++++=specimens
demanded ^vbd+vsua++xvbn+=demanded
particular ^jj+atrb+++=particular
qualities ^nns+nom+++=qualities.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
we ^pp1a+pp1+++=we
wanted ^vbd+++xvbn+=wanted
were ^vbd+bed+aux++=were
corpses ^nns++++=corpses
interred ^vwbn+++xvbn+=interred
soon ^rb+tm+++=soon
after ^in++++=after
death ^nn++++=death
and ^cc++++=and
without ^in++++=without
artificial ^jj+atrb+++=artificial
preservation ^nn+nom+++=preservation;
; ^zz++++=EXTRAWORD
preferably ^rb++++=preferably
free ^jj++++=free
from ^in++++=from
malforming ^xvbg+++xvbg+=malforming
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certainly ^rb++++=certainly
with ^in++++=with
all ^abn++++=all
organs ^nns++++=organs
present ^nn++++=present.
. ^zz++++=EXTRAWORD
Accident ^nn++++=Accident
victims ^nns++++=victims
were ^vbd+bed+vrb++=were
our ^pp$+pp1+++=our
best ^jjt+atrb+++=best
hope ^nn++++=hope.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
for ^in++++=for
many ^ap++++=many
weeks ^nns++++=weeks
did ^vbd+dod+aux++=did
we ^pp1a+pp1+++=we
hear ^vb+vprv+++=hear
of ^in++++=of
anything ^pn++++=anything
suitable ^jj++++=suitable;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
talked ^vbd+++xvbn+=talked
with ^in++++=with
morgue ^nn+++??+=morgue
and ^cc++++=and
hospital ^nn+nom+++=hospital
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
ostensibly ^rb++++=ostensibly
in ^in++++=in
the ^ati++++=the
colleges ^nns++++=colleges
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
as ^ql++++=as
often ^rb++++=often
as ^ql++++=as
we ^pp1a+pp1+++=we
could ^md+pos+++=could
without ^in++++=without
exciting ^jj+atrb+++=exciting
suspicion ^nn++++=suspicion.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
the ^ati++++=the
college ^npl++++=college
had ^vb+hv+vrb++=had
first ^rb++++=first
choice ^nn++++=choice
in ^in++++=in
every ^at++++=every
case ^nn++++=case,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
remain ^vbi++++=remain
in ^in++++=in
Arkham ^np+++??+=Arkham
during ^in++++=during
the ^ati++++=the
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
only ^rb+down+++=only
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
summer ^nn++++=summer-school
- ^zz++++=EXTRAWORD
school ^nn++++=EXTRAWORD
classes ^nns++++=classes
were ^vbd+bed+aux++=were
held ^vpsv++agls+xvbnx+=held.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
luck ^nn++++=luck
favoured ^vbd+++xvbn+=favoured
us ^pp1o+pp1+++=us;
; ^zz++++=EXTRAWORD
for ^in++++=for
one ^cd1++++=one
day ^nn++++=day
we ^pp1a+pp1+++=we
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
an ^at++++=an
almost ^rb+hdg+++=almost
ideal ^jj+atrb+++=ideal
case ^nn++++=case
in ^in++++=in
the ^ati++++=the
potters ^nns+nom+++=potters
field ^nn++++=field;
; ^zz++++=EXTRAWORD
a ^at++++=a
brawny ^jj+atrb+++=brawny
young ^jj+atrb+++=young
workman ^nn++++=workman
drowned ^vbd+++xvbn+=drowned
only ^rb+down+++=only
the ^ati++++=the
morning ^nn++++=morning
before ^in++++=before
in ^in++++=in
Summers ^nns+nom+++=Summers
Pond ^nn++++=Pond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buried ^jj+++xvbn+=buried
at ^rb++++=at
the ^ati++++=the
towns ^nns++++=towns
expense ^nn++++=expense
without ^in++++=without
delay ^nn++++=delay
or ^cc++++=or
embalming ^nvbg+++xvbg+=embalming.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
afternoon ^nn++++=afternoon
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
new ^jj++++=new
grave ^jj++++=grave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
begin ^vbi++++=begin
work ^nn++++=work
soon ^rb+tm+++=soon
after ^in++++=after
midnight ^nn++++=midnight.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
repulsive ^jj+atrb+++=repulsive
task ^nn++++=task
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
undertook ^vbd+vsua++xvbn+=undertook
in ^in++++=in
the ^ati++++=the
black ^jj+atrb+++=black
small ^jj+atrb+++=small
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
lacked ^vbd+++xvbn+=lacked
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time
the ^ati++++=the
special ^jj+atrb+++=special
horror ^nn++++=horror
of ^in++++=of
graveyards ^nns+++??+=graveyards
which ^whp+rel+obj++=which
later ^rbr+tm+++=later
experiences ^nns+nom+++=experiences
brought ^vbd+++xvbn+=brought
to ^rb+phrv+++=to
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
carried ^vbd+++xvbn+=carried
spades ^nns++++=spades
and ^cc++++=and
oil ^nn++++=oil
dark ^jj+atrb+++=dark
lanterns ^nns++++=lanterns,
, ^zz++++=EXTRAWORD
for ^in++++=for
although ^cs+con+++=although
electric ^jj+atrb+++=electric
torches ^nns++++=torches
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
manufactured ^vpsv++agls+xvbnx+=manufactured,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
as ^in++++=as
satisfactory ^nn++++=satisfactory
as ^in++++=as
the ^ati++++=the
tungsten ^nn++++=tungsten
contrivances ^nns+nom++??+=contrivances
of ^in++++=of
today ^nr+tm+++=today.
. ^zz++++=EXTRAWORD
The ^ati++++=The
process ^nns+nom+++=process
of ^in++++=of
unearthing ^xvbg+++xvbg+=unearthing
was ^vbd+bedz+vrb++=was
slow ^jj+pred+++=slow
and ^cc+phrs+++=and
sordid ^jj++++=sordid
- ^zz++++=-it
it ^pp3+it+++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
gruesomely ^jj++++=gruesomely
poetical ^jj++++=poetical
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
artists ^nns+nom+++=artists
instead ^rb+cnj+++=instead
of ^in++++=of
scientists ^nns+nom+++=scientists
- ^zz++++=-and
and ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
glad ^jj+pred+++=glad
when ^wrb+who+++=when
our ^pp$+pp1+++=our
spades ^nns++++=spades
struck ^vbd+++xvbn+=struck
wood ^npl++++=wood.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
pine ^nn++++=pine
box ^nn++++=box
was ^vbd+bedz+aux++=was
fully ^rb+amp+splt++=fully
uncovered ^vpsv++agls+xvbnx+=uncovered,
, ^zz++++=EXTRAWORD
West ^np+pl+++=West
scrambled ^vbd+++xvbn+=scrambled
down ^rp++++=down
and ^cc++++=and
removed ^vbd+++xvbn+=removed
the ^ati++++=the
lid ^nn++++=lid,
, ^zz++++=EXTRAWORD
dragging ^vbg+++xvbg+=dragging
out ^rb+phrv+++=out
and ^cc++++=and
propping ^nvbg+++xvbg+=propping
up ^rp++++=up
the ^ati++++=the
contents ^nns++++=contents.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reached ^vbd+++xvbnx+=reached
down ^rp++++=down
and ^cc++++=and
hauled ^vbd+++xvbn+=hauled
the ^ati++++=the
contents ^nns++++=contents
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
both ^abx++++=both
toiled ^jj+++xvbn+=toiled
hard ^jj++++=hard
to ^to+jcmp+++=to
restore ^vbi++++=restore
the ^ati++++=the
spot ^nn++++=spot
to ^in++++=to
its ^pp$+it+++=its
former ^ap++++=former
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
affair ^nn++++=affair
made ^vbd+++xvbn+=made
us ^pp1o+pp1+++=us
rather ^rb++++=rather
nervous ^jj++++=nervous,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
the ^ati++++=the
stiff ^jj+atrb+++=stiff
form ^nn++++=form
and ^cc++++=and
vacant ^jj+atrb+++=vacant
face ^nn++++=face
of ^in++++=of
our ^pp$+pp1+++=our
first ^od++++=first
trophy ^nn++++=trophy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
managed ^vbd+++xvbn+=managed
to ^to+vcmp+++=to
remove ^vbi++++=remove
all ^abn++++=all
traces ^nns++++=traces
of ^in++++=of
our ^pp$+pp1+++=our
visit ^nn++++=visit.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
patted ^vprf+++xvbnx+=patted
down ^in++++=down
the ^ati++++=the
last ^rb++++=last
shovelful ^jj++++=shovelful
of ^in++++=of
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
weput ^nn+++??+=weput
the ^ati++++=the
specimen ^nn++++=specimen
in ^in++++=in
a ^at++++=a
canvas ^nn++++=canvas
sack ^nn++++=sack
and ^cc++++=and
set ^nn+++xvbn+=set
out ^rb+phrv+++=out
for ^in+ppvb+++=for
the ^ati++++=the
old ^jj+atrb+++=old
Chapman ^np++++=Chapman
place ^nn++++=place
beyoiid ^nn+++??+=beyoiid
Meadow ^nn++++=Meadow
Hill ^nn++++=Hill.
. ^zz++++=EXTRAWORD
On ^in++++=On
an ^at++++=an
improvised ^jj+++xvbn+=improvised
dissecting ^jj+++xvbg+=dissecting-table
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
farmhouse ^nn++++=farmhouse,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
a ^at++++=a
powerful ^jj+atrb+++=powerful
acetylene ^nn++++=acetylene
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
the ^ati++++=the
specimen ^nn++++=specimen
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
very ^ql+amp+++=very
spectral ^jj+atrb+++=spectral
looking ^nvbg+++xvbg+=looking.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
sturdy ^jj++++=sturdy
and ^cc++++=and
apparently ^rb++++=apparently
unimaginative ^jj+atrb+++=unimaginative
youth ^nn++++=youth
of ^in++++=of
wholesome ^jj+atrb+++=wholesome
plebeian ^jj+atrb+++=plebeian
type ^nn++++=type
- ^zz++++=-large-framed,
large ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
framed ^xvbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
grey ^jj++++=grey-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brown ^np++++=brown-haired
- ^zz++++=EXTRAWORD
haired ^jj++++=EXTRAWORD
- ^zz++++=-a
a ^at++++=EXTRAWORD
sound ^jj+atrb+++=sound
animal ^nn++++=animal
without ^in++++=without
psychological ^jj+atrb+++=psychological
subtleties ^nns++++=subtleties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
probably ^rb++++=probably
having ^vbg+hvg++xvbg+=having
vital ^jj+atrb+++=vital
processes ^nns+nom+++=processes
of ^in++++=of
the ^ati++++=the
simplest ^jjt+atrb+++=simplest
and ^cc+phrs+++=and
healthiest ^jjt+atrb+++=healthiest
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
eyes ^nns++++=eyes
closed ^vbd+++xvbn+=closed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
more ^rbr++++=more
asleep ^jj++++=asleep
than ^in++++=than
dead ^jj++++=dead;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
expert ^nn++++=expert
test ^nn++++=test
of ^in++++=of
my ^pp$+pp1+++=my
friend ^nn++++=friend
soon ^rb+tm+++=soon
left ^jj+++xvbn+=left
no ^at++++=no
doubt ^nn++++=doubt
on ^in++++=on
that ^dt+dem+++=that
score ^nn++++=score.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
at ^rb++++=at
last ^rb"++++=last
what ^wdt+who+++=what
West ^np+pl+++=West
had ^vb+hv+aux++=had
always ^rb++splt++=always
longed ^vprf+++xvbnx+=longed
for ^in++++=for
- ^zz++++=-a
a ^at++++=EXTRAWORD
real ^rb+emph+++=real
dead ^jj+atrb+++=dead
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
ideal ^jj+atrb+++=ideal
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
for ^in++++=for
the ^ati++++=the
solution ^nn+nom+++=solution
as ^in++++=as
prepared ^nn++++=prepared
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
most ^ql+emph+++=most
careful ^jj+atrb+++=careful
calculations ^nns+nom+++=calculations
and ^cc++++=and
theories ^nns++++=theories
for ^in++++=for
human ^jj+atrb+++=human
use ^nn++++=use.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tension ^nn++++=tension
on ^in++++=on
our ^pp$+pp1+++=our
part ^nn++++=part
became ^vbd+++xvbn+=became
very ^ql+amp+++=very
great ^np++++=great.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
a ^at++++=a
chance ^nn++++=chance
for ^in++++=for
anything ^pn++++=anything
like ^in++++=like
complete ^jj+atrb+++=complete
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
not ^xnot++not++=not
avoid ^vb++++=avoid
hideous ^jj+atrb+++=hideous
fears ^nns++++=fears
at ^rb++++=at
possible ^jj+atrb+++=possible
grotesque ^jj+atrb+++=grotesque
results ^nns++++=results
of ^in++++=of
partial ^jj+atrb+++=partial
animation ^nn+nom+++=animation.
. ^zz++++=EXTRAWORD
Especially ^rb++++=Especially
were ^vbd+bed+vrb++=were
we ^pp1a+pp1+++=we
apprehensive ^jj++++=apprehensive
concerning ^in++++=concerning
the ^ati++++=the
mind ^nn++++=mind
and ^cc++++=and
impulses ^nns++++=impulses
of ^in++++=of
the ^ati++++=the
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
since ^rb++++=since
in ^in++++=in
the ^ati++++=the
space ^nn++++=space
following ^vwbg+++xvbg+=following
death ^nn++++=death
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
more ^rbr++++=more
delicate ^jj+atrb+++=delicate
cerebral ^jj+atrb+++=cerebral
cells ^nns++++=cells
might ^md+pos+++=might
well ^rb++++=well
have ^vb+hv+aux++=have
suffered ^vprf+++xvbnx+=suffered
deterioration ^nn+nom+++=deterioration.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
still ^rb++++=still
held ^vbd+vprv++xvbn+=held
some ^dti++++=some
curious ^jj+atrb+++=curious
notions ^nns+nom+++=notions
about ^in++++=about
the ^ati++++=the
traditional ^jj++++=traditional
" ^zz++++="soul"
soul ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
of ^in++++=of
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
felt ^vbd+vprv++xvbn+=felt
an ^at++++=an
awe ^nn++++=awe
at ^in++++=at
the ^ati++++=the
secrets ^nns++++=secrets
that ^tht+rel+subj++=that
might ^md+pos+++=might
be ^vb+be+aux++=be
told ^vpsv++by+xvbnx+=told
by ^in++++=by
one ^cd1++++=one
returning ^jj+++xvbg+=returning
from ^in++++=from
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
what ^wdt+who+whcl++=what
sights ^nns++++=sights
this ^dt+dem+++=this
placid ^jj+atrb+++=placid
youth ^nn++++=youth
might ^md+pos+++=might
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
in ^in++++=in
inaccessible ^jj+atrb+++=inaccessible
spheres ^nns++++=spheres,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
could ^md+pos+++=could
relate ^vb++++=relate
if ^cs+cnd+++=if
fully ^rb+amp+++=fully
restored ^vbd+++xvbn+=restored
to ^in++++=to
life ^nn++++=life.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
wonder ^nn++++=wonder
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
overwhelming ^jj++++=overwhelming,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
for ^in++++=for
the ^ati++++=the
most ^ap+emph+++=most
part ^nn++++=part
I ^pp1a+pp1+++=I
shared ^vbd+++xvbnx+=shared
the ^ati++++=the
materialism ^nn+nom+++=materialism
of ^in++++=of
my ^pp$+pp1+++=my
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
calmer ^jjr+pred+++=calmer
than ^in++++=than
I ^pp1a+pp1+++=I
as ^ql++++=as
he ^pp3a+pp3+++=he
forced ^vbd+++xvbnx+=forced
a ^at++++=a
large ^jj+atrb+++=large
quantity ^nn+nom+++=quantity
of ^in++++=of
his ^pp$+pp3+++=his
fluid ^nn++++=fluid
into ^in++++=into
a ^at++++=a
vein ^nn++++=vein
of ^in++++=of
the ^ati++++=the
bodys ^nns+++??+=bodys
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
immediately ^rb+tm+++=immediately
binding ^jj++++=binding
the ^ati++++=the
incision ^nn+++??+=incision
securely ^rb++++=securely.
. ^zz++++=EXTRAWORD
The ^ati++++=The
waiting ^nvbg+++xvbg+=waiting
was ^vbd+bedz+vrb++=was
gruesome ^jj+pred+++=gruesome,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
West ^np+pl+++=West
never ^rb++++=never
faltered ^vbd+++xvbn+=faltered.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
applied ^vbd+++xvbnx+=applied
his ^pp$+pp3+++=his
stethoscope ^nn++++=stethoscope
to ^in++++=to
the ^ati++++=the
specimen ^nn++++=specimen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bore ^vbd+++xvbn+=bore
the ^ati++++=the
negative ^jj+atrb+++=negative
results ^nns++++=results
philosophically ^rb++++=philosophically.
. ^zz++++=EXTRAWORD
After ^in++++=After
about ^in++++=about
three ^cd++++=three-quarters
- ^zz++++=EXTRAWORD
quarters ^nns+nom+++=EXTRAWORD
of ^in++++=of
an ^at++++=an
hour ^nn++++=hour
without ^in++++=without
the ^ati++++=the
least ^rbt++++=least
sign ^nn++++=sign
of ^in++++=of
life ^nn++++=life
he ^pp3a+pp3+++=he
disappointedly ^jj++++=disappointedly
pronounced ^jj+++xvbn+=pronounced
the ^ati++++=the
solution ^nn+nom+++=solution
inadequate ^jj++++=inadequate,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
make ^vbi++++=make
the ^ati++++=the
most ^ap+emph+++=most
of ^in++++=of
his ^pp$+pp3+++=his
opportunity ^nn+nom+++=opportunity
and ^cc++++=and
try ^nn++++=try
one ^cd1++++=one
change ^nn++++=change
in ^in++++=in
the ^ati++++=the
formula ^nn++++=formula
before ^in++++=before
disposing ^nn++++=disposing
of ^in+ppvb+++=of
his ^pp$+pp3+++=his
ghastly ^jj+atrb+++=ghastly
prize ^nn++++=prize.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
that ^dt+dem+++=that
afternoon ^nn++++=afternoon
dug ^vwbn+++xvbn+=dug
a ^at++++=a
grave ^nn++++=grave
in ^in++++=in
the ^ati++++=the
cellar ^nn++++=cellar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
have ^md"++pmd"++=have
to ^md+nec+++=to
fill ^vb++++=fill
it ^pp3+it+++=it
by ^in++++=by
dawn ^nn++++=dawn
- ^zz++++=-for
for ^in++++=EXTRAWORD
although ^cs+con+++=although
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
fixed ^vprf+++xvbnx+=fixed
a ^at++++=a
lock ^nn++++=lock
on ^in++++=on
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
shun ^vbi++++=shun
even ^rb++++=even
the ^ati++++=the
remotest ^nn++++=remotest
risk ^vb++++=risk
of ^in++++=of
a ^at++++=a
ghoulish ^jj+atrb+++=ghoulish
discovery ^nn+nom+++=discovery.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
the ^ati++++=the
body ^nn++++=body
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
even ^rb++++=even
approximately ^rb+down+++=approximately
fresh ^jj++++=fresh
the ^ati++++=the
next ^ap++++=next
night ^nn++++=night.
. ^zz++++=EXTRAWORD
So ^ql+emph+++=So
taking ^jj+++xvbg+=taking
the ^ati++++=the
solitary ^jj+atrb+++=solitary
acetylene ^nn++++=acetylene
lamp ^nn++++=lamp
into ^in++++=into
the ^ati++++=the
adjacent ^jj+atrb+++=adjacent
laboratory ^nn++++=laboratory,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
left ^vbd+++xvbn+=left
our ^pp$+pp1+++=our
silent ^jj+atrb+++=silent
guest ^nn++++=guest
on ^in++++=on
the ^ati++++=the
slab ^nn++++=slab
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bent ^nn+++xvbn+=bent
every ^at++++=every
energy ^nn++++=energy
to ^in++++=to
the ^ati++++=the
mixing ^jj+++xvbg+=mixing
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
solution ^nn+nom+++=solution;
; ^zz++++=EXTRAWORD
the ^ati++++=the
weighing ^jj+++xvbg+=weighing
and ^cc++++=and
measuring ^xvbg+++xvbg+=measuring
supervised ^vpsv++by+xvbn+=supervised
by ^in++++=by
West ^np+pl+++=West
with ^in++++=with
an ^at++++=an
almost ^rb+hdg+++=almost
fanatical ^jj+atrb+++=fanatical
care ^nn++++=care.
. ^zz++++=EXTRAWORD
The ^ati++++=The
awful ^jj+atrb+++=awful
event ^nn++++=event
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
sudden ^jj++++=sudden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wholly ^rb++++=wholly
unexpected ^jj++++=unexpected.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
pouring ^vbg+++xvbgx+=pouring
something ^pn++++=something
from ^in++++=from
one ^cd1++++=one
test ^nn++++=test-tube
- ^zz++++=EXTRAWORD
tube ^nn++++=EXTRAWORD
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
West ^np+pl+++=West
was ^vbd+bedz+vrb++=was
busy ^jj+pred+++=busy
over ^in++++=over
the ^ati++++=the
alcohol ^nn++++=alcohol
blast ^nn++++=blast-lamp
- ^zz++++=EXTRAWORD
lamp ^nn++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
to ^in++++=to
answer ^nn++++=answer
for ^in++++=for
a ^at++++=a
Bunsen ^np+++??+=Bunsen
burner ^nn++++=burner
in ^in++++=in
this ^dt+dem+++=this
gasless ^jj+atrb+++=gasless
edifice ^nn++++=edifice,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
from ^in++++=from
the ^ati++++=the
pitch ^nn++++=pitch-black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
room ^nn++++=room
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
there ^rn+pl+++=there
burst ^nn+++xvbn+=burst
the ^ati++++=the
most ^ql+emph+++=most
appalling ^jj+atrb+++=appalling
and ^cc+phrs+++=and
daemoniac ^jj+atrb++??+=daemoniac
succession ^nn++++=succession
of ^in++++=of
cries ^nns++++=cries
that ^tht+rel+obj++=that
either ^dtx++++=either
of ^in++++=of
us ^pp1o+pp1+++=us
