No ^at++++=No
in ^in++++=in
a ^at++++=a
curious ^jj+atrb+++=curious
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
wore ^vbd+++xvbnx+=wore
short ^jj+atrb+++=short
jackets ^nns++++=jackets
of ^in++++=of
red ^jj+atrb+++=red
velvet ^nn++++=velvet
braided ^jj++++=braided
with ^in++++=with
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knee ^nn++++=knee
breeches ^nns++++=breeches
of ^in++++=of
sky ^nn++++=sky-blue
- ^zz++++=EXTRAWORD
blue ^jj+atrb+++=EXTRAWORD
satin ^nn++++=satin
with ^in++++=with
silver ^nn++++=silver
buttons ^nns++++=buttons.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
their ^pp$+pp3+++=their
stockings ^nns++++=stockings
were ^vbd+bed+aux++=were
laced ^vprf+++xvbn+=laced
wide ^jj+atrb+++=wide
ribbons ^nns++++=ribbons
of ^in++++=of
red ^jj++++=red
and ^cc+phrs+++=and
yellow ^jj++++=yellow
and ^cc++++=and
blue ^nn++++=blue,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
their ^pp$+pp3+++=their
hats ^nns++++=hats
had ^vb+hv+vrb++=had
broad ^jj+atrb+++=broad
brims ^nns+++??+=brims
with ^in++++=with
high ^jj+atrb+++=high,
, ^zz++++=EXTRAWORD
peaked ^jj+atrb+++=peaked
crowns ^nns++++=crowns,
, ^zz++++=EXTRAWORD
from ^in++++=from
which ^whp+rel+pied++=which
fluttered ^vbd+++xvbn+=fluttered
yards ^nns++++=yards
of ^in++++=of
bright ^jj++++=bright-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
ribbons ^nns++++=ribbons.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
big ^jj+atrb+++=big
gold ^nn++++=gold
rings ^nns++++=rings
in ^in++++=in
their ^pp$+pp3+++=their
ears ^nns++++=ears
and ^cc++++=and
rows ^nns++++=rows
of ^in++++=of
knives ^nns++++=knives
and ^cc++++=and
pistols ^nns++++=pistols
in ^in++++=in
their ^pp$+pp3+++=their
belts ^nns++++=belts.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
black ^jj+pred+++=black
and ^cc+phrs+++=and
glittering ^jj++++=glittering
and ^cc++++=and
they ^pp3a+pp3+++=they
wore ^vbd+++xvbnx+=wore
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
fierce ^jj+atrb+++=fierce
mustaches ^nns+++??+=mustaches,
, ^zz++++=EXTRAWORD
curling ^vbg+nom++xvbg+=curling
at ^rb++++=at
the ^ati++++=the
ends ^nns++++=ends
like ^in++++=like
a ^at++++=a
pig ^nn++++=pig's
's ^$++++=EXTRAWORD
tail ^nn++++=tail.
. ^zz++++=EXTRAWORD
" ^zz++++="My!
my ^pp$+pp1+++=EXTRAWORD
! ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
heavy ^jj+pred+++=heavy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
fat ^nn++++=fat
one ^pn++++=one,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
pulled ^vprf+++xvbnx+=pulled
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
velvet ^nn++++=velvet
jacket ^nn++++=jacket
and ^cc++++=and
brushed ^vbd+++xvbn+=brushed
the ^ati++++=the
dust ^nn++++=dust
from ^in++++=from
his ^pp$+pp3+++=his
sky ^nn++++=sky-blue
- ^zz++++=EXTRAWORD
blue ^jj+atrb+++=EXTRAWORD
breeches ^nns++++=breeches.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
squeezed ^vbd+++xvbn+=squeezed
me ^pp1o+pp1+++=me
all ^rb++++=all
out ^rp+pl+++=out
of ^in++++=of
shape ^nn++++=shape."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
unavoidable ^jj+pred+++=unavoidable,
, ^zz++++=EXTRAWORD
Luigi ^np++++=Luigi,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
responded ^vbd+++xvbn+=responded
the ^ati++++=the
thin ^jj+atrb+++=thin
man ^nn++++=man,
, ^zz++++=EXTRAWORD
lightly ^rb++++=lightly;
; ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
lid ^nn++++=lid
of ^in++++=of
the ^ati++++=the
chest ^nn++++=chest
pressed ^vbd+++xvbn+=pressed
me ^pp1o+pp1+++=me
down ^rp++++=down
upon ^in++++=upon
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
tender ^jj++++=tender
you ^pp2+pp2+++=you
my ^pp$+pp1+++=my
regrets ^nns++++=regrets."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="As
as ^in++++=EXTRAWORD
for ^in"++++=for
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
middle ^jjb++++=middle-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
carelessly ^rb++++=carelessly
rolling ^vbg+nom++xvbg+=rolling
a ^at++++=a
cigarette ^nn+nom+++=cigarette
and ^cc++++=and
lighting ^nn++++=lighting
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
acknowledge ^vb+vpub+tht0++=acknowledge
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
your ^pp$+pp2+++=your
nearest ^jjt+atrb+++=nearest
friend ^nn++++=friend
for ^in++++=for
years ^nns++++=years;
; ^zz++++=EXTRAWORD
so ^ql++++=so
do ^vb+do+aux++=do
not ^xnot++not++=not
be ^vb+be+vrb++=be
disagreeable ^jj+pred+++=disagreeable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
smoke ^nn++++=smoke
in ^in++++=in
the ^ati++++=the
attic ^nn++++=attic,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Martha ^np+++??+=Martha,
, ^zz++++=EXTRAWORD
recovering ^vbg+++xvbg+=recovering
herself ^ppl+pp3+++=herself
at ^in++++=at
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
cigarette ^nn+nom+++=cigarette.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
might ^md+pos+++=might
set ^vb+++xvbn+=set
the ^ati++++=the
house ^npl++++=house
on ^in++++=on
fire ^nn++++=fire."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
middle ^jjb++++=middle-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
not ^xnot++not++=not
noticed ^vbd+vprv++xvbn+=noticed
her ^pp$+pp3+++=her
before ^in++++=before,
, ^zz++++=EXTRAWORD
at ^rb++++=at
this ^dt+dem+++=this
speech ^nn++++=speech
turned ^vbd+++xvbn+=turned
to ^in++++=to
the ^ati++++=the
girl ^nn++++=girl
and ^cc++++=and
bowed ^vwbn+++xvbn+=bowed.
. ^zz++++=EXTRAWORD
" ^zz++++="Since
since ^in++++=EXTRAWORD
a ^at++++=a
lady ^nn++++=lady
requests ^nns++++=requests
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
abandon ^vb++++=abandon
my ^pp$+pp1+++=my
cigarette ^nn+nom+++=cigarette,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
extinguished ^vbd+++xvbn+=extinguished
it ^pp3+it+++=it
with ^in++++=with
his ^pp$+pp3+++=his
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Martha ^np+++??+=Martha,
, ^zz++++=EXTRAWORD
who ^whp+who+++=who
until ^cs+sub+++=until
now ^rn+tm+++=now
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
too ^ql++++=too
astonished ^jj+++xvbn+=astonished
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
frightened ^vpsv++agls+xvbnx+=frightened.
. ^zz++++=EXTRAWORD
" ^zz++++="Permit
permit ^vb++++=EXTRAWORD
us ^pp1o+pp1+++=us
to ^to++++=to
introduce ^vbi++++=introduce
ourselves ^ppls+pp1+++=ourselves,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
thin ^jj+atrb+++=thin
man ^nn++++=man,
, ^zz++++=EXTRAWORD
flourishing ^jj++++=flourishing
his ^pp$+pp3+++=his
hat ^nn++++=hat
gracefully ^rb++++=gracefully.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
Lugui ^np+++??+=Lugui,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
fat ^nn++++=fat
man ^nn++++=man
nodded ^vbd+++xvbn+=nodded;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
Beni ^np+++??+=Beni,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
middle ^jjb++++=middle-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
bowed ^vbd+++xvbn+=bowed;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
Victor ^nn++++=Victor.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
three ^cd++++=three
bandits ^nns++++=bandits--Italian
-- ^--+clp+++=EXTRAWORD
italian ^jj+atrb+++=EXTRAWORD
bandits ^nns++++=bandits."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bandits!"
bandits ^nns++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Martha ^np+++??+=Martha,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
look ^nn++++=look
of ^in++++=of
horror ^nn++++=horror.
. ^zz++++=EXTRAWORD
" ^zz++++="Exactly.
exactly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
not ^xnot++not++=not
three ^cd++++=three
other ^ap++++=other
bandits ^nns++++=bandits
so ^rb+emph+++=so
terrible ^jj++++=terrible
and ^cc+phrs+++=and
fierce ^jj++++=fierce
as ^cs+sub+++=as
ourselves ^ppls+pp1+++=ourselves,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
proudly ^rb++++=proudly.
. ^zz++++=EXTRAWORD
" ^zz++++="'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
so ^rb+cnj+++=so,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
fat ^nn++++=fat
man ^nn++++=man,
, ^zz++++=EXTRAWORD
nodding ^vbg+++xvbg+=nodding
gravely ^rb++++=gravely.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
wicked ^jj++++=wicked!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Martha ^np+++??+=Martha.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Victor ^nn++++=Victor.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+vrb++=are
extremely ^rb+amp+++=extremely
and ^cc+phrs+++=and
tremendously ^rb++++=tremendously
wicked ^jj++++=wicked.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world
you ^pp2+pp2+++=you
could ^md+pos+++=could
not ^xnot++not++=not
find ^vb+vprv+++=find
three ^cd++++=three
men ^nns++++=men
more ^rbr++++=more
wicked ^jj++++=wicked
than ^in++++=than
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
now ^rn+tm+++=now
stand ^vb++++=stand
before ^in++++=before
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
so ^rb+cnj+++=so,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
fat ^nn++++=fat
man ^nn++++=man,
, ^zz++++=EXTRAWORD
approvingly ^jj++++=approvingly.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
so ^ql+emph+++=so
wicked ^jj++++=wicked,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
girl ^nn++++=girl;
; ^zz++++=EXTRAWORD
" ^zz++++="it's--it's--naughty!"
it ^pp3+it+++=EXTRAWORD
's--it's--naughty!" ^nn+++??+=EXTRAWORD
Victor ^nn++++=Victor
cast ^vbd+++xvbn+=cast
down ^rp++++=down
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
and ^cc++++=and
blushed ^vbd+++xvbn+=blushed.
. ^zz++++=EXTRAWORD
" ^zz++++="Naughty!"
naughty ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
gasped ^vbd+++xvbn+=gasped
Beni ^np+++??+=Beni,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
horrified ^nn++++=horrified
look ^vb++++=look.
. ^zz++++=EXTRAWORD
" ^zz++++="'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
a ^at++++=a
hard ^jj+atrb+++=hard
word ^nn++++=word,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Luigi ^np++++=Luigi,
, ^zz++++=EXTRAWORD
sadly ^rb+cnj+++=sadly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buried ^jj+++xvbn+=buried
his ^pp$+pp3+++=his
face ^nn++++=face
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
little ^ap++++=little
thought ^vprf+++xvbn+=thought,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
murmured ^vbd+++xvbn+=murmured
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
voice ^nn++++=voice
broken ^vwbn+++xvbn+=broken
by ^in++++=by
emotion ^nn+nom+++=emotion,
, ^zz++++=EXTRAWORD
" ^zz++++="ever
ever ^rb++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
so ^ql+emph+++=so
reviled ^jj+++xvbn+=reviled--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
by ^in++++=by
a ^at++++=a
lady ^nn++++=lady!
! ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
you ^pp2+pp2+++=you
spoke ^vbd+++xvbn+=spoke
thoughtlessly ^jj++++=thoughtlessly.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
consider ^nn+nom+++=consider,
, ^zz++++=EXTRAWORD
miss ^npt++++=miss,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
our ^pp$+pp1+++=our
wickedness ^nns+nom+++=wickedness
has ^vbz+hvz+vrb++=has
an ^at++++=an
excuse ^nn++++=excuse.
. ^zz++++=EXTRAWORD
For ^in++++=For
how ^wrb+who+whq++=how
are ^vb+ber+vrb++=are
we ^pp1a+pp1+++=we
to ^to++++=to
be ^vbi++vrb++=be
bandits ^nns++++=bandits,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
ask ^vb++++=ask,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
wicked ^jj+pred+++=wicked?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Martha ^np+++??+=Martha
was ^vbd+bedz+aux++=was
puzzled ^vpsv++agls+xvbnx+=puzzled
and ^cc+phrs+++=and
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
thoughtfully ^rb++++=thoughtfully.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
remembered ^vbd+vprv+tht0+xvbnx+=remembered
something ^pn++++=something.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
remain ^vb++++=remain
bandits ^nns++++=bandits
any ^dti++++=any
longer ^rbr++++=longer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="because
because ^cs+cos+++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
in ^in++++=in
America ^np++++=America."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="America!"
america ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
three ^cd++++=three,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
" ^zz++++="Certainly.
certainly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
on ^in++++=on
Prairie ^nn++++=Prairie
avenue ^nn++++=avenue,
, ^zz++++=EXTRAWORD
in ^in++++=in
Chicago ^np++++=Chicago.
. ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Walter ^np++++=Walter
sent ^vbd+++xvbn+=sent
you ^pp2+pp2+++=you
here ^rn+pl+++=here
from ^in++++=from
Italy ^np++++=Italy
in ^in++++=in
this ^dt+dem+++=this
chest ^nn++++=chest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
bandits ^nns++++=bandits
seemed ^vbd+seem++xvbn+=seemed
greatly ^rb+amp+++=greatly
bewildered ^vpsv++by+xvbn+=bewildered
by ^in++++=by
this ^dt+dem+++=this
announcement ^nn+nom+++=announcement.
. ^zz++++=EXTRAWORD
Lugui ^np+++??+=Lugui
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
on ^in++++=on
an ^at++++=an
old ^jj+atrb+++=old
chair ^nn++++=chair
with ^in++++=with
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
rocker ^nn++++=rocker
and ^cc++++=and
wiped ^vbd+++xvbn+=wiped
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
with ^in++++=with
a ^at++++=a
yellow ^jj+atrb+++=yellow
silk ^nn++++=silk
handkerchief ^nn++++=handkerchief.
. ^zz++++=EXTRAWORD
Beni ^np+++??+=Beni
and ^cc++++=and
Victor ^nn++++=Victor
fell ^vbd+++xvbn+=fell
back ^jjb++++=back
upon ^in++++=upon
the ^ati++++=the
chest ^nn++++=chest
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp$+pp3+++=her
with ^in++++=with
pale ^nn++++=pale
faces ^nns++++=faces
and ^cc++++=and
staring ^jj+atrb++xvbg+=staring
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
somewhat ^rb+down+splt++=somewhat
recovered ^vprf+++xvbnx+=recovered
himself ^ppl+pp3+++=himself
Victor ^np++++=Victor
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
Uncle ^nn++++=Uncle
Walter ^np++++=Walter
has ^vbz+hvz+aux++=has
greatly ^rb+amp+splt++=greatly
wronged ^vprf+++xvbnx+=wronged
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
reproachfully ^rb++++=reproachfully.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
taken ^vprf+++xvbnx+=taken
us ^pp1o+pp1+++=us
from ^in++++=from
our ^pp$+pp1+++=our
beloved ^jj+atrb+++=beloved
Italy ^np++++=Italy,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
bandits ^nns++++=bandits
are ^vb+ber+aux++=are
highly ^rb+amp+splt++=highly
respected ^vpsv++agls+xvbnx+=respected,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
us ^pp1o+pp1+++=us
to ^in++++=to
a ^at++++=a
strange ^jj+atrb+++=strange
country ^nn++++=country
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
not ^xnot++not++=not
know ^vb+vprv+++=know
whom ^whp+wpor+whcl++=whom
to ^to++++=to
rob ^vbi++++=rob
or ^cc+cls+++=or
how ^wrb+who+++=how
much ^rb++++=much
to ^to++++=to
ask ^vbi++++=ask
for ^in+ppvb+++=for
a ^at++++=a
ransom ^nn++++=ransom."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
so ^ql++++=so!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
fat ^nn++++=fat
man ^nn++++=man,
, ^zz++++=EXTRAWORD
slapping ^jj+++xvbg+=slapping
his ^pp$+pp3+++=his
leg ^nn++++=leg
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
won ^vprf+++xvbnx+=won
such ^abl++++=such
fine ^jj+atrb+++=fine
reputations ^nns+nom+++=reputations
in ^in++++=in
Italy ^np++++=Italy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Beni ^np+++??+=Beni,
, ^zz++++=EXTRAWORD
regretfully ^rb++++=regretfully.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
Uncle ^nn++++=Uncle
Walter ^np++++=Walter
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
reform ^vbi++++=reform
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
suggested ^vbd+vpub++xvbn+=suggested
Martha ^np+++??+=Martha.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
no ^at++++=no
bandits ^nns++++=bandits
in ^in++++=in
Chicago ^np++++=Chicago?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Victor ^np++++=Victor.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
blushing ^vbg+++xvbg+=blushing
in ^in++++=in
her ^pp$+pp3+++=her
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not
call ^nn++++=call
them ^pp3o+pp3+++=them
bandits ^nns++++=bandits."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
what ^wdt+who+++=what
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
for ^in++++=for
a ^at++++=a
living ^nvbg+++xvbg+=living?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
Beni ^np+++??+=Beni,
, ^zz++++=EXTRAWORD
despairingly ^rb++++=despairingly.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
great ^jj+atrb+++=great
deal ^nn++++=deal
can ^md+pos+++=can
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
in ^in++++=in
a ^at++++=a
big ^jj+atrb+++=big
American ^jj+atrb+++=American
city ^nn++++=city,"
, ^zz++++=EXTRAWORD
