Has ^vbz+hvz+aux++=Has
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
preached ^vbd+++xvbnx+=preached;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
dead ^jj+atrb+++=dead
person ^nn++++=person
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
seen ^vprf+++xvbnx+=seen.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
the ^ati++++=the
gray ^np++++=gray-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
men ^nns++++=men
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
him ^pp3o+pp3+++=him
used ^md"++pmd"++=used
to ^to++++=to
sit ^vb++++=sit
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
relating ^vbg+++xvbg+=relating
anecdotes ^nns++++=anecdotes
of ^in++++=of
him ^pp3o+pp3+++=him
as ^in+strn+++=as,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
many ^ap++++=many
commentaries ^nns++++=commentaries
he ^pp3a+pp3+++=he
published ^vbd+++xvbnx+=published,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
introduced ^vbd+++xvbnx+=introduced
the ^ati++++=the
first ^rb++++=first
German ^jj+atrb+++=German
lexicon ^nn+++??+=lexicon
into ^in++++=into
this ^dt+dem+++=this
country ^nn++++=country
( ^zz++++=(as
as ^cs+sub+++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
girl ^nn++++=girl
in ^in++++=in
short ^jj+atrb+++=short
dresses ^nns+nom+++=dresses
would ^md+prd+++=would
be ^vb+be+vrb++=be
absorbingly ^jj++++=absorbingly
interested ^jj++++=interested
in ^in++++=in
her ^pp$+pp3+++=her
grandfather ^nn+nom+++=grandfather's
's ^$++++=EXTRAWORD
dictionaries ^nns++++=dictionaries!)
! ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
silver ^nn++++=silver
mug ^nn++++=mug
and ^cc++++=and
the ^ati++++=the
coffin ^nn++++=coffin.
. ^zz++++=EXTRAWORD
Gradually ^rb++++=Gradually
the ^ati++++=the
German ^jj+atrb+++=German
lexicon ^nn+++??+=lexicon
in ^in++++=in
a ^at++++=a
hazy ^jj+atrb+++=hazy
condition ^nn+nom+++=condition
got ^vbd+++xvbn+=got
melted ^vbd+++xvbn+=melted
in ^in++++=in
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
the ^ati++++=the
baby ^nn++++=baby's
's ^$++++=EXTRAWORD
mug ^nn++++=mug
sat ^vbd+++xvbn+=sat
upon ^in++++=upon
the ^ati++++=the
dictionary ^nn+nom+++=dictionary.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
the ^ati++++=the
dictionary ^nn+nom+++=dictionary
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
coffin ^nn++++=coffin.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
the ^ati++++=the
baby ^nn++++=baby
spilled ^vbd+++xvbn+=spilled
the ^ati++++=the
milk ^nn++++=milk
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
mug ^nn++++=mug
upon ^in++++=upon
the ^ati++++=the
dictionary ^nn+nom+++=dictionary.
. ^zz++++=EXTRAWORD
But ^in++++=But
for ^in"++++=for
my ^pp$+pp1+++=my
personal ^jj+atrb+++=personal
uses ^nns++++=uses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Andover ^np+++??+=Andover
grandfather ^nn+nom+++=grandfather's
's ^$++++=EXTRAWORD
memoirs ^nns++++=memoirs
began ^vbd+++xvbn+=began
and ^cc+phrs+++=and
ended ^vbd+++xvbn+=ended
with ^in++++=with
the ^ati++++=the
mug ^nn++++=mug
and ^cc++++=and
the ^ati++++=the
coffin ^nn++++=coffin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
grandfather ^nn+nom+++=grandfather
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
distinguished ^jj+++xvbn+=distinguished
as ^ql++++=as
a ^at++++=a
scholar ^nn++++=scholar;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
but ^cc++++=but
an ^at++++=an
orthodox ^jj+atrb+++=orthodox
minister ^nn+nom+++=minister
of ^in++++=of
ability ^nn+nom+++=ability
and ^cc++++=and
originality ^nn+nom+++=originality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
vivacious ^jj+atrb+++=vivacious
personal ^jj+atrb+++=personal
history ^nn++++=history.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
something ^pn++++=something.
. ^zz++++=EXTRAWORD
From ^in++++=From
his ^pp$+pp3+++=his
own ^ap++++=own
lips ^nns++++=lips
came ^vbd+++xvbn+=came
thrilling ^jj+atrb+++=thrilling
stories ^nns++++=stories
of ^in++++=of
his ^pp$+pp3+++=his
connection ^nn+nom+++=connection
with ^in++++=with
the ^ati++++=the
underground ^jjb+atrb+++=underground
railway ^nn++++=railway
of ^in++++=of
slavery ^nn+nom+++=slavery
days ^nns++++=days;
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
the ^ati++++=the
sharpest ^jjt+atrb+++=sharpest
carving ^nn++++=carving-knife
- ^zz++++=EXTRAWORD
knife ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
concealed ^j+++xvbn+=concealed
in ^in++++=in
a ^at++++=a
basket ^nn++++=basket
of ^in++++=of
food ^nn++++=food,
, ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
hidden ^jj+atrb++xvbn+=hidden
fugitive ^jj+atrb+++=fugitive
slave ^nn++++=slave
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
vowed ^vprf+++xvbnx+=vowed
never ^rb++++=never
to ^to++++=to
be ^vbi+vbi+aux++=be
taken ^vpsv++agls+xvbnx+=taken
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whose ^whp+rel+obj++=whose
master ^nn++++=master
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
North ^nr+pl+++=North
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
fine ^jj+atrb+++=fine
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
throbbing ^vbg+++xvbg+=throbbing
humanity ^nn+nom+++=humanity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days
burst ^vbd+++xvbn+=burst
the ^ati++++=the
reformer ^nn+nom+++=reformer
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
evangelical ^jj+atrb+++=evangelical
husk ^nn++++=husk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
learned ^vbd+vprv+tht0+xvbnx+=learned
my ^pp$+pp1+++=my
lesson ^nn++++=lesson
from ^in++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
( ^zz++++=("Where
" ^zz++++=EXTRAWORD
where ^wrb+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
she ^pp3a+pp3+++=she
get ^vb++++=get
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
conservative ^jj+atrb+++=conservative
friends ^nns++++=friends
used ^vwbn+++xvbn+=used
to ^in++++=to
wail ^nn++++=wail,
, ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
tumbled ^vprf+++xvbnx+=tumbled
into ^in++++=into
the ^ati++++=the
last ^rb++++=last
new ^jj+atrb+++=new
and ^cc+phrs+++=and
unfashionable ^jj+atrb+++=unfashionable
reform ^nn++++=reform.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
From ^in++++=From
his ^pp$+pp3+++=his
own ^ap++++=own
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
accounts ^nns++++=accounts
of ^in++++=of
that ^dt+dem+++=that
extraordinary ^jj+atrb+++=extraordinary
case ^nn++++=case
of ^in++++=of
house ^nn++++=house-possession
- ^zz++++=EXTRAWORD
possession ^nn++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
( ^zz++++=(like
like ^in++++=EXTRAWORD
Wesley ^np++++=Wesley)
) ^zz++++=EXTRAWORD
this ^dt+dem+++=this
innocent ^jj+atrb+++=innocent
and ^cc+phrs+++=and
unimaginative ^jj+atrb+++=unimaginative
country ^nn++++=country
minister ^nn+nom+++=minister,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
no ^at++++=no
more ^rbr++++=more
faith ^nn++++=faith
in ^in++++=in
" ^zz++++="spooks"
spooks ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
than ^in++++=than
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
in ^in++++=in
Universalists ^nns+nom++??+=Universalists,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
the ^ati++++=the
astonished ^jj+atrb++xvbn+=astonished
victim ^nn++++=victim.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
upon ^in++++=upon
night ^nn++++=night
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
crept ^vprf+++xvbnx+=crept
gasping ^vbg+++xvbg+=gasping
to ^in++++=to
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shivered ^vpsv++agls+xvbn+=shivered
for ^in++++=for
hours ^nns++++=hours
with ^in++++=with
my ^pp$+pp1+++=my
head ^nn++++=head
under ^in++++=under
the ^ati++++=the
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
an ^at++++=an
evening ^nn++++=evening
spent ^vbd+++xvbn+=spent
in ^in++++=in
listening ^xvbg+++xvbg+=listening
to ^in++++=to
this ^dt+dem+++=this
authentic ^jj+atrb+++=authentic
and ^cc+phrs+++=and
fantastic ^jj+atrb+++=fantastic
family ^nn++++=family
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
the ^ati++++=the
candlesticks ^nns++++=candlesticks
walked ^vbd+++xvbn+=walked
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
air ^nn++++=air
from ^in++++=from
the ^ati++++=the
mantelpiece ^nn++++=mantelpiece,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
back ^jjb++++=back
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
the ^ati++++=the
chairs ^nns++++=chairs
of ^in++++=of
skeptical ^jj+atrb+++=skeptical
visitors ^nns++++=visitors
collected ^vwbn+++xvbn+=collected
from ^in++++=from
all ^abn++++=all
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
to ^in++++=to
study ^nn++++=study
what ^wdt+who+++=what
one ^cd1++++=one
had ^vb+hv+aux++=had
hardly ^rb+down+splt++=hardly
then ^rn+tm+++=then
begun ^vbd+++xvbn+=begun
to ^to++++=to
call ^vbi++++=call
the ^ati++++=the
" ^zz++++="phenomena"
phenomena ^nns++++=EXTRAWORD
" ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
parsonage ^nn+nom+++=parsonage
at ^in++++=at
Stratford ^np++++=Stratford,
, ^zz++++=EXTRAWORD
Connecticut ^np+++??+=Connecticut,
, ^zz++++=EXTRAWORD
hopped ^j+++xvbn+=hopped
after ^cs+sub+++=after
the ^ati++++=the
guests ^nns++++=guests
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
room ^nn++++=room;
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
the ^ati++++=the
dishes ^nns++++=dishes
at ^in++++=at
the ^ati++++=the
table ^nn++++=table
leaped ^vbd+++xvbn+=leaped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
silver ^nn++++=silver
forks ^vbz++++=forks
were ^vbd+bed+aux++=were
bent ^vpsv++by+xvbnx+=bent
by ^in++++=by
unseen ^jj+atrb+++=unseen
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cold ^jj+atrb+++=cold
turnips ^nns++++=turnips
dropped ^vbd+++xvbn+=dropped
from ^in++++=from
the ^ati++++=the
solid ^jj+atrb+++=solid
ceiling ^nn+nom+++=ceiling;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ghastly ^jj+atrb+++=ghastly
images ^nns++++=images
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found,
, ^zz++++=EXTRAWORD
composed ^xvbn+++xvbn+=composed
of ^in++++=of
underclothing ^nn++++=underclothing
proved ^vbd+vprv++xvbn+=proved
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbnx+=been
locked ^vpsv++agls+xvbnx+=locked
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
in ^in++++=in
drawers ^nns+nom+++=drawers
of ^in++++=of
which ^whp+rel+pied++=which
the ^ati++++=the
only ^rb+down+++=only
key ^jjb++++=key
lay ^jjb+++xvbn+=lay
all ^abn++++=all
the ^ati++++=the
while ^cs+sub+++=while
in ^in++++=in
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Phelps ^np++++=Phelps's
's ^$++++=EXTRAWORD
pocket ^nn++++=pocket;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
the ^ati++++=the
mysterious ^jj+atrb+++=mysterious
agencies ^nns++++=agencies,
, ^zz++++=EXTRAWORD
purporting ^vbg+++xvbg+=purporting
by ^in++++=by
alphabetical ^jj+atrb+++=alphabetical
raps ^nns+++??+=raps
upon ^in++++=upon
bed ^nn++++=bed-head
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
or ^cc++++=or
on ^in++++=on
table ^nn++++=table
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
torments ^nns+nom+++=torments
of ^in++++=of
the ^ati++++=the
nether ^np++++=nether
world ^nn++++=world,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
asked ^vbd+vsua++xvbn+=asked
what ^wdt+who+whcl++=what
their ^pp$+pp3+++=their
host ^nn++++=host
could ^md+pos+++=could
do ^vb+do+aux++=do
to ^to++++=to
relieve ^vbi++++=relieve
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
demanded ^j+++xvbn+=demanded
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
squash ^nn++++=squash
pie ^nn++++=pie.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
own ^ap++++=own
calm ^nn++++=calm
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
within ^in++++=within
a ^at++++=a
year ^nn++++=year
or ^cc++++=or
two ^cd++++=two
of ^in++++=of
his ^pp$+pp3+++=his
death ^nn++++=death,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
received ^vbd+++xvbnx+=received
the ^ati++++=the
legacy ^nn++++=legacy
of ^in++++=of
the ^ati++++=the
written ^jj+atrb++xvbn+=written
journal ^nn++++=journal
of ^in++++=of
these ^dt+dem+++=these
phenomena ^nns++++=phenomena,
, ^zz++++=EXTRAWORD
as ^in++++=as
recorded ^nn++++=recorded
by ^in++++=by
the ^ati++++=the
victim ^nn++++=victim
from ^in++++=from
day ^nn++++=day
to ^in++++=to
day ^nn++++=day,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
seven ^cd++++=seven
months ^nns++++=months
that ^tht+rel+obj++=that
this ^dt+dem+++=this
mysterious ^jj+atrb+++=mysterious
misfortune ^nn++++=misfortune
dwelt ^vbd+++xvbn+=dwelt
within ^in++++=within
his ^pp$+pp3+++=his
house ^nn++++=house.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
be ^vb+be+vrb++=be
prudent ^jj+pred+++=prudent
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
quite ^rb++++=quite
useless ^jj+pred+++=useless
to ^to+jcmp+++=to
make ^vbi++++=make
any ^dti++++=any
further ^jjb+atrb+++=further
inquiries ^nns++++=inquiries
of ^in++++=of
me ^pp1o+pp1+++=me
upon ^in++++=upon
the ^ati++++=the
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^to++++=to
ask ^vbi++++=ask
of ^in++++=of
me ^pp1o+pp1+++=me
a ^at++++=a
request ^nn++++=request
which ^wdt+who+whcl++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
repeated ^vpsv++agls+xvbnx+=repeated
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
fain ^nn+++??+=fain
to ^to++++=to
put ^vbi++++=put
an ^at++++=an
end ^nn++++=end
to ^in++++=to
it ^pp3+it+++=it
for ^in++++=for
either ^dtx++++=either
loan ^nn++++=loan
or ^cc++++=or
copy ^nn++++=copy
of ^in++++=of
these ^dt+dem+++=these
records ^nns++++=records
for ^in++++=for
the ^ati++++=the
benefit ^nn++++=benefit
of ^in++++=of
either ^dtx++++=either
personal ^jj+atrb+++=personal
or ^cc+phrs+++=or
scientific ^jj+atrb+++=scientific
curiosity ^nn+nom+++=curiosity.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
loaning ^jj+++xvbg+=loaning
and ^cc+phrs+++=and
copying ^jj+++xvbg+=copying
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
impossible ^jj+pred+++=impossible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
so ^pn++++=so
by ^in++++=by
family ^nn++++=family
wishes ^nns++++=wishes
which ^whp+rel+subj++=which
will ^md+prd+++=will
be ^vb+be+vrb++=be
sacredly ^jj++++=sacredly
respected ^jj+++xvbn+=respected.
. ^zz++++=EXTRAWORD
The ^ati++++=The
phenomena ^nns++++=phenomena
themselves ^ppls+pp3+++=themselves
have ^vb+hv+aux++=have
long ^rb++splt++=long
been ^vprf+ben+aux+xvbnx+=been
too ^ql++++=too
widely ^rb++++=widely
known ^vpsv++agls+xvbn+=known
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
ignored ^vpsv++agls+xvbnx+=ignored,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
hesitation ^nn+nom+++=hesitation
in ^in++++=in
making ^xvbg+++xvbg+=making
reference ^nn+nom+++=reference
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
[ ^zz++++=[pg
pg ^nn+++??+=EXTRAWORD
51 ^cd++++=51]
] ^zz++++=EXTRAWORD
Elizabeth ^np++++=ELIZABETH
Stuart ^np++++=STUART
Phelps ^np+++??+=PHELPS,
, ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=HER
Mother ^npt++++=MOTHER,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=AND
Her ^pp$+pp3+++=HER
Infant ^nn++++=INFANT
Brother ^nn++++=BROTHER.
. ^zz++++=EXTRAWORD
Afterwards ^rb+tm+++=AFTERWARDS
Professor ^npt++++=PROFESSOR
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Stuart ^np++++=STUART
Phelps ^np+++??+=PHELPS.
. ^zz++++=EXTRAWORD
Elizabeth ^np++++=ELIZABETH
Stuart ^np++++=STUART
Phelps ^np+++??+=PHELPS,
, ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=HER
Mother ^npt++++=MOTHER,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=AND
Her ^pp$+pp3+++=HER
Infant ^nn++++=INFANT
Brother ^nn++++=BROTHER.
. ^zz++++=EXTRAWORD
Afterwards ^rb+tm+++=AFTERWARDS
Professor ^npt++++=PROFESSOR
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Stuart ^np++++=STUART
Phelps ^np+++??+=PHELPS.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
partly ^rb+down+++=partly
on ^in++++=on
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
traditions ^nns+nom+++=traditions
respecting ^in++++=respecting
this ^dt+dem+++=this
bit ^nn++++=bit
of ^in++++=of
family ^nn++++=family
history ^nn++++=history
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
so ^ql++++=so
often ^rb++++=often
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
spiritualist ^nn+nom+++=spiritualist.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
sometimes ^rb++splt++=sometimes
tempted ^vpsv++agls+xvbnx+=tempted
to ^to+vcmp+++=to
reply ^vb++++=reply
in ^in++++=in
grammar ^nn++++=grammar
comprehensible ^jj++++=comprehensible
to ^in++++=to
the ^ati++++=the
writers ^nns+nom+++=writers
of ^in++++=of
certain ^jj+atrb+++=certain
letters ^nns+nom+++=letters
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
receive ^vb++++=receive
upon ^in++++=upon
the ^ati++++=the
subject ^nn++++=subject:
: ^zz++++=EXTRAWORD
" ^zz++++="No;
no ^at++++=EXTRAWORD
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
none ^rb++++=none
of ^in++++=of
our ^pp$+pp1+++=our
folks ^nns++++=folks!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
How ^wrb+who+++=How
the ^ati++++=the
Connecticut ^np+++??+=Connecticut
parson ^nn++++=parson
on ^rp++++=on
whom ^whp+wpor+++=whom
this ^dt+dem+++=this
mysterious ^jj+atrb+++=mysterious
infliction ^nn+nom+++=infliction
fell ^vbd+++xvbn+=fell
ever ^rb++++=ever
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
it ^pp3+it+++=it
not ^xnot++not++=not
a ^at++++=a
spiritualist ^nn+nom+++=spiritualist,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
can ^md+pos+++=can
tell ^vb++++=tell?
? ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
the ^ati++++=the
phenomena ^nns++++=phenomena
were ^vbd+bed+vrb++=were
facts ^nns++++=facts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
facts ^nns++++=facts
explicable ^jj++++=explicable
by ^in++++=by
no ^at++++=no
known ^vbd+vprv++xvbn+=known
natural ^jj+atrb+++=natural
law ^nn++++=law,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced,
, ^zz++++=EXTRAWORD
like ^in++++=like
others ^aps++++=others
in ^in++++=in
similar ^jj+atrb+++=similar
positions ^nns+nom+++=positions,
, ^zz++++=EXTRAWORD
to ^to++++=to
believe ^vbi+vprv+++=believe
and ^cc+phrs+++=and
admit ^vb+vpub+++=admit.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
he ^pp3a+pp3+++=he
should ^md+nec+++=should
study ^vb++++=study
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
spiritualism ^nn+nom+++=spiritualism
carefully ^rb++++=carefully
from ^in++++=from
then ^rn+tm+++=then
until ^in++++=until
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
inevitable ^jj+pred+++=inevitable.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
as ^ql++++=as
nearly ^rb+down+++=nearly
as ^ql++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can
make ^vb++++=make
it ^pp3+it+++=it
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
whole ^nn++++=whole,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked
his ^pp$+pp3+++=his
Bible ^np++++=Bible
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
like ^in++++=like
these ^dt+pdem+++=these
did ^vbd+dod+aux++=did
not ^xnot++not++=not
happen ^vb+++??+=happen
on ^in++++=on
Andover ^np+++??+=Andover
Hill ^nn++++=Hill;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
talks ^nns++++=talks
with ^in++++=with
this ^dt+dem+++=this
very ^ql+amp+++=very
interesting ^jj+atrb+++=interesting
grandfather ^nn+nom+++=grandfather
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
my ^pp$+pp1+++=my
first ^rb++++=first
vivid ^jj+atrb+++=vivid
sensation ^nn+nom+++=sensation
of ^in++++=of
the ^ati++++=the
possibilities ^nns+nom+++=possibilities
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
With ^in++++=With
what ^wdt+who+++=what
thrills ^nns++++=thrills
of ^in++++=of
hope ^nn++++=hope
and ^cc++++=and
fear ^nn++++=fear
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened
for ^in++++=for
thumps ^nns+++??+=thumps
on ^in++++=on
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
my ^pp$+pp1+++=my
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
watched ^vbd+++xvbn+=watched
anxiously ^rb++++=anxiously
to ^to++++=to
see ^vbi+vprv+tht0++=see
my ^pp$+pp1+++=my
candlestick ^nn+++??+=candlestick
walk ^nn++++=walk
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
air ^nn++++=air!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
not ^xnot++not++=not
a ^at++++=a
thump ^nn++++=thump!
! ^zz++++=EXTRAWORD
