Something ^pn++++=SOMETHING
mists ^nns++++=mists
began ^vbd+++xvbn+=began
to ^to++++=to
blow ^vbi++++=blow
about ^in++++=about
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
ridge ^nn++++=ridge
she ^pp3a+pp3+++=she
halted ^vbd+++xvbnx+=halted,
, ^zz++++=EXTRAWORD
breathing ^nvbg+++xvbg+=breathing
deeply ^rb+cnj+++=deeply,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
back ^jjb++++=back
the ^ati++++=the
way ^nn++++=way
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
drops ^nns++++=drops
of ^in++++=of
rain ^nn++++=rain
stirred ^vbd+++xvbn+=stirred
the ^ati++++=the
leaves ^nns++++=leaves
around ^rp++++=around
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
the ^ati++++=the
wind ^nn++++=wind
moved ^vbd+++xvbn+=moved
through ^in++++=through
the ^ati++++=the
great ^jj+atrb+++=great
dead ^jj+atrb+++=dead
trees ^nns++++=trees
along ^in++++=along
the ^ati++++=the
ridge ^nn++++=ridge.
. ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
turned ^vbd+++xvbn+=turned
and ^cc+phrs+++=and
started ^vbd+++xvbn+=started
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
head ^jjb++++=head
down ^rp++++=down,
, ^zz++++=EXTRAWORD
hands ^nns++++=hands
in ^in++++=in
her ^pp$+pp3+++=her
coat ^nn++++=coat
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
on ^in++++=on
a ^at++++=a
rocky ^jj+atrb+++=rocky
field ^nn++++=field,
, ^zz++++=EXTRAWORD
overgrown ^j+++xvbn+=overgrown
with ^in++++=with
weeds ^nns++++=weeds
and ^cc++++=and
dead ^jj+atrb+++=dead
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
time ^nn++++=time
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
to ^in++++=to
a ^at++++=a
ruined ^jj+atrb++xvbn+=ruined
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
broken ^j+++xvbn+=broken
and ^cc+phrs+++=and
rotting ^jj++++=rotting.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stepped ^vbd+++xvbnx+=stepped
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
passed ^vbd+++xvbnx+=passed
a ^at++++=a
tumbled ^jj+++xvbn+=tumbled-down
- ^zz++++=EXTRAWORD
down ^rp++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
half ^abn++++=half
filled ^jj+++xvbn+=filled
with ^in++++=with
stones ^nns++++=stones
and ^cc++++=and
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
heart ^nn++++=heart
beat ^vbd+++xvbn+=beat
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
fluttering ^vbg+++xvbg+=fluttering
with ^in++++=with
nervous ^jj+atrb+++=nervous
excitement ^nn+nom+++=excitement.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
remains ^nns++++=remains
of ^in++++=of
a ^at++++=a
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
sagging ^jj+atrb+++=sagging
timbers ^nns+nom+++=timbers
and ^cc++++=and
broken ^jj+atrb++xvbn+=broken
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
ruined ^jj+atrb++xvbn+=ruined
pieces ^nns++++=pieces
of ^in++++=of
furniture ^nn++++=furniture
strewn ^vbd+++xvbn+=strewn
nearby ^jjb++++=nearby.
. ^zz++++=EXTRAWORD
An ^at++++=An
old ^jj+atrb+++=old
automobile ^nn+++??+=automobile
tire ^vb++++=tire
caked ^jj+++xvbn+=caked
and ^cc+phrs+++=and
cracked ^jj+++xvbn+=cracked.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
damp ^jj+atrb+++=damp
rags ^nns++++=rags
heaped ^vbd+++xvbn+=heaped
over ^in++++=over
rusty ^np++++=rusty,
, ^zz++++=EXTRAWORD
bent ^jj+atrb++xvbn+=bent
bed ^nn++++=bed-springs.
- ^zz++++=EXTRAWORD
springs ^vbz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
directly ^rb++++=directly
ahead ^rb+pl+++=ahead.
. ^zz++++=EXTRAWORD
Along ^in++++=Along
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
field ^nn++++=field
was ^vbd+bedz+vrb++=was
a ^at++++=a
grove ^np++++=grove
of ^in++++=of
ancient ^jj+atrb+++=ancient
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Lifeless ^jj+atrb+++=Lifeless
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
withered ^j+++xvbn+=withered
and ^cc+phrs+++=and
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
thin ^jj+atrb+++=thin,
, ^zz++++=EXTRAWORD
blackened ^jj+atrb+++=blackened
stalks ^nns+++??+=stalks
rising ^vwbg+++xvbg+=rising
up ^rp++++=up
leaflessly ^rb++++=leaflessly.
. ^zz++++=EXTRAWORD
Broken ^jj+atrb++xvbn+=Broken
sticks ^nns++++=sticks
stuck ^vbd+++xvbn+=stuck
in ^in++++=in
the ^ati++++=the
hard ^jj+atrb+++=hard
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Row ^nn++++=Row
after ^in++++=after
row ^nn++++=row
of ^in++++=of
dead ^jj+atrb+++=dead
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
some ^dti++++=some
bent ^nn+++xvbn+=bent
and ^cc++++=and
leaning ^jj+++xvbg+=leaning,
, ^zz++++=EXTRAWORD
torn ^j+++xvbn+=torn
loose ^jj++++=loose
from ^in++++=from
the ^ati++++=the
rocky ^jj+atrb+++=rocky
soil ^nn++++=soil
by ^in++++=by
the ^ati++++=the
unending ^jj+atrb+++=unending
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
field ^nn++++=field
to ^in++++=to
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
lungs ^nns++++=lungs
laboring ^vwbg+++xvbg+=laboring
painfully ^rb++++=painfully.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
surged ^vbd+++xvbn+=surged
against ^in++++=against
her ^pp$+pp3+++=her
without ^in++++=without
respite ^nn++++=respite,
, ^zz++++=EXTRAWORD
whipping ^jj+++xvbg+=whipping
the ^ati++++=the
foul ^jj++++=foul-smelling
- ^zz++++=EXTRAWORD
smelling ^vbg+nom++xvbg+=EXTRAWORD
mists ^nns++++=mists
into ^in++++=into
her ^pp$+pp3+++=her
nostrils ^nns++++=nostrils
and ^cc++++=and
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
smooth ^jj+atrb+++=smooth
skin ^nn++++=skin
was ^vbd+bedz+vrb++=was
damp ^nn++++=damp
and ^cc++++=and
shiny ^jj++++=shiny
with ^in++++=with
the ^ati++++=the
mist ^nn++++=mist.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
coughed ^vbd+++xvbnx+=coughed
and ^cc+phrs+++=and
hurried ^vbd+++xvbn+=hurried
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
stepping ^vbg+++xvbg+=stepping
over ^in++++=over
the ^ati++++=the
rocks ^nns++++=rocks
and ^cc++++=and
clods ^nns++++=clods
of ^in++++=of
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling
with ^in++++=with
fear ^nn++++=fear
and ^cc++++=and
anticipation ^nn+nom+++=anticipation.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
circled ^vbd+++xvbnx+=circled
around ^in++++=around
the ^ati++++=the
grove ^np++++=grove
of ^in++++=of
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
to ^in++++=to
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
ridge ^nn++++=ridge.
. ^zz++++=EXTRAWORD
Carefully ^rb+cnj+++=Carefully,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
stepped ^vbd+++xvbnx+=stepped
among ^in++++=among
the ^ati++++=the
sliding ^jj+atrb++xvbg+=sliding
heaps ^nns++++=heaps
of ^in++++=of
rocks ^nns++++=rocks.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped,
, ^zz++++=EXTRAWORD
rigid ^jj++++=rigid.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
chest ^nn++++=chest
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
fell ^vbd+++xvbn+=fell
with ^in++++=with
the ^ati++++=the
effort ^nn++++=effort
of ^in++++=of
breathing ^xvbg+++xvbg+=breathing.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
gasped ^vbd+++xvbnx+=gasped.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
she ^pp3a+pp3+++=she
gazed ^vbd+++xvbnx+=gazed
at ^rb++++=at
the ^ati++++=the
withered ^jj+atrb++xvbn+=withered
old ^jj+atrb+++=old
apple ^nn++++=apple
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
not ^xnot++not++=not
take ^vb++++=take
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
from ^in++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
tree ^nn++++=tree
fascinated ^vwbn+++xvbn+=fascinated
and ^cc+phrs+++=and
repelled ^vwbn+++xvbn+=repelled
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^rb+down+++=only
tree ^nn++++=tree
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
grove ^np++++=grove
still ^rb+atrb+++=still
living ^jj+++xvbg+=living.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
others ^aps++++=others
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
dried ^j+++xvbn+=dried-up.
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
the ^ati++++=the
struggle ^nn++++=struggle.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
tree ^nn++++=tree
still ^rb++++=still
clung ^vbd+++xvbn+=clung
to ^in++++=to
life ^nn++++=life.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
was ^vbd+bedz+vrb++=was
hard ^jj+pred+++=hard
and ^cc+phrs+++=and
barren ^jj++++=barren.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
a ^ap++++=a
few ^ap"++++=few
dark ^jj+atrb+++=dark
leaves ^nns++++=leaves
hung ^vbd+++xvbn+=hung
from ^in++++=from
it ^pp3+it+++=it
and ^cc++++=and
some ^dti++++=some
withered ^jj+atrb++xvbn+=withered
apples ^nns++++=apples,
, ^zz++++=EXTRAWORD
dried ^j+++xvbn+=dried
and ^cc+phrs+++=and
seasoned ^jj++++=seasoned
by ^in++++=by
wind ^nn++++=wind
and ^cc++++=and
mists ^nns++++=mists.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
stayed ^vprf+++xvbnx+=stayed
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
forgotten ^vpbn+vprv++xvbn+=forgotten
and ^cc+phrs+++=and
abandoned ^xvbn+++xvbn+=abandoned.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ground ^nn++++=ground
around ^in++++=around
the ^ati++++=the
tree ^nn++++=tree
was ^vbd+bedz+aux++=was
cracked ^vpsv++agls+xvbnx+=cracked
and ^cc++++=and
bleak ^nn++++=bleak.
. ^zz++++=EXTRAWORD
Stones ^nns++++=Stones
and ^cc++++=and
decayed ^jj+atrb++xvbn+=decayed
heaps ^nns++++=heaps
of ^in++++=of
old ^jj+atrb+++=old
leaves ^nns++++=leaves
in ^in++++=in
ragged ^jj+atrb+++=ragged
clumps ^nns++++=clumps.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
said ^vbd+vpub++xvbn+=said
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
the ^ati++++=the
leaf ^nn++++=leaf
from ^in++++=from
her ^pp$+pp3+++=her
pocket ^nn++++=pocket
and ^cc++++=and
held ^vbd+vprv+tht0+xvbn+=held
it ^pp3+it+++=it
cautiously ^rb++++=cautiously
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
tapped ^jj+++xvbn+=tapped
at ^in++++=at
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
when ^wrb+who+whcl++=when
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
smiled ^vbd+++xvbnx+=smiled
mischievously ^rb+cnj+++=mischievously,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
red ^jj+atrb+++=red
lips ^nns++++=lips
curling ^vwbg+++xvbg+=curling.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
tapped ^vbd+++xvbn+=tapped
and ^cc+phrs+++=and
tapped ^vbd+++xvbn+=tapped,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
get ^vbi++++=get
in ^rb+phrv+++=in.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ignored ^vbd+++xvbnx+=ignored
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
so ^ql++++=so
so ^rb+emph+++=so
impetuous ^jj++++=impetuous.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
annoyed ^jj++++=annoyed
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
swayed ^vwbn+++xvbn+=swayed
ominously ^rb++++=ominously.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
gnarled ^jj+atrb+++=gnarled
branches ^nns++++=branches
rubbed ^vbd+++xvbn+=rubbed
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
in ^in++++=in
the ^ati++++=the
sound ^nn++++=sound
made ^vbd+++xvbn+=made
Lori ^np+++??+=Lori
pull ^vb++++=pull
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Terror ^nn++++=Terror
rushed ^vbd+++xvbn+=rushed
through ^rb+phrv+++=through
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hurried ^vbd+++xvbnx+=hurried
back ^jjb++++=back
along ^in++++=along
the ^ati++++=the
ridge ^nn++++=ridge,
, ^zz++++=EXTRAWORD
scrambling ^nn+nom+++=scrambling
frantically ^rb++++=frantically
out ^rp+pl+++=out
of ^in++++=of
reach ^nn++++=reach.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't,"
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="Please."
please ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
ceased ^vbd+++xvbn+=ceased.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
became ^vbd+++xvbn+=became
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
Lori ^np+++??+=Lori
watched ^vbd+++xvbn+=watched
it ^pp3+it+++=it
apprehensively ^rb++++=apprehensively.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
was ^vbd+bedz+aux++=was
darkening ^vbg+++xvbgx+=darkening
rapidly ^rb++++=rapidly.
. ^zz++++=EXTRAWORD
A ^at++++=A
burst ^nn+++xvbn+=burst
of ^in++++=of
frigid ^jj+atrb+++=frigid
wind ^nn++++=wind
struck ^vbd+++xvbn+=struck
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
half ^abn++++=half
turning ^jj+++xvbg+=turning
her ^pp$+pp3+++=her
around ^in+strn+++=around.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shuddered ^vbd+++xvbnx+=shuddered,
, ^zz++++=EXTRAWORD
bracing ^jj+++xvbg+=bracing
herself ^ppl+pp3+++=herself
against ^in++++=against
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
pulling ^jj+++xvbg+=pulling
her ^pp3o+pp3+++=her
long ^rb++++=long
coat ^nn++++=coat
around ^in++++=around
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
the ^ati++++=the
floor ^nn++++=floor
of ^in++++=of
the ^ati++++=the
valley ^nn++++=valley
was ^vbd+bedz+aux++=was
disappearing ^vbg+seem++xvbgx+=disappearing
into ^in++++=into
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
vast ^jj+atrb+++=vast
cloud ^nn++++=cloud
of ^in++++=of
night ^nn++++=night.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
darkening ^jj+atrb++xvbg+=darkening
mists ^nns++++=mists
the ^ati++++=the
tree ^nn++++=tree
was ^vbd+bedz+vrb++=was
stern ^jj+pred+++=stern
and ^cc+phrs+++=and
menacing ^jj++++=menacing,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
ominous ^jj++++=ominous
than ^in++++=than
usual ^nn++++=usual.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
leaves ^nns++++=leaves
blew ^vbd+++xvbn+=blew
from ^in++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
drifting ^jj+++xvbg+=drifting
and ^cc+phrs+++=and
swirling ^jj++++=swirling
with ^in++++=with
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
A ^at++++=A
leaf ^nn++++=leaf
blew ^vbd+++xvbn+=blew
past ^nn++++=past
her ^pp3o+pp3+++=her
and ^cc++++=and
she ^pp3a+pp3+++=she
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
catch ^vbi++++=catch
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
leaf ^nn++++=leaf
escaped ^vbd+++xvbn+=escaped,
, ^zz++++=EXTRAWORD
dancing ^nvbg+++xvbg+=dancing
back ^jjb++++=back
toward ^in++++=toward
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
followed ^vbd+vprv++xvbn+=followed
a ^rb++++=a
little ^rb"++++=little
way ^nn++++=way
and ^cc++++=and
then ^rn+tm+++=then
stopped ^vbd+++xvbn+=stopped,
, ^zz++++=EXTRAWORD
gasping ^vbg+++xvbg+=gasping
and ^cc+phrs+++=and
laughing ^vbg+++xvbg+=laughing.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
firmly ^rb+cnj+++=firmly,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hands ^nns++++=hands
on ^rp++++=on
her ^pp3o+pp3+++=her
hips ^nns++++=hips.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wo ^&fw++++=won't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
the ^ati++++=the
heaps ^nns++++=heaps
of ^in++++=of
decayed ^vbd+++xvbn+=decayed
leaves ^nns++++=leaves
blew ^vbd+++xvbn+=blew
up ^rp++++=up
in ^in++++=in
a ^at++++=a
furious ^jj+atrb+++=furious
circle ^nn++++=circle
around ^in++++=around
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
quieted ^vbd+++xvbnx+=quieted
down ^rp++++=down,
, ^zz++++=EXTRAWORD
settling ^vbg+nom++xvbg+=settling
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
afraid ^jj++++=afraid
of ^in++++=of
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
hurt ^xvbn+++xvbn+=hurt
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
her ^pp$+pp3+++=her
heart ^nn++++=heart
was ^vbd+bedz+aux++=was
hammering ^vbg+++xvbgx+=hammering
with ^in++++=with
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
moved ^vbd+++xvbnx+=moved
back ^rp++++=back
farther ^rbr++++=farther
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
remained ^vbd+++xvbn+=remained
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
wiry ^jj+atrb+++=wiry
branches ^nns++++=branches
were ^vbd+bed+vrb++=were
motionless ^jj+pred+++=motionless.
. ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
regained ^vbd+++xvbn+=regained
her ^pp$+pp3+++=her
courage ^nn+nom+++=courage.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time
I ^pp1a+pp1+++=I
can ^md+pos+++=can
come ^vb++++=come,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Steve
steve ^np++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
any ^dti++++=any
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
waited ^vbd+++xvbnx+=waited,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
tree ^nn++++=tree
did ^vbd+dod+aux++=did
not ^xnot++not++=not
respond ^vb++++=respond.
. ^zz++++=EXTRAWORD
" ^zz++++="They're
they ^pp3a+pp3+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
sitting ^vbg+++xvbgx+=sitting
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Smoking ^vbg+++xvbg+=Smoking
cigars ^nns++++=cigars
and ^cc++++=and
drinking ^nvbg+++xvbg+=drinking
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
Adding ^vbg+vpub++xvbg+=Adding
up ^rp++++=up
feed ^nn++++=feed
bills ^nns++++=bills."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wrinkled ^vwbn+++xvbn+=wrinkled
her ^pp$+pp3+++=her
nose ^nn++++=nose."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all
they ^pp3a+pp3+++=they
ever ^rb++++=ever
do ^vb+do+aux++=do.
. ^zz++++=EXTRAWORD
Add ^vb+vpub+++=Add
and ^cc+phrs+++=and
subtract ^vb++++=subtract
feed ^nn++++=feed
bills ^nns++++=bills.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
and ^cc++++=and
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
Profit ^nn++++=Profit
and ^cc++++=and
loss ^nn++++=loss.
. ^zz++++=EXTRAWORD
Government ^nn+nom+++=Government
taxes ^nns++++=taxes.
. ^zz++++=EXTRAWORD
Depreciation ^nn+nom+++=Depreciation
on ^in++++=on
