Whenever ^nn+nom+++=Whenever
are ^vb+ber+aux++=are
arranged ^vpsv++agls+xvbnx+=arranged
simply ^rb++++=simply
in ^in++++=in
districts ^nns++++=districts
and ^cc++++=and
numbers ^nns+nom+++=numbers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
disappears ^vbz+seem+++=disappears
from ^in++++=from
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
the ^ati++++=the
sliding ^nn++++=sliding
of ^in++++=of
a ^at++++=a
tin ^nn++++=tin
box ^nn++++=box,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lid ^nn++++=lid
snaps ^vbz++++=snaps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
file ^nn++++=file
is ^vbz+bez+vrb++=is
in ^in++++=in
your ^pp$+pp2+++=your
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
up ^rp++++=up
there ^rn+pl+++=there
some ^dti++++=some
day ^nn++++=day
and ^cc++++=and
call ^nn++++=call
for ^in++++=for
Bexar ^np+++??+=Bexar
Scrip ^nn++++=Scrip
No ^rb++++=No.
. ^zz++++=EXTRAWORD
2692 ^cd++++=2692.
. ^zz++++=EXTRAWORD
The ^ati++++=The
file ^nn++++=file
clerk ^nn++++=clerk
stares ^nns+++??+=stares
at ^rb++++=at
you ^pp2+pp2+++=you
for ^in++++=for
a ^at++++=a
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
shortly ^rb+tm+++=shortly:
: ^zz++++=EXTRAWORD
" ^zz++++="Out
out ^rp+pl+++=EXTRAWORD
of ^in++++=of
file ^nn++++=file."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
missing ^vbg+++xvbgx+=missing
twenty ^cd++++=twenty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
history ^nn++++=history
of ^in++++=of
that ^dt+dem+++=that
file ^nn++++=file
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
written ^vpsv++agls+xvbnx+=written
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty
years ^nns++++=years
ago ^rb++++=ago
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
shrewd ^jj+atrb+++=shrewd
land ^nn++++=land
agent ^nn++++=agent
living ^vwbg+++xvbg+=living
in ^in++++=in
Austin ^np++++=Austin
who ^whp+rel+subj++=who
devoted ^vbd+++xvbn+=devoted
his ^pp$+pp3+++=his
undoubted ^jj+atrb+++=undoubted
talents ^nns++++=talents
and ^cc++++=and
vast ^jj+atrb+++=vast
knowledge ^nn++++=knowledge
of ^in++++=of
land ^nn++++=land
titles ^nns++++=titles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
laws ^nns++++=laws
governing ^vwbg+++xvbg+=governing
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
locating ^jj+++xvbg+=locating
of ^in++++=of
surveys ^nns++++=surveys
made ^vwbn+++xvbn+=made
by ^in++++=by
illegal ^jj+atrb+++=illegal
certificates ^nns+nom+++=certificates,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
improperly ^jj++++=improperly
made ^vwbn+++xvbn+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
otherwise ^rb+cnj+++=otherwise
of ^in++++=of
no ^at++++=no
value ^nn++++=value
through ^in++++=through
non ^&fw++++=non-compliance
- ^zz++++=EXTRAWORD
compliance ^nn+nom+++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
statutes ^nns++++=statutes,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whatever ^nn+nom+++=whatever
flaws ^nns++++=flaws
his ^pp$+pp3+++=his
ingenious ^jj+atrb+++=ingenious
and ^cc+phrs+++=and
unscrupulous ^jj+atrb+++=unscrupulous
mind ^nn++++=mind
could ^md+pos+++=could
unearth ^vb+++??+=unearth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
fatal ^jj+atrb+++=fatal
defect ^nn++++=defect
in ^in++++=in
the ^ati++++=the
title ^nn++++=title
of ^in++++=of
the ^ati++++=the
land ^nn++++=land
as ^ql++++=as
on ^in++++=on
file ^nn++++=file
in ^in++++=in
Bexar ^np+++??+=Bexar
Scrip ^nn++++=Scrip
No ^rb++++=No.
. ^zz++++=EXTRAWORD
2692 ^cd++++=2692
and ^cc++++=and
placed ^vbd+++xvbn+=placed
a ^at++++=a
new ^jj+atrb+++=new
certificate ^nn+nom+++=certificate
upon ^in++++=upon
the ^ati++++=the
survey ^nn++++=survey
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
name ^nn++++=name.
. ^zz++++=EXTRAWORD
The ^ati++++=The
law ^nn++++=law
was ^vbd+bedz+vrb++=was
on ^in++++=on
his ^pp$+pp3+++=his
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
sentiment ^nn+nom+++=sentiment
of ^in++++=of
justice ^nn++++=justice,
, ^zz++++=EXTRAWORD
of ^in++++=of
right ^nn++++=right,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
humanity ^nn+nom+++=humanity
was ^vbd+bedz+vrb++=was
against ^in++++=against
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
certificate ^nn+nom+++=certificate
by ^in++++=by
virtue ^in"++++=virtue
of ^in"++++=of
which ^whp+who+++=which
the ^ati++++=the
original ^nn+nom+++=original
survey ^vb++++=survey
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
was ^vbd+bedz+aux++=was
missing ^vbg+++xvbgx+=missing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
the ^ati++++=the
file ^nn++++=file,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
memorandum ^nn++++=memorandum
or ^cc++++=or
date ^nn++++=date
on ^in++++=on
the ^ati++++=the
wrapper ^nn++++=wrapper
to ^to++++=to
show ^vbi+vprv+++=show
that ^tht+vcmp+++=that
it ^pp3+it+++=it
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
been ^vprf+ben+aux+xvbnx+=been
filed ^vpsv++agls+xvbnx+=filed.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
law ^nn++++=law
the ^ati++++=the
land ^nn++++=land
was ^vbd+bedz+vrb++=was
vacant ^jj+pred+++=vacant,
, ^zz++++=EXTRAWORD
unappropriated ^jj+atrb++xvbn+=unappropriated
public ^jj+atrb+++=public
domain ^nn++++=domain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
open ^nn++++=open
to ^in++++=to
location ^nn+nom+++=location.
. ^zz++++=EXTRAWORD
The ^ati++++=The
land ^nn++++=land
was ^vbd+bedz+aux++=was
occupied ^vpsv++by+xvbnx+=occupied
by ^in++++=by
a ^at++++=a
widow ^nn++++=widow
and ^cc++++=and
her ^pp$+pp3+++=her
only ^rb+down+++=only
son ^nn++++=son,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
supposed ^vbd+++xvbnx+=supposed
her ^pp3o+pp3+++=her
title ^nn++++=title
good ^jj++++=good.
. ^zz++++=EXTRAWORD
The ^ati++++=The
railroad ^nn++++=railroad
had ^vbd+hvd+aux++=had
surveyed ^vprf+++xvbnx+=surveyed
a ^at++++=a
new ^jj+atrb+++=new
line ^nn++++=line
through ^in++++=through
the ^ati++++=the
property ^nn++++=property,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
doubled ^vprf+++xvbnx+=doubled
in ^in++++=in
value ^nn++++=value.
. ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp,
, ^zz++++=EXTRAWORD
the ^ati++++=the
land ^nn++++=land
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
communicate ^nn+nom+++=communicate
with ^in++++=with
her ^pp$+pp3+++=her
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
filed ^vprf+++xvbnx+=filed
his ^pp$+pp3+++=his
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
rushed ^j+++xvbn+=rushed
his ^pp$+pp3+++=his
claim ^nn++++=claim
through ^in++++=through
the ^ati++++=the
departments ^nns+nom+++=departments
and ^cc++++=and
into ^in++++=into
the ^ati++++=the
patent ^nn++++=patent
room ^nn++++=room
for ^in++++=for
patenting ^xvbg+++xvbg+=patenting.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote
her ^pp3o+pp3+++=her
a ^at++++=a
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
offering ^nvbg+++xvbg+=offering
her ^pp3o+pp3+++=her
the ^ati++++=the
choice ^nn++++=choice
of ^in++++=of
buying ^xvbg+++xvbg+=buying
from ^in++++=from
him ^pp3o+pp3+++=him
or ^cc++++=or
vacating ^nn++++=vacating
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
received ^vbd+++xvbnx+=received
no ^at++++=no
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
through ^in++++=through
some ^dti++++=some
files ^nns++++=files
and ^cc++++=and
came ^vpsv++agls+xvbn+=came
across ^in+ppvb+++=across
the ^ati++++=the
missing ^jj+atrb++xvbg+=missing
certificate ^nn+nom+++=certificate.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
one ^pn++++=one,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably
an ^at++++=an
employee ^nn+nom+++=employee
of ^in++++=of
the ^ati++++=the
office ^nn++++=office,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
by ^in++++=by
mistake ^nn++++=mistake,
, ^zz++++=EXTRAWORD
after ^in++++=after
making ^xvbg+++xvbg+=making
some ^dti++++=some
examination ^nn+nom+++=examination,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
wrong ^jj+atrb+++=wrong
file ^nn++++=file,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
curiously ^rb++++=curiously
enough ^qlp++++=enough
another ^dt++++=another
inadvertence ^nn+nom+++=inadvertence,
, ^zz++++=EXTRAWORD
in ^in++++=in
there ^ex+pex+++=there
being ^vbg+beg++xvbg+=being
no ^at++++=no
record ^nn++++=record
of ^in++++=of
its ^pp$+it+++=its
filing ^jj++++=filing
on ^in++++=on
the ^ati++++=the
wrapper ^nn++++=wrapper,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
completed ^vprf+++xvbnx+=completed
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
its ^pp$+it+++=its
having ^vbg+hvg++xvbg+=having
never ^rb++++=never
been ^vprf+ben+aux+xvbn+=been
filed ^vpsv++agls+xvbnx+=filed.
. ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp
called ^jj+++xvbn+=called
for ^in++++=for
the ^ati++++=the
file ^nn++++=file
in ^in++++=in
which ^whp+rel+pied++=which
it ^pp3+it+++=it
belonged ^vbd+++xvbn+=belonged
and ^cc+phrs+++=and
scrutinized ^vbd+++xvbn+=scrutinized
it ^pp3+it+++=it
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
fearing ^vbg+vprv+tht0+xvbg+=fearing
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
overlooked ^vprf+++xvbnx+=overlooked
some ^dti++++=some
endorsement ^nn+nom+++=endorsement
regarding ^in++++=regarding
its ^pp$+it+++=its
return ^nn++++=return
to ^in++++=to
the ^ati++++=the
office ^nn++++=office.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
certificate ^nn+nom+++=certificate
was ^vbd+bedz+aux++=was
plainly ^rb++splt++=plainly
endorsed ^vpsv++agls+xvbnx+=endorsed
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
filing ^jj++++=filing,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
law ^nn++++=law,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
signed ^vpsv++by+xvbn+=signed
by ^in++++=by
the ^ati++++=the
chief ^jjb+atrb+++=chief
clerk ^nn++++=clerk.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
this ^dt+dem+++=this
certificate ^nn+nom+++=certificate
should ^md+nec+++=should
be ^vb+be+aux++=be
seen ^vpsv++by+xvbnx+=seen
by ^in++++=by
the ^ati++++=the
examining ^jj+atrb++xvbg+=examining
clerk ^nn++++=clerk,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
own ^ap++++=own
claim ^nn++++=claim,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
up ^rp++++=up
for ^in++++=for
patenting ^xvbg+++xvbg+=patenting,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
worth ^in++++=worth
the ^ati++++=the
paper ^nn++++=paper
on ^in++++=on
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
written ^vpsv++agls+xvbnx+=written.
. ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp
glanced ^jj+++xvbn+=glanced
furtively ^jj++++=furtively
around ^rp++++=around.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb++++=rather
a ^at++++=a
boy ^nn++++=boy
about ^in++++=about
eighteen ^cd++++=eighteen
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
a ^ap++++=a
few ^ap"++++=few
feet ^nns++++=feet
away ^rp+pl+++=away
regarding ^in++++=regarding
him ^pp3o+pp3+++=him
closely ^rb++++=closely
with ^in++++=with
keen ^jj+atrb+++=keen
black ^jj+atrb+++=black
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
confused ^jj+++xvbn+=confused,
, ^zz++++=EXTRAWORD
thrust ^j+++xvbn+=thrust
the ^ati++++=the
certificate ^nn+nom+++=certificate
into ^in++++=into
the ^ati++++=the
file ^nn++++=file
where ^wrb+who+++=where
it ^pp3+it+++=it
properly ^rb++++=properly
belonged ^vbd+++xvbn+=belonged
and ^cc+phrs+++=and
began ^vbd+++xvbn+=began
gathering ^nvbg+++xvbg+=gathering
up ^rp++++=up
the ^ati++++=the
other ^ap++++=other
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
came ^vbd+++xvbn+=came
up ^rp++++=up
and ^cc++++=and
leaned ^vpsv++agls+xvbn+=leaned
on ^in++++=on
the ^ati++++=the
desk ^nn++++=desk
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
right ^jj+atrb+++=right
interesting ^jj+atrb+++=interesting
office ^nn++++=office,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
here ^rn+pl+++=here
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
All ^abn++++=All
those ^dt+dem+++=those
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
about ^in++++=about
lands ^nns++++=lands,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
they ^pp3a+pp3+++=they
not ^xnot++not++=not?
? ^zz++++=EXTRAWORD
The ^ati++++=The
titles ^nns++++=titles
and ^cc++++=and
deeds ^nns++++=deeds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
such ^abl++++=such
things ^nns++++=things?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sharp ^jj++++=Sharp.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+aux++=are
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
contain ^vb++++=contain
all ^abn++++=all
the ^ati++++=the
title ^nn++++=title
papers ^nns++++=papers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
one ^pn++++=one,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
up ^rb+phrv+++=up
Bexar ^np+++??+=Bexar
Scrip ^nn++++=Scrip
No ^rb++++=No.
. ^zz++++=EXTRAWORD
2692 ^cd++++=2692,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+++=EXTRAWORD
land ^nn++++=land
does ^vbz+doz+aux++=does
this ^dt+dem+++=this
represent ^nn++++=represent
the ^ati++++=the
title ^nn++++=title
of ^in+strn+++=of?
? ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
' ^zz++++='Six
six ^cd++++=EXTRAWORD
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty
acres ^nns++++=acres
in ^in++++=in
B ^zz++++=B---country?
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
country ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Absalom ^np+++??+=Absalom
Harris ^np++++=Harris,
, ^zz++++=EXTRAWORD
original ^nn+nom+++=original
grantee ^nn++++=grantee.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Please ^uh++++=Please
tell ^vb++++=tell
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
so ^ql+emph+++=so
ignorant ^jj++++=ignorant
of ^in++++=of
these ^dt+dem+++=these
things ^nns++++=things,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
you ^pp2+pp2+++=you
tell ^vb++++=tell
a ^at++++=a
good ^jj+atrb+++=good
survey ^nn++++=survey
from ^in++++=from
a ^at++++=a
bad ^jj+atrb+++=bad
one ^pn++++=one.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
illegal ^jj+atrb+++=illegal
and ^cc+phrs+++=and
fraudulent ^jj+atrb+++=fraudulent
surveys ^nns++++=surveys
in ^in++++=in
this ^dt+dem+++=this
office ^nn++++=office.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose
this ^dt+dem+++=this
one ^cd1++++=one
is ^vbz+bez+vrb++=is
all ^abn++++=all
right ^jj++++=right?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sharp ^jj++++=Sharp.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
certificate ^nn+nom+++=certificate
is ^vbz+bez+aux++=is
missing ^vbg+++xvbgx+=missing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
invalid ^nn++++=invalid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
paper ^nn++++=paper
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
saw ^vbd+vprv+tht0+xvbn+=saw
you ^pp2+pp2+++=you
place ^nn++++=place
in ^cs+sub+++=in
that ^cs"++++=that
file ^nn++++=file,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose
is ^vbz+bez+vrb++=is
something ^pn++++=something
else ^rb+cnj+++=else--field
-- ^--+clp+++=EXTRAWORD
field ^nn++++=EXTRAWORD
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
transfer ^nn+nom+++=transfer
probably ^rb++++=probably?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sharp ^jj++++=Sharp,
, ^zz++++=EXTRAWORD
hurriedly ^rb+cnj+++=hurriedly,
, ^zz++++=EXTRAWORD
" ^zz++++="corrected
corrected ^vwbn+++xvbn+=EXTRAWORD
field ^nn++++=field
notes ^nns++++=notes.
. ^zz++++=EXTRAWORD
Excuse ^nn++++=Excuse
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
a ^rb++splt++=a
little ^rb"++++=little
pressed ^vbd+++xvbn+=pressed
for ^in++++=for
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
was ^vbd+bedz+aux++=was
watching ^vbg+++xvbgx+=watching
him ^pp3o+pp3+++=him
with ^in++++=with
bright ^jj++++=bright,
, ^zz++++=EXTRAWORD
alert ^nn++++=alert
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
never ^rb++++=never
do ^vb+do+aux++=do
to ^to++++=to
leave ^vbi++++=leave
the ^ati++++=the
certificate ^nn+nom+++=certificate
in ^in++++=in
the ^ati++++=the
file ^nn++++=file;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
take ^vb++++=take
it ^pp3+it+++=it
out ^rp+pl+++=out
with ^in++++=with
that ^dt+dem+++=that
inquisitive ^jj+atrb+++=inquisitive
boy ^nn++++=boy
watching ^vwbg+++xvbg+=watching
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
to ^in++++=to
the ^ati++++=the
file ^nn++++=file
room ^nn++++=room,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
dozen ^cd++++=dozen
or ^cc++++=or
more ^ql++++=more
files ^nns++++=files
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accidentally ^rb++++=accidentally
dropped ^vbd+++xvbn+=dropped
part ^nn++++=part
of ^in++++=of
them ^pp3o+pp3+++=them
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
stooped ^vbd+++xvbnx+=stooped
to ^to++++=to
pick ^vbi++++=pick
them ^pp3o+pp3+++=them
up ^rp++++=up
he ^pp3a+pp3+++=he
swiftly ^rb++++=swiftly
thrust ^nn+++xvbn+=thrust
Bexar ^np+++??+=Bexar
Scrip ^nn++++=Scrip
No ^rb++++=No.
. ^zz++++=EXTRAWORD
2692 ^cd++++=2692
in ^in++++=in
the ^ati++++=the
inside ^jjb+atrb+++=inside
breast ^nn++++=breast
pocket ^nn++++=pocket
of ^in++++=of
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
happened ^jj+++xvbn+=happened
at ^rb++++=at
just ^rb+emph+++=just
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
four ^cd++++=four
o ^zz++++=o'clock,
'clock, ^nn+++??+=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
file ^nn++++=file
clerk ^nn++++=clerk
took ^vbd+++xvbn+=took
the ^ati++++=the
files ^nns++++=files
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
them ^pp3o+pp3+++=them
in ^in++++=in
a ^at++++=a
pile ^nn++++=pile
in ^in++++=in
his ^pp$+pp3+++=his
room ^nn++++=room,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
out ^rp+pl+++=out
and ^cc++++=and
locked ^vbd+++xvbn+=locked
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clerks ^nns++++=clerks
were ^vbd+bed+aux++=were
moving ^vbg+++xvbgx+=moving
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
doors ^nns++++=doors
in ^in++++=in
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
straggling ^jj+atrb+++=straggling
lines ^nns++++=lines.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
closing ^vbg+++xvbgx+=closing
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp
did ^vbd+dod+aux++=did
not ^xnot++not++=not
desire ^nn++++=desire
to ^to+ncmp+++=to
take ^vbi++++=take
the ^ati++++=the
file ^nn++++=file
from ^in++++=from
the ^ati++++=the
Land ^nn++++=Land
Office ^nn++++=Office.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
might ^md+pos+++=might
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him
place ^nn++++=place
the ^ati++++=the
file ^nn++++=file
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
penalty ^nn++++=penalty
of ^in++++=of
the ^ati++++=the
law ^nn++++=law
for ^in++++=for
such ^abl++++=such
an ^at++++=an
act ^nn++++=act
