Searchers ^nns+nom++??+=Searchers
and ^cc++++=and
furnished ^vpsv++agls+xvbn+=furnished
in ^in++++=in
the ^ati++++=the
barest ^jjt++++=barest
and ^cc++++=and
most ^ql+emph+++=most
primitive ^jj+atrb+++=primitive
possible ^jj+atrb+++=possible
way ^nn++++=way.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
sitting ^vbg+++xvbg+=sitting-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
a ^at++++=a
table ^nn++++=table
and ^cc++++=and
several ^ap++++=several
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
immense ^jj+atrb+++=immense
fireplace ^nn++++=fireplace
above ^jjb++++=above
which ^whp+who+++=which
ticked ^vbd+++xvbn+=ticked
an ^at++++=an
antique ^jj+atrb+++=antique
clock ^nn++++=clock
on ^in++++=on
a ^at++++=a
mantel ^nn+++??+=mantel.
. ^zz++++=EXTRAWORD
Books ^nns++++=Books
and ^cc++++=and
papers ^nns++++=papers
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
few ^ap++++=few,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
prevailing ^jj+atrb++xvbg+=prevailing
gloom ^nn++++=gloom
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
readily ^rb++++=readily
discern ^vb++++=discern
the ^ati++++=the
titles ^nns++++=titles.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
interested ^jj++++=interested
me ^pp1o+pp1+++=me
was ^vbd+bedz+vrb++=was
the ^ati++++=the
uniform ^jj+atrb+++=uniform
air ^nn++++=air
of ^in++++=of
archaism ^nn+nom+++=archaism
as ^in++++=as
displayed ^nn++++=displayed
in ^in++++=in
every ^at++++=every
visible ^jj+atrb+++=visible
detail ^nn++++=detail.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
of ^in++++=of
the ^ati++++=the
houses ^nns++++=houses
in ^in++++=in
this ^dt+dem+++=this
region ^nn++++=region
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
rich ^jj++++=rich
in ^in++++=in
relics ^nns++++=relics
of ^in++++=of
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
here ^rn+pl+++=here
the ^ati++++=the
antiquity ^nn+nom+++=antiquity
was ^vbd+bedz+vrb++=was
curiously ^rb++++=curiously
complete ^jj+pred+++=complete;
; ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
room ^nn++++=room
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
discover ^nn+nom+++=discover
a ^at++++=a
single ^jj+atrb+++=single
article ^nn++++=article
of ^in++++=of
definitely ^rb++++=definitely
post ^nn++++=post-revolutionary
- ^zz++++=EXTRAWORD
revolutionary ^jj+atrb+++=EXTRAWORD
date ^nn++++=date.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
the ^ati++++=the
furnishings ^nns++++=furnishings
been ^vprf+ben+vrb+xvbn+=been
less ^rbr++++=less
humble ^jj++++=humble,
, ^zz++++=EXTRAWORD
the ^ati++++=the
place ^nn++++=place
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
collector ^nn++++=collector's
's ^$++++=EXTRAWORD
paradise ^nn++++=paradise.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
surveyed ^vbd+++xvbnx+=surveyed
this ^dt+dem+++=this
quaint ^jj+atrb+++=quaint
apartment ^nn+nom+++=apartment,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
an ^at++++=an
increase ^nn++++=increase
in ^cs+sub+++=in
that ^cs"++++=that
aversion ^nn++++=aversion
first ^od++++=first
excited ^vpsv++by+xvbn+=excited
by ^in++++=by
the ^ati++++=the
bleak ^jj+atrb+++=bleak
exterior ^nn++++=exterior
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
what ^wdt+who+++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
feared ^vbd+vprv++xvbnx+=feared
or ^cc+phrs+++=or
loathed ^vbd+++xvbn+=loathed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
by ^in++++=by
no ^at++++=no
means ^nn++++=means
define ^vb++++=define;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
something ^pn++++=something
in ^in++++=in
the ^ati++++=the
whole ^jj+atrb+++=whole
atmosphere ^nn++++=atmosphere
seemed ^vbd+seem++xvbn+=seemed
redolent ^jj++++=redolent
of ^in++++=of
unhallowed ^jj+atrb++xvbn+=unhallowed
age ^nn++++=age,
, ^zz++++=EXTRAWORD
of ^in++++=of
unpleasant ^jj+atrb+++=unpleasant
crudeness ^nns+nom+++=crudeness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
secrets ^nns++++=secrets
which ^whp+rel+subj++=which
should ^md+nec+++=should
be ^vb+be+aux++=be
forgotten ^vpsv++agls+xvbnx+=forgotten.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
disinclined ^vbd+++xvbn+=disinclined
to ^to++++=to
sit ^vbi++++=sit
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wandered ^vpsv++agls+xvbn+=wandered
about ^in++++=about
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
various ^jj+atrb+++=various
articles ^nns++++=articles
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
noticed ^vprf+++xvbnx+=noticed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
object ^vb++++=object
of ^in++++=of
my ^pp$+pp1+++=my
curiosity ^nn+nom+++=curiosity
was ^vbd+bedz+vrb++=was
a ^at++++=a
book ^nn++++=book
of ^in++++=of
medium ^jjb+atrb+++=medium
size ^nn++++=size
lying ^vwbg+++xvbg+=lying
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
presenting ^vbg+++xvbg+=presenting
such ^abl++++=such
an ^at++++=an
antediluvian ^jj+atrb+++=antediluvian
aspect ^nn++++=aspect
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
marvelled ^vbd+++xvbnx+=marvelled
at ^rb++++=at
beholding ^jj+++xvbg+=beholding
it ^pp3+it+++=it
outside ^jjb++++=outside
a ^at++++=a
museum ^nn++++=museum
or ^cc++++=or
library ^nn+nom+++=library.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
bound ^vpsv++agls+xvbnx+=bound
in ^in++++=in
leather ^nn++++=leather
with ^in++++=with
metal ^nn++++=metal
fittings ^nns++++=fittings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
in ^in++++=in
an ^at++++=an
excellent ^jj+atrb+++=excellent
state ^nn++++=state
of ^in++++=of
preservation ^nn+nom+++=preservation;
; ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
altogether ^nn+nom+++=altogether
an ^at++++=an
unusual ^jj+atrb+++=unusual
sort ^nn++++=sort
of ^in++++=of
volume ^nn++++=volume
to ^to++++=to
encounter ^nn+nom+++=encounter
in ^in++++=in
an ^at++++=an
abode ^nn++++=abode
so ^rb+emph+++=so
lowly ^jj++++=lowly.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
opened ^vbd+++xvbnx+=opened
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
title ^nn++++=title
page ^nn++++=page
my ^pp$+pp1+++=my
wonder ^nn++++=wonder
grew ^vbd+++xvbn+=grew
even ^rb++++=even
greater ^jjr++++=greater,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
proved ^vbd+vprv++xvbn+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
nothing ^pn++++=nothing
less ^rbr++++=less
rare ^jj++++=rare
than ^in++++=than
Pigafetta ^np++++=Pigafetta's
's ^$++++=EXTRAWORD
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
Congo ^np++++=Congo
region ^nn++++=region,
, ^zz++++=EXTRAWORD
written ^j+++xvbn+=written
in ^in++++=in
Latin ^nn++++=Latin
from ^in++++=from
the ^ati++++=the
notes ^nns++++=notes
of ^in++++=of
the ^ati++++=the
sailor ^nn++++=sailor
Lopex ^np+++??+=Lopex
and ^cc++++=and
printed ^jj+++xvbn+=printed
at ^rb++++=at
Frankfurt ^np++++=Frankfurt
in ^in++++=in
1598 ^cd++++=1598.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
often ^rb++splt++=often
heard ^vprf+++xvbnx+=heard
of ^in++++=of
this ^dt+dem+++=this
work ^nn++++=work,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
curious ^jj+atrb+++=curious
illustrations ^nns+nom+++=illustrations
by ^in++++=by
the ^ati++++=the
brothers ^nns+nom+++=brothers
De ^&fw++++=De
Bry ^np+++??+=Bry,
, ^zz++++=EXTRAWORD
hence ^rb+cnj+++=hence
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
forgot ^vbd+vprv++xvbn+=forgot
my ^pp$+pp1+++=my
uneasiness ^nns+nom+++=uneasiness
in ^in++++=in
my ^pp$+pp1+++=my
desire ^nn++++=desire
to ^to+ncmp+++=to
turn ^vbi++++=turn
the ^ati++++=the
pages ^nns++++=pages
before ^in++++=before
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
engravings ^nns++++=engravings
were ^vbd+bed+vrb++=were
indeed ^qlp++++=indeed
interesting ^jj++++=interesting,
, ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=drawn
wholly ^rb++++=wholly
from ^in++++=from
imagination ^nn+nom+++=imagination
and ^cc++++=and
careless ^jj+atrb+++=careless
descriptions ^nns+nom+++=descriptions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
represented ^xvbn+++xvbn+=represented
negroes ^nns+++??+=negroes
with ^in++++=with
white ^jj+atrb+++=white
skins ^nns++++=skins
and ^cc++++=and
Caucasian ^np+++??+=Caucasian
features ^nns++++=features;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
would ^md+prd+++=would
I ^pp1a+pp1+++=I
soon ^rb+tm+++=soon
have ^vb+hv+aux++=have
closed ^vprf+++xvbnx+=closed
the ^ati++++=the
book ^nn++++=book
had ^vb+hv+vrb++=had
not ^xnot++not++=not
an ^at++++=an
exceedingly ^rb++++=exceedingly
trivial ^jj+atrb+++=trivial
circumstance ^nn+nom+++=circumstance
upset ^vbd+++xvbn+=upset
my ^pp$+pp1+++=my
tired ^jj+atrb++xvbn+=tired
nerves ^nns++++=nerves
and ^cc++++=and
revived ^vbd+++xvbn+=revived
my ^pp$+pp1+++=my
sensation ^nn+nom+++=sensation
of ^in++++=of
disquiet ^nn+++??+=disquiet.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
annoyed ^jj++++=annoyed
me ^pp1o+pp1+++=me
was ^vbd+bedz+vrb++=was
merely ^rb+down+++=merely
the ^ati++++=the
persistent ^jj+atrb+++=persistent
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
volume ^nn++++=volume
tended ^vbd+++xvbn+=tended
to ^to+vcmp+++=to
fall ^vbi++++=fall
open ^jj++++=open
of ^in++++=of
itself ^ppl++++=itself
at ^in++++=at
Plate ^nn++++=Plate
Xii ^np+++??+=XII,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
represented ^vbd+++xvbn+=represented
in ^in++++=in
gruesome ^jj+atrb+++=gruesome
detail ^nn++++=detail
a ^at++++=a
butcher ^nn++++=butcher's
's ^$++++=EXTRAWORD
shop ^nn++++=shop
of ^in++++=of
the ^ati++++=the
cannibal ^nn+nom+++=cannibal
Anziques ^np+++??+=Anziques.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
experienced ^vbd+++xvbnx+=experienced
some ^dti++++=some
shame ^vb++++=shame
at ^rb++++=at
my ^pp$+pp1+++=my
susceptibility ^nn+nom+++=susceptibility
to ^to++++=to
so ^ql+emph+++=so
slight ^jj++++=slight
a ^at++++=a
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
drawing ^jj+++xvbg+=drawing
nevertheless ^rb+cnj+++=nevertheless
disturbed ^vbd+++xvbn+=disturbed
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
connection ^nn+nom+++=connection
with ^in++++=with
some ^dti++++=some
adjacent ^jj+atrb+++=adjacent
passages ^nns+nom+++=passages
descriptive ^jj++++=descriptive
of ^in++++=of
Anzique ^np+++??+=Anzique
gastronomy ^nn++++=gastronomy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
to ^in++++=to
a ^at++++=a
neighboring ^jj+atrb+++=neighboring
shelf ^nn++++=shelf
and ^cc++++=and
was ^vbd+bedz+aux++=was
examining ^vbg+++xvbgx+=examining
its ^pp$+it+++=its
meagre ^jj+atrb+++=meagre
literary ^jj+atrb+++=literary
contents ^nns++++=contents
an ^at++++=an
eighteenth ^od++++=eighteenth
century ^nn++++=century
Bible ^nn++++=Bible,
, ^zz++++=EXTRAWORD
a ^at++++=a
" ^zz++++="Pilgrim's
pilgrim ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
Progress ^nns+nom+++=Progress"
" ^zz++++=EXTRAWORD
of ^in++++=of
like ^in++++=like
period ^nn++++=period,
, ^zz++++=EXTRAWORD
illustrated ^j+++xvbn+=illustrated
with ^in++++=with
grotesque ^jj+atrb+++=grotesque
woodcuts ^nns++++=woodcuts
and ^cc++++=and
printed ^vpsv++by+xvbn+=printed
by ^in++++=by
the ^ati++++=the
almanack ^nn+++??+=almanack-maker
- ^zz++++=EXTRAWORD
maker ^nn++++=EXTRAWORD
Isaiah ^np++++=Isaiah
Thomas ^np++++=Thomas,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rotting ^jj+atrb+++=rotting
bulk ^nn++++=bulk
of ^in++++=of
Cotton ^nn++++=Cotton
Mather ^np++++=Mather's
's ^$++++=EXTRAWORD
" ^zz++++="Magnalia
magnalia ^nn+++??+=EXTRAWORD
Christi ^np+++??+=Christi
Americana ^&fw++++=Americana,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
a ^ap++++=a
few ^ap"++++=few
other ^ap++++=other
books ^nns++++=books
of ^in++++=of
evidently ^rb++++=evidently
equal ^jj+atrb+++=equal
age ^nn++++=age
when ^wrb+who+++=when
my ^pp$+pp1+++=my
attention ^nn+nom+++=attention
was ^vbd+bedz+aux++=was
aroused ^vpsv++by+xvbnx+=aroused
by ^in++++=by
the ^ati++++=the
unmistakable ^jj+atrb+++=unmistakable
sound ^nn++++=sound
of ^in++++=of
walking ^xvbg+++xvbg+=walking
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
overhead ^jjb++++=overhead.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
astonished ^jj+++xvbn+=astonished
and ^cc+phrs+++=and
startled ^jj+++xvbn+=startled,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
response ^nn++++=response
to ^in++++=to
my ^pp$+pp1+++=my
recent ^jj++++=recent
knocking ^jj+++xvbg+=knocking
at ^in++++=at
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
immediately ^rb+tm+++=immediately
afterward ^rb++++=afterward
concluded ^vbd+vprv++xvbn+=concluded
that ^tht+vcmp+++=that
the ^ati++++=the
walker ^np++++=walker
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
awakened ^vprf+++xvbnx+=awakened
from ^in++++=from
a ^at++++=a
sound ^jj+atrb+++=sound
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listened ^vpsv++agls+xvbn+=listened
with ^in++++=with
less ^rbr++++=less
surprise ^nn++++=surprise
as ^ql++++=as
the ^ati++++=the
footsteps ^nns++++=footsteps
sounded ^vbd+++xvbn+=sounded
on ^in++++=on
the ^ati++++=the
creaking ^jj+atrb+++=creaking
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tread ^nn++++=tread
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
contain ^vbi++++=contain
a ^at++++=a
curious ^jj+atrb+++=curious
quality ^nn+nom+++=quality
of ^in++++=of
cautiousness ^nns+nom+++=cautiousness;
; ^zz++++=EXTRAWORD
a ^at++++=a
quality ^nn+nom+++=quality
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
disliked ^vbd+++xvbnx+=disliked
the ^ati++++=the
more ^ql++++=more
because ^cs+cos+++=because
the ^ati++++=the
tread ^nn++++=tread
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
room ^nn++++=room
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
shut ^vprf+++xvbnx+=shut
the ^ati++++=the
door ^nn++++=door
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
moment ^nn++++=moment
of ^in++++=of
silence ^nn+nom+++=silence
during ^in++++=during
which ^whp+rel+pied++=which
the ^ati++++=the
walker ^np++++=walker
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
inspecting ^vbg+++xvbgx+=inspecting
my ^pp$+pp1+++=my
bicycle ^nn++++=bicycle
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
fumbling ^jj+++xvbg+=fumbling
at ^rb++++=at
the ^ati++++=the
latch ^nn++++=latch
and ^cc++++=and
saw ^vbd+vprv+tht0+xvbn+=saw
the ^ati++++=the
paneled ^jj+atrb++xvbn+=paneled
portal ^nn++++=portal
swing ^vb++++=swing
open ^jj++++=open
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
doorway ^nn++++=doorway
stood ^vbd+++xvbn+=stood
a ^at++++=a
person ^nn++++=person
of ^in++++=of
such ^abl++++=such
singular ^nn++++=singular
appearance ^nn+nom+++=appearance
that ^tht+vcmp+obj++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
exclaimed ^vprf+++xvbnx+=exclaimed
aloud ^rb++++=aloud
but ^in++++=but
for ^in"++++=for
the ^ati++++=the
restraints ^nns++++=restraints
of ^in++++=of
good ^jj+atrb+++=good
breeding ^nvbg+++xvbg+=breeding.
. ^zz++++=EXTRAWORD
Old ^jj++++=Old,
, ^zz++++=EXTRAWORD
white ^jj++++=white-bearded,
- ^zz++++=EXTRAWORD
bearded ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ragged ^jj++++=ragged,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
host ^nn++++=host
possessed ^vbd+++xvbn+=possessed
a ^at++++=a
countenance ^nn+nom+++=countenance
and ^cc++++=and
physique ^nn++++=physique
which ^whp+rel+subj++=which
inspired ^vprf+++xvbn+=inspired
equal ^jj+atrb+++=equal
wonder ^nn++++=wonder
and ^cc++++=and
respect ^nn++++=respect.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
height ^nn++++=height
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
less ^rbr++++=less
than ^in++++=than
six ^cd++++=six
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
despite ^in++++=despite
a ^at++++=a
general ^jj+atrb+++=general
air ^nn++++=air
of ^in++++=of
age ^nn++++=age
and ^cc++++=and
poverty ^nn++++=poverty
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
stout ^jj+pred+++=stout
and ^cc+phrs+++=and
powerful ^jj++++=powerful
in ^in++++=in
proportion ^nn+nom+++=proportion.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
hidden ^vpsv++by+xvbn+=hidden
by ^in++++=by
a ^at++++=a
long ^jj+atrb+++=long
beard ^nn++++=beard
which ^whp+rel+subj++=which
grew ^vbd+++xvbn+=grew
high ^jj++++=high
on ^in++++=on
the ^ati++++=the
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
abnormally ^rb++++=abnormally
ruddy ^jj++++=ruddy
and ^cc++++=and
less ^ql++++=less
wrinkled ^vwbn+++xvbn+=wrinkled
than ^in++++=than
one ^cd1++++=one
might ^md+pos+++=might
expect ^vb+vprv+++=expect;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
over ^in++++=over
a ^at++++=a
high ^jj+atrb+++=high
forehead ^nn++++=forehead
fell ^vbd+++xvbn+=fell
a ^at++++=a
shock ^nn++++=shock
of ^in++++=of
white ^jj+atrb+++=white
hair ^nn++++=hair
little ^ap++++=little
thinned ^vpsv++by+xvbn+=thinned
by ^in++++=by
the ^ati++++=the
years ^nns++++=years.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
a ^at++++=a
trifle ^nn++++=trifle
bloodshot ^jj++++=bloodshot,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
inexplicably ^jj++++=inexplicably
keen ^jj++++=keen
and ^cc+phrs+++=and
burning ^jj+++xvbg+=burning.
. ^zz++++=EXTRAWORD
But ^in++++=But
for ^in"++++=for
his ^pp$+pp3+++=his
horrible ^jj+atrb+++=horrible
unkemptness ^nns+nom+++=unkemptness
the ^ati++++=the
man ^nn++++=man
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
as ^cs+sub+++=as
distinguished ^jj+++xvbn+=distinguished-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
impressive ^jj+pred+++=impressive.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
unkemptness ^nns+nom+++=unkemptness,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
him ^pp3o+pp3+++=him
offensive ^nn++++=offensive
despite ^in++++=despite
his ^pp$+pp3+++=his
face ^nn++++=face
and ^cc++++=and
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
what ^wdt+who+++=what
his ^pp$+pp3+++=his
clothing ^nn++++=clothing
consisted ^vbd+++xvbn+=consisted
I ^pp1a+pp1+++=I
could ^md+pos+++=could
hardly ^rb+down+splt++=hardly
tell ^vb++++=tell,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
mass ^nn++++=mass
of ^in++++=of
tatters ^nns+nom+++=tatters
surmounting ^vwbg+++xvbg+=surmounting
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
high ^jj+atrb+++=high,
, ^zz++++=EXTRAWORD
heavy ^jj+atrb+++=heavy
boots ^nns++++=boots;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
lack ^nn++++=lack
of ^in++++=of
cleanliness ^nns+nom+++=cleanliness
surpassed ^vwbn+++xvbn+=surpassed
description ^nn+nom+++=description.
. ^zz++++=EXTRAWORD
The ^ati++++=The
appearance ^nn+nom+++=appearance
of ^in++++=of
this ^dt+dem+++=this
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
instinctive ^jj+atrb+++=instinctive
fear ^nn++++=fear
he ^pp3a+pp3+++=he
inspired ^vbd+++xvbnx+=inspired,
, ^zz++++=EXTRAWORD
prepared ^xvbn+++xvbn+=prepared
me ^pp1o+pp1+++=me
for ^in++++=for
something ^pn++++=something
like ^in++++=like
enmity ^nn++++=enmity;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
almost ^rb+hdg+++=almost
shuddered ^vbd+++xvbn+=shuddered
through ^in++++=through
surprise ^nn++++=surprise
and ^cc++++=and
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
uncanny ^jj+atrb+++=uncanny
incongruity ^nn+nom+++=incongruity
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
motioned ^vbd+++xvbnx+=motioned
me ^pp1o+pp1+++=me
to ^in++++=to
a ^at++++=a
chair ^nn++++=chair
and ^cc++++=and
addressed ^vbd+++xvbn+=addressed
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
thin ^jj+atrb+++=thin,
, ^zz++++=EXTRAWORD
weak ^jj+atrb+++=weak
voice ^nn++++=voice
full ^jj++++=full
of ^in++++=of
fawning ^xvbg+++xvbg+=fawning
respect ^nn++++=respect
and ^cc++++=and
ingratiating ^jj+atrb+++=ingratiating
hospitality ^nn+nom+++=hospitality.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
speech ^nn++++=speech
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
curious ^jj++++=curious,
, ^zz++++=EXTRAWORD
an ^at++++=an
extreme ^nn++++=extreme
form ^nn++++=form
of ^in++++=of
Yankee ^jj+atrb+++=Yankee
dialect ^nn++++=dialect
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
long ^rb++++=long
extinct ^jj++++=extinct;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
studied ^vbd+++xvbnx+=studied
it ^pp3+it+++=it
closely ^rb++++=closely
as ^ql++++=as
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
opposite ^jj++++=opposite
me ^pp1o+pp1+++=me
for ^in++++=for
conversation ^nn+nom+++=conversation.
