Men ^nns++++=Men
; ^zz++++=EXTRAWORD
the ^ati++++=the
men ^nns++++=men
at ^in++++=at
the ^ati++++=the
engine ^nn++++=engine,
, ^zz++++=EXTRAWORD
stripped ^j+++xvbn+=stripped
to ^in++++=to
the ^ati++++=the
waist ^nn++++=waist,
, ^zz++++=EXTRAWORD
worked ^j+++xvbn+=worked
feverishly ^jj++++=feverishly.
. ^zz++++=EXTRAWORD
Speed ^nn++++=Speed
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary,
, ^zz++++=EXTRAWORD
for ^in++++=for
only ^ap+down+++=only
oxygen ^nn++++=oxygen
enough ^dt++++=enough
to ^to++++=to
sustain ^vbi++++=sustain
the ^ati++++=the
crew ^nn++++=crew
for ^in++++=for
one ^cd1++++=one
hour ^nn++++=hour
remained ^vbd+++xvbn+=remained
in ^in++++=in
the ^ati++++=the
lead ^nn++++=lead
cylinders ^nns+nom+++=cylinders.
. ^zz++++=EXTRAWORD
Yakovlev ^np+++??+=Yakovlev
still ^rb++++=still
sat ^vbd+++xvbn+=sat
at ^in++++=at
the ^ati++++=the
compass ^nn++++=compass,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
elbows ^nns++++=elbows
on ^in++++=on
his ^pp$+pp3+++=his
knees ^nns++++=knees
and ^cc++++=and
his ^pp$+pp3+++=his
hands ^nns++++=hands
pressing ^vwbg+++xvbg+=pressing
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
lounged ^vbd+++xvbn+=lounged
in ^in++++=in
the ^ati++++=the
cabins ^nns++++=cabins
and ^cc++++=and
corridors ^nns++++=corridors,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
faces ^nns++++=faces
livid ^jj++++=livid
with ^in++++=with
suffocation ^nn+nom+++=suffocation.
. ^zz++++=EXTRAWORD
Prince ^npt++++=Prince
Bylopolsky ^np+++??+=Bylopolsky
remained ^vbd+++xvbn+=remained
leaning ^vbg+++xvbg+=leaning
over ^in++++=over
his ^pp$+pp3+++=his
vlogarithmic ^jj+atrb+++=vlogarithmic
tables ^nns++++=tables,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
now ^rn+tm+splt++=now
become ^vb++++=become
useless ^jj++++=useless.
. ^zz++++=EXTRAWORD
From ^in++++=From
time ^nn++++=time
to ^in++++=to
time ^nn++++=time
he ^pp3a+pp3+++=he
wiped ^vbd+++xvbnx+=wiped
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
removing ^vbg+++xvbg+=removing
a ^at++++=a
net ^nn++++=net
of ^in++++=of
invisible ^jj+atrb+++=invisible
cobwebs ^nns++++=cobwebs.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
he ^pp3a+pp3+++=he
rose ^vbd+++xvbnx+=rose
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^ap++++=a
few ^ap"++++=few
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fainted ^vbd+++xvbn+=fainted
dead ^jj++++=dead
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Giving ^vbg+++xvbg+=Giving
the ^ati++++=the
order ^vb++++=order
to ^to+vcmp+++=to
proceed ^vbi++++=proceed
at ^rb++++=at
full ^jj+atrb+++=full
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
hoped ^vbd+vprv++xvbn+=hoped
to ^to+vcmp+++=to
pass ^vbi++++=pass
the ^ati++++=the
mine ^nn++++=mine
zone ^nn++++=zone,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
men ^nns++++=men
succumbed ^vbd+++xvbn+=succumbed
for ^in++++=for
lack ^nn++++=lack
of ^in++++=of
air ^nn++++=air.
. ^zz++++=EXTRAWORD
Pale ^nn++++=Pale
and ^cc++++=and
excited ^jj+++xvbn+=excited,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hair ^nn++++=hair
in ^in++++=in
disorder ^nn+nom+++=disorder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
coat ^nn++++=coat
unbuttoned ^vbd+++xvbn+=unbuttoned,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
everywhere ^rb++++=everywhere
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
voice ^nn++++=voice
sustained ^vbd+++xvbn+=sustained
the ^ati++++=the
failing ^jj+atrb++xvbg+=failing
strength ^nn++++=strength
of ^in++++=of
the ^ati++++=the
half ^abn++++=half-suffocated
- ^zz++++=EXTRAWORD
suffocated ^xvbn+++xvbn+=EXTRAWORD
crew ^nn++++=crew.
. ^zz++++=EXTRAWORD
Seeing ^vbg+vprv+tht0+xvbg+=Seeing
the ^ati++++=the
prince ^npt++++=prince
stretched ^vwbn+++xvbn+=stretched
unconscious ^jj++++=unconscious
on ^in++++=on
a ^at++++=a
berth ^nn+++??+=berth,
, ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
poured ^vbd+++xvbn+=poured
a ^ap++++=a
few ^ap"++++=few
drops ^nns++++=drops
of ^in++++=of
brandy ^nn++++=brandy
in ^in++++=in
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
his ^pp$+pp3+++=his
wet ^nn++++=wet,
, ^zz++++=EXTRAWORD
childlike ^jj+atrb+++=childlike
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
In ^in++++=In
making ^xvbg+++xvbg+=making
too ^ql++++=too
rapid ^jj++++=rapid
a ^at++++=a
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
lurid ^jj+atrb+++=lurid
flames ^nns++++=flames
danced ^vbd+++xvbn+=danced
before ^in++++=before
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
bent ^vbd+++xvbnx+=bent
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
striking ^vbg+++xvbg+=striking
his ^pp$+pp3+++=his
head ^nn++++=head
against ^in++++=against
a ^at++++=a
sharp ^jj+atrb+++=sharp
angle ^nn++++=angle
of ^in++++=of
an ^at++++=an
engine ^nn++++=engine.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
no ^at++++=no
pain ^nn++++=pain
from ^in++++=from
the ^ati++++=the
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
" ^zz++++="Bad!"
bad ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
Andrey ^np+++??+=Andrey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crawled ^vprf+++xvbn+=crawled
over ^in++++=over
to ^in++++=to
the ^ati++++=the
emergency ^nn++++=emergency
oxygen ^nn++++=oxygen
container ^nn+nom+++=container.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
faucet ^nn+++??+=faucet
and ^cc++++=and
inhaled ^jj+++xvbn+=inhaled
the ^ati++++=the
fragrant ^jj+atrb+++=fragrant
stream ^nn++++=stream
of ^in++++=of
gas ^nn++++=gas.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
head ^nn++++=head
began ^vbd+++xvbn+=began
to ^to++++=to
swim ^vbi++++=swim
and ^cc++++=and
a ^at++++=a
sweet ^jj+atrb+++=sweet
fire ^nn++++=fire
ran ^vbd+++xvbn+=ran
through ^rb+phrv+++=through
his ^pp$+pp3+++=his
veins ^nns++++=veins.
. ^zz++++=EXTRAWORD
With ^in++++=With
an ^at++++=an
effort ^nn++++=effort
he ^pp3a+pp3+++=he
rose ^vbd+++xvbnx+=rose
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
outlines ^nns++++=outlines
of ^in++++=of
the ^ati++++=the
objects ^nns++++=objects
around ^rp++++=around
him ^pp3o+pp3+++=him
were ^vbd+bed+vrb++=were
strangely ^rb++++=strangely
distinct ^jj+pred+++=distinct,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
faces ^nns++++=faces
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
imploringly ^jj++++=imploringly
turned ^jj+++xvbn+=turned
to ^in++++=to
him ^pp3o+pp3+++=him
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them
bearded ^jj++++=bearded
and ^cc+phrs+++=and
high ^jj++++=high-cheekboned,
- ^zz++++=EXTRAWORD
cheekboned ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
others ^aps++++=others
tender ^jj++++=tender
and ^cc+phrs+++=and
childlike ^jj++++=childlike
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
touchingly ^jj+atrb+++=touchingly
human.. ^nn+++??+=human....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
corridor ^nn++++=corridor
Andrey ^np+++??+=Andrey
came ^vbd+++xvbn+=came
upon ^in+ppvb+++=upon
a ^at++++=a
man ^nn++++=man
standing ^vwbg+++xvbg+=standing
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall
and ^cc++++=and
gulping ^vbg+++xvbg+=gulping
the ^ati++++=the
air ^nn++++=air
like ^in++++=like
a ^at++++=a
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
Seeing ^vbg+vprv++xvbg+=Seeing
the ^ati++++=the
commander ^nn+nom+++=commander,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
an ^at++++=an
effort ^nn++++=effort
to ^to+ncmp+++=to
cheer ^vbi++++=cheer
up ^rp++++=up
and ^cc++++=and
mumbled ^jj+++xvbn+=mumbled,
, ^zz++++=EXTRAWORD
" ^zz++++="Beg
beg ^vb++++=EXTRAWORD
pardon ^nn++++=pardon,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
bit ^nn++++=bit
unwell ^jj++++=unwell."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^nn++++=captain
leaned ^vbd+++xvbn+=leaned
over ^in++++=over
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
a ^at++++=a
film ^nn++++=film
of ^in++++=of
death ^nn++++=death
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
beginning ^vbg+++xvbgx+=beginning
to ^in++++=to
veil ^nn++++=veil.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
to ^in++++=to
the ^ati++++=the
telephone ^nn++++=telephone
tube ^nn++++=tube,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
a ^at++++=a
command ^nn++++=command
to ^to++++=to
rise ^vbi++++=rise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
shook ^vbd+++xvbn+=shook
all ^abn++++=all
over ^in++++=over
and ^cc++++=and
dived ^vbd+++xvbn+=dived
upward ^jjb++++=upward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ascent ^nn++++=ascent
lasted ^vbd+++xvbn+=lasted
four ^cd++++=four
minutes ^nns++++=minutes
and ^cc++++=and
a ^at++++=a
half ^nn++++=half,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
which ^whp+rel+pied++=which
time ^nn++++=time
the ^ati++++=the
boat ^nn++++=boat
stood ^vbd+++xvbn+=stood
still ^jj+pred+++=still
and ^cc+phrs+++=and
light ^jj++++=light
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
the ^ati++++=the
screen ^nn++++=screen
of ^in++++=of
the ^ati++++=the
periscope ^nn++++=periscope.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sailors ^nns++++=sailors
crawled ^vprf+++xvbn+=crawled
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
main ^jjb+atrb+++=main
hatchway ^nn+++??+=hatchway
and ^cc++++=and
unscrewed ^vbd+++xvbn+=unscrewed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Cold ^jj+atrb+++=Cold
salt ^jj+atrb+++=salt
air ^nn++++=air
rushed ^vbd+++xvbn+=rushed
into ^in++++=into
the ^ati++++=the
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
swelling ^nn+nom+++=swelling
the ^ati++++=the
chests ^nns++++=chests
of ^in++++=of
the ^ati++++=the
sufferers ^nns+nom+++=sufferers
and ^cc++++=and
turning ^vbg+++xvbg+=turning
their ^pp$+pp3+++=their
heads ^nns++++=heads;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sensation ^nn+nom+++=sensation
of ^in++++=of
free ^jj+atrb+++=free
breathing ^nvbg+++xvbg+=breathing
was ^vbd+bedz+vrb++=was
delicious ^jj+pred+++=delicious
after ^cs+sub+++=after
the ^ati++++=the
suffocation ^nn+nom+++=suffocation
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
so ^ql++++=so
long ^rb++++=long
endured ^vbd+++xvbn+=endured.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey,
, ^zz++++=EXTRAWORD
leaping ^vbg+++xvbg+=leaping
on ^in++++=on
the ^ati++++=the
bridge ^nn++++=bridge,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
the ^ati++++=the
evening ^nn++++=evening
sun ^nn++++=sun
suspended ^vwbn+++xvbn+=suspended
above ^jjb+atrb+++=above
vast ^jj+atrb+++=vast
masses ^nns++++=masses
of ^in++++=of
warm ^jj+atrb+++=warm
clouds ^nns++++=clouds
and ^cc++++=and
the ^ati++++=the
sea ^nn++++=sea
quiet ^nn++++=quiet
and ^cc++++=and
peaceful ^jj++++=peaceful.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
take ^vbi++++=take
observations ^nns+nom+++=observations
with ^in++++=with
the ^ati++++=the
vsextant ^nn+nom+++=vsextant,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
shook ^vbd+++xvbn+=shook
in ^in++++=in
his ^pp$+pp3+++=his
trembling ^jj+atrb++xvbg+=trembling
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
a ^at++++=a
loud ^jj++++=loud
buzzing ^jj++++=buzzing
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
in ^in++++=in
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
the ^ati++++=the
measured ^jj+atrb++xvbn+=measured
crackling ^nn+nom+++=crackling
of ^in++++=of
a ^at++++=a
machine ^nn++++=machine
gun ^nn++++=gun;
; ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
hull ^nn++++=hull
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat
came ^vbd+++xvbn+=came
a ^at++++=a
sharp ^jj+atrb+++=sharp
rat ^nn++++=rat-a-tat,
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
tat ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
some ^dti++++=some
one ^cd1++++=one
was ^vbd+bedz+aux++=was
throwing ^vbg+++xvbgx+=throwing
dry ^jj+atrb+++=dry
peas ^nns++++=peas
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
A ^at++++=A
hydroplane ^nn+++??+=hydroplane
was ^vbd+bedz+aux++=was
circling ^nvbg+++xvbg+=circling
above ^jjb++++=above
the ^ati++++=the
Kate ^np++++=Kate.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
bit ^nn++++=bit
his ^pp$+pp3+++=his
lip ^nn++++=lip
and ^cc++++=and
kept ^vpsv++agls+xvbn+=kept
on ^rb+phrv+++=on
working ^xvbg+++xvbg+=working;
; ^zz++++=EXTRAWORD
a ^at++++=a
squad ^nn++++=squad
of ^in++++=of
his ^pp$+pp3+++=his
men ^nns++++=men
loaded ^vbd+++xvbn+=loaded
their ^pp$+pp3+++=their
rifles ^nns++++=rifles.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hydroplane ^nn+++??+=hydroplane
swooped ^vbd+++xvbn+=swooped
down ^in++++=down
almost ^rb+hdg+++=almost
to ^in++++=to
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
soared ^vbd+++xvbn+=soared
with ^in++++=with
a ^at++++=a
shrill ^jj++++=shrill
" ^zz++++="F-r-r-r"
f ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
r ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
r ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
r ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
flew ^vbd+++xvbn+=flew
right ^jj++++=right
over ^in++++=over
the ^ati++++=the
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
A ^at++++=A
clean ^jj++++=clean-shaven
- ^zz++++=EXTRAWORD
shaven ^jj+atrb+++=EXTRAWORD
pilot ^nn++++=pilot
sat ^vbd+++xvbn+=sat
motionless ^jj++++=motionless,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
on ^in++++=on
the ^ati++++=the
wheel ^nn++++=wheel;
; ^zz++++=EXTRAWORD
below ^rb++++=below
him ^pp3o+pp3+++=him
an ^at++++=an
observer ^nn+nom+++=observer
gazed ^vbd+++xvbn+=gazed
downward ^jjb++++=downward,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
the ^ati++++=the
latter ^ap++++=latter
lifted ^jj+++xvbn+=lifted
a ^at++++=a
bomb ^nn++++=bomb
and ^cc++++=and
threw ^vbd+++xvbn+=threw
it ^pp3+it+++=it
into ^in++++=into
a ^at++++=a
tube ^nn++++=tube.
. ^zz++++=EXTRAWORD
The ^ati++++=The
missile ^nn++++=missile
flashed ^vbd+++xvbn+=flashed
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
and ^cc++++=and
plunged ^vpsv++agls+xvbn+=plunged
into ^in++++=into
the ^ati++++=the
sea ^nn++++=sea
at ^rb++++=at
the ^ati++++=the
very ^ap+amp+++=very
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
crew ^nn++++=crew
fired ^vbd+++xvbn+=fired
his ^pp$+pp3+++=his
rifle ^nn++++=rifle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
observer ^nn+nom+++=observer
threw ^vbd+++xvbn+=threw
up ^rp++++=up
his ^pp$+pp3+++=his
leather ^nn++++=leather-covered
- ^zz++++=EXTRAWORD
covered ^jj+atrb++xvbn+=EXTRAWORD
arms ^nns++++=arms
with ^in++++=with
outspread ^nn+++??+=outspread
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
Slowly ^rb++++=Slowly
circling ^jj+++xvbg+=circling
under ^in++++=under
the ^ati++++=the
fire ^nn++++=fire
of ^in++++=of
the ^ati++++=the
submarine ^nn++++=submarine
crew ^nn++++=crew,
, ^zz++++=EXTRAWORD
the ^ati++++=the
aircraft ^nns++++=aircraft
rose ^vbd+++xvbn+=rose
toward ^in++++=toward
the ^ati++++=the
clouds ^nns++++=clouds
and ^cc++++=and
sailed ^vpsv++agls+xvbn+=sailed
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
sky ^nn++++=sky-ridge
- ^zz++++=EXTRAWORD
ridge ^nn++++=EXTRAWORD
another ^dt++++=another
aeroplane ^nn++++=aeroplane
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
like ^in++++=like
a ^at++++=a
long ^jj+atrb+++=long
thin ^jj+atrb+++=thin
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Meantime ^nn++++=Meantime
the ^ati++++=the
Kate ^np++++=Kate
picked ^vbd+++xvbn+=picked
her ^pp3o+pp3+++=her
way ^nn++++=way
with ^in++++=with
graceful ^jj+atrb+++=graceful
ease ^nn++++=ease
across ^in+pl+++=across
the ^ati++++=the
orange ^nn++++=orange-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
waters ^nns++++=waters
as ^cs+sub+++=as
if ^cs+cnd+++=if
cutting ^nvbg+++xvbg+=cutting
through ^in++++=through
molten ^jj+atrb+++=molten
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey,
, ^zz++++=EXTRAWORD
buttoning ^nn++++=buttoning
his ^pp$+pp3+++=his
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
with ^in++++=with
a ^at++++=a
grimace ^nn++++=grimace,
, ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Yakovlev ^np+++??+=Yakovlev,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mines ^nns++++=mines
are ^vb+ber+vrb++=are
behind ^in+pl+++=behind
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+whq++=what
are ^vb+ber+aux++=are
we ^pp1a+pp1+++=we
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
region ^nn++++=region
is ^vbz+bez+vrb++=is
full ^jj+pred+++=full
of ^in++++=of
reefs ^nns++++=reefs
and ^cc++++=and
sandbanks ^nns+++??+=sandbanks,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Yakovlev ^np+++??+=Yakovlev.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
the ^ati++++=the
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
risk ^vb++++=risk
sailing ^nvbg+++xvbg+=sailing
under ^in++++=under
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait
a ^at++++=a
moment ^nn++++=moment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
A ^at++++=A
violent ^jj++++=violent
whizzing ^jj+++xvbg+=whizzing
sound ^jj++++=sound
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
west ^np+pl+++=west;
; ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
ordered ^vbd+vsua++xvbn+=ordered
greater ^jjr+atrb+++=greater
speed ^nn++++=speed.
. ^zz++++=EXTRAWORD
A ^at++++=A
vgrenade ^nn+++??+=vgrenade
hissed ^vbd+++xvbn+=hissed
on ^in++++=on
the ^ati++++=the
right ^nn++++=right,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
jet ^nn++++=jet
of ^in++++=of
water ^nn++++=water
spurted ^vbd+++xvbn+=spurted
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
quiet ^jj+atrb+++=quiet
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
tacked ^vbd+++xvbn+=tacked
sharply ^rb++++=sharply
toward ^in++++=toward
the ^ati++++=the
purpling ^nn+nom+++=purpling
horizon ^nn++++=horizon
in ^in++++=in
the ^ati++++=the
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
shadowy ^jj+atrb+++=shadowy
wake ^nn++++=wake,
, ^zz++++=EXTRAWORD
another ^dt++++=another
bomb ^nn++++=bomb
burst ^vbd+++xvbn+=burst
and ^cc+phrs+++=and
blossomed ^vbd+++xvbn+=blossomed
out ^rp+pl+++=out
into ^in++++=into
a ^at++++=a
small ^jj+atrb+++=small
cloud ^nn++++=cloud.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boat ^nn++++=boat
then ^rn+tm+++=then
turned ^vbd+++xvbn+=turned
east ^np+pl+++=east
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
on ^in++++=on
both ^abx++++=both
sides ^nns++++=sides,
, ^zz++++=EXTRAWORD
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
shells ^nps++++=shells
burst ^vbd+++xvbn+=burst
and ^cc+phrs+++=and
sputtered ^vbd+++xvbn+=sputtered
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scouting ^jj+atrb++xvbg+=scouting
hydroplane ^nn+++??+=hydroplane
dashed ^vwbn+++xvbn+=dashed
over ^in++++=over
the ^ati++++=the
submarine ^nn++++=submarine
like ^in++++=like
a ^at++++=a
bat ^nn++++=bat;
; ^zz++++=EXTRAWORD
two ^cd++++=two
pale ^nn++++=pale
faces ^nns++++=faces
looked ^vbd+++xvbn+=looked
down ^rp++++=down
and ^cc++++=and
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
right ^jj++++=right
above ^jjb++++=above
the ^ati++++=the
stern ^nn++++=stern
of ^in++++=of
the ^ati++++=the
Kate ^np++++=Kate
a ^at++++=a
grenade ^nn+++??+=grenade
exploded ^vbd+++xvbn+=exploded
and ^cc++++=and
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
sailors ^nns++++=sailors
dropped ^vbd+++xvbn+=dropped
his ^pp$+pp3+++=his
rifle ^nn++++=rifle,
, ^zz++++=EXTRAWORD
clutched ^j+++xvbn+=clutched
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
toppled ^j+++xvbn+=toppled
over ^in++++=over
