Laura ^nn++++=Laura
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
what ^wdt+who+whcl++=what
happened ^vbd+++xvbn+=happened."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
cry ^nn++++=cry
from ^in++++=from
so ^ql+emph+++=so
deep ^jj++++=deep
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
" ^zz++++="Won't
will ^md+prd+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
it ^pp3+it+++=it
for ^in++++=for
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
begged ^vbd+++xvbnx+=begged
of ^in++++=of
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
you ^pp2+pp2+++=you
left ^vbd+++xvbn+=left
out ^rp+pl+++=out
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
show ^vb+vprv+++=show
it ^pp3+it+++=it
for ^in++++=for
me ^pp1o+pp1+++=me
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
just ^rb+emph+++=just
stood ^vbd+++xvbn+=stood
there ^ex+pex+++=there
staring ^vbg+++xvbg+=staring
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
means ^nns++++=means
! ^zz++++=!
It ^pp3+it+++=It
" ^zz++++="
But ^cc+cls+++=But
how ^wrb+who+++=how
could ^md+pos+++=could
she ^pp3a+pp3+++=she
tell ^vb++++=tell
them ^pp3o+pp3+++=them
what ^wdt+who+++=what
it ^pp3+it+++=it
meant ^vbd+vprv++xvbn+=meant?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
from ^in++++=from
one ^pn++++=one
to ^in++++=to
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
see ^vbi+vprv+++=see
what ^wdt+who+whcl++=what
chance ^nn++++=chance
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
of ^in++++=of
their ^pp$+pp3+++=their
doing ^jj+++xvbg+=doing
it ^pp3+it+++=it
without ^in++++=without
knowing ^xvbg+++xvbg+=knowing
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
meant ^vbd+vprv++xvbn+=meant.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
keep ^vb++++=keep
sobs ^nns++++=sobs
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
in ^in++++=in
her ^pp$+pp3+++=her
room ^nn++++=room
at ^in++++=at
the ^ati++++=the
hotel ^nn++++=hotel
she ^pp3a+pp3+++=she
had ^md"++pmd"++=had
to ^md+nec+++=to
try ^vb++++=try
to ^to+vcmp+++=to
keep ^vbi++++=keep
from ^in++++=from
crying ^xvbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
man ^nn++++=man
moving ^vwbg+++xvbg+=moving
around ^rp++++=around
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
room ^nn++++=room
so ^ql++++=so
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
hear ^vb+vprv+tht0++=hear
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
all ^abn++++=all
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
pictures ^nns++++=pictures
people ^nns++++=people
crowded ^vbd+++xvbn+=crowded
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
of ^in++++=of
it ^pp3+it+++=it
something ^pn++++=something
that ^cs+sub+++=that
seemed ^vprf+++xvbn+=seemed
life ^nn++++=life
and ^cc++++=and
really ^rb+emph+++=really
was ^vbd+bedz+vrb++=wasn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Even ^cs+sub+++=Even
that ^dt+dem+++=that
the ^ati++++=the
one ^cd1++++=one
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
moment ^nn++++=moment
really ^rb+emph+++=really
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
life ^nn++++=life.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
let ^vbd+++xvbnx+=let
herself ^ppl+pp3+++=herself
think ^vb+vprv+++=think
of ^in++++=of
how ^wrb+who+++=how
little ^ap++++=little
that ^dt+dem+++=that
all ^abn++++=all
was ^vbd+bedz+aux++=was
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
emptiness ^nns+nom+++=emptiness
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nns++++=people
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
to ^to+vcmp+++=to
comfort ^vbi++++=comfort
her ^pp$+pp3+++=her
used ^md"++pmd"++=used
to ^to++++=to
talk ^vb++++=talk
of ^in++++=of
how ^wrb+who+++=how
much ^rb++++=much
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
wonder ^vb++++=wonder
sometimes ^rb++++=sometimes
why ^wrb+who+++=why
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
talking ^vbg+++xvbgx+=talking
on ^rp++++=on
her ^pp3o+pp3+++=her
side ^nn++++=side
instead ^rb+cnj+++=instead
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own.
. ^zz++++=EXTRAWORD
For ^in++++=For
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
had ^vb+hv+aux++=had
much ^ap++++=much
does ^vbz+doz+aux++=does
that ^dt+dem+++=that
make ^nn++++=make
it ^pp3+it+++=it
easy ^jj++++=easy
to ^to+jcmp+++=to
get ^vbi++++=get
along ^in++++=along
with ^in"++++=with
nothing ^pn++++=nothing?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
because ^cs+cos+++=because
of ^in"++++=of
what ^wdt+who+++=what
Howie ^np++++=Howie
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
her ^pp$+pp3+++=her
and ^cc++++=and
for ^in++++=for
ten ^cd++++=ten
years ^nns++++=years!
! ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
just ^rb+emph+++=just
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
any ^dti++++=any
way ^nn++++=way
of ^in++++=of
going ^nn++++=going
on ^in++++=on
living ^nn++++=living
without ^in++++=without
Howie ^np++++=Howie!
! ^zz++++=EXTRAWORD
Tonight ^nr+tm+++=Tonight
made ^vbd+++xvbn+=made
fresh ^jj++++=fresh
all ^abn++++=all
her ^pp3o+pp3+++=her
wedding ^nn++++=wedding
anniversaries ^nns++++=anniversaries
brought ^vbd+++xvbn+=brought
happiness ^nns+nom+++=happiness
to ^in++++=to
life ^nn++++=life
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
almost ^rb+hdg+++=almost
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
so ^pn++++=so
near ^rb++++=near
the ^ati++++=the
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
warm ^jj+atrb+++=warm
things ^nns++++=things
in ^in++++=in
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
morning ^nn++++=morning
came ^vbd+++xvbn+=came
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
on ^in++++=on
the ^ati++++=the
train ^nn++++=train
that ^tht+rel+subj++=that
would ^md+prd+++=would
take ^vb++++=take
her ^pp$+pp3+++=her
back ^rp++++=back
to ^in++++=to
that ^dt+dem+++=that
house ^npl++++=house
to ^to++++=to
which ^whp+who+++=which
Howie ^np++++=Howie
would ^md+prd+++=would
never ^rb++splt++=never
come ^vb++++=come
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
more ^ql++++=more
it ^pp3+it+++=it
all ^abn++++=all
seemed ^jj+++xvbn+=seemed
slipping ^jj+++xvbg+=slipping
from ^in++++=from
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
must ^md+nec+++=must
be ^vb+be+vrb++=be
something ^pn++++=something.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
frightened ^jj+atrb++xvbn+=frightened
child ^nn++++=child
runs ^nns++++=runs
for ^in++++=for
home ^nr++++=home,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
to ^in++++=to
that ^dt+dem+++=that
place ^nn++++=place
where ^wrb+who+++=where
for ^in++++=for
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
moment ^nn++++=moment
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
if ^cs+cnd+++=if
Howie ^np++++=Howie
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
telegraph ^nn++++=telegraph
office ^nn++++=office
and ^cc++++=and
wired ^vbd+++xvbn+=wired
the ^ati++++=the
company ^nn++++=company
that ^tht+rel+subj++=that
sent ^vbd+++xvbn+=sent
out ^rp+pl+++=out
" ^zz++++="The
the ^ati++++=EXTRAWORD
Cross ^nn++++=Cross
of ^in++++=of
Diamonds ^nns++++=Diamonds,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asking ^vbg+vsua++xvbg+=asking
where ^wrb+who+whcl++=where
that ^dt+dem+++=that
film ^nn++++=film
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
way ^nn++++=way
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
known ^vprf++tht0+xvbnx+=known
nothing ^pn++++=nothing
about ^in++++=about
such ^abl++++=such
things ^nns++++=things
at ^rb++++=at
first ^rb"++++=first;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
hard ^jj++++=hard
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out
the ^ati++++=the
ways ^nns++++=ways
of ^in++++=of
doing ^nn++++=doing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
world ^nn++++=world
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
the ^ati++++=the
ways ^nns++++=ways
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
her ^pp$+pp3+++=her
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
" ^zz++++="The
the ^ati++++=EXTRAWORD
Cross ^nn++++=Cross
of ^in++++=of
Diamonds ^nns++++=Diamonds"
" ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+aux++=be
shown ^vpsv++agls+xvbnx+=shown
that ^tht+vcmp+++=that
night ^nn++++=night
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
hundred ^cd++++=hundred
miles ^nns++++=miles
away ^rp+pl+++=away
that ^cs+sub+++=that
it ^pp3+it+++=it
meant ^vbd+vprv++xvbn+=meant
going ^vbg+++xvbg+=going
that ^cs+sub+++=that
much ^ap++++=much
farther ^rbr++++=farther
away ^in+pl+++=away
from ^in"++++=from
home ^nr++++=home
she ^pp3a+pp3+++=she
told ^vbd+vpub+tht0+xvbnx+=told
herself ^ppl+pp3+++=herself
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
a ^at++++=a
thing ^nn++++=thing
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub+tht0+xvbnx+=told
herself ^ppl+pp3+++=herself
this ^dt+pdem+++=this
must ^md+nec+++=must
stop ^vb++++=stop
that ^dt+dem+++=that
her ^pp3o+pp3+++=her
brother ^npt++++=brother
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right
in ^in++++=in
the ^ati++++=the
things ^nns++++=things
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
against ^in++++=against
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
said ^vprf++tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
crazy ^jj+pred+++=crazy,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
was ^vbd+bedz+vrb++=was
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
or ^cc+phrs+++=or
feared ^vbd+++xvbn+=feared.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
him ^pp3o+pp3+++=him
she ^pp3a+pp3+++=she
would ^md+prd+++=would
try ^vb++++=try
to ^to+vcmp+++=to
stop ^vbi++++=stop.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
was ^vbd+bedz+vrb++=was
the ^ati++++=the
time ^nn++++=time
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it
now ^rn+tm+++=now
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^md"++pmd"++=have
to ^md+nec+++=to
go ^vb++++=go
so ^ql++++=so
much ^ap++++=much
farther ^rbr++++=farther
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
farther ^rbr++++=farther
away ^rp+pl+++=away
this ^dt+dem+++=this
glimpse ^nn++++=glimpse
of ^in++++=of
Howie ^np++++=Howie
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
of ^in++++=of
Howie ^np++++=Howie
was ^vbd+bedz+aux++=was
moving ^vbg+++xvbgx+=moving
away ^in+pl+++=away
from ^in"++++=from
her ^pp$+pp3+++=her!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
after ^in++++=after
the ^ati++++=the
disappointment ^nn+nom+++=disappointment
of ^in++++=of
the ^ati++++=the
night ^nn++++=night
before ^cs+sub+++=before
She ^pp3a+pp3+++=She
must ^md+nec+++=must
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
once ^rb+tm+++=once
more ^ql++++=more!
! ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
would ^md+prd+++=would
stop ^vb++++=stop.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
excited ^vpsv++agls+xvbnx+=excited
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
decided ^vprf+++xvbnx+=decided
to ^to+vcmp+++=to
do ^vbi++++=do
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
lifted ^vbd+++xvbn+=lifted
her ^pp$+pp3+++=her
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
nothingness ^nns+nom+++=nothingness.
. ^zz++++=EXTRAWORD
From ^in++++=From
this ^dt+dem+++=this
meager ^jjr+atrb+++=meager
thing ^nn++++=thing
her ^pp$+pp3+++=her
great ^jj++++=great
need ^vb++++=need
could ^md+pos+++=could
in ^in++++=in
a ^at++++=a
way ^nn++++=way
create ^vb++++=create
the ^ati++++=the
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
meet ^vb++++=meet
Howie ^np++++=Howie.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
more ^ql++++=more
she ^pp3a+pp3+++=she
would ^md+prd+++=would
see ^vb+vprv+tht0++=see
him ^pp3o+pp3+++=him
do ^vb+do+vrb++=do
that ^dt+dem+++=that
thing ^nn++++=thing
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
so ^ql++++=so
like ^vb++++=like
him ^pp3o+pp3+++=him
as ^in++++=as
to ^in"++++=to
bring ^vb++++=bring
him ^pp3o+pp3+++=him
back ^jjb++++=back
into ^in++++=into
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
should ^md+nec+++=should
she ^pp3a+pp3+++=she
turn ^nn++++=turn
from ^in++++=from
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
were ^vbd+bed+aux++=were
all ^abn++++=all
the ^ati++++=the
other ^ap++++=other
things ^nns++++=things
compared ^vbd+++xvbn+=compared
with ^in++++=with
this ^dt+dem+++=this
thing ^nn++++=thing?
? ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
little ^ap++++=little
flash ^nn++++=flash
of ^in++++=of
life ^nn++++=life
in ^in++++=in
a ^at++++=a
world ^nn++++=world
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased
to ^to++++=to
be ^vbi++vrb++=be
alive ^jj+pred+++=alive.
. ^zz++++=EXTRAWORD
So ^ql++++=So
again ^rb+tm+++=again
that ^cs+sub+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
clothes ^nns++++=clothes
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
most ^ql+emph+++=most
liked ^jj+++xvbn+=liked,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
for ^in+ppvb+++=for
that ^dt+dem+++=that
poor ^jj++++=poor
little ^ap++++=little
meeting ^jj+++xvbg+=meeting
with ^in++++=with
her ^pp$+pp3+++=her
husband ^nn++++=husband
so ^rb++++=so
pitifully ^rb++++=pitifully
little ^jj++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
so ^ql+emph+++=so
tremendous ^jj++++=tremendous
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
she ^pp3a+pp3+++=she
would ^md+prd+++=would
ever ^rb++++=ever
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
in ^in++++=in
a ^at++++=a
big ^jj+atrb+++=big,
, ^zz++++=EXTRAWORD
noisy ^jj+atrb+++=noisy
place ^nn++++=place
with ^in++++=with
many ^ap++++=many
jostling ^nvbg+++xvbg+=jostling,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing
people ^nns++++=people
and ^cc++++=and
waited ^vbd+++xvbn+=waited
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
Howie ^np++++=Howie.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
forgot ^vbd+vprv++xvbnx+=forgot
that ^tht+vcmp+++=that
the ^ati++++=the
place ^nn++++=place
had ^vb+hv+vrb++=had
ugly ^jj+atrb+++=ugly
red ^jj+atrb+++=red
walls ^nns++++=walls
and ^cc++++=and
sickly ^jj+atrb+++=sickly
green ^nn++++=green
lights ^nns++++=lights;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=could
somehow ^rb++splt++=somehow
separate ^nn+nom+++=separate
herself ^ppl+pp3+++=herself
from ^in++++=from
harsh ^jj+atrb+++=harsh
voices ^nns++++=voices
and ^cc++++=and
smells ^nns++++=smells
for ^in++++=for
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
here ^rn+pl+++=here
to ^to++++=to
meet ^vbi++++=meet
Howie ^np++++=Howie!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
just ^rb+emph+++=just
the ^ati++++=the
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
to ^to++++=to
sit ^vbi++++=sit
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
sat ^vprf+++xvbnx+=sat
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
as ^ql++++=as
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
from ^in++++=from
sight ^nn++++=sight!
! ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
always ^rb++splt++=always
come ^vprf+++xvbn+=come
very ^ql+amp+++=very
early ^jj++++=early.
. ^zz++++=EXTRAWORD
So ^ql++++=So
she ^pp3a+pp3+++=she
had ^md"++pmd"++=had
to ^md+nec+++=to
sit ^vb++++=sit
there ^rn+pl+++=there
while ^cs+sub+++=while
other ^ap++++=other
people ^nns++++=people
were ^vbd+bed+aux++=were
coming ^vbg+++xvbgx+=coming
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
much ^ap++++=much
mind ^vb++++=mind
that ^tht+vcmp+++=that;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
like ^in++++=like
sitting ^nn++++=sitting
in ^in++++=in
a ^at++++=a
crowded ^jj+atrb++xvbn+=crowded
railway ^nn++++=railway
station ^nn+nom+++=station
when ^wrb+who+++=when
the ^ati++++=the
person ^nn++++=person
you ^pp2+pp2+++=you
love ^nn++++=love
is ^vbz+bez+aux++=is
coming ^vbg+++xvbgx+=coming
soon ^rb+tm+++=soon.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
suddenly ^rb++++=suddenly
something ^pn++++=something
reached ^vbd+++xvbn+=reached
over ^in++++=over
that ^dt+dem+++=that
gulf ^npl++++=gulf
between ^in++++=between
other ^ap++++=other
people ^nns++++=people
and ^cc++++=and
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
A ^at++++=A
word ^nn++++=word.
. ^zz++++=EXTRAWORD
A ^at++++=A
terrible ^jj+atrb+++=terrible
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
her ^pp$+pp3+++=her
some ^dti++++=some
one ^cd1++++=one
said ^vbd+vpub++xvbn+=said
" ^zz++++="munitions."
munitions ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
put ^vbd+++xvbnx+=put
her ^pp$+pp3+++=her
hand ^nn++++=hand
to ^in++++=to
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
and ^cc++++=and
pressed ^vbd+++xvbn+=pressed
tight ^jj++++=tight.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
to ^to++++=to
see ^vbi+vprv+++=see.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
why ^wrb+who+++=why
she ^pp3a+pp3+++=she
had ^md"++pmd"++=had
to ^md+nec+++=to
keep ^vb++++=keep
coming ^vbg+++xvbg+=coming
for ^in+ppvb+++=for
this ^dt+dem+++=this
look ^nn++++=look
at ^rb++++=at
Howie ^np++++=Howie.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^md"++pmd"++=had
to ^md+nec+++=to
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
might ^md+pos+++=might
shut ^vb+++xvbn+=shut
out ^rb+phrv+++=out
that ^cs+sub+++=that
