I ^pp1a+pp1+++=I.
his ^pp$+pp3+++=his
master ^nn++++=master's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
treated ^vpsv++agls+xvbnx+=treated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
the ^ati++++=the
cook ^nn++++=cook
she ^pp3a+pp3+++=she
would ^md+prd+++=would
be ^vb+be+aux++=be
turned ^vpsv++agls+xvbnx+=turned
off ^in+pl+++=off
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
kinder ^jjr++++=kinder
to ^in++++=to
the ^ati++++=the
lad ^nn++++=lad.
. ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Dick ^np++++=Dick
had ^vb+hv+vrb++=had
an ^at++++=an
eas ^nns+++??+=eas-i-er
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
- ^zz++++=EXTRAWORD
er ^&fw++++=EXTRAWORD
time ^nn++++=time
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
troubles ^nns++++=troubles
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
over ^in++++=over
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
by ^in++++=by
any ^dti++++=any
means ^nn++++=means.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
bed ^nn++++=bed
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
garret ^nn+++??+=garret
at ^rb++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
rooms ^nns++++=rooms
where ^wrb+who+++=where
the ^ati++++=the
other ^ap++++=other
people ^nns++++=people
slept ^vbd+++xvbn+=slept.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
many ^ap++++=many
holes ^nns++++=holes
in ^in++++=in
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
night ^nn++++=night
a ^at++++=a
great ^jj+atrb+++=great
number ^nn++++=number
of ^in++++=of
rats ^nns++++=rats
and ^cc++++=and
mice ^nns++++=mice
came ^vbd+++xvbn+=came
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
tor ^nn++++=tor-ment-ed
- ^zz++++=EXTRAWORD
ment ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ed ^np++++=EXTRAWORD
Dick ^np++++=Dick
so ^ql++++=so
much ^ap++++=much,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
a ^at++++=a
gentleman ^nn+nom+++=gentleman
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
penny ^nn++++=penny
for ^in++++=for
cleaning ^xvbg+++xvbg+=cleaning
his ^pp$+pp3+++=his
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^vb++++=mind
that ^tht+vcmp+obj++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
buy ^vb++++=buy
a ^at++++=a
cat ^nn++++=cat
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ql+amp+++=very
next ^ap++++=next
morning ^nn++++=morning
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
a ^at++++=a
girl ^nn++++=girl
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
car ^nn++++=car-ry-ing
- ^zz++++=EXTRAWORD
ry ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ing ^jj+++xvbg+=EXTRAWORD
a ^at++++=a
cat ^nn++++=cat
in ^in++++=in
her ^pp$+pp3+++=her
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
penny ^nn++++=penny
for ^in++++=for
that ^dt+dem+++=that
cat ^nn++++=cat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
may ^md+pos+++=may
have ^vb+hv+vrb++=have
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj++++=good
mouser ^jjr++++=mouser
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dick ^np++++=Dick
hid ^vbd+++xvbn+=hid
his ^pp$+pp3+++=his
cat ^nn++++=cat
in ^in++++=in
the ^ati++++=the
garret ^nn+++??+=garret,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
day ^nn++++=day
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
a ^at++++=a
part ^nn++++=part
of ^in++++=of
his ^pp$+pp3+++=his
dinner ^nn++++=dinner
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
long ^rb++++=long
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
driven ^vprf+++xvbnx+=driven
all ^abn++++=all
the ^ati++++=the
rats ^nns++++=rats
and ^cc++++=and
mice ^nns++++=mice
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
Dick ^np++++=Dick
could ^md+pos+++=could
sleep ^vb++++=sleep
soundly ^rb++++=soundly
every ^at++++=every
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Iii ^np+++??+=III.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
Venture ^nn++++=VENTURE.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
time ^nn++++=time
after ^in++++=after
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
a ^at++++=a
ship ^nn++++=ship
that ^tht+rel+subj++=that
belonged ^vprf+++xvbn+=belonged
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Fitzwarren ^np++++=Fitzwarren
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
start ^vb++++=start
on ^in++++=on
a ^at++++=a
voyage ^nn++++=voyage
across ^in+pl+++=across
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
loaded ^vpsv++agls+xvbnx+=loaded
with ^in++++=with
goods ^nns++++=goods
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
sold ^vpsv++agls+xvbnx+=sold
in ^in++++=in
lands ^nns++++=lands
far ^rb+pl+++=far
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Fitzwarren ^np++++=Fitzwarren
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
give ^vbi++++=give
his ^pp$+pp3+++=his
servants ^nns+nom+++=servants
a ^at++++=a
chance ^nn++++=chance
for ^in++++=for
good ^jj+atrb+++=good
fortune ^nn++++=fortune
too ^ql++++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
all ^abn++++=all
of ^in++++=of
them ^pp3o+pp3+++=them
into ^in++++=into
the ^ati++++=the
parlor ^nn++++=parlor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
anything ^pn++++=anything
they ^pp3a+pp3+++=they
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
send ^vbi++++=send
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
ship ^nn++++=ship
for ^in++++=for
trade ^nn++++=trade.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
one ^cd1++++=one
had ^vb+hv+vrb++=had
something ^pn++++=something
to ^in++++=to
send, ^nn+++??+=send,--every
-- ^--+clp+++=EXTRAWORD
every ^at++++=EXTRAWORD
one ^cd1++++=one
but ^cc++++=but
Dick ^np++++=Dick;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
neither ^dt++neg++=neither
money ^nn++++=money
nor ^cc++neg++=nor
goods ^nns++++=goods,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
staid ^jj++++=staid
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vb++++=come
in ^in++++=in
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Alice ^np++++=Alice
guessed ^vbd+vprv++xvbn+=guessed
why ^wrb+who+whcl++=why
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
come ^vb++++=come,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
papa, ^nn+++??+=papa,-"Poor
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
poor ^jj+atrb+++=EXTRAWORD
Dick ^np++++=Dick
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
a ^at++++=a
chance ^nn++++=chance
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
some ^dti++++=some
money ^nn++++=money
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
purse ^nn++++=purse
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
may ^md+pos+++=may
put ^vbd+++xvbn+=put
in ^rb+phrv+++=in
for ^in++++=for
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
child ^nn++++=child!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Fitzwarren ^np++++=Fitzwarren.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must
risk ^vb++++=risk
something ^pn++++=something
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
very ^ql+amp+++=very
loud ^jj++++=loud,
, ^zz++++=EXTRAWORD
" ^zz++++="Here,
here ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Dick ^np++++=Dick!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
going ^md"++pmd"++=going
to ^md+prd+++=to
send ^vb++++=send
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
ship ^nn++++=ship?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dick ^np++++=Dick
heard ^vbd+vprv++xvbn+=heard
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vpsv++agls+xvbn+=came
into ^in+ppvb+++=into
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
a ^at++++=a
cat ^nn++++=cat
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
bought ^vbd+++xvbnx+=bought
some ^dti++++=some
time ^nn++++=time
ago ^rb++++=ago
for ^in++++=for
a ^at++++=a
penny ^nn++++=penny."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fetch
fetch ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lad ^nn++++=lad,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Fitzwarren ^np++++=Fitzwarren,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
let ^vb+++xvbn+=let
her ^pp$+pp3+++=her
go ^vb++++=go
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
knows ^vbz+vprv+++=knows
but ^cs+sub+++=but
that ^cs"++++=that
she ^pp3a+pp3+++=she
will ^md+prd+++=will
bring ^vb++++=bring
you ^pp2+pp2+++=you
some ^dti++++=some
profit ^nn++++=profit?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dick ^np++++=Dick,
, ^zz++++=EXTRAWORD
with ^in++++=with
tears ^nns++++=tears
in ^in++++=in
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
carried ^jj+atrb++xvbn+=carried
poor ^jj+atrb+++=poor
puss ^nns+++??+=puss
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
her ^pp$+pp3+++=her
to ^in++++=to
the ^ati++++=the
captain ^nn++++=captain.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
laughed ^vbd+++xvbn+=laughed
at ^in+ppvb+++=at
his ^pp$+pp3+++=his
queer ^jj+atrb+++=queer
venture ^nn++++=venture;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
little ^jj+atrb+++=little
Alice ^np++++=Alice
felt ^vbd+vprv++xvbn+=felt
sorry ^uh++++=sorry
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
money ^nn++++=money
to ^to++++=to
buy ^vbi++++=buy
another ^dt++++=another
cat ^nn++++=cat.
. ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cook ^nn++++=cook
was ^vbd+bedz+vrb++=was
worse ^jjr+pred+++=worse
than ^in++++=than
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
made ^vbd+++xvbnx+=made
fun ^nn++++=fun
of ^in++++=of
him ^pp3o+pp3+++=him
for ^in++++=for
sending ^xvbg+++xvbg+=sending
his ^pp$+pp3+++=his
cat ^nn++++=cat
to ^in++++=to
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
puss ^vbz+++??+=puss
will ^md+prd+++=will
sell ^vb++++=sell
for ^in++++=for
enough ^dt++++=enough
money ^nn++++=money
to ^to++++=to
buy ^vbi++++=buy
a ^at++++=a
stick ^nn++++=stick
to ^to++++=to
beat ^vbi++++=beat
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Dick ^np++++=Dick
could ^md+pos+++=could
not ^xnot++not++=not
stand ^nn++++=stand
her ^pp3o+pp3+++=her
abuse ^nn++++=abuse
any ^dti++++=any
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^nn++++=mind
to ^to++++=to
go ^vbi++++=go
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
home ^nr++++=home
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
country ^nn++++=country
town ^nn++++=town.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
on ^in++++=on
All ^abn++++=All-hal-lows
- ^zz++++=EXTRAWORD
hal ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
lows ^nns+++??+=EXTRAWORD
Day ^nn++++=Day,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
started ^vbd+++xvbnx+=started.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
the ^ati++++=the
place ^nn++++=place
called ^vbd+++xvbn+=called
Hol ^np+++??+=Hol-lo-way,
- ^zz++++=EXTRAWORD
lo ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
on ^in++++=on
a ^at++++=a
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
to ^in++++=to
this ^dt+dem+++=this
day ^nn++++=day
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
" ^zz++++="Whit-ting-ton's
whit-ting-ton ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
Stone ^nn++++=Stone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
there ^rn+pl+++=there
very ^ap+amp+++=very
sad ^jj++++=sad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wondering ^vbg+++xvbg+=wondering
which ^whp+who+++=which
way ^nn++++=way
he ^pp3a+pp3+++=he
should ^md+nec+++=should
go ^vb++++=go,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
bells ^nns++++=bells
on ^in++++=on
Bow ^nn++++=Bow
Church ^npl++++=Church,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
ringing ^vbg+++xvbg+=ringing
out ^rp+pl+++=out
a ^at++++=a
merry ^jj+atrb+++=merry
chime ^nn++++=chime.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
listened ^vbd+++xvbnx+=listened.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
to ^to+vcmp+++=to
him, ^vb+++??+=him,-"Turn
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
turn ^nn++++=EXTRAWORD
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
Whittington ^np+++??+=Whittington,
, ^zz++++=EXTRAWORD
Thrice ^rb++++=Thrice
Lord ^npt++++=Lord
Mayor ^nn++++=Mayor
of ^in++++=of
London ^np++++=London."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
put ^vb+++xvbn+=put
up ^rb+phrv+++=up
with ^in+ppvb+++=with
almost ^rb+hdg+++=almost
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
Lord ^npt++++=Lord
Mayor ^nn++++=Mayor
of ^in++++=of
London ^np++++=London
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
ride ^vbi++++=ride
in ^in++++=in
a ^at++++=a
fine ^jj+atrb+++=fine
coach ^nn++++=coach!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
will ^md+prd+++=will
go ^vb++++=go
back ^jjb++++=back
and ^cc++++=and
let ^vb+++xvbn+=let
the ^ati++++=the
old ^jj+atrb+++=old
cook ^nn++++=cook
cuff ^nn++++=cuff
and ^cc++++=and
scold ^nn+++??+=scold
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
she ^pp3a+pp3+++=she
pleases ^vbz++++=pleases."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dick ^np++++=Dick
did ^vbd+dod+aux++=did
go ^vb++++=go
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
lucky ^np++++=lucky
enough ^qlp++++=enough
to ^to++++=to
get ^vbi++++=get
into ^in+ppvb+++=into
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^vpsv++agls+xvbn+=set
about ^in+ppvb+++=about
his ^pp$+pp3+++=his
work ^nn++++=work,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
cook ^nn++++=cook
came ^vbd+++xvbn+=came
down ^rp++++=down-stairs
- ^zz++++=EXTRAWORD
stairs ^nns++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
break ^vb++++=break-fast.
- ^zz++++=EXTRAWORD
fast ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Iv ^np+++??+=IV.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
Cat ^nn++++=CAT.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Fitzwarren ^np++++=Fitzwarren's
's ^$++++=EXTRAWORD
ship ^nn++++=ship
made ^vbd+++xvbn+=made
a ^at++++=a
long ^jj+atrb+++=long
voyage ^nn++++=voyage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
reached ^vbd+++xvbn+=reached
a ^at++++=a
strange ^jj+atrb+++=strange
land ^nn++++=land
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nns++++=people
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
any ^dti++++=any
white ^jj+atrb+++=white
men ^nns++++=men
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
in ^in++++=in
great ^jj+atrb+++=great
crowds ^nns++++=crowds
to ^to++++=to
buy ^vbi++++=buy
the ^ati++++=the
fine ^jj+atrb+++=fine
things ^nns++++=things
with ^in++++=with
which ^whp+rel+pied++=which
the ^ati++++=the
ship ^nn++++=ship
was ^vbd+bedz+aux++=was
loaded ^vpsv++agls+xvbnx+=loaded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^npt++++=captain
wanted ^vbd+++xvbn+=wanted
very ^ql+amp+++=very
much ^ap++++=much
to ^in++++=to
trade ^nn++++=trade
with ^in++++=with
the ^ati++++=the
king ^nn++++=king
of ^in++++=of
the ^ati++++=the
country ^nn++++=country;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
long ^rb++++=long
before ^cs+sub+++=before
the ^ati++++=the
king ^npt++++=king
sent ^vbd+++xvbn+=sent
word ^nn++++=word
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
come ^vbi++++=come
to ^in++++=to
the ^ati++++=the
palace ^nn++++=palace
and ^cc++++=and
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^nn++++=captain
did ^vbd+dod+vrb++=did
so ^rb++++=so.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
shown ^vpsv++agls+xvbnx+=shown
into ^in++++=into
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
given ^jj+++xvbn+=given
a ^at++++=a
seat ^nn++++=seat
on ^in++++=on
a ^at++++=a
rich ^jj+atrb+++=rich
carpet ^nn++++=carpet
all ^abn++++=all
flow ^nn++++=flow-ered
- ^zz++++=EXTRAWORD
ered ^jj+++xvbn+=EXTRAWORD
with ^in++++=with
silver ^nn++++=silver
and ^cc++++=and
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
king ^nn++++=king
and ^cc++++=and
