Everybody ^pn++++=EVERYBODY
, ^zz++++=EXTRAWORD
the ^ati++++=the
chairs ^nns++++=chairs
and ^cc++++=and
tables ^nns++++=tables
of ^in++++=of
black ^jj++++=black-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
wood ^npl++++=wood
with ^in++++=with
thin ^jj+atrb+++=thin
crooked ^jj+atrb+++=crooked
legs ^nns++++=legs
and ^cc++++=and
puppy ^nn+++??+=puppy
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mantelpieces ^nns+++??+=mantelpieces
are ^vb+ber+vrb++=are
wide ^jj+pred+++=wide
and ^cc+phrs+++=and
high ^jj++++=high,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
not ^xnot++not++=not
only ^rb+down+++=only
time ^vb++++=time-pieces
- ^zz++++=EXTRAWORD
pieces ^nns++++=EXTRAWORD
and ^cc++++=and
cabbages ^nns+nom+++=cabbages
sculptured ^jj++++=sculptured
over ^in++++=over
the ^ati++++=the
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
real ^jj+atrb+++=real
time ^nn++++=time-piece,
- ^zz++++=EXTRAWORD
piece ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
makes ^vbz++++=makes
a ^at++++=a
prodigious ^jj+atrb+++=prodigious
ticking ^nvbg+++xvbg+=ticking,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
in ^in++++=in
the ^ati++++=the
middle ^jjb++++=middle,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
flower ^nn++++=flower-pot
- ^zz++++=EXTRAWORD
pot ^vb++++=EXTRAWORD
containing ^vbg+++xvbg+=containing
a ^at++++=a
cabbage ^nn+nom+++=cabbage
standing ^vwbg+++xvbg+=standing
on ^in++++=on
each ^dt++++=each
extremity ^nn+nom+++=extremity
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
outrider ^jjr++++=outrider.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
each ^dt++++=each
cabbage ^nn+nom+++=cabbage
and ^cc++++=and
the ^ati++++=the
time ^nn++++=time-piece,
- ^zz++++=EXTRAWORD
piece ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^rb++++=a
little ^rb"++++=little
China ^np++++=China
man ^nn++++=man
having ^vwbg+hvg++xvbg+=having
a ^at++++=a
large ^jj+atrb+++=large
stomach ^nn++++=stomach
with ^in++++=with
a ^at++++=a
great ^nn++++=great
round ^in++++=round
hole ^nn++++=hole
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
through ^in++++=through
which ^whp+rel+pied++=which
is ^vbz+bez+aux++=is
seen ^vpsv++agls+xvbnx+=seen
the ^ati++++=the
dial ^vb++++=dial-plate
- ^zz++++=EXTRAWORD
plate ^nn++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
watch ^nn++++=watch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fireplaces ^nns++++=fireplaces
are ^vb+ber+vrb++=are
large ^jj+pred+++=large
and ^cc+phrs+++=and
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
with ^in++++=with
fierce ^jj++++=fierce
crooked ^jj++++=crooked-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
fire ^nn++++=fire-dogs.
- ^zz++++=EXTRAWORD
dogs ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
constantly ^rb++++=constantly
a ^at++++=a
rousing ^jj+atrb++xvbg+=rousing
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
huge ^nn++++=huge
pot ^vb++++=pot
over ^in++++=over
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
sauer ^jjr++++=sauer-kraut
- ^zz++++=EXTRAWORD
kraut ^nn+++??+=EXTRAWORD
and ^cc++++=and
pork ^nn++++=pork,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
the ^ati++++=the
good ^jj+atrb+++=good
woman ^nn++++=woman
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
is ^vbz+bez+vrb++=is
always ^rb++++=always
busy ^jj+pred+++=busy
in ^in++++=in
attending ^nn++++=attending.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
a ^rb++++=a
little ^rb"++++=little
fat ^jj+atrb+++=fat
old ^jj+atrb+++=old
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
with ^in++++=with
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes
and ^cc++++=and
a ^at++++=a
red ^jj+atrb+++=red
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wears ^vbz++++=wears
a ^at++++=a
huge ^jj+atrb+++=huge
cap ^nn++++=cap
like ^in++++=like
a ^at++++=a
sugar ^nn++++=sugar-loaf,
- ^zz++++=EXTRAWORD
loaf ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ornamented ^j+++xvbn+=ornamented
with ^in++++=with
purple ^nn++++=purple
and ^cc++++=and
yellow ^jj+atrb+++=yellow
ribbons ^nns++++=ribbons.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
dress ^nn++++=dress
is ^vbz+bez+vrb++=is
of ^in++++=of
orange ^nn++++=orange-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
linsey ^nn+++??+=linsey-woolsey,
- ^zz++++=EXTRAWORD
woolsey ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
very ^ql+amp+++=very
full ^jj++++=full
behind ^in+pl+++=behind
and ^cc++++=and
very ^ql+amp+++=very
short ^jj++++=short
in ^in++++=in
the ^ati++++=the
waist ^nn++++=waist
- ^zz++++=-and
and ^cc++++=EXTRAWORD
indeed ^qlp++++=indeed
very ^ql+amp+++=very
short ^jj++++=short
in ^in++++=in
other ^ap++++=other
respects ^nns++++=respects,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
reaching ^vbg+++xvbg+=reaching
below ^rb++++=below
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
her ^pp$+pp3+++=her
leg ^nn++++=leg.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
somewhat ^rb+down+++=somewhat
thick ^jj+pred+++=thick,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
are ^vb+ber+vrb++=are
her ^pp$+pp3+++=her
ankles ^nns++++=ankles,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
a ^at++++=a
fine ^jj+atrb+++=fine
pair ^nn++++=pair
of ^in++++=of
green ^jj+atrb+++=green
stockings ^nns++++=stockings
to ^to++++=to
cover ^vbi++++=cover
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
shoes ^nns++++=shoes
- ^zz++++=-of
of ^in++++=EXTRAWORD
pink ^jj+atrb+++=pink
leather ^nn++++=leather
- ^zz++++=-are
are ^vb+ber+aux++=EXTRAWORD
fastened ^vpsv++agls+xvbnx+=fastened
each ^ppls++++=each
with ^in++++=with
a ^at++++=a
bunch ^nn++++=bunch
of ^in++++=of
yellow ^jj+atrb+++=yellow
ribbons ^nns++++=ribbons
puckered ^vbd+++xvbn+=puckered
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
a ^at++++=a
cabbage ^nn+nom+++=cabbage.
. ^zz++++=EXTRAWORD
In ^in++++=In
her ^pp$+pp3+++=her
left ^vbd+++xvbn+=left
hand ^nn++++=hand
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
a ^rb++++=a
little ^rb"++++=little
heavy ^jj+atrb+++=heavy
Dutch ^nn++++=Dutch
watch ^vb++++=watch;
; ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
right ^jj++++=right
she ^pp3a+pp3+++=she
wields ^vbz++++=wields
a ^at++++=a
ladle ^nn+++??+=ladle
for ^in++++=for
the ^ati++++=the
sauerkraut ^nn+++??+=sauerkraut
and ^cc++++=and
pork ^nn++++=pork.
. ^zz++++=EXTRAWORD
By ^in++++=By
her ^pp$+pp3+++=her
side ^nn++++=side
there ^ex+pex+++=there
stands ^vbz++++=stands
a ^at++++=a
fat ^nn++++=fat
tabby ^jj+atrb+++=tabby
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
gilt ^jj+atrb+++=gilt
toy ^nn++++=toy-repeater
- ^zz++++=EXTRAWORD
repeater ^jjr++++=EXTRAWORD
tied ^jj+++xvbn+=tied
to ^in++++=to
its ^pp$+it+++=its
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
" ^zz++++="the
the ^ati++++=EXTRAWORD
boys ^nns++++=boys"
" ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
there ^ex+pex+++=there
fastened ^vpsv++by+xvbn+=fastened
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
a ^at++++=a
quiz ^nn++++=quiz.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boys ^nns++++=boys
themselves ^ppls+pp3+++=themselves
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
all ^abn++++=all
three ^cd++++=three
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
garden ^nn++++=garden
attending ^vwbg+++xvbg+=attending
the ^ati++++=the
pig ^nn++++=pig.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
each ^dt++++=each
two ^cd++++=two
feet ^nns++++=feet
in ^in++++=in
height ^nn++++=height.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+vrb++=have
three ^cd++++=three-cornered
- ^zz++++=EXTRAWORD
cornered ^vbd+++xvbn+=EXTRAWORD
cocked ^jj+atrb++xvbn+=cocked
hats ^nns++++=hats,
, ^zz++++=EXTRAWORD
purple ^jj+atrb+++=purple
waistcoats ^nns+++??+=waistcoats
reaching ^vwbg+++xvbg+=reaching
down ^rp++++=down
to ^in++++=to
their ^pp$+pp3+++=their
thighs ^nns++++=thighs,
, ^zz++++=EXTRAWORD
buckskin ^nn+++??+=buckskin
knee ^nn++++=knee-breeches,
- ^zz++++=EXTRAWORD
breeches ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
stockings ^nns++++=stockings,
, ^zz++++=EXTRAWORD
heavy ^jj+atrb+++=heavy
shoes ^nns++++=shoes
with ^in++++=with
big ^jj+atrb+++=big
silver ^nn++++=silver
buckles ^nns++++=buckles,
, ^zz++++=EXTRAWORD
long ^rb++++=long
surtout ^nn+++??+=surtout
coats ^nns++++=coats
with ^in++++=with
large ^jj+atrb+++=large
buttons ^nns++++=buttons
of ^in++++=of
mother ^nn++++=mother-of-pearl.
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pearl ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Each ^dt++++=Each,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
pipe ^nn++++=pipe
in ^in++++=in
his ^pp$+pp3+++=his
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
dumpy ^nn+++??+=dumpy
watch ^vb++++=watch
in ^in++++=in
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
takes ^vbz++++=takes
a ^at++++=a
puff ^vb++++=puff
and ^cc++++=and
a ^at++++=a
look ^nn++++=look,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
a ^at++++=a
look ^nn++++=look
and ^cc++++=and
a ^at++++=a
puff ^nn++++=puff.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pigwhich ^nn+++??+=pigwhich
is ^vbz+bez+vrb++=is
corpulent ^jj+pred+++=corpulent
and ^cc+phrs+++=and
lazy ^jj++++=lazy
- ^zz++++=-is
is ^vbz+bez+aux++=EXTRAWORD
occupied ^vpsv++agls+xvbnx+=occupied
now ^rn+tm+++=now
in ^in++++=in
picking ^xvbg+++xvbg+=picking
up ^rp++++=up
the ^ati++++=the
stray ^vb++++=stray
leaves ^nns++++=leaves
that ^tht+rel+obj++=that
fall ^nn++++=fall
from ^in++++=from
the ^ati++++=the
cabbages ^nns+nom+++=cabbages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
in ^in++++=in
giving ^xvbg+++xvbg+=giving
a ^at++++=a
kick ^nn++++=kick
behind ^in+pl+++=behind
at ^rb++++=at
the ^ati++++=the
gilt ^jj++++=gilt
repeater ^jjr++++=repeater,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
urchins ^nns+++??+=urchins
have ^vb+hv+aux++=have
also ^rb++splt++=also
tied ^vprf+++xvbnx+=tied
to ^in++++=to
his ^pp$+pp3+++=his
tail ^nn++++=tail
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
make ^vb++++=make
him ^pp3o+pp3+++=him
look ^vb++++=look
as ^ql++++=as
handsome ^jj++++=handsome
as ^in++++=as
the ^ati++++=the
cat ^nn++++=cat.
. ^zz++++=EXTRAWORD
Right ^jj++++=Right
at ^rb++++=at
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
high ^jj++++=high-backed
- ^zz++++=EXTRAWORD
backed ^vbd+++xvbn+=EXTRAWORD
leather ^nn++++=leather-bottomed
- ^zz++++=EXTRAWORD
bottomed ^vbd+++xvbn+=EXTRAWORD
armed ^vbd+++xvbn+=armed
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
with ^in++++=with
crooked ^jj+atrb+++=crooked
legs ^nns++++=legs
and ^cc++++=and
puppy ^nn+++??+=puppy
feet ^nns++++=feet
like ^in++++=like
the ^ati++++=the
tables ^nns++++=tables,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
seated ^vpsv++agls+xvbnx+=seated
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
house ^npl++++=house
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
an ^at++++=an
exceedingly ^rb++++=exceedingly
puffy ^vb++++=puffy
little ^jj+atrb+++=little
old ^jj+atrb+++=old
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
with ^in++++=with
big ^jj+atrb+++=big
circular ^jj+atrb+++=circular
eyes ^nns++++=eyes
and ^cc++++=and
a ^at++++=a
huge ^jj+atrb+++=huge
double ^jj+atrb+++=double
chin ^nn++++=chin.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
dress ^nn++++=dress
resembles ^vbz++++=resembles
that ^cs+sub+++=that
of ^in++++=of
the ^ati++++=the
boys ^nns++++=boys
- ^zz++++=-and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
need ^nn++++=need
say ^vb+vpub+tht0++=say
nothing ^pn++++=nothing
farther ^rbr++++=farther
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
difference ^nn+nom+++=difference
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
is ^vbz+bez+vrb++=is
somewhat ^rb+down+++=somewhat
bigger ^jjr+pred+++=bigger
than ^in++++=than
theirs ^pp$$++++=theirs
and ^cc++++=and
he ^pp3a+pp3+++=he
can ^md+pos+++=can
make ^vb++++=make
a ^at++++=a
greater ^jjr+atrb+++=greater
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
a ^at++++=a
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
carries ^vbz++++=carries
his ^pp$+pp3+++=his
watch ^nn++++=watch
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
To ^to++++=To
say ^vbi+vpub+++=say
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
something ^pn++++=something
of ^in++++=of
more ^rbr++++=more
importance ^nn+nom+++=importance
than ^in++++=than
a ^at++++=a
watch ^vb++++=watch
to ^to+vcmp+++=to
attend ^vbi++++=attend
to ^to++++=to
- ^zz++++=-and
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
presently ^rb+tm+splt++=presently
explain ^vb+vpub+++=explain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sits ^vbz++++=sits
with ^in++++=with
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
leg ^nn++++=leg
upon ^in++++=upon
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
knee ^nn++++=knee,
, ^zz++++=EXTRAWORD
wears ^vbz++++=wears
a ^at++++=a
grave ^nn++++=grave
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
keeps ^vbz++++=keeps
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
resolutely ^rb++++=resolutely
bent ^jj+++xvbn+=bent
upon ^in++++=upon
a ^at++++=a
certain ^jj+atrb+++=certain
remarkable ^jj+atrb+++=remarkable
object ^nn++++=object
in ^in++++=in
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
plain ^nn++++=plain.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
object ^nn++++=object
is ^vbz+bez+aux++=is
situated ^vpsv++agls+xvbnx+=situated
in ^in++++=in
the ^ati++++=the
steeple ^nn++++=steeple
of ^in++++=of
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Town ^nn++++=Town
Council ^nn++++=Council.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Town ^nn++++=Town
Council ^nn++++=Council
are ^vb+ber+vrb++=are
all ^abn++++=all
very ^ql+amp+++=very
little ^ap++++=little,
, ^zz++++=EXTRAWORD
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
oily ^jj+atrb+++=oily,
, ^zz++++=EXTRAWORD
intelligent ^jj+atrb+++=intelligent
men ^nns++++=men,
, ^zz++++=EXTRAWORD
with ^in++++=with
big ^jj+atrb+++=big
saucer ^nn++++=saucer
eyes ^nns++++=eyes
and ^cc++++=and
fat ^nn++++=fat
double ^jj+atrb+++=double
chins ^nns+++??+=chins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
their ^pp$+pp3+++=their
coats ^nns++++=coats
much ^ap++++=much
longer ^rbr++++=longer
and ^cc++++=and
their ^pp$+pp3+++=their
shoe ^nn++++=shoe-buckles
- ^zz++++=EXTRAWORD
buckles ^nns++++=EXTRAWORD
much ^ap++++=much
bigger ^jjr++++=bigger
than ^in++++=than
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
Vondervotteimittiss ^np+++??+=Vondervotteimittiss.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
my ^pp$+pp1+++=my
sojourn ^nn++++=sojourn
in ^in++++=in
the ^ati++++=the
borough ^nn++++=borough,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
several ^ap++++=several
special ^jj+atrb+++=special
meetings ^nns++++=meetings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
adopted ^vprf+++xvbnx+=adopted
these ^dt+dem+++=these
three ^cd++++=three
important ^jj+atrb+++=important
resolutions ^nns+nom+++=resolutions:
: ^zz++++=EXTRAWORD
" ^zz++++="That
that ^cs+sub+++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
wrong ^jj+pred+++=wrong
to ^to+jcmp+++=to
alter ^vbi++++=alter
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
course ^nn++++=course
of ^in++++=of
things ^nns++++=things:"
: ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
tolerable ^jj++++=tolerable
out ^rp+pl+++=out
of ^in++++=of
Vondervotteimittiss ^np+++??+=Vondervotteimittiss:"
: ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and"that ^nn+++??+=and"That
we ^pp1a+pp1+++=we
will ^md+prd+++=will
stick ^vb++++=stick
by ^in+ppvb+++=by
our ^pp$+pp1+++=our
clocks ^nns++++=clocks
and ^cc++++=and
our ^pp$+pp1+++=our
cabbages ^nns+nom+++=cabbages."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
the ^ati++++=the
session ^nn++++=session-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Council ^nn++++=Council
is ^vbz+bez+vrb++=is
the ^ati++++=the
steeple ^nn++++=steeple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
steeple ^nn++++=steeple
is ^vbz+bez+vrb++=is
the ^ati++++=the
belfry ^nn++++=belfry,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
exists ^vbz++++=exists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+aux++=has
existed ^vprf+++xvbnx+=existed
time ^nn++++=time
out ^rp+pl+++=out
of ^in++++=of
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pride ^nn++++=pride
and ^cc++++=and
wonder ^nn++++=wonder
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
- ^zz++++=-the
the ^ati++++=EXTRAWORD
great ^jj+atrb+++=great
clock ^nn++++=clock
of ^in++++=of
the ^ati++++=the
borough ^nn++++=borough
of ^in++++=of
Vondervotteimittiss ^np+++??+=Vondervotteimittiss.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
object ^nn++++=object
to ^to++++=to
which ^whp+who+++=which
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
gentlemen ^nns++++=gentlemen
are ^vb+ber+aux++=are
turned ^vpsv++agls+xvbnx+=turned
who ^whp+who+++=who
sit ^vb++++=sit
in ^in++++=in
the ^ati++++=the
leather ^nn++++=leather-bottomed
- ^zz++++=EXTRAWORD
bottomed ^jj+atrb++xvbn+=EXTRAWORD
arm ^nn++++=arm-chairs.
- ^zz++++=EXTRAWORD
chairs ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
clock ^nn++++=clock
has ^vbz+hvz+vrb++=has
seven ^cd++++=seven
faces ^nns++++=faces
- ^zz++++=-one
one ^pn++++=EXTRAWORD
in ^in++++=in
each ^dt++++=each
of ^in++++=of
the ^ati++++=the
seven ^cd++++=seven
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
steeple ^np++++=steeple
- ^zz++++=-so
so ^ql++++=EXTRAWORD
that ^cs+sub+++=that
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
readily ^rb++splt++=readily
seen ^vpsv++agls+xvbnx+=seen
from ^in++++=from
all ^abn++++=all
quarters ^nns+nom+++=quarters.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
faces ^nns++++=faces
are ^vb+ber+vrb++=are
large ^jj+pred+++=large
and ^cc+phrs+++=and
white ^jj++++=white,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
hands ^nns++++=hands
heavy ^jj++++=heavy
and ^cc++++=and
black ^nn++++=black.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
belfry ^nn++++=belfry-man
- ^zz++++=EXTRAWORD
man ^nn++++=EXTRAWORD
whose ^whp+rel+obj++=whose
sole ^jjb+atrb+++=sole
duty ^nn++++=duty
is ^vbz+bez+aux++=is
to ^to++++=to
attend ^vbi++++=attend
to ^in++++=to
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
duty ^nn++++=duty
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
perfect ^vb++++=perfect
of ^in++++=of
sinecures ^nns+++??+=sinecures
- ^zz++++=-for
for ^in++++=EXTRAWORD
the ^ati++++=the
clock ^nn++++=clock
of ^in++++=of
Vondervotteimittis ^np+++??+=Vondervotteimittis
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
yet ^rb++++=yet
known ^vwbn+vprv++xvbn+=known
to ^to+vcmp+++=to
have ^vbi++vrb++=have
anything ^pn++++=anything
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Until ^in++++=Until
lately ^rb+cnj+++=lately,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bare ^jj+atrb+++=bare
supposition ^nn+nom+++=supposition
of ^in++++=of
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
heretical ^jj++++=heretical.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
remotest ^jjt+atrb+++=remotest
period ^nn++++=period
of ^in++++=of
antiquity ^nn+nom+++=antiquity
to ^to++++=to
which ^whp+who+++=which
the ^ati++++=the
archives ^nn++++=archives
have ^vb+hv+vrb++=have
reference ^nn+nom+++=reference,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hours ^nns++++=hours
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
regularly ^rb++splt++=regularly
struck ^vpsv++by+xvbn+=struck
by ^in++++=by
the ^ati++++=the
big ^jj+atrb+++=big
bell ^nn++++=bell.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed
the ^ati++++=the
