Speaking ^vbg+++xvbg+=SPEAKING
particular ^jj+atrb+++=particular
hearts ^nns++++=hearts',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
stomachs ^nns++++=stomachs',
', ^nn+++??+=EXTRAWORD
desires ^nns++++=desires
American ^jj+atrb+++=American
cloth ^nn++++=cloth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beads ^nns++++=beads,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pocketknives ^nns++++=pocketknives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Worcester ^np+nom+++=Worcester
sauce ^nn++++=sauce,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Liverpool ^np++++=Liverpool
trade ^nn++++=trade
gin ^nn++++=gin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rifles ^nns++++=rifles
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
shoot ^vb++++=shoot
and ^cc++++=and
similar ^jj+atrb+++=similar
truck ^nn++++=truck.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
them ^pp3o+pp3+++0='em
brown ^jj++++=brown
whenever ^nn+nom+++=whenever
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
half ^abn++++=half
a ^at++++=a
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
guess ^vb++++=guess
they ^pp3a+pp3+++=they
returned ^vbd+++xvbnx+=returned
the ^ati++++=the
compliment ^nn+nom+++=compliment.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
mutual ^jj+atrb+++=mutual
respect ^nn++++=respect
for ^in++++=for
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
scared ^jj+++xvbn+=scared
of ^in++++=of
them ^pp3o+pp3+++=them
not ^xnot++not++=not
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
As ^ql++++=As
soon ^rb+tm+++=soon
as ^ql++++=as
I ^pp1a+pp1+++=I
discovered ^vbd+vprv++xvbnx+=discovered
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
Fangs ^np+++??+=Fangs
had ^vbd+hvd+aux++=had
stampeded ^vprf+++xvbnx+=stampeded,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
stock ^nn++++=stock
of ^in++++=of
my ^pp$+pp1+++=my
belongings ^nns++++=belongings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
not ^xnot++not++=not
taken ^vbd+++xvbn+=taken
much ^ap++++=much
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
except ^in++++=except
the ^ati++++=the
little ^ap++++=little
waterproofed ^jj+++xvbn+=waterproofed
pack ^vb++++=pack
which ^whp+who+++=which
contained ^vbd+++xvbn+=contained
my ^pp$+pp1+++=my
toilet ^nn++++=toilet
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
mirror ^nn++++=mirror
and ^cc++++=and
razor ^nn++++=razor
and ^cc++++=and
shaving ^nvbg+++xvbg+=shaving-brush
- ^zz++++=EXTRAWORD
brush ^nn++++=EXTRAWORD
and ^cc++++=and
comb ^nn++++=comb
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
Struck ^j+++xvbn+=Struck
me ^pp1o+pp1+++=me
as ^in++++=as
funny ^nn++++=funny
at ^in++++=at
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
myself ^ppl+pp1+++=myself
that ^cs+sub+++=that
those ^dt+dem+++=those
Fangs ^np+++??+=Fangs
were ^vbd+bed+aux++=were
fools ^nns++++=fools
damned ^vbd+++xvbn+=damned
fools ^nns++++=fools.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
might ^md+pos+++=might
have ^vb+hv+aux++=have
helped ^vprf+++xvbnx+=helped
themselves ^ppls+pp3+++=themselves
to ^in++++=to
some ^dti++++=some
of ^in++++=of
my ^pp$+pp1+++=my
other ^ap++++=other
packs ^nns++++=packs
as ^ql++++=as
easy ^jj++++=easy
as ^in++++=as
pie ^nn++++=pie.
. ^zz++++=EXTRAWORD
Food ^nn++++=Food,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
beads ^nns++++=beads,
, ^zz++++=EXTRAWORD
all ^abn++++=all
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
God ^np++++=God
only ^rb+down+++=only
knows ^vbz+vprv+++=knows.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
before ^cs+sub+++=before
that ^dt+dem+++=that
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
half ^abn++++=half
children ^nns++++=children
and ^cc++++=and
half ^abn++++=half
apes ^nns+++??+=apes.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
good ^jj+atrb+++=good
laugh ^nn++++=laugh
at ^rb++++=at
their ^pp$+pp3+++=their
expense ^nn++++=expense.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
laugh ^nn++++=laugh
much ^ap++++=much
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=THERE
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
crawling ^nvbg+++xvbg+=crawling,
, ^zz++++=EXTRAWORD
stinking ^vbg+++xvbg+=stinking
heart ^nn++++=heart
of ^in++++=of
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
all ^abn++++=all
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
cheerful ^jj++++=cheerful
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
For ^in++++=For
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
businessman ^nn+nom+++=businessman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
myself ^ppl+pp1+++=myself
that ^cs+sub+++=that
those ^dt+dem+++=those
fool ^jjb+atrb+++=fool
negroes ^nns+++??+=negroes
had ^vbd+hvd+aux++=had
saved ^vprf+++xvbnx+=saved
me ^pp1o+pp1+++=me
a ^at++++=a
tidy ^jj++++=tidy
little ^ap++++=little
penny ^nn++++=penny
by ^in++++=by
bolting ^xvbg+++xvbg+=bolting,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
owed ^vbd+++xvbnx+=owed
them ^pp3o+pp3+++=them
a ^at++++=a
month ^nn++++=month's
's ^$++++=EXTRAWORD
wages ^nns++++=wages.
. ^zz++++=EXTRAWORD
Too ^rb+cnj+++=Too,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
well ^rb++++=well
supplied ^vbd+++xvbn+=supplied
with ^in++++=with
everything ^pn++++=everything
a ^at++++=a
fellow ^jjb+atrb+++=fellow
needs ^nns++++=needs
in ^in++++=in
the ^ati++++=the
wilderness ^nns+nom+++=wilderness,
, ^zz++++=EXTRAWORD
from ^in++++=from
quinine ^nn+++??+=quinine
to ^in++++=to
matches ^nns++++=matches,
, ^zz++++=EXTRAWORD
from ^in++++=from
tabloid ^nn+++??+=tabloid
beef ^nn++++=beef
to ^to++++=to
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
tabloid ^nn+++??+=tabloid
fish ^nns++++=fish
cakes ^nns++++=cakes.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
health ^nn++++=health,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
occasional ^jj++++=occasional,
, ^zz++++=EXTRAWORD
woozy ^nn+++??+=woozy
fever ^nn++++=fever
spats ^nns+++??+=spats
they ^pp3a+pp3+++=they
being ^vbg+beg++xvbg+=being
part ^nn++++=part
of ^in++++=of
Africa ^np++++=Africa's
's ^$++++=EXTRAWORD
eternal ^jj+atrb+++=eternal
scenery ^nn+nom+++=scenery
and ^cc++++=and
accepted ^jj+++xvbn+=accepted
as ^ql++++=as
such ^abl++++=such
was ^vbd+bedz+vrb++=was
first ^od++++=first-rate,
- ^zz++++=EXTRAWORD
rate ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
canoe ^nn+++??+=canoe
a ^at++++=a
snug ^jj++++=snug,
, ^zz++++=EXTRAWORD
comfy ^vb++++=comfy
little ^jj+atrb+++=little
affair ^nn++++=affair
that ^tht+rel+subj++=that
pulled ^vwbn+++xvbn+=pulled
as ^ql++++=as
easy ^jj++++=easy
as ^in++++=as
a ^at++++=a
feather ^nn++++=feather.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
decided ^vbd+vprv++xvbnx+=decided
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
just ^rb+emph+++=just
drift ^nn++++=drift
along ^in++++=along
down ^rp++++=down
the ^ati++++=the
Ogowe ^np+++??+=Ogowe
River ^nn++++=River
to ^in++++=to
the ^ati++++=the
estuary ^nn+nom+++=estuary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
hurry ^np++++=hurry
not ^xnot++not++=not
a ^at++++=a
darned ^jj+atrb+++=darned
bit ^nn++++=bit
of ^in++++=of
hurry ^nn++++=hurry.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ogowe ^np+++??+=Ogowe
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
treacherous ^jj+atrb+++=treacherous
water ^nn++++=water;
; ^zz++++=EXTRAWORD
the ^ati++++=the
channel ^nn++++=channel
is ^vbz+bez+aux++=is
clearly ^rb++splt++=clearly
marked ^vpsv++agls+xvbnx+=marked
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mangroves ^nns+++??+=mangroves
sit ^vb++++=sit
rather ^rb++++=rather
well ^rb++++=well
back ^rp++++=back
like ^in++++=like
hair ^nn++++=hair
on ^in++++=on
the ^ati++++=the
brow ^nn++++=brow
of ^in++++=of
a ^at++++=a
professional ^jj+atrb+++=professional
patriot ^nn+++??+=patriot,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?
? ^zz++++=EXTRAWORD
As ^in++++=As
to ^in++++=to
the ^ati++++=the
pack ^nn++++=pack
with ^in++++=with
my ^pp$+pp1+++=my
toilet ^nn++++=toilet
articles ^nns++++=articles?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
it ^pp3+it+++=it
matter ^nn++++=matter?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=weren't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
women ^nns++++=women
kicking ^vwbg+++xvbg+=kicking
around ^in++++=around
loose ^jj++++=loose
in ^cs+sub+++=in
that ^cs"++++=that
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
Dark ^jj+atrb+++=Dark
Continent ^nn++++=Continent
to ^in++++=to
care ^nn++++=care
or ^cc++++=or
fuss ^nn++++=fuss
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
long ^rb++++=long
or ^cc++++=or
short ^jj++++=short,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
complexion ^nn++++=complexion
smooth ^jj++++=smooth
or ^cc+phrs+++=or
stubbly ^jj++++=stubbly,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
fingernails ^nns++++=fingernails
round ^in++++=round
or ^cc++++=or
square ^nn++++=square.
. ^zz++++=EXTRAWORD
Blessed ^jj+atrb++xvbn+=Blessed
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
independent ^jj+pred+++=independent
of ^in++++=of
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
outer ^jjb+atrb+++=outer
man ^nn++++=man,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
repeat ^nn++++=repeat,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
cheerful ^jj+pred+++=cheerful
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
seconds ^nns++++=seconds,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=BUT,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
immediately ^rb+cnj+++=immediately,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
cheerfulness ^nns+nom+++=cheerfulness
was ^vbd+bedz+aux++=was
faked ^vpsv++agls+xvbnx+=faked
faked ^vpsv++by+xvbn+=faked
by ^in++++=by
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
subconsciously ^rb+cnj+++=subconsciously,
, ^zz++++=EXTRAWORD
for ^in++++=for
my ^pp$+pp1+++=my
own ^ap++++=own,
, ^zz++++=EXTRAWORD
private ^jj+atrb+++=private,
, ^zz++++=EXTRAWORD
especial ^jj+atrb+++=especial
benefit ^nn++++=benefit;
; ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
immediately ^rb+cnj+++=immediately,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sensed ^vbd+vprv++xvbnx+=sensed
that ^tht+vcmp+++=that
vague ^jj+atrb+++=vague,
, ^zz++++=EXTRAWORD
crushing ^jj+atrb++xvbg+=crushing
presentiment ^nn+nom+++=presentiment
of ^in++++=of
coming ^xvbg+++xvbg+=coming
disaster ^nn+nom+++=disaster
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
about ^rb++++=about
and ^cc++++=and
my ^pp$+pp1+++=my
nerves ^nns++++=nerves
began ^vbd+++xvbn+=began
to ^to++++=to
jump ^vbi++++=jump
sideways ^jjb++++=sideways
and ^cc+phrs+++=and
backward ^jj++++=backward,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
whisky ^nn++++=whisky-primed
- ^zz++++=EXTRAWORD
primed ^jj+++xvbn+=EXTRAWORD
Highland ^np++++=Highland
Scot ^np++++=Scot
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
hears ^vbz+vprv+++=hears
the ^ati++++=the
whir ^nn++++=whir
of ^in++++=of
the ^ati++++=the
war ^nn++++=war
pipes ^nns++++=pipes.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
sensible ^jj++++=sensible
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
imaginative ^jj++++=imaginative,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
crystallize ^vbi++++=crystallize
my ^pp$+pp1+++=my
nervous ^jj+atrb+++=nervous
presentiment ^nn+nom+++=presentiment.
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Couldn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
too ^ql++++=too
subtle ^jj++++=subtle,
, ^zz++++=EXTRAWORD
too ^ql++++=too
elusive ^jj++++=elusive
too ^ql++++=too
damned ^jj+++xvbn+=damned
African ^jj++++=African,
, ^zz++++=EXTRAWORD
to ^to++++=to
put ^vbi++++=put
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
proverbial ^jj+atrb+++=proverbial
nutshell ^nn+++??+=nutshell.
. ^zz++++=EXTRAWORD
All ^abn++++=All
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
of ^in++++=of
was ^vbd+bedz+vrb++=was
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
half ^abn++++=half-feeling
- ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
it ^pp3+it+++=it
before ^cs+sub+++=before
and ^cc++++=and
since ^cs+sub+++=since
that ^dt+dem+++=that
Africa ^np++++=Africa
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
continent ^nn++++=continent,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
a ^at++++=a
being ^nvbg+++xvbg+=being,
, ^zz++++=EXTRAWORD
a ^at++++=a
sinister ^jj++++=sinister,
, ^zz++++=EXTRAWORD
hateful ^jj++++=hateful,
, ^zz++++=EXTRAWORD
cruel ^jj++++=cruel,
, ^zz++++=EXTRAWORD
brooding ^nn++++=brooding
monster ^nn+nom+++=monster,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
heart ^nn++++=heart
and ^cc++++=and
soul ^nn++++=soul
and ^cc++++=and
desires ^nns++++=desires
rotten ^jj+atrb+++=rotten
desires ^nns++++=desires,
, ^zz++++=EXTRAWORD
mostly ^rb++++=mostly
and ^cc++++=and
that ^tht+vcmp+++=that
this ^dt+dem+++=this
Africa ^np++++=Africa
hated ^vbd+++xvbn+=hated
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
white ^jj+pred+++=white,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
an ^at++++=an
interloper ^jjr++++=interloper,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
business ^nns+nom+++=business
there ^rn+pl+++=there
except ^cs+sub+++=except
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
dollars ^nns++++=dollars
and ^cc++++=and
cents ^nns++++=cents.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
A ^at++++=A
mass ^nn++++=mass
of ^in++++=of
rocks ^nns++++=rocks
and ^cc++++=and
rivers ^nns++++=rivers
and ^cc++++=and
forests ^nns++++=forests
and ^cc++++=and
jungles ^nns+++??+=jungles,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
the ^ati++++=the
physical ^jj++++=physical,
, ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
spiritual ^jj+atrb+++=spiritual
attributes ^nns++++=attributes
of ^in++++=of
man ^nn++++=man
and ^cc++++=and
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
brood ^vb++++=brood
on ^in+ppvb+++=on
that ^dt+dem+++=that
thought ^nn+++xvbn+=thought
until ^in++++=until
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
dreams ^nps++++=dreams,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
like ^in++++=like
taking ^xvbg+++xvbg+=taking
Africa ^np++++=Africa
by ^in++++=by
the ^ati++++=the
throat ^nn++++=throat
and ^cc++++=and
throttling ^nn+nom+++=throttling
it ^pp3+it+++=it
as ^ql++++=as
I ^pp1a+pp1+++=I
would ^md+prd+++=would
an ^at++++=an
enemy ^nn++++=enemy.
. ^zz++++=EXTRAWORD
Silly ^jj++++=Silly,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
needed ^vbd+++xvbnx+=needed
Africa ^np++++=Africa
for ^in++++=for
the ^ati++++=the
benefit ^nn++++=benefit
of ^in++++=of
my ^pp$+pp1+++=my
bank ^nn++++=bank-account
- ^zz++++=EXTRAWORD
account ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
encouragement ^nn+nom+++=encouragement
of ^in++++=of
my ^pp$+pp1+++=my
creditors ^nns++++=creditors.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
crystallize ^vb++++=crystallize
that ^dt+pdem+++=that
damned ^vbd+++xvbn+=damned,
, ^zz++++=EXTRAWORD
sneaking ^jj+atrb+++=sneaking,
, ^zz++++=EXTRAWORD
ghastly ^jj+atrb+++=ghastly
presentiment ^nn+nom+++=presentiment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
even ^rb++++=even
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
that ^tht+rel+obj++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
lie ^nn++++=lie,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
myself ^ppl+pp1+++=myself:
: ^zz++++=EXTRAWORD
" ^zz++++="Fever,
fever ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man!
! ^zz++++=EXTRAWORD
Go ^vb++++=Go
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+vrb++=do
the ^ati++++=the
regular ^jj+atrb+++=regular
thing ^nn++++=thing!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dosed ^vbd+++xvbnx+=dosed
myself ^ppl+pp1+++=myself
with ^in++++=with
quinine ^nn+++??+=quinine
and ^cc++++=and
Warburg ^np++++=Warburg's
's ^$++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
wee ^jj+atrb+++=wee
nip ^nn++++=nip
of ^in++++=of
three ^cd++++=three-star
- ^zz++++=EXTRAWORD
star ^nn++++=EXTRAWORD
just ^rb+emph+++=just
to ^in++++=to
top ^jjb++++=top
it ^pp3+it+++=it
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
packed ^vbd+++xvbnx+=packed
my ^pp$+pp1+++=my
canoe ^nn+++??+=canoe
with ^in++++=with
a ^at++++=a
fairly ^rb++++=fairly
steady ^jj+atrb+++=steady
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
jumped ^j+++xvbn+=jumped
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
balanced ^j+++xvbn+=balanced
it ^pp3+it+++=it
and ^cc++++=and
pushed ^vpsv++agls+xvbn+=pushed
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
gliding ^vbg+++xvbg+=gliding
between ^in++++=between
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Ogowe ^np+++??+=Ogowe
River ^nn++++=River.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=REMEMBER
my ^pp$+pp1+++=my
telling ^jj+++xvbg+=telling
you ^pp2+pp2+++=you
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
intended ^vprf+++xvbnx+=intended
drifting ^jj+++xvbg+=drifting
along ^in++++=along
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
no ^at++++=no
hurry ^np++++=hurry?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
ll ^nn+++??+=ll,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moment ^nn++++=moment
my ^pp$+pp1+++=my
paddle ^nn++++=paddle
fanned ^vbd+++xvbn+=fanned
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reconsidered ^vbd+++xvbnx+=reconsidered,
, ^zz++++=EXTRAWORD
subconsciously ^rb++++=subconsciously.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
decided ^vbd+vprv++xvbnx+=decided,
, ^zz++++=EXTRAWORD
again ^rb+tm+++=again
subconsciously ^rb+cnj+++=subconsciously,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
devil ^nn++++=devil
of ^in++++=of
a ^at++++=a
hurry ^nn++++=hurry,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
must ^md+nec+++=must
get ^vb++++=get
away ^rb+phrv+++=away
from ^in"++++=from
the ^ati++++=the
hinterland ^nn++++=hinterland,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Congo ^np++++=Congo,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
whole ^nn++++=whole
