Mrs ^npt++++=Mrs.
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
dug ^vprf+++xvbnx+=dug
it ^pp3+it+++=it
out ^rp+pl+++=out
with ^in++++=with
their ^pp$+pp3+++=their
sharp ^jj+atrb+++=sharp,
, ^zz++++=EXTRAWORD
strong ^jj+atrb+++=strong
bills ^nns++++=bills,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
it ^pp3+it+++=it
roomy ^jj++++=roomy
at ^in++++=at
the ^ati++++=the
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaving ^vbg+++xvbg+=leaving
a ^at++++=a
doorway ^nn++++=doorway
at ^in++++=at
the ^ati++++=the
top ^jjb++++=top
just ^rb+emph+++=just
large ^jj++++=large
enough ^dt++++=enough
for ^in++++=for
them ^pp3o+pp3+++=them
to ^to++++=to
pass ^vbi++++=pass
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
Part ^nn++++=Part
of ^in++++=of
the ^ati++++=the
chips ^nns++++=chips
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
away ^rb+cnj+++=away,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
the ^ati++++=the
broken ^jj+++xvbn+=broken
shells ^nps++++=shells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
part ^nn++++=part
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left
in ^in++++=in
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
hollow ^nn++++=hollow
for ^in++++=for
the ^ati++++=the
children ^nns++++=children
to ^to++++=to
lie ^vbi++++=lie
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
in ^in++++=in
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
bed ^nn++++=bed
for ^in++++=for
children ^nns++++=children,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
father ^nn++++=father
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Nice
nice ^jj+atrb+++=EXTRAWORD
soft ^jj+atrb+++=soft
chips ^nns++++=chips
are ^vb+ber+vrb++=are
far ^rb+pl+++=far
better ^jjr+pred+++=better."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
Woodpecker ^np+nom++??+=Woodpecker
children ^nns++++=children
liked ^vbd+++xvbn+=liked
the ^ati++++=the
chips ^nns++++=chips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
played ^vpsv++agls+xvbn+=played
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pretended ^vbd+vprv++xvbn+=pretended
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
grubs ^nns+++??+=grubs
to ^to++++=to
be ^vbi+vbi+aux++=be
caught ^vpsv++agls+xvbnx+=caught
with ^in++++=with
their ^pp$+pp3+++=their
long ^jj+atrb+++=long
and ^cc+phrs+++=and
bony ^jj+atrb+++=bony
tongues ^nns++++=tongues;
; ^zz++++=EXTRAWORD
only ^rb+down+++=only
of ^in+emph+++=of
course ^nn+emph"+++=course
they ^pp3a+pp3+++=they
never ^rb++++=never
swallowed ^vbd+++xvbn+=swallowed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
exciting ^jj+atrb+++=exciting
time ^nn++++=time
when ^wrb+who+++=when
their ^pp$+pp3+++=their
feathers ^nns+nom+++=feathers
began ^vbd+++xvbn+=began
to ^to++++=to
grow ^vbi++++=grow.
. ^zz++++=EXTRAWORD
Until ^cs+sub+++=Until
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
clothed ^vpsv++agls+xvbnx+=clothed
in ^in++++=in
down ^in+strn+++=down;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
the ^ati++++=the
tiny ^jj+atrb+++=tiny
quills ^nns++++=quills
came ^vbd+++xvbn+=came
pricking ^jj+++xvbg+=pricking
through ^in++++=through
their ^pp$+pp3+++=their
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^rb+emph+++=so
pleasant ^jj++++=pleasant
to ^to+jcmp+++=to
snuggle ^vb+++??+=snuggle
up ^in+cmpx+++=up
to ^in"++++=to
each ^dt++++=each
other ^ap++++=other
as ^ql++++=as
it ^pp3+it+++=it
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eldest ^nn++++=eldest
of ^in++++=of
the ^ati++++=the
family ^nn++++=family
began ^vbd+++xvbn+=began
to ^to++++=to
show ^vbi+vprv+++=show
a ^at++++=a
great ^jj+atrb+++=great
fault ^nn++++=fault.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
vain ^jj++++=vain.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
imagine ^vb+vprv+++=imagine
how ^wrb+who+whcl++=how
sorry ^uh++++=sorry
his ^pp$+pp3+++=his
parents ^nns++++=parents
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
morning ^nn++++=morning
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
awakened ^vbd+++xvbnx+=awakened
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
first ^od++++=first
of ^in++++=of
all ^abn++++=all
at ^rb++++=at
his ^pp$+pp3+++=his
feathers ^nns+nom+++=feathers.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
on ^in++++=on
his ^pp$+pp3+++=his
breast ^nn++++=breast
were ^vbd+bed+vrb++=were
white ^jj+pred+++=white,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
white ^jj+atrb+++=white
band ^nn++++=band
on ^in++++=on
his ^pp$+pp3+++=his
wings ^nns++++=wings.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
tail ^nn++++=tail
and ^cc++++=and
back ^jjb++++=back
and ^cc++++=and
nearly ^rb+down+++=nearly
the ^ati++++=the
whole ^nn++++=whole
of ^in++++=of
his ^pp$+pp3+++=his
wings ^nns++++=wings
were ^vbd+bed+vrb++=were
blue ^jj+pred+++=blue-black.
- ^zz++++=EXTRAWORD
black ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
head ^nn++++=head,
, ^zz++++=EXTRAWORD
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
throat ^nn++++=throat
were ^vbd+bed+vrb++=were
crimson ^nn+++??+=crimson.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
feathers ^nns+nom+++=feathers
were ^vbd+bed+aux++=were
growing ^vbg+++xvbgx+=growing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
colors ^nns++++=colors
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
very ^ql+amp+++=very
bright ^jj++++=bright,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
down ^in++++=down
was ^vbd+bedz+aux++=was
mixed ^vpsv++agls+xvbnx+=mixed
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
quills ^nns++++=quills
showed ^vbd+vprv++xvbn+=showed
so ^rb++++=so
plainly ^rb++++=plainly
that ^cs+sub+++=that
the ^ati++++=the
young ^jj+atrb+++=young
birds ^nns++++=birds
looked ^vbd+++xvbn+=looked
rather ^rb++++=rather
streaked ^vbd+++xvbn+=streaked.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sisters ^nns+nom+++=sisters
were ^vbd+bed+aux++=were
getting ^vbg+++xvbgx+=getting
their ^pp$+pp3+++=their
new ^jj+atrb+++=new
suits ^nns++++=suits
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
as ^ql++++=as
much ^ap++++=much
reason ^nn++++=reason
why ^wrb+who+++=why
they ^pp3a+pp3+++=they
should ^md+nec+++=should
be ^vb+be+vrb++=be
vain ^jj+pred+++=vain,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
glad ^jj+pred+++=glad
( ^zz++++=(as
as ^cs+sub+++=EXTRAWORD
who ^whp+who+++=who
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be?)
? ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
they ^pp3a+pp3+++=they
often ^rb++++=often
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
each ^dt++++=each
other ^ap++++=other:
: ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
pretty ^rb++++=pretty
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
growing ^vbg+++xvbgx+=growing!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
looked ^vbd+++xvbnx+=looked
exactly ^rb++++=exactly
like ^in++++=like
their ^pp$+pp3+++=their
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
with ^in++++=with
the ^ati++++=the
Woodpeckers ^nns+nom++??+=Woodpeckers
as ^in++++=as
with ^in"++++=with
many ^ap++++=many
other ^ap++++=other
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sons ^nns++++=sons
and ^cc++++=and
daughters ^nns+nom+++=daughters
are ^vb+ber+aux++=are
dressed ^vpsv++agls+xvbnx+=dressed
in ^in++++=in
precisely ^rb++++=precisely
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
the ^ati++++=the
vain ^jj+atrb+++=vain
young ^jj+atrb+++=young
Woodpecker ^np+nom++??+=Woodpecker,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
many ^ap++++=many
troubles ^nns++++=troubles.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
contented ^jj++++=contented
to ^to++++=to
let ^vbi++++=let
his ^pp$+pp3+++=his
feathers ^nns+nom+++=feathers
grow ^vb++++=grow
as ^in++++=as
the ^ati++++=the
grass ^nn++++=grass
and ^cc++++=and
the ^ati++++=the
leaves ^nns++++=leaves
grow ^vb++++=grow,
, ^zz++++=EXTRAWORD
without ^in++++=without
watching ^nn++++=watching.
. ^zz++++=EXTRAWORD
No ^at++++=No
indeed ^qlp++++=indeed!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
each ^dt++++=each
one ^cd1++++=one
every ^at++++=every
day ^nn++++=day
and ^cc++++=and
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
times ^nns++++=times
every ^at++++=every
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
grow[pg ^jj+++??+=grow[Pg
47]ing ^cd++++=47]ing
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
they ^pp3a+pp3+++=they
should ^md+nec+++=should,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
worried ^vbd+vprv++xvbnx+=worried
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
hurry ^vbi++++=hurry
them ^pp3o+pp3+++=them
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb+cnj+++=sometimes,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
his ^pp$+pp3+++=his
sisters ^nns+nom+++=sisters
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
looking ^vbg+++xvbgx+=looking,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
hold ^nn++++=hold
of ^in++++=of
them ^pp3o+pp3+++=them
with ^in++++=with
his ^pp$+pp3+++=his
bill ^nn++++=bill
and ^cc++++=and
pulled ^jj+++xvbn+=pulled.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
this ^dt+pdem+++=this
did ^vbd+dod+aux++=did
not ^xnot++not++=not
make ^vb++++=make
them ^pp3o+pp3+++=them
grow ^vb++++=grow
any ^dti++++=any
faster ^rbr++++=faster
and ^cc++++=and
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
make ^vb++++=make
his ^pp$+pp3+++=his
skin ^nn++++=skin
very ^ql+amp+++=very
sore ^jj++++=sore,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
how ^wrb+who+whq++=how
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
to ^to++++=to
know ^vbi+vprv+++=know?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
shell ^nn++++=shell
long ^rb++++=long
enough ^qlp++++=enough
to ^to++++=to
be ^vbi++vrb++=be
wise ^jj+pred+++=wise.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
troubled ^vbd+++xvbn+=troubled
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
his ^pp$+pp3+++=his
red ^jj+atrb+++=red
feathers ^nns+nom+++=feathers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
twisted ^vbd+++xvbnx+=twisted
his ^pp$+pp3+++=his
head ^jjb++++=head
this ^dt+dem+++=this
way ^nn++++=way
and ^cc++++=and
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strained ^vbd+++xvbn+=strained
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
ached ^vbd+++xvbnx+=ached,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
his ^pp$+pp3+++=his
own ^ap++++=own
head ^nn++++=head
and ^cc++++=and
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
annoying ^nvbg+++xvbg+=annoying.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
much ^ap++++=much
nicer ^jjr++++=nicer
to ^in++++=to
have ^vbi++vrb++=have
the ^ati++++=the
brightest ^jjt+atrb+++=brightest
feathers ^nns+nom+++=feathers
in ^in++++=in
a ^at++++=a
fellow ^jjb+atrb+++=fellow's
's ^vbz+bez+vrb++0=EXTRAWORD
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^in++++=at
any ^dti++++=any
rate ^nn++++=rate
on ^in++++=on
his ^pp$+pp3+++=his
breast ^nn++++=breast;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
asked ^vbd+vsua+tht0+xvbnx+=asked
his ^pp$+pp3+++=his
mother ^nn++++=mother
why ^wrb+who+++=why
it ^pp3+it+++=it
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
so ^rb++++=so.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
once ^rb+tm+++=once
knew ^vbd+vprv++xvbn+=knew
a ^at++++=a
young ^jj+atrb+++=young
Woodpecker ^np+nom++??+=Woodpecker,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="who
who ^whp+who+++=EXTRAWORD
thought ^vbd+++xvbn+=thought
of ^in++++=of
very ^ql+amp+++=very
little ^ap++++=little
but ^cc++++=but
his ^pp$+pp3+++=his
own ^ap++++=own
beauty ^nn++++=beauty.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid
that ^tht+jcmp+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
wear ^vb++++=wear
his ^pp$+pp3+++=his
red ^jj+atrb+++=red
feathers ^nns+nom+++=feathers
in ^in++++=in
his ^pp$+pp3+++=his
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
never ^rb++++=never
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
anything ^pn++++=anything
else ^rb+cnj+++=else
in ^in++++=in
this ^dt+dem+++=this
wonderful ^jj+atrb+++=wonderful
great ^jj+atrb+++=great
world ^nn++++=world,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
just ^rb+emph+++=just
his ^pp$+pp3+++=his
own ^ap++++=own
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
tail ^nn++++=tail."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
doorway ^nn++++=doorway
as ^ql++++=as
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
meant ^vbd+vprv++xvbnx+=meant
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
went ^vbd+++xvbn+=went
on ^in++++=on
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way
until ^cs+sub+++=until
the ^ati++++=the
children ^nns++++=children
were ^vbd+bed+vrb++=were
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
fly ^vbi++++=fly.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
daily ^jj+atrb+++=daily
lessons ^nns++++=lessons
in ^in++++=in
flying ^xvbg+++xvbg+=flying,
, ^zz++++=EXTRAWORD
alighting ^vbg+++xvbg+=alighting,
, ^zz++++=EXTRAWORD
clinging ^vbg+++xvbg+=clinging
to ^in++++=to
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tapping ^vbg+++xvbg+=tapping
for ^in++++=for
food ^nn++++=food
on ^in++++=on
the ^ati++++=the
bark ^nn++++=bark
of ^in++++=of
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
learned ^vbd+vprv++xvbnx+=learned,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
to ^to++++=to
support ^vbi++++=support
themselves ^ppls+pp3+++=themselves
with ^in++++=with
their ^pp$+pp3+++=their
stiff ^jj+atrb+++=stiff
tails ^nns++++=tails
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
walking ^vbg+++xvbgx+=walking
up ^rp++++=up
trees ^nns++++=trees
or ^cc++++=or
stopping ^nvbg+++xvbg+=stopping
to ^to++++=to
eat ^vbi++++=eat
with ^in++++=with
their ^pp$+pp3+++=their
claws ^nns++++=claws
hooked ^vbd+++xvbn+=hooked
into ^in++++=into
the ^ati++++=the
bark ^nn++++=bark.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Red ^np++++=Red-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
Woodpecker ^np+nom++??+=Woodpecker
taught ^vwbn+vsua++xvbn+=taught
them ^pp3o+pp3+++=them
how ^wrb+who+++=how
to ^to++++=to
tell ^vbi++++=tell
the ^ati++++=the
ripest ^jjt+atrb+++=ripest
and ^cc+phrs+++=and
sweetest ^jjt+atrb+++=sweetest
fruit ^nn++++=fruit
on ^in++++=on
the ^ati++++=the
trees ^nns++++=trees
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
tasted ^vprf+++xvbn+=tasted
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
something ^pn++++=something
many ^ap++++=many
people ^nns++++=people
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
forest ^nn++++=forest
secret ^nn++++=secret,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
bird ^nn++++=bird
will ^md+prd+++=will
tell ^vb++++=tell
anyone ^pn++++=anyone
who ^whp+who+++=who
cannot ^md+pos+not++=cannot
fly ^vb++++=fly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
back ^jjb++++=back
from ^in++++=from
an ^at++++=an
orchard ^nn++++=orchard
one ^cd1++++=one
day ^nn++++=day,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
vain ^jj+atrb+++=vain
young ^jj+atrb+++=young
Woodpecker ^np+nom++??+=Woodpecker
stopped ^vbd+++xvbn+=stopped
to ^to++++=to
talk ^vbi++++=talk
with ^in++++=with
an ^at++++=an
old ^jj+atrb+++=old
Gray ^np++++=Gray
Squirrel.[pg ^np+++??+=Squirrel.[Pg
49 ^cd++++=49]
] ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
be ^vb+be+vrb++=be
that ^tht+vcmp+++=that
the ^ati++++=the
Gray ^np++++=Gray
Squirrel ^np++++=Squirrel's
's ^$++++=EXTRAWORD
sight ^nn++++=sight
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
good ^jj++++=good,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
he ^pp3a+pp3+++=he
mistook ^vbd+++xvbnx+=mistook
the ^ati++++=the
Woodpecker ^np+nom++??+=Woodpecker
for ^in++++=for
quite ^abl++++=quite
another ^ppls++++=another
fellow ^jjb++++=fellow.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
speaking ^vbg+++xvbgx+=speaking
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
tree ^nn++++=tree
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
the ^ati++++=the
last ^jj+atrb+++=last
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
believe ^vb+vprv+++=believe
a ^at++++=a
family ^nn++++=family
of ^in++++=of
Red ^jj++++=Red-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
Woodpeckers ^nns+nom++??+=Woodpeckers
live ^vb++++=live
there ^rn+pl+++=there
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
met ^vprf+++xvbnx+=met
them ^pp3o+pp3+++=them
once ^rb+tm+++=once
or ^cc+phrs+++=or
twice ^rb++++=twice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother
are ^vb+ber+vrb++=are
fine ^jj+atrb+++=fine
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
charming ^jj+atrb++xvbg+=charming
daughters ^nns+nom+++=daughters,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
son ^nn++++=son
must ^md+nec+++=must
be ^vb+be+vrb++=be
a ^at++++=a
great ^jj+atrb+++=great
trial ^nn++++=trial
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
silly ^jj+atrb+++=silly
fellows ^nns++++=fellows
who ^whp+rel+subj++=who
see ^vb+vprv+++=see
the ^ati++++=the
world ^nn++++=world
through ^in++++=through
their ^pp$+pp3+++=their
own ^ap++++=own
feathers ^nns+nom+++=feathers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
young ^jj++++=young
Red ^jj++++=Red-headed
