Money ^nn++++=Money
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
blew ^vbd+++xvbnx+=blew
me ^pp1o+pp1+++=me
for ^in++++=for
wine ^nn++++=wine
the ^ati++++=the
next ^ap++++=next
evening ^nn++++=evening
in ^in++++=in
a ^at++++=a
Broadway ^np++++=Broadway
restaurant ^nn+nom+++=restaurant;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
really ^rb+emph+++=really
felt ^vbd+vprv++xvbn+=felt
as ^ql++++=as
glad ^jj++++=glad
to ^to+jcmp+++=to
get ^vbi++++=get
back ^rb+phrv+++=back
again ^rb+tm+++=again
as ^in++++=as
an ^at++++=an
Astor ^np+++??+=Astor
does ^vbz+doz+vrb++=does
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
sees ^vbz+vprv+++=sees
the ^ati++++=the
lights ^nns++++=lights
of ^in++++=of
Charing ^np++++=Charing
Cross ^nn++++=Cross.
. ^zz++++=EXTRAWORD
A ^at++++=A
tainted ^jj+++xvbn+=tainted
ten ^cd++++=ten
certainly ^rb++++=certainly
does ^vbz+doz+aux++=does
get ^vb++++=get
action ^nn++++=action
on ^in++++=on
Broadway ^np++++=Broadway.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
alimony ^nn+++??+=alimony
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vbd+++xvbn+=got
folded ^vwbn+++xvbn+=folded
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
dogskin ^jj+atrb++??+=dogskin
purse ^nn++++=purse
among ^in++++=among
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
dimes ^nns+++??+=dimes.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
bragging ^vbg+++xvbgx+=bragging
about ^in++++=about
the ^ati++++=the
busy ^jj+atrb+++=busy
times ^nns++++=times
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
in ^in++++=in
Ossining ^np+++??+=Ossining
whenever ^nn+nom+++=whenever
three ^cd++++=three
girls ^nns++++=girls
got ^vbd+++xvbn+=got
hold ^nn++++=hold
of ^in++++=of
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
during ^in++++=during
the ^ati++++=the
ice ^nn++++=ice
cream ^nn++++=cream
season ^nn++++=season.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
Slow ^jj+atrb+++=Slow
Moving ^jj+atrb++xvbg+=Moving
Vehicles ^nns++++=Vehicles
Keep ^vb++++=Keep
to ^in+ppvb+++=to
the ^ati++++=the
Right ^nn++++=Right
for ^in++++=for
the ^ati++++=the
little ^jj+atrb+++=little
Bok ^np+++??+=Bok
tips ^nns++++=tips
when ^wrb+who+++=when
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
way ^nn++++=way
we ^pp1a+pp1+++=we
bison ^nn+++??+=bison
plasters ^nns+nom+++=plasters
refuse ^vb++++=refuse
to ^to+vcmp+++=to
stick ^vbi++++=stick
to ^in++++=to
anything ^pn++++=anything
during ^in++++=during
the ^ati++++=the
rush ^nn++++=rush
lobster ^nn+nom+++=lobster
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
I ^pp1a+pp1+++=I
ever ^rb++++=ever
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
tainted ^jj+atrb++xvbn+=tainted
money ^nn++++=money
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
night ^nn++++=night
when ^wrb+who+++=when
a ^at++++=a
good ^jj+atrb+++=good
thing ^nn++++=thing
with ^in++++=with
a ^at++++=a
Van ^nn++++=Van
to ^in++++=to
his ^pp$+pp3+++=his
name ^nn++++=name
threw ^vbd+++xvbn+=threw
me ^pp1o+pp1+++=me
over ^in++++=over
with ^in++++=with
some ^dti++++=some
other ^ap++++=other
bills ^nns++++=bills
to ^to++++=to
buy ^vbi++++=buy
a ^at++++=a
stack ^nn++++=stack
of ^in++++=of
blues ^nn++++=blues.
. ^zz++++=EXTRAWORD
About ^in++++=About
midnight ^nn++++=midnight
a ^at++++=a
big ^jj++++=big,
, ^zz++++=EXTRAWORD
easy ^jj++++=easy-going
- ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=EXTRAWORD
man ^nn++++=man
with ^in++++=with
a ^at++++=a
fat ^nn++++=fat
face ^nn++++=face
like ^in++++=like
a ^at++++=a
monk ^nn++++=monk's
's ^$++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
eye ^nn++++=eye
of ^in++++=of
a ^at++++=a
janitor ^nn++++=janitor
with ^in++++=with
his ^pp$+pp3+++=his
wages ^nns++++=wages
raised ^vbd+++xvbn+=raised
took ^vbd+++xvbn+=took
me ^pp1o+pp1+++=me
and ^cc++++=and
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
other ^ap++++=other
notes ^nns++++=notes
and ^cc++++=and
rolled ^jj+++xvbn+=rolled
us ^pp1o+pp1+++=us
into ^in++++=into
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
termed ^vpsv++agls+xvbnx+=termed
a ^at++++=a
" ^zz++++="wad"
wad ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
money ^nn++++=money
tainters ^nns+nom+++=tainters.
. ^zz++++=EXTRAWORD
" ^zz++++="Ticket
ticket ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me
for ^in++++=for
five ^cd++++=five
hundred ^cd++++=hundred,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
to ^in++++=to
the ^ati++++=the
banker ^nn++++=banker,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
look ^vb++++=look
out ^rb+phrv+++=out
for ^in+ppvb+++=for
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
Charlie ^np++++=Charlie.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
out ^rb+phrv+++=out
for ^in+ppvb+++=for
a ^at++++=a
stroll ^nn++++=stroll
in ^in++++=in
the ^ati++++=the
glen ^np++++=glen
before ^in++++=before
the ^ati++++=the
moonlight ^nn++++=moonlight
fades ^nns+++??+=fades
from ^in++++=from
the ^ati++++=the
brow ^nn++++=brow
of ^in++++=of
the ^ati++++=the
cliff ^nn++++=cliff.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
anybody ^pn++++=anybody
finds ^vbz+vprv+++=finds
the ^ati++++=the
roof ^nn++++=roof
in ^in++++=in
their ^pp$+pp3+++=their
way ^nn++++=way
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
$ ^zz++++=$60,000
60,000 ^cd++++=EXTRAWORD
wrapped ^vwbn+++xvbn+=wrapped
in ^in++++=in
a ^at++++=a
comic ^nn++++=comic
supplement ^nn+nom+++=supplement
in ^in++++=in
the ^ati++++=the
upper ^nn++++=upper
left ^vbd+++xvbn+=left-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
safe ^nn++++=safe.
. ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
bold ^jj+pred+++=bold;
; ^zz++++=EXTRAWORD
everywhere ^rb++++=everywhere
be ^vb+be+vrb++=be
bold ^jj+pred+++=bold,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
be ^vb+be+vrb++=be
not ^xnot++not++=not
bowled ^jj+++xvbn+=bowled
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
' ^zz++++='Night."
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
between ^in++++=between
two ^cd++++=two
$ ^zz++++=$20
20 ^cd++++=EXTRAWORD
gold ^nn++++=gold
certificates ^nns+nom+++=certificates.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
them ^pp3o+pp3+++0='em
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me:
: ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
shorthorn ^nn++++=shorthorn,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
luck ^nn++++=luck
to ^to++++=to-night.
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
something ^pn++++=something
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Jack ^np++++=Jack's
's ^$++++=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
make ^vb++++=make
the ^ati++++=the
Tenderloin ^np+++??+=Tenderloin
look ^vb++++=look
like ^in++++=like
a ^at++++=a
hamburg ^np++++=hamburg
steak ^nn++++=steak."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Explain,"
explain ^vb+vpub+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
used ^vpsv++++=used
to ^in++++=to
joints ^nns++++=joints,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
for ^in++++=for
filet ^nn++++=filet
mignon ^nn+++??+=mignon
with ^in++++=with
the ^ati++++=the
kind ^rb++++=kind
of ^rb"++++=of
sauce ^nn++++=sauce
you ^pp2+pp2+++=you
serve ^vb++++=serve."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Xcuse
' ^zz++++=EXTRAWORD
xcuse ^nn+++??+=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
twenty ^cd++++=twenty.
. ^zz++++=EXTRAWORD
" ^zz++++="Old
old ^jj+atrb+++=EXTRAWORD
Jack ^np++++=Jack
is ^vbz+bez+vrb++=is
the ^ati++++=the
proprietor ^nn++++=proprietor
of ^in++++=of
this ^dt+dem+++=this
gambling ^nn+nom+++=gambling
house ^nn++++=house.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
on ^in++++=on
a ^at++++=a
whiz ^uh++++=whiz
to ^to++++=to-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
offered ^vbd+++xvbnx+=offered
$ ^zz++++=$50,000
50,000 ^cd++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
church ^nn++++=church
and ^cc++++=and
it ^pp3+it+++=it
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
accept ^vbi+vprv+tht0++=accept
it ^pp3+it+++=it
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
said ^vbd+vpub+tht0+xvbnx+=said
his ^pp$+pp3+++=his
money ^nn++++=money
was ^vbd+bedz+aux++=was
tainted ^vpsv++agls+xvbnx+=tainted."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
church ^nn++++=church?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forgot ^vbd+vprv++xvbnx+=forgot,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
twenty ^cd++++=twenty,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
talking ^vbg+++xvbgx+=talking
to ^in++++=to
a ^at++++=a
tenner ^nn++++=tenner.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
too ^ql++++=too
much ^ap++++=much
to ^to++++=to
put ^vbi++++=put
into ^in++++=into
the ^ati++++=the
contribution ^nn+nom+++=contribution
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
enough ^qlp++++=enough
to ^to++++=to
buy ^vbi++++=buy
anything ^pn++++=anything
at ^in++++=at
a ^at++++=a
bazaar ^nn++++=bazaar.
. ^zz++++=EXTRAWORD
A ^at++++=A
church ^nn++++=church
is ^vbz+bez+vrb++=is--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
large ^jj++++=large
building ^jj+++xvbg+=building
in ^in++++=in
which ^whp+rel+pied++=which
penwipers ^nns+nom+++=penwipers
and ^cc++++=and
tidies ^nns+++??+=tidies
are ^vb+ber+aux++=are
sold ^vpsv++agls+xvbnx+=sold
at ^in++++=at
$ ^zz++++=$20
20 ^cd++++=EXTRAWORD
each ^dt++++=each."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
much ^ap++++=much
about ^in++++=about
chinning ^nn++++=chinning
with ^in++++=with
gold ^nn++++=gold
certificates ^nns+nom+++=certificates.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
streak ^nn++++=streak
of ^in++++=of
yellow ^nn++++=yellow
in ^in++++=in
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
gold ^nn++++=gold
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
quitters ^nns+nom+++=quitters.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Jack ^np++++=Jack
certainly ^rb++++=certainly
was ^vbd+bedz+vrb++=was
a ^at++++=a
gild ^nn+++??+=gild-edged
- ^zz++++=EXTRAWORD
edged ^vbd+++xvbn+=EXTRAWORD
sport ^nn++++=sport.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
his ^pp$+pp3+++=his
time ^nn++++=time
to ^to++++=to
loosen ^vbi++++=loosen
up ^rp++++=up
he ^pp3a+pp3+++=he
never ^rb++++=never
referred ^vbd+++xvbn+=referred
the ^ati++++=the
waiter ^vb++++=waiter
to ^to+vcmp+++=to
an ^at++++=an
actuary ^nn+nom+++=actuary.
. ^zz++++=EXTRAWORD
By ^in++++=By
and ^cc++++=and
by ^in++++=by
it ^pp3+it+++=it
got ^vbd+++xvbn+=got
around ^rp++++=around
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
smiting ^vbg+++xvbgx+=smiting
the ^ati++++=the
rock ^nn++++=rock
in ^in++++=in
the ^ati++++=the
wilderness ^nns+nom+++=wilderness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
along ^in++++=along
Broadway ^np++++=Broadway
things ^nns++++=things
with ^in++++=with
cold ^jj+atrb+++=cold
noses ^nns++++=noses
and ^cc++++=and
hot ^jj+atrb+++=hot
gullets ^nns+nom+++=gullets
fell ^vbd+++xvbn+=fell
in ^in++++=in
on ^in++++=on
our ^pp$+pp1+++=our
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
third ^nn++++=third
Jungle ^nn++++=Jungle
Book ^nn++++=Book
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
somebody ^pn++++=somebody
to ^to++++=to
put ^vbi++++=put
covers ^nns++++=covers
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Jack ^np++++=Jack's
's ^$++++=EXTRAWORD
money ^nn++++=money
may ^md+pos+++=may
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
a ^at++++=a
taint ^nn++++=taint
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^rb++++=all
the ^ati++++=the
same ^ap++++=same
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
orders ^vbz++++=orders
for ^in++++=for
his ^pp$+pp3+++=his
Camembert ^np+++??+=Camembert
piling ^nn++++=piling
up ^rp++++=up
on ^in++++=on
him ^pp3o+pp3+++=him
every ^at++++=every
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
First ^rb++++=First
his ^pp$+pp3+++=his
friends ^nns++++=friends
rallied ^vbd+++xvbn+=rallied
round ^rb++++=round
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
fellows ^nns++++=fellows
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
friends ^nns++++=friends
knew ^vwbn+vprv++xvbn+=knew
by ^in++++=by
sight ^nn++++=sight;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
a ^ap++++=a
few ^ap"++++=few
of ^in++++=of
his ^pp$+pp3+++=his
enemies ^nns++++=enemies
buried ^vwbn+++xvbn+=buried
the ^ati++++=the
hatchet ^nn++++=hatchet;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
buying ^vbg+++xvbgx+=buying
souvenirs ^nns++++=souvenirs
for ^in++++=for
so ^ql++++=so
many ^ap++++=many
Neapolitan ^np+nom++??+=Neapolitan
fisher ^np++++=fisher
maidens ^nns++++=maidens
and ^cc++++=and
butterfly ^nn++++=butterfly
octettes ^nns+nom++??+=octettes
that ^tht+rel+obj++=that
the ^ati++++=the
head ^jjb+atrb+++=head
waiters ^nns+nom+++=waiters
were ^vbd+bed+aux++=were
' ^zz++++='phoning
phoning ^vbg+++xvbg+=EXTRAWORD
all ^abn++++=all
over ^in++++=over
town ^nn++++=town
for ^in++++=for
Julian ^np++++=Julian
Mitchell ^np++++=Mitchell
to ^to++++=to
please ^uh++++=please
come ^vprf+++xvbn+=come
around ^rp++++=around
and ^cc++++=and
get ^vb++++=get
them ^pp3o+pp3+++=them
into ^in++++=into
some ^dti++++=some
kind ^rb++++=kind
of ^rb"++++=of
order ^nn++++=order.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
we ^pp1a+pp1+++=we
floated ^vbd+++xvbn+=floated
into ^in++++=into
an ^at++++=an
uptown ^vbd+++xvbn+=uptown
cafe ^npl++++=cafe
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
by ^in++++=by
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
hod ^nn+++??+=hod-carriers'
- ^zz++++=EXTRAWORD
carriers ^nns+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
union ^nn++++=union
in ^in++++=in
jackets ^nns++++=jackets
and ^cc++++=and
aprons ^nns++++=aprons
saw ^vbd+vprv+tht0+xvbn+=saw
us ^pp1o+pp1+++=us
coming ^vbg+++xvbg+=coming
the ^ati++++=the
chief ^jjb+atrb+++=chief
goal ^nn++++=goal
kicker ^jjr++++=kicker
called ^jj+++xvbn+=called
out ^rp+pl+++=out:
: ^zz++++=EXTRAWORD
" ^zz++++="Six--eleven--forty-two--nineteen--twelve"
six ^cd++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
eleven ^cd++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
forty-two ^cd++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
ninetee ^nn++++=EXTRAWORD
to ^in++++=to
his ^pp$+pp3+++=his
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
nose ^nn++++=nose
guards ^nns++++=guards
till ^cs+sub+++=till
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear
whether ^cs+who+++=whether
we ^pp1a+pp1+++=we
meant ^vbd+vprv++xvbn+=meant
Port ^npl++++=Port
Arthur ^np++++=Arthur
or ^cc++++=or
Portsmouth ^np++++=Portsmouth.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
old ^jj+atrb+++=old
Jack ^np++++=Jack
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
working ^nvbg+++xvbg+=working
for ^in++++=for
the ^ati++++=the
furniture ^nn++++=furniture
and ^cc++++=and
glass ^nn++++=glass
factories ^nns++++=factories
that ^tht+rel+obj++=that
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
quiet ^nn++++=quiet
and ^cc++++=and
sang ^vbd+++xvbn+=sang
" ^zz++++="Ramble"
ramble ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
half ^abn++++=half-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
way ^nn++++=way.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
feelings ^nns+nom+++=feelings
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
hurt ^vpsv++agls+xvbnx+=hurt,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
twenty ^cd++++=twenty
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
his ^pp$+pp3+++=his
offer ^nn++++=offer
to ^in++++=to
the ^ati++++=the
church ^npl++++=church
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
refused ^vpsv++agls+xvbnx+=refused.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
wassail ^nn+++??+=wassail
went ^vbd+++xvbn+=went
on ^in+strn+++=on;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Brady ^np+++??+=Brady
himself ^ppl+pp3+++=himself
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
hammered ^vprf+++xvbnx+=hammered
the ^ati++++=the
thirst ^nn++++=thirst
mob ^nn++++=mob
into ^in++++=into
a ^at++++=a
better ^jjr+atrb+++=better
imitation ^nn+nom+++=imitation
of ^in++++=of
the ^ati++++=the
real ^jj+atrb+++=real
penchant ^nn+nom+++=penchant
for ^in++++=for
the ^ati++++=the
stuff ^nn++++=stuff
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
screw ^vb++++=screw
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
bottle ^nn++++=bottle
with ^in++++=with
a ^at++++=a
napkin ^nn++++=napkin.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Jack ^np++++=Jack
paid ^vbd+++xvbn+=paid
the ^ati++++=the
twenty ^cd++++=twenty
above ^rb++++=above
me ^pp1o+pp1+++=me
for ^in++++=for
a ^at++++=a
round ^nn++++=round,
, ^zz++++=EXTRAWORD
leaving ^jj+++xvbg+=leaving
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
outside ^nn++++=outside
of ^in++++=of
his ^pp$+pp3+++=his
roll ^nn++++=roll.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laid ^vbd+++xvbnx+=laid
the ^ati++++=the
roll ^nn++++=roll
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
sent ^vpsv++agls+xvbn+=sent
for ^in++++=for
the ^ati++++=the
proprietor ^nn++++=proprietor.
. ^zz++++=EXTRAWORD
" ^zz++++="Mike,"
mike ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="here's
here ^rn+pl+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
money ^nn++++=money
that ^tht+rel+obj++=that
the ^ati++++=the
good ^jj+atrb+++=good
people ^nns++++=people
have ^vb+hv+aux++=have
refused ^vprf+++xvbnx+=refused.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
it ^pp3+it+++=it
buy ^vb++++=buy
of ^in++++=of
your ^pp$+pp2+++=your
wares ^nns++++=wares
in ^in++++=in
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
devil ^nn++++=devil?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
tainted ^vpsv++agls+xvbnx+=tainted."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mike ^nn++++=Mike,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
put ^vb+++xvbn+=put
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
drawer ^nn++++=drawer
next ^in+cmpx+++=next
to ^in"++++=to
the ^ati++++=the
bills ^nns++++=bills
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
paid ^vpsv++agls+xvbnx+=paid
to ^in++++=to
the ^ati++++=the
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter
for ^in++++=for
kisses ^nns++++=kisses
at ^in++++=at
the ^ati++++=the
church ^npl++++=church
fair ^jj++++=fair
to ^to++++=to
build ^vbi++++=build
a ^at++++=a
new ^jj+atrb+++=new
parsonage ^nn+nom+++=parsonage
for ^in++++=for
the ^ati++++=the
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter
to ^to++++=to
live ^vbi++++=live
in ^in+strn+++=in."
. ^zz++++=EXTRAWORD
