With ^in++++=With
just ^rb+emph+++=just
as ^in++++=as
in ^in"++++=in
Russia ^np++++=Russia
they ^pp3a+pp3+++=they
inform ^vb++++=inform
any ^dti++++=any
one ^cd1++++=one
that ^cs+sub+++=that
his ^pp$+pp3+++=his
nose ^nn++++=nose
is ^vbz+bez+aux++=is
frozen ^vpsv++agls+xvbnx+=frozen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
much ^ap++++=much
astonished ^jj+++xvbn+=astonished
at ^rb++++=at
this ^dt+dem+++=this
individual ^nn+nom+++=individual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
assuming ^vbg+vprv++xvbg+=assuming
a ^at++++=a
dignified ^jj+atrb+++=dignified
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Really,
really ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
me ^vbi++++=me
to ^to++++=to
be ^vbi+vbi+aux++=be
interfering ^vbg+++xvbgx+=interfering
in ^in++++=in
a ^at++++=a
matter ^nn++++=matter
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
no ^at++++=no
concern ^nn++++=concern
of ^in++++=of
yours ^pp$$++++=yours."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
an ^at++++=an
abrupt ^jj+atrb+++=abrupt
movement ^nn+nom+++=movement
and ^cc++++=and
replied ^vbd+vpub++xvbn+=replied:
: ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
a ^at++++=a
man ^nn++++=man
is ^vbz+bez+vrb++=is
in ^in++++=in
danger ^nn++++=danger
of ^in++++=of
being ^nn+nn+aux++=being
drowned ^vbd+++xvbn+=drowned
at ^rb++++=at
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
ought ^md+nec+++=ought
I ^pp1a+pp1+++=I
to ^to++++=to
let ^vbi++++=let
him ^pp3o+pp3+++=him
perish ^vb++++=perish?
? ^zz++++=EXTRAWORD
So ^ql++++=So
just ^rb+emph+++=just
listen ^vb++++=listen
to ^in++++=to
my ^pp$+pp1+++=my
story ^nn++++=story
and ^cc++++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
see ^vb+vprv+++=see
why ^wrb+who+whcl++=why
I ^pp1a+pp1+++=I
ventured ^vbd+++xvbnx+=ventured
to ^to+vcmp+++=to
speak ^vbi++++=speak
to ^in++++=to
you ^pp2+pp2+++=you
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
about ^in++++=about
this ^dt+dem+++=this
time ^nn++++=time
last ^jj+atrb+++=last
year ^nn++++=year
that ^tht+rel+obj++=that
it ^pp3+it+++=it
occurred ^vbd+++xvbn+=occurred.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
first ^rb++++=first
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
tell ^vb++++=tell
you ^pp2+pp2+++=you
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
clerk ^nn++++=clerk
in ^in++++=in
the ^ati++++=the
Admiralty ^np++++=Admiralty,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
our ^pp$+pp1+++=our
chiefs ^nns++++=chiefs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
commissioners ^nns+nom+++=commissioners,
, ^zz++++=EXTRAWORD
take ^vb++++=take
their ^pp$+pp3+++=their
gold ^nn++++=gold
lace ^nn++++=lace
as ^in++++=as
quill ^nn++++=quill-driving
- ^zz++++=EXTRAWORD
driving ^nvbg+++xvbg+=EXTRAWORD
officials ^nns+nom+++=officials
seriously ^rb+cnj+++=seriously,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
treat ^nn++++=treat
us ^pp1o+pp1+++=us
like ^in++++=like
forecastle ^nn+++??+=forecastle
men ^nns++++=men
on ^in++++=on
board ^nn++++=board
a ^at++++=a
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
from ^in++++=from
my ^pp$+pp1+++=my
office ^nn++++=office
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
a ^at++++=a
small ^jj+atrb+++=small
bit ^nn++++=bit
of ^in++++=of
blue ^jj+atrb+++=blue
sky ^nn++++=sky
and ^cc++++=and
the ^ati++++=the
swallows ^nns+++??+=swallows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
dance ^vbi++++=dance
among ^in++++=among
my ^pp$+pp1+++=my
portfolios ^nns+++??+=portfolios.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
yearning ^nvbg+++xvbg+=yearning
for ^in++++=for
freedom ^nn+nom+++=freedom
grew ^vbd+++xvbn+=grew
so ^rb+emph+++=so
intense ^jj++++=intense
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
my ^pp$+pp1+++=my
repugnance ^nn+nom+++=repugnance,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^to++++=to
see ^vbi+vprv+tht0++=see
my ^pp$+pp1+++=my
chief ^jjb++++=chief,
, ^zz++++=EXTRAWORD
a ^at++++=a
short ^jj++++=short,
, ^zz++++=EXTRAWORD
bad ^jj++++=bad-tempered
- ^zz++++=EXTRAWORD
tempered ^vwbn+++xvbn+=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
always ^rb++++=always
in ^in++++=in
a ^at++++=a
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
well ^jj+pred+++=well,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
and ^cc++++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
believe ^vb+vprv+++=believe
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
be ^vb+be+vrb++=be
off ^in+pl+++=off
with ^in++++=with
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
any ^dti++++=any
office ^nn++++=office
can ^md+pos+++=can
go ^vb++++=go
on ^in++++=on
with ^in++++=with
clerks ^nns++++=clerks
like ^in++++=like
you ^pp2+pp2+++=you?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
started ^vbd+++xvbnx+=started
at ^rb++++=at
once ^rb"+tm+++=once
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
down ^in++++=down
the ^ati++++=the
Seine ^nn++++=Seine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
day ^nn++++=day
like ^in++++=like
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
the ^ati++++=the
Mouche ^np+++??+=Mouche,
, ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
Saint ^nn++++=Saint
Cloud ^nn++++=Cloud.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
good ^jj+atrb+++=good
thing ^nn++++=thing
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
chief ^jjb++++=chief
had ^vbd+hvd+aux++=had
refused ^vprf+++xvbnx+=refused
me ^pp1o+pp1+++=me
permission ^nn++++=permission
to ^to+ncmp+++=to
leave ^vbi++++=leave
the ^ati++++=the
office ^nn++++=office
that ^tht+rel+++=that
day ^nn++++=day!
! ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
myself ^vbi+pp1+++=myself
to ^to++++=to
expand ^vbi++++=expand
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
everything ^pn++++=everything--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
steamer ^nn++++=steamer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
the ^ati++++=the
houses ^nns++++=houses
and ^cc++++=and
my ^pp$+pp1+++=my
fellow ^jjb++++=fellow-passengers.
- ^zz++++=EXTRAWORD
passengers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
kiss ^vbi++++=kiss
something ^pn++++=something,
, ^zz++++=EXTRAWORD
no ^at++++=no
matter ^nn++++=matter
what ^wdt+who+++=what;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
love ^nn++++=love,
, ^zz++++=EXTRAWORD
laying ^vbg+++xvbg+=laying
its ^pp$+it+++=its
snare ^nn++++=snare.
. ^zz++++=EXTRAWORD
Presently ^rb+cnj+++=Presently,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
Trocadero ^np+++??+=Trocadero,
, ^zz++++=EXTRAWORD
a ^at++++=a
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
small ^jj+atrb+++=small
parcel ^nn++++=parcel
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
on ^in++++=on
board ^nn++++=board
and ^cc++++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
opposite ^jj++++=opposite
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
decidedly ^rb++++=decidedly
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
surprising ^vbg+++xvbgx+=surprising,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
much ^ap++++=much
prettier ^jjr+atrb+++=prettier
women ^nns++++=women
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
us ^vbi++++=us
when ^wrb+who+++=when
the ^ati++++=the
day ^nn++++=day
is ^vbz+bez+vrb++=is
fine ^jj+pred+++=fine
at ^rb++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
spring ^nn++++=spring.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
an ^at++++=an
intoxicating ^jj+atrb+++=intoxicating
charm ^nn++++=charm,
, ^zz++++=EXTRAWORD
something ^pn++++=something
quite ^rb++++=quite
peculiar ^jj++++=peculiar
about ^rb++++=about
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
like ^in++++=like
drinking ^xvbg+++xvbg+=drinking
wine ^nn++++=wine
after ^in++++=after
cheese ^nn++++=cheese.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
and ^cc++++=and
she ^pp3a+pp3+++=she
also ^rb++++=also
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
occasionally ^rb+cnj+++=occasionally,
, ^zz++++=EXTRAWORD
as ^ql++++=as
that ^dt+dem+++=that
girl ^nn++++=girl
did ^vbd+dod+vrb++=did
at ^in++++=at
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
by ^in++++=by
dint ^in"++++=dint
of ^in"++++=of
looking ^vbg+++xvbg+=looking
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
constantly ^rb+cnj+++=constantly,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew
each ^dt++++=each
other ^ap++++=other
well ^rb++++=well
enough ^qlp++++=enough
to ^to++++=to
enter ^vbi++++=enter
into ^in+ppvb+++=into
conversation ^nn+nom+++=conversation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
spoke ^vbd+++xvbnx+=spoke
to ^in++++=to
her ^pp$+pp3+++=her
and ^cc++++=and
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
decidedly ^rb++++=decidedly
pretty ^jj+pred+++=pretty
and ^cc+phrs+++=and
nice ^jj++++=nice
and ^cc++++=and
she ^pp3a+pp3+++=she
intoxicated ^vbd+++xvbnx+=intoxicated
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur!
! ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
got ^vbd+++xvbnx+=got
out ^rb+phrv+++=out
at ^in++++=at
Saint ^nn++++=Saint-Cloud,
- ^zz++++=EXTRAWORD
cloud ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
followed ^vbd+vprv+tht0+xvbnx+=followed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
and ^cc+phrs+++=and
delivered ^vbd+++xvbn+=delivered
her ^pp$+pp3+++=her
parcel ^nn++++=parcel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
returned ^vbd+++xvbnx+=returned
the ^ati++++=the
boat ^nn++++=boat
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
started ^vprf+++xvbnx+=started.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
by ^in++++=by
her ^pp$+pp3+++=her
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
warmth ^nn++++=warmth
of ^in++++=of
the ^ati++++=the
' ^zz++++='air
air ^nn++++=EXTRAWORD
made ^vbd+++xvbn+=made
us ^pp1o+pp1+++=us
both ^abx++++=both
sigh ^nn++++=sigh.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
very ^ql+amp+++=very
nice ^jj++++=nice
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
' ^zz++++='Indeed,
indeed ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
' ^zz++++='Shall
shall ^md+prd+++=EXTRAWORD
we ^pp1a+pp1+++=we
go ^vb++++=go
there ^rn+pl+++=there
for ^in++++=for
a ^at++++=a
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
mademoiselie ^nn+++??+=mademoiselie?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
gave ^vbd+++xvbnx+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
quick ^jj+atrb+++=quick
upward ^jjb+atrb+++=upward
look ^nn++++=look,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
see ^vbi+vprv+++=see
exactly ^rb++++=exactly
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^rb++++=a
little ^rb"++++=little
hesitation ^nn+nom+++=hesitation,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
accepted ^vbd+vprv+tht0+xvbnx+=accepted
my ^pp$+pp1+++=my
proposal ^nn+nom+++=proposal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soon ^rb+tm+++=soon
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
side ^nn++++=side
by ^in++++=by
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
foliage ^nn+nom+++=foliage,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
still ^rb++++=still
rather ^rb++++=rather
scanty ^jj++++=scanty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
thick ^jj++++=thick,
, ^zz++++=EXTRAWORD
bright ^jj+atrb+++=bright
green ^jj+atrb+++=green
grass ^nn++++=grass
was ^vbd+bedz+aux++=was
inundated ^vpsv++by+xvbnx+=inundated
by ^in++++=by
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
insects ^nns++++=insects
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
also ^rb++splt++=also
making ^vbg+++xvbgx+=making
love ^vb++++=love
to ^to+vcmp+++=to
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
birds ^nns++++=birds
were ^vbd+bed+aux++=were
singing ^vbg+++xvbgx+=singing
in ^in++++=in
all ^abn++++=all
directions ^nns+nom+++=directions.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
companion ^nn++++=companion
began ^vbd+++xvbn+=began
to ^to++++=to
jump ^vbi++++=jump
and ^cc++++=and
to ^to++++=to
run ^vbi++++=run,
, ^zz++++=EXTRAWORD
intoxicated ^xvbn+++xvbn+=intoxicated
by ^in++++=by
the ^ati++++=the
air ^nn++++=air
and ^cc++++=and
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
and ^cc+phrs+++=and
jumped ^vbd+++xvbn+=jumped,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
her ^pp3o+pp3+++=her
example ^nn++++=example.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
silly ^jj++++=silly
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
at ^rb++++=at
times ^nns++++=times,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur!
! ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
she ^pp3a+pp3+++=she
sang ^vbd+++xvbnx+=sang
unrestrainedly ^jj++++=unrestrainedly
a ^at++++=a
thousand ^cd++++=thousand
things ^nns++++=things,
, ^zz++++=EXTRAWORD
opera ^nn++++=opera
airs ^&fw++++=airs
and ^cc++++=and
the ^ati++++=the
song ^nn++++=song
of ^in++++=of
Musette ^np+nom++??+=Musette!
! ^zz++++=EXTRAWORD
The ^ati++++=The
song ^nn++++=song
of ^in++++=of
Musette ^np+nom++??+=Musette!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
poetical ^jj++++=poetical
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
almost ^rb+hdg+++=almost
cried ^vbd+++xvbn+=cried
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
silly ^jj+atrb+++=silly
songs ^nns++++=songs
make ^vb++++=make
us ^pp1o+pp1+++=us
lose ^vb++++=lose
our ^pp$+pp1+++=our
heads ^nns++++=heads;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
never ^rb++++=never
marry ^vb++++=marry
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+subj++=who
sings ^vbz++++=sings
in ^in++++=in
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
sings ^vbz++++=sings
the ^ati++++=the
song ^nn++++=song
of ^in++++=of
Musette ^np+nom++??+=Musette!
! ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
soon ^rb+tm+++=soon
grew ^vbd+++xvbn+=grew
tired ^jj+++xvbn+=tired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
on ^in++++=on
a ^at++++=a
grassy ^jj+atrb+++=grassy
slope ^nn++++=slope,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
at ^rb++++=at
her ^pp3o+pp3+++=her
feet ^nns++++=feet
and ^cc++++=and
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
little ^ap++++=little
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
marked ^jj+++xvbn+=marked
with ^in++++=with
the ^ati++++=the
needle ^nn++++=needle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
filled ^vbd+++xvbn+=filled
me ^pp1o+pp1+++=me
with ^in++++=with
emotion ^nn+nom+++=emotion.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
myself ^ppl+pp1+++=myself:
: ^zz++++=EXTRAWORD
' ^zz++++='These
these ^dt+pdem+++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
sacred ^jj+atrb+++=sacred
marks ^nns++++=marks
of ^in++++=of
toil ^nn++++=toil.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Oh ^uh++++=Oh!
! ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
those ^dt+dem+++=those
sacred ^jj+atrb+++=sacred
marks ^nns++++=marks
of ^in++++=of
toil ^nn++++=toil
mean ^jj++++=mean?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
mean ^jj++++=mean
all ^abn++++=all
the ^ati++++=the
gossip ^nn++++=gossip
of ^in++++=of
the ^ati++++=the
workroom ^nn+++??+=workroom,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whispered ^jj+atrb++xvbn+=whispered
scandal ^nn++++=scandal,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mind ^nn++++=mind
soiled ^jj++++=soiled
by ^in++++=by
all ^abn++++=all
the ^ati++++=the
filth ^nn++++=filth
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
talked ^vpsv++agls+xvbnx+=talked;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
mean ^vb+vprv+++=mean
lost ^vbd+++xvbn+=lost
chastity ^nn+nom+++=chastity,
, ^zz++++=EXTRAWORD
foolish ^jj+atrb+++=foolish
chatter ^nn++++=chatter,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
wretchedness ^nns+nom+++=wretchedness
of ^in++++=of
their ^pp$+pp3+++=their
everyday ^jjb+atrb+++=everyday
life ^nn++++=life,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
narrowness ^nns+nom+++=narrowness
of ^in++++=of
ideas ^nns++++=ideas
which ^whp+rel+subj++=which
belongs ^vbz++++=belongs
to ^in++++=to
women ^nns++++=women
of ^in++++=of
the ^ati++++=the
lower ^jjr+atrb+++=lower
orders ^nns++++=orders,
, ^zz++++=EXTRAWORD
combined ^j+++xvbn+=combined
to ^in++++=to
their ^pp$+pp3+++=their
fullest ^jjt+atrb+++=fullest
extent ^nn++++=extent
in ^in++++=in
the ^ati++++=the
girl ^nn++++=girl
whose ^whp+rel+obj++=whose
fingers ^nns+nom+++=fingers
bear ^vb+vprv+++=bear
