Everything ^pn++++=Everything
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
whether ^cs+who+++=whether
to ^to++++=to
tell ^vbi++++=tell
her ^pp$+pp3+++=her
about ^in++++=about
the ^ati++++=the
door ^nn++++=door
they ^pp3a+pp3+++=they
substituted ^vbd+++xvbnx+=substituted
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^pn++++=one
with ^in++++=with
the ^ati++++=the
equation ^nn+nom+++=equation
on ^in++++=on
it ^pp3+it+++=it
and ^cc++++=and
the ^ati++++=the
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
amoeba ^nns++++=amoeba
reproducing ^vwbg+++xvbg+=reproducing
itself ^ppl++++=itself
by ^in++++=by
division ^nn++++=division.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
the ^ati++++=the
one ^pn++++=one
with ^in++++=with
the ^ati++++=the
photostatic ^jj+atrb+++=photostatic
copy ^nn++++=copy
of ^in++++=of
the ^ati++++=the
check ^nn++++=check
for ^in++++=for
thirty ^cd++++=thirty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
dollars ^nns++++=dollars
and ^cc++++=and
fifty ^cd++++=fifty
cents ^nns++++=cents.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
jumping ^nvbg+++xvbg+=jumping
was ^vbd+bedz+vrb++=was
so ^ql++++=so
long ^rb++++=long
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
bump ^nn++++=bump
is ^vbz+bez+vrb++=is
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
how ^wrb+who+++=how
those ^dt+dem+++=those
old ^jj+atrb+++=old
wounds ^nns++++=wounds
hurt ^vbd+++xvbn+=hurt!
! ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
crazy ^jj++++=crazy
this ^dt+dem+++=this
way ^nn++++=way
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
so ^ql+emph+++=so
bad ^jj++++=bad
if ^cs+cnd+++=if
only ^rb+cnj+++=only,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
only ^rb+down+++=only
when ^wrb+who+++=when
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
your ^pp$+pp2+++=your
foot ^nn++++=foot
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
take ^vbi++++=take
a ^at++++=a
step ^nn++++=step,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ground ^nn++++=ground
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
up ^rp++++=up
to ^to++++=to
meet ^vbi++++=meet
your ^pp$+pp2+++=your
foot ^nn++++=foot
the ^ati++++=the
way ^nn++++=way
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way
in ^in++++=in
the ^ati++++=the
street ^npl++++=street
( ^zz++++=(only
only ^rb+down+++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
never ^rb++splt++=never
get ^vb++++=get
back ^rb+phrv+++=back
to ^in++++=to
the ^ati++++=the
street ^nn++++=street
unless ^cs+cnd+++=unless
I ^pp1a+pp1+++=I
jump ^vb++++=jump
at ^in+ppvb+++=at
the ^ati++++=the
right ^jj+atrb+++=right
door ^nn++++=door),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
curb ^nn++++=curb
coming ^vwbg+++xvbg+=coming
up ^rp++++=up
to ^to++++=to
meet ^vbi++++=meet
your ^pp$+pp2+++=your
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
anticipating ^vbg+vprv++xvbg+=anticipating
ever ^rb++++=ever
so ^rb++++=so
delicately ^rb++++=delicately
the ^ati++++=the
weight ^nn++++=weight
of ^in++++=of
the ^ati++++=the
body ^nn++++=body,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=could
take ^vb++++=take
your ^pp$+pp2+++=your
name ^nn++++=name,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
send ^vb++++=send
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
it ^pp3+it+++=it
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
so ^ql+emph+++=so
bad ^jj++++=bad
if ^cs+cnd+++=if
only ^rb+down+++=only
you ^pp2+pp2+++=you
could ^md+pos+++=could
read ^vb+vprv++xvbn+=read
a ^at++++=a
sentence ^nn+nom+++=sentence
all ^rb++++=all
the ^ati++++=the
way ^nn++++=way
through ^in++++=through
without ^in++++=without
jumping ^xvbg+++xvbg+=jumping
( ^zz++++=(your
your ^pp$+pp2+++=EXTRAWORD
eye ^nn++++=eye)
) ^zz++++=EXTRAWORD
to ^in++++=to
something ^pn++++=something
else ^rb+cnj+++=else
on ^in++++=on
the ^ati++++=the
same ^ap++++=same
page ^nn++++=page;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
( ^zz++++=(he
he ^pp3a+pp3+++=EXTRAWORD
kept ^vbd+++xvbnx+=kept
thinking ^nvbg+++xvbg+=thinking)
) ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
man ^nn++++=man
out ^rp+pl+++=out
in ^in++++=in
Jersey ^np++++=Jersey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
who ^whp+rel+subj++=who
started ^vbd+++xvbn+=started
to ^to++++=to
chop ^vbi++++=chop
his ^pp$+pp3+++=his
trees ^nns++++=trees
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
one ^pn++++=one
by ^in++++=by
one ^pn++++=one,
, ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
began ^vbd+++xvbn+=began
talking ^vbg+++xvbg+=talking
about ^in++++=about
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
would ^md+prd+++=would
take ^vb++++=take
his ^pp$+pp3+++=his
house ^nn++++=house
to ^in++++=to
pieces ^nns++++=pieces,
, ^zz++++=EXTRAWORD
brick ^nn++++=brick
by ^in++++=by
brick ^nn++++=brick,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
faced ^vbd+++xvbnx+=faced
a ^at++++=a
problem ^nn++++=problem
incapable ^jj++++=incapable
of ^in++++=of
solution ^nn+nom+++=solution,
, ^zz++++=EXTRAWORD
probably ^rb+cnj+++=probably,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
hack ^vbi+++??+=hack
at ^in++++=at
the ^ati++++=the
trees ^nns++++=trees
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
pluck ^vbi+++??+=pluck
with ^in++++=with
trembling ^xvbg+++xvbg+=trembling
fingers ^nns+nom+++=fingers
at ^in++++=at
the ^ati++++=the
bricks ^nns++++=bricks
in ^in++++=in
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Even ^cs+sub+++=Even
if ^cs+cnd+++=if
a ^at++++=a
house ^nn++++=house
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
washable ^jj++++=washable,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
worth ^in++++=worth
taking ^xvbg+++xvbg+=taking
down ^rp++++=down.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
till ^in++++=till
later ^rbr+tm+++=later
that ^cs+sub+++=that
the ^ati++++=the
exhaustion ^nn+nom+++=exhaustion
sets ^nns++++=sets
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
inevitable ^jj+pred+++=inevitable
that ^tht+jcmp+++=that
they ^pp3a+pp3+++=they
will ^md+prd+++=will
keep ^vb++++=keep
changing ^vbg+++xvbg+=changing
the ^ati++++=the
doors ^nns++++=doors
on ^in++++=on
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
for ^in+strn+++=for;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
thing ^nn++++=thing
is ^vbz+bez+aux++=is
to ^to++++=to
get ^vbi++++=get
used ^vbd+++xvbn+=used
to ^in++++=to
it ^pp3+it+++=it
and ^cc++++=and
not ^xnot++not++=not
let ^vb+++xvbn+=let
it ^pp3+it+++=it
unsettle ^nn+++??+=unsettle
the ^ati++++=the
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
would ^md+prd+++=would
mean ^vb+vprv+++=mean
not ^xnot++not++=not
jumping ^jj+++xvbg+=jumping,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
ca ^np++++=can't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
can ^md+pos+++=can
not ^xnot++not++=not
jump ^vb++++=jump.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
will ^md+prd+++=will
be ^vb+be+vrb++=be
no ^at++++=no
not ^xnot++not++=not-jumping.
- ^zz++++=EXTRAWORD
jumping ^jj+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
rats ^nns++++=rats,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
among ^in++++=among
people ^nns++++=people
never ^rb++++=never.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
has ^md"++pmd"++=has
to ^md+nec+++=to
keep ^vb++++=keep
jumping ^jj+++xvbg+=jumping
at ^rb++++=at
a ^at++++=a
door ^nn++++=door
( ^zz++++=(the
the ^ati++++=EXTRAWORD
one ^pn++++=one
with ^in++++=with
the ^ati++++=the
circle ^nn++++=circle
on ^in++++=on
it ^pp3+it+++=it)
) ^zz++++=EXTRAWORD
because ^cs+cos+++=because
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
the ^ati++++=the
way ^nn++++=way
everybody ^pn++++=everybody
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
some ^dti++++=some
people ^nns++++=people.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
about ^in++++=about
my ^pp$+pp1+++=my
friend ^nn++++=friend
the ^ati++++=the
poet ^nn++++=poet
( ^zz++++=(deceased)
deceased ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
heart ^nn++++=heart
has ^vbz+hvz+aux++=has
followed ^vprf+++xvbnx+=followed
all ^abn++++=all
my ^pp$+pp1+++=my
days ^nns++++=days
something ^pn++++=something
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
name ^vb++++=name"?
" ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
( ^zz++++=(It
it ^pp3+it+++=EXTRAWORD
had ^vb+hv+vrb++=had
the ^ati++++=the
circle ^nn++++=circle
on ^in++++=on
it ^pp3+it+++=it.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
And ^cc++++=And
like ^in++++=like
many ^ap++++=many
poets ^nns++++=poets,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
few ^ap++++=few
so ^pn+emph+++=so
beloved ^jj++++=beloved,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
killed ^vbd+++xvbn+=killed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
jumping ^nn++++=jumping.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
the ^ati++++=the
preliminary ^jj+atrb+++=preliminary
bouts ^nns++++=bouts,
, ^zz++++=EXTRAWORD
the ^ati++++=the
convulsions ^nns++++=convulsions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
calm ^nn++++=calm
and ^cc++++=and
the ^ati++++=the
willingness ^nns+nom+++=willingness.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
the ^ati++++=the
door ^nn++++=door
with ^in++++=with
the ^ati++++=the
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
girl ^nn++++=girl
on ^in++++=on
it ^pp3+it+++=it
( ^zz++++=(only
only ^rb+down+++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
spring ^nn++++=spring),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
arms ^nns++++=arms
outstretched ^jj++++=outstretched
in ^in++++=in
loveliness ^nns+nom+++=loveliness,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
dress ^nn++++=dress
( ^zz++++=(it
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
one ^pn++++=one
with ^in++++=with
the ^ati++++=the
circle ^nn++++=circle
on ^in++++=on
it ^pp3+it+++=it)
) ^zz++++=EXTRAWORD
uncaught ^vbd+++xvbn+=uncaught,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
the ^ati++++=the
slow ^jj++++=slow,
, ^zz++++=EXTRAWORD
clear ^jj+atrb+++=clear,
, ^zz++++=EXTRAWORD
blinding ^jj+atrb+++=blinding
cascade ^nn+++??+=cascade-and
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
we ^pp1a+pp1+++=we
would ^md+prd+++=would
all ^abn++++=all
like ^vb++++=like
to ^to+vcmp+++=to
try ^vbi++++=try
that ^dt+dem+++=that
door ^nn++++=door
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
like ^in++++=like
the ^ati++++=the
way ^nn++++=way
and ^cc++++=and
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
the ^ati++++=the
door ^nn++++=door
would ^md+prd+++=would
open ^vb++++=open
and ^cc++++=and
you ^pp2+pp2+++=you
would ^md+prd+++=would
go ^vb++++=go
through ^in++++=through
winged ^jj++++=winged
and ^cc+phrs+++=and
exalted ^jj++++=exalted
( ^zz++++=(like
like ^in++++=EXTRAWORD
any ^dti++++=any
rat ^nn++++=rat)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
food ^nn++++=food
would ^md+prd+++=would
be ^vb+be+vrb++=be
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
the ^ati++++=the
Professor ^npt++++=Professor
had ^vb+hv+aux++=had
it ^pp3+it+++=it
arranged ^vbd+vsua++xvbn+=arranged,
, ^zz++++=EXTRAWORD
everything ^pn++++=everything
O.k ^uh++++=O.K.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
chosen ^vprf+++xvbnx+=chosen
the ^ati++++=the
right ^jj+atrb+++=right
door ^nn++++=door
for ^in++++=for
the ^ati++++=the
world ^nn++++=world
was ^vbd+bedz+vrb++=was
young ^jj+pred+++=young.
. ^zz++++=EXTRAWORD
The ^ati++++=The
time ^nn++++=time
they ^pp3a+pp3+++=they
changed ^vbd+++xvbnx+=changed
that ^dt+dem+++=that
door ^nn++++=door
on ^in++++=on
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
nose ^nn++++=nose
bled ^vbd+++xvbn+=bled
for ^in++++=for
a ^at++++=a
hundred ^cd++++=hundred
hours ^nns++++=hours--how
-- ^--+clp+++=EXTRAWORD
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Madam ^npt++++=Madam?
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
would ^md+prd+++=would
you ^pp2+pp2+++=you
prefer ^vb+vprv+++=prefer
to ^to+vcmp+++=to
show ^vbi+vprv+++=show
me ^pp1o+pp1+++=me
further ^jjb++++=further
through ^in++++=through
this ^dt+dem+++=this
so ^rb+emph+++=so
strange ^jj+atrb+++=strange
house ^nn++++=house,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
you ^pp2+pp2+++=you
could ^md+pos+++=could
take ^vb++++=take
my ^pp$+pp1+++=my
name ^nn++++=name
and ^cc++++=and
send ^vb++++=send
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
for ^in++++=for
although ^cs+con+++=although
my ^pp$+pp1+++=my
heart ^nn++++=heart
has ^vbz+hvz+aux++=has
followed ^vprf+++xvbnx+=followed
all ^abn++++=all
my ^pp$+pp1+++=my
days ^nns++++=days
something ^pn++++=something
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
name ^vb++++=name,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
tired ^vpsv++agls+xvbnx+=tired
of ^in++++=of
the ^ati++++=the
jumping ^jj+++xvbg+=jumping
and ^cc++++=and
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
which ^wdt+who+whcl++=which
way ^nn++++=way
to ^to++++=to
go ^vbi++++=go,
, ^zz++++=EXTRAWORD
Madam ^npt++++=Madam,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
even ^rb++++=even
sure ^jj++++=sure
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
tired ^jj+++xvbn+=tired
beyond ^in++++=beyond
the ^ati++++=the
endurance ^nn+nom+++=endurance
of ^in++++=of
man ^nn++++=man
( ^zz++++=(rat,
rat ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
will ^md+prd+++=will)
) ^zz++++=EXTRAWORD
and ^cc++++=and
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
leave ^vb++++=leave
of ^in++++=of
sanity ^nn++++=sanity.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
following ^vbg+++xvbg+=following
these ^dt+dem+++=these
days ^nns++++=days,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
after ^in++++=after
your ^pp$+pp2+++=your
recovery ^nn+nom+++=recovery
from ^in++++=from
the ^ati++++=the
last ^jj+atrb+++=last
bump ^nn++++=bump?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
the ^ati++++=the
name ^nn++++=name,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
something ^pn++++=something
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
name ^vb++++=name?
? ^zz++++=EXTRAWORD
The ^ati++++=The
rats ^nns++++=rats
have ^vb+hv+vrb++=have
a ^at++++=a
name ^nn++++=name
for ^in++++=for
it ^pp3+it+++=it
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
call ^vb++++=call
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
call ^vb++++=call
it ^pp3+it+++=it
and ^cc++++=and
it ^pp3+it+++=it
comes ^vbz++++=comes
in ^in++++=in
sheets ^nns++++=sheets,
, ^zz++++=EXTRAWORD
something ^pn++++=something
like ^in++++=like
insulating ^jj+atrb+++=insulating
board ^nn++++=board,
, ^zz++++=EXTRAWORD
unattainable ^jj++++=unattainable
and ^cc++++=and
ugli ^nn+++??+=ugli-proof.
- ^zz++++=EXTRAWORD
proof ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
man ^nn++++=man
out ^rp+pl+++=out
in ^in++++=in
Jersey ^np++++=Jersey,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
keep ^vb++++=keep
thinking ^nvbg+++xvbg+=thinking
about ^in++++=about
his ^pp$+pp3+++=his
terrible ^jj+atrb+++=terrible
necessity ^nn+nom+++=necessity
and ^cc++++=and
the ^ati++++=the
passion ^nn++++=passion
and ^cc++++=and
trouble ^nn++++=trouble
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
all ^abn++++=all
those ^dt+dem+++=those
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
indescribable ^jj+atrb+++=indescribable
abundance ^nn+nom+++=abundance
of ^in++++=of
a ^at++++=a
householder ^nn+nom+++=householder's
's ^$++++=EXTRAWORD
detail ^nn++++=detail,
, ^zz++++=EXTRAWORD
building ^nvbg+++xvbg+=building
the ^ati++++=the
estate ^nn++++=estate
and ^cc++++=and
the ^ati++++=the
planting ^jj+++xvbg+=planting
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees
and ^cc++++=and
in ^in++++=in
spring ^nn++++=spring
the ^ati++++=the
lawn ^nn++++=lawn-dressing
- ^zz++++=EXTRAWORD
dressing ^vbg+++xvbg+=EXTRAWORD
and ^cc++++=and
in ^in++++=in
fall ^nn++++=fall
the ^ati++++=the
bulbs ^nns++++=bulbs
for ^in++++=for
the ^ati++++=the
spring ^vb++++=spring
burgeoning ^jj+++xvbg+=burgeoning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
watering ^jj+++xvbg+=watering
of ^in++++=of
the ^ati++++=the
grass ^nn++++=grass
on ^in++++=on
the ^ati++++=the
long ^rb++++=long
light ^jj+atrb+++=light
evenings ^nns++++=evenings
in ^in++++=in
summer ^nn++++=summer
and ^cc++++=and
the ^ati++++=the
gravel ^nn++++=gravel
for ^in++++=for
the ^ati++++=the
driveway ^nn++++=driveway
( ^zz++++=(all
all ^abn++++=EXTRAWORD
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi++vrb++=be
thought ^nn+++xvbn+=thought
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
planned ^xvbn+++xvbn+=planned)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
decorative ^jj+atrb+++=decorative
borders ^nns+nom+++=borders,
, ^zz++++=EXTRAWORD
probably ^rb+cnj+++=probably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
perennials ^nns+nom+++=perennials
and ^cc++++=and
the ^ati++++=the
bug ^nn++++=bug
spray ^nn++++=spray,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
building ^jj+++xvbg+=building
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
from ^in++++=from
plans ^nns++++=plans
of ^in++++=of
the ^ati++++=the
architect ^nn++++=architect,
, ^zz++++=EXTRAWORD
first ^rb++++=first
the ^ati++++=the
sills ^nns++++=sills,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
studs ^nns++++=studs,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
full ^jj+atrb+++=full
corn ^nn++++=corn
in ^in++++=in
the ^ati++++=the
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
the ^ati++++=the
floors ^nn++++=floors
laid ^vbd+++xvbn+=laid
on ^rb+phrv+++=on
the ^ati++++=the
floor ^nn++++=floor
timbers ^nns+nom+++=timbers,
, ^zz++++=EXTRAWORD
smoothed ^j+++xvbn+=smoothed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
carpets ^nns++++=carpets
upon ^in++++=upon
the ^ati++++=the
smooth ^jj+atrb+++=smooth
floors ^nns++++=floors
and ^cc++++=and
the ^ati++++=the
curtains ^nns++++=curtains
and ^cc++++=and
the ^ati++++=the
rods ^nns++++=rods
therefor ^rb++++=therefor.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
without ^in++++=without
warning ^nn++++=warning,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
jumping ^vbg+++xvbgx+=jumping
at ^in+ppvb+++=at
the ^ati++++=the
same ^ap++++=same
old ^jj+atrb+++=old
door ^nn++++=door
and ^cc++++=and
it ^pp3+it+++=it
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
