About ^in++++=About
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
growing ^vbg+++xvbgx+=growing
thick ^jj++++=thick
on ^in++++=on
the ^ati++++=the
courtyard ^nn++++=courtyard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
thin ^jj+atrb+++=thin
moss ^np++++=moss
streaked ^vbd+++xvbn+=streaked
the ^ati++++=the
timber ^nn++++=timber
beams ^nns++++=beams;
; ^zz++++=EXTRAWORD
the ^ati++++=the
plaster ^nn+nom+++=plaster
was ^vbd+bedz+aux++=was
discoloured ^vpsv++by+xvbnx+=discoloured
by ^in++++=by
time ^nn++++=time
and ^cc++++=and
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bore ^vbd+++xvbn+=bore
great ^jj+atrb+++=great
russet ^jj+atrb+++=russet
and ^cc+phrs+++=and
yellow ^jj+atrb+++=yellow
stains ^nns++++=stains.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gloom ^nn++++=gloom
was ^vbd+bedz+aux++=was
increased ^vpsv++by+xvbnx+=increased
by ^in++++=by
several ^ap++++=several
grand ^jj+atrb+++=grand
old ^jj+atrb+++=old
trees ^nns++++=trees
that ^tht+rel+subj++=that
crowded ^vbd+++xvbn+=crowded
close ^jj++++=close
about ^in++++=about
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mounted ^vbd+++xvbnx+=mounted
the ^ati++++=the
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vpsv++agls+xvbn+=looked
round ^rb++++=round;
; ^zz++++=EXTRAWORD
the ^ati++++=the
dark ^jj+atrb+++=dark
lake ^nn++++=lake
lay ^vbd+++xvbn+=lay
near ^rb++++=near
me ^pp1o+pp1+++=me
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
large ^jj++++=large;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
have ^vb+hv+aux++=have
covered ^vprf+++xvbnx+=covered
some ^dti++++=some
ten ^cd++++=ten
or ^cc++++=or
twelve ^cd++++=twelve
acres ^nns++++=acres;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
added ^vbd+vpub++xvbn+=added
to ^in++++=to
the ^ati++++=the
melancholy ^nn++++=melancholy
of ^in++++=of
the ^ati++++=the
scene ^nn++++=scene.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
island ^nn++++=island,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
old ^jj+atrb+++=old
ash ^nn++++=ash
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
toward ^in++++=toward
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
pensive ^jj+atrb+++=pensive
images ^nns++++=images
reflected ^vbd+vprv++xvbn+=reflected
in ^in++++=in
the ^ati++++=the
stirless ^jj+atrb+++=stirless
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^rb+down+++=only
cheery ^jj+atrb+++=cheery
influence ^nn+nom+++=influence
in ^in++++=in
this ^dt+dem+++=this
scene ^nn++++=scene
of ^in++++=of
antiquity ^nn+nom+++=antiquity,
, ^zz++++=EXTRAWORD
solitude ^nn++++=solitude,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
neglect ^nn++++=neglect
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
landscape ^nn++++=landscape
were ^vbd+bed+aux++=were
warmed ^vpsv++agls+xvbnx+=warmed
with ^in++++=with
the ^ati++++=the
ruddy ^jj+atrb+++=ruddy
western ^jj+atrb+++=western
beams ^nns++++=beams.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knocked ^vbd+++xvbnx+=knocked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
summons ^nn++++=summons
resounded ^vbd+++xvbn+=resounded
hollow ^jj++++=hollow
and ^cc+phrs+++=and
ungenial ^jj++++=ungenial
in ^in++++=in
my ^pp$+pp1+++=my
ear ^nn++++=ear;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
from ^in++++=from
far ^rb+pl+++=far
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
returned ^j+++xvbn+=returned
a ^at++++=a
deep ^jj++++=deep-mouthed
- ^zz++++=EXTRAWORD
mouthed ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
surly ^jj+atrb+++=surly
ring ^nn++++=ring,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
resented ^vbd+++xvbn+=resented
being ^xvbg+++xvbg+=being
roused ^vbd+++xvbn+=roused
from ^in++++=from
a ^at++++=a
score ^nn++++=score
years ^nns++++=years'
' ^zz++++=EXTRAWORD
slumber ^jjr++++=slumber.
. ^zz++++=EXTRAWORD
A ^at++++=A
light ^nn++++=light-limbed,
- ^zz++++=EXTRAWORD
limbed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
jolly ^jj++++=jolly-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
old ^jj++++=old
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
barracan ^jj+atrb+++=barracan
jacket ^nn++++=jacket
and ^cc++++=and
gaiters ^nns+nom+++=gaiters,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
smile ^nn++++=smile
of ^in++++=of
welcome ^nn++++=welcome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
very ^ql+amp+++=very
sharp ^np++++=sharp,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
promise ^vbi+vpub+++=promise
good ^jj+atrb+++=good
cheer ^nn++++=cheer,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door
with ^in++++=with
a ^at++++=a
promptitude ^nn+++??+=promptitude
that ^tht+rel+++=that
indicated ^jj+++xvbn+=indicated
a ^at++++=a
hospitable ^jj+atrb+++=hospitable
expectation ^nn+nom+++=expectation
of ^in++++=of
my ^pp$+pp1+++=my
arrival ^nn++++=arrival.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
but ^cc++++=but
little ^ap++++=little
light ^jj++++=light
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
little ^ap++++=little
lost ^vprf+++xvbn+=lost
itself ^ppl++++=itself
in ^in++++=in
darkness ^nns+nom+++=darkness
in ^in++++=in
the ^ati++++=the
background ^nn++++=background.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
spacious ^jj++++=spacious
and ^cc++++=and
lofty ^np++++=lofty,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
gallery ^nn+nom+++=gallery
running ^vwbg+++xvbg+=running
round ^in++++=round
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
door ^nn++++=door
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
visible ^jj+pred+++=visible
at ^in++++=at
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
points ^nns++++=points.
. ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark
my ^pp$+pp1+++=my
new ^jj+atrb+++=new
acquaintance ^nn+nom+++=acquaintance
led ^vbd+++xvbn+=led
me ^pp1o+pp1+++=me
across ^in+pl+++=across
this ^dt+dem+++=this
wide ^jj+atrb+++=wide
hall ^nn++++=hall
into ^in++++=into
the ^ati++++=the
room ^nn++++=room
destined ^vbd+++xvbn+=destined
for ^in++++=for
my ^pp$+pp1+++=my
reception ^nn+nom+++=reception.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
spacious ^jj+pred+++=spacious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wainscoted ^vbd+++xvbn+=wainscoted
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
ceiling ^nn+nom+++=ceiling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
furniture ^nn++++=furniture
of ^in++++=of
this ^dt+dem+++=this
capacious ^jj+atrb+++=capacious
chamber ^nn++++=chamber
was ^vbd+bedz+vrb++=was
old ^jj+pred+++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^vwbn+++xvbn+=EXTRAWORD
and ^cc++++=and
clumsy ^jj++++=clumsy.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
curtains ^nns++++=curtains
still ^rb++++=still
to ^in++++=to
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
Turkey ^nn++++=Turkey
carpet ^nn++++=carpet
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor;
; ^zz++++=EXTRAWORD
those ^dt+dem+++=those
windows ^nns++++=windows
were ^vbd+bed+vrb++=were
two ^cd++++=two
in ^in++++=in
number ^nn++++=number,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
trunks ^nns++++=trunks
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
needed ^vbd+++xvbn+=needed
all ^abn++++=all
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
pleasant ^jj+atrb+++=pleasant
associations ^nns+nom+++=associations
of ^in++++=of
my ^pp$+pp1+++=my
entertainer ^nn+nom+++=entertainer's
's ^vbz+bez+vrb++0=EXTRAWORD
red ^jj+atrb+++=red
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
to ^in++++=to
light ^nn++++=light
up ^rp++++=up
this ^dt+dem+++=this
melancholy ^jj+atrb+++=melancholy
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
A ^at++++=A
door ^nn++++=door
at ^in++++=at
its ^pp$+it+++=its
farther ^rbr++++=farther
end ^vb++++=end
admitted ^vbd+vpub++xvbn+=admitted
to ^in++++=to
the ^ati++++=the
room ^nn++++=room
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
prepared ^vpsv++agls+xvbnx+=prepared
for ^in++++=for
my ^pp$+pp1+++=my
sleeping ^jj+atrb++xvbg+=sleeping
apartment ^nn+nom+++=apartment.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
wainscoted ^vpsv++agls+xvbnx+=wainscoted,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
a ^at++++=a
four ^cd++++=four-post
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
with ^in++++=with
heavy ^jj+atrb+++=heavy
tapestry ^nn++++=tapestry
curtains ^nns++++=curtains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
other ^ap++++=other
respects ^nns++++=respects
was ^vbd+bedz+aux++=was
furnished ^vpsv++agls+xvbnx+=furnished
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
old ^jj++++=old-world
- ^zz++++=EXTRAWORD
world ^nn++++=EXTRAWORD
and ^cc++++=and
ponderous ^jj+atrb+++=ponderous
style ^nn++++=style
as ^in++++=as
the ^ati++++=the
other ^ap++++=other
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
window ^nn++++=window,
, ^zz++++=EXTRAWORD
like ^in++++=like
those ^dt+dem+++=those
of ^in++++=of
that ^dt+dem+++=that
apartment ^nn+nom+++=apartment,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
out ^rp+pl+++=out
upon ^in++++=upon
the ^ati++++=the
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
Sombre ^jj++++=Sombre
and ^cc+phrs+++=and
sad ^jj++++=sad
as ^ql++++=as
these ^dt+dem+++=these
rooms ^nns++++=rooms
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
yet ^rb++++=yet
scrupulously ^rb++++=scrupulously
clean ^jj++++=clean.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^to++++=to
complain ^vbi+vpub+++=complain
of ^in+strn+++=of;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
effect ^nn++++=effect
was ^vbd+bedz+aux++=was
rather ^rb++splt++=rather
dispiriting ^vbg+++xvbgx+=dispiriting.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
given ^vprf+++xvbn+=given
some ^dti++++=some
directions ^nns+nom+++=directions
about ^in++++=about
supper ^nn++++=supper--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
pleasant ^jj+atrb+++=pleasant
incident ^nn++++=incident
to ^to++++=to
look ^vbi++++=look
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
made ^vbd+++xvbn+=made
a ^at++++=a
rapid ^jj+atrb+++=rapid
toilet ^nn++++=toilet,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
on ^in+ppvb+++=on
my ^pp$+pp1+++=my
friend ^nn++++=friend
with ^in++++=with
the ^ati++++=the
gaiters ^nns+nom+++=gaiters
and ^cc++++=and
red ^jj+atrb+++=red
nose ^nn++++=nose
( ^zz++++=(Tom
tom ^np++++=EXTRAWORD
Wyndsour ^np+++??+=Wyndsour)
) ^zz++++=EXTRAWORD
whose ^whp+who+++=whose
occupation ^nn+nom+++=occupation
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
a ^at++++=a
" ^zz++++="bailiff,"
bailiff ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
under ^in++++=under-steward,
- ^zz++++=EXTRAWORD
steward ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
property ^nn++++=property,
, ^zz++++=EXTRAWORD
to ^to++++=to
accompany ^vbi++++=accompany
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
still ^rb++++=still
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
so ^rb++++=so
of ^in++++=of
sun ^nn++++=sun
and ^cc++++=and
twilight ^nn++++=twilight,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
walk ^nn++++=walk
over ^rp++++=over
the ^ati++++=the
grounds ^nns++++=grounds.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
sweet ^jj+atrb+++=sweet
autumn ^nn++++=autumn
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
guide ^nn++++=guide,
, ^zz++++=EXTRAWORD
a ^at++++=a
hardy ^jj++++=hardy
old ^jj++++=old
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
strode ^j+++xvbn+=strode
at ^in++++=at
a ^at++++=a
pace ^nn++++=pace
that ^tht+rel+++=that
tasked ^jj+++xvbn+=tasked
me ^pp1o+pp1+++=me
to ^to++++=to
keep ^vbi++++=keep
up ^rb+phrv+++=up
with ^in+ppvb+++=with.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
clumps ^nns++++=clumps
of ^in++++=of
trees ^nns++++=trees
at ^in++++=at
the ^ati++++=the
northern ^jj+atrb+++=northern
boundary ^nn+nom+++=boundary
of ^in++++=of
the ^ati++++=the
demesne ^nn+++??+=demesne
we ^pp1a+pp1+++=we
lighted ^vbd+++xvbn+=lighted
upon ^in++++=upon
the ^ati++++=the
little ^jj+atrb+++=little
antique ^jj+atrb+++=antique
parish ^nn++++=parish
church ^nn++++=church.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
down ^rp++++=down
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
from ^in++++=from
an ^at++++=an
eminence ^nn+nom+++=eminence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
park ^npl++++=park-wall
- ^zz++++=EXTRAWORD
wall ^nn++++=EXTRAWORD
interposed ^vbd+++xvbn+=interposed;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^rb++++=a
little ^rb"++++=little
way ^nn++++=way
down ^in++++=down
was ^vbd+bedz+vrb++=was
a ^at++++=a
stile ^nn++++=stile
affording ^vwbg+++xvbg+=affording
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
this ^dt+dem+++=this
we ^pp1a+pp1+++=we
approached ^vbd+++xvbn+=approached
the ^ati++++=the
iron ^nn++++=iron
gate ^nn++++=gate
of ^in++++=of
the ^ati++++=the
churchyard ^nn++++=churchyard.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
church ^nn++++=church
door ^nn++++=door
open ^nn++++=open;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sexton ^np++++=sexton
was ^vbd+bedz+aux++=was
replacing ^vbg+++xvbgx+=replacing
his ^pp$+pp3+++=his
pick ^nn++++=pick,
, ^zz++++=EXTRAWORD
shovel ^nn++++=shovel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spade ^nn++++=spade,
, ^zz++++=EXTRAWORD
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
been ^vprf+ben+aux+xvbnx+=been
digging ^vbg+++xvbgx+=digging
a ^at++++=a
grave ^nn++++=grave
in ^in++++=in
the ^ati++++=the
churchyard ^nn++++=churchyard,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
little ^jj+atrb+++=little
repository ^nn++++=repository
under ^in++++=under
the ^ati++++=the
stone ^nn++++=stone
stair ^nn++++=stair
of ^in++++=of
the ^ati++++=the
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
polite ^jj++++=polite,
, ^zz++++=EXTRAWORD
shrewd ^jj++++=shrewd
little ^ap++++=little
hunchback ^nn+++??+=hunchback,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
happy ^jj++++=happy
to ^to+jcmp+++=to
show ^vbi+vprv+++=show
me ^pp1o+pp1+++=me
over ^in++++=over
the ^ati++++=the
church ^nn++++=church.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
monuments ^nns+nom+++=monuments
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
that ^cs+sub+++=that
interested ^jj++++=interested
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
erected ^vpsv++agls+xvbnx+=erected
to ^to++++=to
commemorate ^nn+nom+++=commemorate
the ^ati++++=the
very ^ap+amp+++=very
Squire ^nn++++=Squire
Bowes ^np++++=Bowes
from ^in++++=from
whom ^whp+rel+pied++=whom
my ^pp$+pp1+++=my
two ^cd++++=two
old ^jj+atrb+++=old
maids ^nns++++=maids
had ^vbd+hvd+aux++=had
inherited ^vprf+++xvbnx+=inherited
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
estate ^nn++++=estate
of ^in++++=of
Barwyke ^np+++??+=Barwyke.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
him ^pp3o+pp3+++=him
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
grandiloquent ^jj+atrb+++=grandiloquent
eulogy ^nn+++??+=eulogy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
informed ^vbd+vpub++xvbn+=informed
the ^ati++++=the
Christian ^jj+atrb+++=Christian
reader ^nn++++=reader
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
bosom ^nn++++=bosom
of ^in++++=of
the ^ati++++=the
Church ^nn++++=Church
of ^in++++=of
England ^np++++=England,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
seventy ^cd++++=seventy-one.
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
this ^dt+dem+++=this
inscription ^nn+nom+++=inscription
by ^in++++=by
the ^ati++++=the
parting ^jj+atrb++xvbg+=parting
beams ^nns++++=beams
of ^in++++=of
the ^ati++++=the
setting ^jj+atrb++xvbg+=setting
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
disappeared ^vbd+seem++xvbn+=disappeared
behind ^in+pl+++=behind
the ^ati++++=the
horizon ^nn++++=horizon
just ^rb+emph+++=just
as ^ql++++=as
we ^pp1a+pp1+++=we
passed ^vbd+++xvbn+=passed
out ^rp+pl+++=out
from ^in++++=from
under ^in++++=under
the ^ati++++=the
porch ^nn++++=porch.
. ^zz++++=EXTRAWORD
" ^zz++++="Twenty
twenty ^cd++++=EXTRAWORD
years ^nns++++=years
since ^cs+sub+++=since
the ^ati++++=the
Squire ^nn++++=Squire
died ^vbd+++xvbn+=died,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
as ^ql++++=as
I ^pp1a+pp1+++=I
loitered ^vbd+++xvbnx+=loitered
still ^jj+pred+++=still
in ^in++++=in
the ^ati++++=the
churchyard ^nn++++=churchyard.
. ^zz++++=EXTRAWORD
" ^zz++++="Ay,
ay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
it ^pp3+it+++0='twill
will ^md+prd+++=EXTRAWORD
be ^vb+be+vrb++=be
twenty ^cd++++=twenty
year ^nn++++=year
the ^ati++++=the
ninth ^od++++=ninth
of ^in++++0=o'
last ^jj+atrb+++=last
month ^nn++++=month."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
good ^jj+atrb+++=good
old ^jj+atrb+++=old
gentleman ^nn+nom+++=gentleman?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good-natured
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
natured ^jj++++=EXTRAWORD
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
easy ^jj+atrb+++=easy
gentleman ^nn+nom+++=gentleman
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
he ^pp3a+pp3+++=he
ever ^rb++++=ever
hurt ^vb+++xvbn+=hurt
a ^at++++=a
fly ^nn++++=fly,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
acquiesced ^vbd+++xvbn+=acquiesced
Tom ^np++++=Tom
Wyndsour ^np+++??+=Wyndsour.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
always ^rb++++=always
easy ^jj+atrb+++=easy
sayin ^nn+++??+=sayin'
' ^zz++++=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
them ^pp3o+pp3+++0='em
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
may ^md+pos+++=may
take ^vb++++=take
or ^cc++++=or
turn ^nn++++=turn
to ^in++++=to
afterwards ^rb+tm+++=afterwards;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
of ^in++++0=o'
them ^pp3o+pp3+++=them
sort ^nn++++=sort,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
goes ^vbz++++=goes
mad ^jj++++=mad."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
mind ^nn++++=mind?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="He?
he ^pp3a+pp3+++=EXTRAWORD
? ^zz++++=EXTRAWORD
La ^&fw++++=La!
! ^zz++++=EXTRAWORD
no ^at++++=no;
