Arthur ^np++++=Arthur
straight ^rb++++=straight
to ^in++++=to
the ^ati++++=the
bar ^nn++++=bar
and ^cc++++=and
made ^vbd+++xvbn+=made
the ^ati++++=the
purchase ^nn++++=purchase.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
unusual ^jj++++=unusual
that ^tht+jcmp+++=that
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
served ^vbd+++xvbn+=served
him ^pp3o+pp3+++=him
looked ^vbd+++xvbn+=looked
sharply ^rb++++=sharply
at ^in++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Ain't
ai ^vb+be+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
drink ^vbi++++=drink
all ^rb++++=all
of ^in++++0=o'
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
friends ^nns++++=friends
in ^in++++=in
the ^ati++++=the
box ^nn++++=box,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Kimberlin ^np+++??+=Kimberlin,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we
want ^vb++++=want
to ^to+vcmp+++=to
drink ^vbi++++=drink
quietly ^rb++++=quietly
and ^cc++++=and
without ^in++++=without
interruption ^nn+nom+++=interruption.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
in ^in++++=in
Number ^nn++++=Number
7 ^zz++++=7."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
beg ^vb++++=beg
pardon ^nn++++=pardon.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Kimberlin ^np++++=Kimberlin's
's ^$++++=EXTRAWORD
step ^nn++++=step
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
much ^ap++++=much
stronger ^jjr++++=stronger
and ^cc+phrs+++=and
steadier ^jjr++++=steadier
as ^ql++++=as
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
with ^in++++=with
the ^ati++++=the
liquor ^nn++++=liquor.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
booth ^nn++++=booth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn+nom+++=stranger
sat ^vbd+++xvbn+=sat
at ^in++++=at
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
table ^nn++++=table,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
at ^rb++++=at
the ^ati++++=the
opposite ^jj+atrb+++=opposite
wall ^nn++++=wall
just ^rb+emph+++=just
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
stared ^vprf+++xvbnx+=stared
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
a ^at++++=a
wide ^jj++++=wide-brimmed,
- ^zz++++=EXTRAWORD
brimmed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
slouch ^nn++++=slouch
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=drawn
well ^jj+pred+++=well
down ^rp++++=down.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
after ^cs+sub+++=after
Kimberlin ^np+++??+=Kimberlin
had ^vbd+hvd+aux++=had
set ^vprf+++xvbnx+=set
the ^ati++++=the
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
pitcher ^nn++++=pitcher,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glasses ^nns++++=glasses
on ^in++++=on
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seated ^vbd+++xvbn+=seated
himself ^ppl+pp3+++=himself
opposite ^in++++=opposite
the ^ati++++=the
stranger ^nn+nom+++=stranger
and ^cc++++=and
within ^in++++=within
his ^pp$+pp3+++=his
range ^nn++++=range
of ^in++++=of
vision ^nn++++=vision,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
pale ^jj+atrb+++=pale
man ^nn++++=man
noticed ^vbd+vprv++xvbn+=noticed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
brought ^vprf+++xvbnx+=brought
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
kind ^rb++++=kind
of ^rb"++++=of
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
please ^uh++++=please
lock ^nn++++=lock
the ^ati++++=the
door ^nn++++=door."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kimberlin ^np+++??+=Kimberlin
had ^vbd+hvd+aux++=had
slipped ^vprf+++xvbnx+=slipped
the ^ati++++=the
change ^nn++++=change
into ^in++++=into
his ^pp$+pp3+++=his
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
act ^nn++++=act
of ^in++++=of
bringing ^xvbg+++xvbg+=bringing
it ^pp3+it+++=it
out ^rp+pl+++=out
when ^wrb+who+++=when
the ^ati++++=the
stranger ^nn+nom+++=stranger
said, ^nn+++??+=said,-"Keep
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
keep ^vb++++=EXTRAWORD
the ^ati++++=the
change ^nn++++=change.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
need ^vb++++=need
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
get ^vb++++=get
it ^pp3+it+++=it
back ^jjb++++=back
in ^in++++=in
a ^at++++=a
way ^nn++++=way
that ^tht+rel+obj++=that
may ^md+pos+++=may
interest ^vb++++=interest
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
first ^od++++=first
drink ^vb++++=drink,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
will ^md+prd+++=will
explain ^vb+vpub+++=explain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
pale ^jj+atrb+++=pale
man ^nn++++=man
mixed ^vbd+++xvbn+=mixed
two ^cd++++=two
drinks ^nns++++=drinks
of ^in++++=of
absinthe ^nn++++=absinthe
and ^cc++++=and
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
two ^cd++++=two
drank ^vbd+++xvbn+=drank.
. ^zz++++=EXTRAWORD
Kimberlin ^np+++??+=Kimberlin,
, ^zz++++=EXTRAWORD
unsophisticated ^jj++++=unsophisticated,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
never ^rb++splt++=never
tasted ^vprf+++xvbn+=tasted
the ^ati++++=the
liquor ^nn++++=liquor
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
harsh ^jj++++=harsh
and ^cc++++=and
offensive ^nn++++=offensive;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
sooner ^rbr++++=sooner
had ^vb+hv+aux++=had
it ^pp3+it+++=it
reached ^vbd+++xvbn+=reached
his ^pp$+pp3+++=his
stomach ^nn++++=stomach
than ^in++++=than
it ^pp3+it+++=it
began ^vbd+++xvbn+=began
to ^to++++=to
warm ^vbi++++=warm
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vbd+++xvbn+=sent
the ^ati++++=the
most ^ql+emph+++=most
delicious ^jj+atrb+++=delicious
thrill ^nn++++=thrill
through ^in++++=through
his ^pp$+pp3+++=his
frame ^nn++++=frame.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=will
do ^vb+do+vrb++=do
us ^pp1o+pp1+++=us
good ^jj++++=good,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
stranger ^nn+nom+++=stranger;
; ^zz++++=EXTRAWORD
" ^zz++++="presently
presently ^rb+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Meanwhile ^rb+cnj+++=Meanwhile,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
throw ^vbi++++=throw
dice ^nns++++=dice?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kimberlin ^np+++??+=Kimberlin
weakly ^rb++++=weakly
confessed ^vbd+vpub++xvbn+=confessed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
please ^uh++++=please
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
bar ^nn++++=bar
and ^cc++++=and
bring ^vb++++=bring
a ^at++++=a
dice ^nns++++=dice-box.
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
ring ^vb++++=ring
for ^in++++=for
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
the ^ati++++=the
waiters ^nns+nom+++=waiters
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
coming ^vbg+++xvbgx+=coming
in ^in+strn+++=in."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kimberlin ^np+++??+=Kimberlin
fetched ^vbd+++xvbn+=fetched
the ^ati++++=the
box ^nn++++=box,
, ^zz++++=EXTRAWORD
again ^rb+tm+++=again
locked ^vbd+++xvbn+=locked
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
game ^nn++++=game
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
simple ^jj+atrb+++=simple
old ^jj+atrb+++=old
games ^nns++++=games,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+vrb++=had
complications ^nns+nom+++=complications,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
judgment ^nn+nom+++=judgment,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
played ^j+++xvbn+=played
a ^at++++=a
part ^nn++++=part.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
game ^nn++++=game
or ^cc++++=or
two ^cd++++=two
without ^in++++=without
stakes ^nns++++=stakes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stranger ^nn+nom+++=stranger
said, ^nn+++??+=said,-"You
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
now ^rn+tm+++=now
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
well ^rb++++=well--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
show ^vb+vprv+tht0++=show
you ^pp2+pp2+++=you
that ^cs+sub+++=that
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will
now ^rn+tm+splt++=now
throw ^vb++++=throw
for ^in++++=for
a ^at++++=a
dollar ^nn++++=dollar
a ^at++++=a
game ^nn++++=game,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^cs+sub+++=in
that ^cs"++++=that
way ^nn++++=way
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
win ^vb++++=win
the ^ati++++=the
money ^nn++++=money
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
received ^vbd+++xvbn+=received
in ^in++++=in
change ^nn++++=change.
. ^zz++++=EXTRAWORD
Otherwise ^rb+cnj+++=Otherwise
I ^pp1a+pp1+++=I
should ^md+nec+++=should
be ^vb+be+aux++=be
robbing ^vbg+++xvbgx+=robbing
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
imagine ^vb+vprv+tht0++=imagine
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
afford ^vb++++=afford
to ^to+vcmp+++=to
lose ^vbi++++=lose.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean
no ^at++++=no
offence ^nn+nom+++=offence.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
plain ^jj++++=plain-spoken
- ^zz++++=EXTRAWORD
spoken ^vprf+++xvbn+=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
in ^in++++=in
honesty ^nn++++=honesty
before ^in++++=before
politeness ^nns+nom+++=politeness.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
merely ^rb+down+++=merely
want ^vb++++=want
a ^rb++++=a
little ^rb"++++=little
diversion ^nn++++=diversion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
so ^cs+sub+++=so
kind ^nn++++=kind-natured
- ^zz++++=EXTRAWORD
natured ^jj++++=EXTRAWORD
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure
you ^pp2+pp2+++=you
will ^md+prd+++=will
not ^xnot++not++=not
object ^nn++++=object."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
contrary ^nn+nom+++=contrary,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Kimberlin ^np+++??+=Kimberlin,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
enjoy ^vb++++=enjoy
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
well ^rb++++=well;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
have ^vb+hv+aux++=have
another ^dt++++=another
drink ^vb++++=drink
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
start ^vb++++=start.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
growing ^vbg+++xvbgx+=growing
colder ^jjr++++=colder."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
drank ^vbd+++xvbnx+=drank
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
time ^nn++++=time
the ^ati++++=the
starving ^jj+atrb++xvbg+=starving
man ^nn++++=man
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
liquor ^nn++++=liquor
with ^in++++=with
relish ^nn++++=relish--at
-- ^--+clp+++=EXTRAWORD
at ^rb++++=EXTRAWORD
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
something ^pn++++=something
in ^in++++=in
his ^pp$+pp3+++=his
stomach ^nn++++=stomach,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
warmed ^vbd+++xvbn+=warmed
and ^cc+phrs+++=and
delighted ^vbd+++xvbn+=delighted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stake ^nn++++=stake
was ^vbd+bedz+vrb++=was
a ^at++++=a
dollar ^nn++++=dollar
a ^at++++=a
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Kimberlin ^np+++??+=Kimberlin
won ^vbd+++xvbn+=won.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pale ^jj++++=pale
stranger ^jjr++++=stranger
smiled ^jj+++xvbn+=smiled
grimly ^rb+cnj+++=grimly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
opened ^vbd+++xvbn+=opened
another ^ppls++++=another
game ^nn++++=game.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
Kimberlin ^np+++??+=Kimberlin
won ^vbd+++xvbn+=won.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
stranger ^nn++++=stranger
pushed ^vwbn+++xvbn+=pushed
back ^jjb++++=back
his ^pp$+pp3+++=his
hat ^nn++++=hat
and ^cc++++=and
fixed ^xvbn+++xvbn+=fixed
that ^dt+dem+++=that
still ^rb+atrb+++=still
gaze ^nn++++=gaze
upon ^in++++=upon
his ^pp$+pp3+++=his
opponent ^nn++++=opponent,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
full ^jj+atrb+++=full
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
pale ^jj+atrb+++=pale
stranger ^jjr+atrb+++=stranger's
's ^vbz+bez+vrb++0=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
Kimberlin ^np+++??+=Kimberlin
was ^vbd+bedz+aux++=was
more ^rbr++splt++=more
appalled ^vpsv++agls+xvbnx+=appalled
than ^in++++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
acquire ^vbi++++=acquire
a ^at++++=a
certain ^jj+atrb+++=certain
self ^nn++++=self-possession
- ^zz++++=EXTRAWORD
possession ^nn++++=EXTRAWORD
and ^cc++++=and
ease ^nn++++=ease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
marvelling ^nn+nom+++=marvelling
at ^in++++=at
the ^ati++++=the
singular ^jj+atrb+++=singular
character ^nn+nom+++=character
of ^in++++=of
the ^ati++++=the
adventure ^nn++++=adventure
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
weaken ^vbi++++=weaken,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
this ^dt+dem+++=this
new ^jj+atrb+++=new
incident ^nn++++=incident
threw ^vbd+++xvbn+=threw
him ^pp3o+pp3+++=him
back ^jjb++++=back
into ^in++++=into
confusion ^nn++++=confusion.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
extraordinary ^jj+atrb+++=extraordinary
expression ^nn++++=expression
of ^in++++=of
the ^ati++++=the
stranger ^jjr+atrb+++=stranger's
's ^vbz+bez+vrb++0=EXTRAWORD
face ^nn++++=face
that ^tht+rel+++=that
alarmed ^jj+++xvbn+=alarmed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
upon ^in++++=upon
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
a ^at++++=a
living ^nn++++=living
being ^vwbg+beg++xvbg+=being
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
seen ^vbd+vprv++xvbnx+=seen
a ^at++++=a
pallor ^nn++++=pallor
so ^cs+sub+++=so
death ^nn++++=death-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
and ^cc++++=and
chilling ^jj+++xvbg+=chilling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
face ^nn++++=face
was ^vbd+bedz+vrb++=was
more ^ql++++=more
than ^cs+sub+++=than
pale ^nn++++=pale;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
white ^jj+pred+++=white.
. ^zz++++=EXTRAWORD
Kimberlin ^np++++=Kimberlin's
's ^vbz+bez+aux++0=EXTRAWORD
observing ^vbg+vprv+tht0+xvbg+=observing
faculty ^nn++++=faculty
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sharpened ^vpsv++by+xvbnx+=sharpened
by ^in++++=by
the ^ati++++=the
absinthe ^nn++++=absinthe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
having ^nn+nn+aux++=having
detected ^vwbn+++xvbn+=detected
the ^ati++++=the
stranger ^nn+nom+++=stranger
in ^in++++=in
an ^at++++=an
absent ^jj++++=absent-minded
- ^zz++++=EXTRAWORD
minded ^jj+atrb++xvbn+=EXTRAWORD
effort ^nn++++=effort
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
times ^nns++++=times
to ^in++++=to
stroke ^nn++++=stroke
a ^at++++=a
beard ^nn++++=beard
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
no ^at++++=no
existence ^nn+nom+++=existence,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reflected ^vbd+vprv++xvbnx+=reflected
that ^tht+vcmp+++=that
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
whiteness ^nns+nom+++=whiteness
of ^in++++=of
the ^ati++++=the
face ^nn++++=face
might ^md+pos+++=might
be ^vb+be+vrb++=be
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
recent ^jj+atrb+++=recent
removal ^nn++++=removal
of ^in++++=of
a ^at++++=a
full ^jj+atrb+++=full
beard ^nn++++=beard.
. ^zz++++=EXTRAWORD
Besides ^rb+cnj+++=Besides
the ^ati++++=the
pallor ^nn++++=pallor,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
deep ^jj+pred+++=deep
and ^cc+phrs+++=and
sharp ^jj+atrb+++=sharp
lines ^nns++++=lines
upon ^in++++=upon
the ^ati++++=the
face ^nn++++=face,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
electric ^jj++++=electric
light ^jj++++=light
brought ^xvbn+++xvbn+=brought
out ^rb+phrv+++=out
very ^ql+amp+++=very
distinctly ^rb++++=distinctly.
. ^zz++++=EXTRAWORD
With ^in+cmpx+++=With
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
the ^ati++++=the
steady ^jj+atrb+++=steady
glance ^nn++++=glance
of ^in++++=of
the ^ati++++=the
eyes ^nns++++=eyes
and ^cc++++=and
an ^at++++=an
occasional ^jj+atrb+++=occasional
hard ^jj+atrb+++=hard
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
seemed ^vprf+++xvbn+=seemed
out ^rp+pl+++=out
of ^in++++=of
place ^nn++++=place
upon ^in++++=upon
such ^abl++++=such
a ^at++++=a
face ^nn++++=face,
, ^zz++++=EXTRAWORD
the ^ati++++=the
expression ^nn++++=expression
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
stone ^nn++++=stone
inartistically ^rb++++=inartistically
cut ^vbd+++xvbn+=cut.
. ^zz++++=EXTRAWORD
The ^ati++++=The
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
black ^jj+pred+++=black,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
heavy ^jj+atrb+++=heavy
expression ^nn++++=expression;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lower ^jjr+atrb+++=lower
lip ^nn++++=lip
was ^vbd+bedz+vrb++=was
purple ^jj+pred+++=purple;
; ^zz++++=EXTRAWORD
the ^ati++++=the
hands ^nns++++=hands
were ^vbd+bed+vrb++=were
fine ^jj+pred+++=fine,
, ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dark ^jj+atrb+++=dark
veins ^nns++++=veins
bulged ^vbd+++xvbn+=bulged
out ^rp+pl+++=out
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn++++=stranger
pulled ^vbd+++xvbn+=pulled
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
lucky ^jj+pred+++=lucky,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Suppose
suppose ^vb+vprv+tht0++=EXTRAWORD
we ^pp1a+pp1+++=we
try ^vb++++=try
another ^dt++++=another
drink ^vb++++=drink.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
like ^in++++=like
absinthe ^nn++++=absinthe
to ^to++++=to
sharpen ^vbi++++=sharpen
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
wits ^nns++++=wits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
