An ^at++++=An
reflection ^nn+nom+++=reflection.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
also ^rb++++=also
was ^vbd+bedz+vrb++=was
dull ^jj+pred+++=dull
enough ^qlp++++=enough
work ^nn++++=work,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
about ^in++++=about
doing ^xvbg+++xvbg+=doing
anything ^pn++++=anything
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
door ^nn++++=door
opened ^vbd+++xvbn+=opened.
. ^zz++++=EXTRAWORD
Heaven ^nn++++=Heaven
be ^vb+be+aux++=be
praised ^vpsv++agls+xvbnx+=praised!
! ^zz++++=EXTRAWORD
Some ^dti++++=Some
one ^cd1++++=one
came ^vbd+++xvbn+=came
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Student ^np++++=Student,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
no ^at++++=no
pressing ^jj+atrb++xvbg+=pressing
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Teresa ^np++++=Teresa.
. ^zz++++=EXTRAWORD
Humph ^np+++??+=Humph!
! ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
ask ^vb++++=ask
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
to ^to++++=to
write ^vbi++++=write
me ^pp1o+pp1+++=me
another ^dt++++=another
letter ^nn++++=letter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
well ^rb++++=well!
! ^zz++++=EXTRAWORD
To ^in++++=To
Boles ^np+++??+=Boles,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
time ^nn++++=time
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
from ^in++++=from
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wha-at?"
wha ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
at ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Stupid
stupid ^jj++++=EXTRAWORD
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Student ^np++++=Student,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
your ^pp$+pp2+++=your
pardon ^nn++++=pardon.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
for ^in++++=for
a ^at++++=a
friend ^nn++++=friend
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
friend ^nn++++=friend
but ^cc++++=but
an ^at++++=an
acquaintance ^nn+nom+++=acquaintance--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
man ^nn++++=man
acquaintance ^nn+nom+++=acquaintance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
a ^at++++=a
sweetheart ^nn++++=sweetheart
just ^rb+emph+++=just
like ^in++++=like
me ^pp1o+pp1+++=me
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
Teresa ^np++++=Teresa.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
how ^wrb+who+++=how
it ^pp3+it+++=it
is ^vbz+bez+aux++=is.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
write ^vb++++=write
a ^at++++=a
letter ^nn++++=letter
to ^in++++=to
this ^dt+dem+++=this
Teresa ^np++++=Teresa?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp$+pp3+++=her--her
-- ^--+clp+++=EXTRAWORD
her ^pp$+pp3+++=EXTRAWORD
face ^nn++++=face
was ^vbd+bedz+aux++=was
troubled ^vpsv++agls+xvbnx+=troubled,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers
were ^vbd+bed+aux++=were
trembling ^nvbg+++xvbg+=trembling.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
bit ^nn++++=bit
fogged ^vbd+++xvbn+=fogged
at ^rb++++=at
first ^rb"++++=first--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
guessed ^vbd+vprv++xvbnx+=guessed
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lady ^nn++++=lady,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="there
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
no ^at++++=no
Boleses ^nns+nom++??+=Boleses
or ^cc++++=or
Teresas ^np+++??+=Teresas
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
telling ^nvbg+++xvbg+=telling
me ^pp1o+pp1+++=me
a ^at++++=a
pack ^nn++++=pack
of ^in++++=of
lies ^nns++++=lies.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
come ^vb++++=come
sneaking ^jj++++=sneaking
about ^rb++++=about
me ^pp1o+pp1+++=me
any ^dti++++=any
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
no ^at++++=no
wish ^vb+vprv+++=wish
whatever ^nn+nom+++=whatever
to ^to++++=to
cultivate ^nn+nom+++=cultivate
your ^pp$+pp2+++=your
acquaintance ^nn+nom+++=acquaintance.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
suddenly ^rb++++=suddenly
she ^pp3a+pp3+++=she
grew ^vbd+++xvbnx+=grew
strangely ^rb++++=strangely
terrified ^jj++++=terrified
and ^cc++++=and
distraught ^vbd+++xvbn+=distraught;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
shift ^vbi++++=shift
from ^in++++=from
foot ^nn++++=foot
to ^in++++=to
foot ^nn++++=foot
without ^in++++=without
moving ^nn++++=moving
from ^in++++=from
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spluttered ^vbd+++xvbn+=spluttered
comically ^rb+cnj+++=comically,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
say ^vbi+vpub+tht0++=say
something ^pn++++=something
and ^cc++++=and
could ^md+pos+++=couldn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
what ^wdt+who+++=what
would ^md+prd+++=would
come ^vb++++=come
of ^in++++=of
all ^abn++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
and ^cc+phrs+++=and
felt ^vbd+vprv+tht0+xvbn+=felt
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
apparently ^rb+cnj+++=apparently,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
a ^at++++=a
great ^jj+atrb+++=great
mistake ^nn++++=mistake
in ^in++++=in
suspecting ^xvbg+++xvbg+=suspecting
her ^pp$+pp3+++=her
of ^in++++=of
wishing ^vb+++xvbg+=wishing
to ^to+vcmp+++=to
draw ^vbi++++=draw
me ^pp1o+pp1+++=me
from ^in++++=from
the ^ati++++=the
path ^nn++++=path
of ^in++++=of
righteousness ^nns+nom+++=righteousness.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
evidently ^rb++++=evidently
something ^pn++++=something
very ^ql+amp+++=very
different ^jj++++=different.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Student ^np++++=Student!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
waving ^vbg+++xvbg+=waving
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
abruptly ^rb++++=abruptly
towards ^in++++=towards
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remained ^vbd+++xvbnx+=remained
with ^in++++=with
a ^at++++=a
very ^ql+amp+++=very
unpleasant ^jj++++=unpleasant
feeling ^jj+++xvbg+=feeling
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
door ^nn++++=door
was ^vbd+bedz+aux++=was
flung ^vpsv++agls+xvbnx+=flung
violently ^rb++++=violently
to ^to++++=to--plainly
-- ^--+clp+++=EXTRAWORD
plainly ^rb++++=EXTRAWORD
the ^ati++++=the
poor ^jj+atrb+++=poor
wench ^nn+++??+=wench
was ^vbd+bedz+aux++=was
very ^ql+amp+++=very
angry. ^vb+++??+=angry...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
over ^rb+cnj+++=over,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resolved ^vb+++xvbn+=resolved
to ^to+vcmp+++=to
go ^vbi++++=go
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
inviting ^jj+++xvbg+=inviting
her ^pp3o+pp3+++=her
to ^to++++=to
come ^vbi++++=come
in ^in++++=in
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
write ^vb++++=write
everything ^pn++++=everything
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
entered ^vbd+++xvbnx+=entered
her ^pp$+pp3+++=her
apartment ^nn+nom+++=apartment.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
round ^rb++++=round.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
at ^rb++++=at
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
on ^in++++=on
her ^pp$+pp3+++=her
elbows ^nns++++=elbows,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
head ^jjb++++=head
in ^in++++=in
her ^pp$+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Listen
listen ^vb++++=EXTRAWORD
to ^in++++=to
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
I ^pp1a+pp1+++=I
come ^vb++++=come
to ^in++++=to
this ^dt+dem+++=this
point ^nn++++=point
in ^in++++=in
my ^pp$+pp1+++=my
story ^nn++++=story,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
feel ^vb+vprv+++=feel
horribly ^rb++++=horribly
awkward ^jj++++=awkward
and ^cc++++=and
idiotic ^nn++++=idiotic.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well!
! ^zz++++=EXTRAWORD
" ^zz++++="Listen
listen ^vb++++=EXTRAWORD
to ^in++++=to
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
leaped ^vbd+++xvbnx+=leaped
from ^in++++=from
her ^pp$+pp3+++=her
seat ^nn++++=seat,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
towards ^in++++=towards
me ^pp1o+pp1+++=me
with ^in++++=with
flashing ^xvbg+++xvbg+=flashing
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laying ^nvbg+++xvbg+=laying
her ^pp3o+pp3+++=her
hands ^nns++++=hands
on ^in++++=on
my ^pp$+pp1+++=my
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
whisper ^vbi+vpub+++=whisper,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb++++=rather
to ^in++++=to
hum ^nn+++??+=hum
in ^in++++=in
her ^pp$+pp3+++=her
peculiar ^jj+atrb+++=peculiar
bass ^nn++++=bass
voice ^nn++++=voice:
: ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
Boles ^np+++??+=Boles
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
Teresa ^np++++=Teresa
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
that ^cs+sub+++=that
to ^in++++=to
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
a ^at++++=a
hard ^jj+atrb+++=hard
thing ^nn++++=thing
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
draw ^vbi++++=draw
your ^pp$+pp2+++=your
pen ^nn++++=pen
over ^in++++=over
paper ^nn++++=paper?
? ^zz++++=EXTRAWORD
Eh ^uh++++=Eh?
? ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
too ^ql++++=too!
! ^zz++++=EXTRAWORD
Still ^rb++++=Still
such ^abl++++=such
a ^rb++++=a
little ^rb"++++=little
fair ^jj++++=fair-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
boy ^nn++++=boy!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
nobody ^pn++++=nobody
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
Boles ^np+++??+=Boles,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
Teresa ^np++++=Teresa,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
much ^rb++++=much
good ^jj++++=good
may ^md+pos+++=may
it ^pp3+it+++=it
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pardon
pardon ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
altogether ^rb+cnj+++=altogether
flabbergasted ^vpsv++by+xvbn+=flabbergasted
by ^in++++=by
such ^abl++++=such
a ^at++++=a
reception ^nn+nom+++=reception,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it
all ^abn++++=all
about ^in+strn+++=about?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
Boles ^np+++??+=Boles,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
no ^at++++=no
Teresa ^np++++=Teresa
either ^dtx++++=either?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
no ^at++++=no
Teresa ^np++++=Teresa.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
Teresa ^np++++=Teresa."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand
it ^pp3+it+++=it
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fixed ^vbd+++xvbnx+=fixed
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
upon ^in++++=upon
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
make ^vbi++++=make
out ^rp+pl+++=out
which ^whp+who+++=which
of ^in++++=of
us ^pp1o+pp1+++=us
was ^vbd+bedz+aux++=was
taking ^vbg+++xvbgx+=taking
leave ^vb++++=leave
of ^in++++=of
his ^pp$+pp3+++=his
or ^cc++++=or
her ^pp$+pp3+++=her
senses ^nns++++=senses.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
again ^rb+tm+++=again
to ^in++++=to
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
searched ^j+++xvbn+=searched
about ^rb++++=about
for ^in++++=for
something ^pn++++=something,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
back ^jjb++++=back
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vpsv++agls+xvbn+=said
in ^in++++=in
an ^at++++=an
offended ^jj+atrb++xvbn+=offended
tone ^nn++++=tone:
: ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
hard ^jj++++=hard
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
write ^vbi++++=write
to ^in++++=to
Boles ^np+++??+=Boles,
, ^zz++++=EXTRAWORD
look ^vb++++=look,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
Others ^aps++++=Others
will ^md+prd+++=will
write ^vb++++=write
for ^in++++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked.
. ^zz++++=EXTRAWORD
In ^in++++=In
her ^pp$+pp3+++=her
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
letter ^nn++++=letter
to ^in++++=to
Boles ^np+++??+=Boles.
. ^zz++++=EXTRAWORD
Phew ^np+++??+=Phew!
! ^zz++++=EXTRAWORD
" ^zz++++="Listen,
listen ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Teresa ^np++++=Teresa!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
the ^ati++++=the
meaning ^jj+++xvbg+=meaning
of ^in++++=of
all ^abn++++=all
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
must ^md+nec+++=must
you ^pp2+pp2+++=you
get ^vb++++=get
others ^aps++++=others
to ^to++++=to
write ^vbi++++=write
for ^in++++=for
you ^pp2+pp2+++=you
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
already ^rb++splt++=already
written ^vprf+++xvbnx+=written
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
sent ^vbd+++xvbn+=sent
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sent
sent ^vwbn+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
where ^wrb+who+++=where?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^in++++=to
this ^dt+pdem+++=this--Boles."
-- ^--+clp+++=EXTRAWORD
boles ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
such ^abl++++=such
person ^nn++++=person."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
absolutely ^rb+amp+++=absolutely
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
for ^in++++=for
me ^pp1o+pp1+++=me
but ^cc++++=but
to ^in++++=to
spit ^nn++++=spit
and ^cc++++=and
go ^vb++++=go.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
explained ^vbd+vpub++xvbnx+=explained.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
still ^rb++++=still
offended ^xvbn+++xvbn+=offended.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
such ^abl++++=such
person ^nn++++=person,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
she ^pp3a+pp3+++=she
extended ^vbd+++xvbnx+=extended
her ^pp3o+pp3+++=her
arms ^nns++++=arms
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
herself ^ppl+pp3+++=herself
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
why ^wrb+who+whcl++=why
there ^ex+pex+++=there
should ^md+nec+++=should
be ^vb+be+vrb++=be
no ^at++++=no
such ^abl++++=such
person ^nn++++=person.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
him ^pp3o+pp3+++=him
to ^in++++=to
be. ^nn+++??+=be...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
I ^pp1a+pp1+++=I
then ^rn+tm+++=then
not ^xnot++not++=not
a ^at++++=a
human ^jj+atrb+++=human
creature ^nn++++=creature
like ^in++++=like
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
them ^pp3o+pp3+++=them?
