1308 ^cd++++=1308
nephew ^nn++++=nephew
rode ^vbd+++xvbn+=rode
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
conspirators ^nns++++=conspirators
seized ^vbd+++xvbn+=seized
the ^ati++++=the
bridle ^nn++++=bridle
of ^in++++=of
his ^pp$+pp3+++=his
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
exclaimed ^j+++xvbn+=exclaimed,
, ^zz++++=EXTRAWORD
' ^zz++++='Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
now ^rn+tm+++=now
restore ^vb++++=restore
my ^pp$+pp1+++=my
inheritance ^nn+nom+++=inheritance?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
wounded ^jj+++xvbn+=wounded
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
The ^ati++++=The
attendant ^nn+nom+++=attendant
fled ^vbd+++xvbn+=fled;
; ^zz++++=EXTRAWORD
Der ^&fw++++=Der
Wart ^np+++??+=Wart,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
thought ^vprf+++xvbnx+=thought
murder ^nn++++=murder
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
scheme ^nn++++=scheme,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
aghast ^jj++++=aghast,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
other ^ap++++=other
two ^cd++++=two
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
the ^ati++++=the
unhappy ^jj+atrb+++=unhappy
Albrecht ^np+++??+=Albrecht,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
mortal ^nn++++=mortal
wound ^vbd+++xvbn+=wound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
all ^rb++++=all
five ^cd++++=five
fled ^vbd+++xvbn+=fled
in ^in++++=in
different ^jj+atrb+++=different
directions ^nns+nom+++=directions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
horrible ^jj+atrb+++=horrible
affair ^nn++++=affair
took ^vbd+++xvbn+=took
place ^nn++++=place
full ^jj++++=full
in ^in++++=in
view ^in"++++=view
of ^in"++++=of
Leopold ^np++++=Leopold
and ^cc++++=and
the ^ati++++=the
army ^nn++++=army
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
possible ^jj++++=possible
for ^in++++=for
any ^dti++++=any
of ^in++++=of
them ^pp3o+pp3+++=them
to ^to++++=to
cross ^vbi++++=cross,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
the ^ati++++=the
Emperor ^npt++++=Emperor
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
expired ^vprf+++xvbnx+=expired,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
head ^nn++++=head
in ^in++++=in
the ^ati++++=the
lap ^nn++++=lap
of ^in++++=of
a ^at++++=a
poor ^jj+atrb+++=poor
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
The ^ati++++=The
murderers ^nns+nom+++=murderers
escaped ^vbd+++xvbn+=escaped
into ^in++++=into
the ^ati++++=the
Swiss ^jj+atrb+++=Swiss
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
expecting ^vbg+vprv++xvbg+=expecting
shelter ^nn++++=shelter
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
stout ^jj+atrb+++=stout,
, ^zz++++=EXTRAWORD
honest ^jj+atrb+++=honest
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
cantons ^nns+++??+=cantons
were ^vbd+bed+aux++=were
resolved ^vpsv++agls+xvbnx+=resolved
not ^xnot++not++=not
to ^to++++=to
have ^vbi++vrb++=have
any ^dti++++=any
connection ^nn+nom+++=connection
with ^in++++=with
assassins ^nns+++??+=assassins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
protect ^vbi++++=protect
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Johann ^np+++??+=Johann
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
after ^in++++=after
long ^rb++++=long
and ^cc++++=and
miserable ^jj+atrb+++=miserable
wanderings ^nns++++=wanderings
in ^in++++=in
disguise ^nn++++=disguise,
, ^zz++++=EXTRAWORD
bitterly ^rb++++=bitterly
repented ^jj+++xvbn+=repented,
, ^zz++++=EXTRAWORD
owned ^j+++xvbn+=owned
his ^pp$+pp3+++=his
crime ^nn++++=crime
to ^in++++=to
the ^ati++++=the
Pope ^np++++=Pope,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
received ^vpsv++agls+xvbnx+=received
into ^in++++=into
a ^at++++=a
convent ^nn++++=convent;
; ^zz++++=EXTRAWORD
Eschenbach ^np+++??+=Eschenbach
escaped ^vbd+++xvbn+=escaped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lived ^vbd+++xvbn+=lived
fifteen ^cd++++=fifteen
years ^nns++++=years
as ^in++++=as
a ^at++++=a
cowherd ^nn+++??+=cowherd.
. ^zz++++=EXTRAWORD
The ^ati++++=The
others ^aps++++=others
all ^abn++++=all
fell ^vbd+++xvbn+=fell
into ^in+ppvb+++=into
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
the ^ati++++=the
sons ^nns++++=sons
and ^cc++++=and
daughters ^nns+nom+++=daughters
of ^in++++=of
Albrecht ^np+++??+=Albrecht,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
woeful ^jj++++=woeful
was ^vbd+bedz+vrb++=was
the ^ati++++=the
revenge ^nn++++=revenge
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
upon ^in++++=upon
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
upon ^in++++=upon
their ^pp$+pp3+++=their
innocent ^jj+atrb+++=innocent
families ^nns++++=families
and ^cc++++=and
retainers ^nns+nom+++=retainers.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
Leopold ^np++++=Leopold,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
his ^pp$+pp3+++=his
father ^nn++++=father
slain ^nn+++??+=slain
before ^in++++=before
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
deeply ^rb++splt++=deeply
incensed ^vpsv++agls+xvbn+=incensed,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
wonderful ^jj++++=wonderful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
elder ^jjr+atrb+++=elder
brother ^nn++++=brother
Frederick ^np++++=Frederick,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Duke ^npt++++=Duke
of ^in++++=of
Austria ^np++++=Austria,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
charged ^vpsv++agls+xvbnx+=charged
with ^in++++=with
the ^ati++++=the
execution ^nn+nom+++=execution
of ^in++++=of
justice ^nn++++=justice;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
both ^abx++++=both
brothers ^nns+nom+++=brothers
were ^vbd+bed+vrb++=were
horribly ^rb++++=horribly
savage ^jj+pred+++=savage
and ^cc+phrs+++=and
violent ^jj++++=violent
in ^in++++=in
their ^pp$+pp3+++=their
proceedings ^nns++++=proceedings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
sister ^nn++++=sister
Agnes ^np++++=Agnes
surpassed ^vwbn+++xvbn+=surpassed
them ^pp3o+pp3+++=them
in ^in++++=in
her ^pp$+pp3+++=her
atrocious ^jj+atrb+++=atrocious
thirst ^nn++++=thirst
for ^in++++=for
vengeance ^nn+nom+++=vengeance.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
the ^ati++++=the
wife ^nn++++=wife
of ^in++++=of
the ^ati++++=the
King ^nn++++=King
of ^in++++=of
Hungary ^np+nom+++=Hungary,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
clever ^jj++++=clever
and ^cc+phrs+++=and
discerning ^jj+++xvbg+=discerning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
supposed ^vb++pmd"+xvbn+=supposed
to ^to+vcmp+pmd++=to
be ^vbi++vrb++=be
very ^ql+amp+++=very
religious ^jj++++=religious,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^abn++++=all
better ^jjr+atrb+++=better
thoughts ^nns++++=thoughts
were ^vbd+bed+aux++=were
swept ^vpsv++agls+xvbnx+=swept
away ^rp+pl+++=away
by ^in++++=by
her ^pp$+pp3+++=her
furious ^jj+atrb+++=furious
passion ^nn++++=passion.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
nearly ^rb+down+splt++=nearly
strangled ^vprf+++xvbnx+=strangled
Eschenbach ^np++++=Eschenbach's
's ^$++++=EXTRAWORD
infant ^nn++++=infant
son ^nn++++=son
with ^in++++=with
her ^pp$+pp3+++=her
own ^ap++++=own
bare ^jj+atrb+++=bare
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
rescued ^vpsv++agls+xvbnx+=rescued
from ^in++++=from
her ^pp$+pp3+++=her
by ^in++++=by
her ^pp$+pp3+++=her
own ^ap++++=own
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
watching ^vbg+++xvbgx+=watching
the ^ati++++=the
beheading ^jj+++xvbg+=beheading
of ^in++++=of
sixty ^cd++++=sixty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
vassals ^nns+nom+++=vassals
of ^in++++=of
another ^dt++++=another
of ^in++++=of
the ^ati++++=the
murderers ^nns+nom+++=murderers,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
repeatedly ^rb++++=repeatedly
exclaimed ^jj+++xvbn+=exclaimed,
, ^zz++++=EXTRAWORD
' ^zz++++='Now
now ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
bathe ^vb++++=bathe
in ^in++++=in
May ^md+pos+++=May
dew ^vb++++=dew.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
met ^vbd+++xvbnx+=met
with ^in+ppvb+++=with
a ^at++++=a
stern ^jj+atrb+++=stern
rebuke ^nn++++=rebuke.
. ^zz++++=EXTRAWORD
A ^at++++=A
hermit ^nn++++=hermit,
, ^zz++++=EXTRAWORD
for ^in++++=for
whom ^whp+rel+pied++=whom
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
offered ^vprf+++xvbnx+=offered
to ^to++++=to
build ^vbi++++=build
a ^at++++=a
convent ^nn++++=convent,
, ^zz++++=EXTRAWORD
answered ^j+++xvbn+=answered
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
' ^zz++++='Woman,
woman ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
God ^np++++=God
is ^vbz+bez+aux++=is
not ^xnot++not++=not
served ^vpsv++by+xvbn+=served
by ^in++++=by
shedding ^xvbg+++xvbg+=shedding
innocent ^jj+atrb+++=innocent
blood ^nn++++=blood
and ^cc++++=and
by ^in++++=by
building ^xvbg+++xvbg+=building
convents ^nns++++=convents
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
plunder ^nn++++=plunder
of ^in++++=of
families ^nns++++=families,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
compassion ^nn++++=compassion
and ^cc++++=and
forgiveness ^nns+nom+++=forgiveness
of ^in++++=of
injuries ^nns++++=injuries.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Rudolf ^np++++=Rudolf
von ^&fw++++=von
der ^&fw++++=der
Wart ^np+++??+=Wart
received ^vbd+++xvbn+=received
the ^ati++++=the
horrible ^jj+atrb+++=horrible
sentence ^nn+nom+++=sentence
of ^in++++=of
being ^nn+nn+aux++=being
broken ^vbd+++xvbn+=broken
on ^in++++=on
the ^ati++++=the
wheel ^nn++++=wheel.
. ^zz++++=EXTRAWORD
On ^in++++=On
his ^pp$+pp3+++=his
trial ^nn++++=trial
the ^ati++++=the
Emperor ^np++++=Emperor's
's ^$++++=EXTRAWORD
attendant ^nn+nom+++=attendant
declared ^vbd+vpub++xvbn+=declared
that ^tht+vcmp+++=that
Der ^&fw++++=Der
Wart ^np+++??+=Wart
had ^vbd+hvd+aux++=had
attacked ^vprf+++xvbnx+=attacked
Albert ^np++++=Albert
with ^in++++=with
his ^pp$+pp3+++=his
dagger ^nn++++=dagger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
' ^zz++++='How
how ^wrb+who+++=EXTRAWORD
long ^rb++++=long
will ^md+prd+++=will
ye ^pp2+pp2+++=ye
suffer ^vb++++=suffer
this ^dt+dem+++=this
carrion ^nn+++??+=carrion
to ^to++++=to
sit ^vbi++++=sit
on ^in++++=on
horseback ^nn++++=horseback?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
but ^cc++++=but
he ^pp3a+pp3+++=he
persisted ^vbd+++xvbnx+=persisted
to ^in++++=to
the ^ati++++=the
last ^rb++++=last
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++by+xvbnx+=taken
by ^in++++=by
surprise ^nn++++=surprise
by ^in++++=by
the ^ati++++=the
murder ^nn++++=murder.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
mercy ^nn++++=mercy
for ^in++++=for
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
express ^jjb+atrb+++=express
command ^nn++++=command
of ^in++++=of
Queen ^npt++++=Queen
Agnes ^np++++=Agnes,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
bound ^vpsv++agls+xvbnx+=bound
upon ^in++++=upon
one ^cd1++++=one
wheel ^nn++++=wheel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
limbs ^nns++++=limbs
broken ^vwbn+++xvbn+=broken
by ^in++++=by
heavy ^jj+atrb+++=heavy
blows ^nns++++=blows
from ^in++++=from
the ^ati++++=the
executioner ^nn+nom+++=executioner,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
fastened ^vpsv++agls+xvbnx+=fastened
to ^in++++=to
another ^dt++++=another
wheel ^nn++++=wheel,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbnx+=set
upon ^in++++=upon
a ^at++++=a
pole ^nn++++=pole,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
to ^to++++=to
linger ^vbi++++=linger
out ^rp+pl+++=out
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
hours ^nns++++=hours
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
young ^jj+atrb+++=young
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
Gertrude ^np++++=Gertrude,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
clung ^vprf+++xvbnx+=clung
to ^in++++=to
him ^pp3o+pp3+++=him
through ^in++++=through
all ^abn++++=all
the ^ati++++=the
trial ^nn++++=trial,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
torn ^vpsv++agls+xvbnx+=torn
away ^rp+pl+++=away
and ^cc++++=and
carried ^vpsv++agls+xvbn+=carried
off ^rb+phrv+++=off
to ^in++++=to
the ^ati++++=the
Castle ^nn++++=Castle
of ^in++++=of
Kyburg ^np+++??+=Kyburg;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
her ^pp$+pp3+++=her
escape ^vb++++=escape
at ^rb++++=at
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
her ^pp$+pp3+++=her
way ^nn++++=way,
, ^zz++++=EXTRAWORD
as ^in++++=as
night ^nn++++=night
came ^vbd+++xvbn+=came
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
spot ^nn++++=spot
where ^wrb+who+++=where
her ^pp$+pp3+++=her
husband ^nn++++=husband
hung ^vbd+++xvbn+=hung
still ^jj+pred+++=still
living ^jj+++xvbg+=living
upon ^in++++=upon
the ^ati++++=the
wheel ^nn++++=wheel.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
of ^in++++=of
agony ^nn++++=agony
was ^vbd+bedz+aux++=was
described ^vpsv++agls+xvbnx+=described
in ^in++++=in
a ^at++++=a
letter ^nn++++=letter
ascribed ^vwbn+++xvbn+=ascribed
to ^in++++=to
Gertrude ^np++++=Gertrude
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
guard ^nn++++=guard
left ^vbd+++xvbn+=left
to ^to++++=to
watch ^vbi++++=watch
fled ^vbd+++xvbn+=fled
at ^rb++++=at
her ^pp3o+pp3+++=her
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
prayed ^vbd+vsua++xvbnx+=prayed
beneath ^in+pl+++=beneath
the ^ati++++=the
scaffold ^nn+++??+=scaffold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
heaping ^jj+++xvbg+=heaping
some ^dti++++=some
heavy ^jj+atrb+++=heavy
logs ^nns++++=logs
of ^in++++=of
wood ^nn++++=wood
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
climb ^vb++++=climb
up ^rp++++=up
near ^in+pl+++=near
enough ^qlp++++=enough
to ^to++++=to
embrace ^vbi++++=embrace
him ^pp3o+pp3+++=him
and ^cc++++=and
stroke ^nn++++=stroke
back ^jjb++++=back
the ^ati++++=the
hair ^nn++++=hair
from ^in++++=from
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
whilst ^cs+sub+++=whilst
he ^pp3a+pp3+++=he
entreated ^vbd+++xvbnx+=entreated
her ^pp$+pp3+++=her
to ^to++++=to
leave ^vbi++++=leave
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
she ^pp3a+pp3+++=she
should ^md+nec+++=should
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fall ^nn++++=fall
under ^in++++=under
the ^ati++++=the
cruel ^jj+atrb+++=cruel
revenge ^nn++++=revenge
of ^in++++=of
the ^ati++++=the
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
telling ^jj+++xvbg+=telling
her ^pp3o+pp3+++=her
that ^dt+dem+++=that
thus ^rb+cnj+++=thus
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
increase ^vbi++++=increase
his ^pp$+pp3+++=his
suffering ^nvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
die ^vb++++=die
with ^in++++=with
you ^pp2+pp2+++=you,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
for ^in++++=for
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
power ^nn++++=power
shall ^md+prd+++=shall
force ^vb++++=force
me ^pp1o+pp1+++=me
from ^in++++=from
you ^pp2+pp2+++=you;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
she ^pp3a+pp3+++=she
prayed ^vbd+vsua++xvbnx+=prayed
for ^in++++=for
the ^ati++++=the
one ^cd1++++=one
mercy ^nn++++=mercy
she ^pp3a+pp3+++=she
hoped ^vbd+vprv++xvbnx+=hoped
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
speedy ^nn+++??+=speedy
death ^nn++++=death
for ^in++++=for
her ^pp$+pp3+++=her
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
In ^in++++=In
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hemans ^np++++=Hemans'
' ^zz++++=EXTRAWORD
beautiful ^jj+atrb+++=beautiful
words- ^nn+++??+=words-'And
'and ^nn+++??+=EXTRAWORD
bid ^nn++++=bid
me ^pp1o+pp1+++=me
not ^xnot++not++=not
depart ^vb++++=depart,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
' ^zz++++='My
my ^pp$+pp1+++=EXTRAWORD
Rudolf ^np++++=Rudolf,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say
not ^xnot++not++=not
so;this ^nns+++??+=so;This
is ^vbz+bez+vrb++=is
no ^at++++=no
time ^nn++++=time
to ^to++++=to
quit ^vbi++++=quit
thy ^pp$+pp2+++=thy
side ^nn++++=side,
, ^zz++++=EXTRAWORD
Peace ^nn++++=Peace,
, ^zz++++=EXTRAWORD
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
go!hath ^vb+++??+=go!Hath
the ^ati++++=the
world ^nn++++=world
aught ^vbd+++xvbn+=aught
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
fear ^vbi++++=fear
When ^wrb+who+++=When
death ^nn++++=death
is ^vbz+bez+vrb++=is
on ^in++++=on
thy ^pp$+pp2+++=thy
brow?the ^nn+++??+=brow?The
world ^nn++++=world!
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what
means ^nn++++=means
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Mine ^nn++++=Mine
is ^vbz+bez+vrb++=is
here ^rn+pl+++=here!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
leave ^vb++++=leave
thee ^pp2+pp2+++=thee
now. ^nn+++??+=now.'I
'i ^nn+++??+=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
with ^in++++=with
thee ^pp2+pp2+++=thee
in ^in++++=in
thine ^pp$+pp2+++=thine
hour ^nn++++=hour
Of ^in++++=Of
glory ^nn++++=glory
and ^cc++++=and
of ^in++++=of
bliss;doubt ^nn+++??+=bliss;Doubt
not ^xnot++not++=not
its ^pp$+it+++=its
memory ^nn++++=memory's
's ^vbz+bez+aux++0=EXTRAWORD
living ^vbg+++xvbgx+=living
power ^nn++++=power
To ^to+ncmp+++=To
strengthen ^vbi++++=strengthen
me ^pp1o+pp1+++=me
through ^in++++=through
this.and ^nn+++??+=this.And
thou ^pp2+pp2+++=thou,
, ^zz++++=EXTRAWORD
mine ^nn++++=mine
honor ^nn++++=honor'd
'd ^md+prd+vrb++0=EXTRAWORD
love ^nn++++=love
and ^cc++++=and
true ^jj++++=true,
, ^zz++++=EXTRAWORD
Bear ^vb+vprv+++=Bear
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
bear ^vb+vprv+++=bear
nobly ^rb++++=nobly
on;we ^nn+++??+=on;We
have ^vb+hv+vrb++=have
the ^ati++++=the
blessed ^jj+atrb++xvbn+=blessed
heaven ^nn++++=heaven
in ^in++++=in
view ^nn++++=view,
, ^zz++++=EXTRAWORD
Whose ^whp+rel+obj++=Whose
rest ^nn++++=rest
shall ^md+prd+++=shall
soon ^rb+tm+++=soon
be ^vb+be+aux++=be
won ^vpsv++agls+xvbnx+=won.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
When ^wrb+who+++=When
day ^nn++++=day
began ^vbd+++xvbn+=began
to ^to++++=to
break ^vbi++++=break,
, ^zz++++=EXTRAWORD
the ^ati++++=the
guard ^nn++++=guard
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Gertrude ^np++++=Gertrude
took ^vbd+++xvbn+=took
down ^rb+phrv+++=down
her ^pp3o+pp3+++=her
stage ^nn++++=stage
of ^in++++=of
wood ^nn++++=wood
and ^cc++++=and
continued ^vbd+++xvbn+=continued
kneeling ^vbg+nom++xvbg+=kneeling
at ^rb++++=at
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
pole ^nn++++=pole.
. ^zz++++=EXTRAWORD
Crowds ^nns++++=Crowds
of ^in++++=of
people ^nns++++=people
came ^vbd+++xvbn+=came
to ^to++++=to
look ^vbi++++=look,
, ^zz++++=EXTRAWORD
among ^in++++=among
them ^pp3o+pp3+++=them
the ^ati++++=the
wife ^nn++++=wife
of ^in++++=of
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
officials ^nns+nom+++=officials,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
Gertrude ^np++++=Gertrude
implored ^vbd+++xvbn+=implored
to ^in++++=to
intercede ^nn+++??+=intercede
that ^tht+rel+obj++=that
her ^pp3o+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
sufferings ^nns++++=sufferings
