New ^jj+atrb+++=NEW
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
been ^vprf+ben+aux+xvbn+=been
eating ^vbg+++xvbgx+=eating?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing
nothing ^pn++++=EXTRAWORD
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
of ^in+strn+++=of;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
hot ^jj+atrb+++=hot
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
father ^nn++++=father."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
father ^npt++++=father
spread ^vbd+++xvbn+=spread
the ^ati++++=the
mattress ^nns+nom+++=mattress,
, ^zz++++=EXTRAWORD
blew ^j+++xvbn+=blew
out ^rp+pl+++=out
the ^ati++++=the
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lay ^jjb+++xvbn+=lay
down ^rp++++=down
in ^in++++=in
his ^pp$+pp3+++=his
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
while ^cs+sub+++=while
the ^ati++++=the
boy ^nn++++=boy
began ^vbd+++xvbn+=began
to ^to++++=to
toss ^vbi++++=toss
restlessly ^rb++++=restlessly.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
hot ^jj++++=hot,
, ^zz++++=EXTRAWORD
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
smothering ^vbg+++xvbgx+=smothering."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
father ^npt++++=father
got ^vbd+++xvbn+=got
up ^rp++++=up,
, ^zz++++=EXTRAWORD
lit ^j+++xvbn+=lit
the ^ati++++=the
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^at++++=a
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
newspaper ^nn+nom+++=newspaper-covered
- ^zz++++=EXTRAWORD
covered ^vbd+++xvbn+=EXTRAWORD
" ^zz++++="scrim"
scrim ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
lining ^vbg+++xvbg+=lining
that ^dt+pdem+++=that
screened ^vbd+++xvbn+=screened
the ^ati++++=the
cracks ^nns++++=cracks
of ^in++++=of
the ^ati++++=the
slab ^nn++++=slab
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tore ^vbd+++xvbn+=tore
it ^pp3+it+++=it
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
propped ^vbd+++xvbnx+=propped
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door
with ^in++++=with
a ^at++++=a
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
better ^jjr++++=better
already ^rb+cnj+++=already,
, ^zz++++=EXTRAWORD
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hut ^nn++++=hut
was ^vbd+bedz+vrb++=was
three ^cd++++=three
rooms ^nns++++=rooms
long ^jj++++=long
and ^cc++++=and
one ^cd1++++=one
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
verandah ^nn++++=verandah
in ^in++++=in
front ^jjb++++=front
and ^cc++++=and
a ^at++++=a
skillion ^nn+++??+=skillion,
, ^zz++++=EXTRAWORD
harness ^nns+nom+++=harness
and ^cc++++=and
tool ^nn++++=tool
room ^nn++++=room,
, ^zz++++=EXTRAWORD
about ^in++++=about
half ^abn++++=half
the ^ati++++=the
length ^nn++++=length,
, ^zz++++=EXTRAWORD
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^npt++++=father
opened ^vbd+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
next ^ap++++=next
room ^nn++++=room
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
propped ^vbd+++xvbn+=propped
that ^dt+dem+++=that
open ^jj++++=open,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
another ^dt++++=another
boy ^nn++++=boy
on ^in++++=on
the ^ati++++=the
sofa ^nn++++=sofa,
, ^zz++++=EXTRAWORD
younger ^jjr++++=younger
than ^in++++=than
the ^ati++++=the
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
healthy ^jj++++=healthy
and ^cc+phrs+++=and
sturdy ^jj++++=sturdy-looking.
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
on ^in++++=on
him ^pp3o+pp3+++=him
but ^cc++++=but
a ^at++++=a
very ^ql+amp+++=very
dirty ^jj+atrb+++=dirty
shirt ^nn++++=shirt,
, ^zz++++=EXTRAWORD
a ^at++++=a
patchwork ^nn++++=patchwork
quilt ^nn++++=quilt
was ^vbd+bedz+aux++=was
slipping ^vbg+++xvbgx+=slipping
from ^in++++=from
under ^in++++=under
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ap+emph+++=most
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor;
; ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
and ^cc++++=and
the ^ati++++=the
pillow ^nn++++=pillow
were ^vbd+bed+vrb++=were
nearly ^rb+down+++=nearly
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father
fixed ^vbd+++xvbn+=fixed
him ^pp3o+pp3+++=him
as ^in++++=as
comfortably ^rb++++=comfortably
as ^in++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
some ^dti++++=some
chairs ^nns++++=chairs
by ^in++++=by
the ^ati++++=the
sofa ^nn++++=sofa
to ^to++++=to
keep ^vbi++++=keep
him ^pp3o+pp3+++=him
from ^in++++=from
rolling ^nn++++=rolling
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
noticed ^vbd+vprv++xvbnx+=noticed
that ^tht+vcmp+++=that
somebody ^pn++++=somebody
had ^vbd+hvd+aux++=had
started ^vprf+++xvbnx+=started
to ^in++++=to
scrub ^nn++++=scrub
this ^dt+dem+++=this
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^nn+++xvbn+=left
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
listened ^vbd+++xvbnx+=listened
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
third ^nn++++=third
room ^nn++++=room
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments
to ^in++++=to
the ^ati++++=the
breathing ^jj+++xvbg+=breathing
within ^in+strn+++=within;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
opened ^vbd+++xvbnx+=opened
it ^pp3+it+++=it
and ^cc++++=and
gently ^rb++++=gently
walked ^vbd+++xvbn+=walked
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^vwbn+++xvbn+=EXTRAWORD
four ^cd++++=four-poster
- ^zz++++=EXTRAWORD
poster ^nn++++=EXTRAWORD
cedar ^nn++++=cedar
bedstead ^nn++++=bedstead,
, ^zz++++=EXTRAWORD
a ^at++++=a
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
baby ^nn++++=baby's
's ^$++++=EXTRAWORD
cradle ^nn++++=cradle
made ^vbd+++xvbn+=made
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
gin ^nn++++=gin-case.
- ^zz++++=EXTRAWORD
case ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
was ^vbd+bedz+vrb++=was
fast ^rb++++=fast
asleep ^jj+pred+++=asleep.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
big ^jj++++=big,
, ^zz++++=EXTRAWORD
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
healthy ^jj++++=healthy-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
with ^in++++=with
dark ^jj+atrb+++=dark
hair ^nn++++=hair
and ^cc++++=and
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
square ^nn++++=square
features ^nns++++=features.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
a ^at++++=a
knife ^nn++++=knife
and ^cc++++=and
fork ^nn++++=fork,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
egg ^nn++++=egg-shells,
- ^zz++++=EXTRAWORD
shells ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
cup ^nn++++=cup
and ^cc++++=and
saucer ^nn++++=saucer
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers;
; ^zz++++=EXTRAWORD
also ^rb++++=also
two ^cd++++=two
candles ^nns++++=candles,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
stuck ^vbd+++xvbn+=stuck
in ^in++++=in
a ^at++++=a
mustard ^nn++++=mustard
tin ^nn++++=tin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
in ^in++++=in
a ^at++++=a
pickle ^nn+++??+=pickle
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
copy ^nn++++=copy
of ^in++++=of
Ardath ^np+++??+=Ardath.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stepped ^vbd+++xvbnx+=stepped
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
skillion ^nn+++??+=skillion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lifted ^vbd+++xvbn+=lifted
some ^dti++++=some
harness ^nns+nom+++=harness
on ^in+cmpx+++=on
to ^in"++++=to
its ^pp$+it+++=its
pegs ^nns++++=pegs
from ^in++++=from
chaff ^nn+++??+=chaff-bags
- ^zz++++=EXTRAWORD
bags ^nns++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
Coming ^vbg+++xvbg+=Coming
in ^in++++=in
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
nearly ^rb+down+++=nearly
stumbled ^vbd+++xvbn+=stumbled
over ^in++++=over
a ^at++++=a
bucket ^nn++++=bucket
half ^abn++++=half-full
- ^zz++++=EXTRAWORD
full ^jj++++=EXTRAWORD
of ^in++++=of
dirty ^jj+atrb+++=dirty
water ^nn++++=water
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
scrubbing ^jj+atrb++xvbg+=scrubbing
brush ^nn++++=brush,
, ^zz++++=EXTRAWORD
some ^dti++++=some
wet ^jj+atrb+++=wet
rags ^nns++++=rags,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
half ^nn++++=half
a ^at++++=a
bar ^nn++++=bar
of ^in++++=of
yellow ^jj+atrb+++=yellow
soap ^nn++++=soap
beside ^in+pl+++=beside
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
these ^dt+dem+++=these
things ^nns++++=things
in ^in++++=in
the ^ati++++=the
bucket ^nn++++=bucket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
it ^pp3+it+++=it
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
through ^in++++=through
the ^ati++++=the
first ^od++++=first
room ^nn++++=room
the ^ati++++=the
sick ^jj+atrb+++=sick
boy ^nn++++=boy
said ^vbd+vpub++xvbn+=said
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
lift ^vb++++=lift
the ^ati++++=the
saddle ^nn++++=saddle
of ^in++++=of
the ^ati++++=the
harness ^nn++++=harness
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
peg ^nn++++=peg,
, ^zz++++=EXTRAWORD
father ^nn++++=father.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
leave ^vb++++=leave
the ^ati++++=the
scrubbing ^jj+++xvbg+=scrubbing
to ^to++++=to
make ^vbi++++=make
some ^dti++++=some
tea ^nn++++=tea
and ^cc++++=and
cook ^nn++++=cook
some ^dti++++=some
eggs ^nns++++=eggs
for ^in++++=for
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
baby ^nn++++=baby
to ^in++++=to
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
too ^ql++++=too
bad ^jj++++=bad
to ^to+jcmp+++=to
go ^vbi++++=go
on ^in++++=on
with ^in++++=with
the ^ati++++=the
scrubbing ^jj+++xvbg+=scrubbing
and ^cc++++=and
I ^pp1a+pp1+++=I
forgot ^vbd+vprv++xvbnx+=forgot
about ^in++++=about
the ^ati++++=the
bucket ^nn++++=bucket."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
the ^ati++++=the
baby ^nn++++=baby
have ^vb+hv+vrb++=have
any ^dti++++=any
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
her ^pp$+pp3+++=her
bread ^nn++++=bread
and ^cc++++=and
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
ate ^vbd+++xvbnx+=ate
a ^at++++=a
big ^jj+atrb+++=big
plateful ^nn+nom+++=plateful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
calves ^nns++++=calves
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
pen ^nn++++=pen
alright ^rb+dspt++??+=alright,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
fixed ^vbd+++xvbnx+=fixed
the ^ati++++=the
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
brought ^vbd+++xvbnx+=brought
a ^at++++=a
load ^nn++++=load
of ^in++++=of
wood ^nn++++=wood
this ^dt+dem+++=this
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
father ^nn++++=father,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
mother ^nn++++=mother
took ^vbd+++xvbn+=took
bad ^jj++++=bad."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
not ^xnot++not++=not
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
not ^xnot++not++=not
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
that ^dt+dem+++=that
on ^rp++++=on
Sunday ^nr++++=Sunday.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
sure ^jj++++=sure
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
lift ^vb++++=lift
a ^at++++=a
log ^&fo++++=log
into ^in++++=into
the ^ati++++=the
cart ^np++++=cart
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
too ^ql++++=too
heavy ^jj++++=heavy
for ^in++++=for
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Quite
quite ^rb++++=EXTRAWORD
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
father ^nn++++=father.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
plenty ^nn++++=plenty
strong ^jj++++=strong
enough ^qlp++++=enough
to ^to++++=to
put ^vbi++++=put
a ^at++++=a
load ^nn++++=load
of ^in++++=of
wood ^nn++++=wood
on ^in++++=on
the ^ati++++=the
cart ^nn++++=cart."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father
lay ^vbd+++xvbn+=lay
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
back ^jjb++++=back
on ^in++++=on
the ^ati++++=the
sofa ^nn++++=sofa,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
" ^zz++++="Aren't
are ^vb+ber+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
tired ^vbd+++xvbn+=tired,
, ^zz++++=EXTRAWORD
father ^nn++++=father?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
very ^ql+amp+++=very
tired ^jj+++xvbn+=tired;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
try ^vb++++=try
' ^zz++++='and
and ^cc++++=EXTRAWORD
go ^vb++++=go
to ^to++++=to
sleep ^vbi++++=sleep
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
across ^in+pl+++=across
the ^ati++++=the
table ^nn++++=table
for ^in++++=for
the ^ati++++=the
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blew ^vbd+++xvbn+=blew
it ^pp3+it+++=it
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
baby ^nn++++=baby
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment
the ^ati++++=the
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard.
. ^zz++++=EXTRAWORD
" ^zz++++="Nils!
nils ^nns+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Nils ^np+++??+=Nils!
! ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
Nils ^np+++??+=Nils?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Emma ^np++++=Emma."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
for ^in++++=for
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake
come ^vb++++=come
and ^cc+phrs+++=and
take ^vb++++=take
this ^dt+dem+++=this
child ^nn++++=child
away ^rp+pl+++=away
before ^in++++=before
she ^pp3a+pp3+++=she
drives ^nns++++=drives
me ^pp1o+pp1+++=me
mad ^jj++++=mad!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
head ^nn++++=head's
's ^vbz+bez+aux++0=EXTRAWORD
splitting ^vbg+++xvbgx+=splitting."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father
went ^vbd+++xvbn+=went
in ^in++++=in
to ^in++++=to
the ^ati++++=the
child ^nn++++=child
and ^cc++++=and
presently ^rb+tm+++=presently
returned ^vbd+++xvbn+=returned
for ^in++++=for
a ^at++++=a
cup ^nn++++=cup
of ^in++++=of
water ^nn++++=water.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
only ^ap+down+++=only
wanted ^jj+++xvbn+=wanted
a ^at++++=a
drink ^nn++++=drink,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
heard ^vbd+vprv+tht0+xvbn+=heard
him ^pp3o+pp3+++=him
say ^vb+vpub+++=say
to ^to+vcmp+++=to
the ^ati++++=the
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
a ^at++++=a
drink ^nn++++=drink?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
calling ^nvbg+++xvbg+=calling
for ^in+ppvb+++=for
the ^ati++++=the
last ^ap++++=last
half ^abn++++=half-hour,
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+dem+++=that
child ^nn++++=child
screaming ^vwbg+++xvbg+=screaming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
a ^at++++=a
soul ^nn++++=soul
to ^to++++=to
come ^vbi++++=come
near ^in+pl+++=near
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
me ^pp1o+pp1+++=me
lying ^vbg+++xvbg+=lying
here ^rn+pl+++=here
helpless ^jj++++=helpless
all ^abn++++=all
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
a ^at++++=a
wink ^nn++++=wink
of ^in++++=of
sleep ^nn++++=sleep
for ^in++++=for
two ^cd++++=two
nights ^nns++++=nights."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Emma ^np++++=Emma,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
asleep ^jj+pred+++=asleep
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
in ^in+strn+++=in."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
tell ^vb++++=tell
such ^abl++++=such
infernal ^jj++++=infernal
lies ^vbz++++=lies?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
. ^zz++++=.
To ^to++++=To
think ^vbi+vprv+tht0++=think
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
chained ^vpsv++agls+xvbnx+=chained
to ^in++++=to
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
a ^at++++=a
word ^nn++++=word
of ^in++++=of
truth ^nn++++=truth!
! ^zz++++=EXTRAWORD
God ^np++++=God
help ^nn++++=help
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
To ^in++++=To
have ^vbi++pmd"++=have
to ^md+nec+++=to
lie ^vb++++=lie
night ^nn++++=night
after ^in++++=after
night ^nn++++=night
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
bed ^nn++++=bed
with ^in++++=with
a ^at++++=a
liar ^nn++++=liar!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
in ^in++++=in
the ^ati++++=the
first ^od++++=first
room ^nn++++=room
lay ^vbd+++xvbn+=lay
quaking ^jj++++=quaking
with ^in++++=with
terror ^nn++++=terror,
, ^zz++++=EXTRAWORD
dreading ^jj+atrb++xvbg+=dreading
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
cruel ^jj+atrb+++=cruel
and ^cc+phrs+++=and
shameful ^jj+atrb+++=shameful
scenes ^nns++++=scenes
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
a ^at++++=a
hell ^nn++++=hell
of ^in++++=of
his ^pp$+pp3+++=his
