Everything ^pn++++=Everything
sheepdip ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Waring
waring ^jj+++xvbg+=EXTRAWORD
Blendor ^np+++??+=Blendor,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Weep-no-more"
weep ^vb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
more ^ql++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
Worry ^nn++++=Worry?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
be ^vbi++vrb++=be
or ^cc++++=or
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be"
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
telephone ^nn++++=telephone
number ^nn++++=number
of ^in++++=of
the ^ati++++=the
municipal ^jj+atrb+++=municipal
gas ^nn++++=gas
chambers ^nns+nom+++=chambers
of ^in++++=of
the ^ati++++=the
Federal ^jj+atrb+++=Federal
Bureau ^nn++++=Bureau
of ^in++++=of
Termination ^nn+nom+++=Termination.
. ^zz++++=EXTRAWORD
The ^ati++++=The
painter ^nn++++=painter
thumbed ^vbd+++xvbn+=thumbed
his ^pp$+pp3+++=his
nose ^nn++++=nose
at ^in++++=at
the ^ati++++=the
orderly ^nn++++=orderly.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
decide ^vb+vprv+tht0++=decide
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
time ^nn++++=time
to ^to++++=to
go ^vbi++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
at ^rb++++=at
the ^ati++++=the
Sheepdip ^np+++??+=Sheepdip."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
do ^vb+do+vrb++=do-it-yourselfer,
- ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
- ^zz++++=EXTRAWORD
yourselfer ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
orderly ^nn++++=orderly.
. ^zz++++=EXTRAWORD
" ^zz++++="Messy
messy ^jj+atrb+++=EXTRAWORD
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
Grandpa ^npt++++=Grandpa.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
a ^rb++++=a
little ^rb"++++=little
consideration ^nn+nom+++=consideration
for ^in++++=for
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
have ^md"++pmd"++=have
to ^md+nec+++=to
clean ^vb++++=clean
up ^rb+phrv+++=up
after ^in+ppvb+++=after
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
painter ^nn++++=painter
expressed ^vbd+vpub++xvbn+=expressed
with ^in++++=with
an ^at++++=an
obscenity ^nn+nom+++=obscenity
his ^pp$+pp3+++=his
lack ^nn++++=lack
of ^in++++=of
concern ^nn++++=concern
for ^in++++=for
the ^ati++++=the
tribulations ^nns+nom+++=tribulations
of ^in++++=of
his ^pp$+pp3+++=his
survivors ^nns++++=survivors.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
world ^nn++++=world
could ^md+pos+++=could
do ^vb+do+vrb++=do
with ^in++++=with
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
more ^rbr++++=more
mess ^nn++++=mess,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
ask ^vb++++=ask
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
orderly ^nn++++=orderly
laughed ^vbd+++xvbn+=laughed
and ^cc+phrs+++=and
moved ^vbd+++xvbn+=moved
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Wehling ^np+nom++??+=Wehling,
, ^zz++++=EXTRAWORD
the ^ati++++=the
waiting ^jj+atrb++xvbg+=waiting
father ^nn++++=father,
, ^zz++++=EXTRAWORD
mumbled ^j+++xvbn+=mumbled
something ^pn++++=something
without ^in++++=without
raising ^xvbg+++xvbg+=raising
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
silent ^jj++++=silent
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
A ^at++++=A
coarse ^jj+atrb+++=coarse,
, ^zz++++=EXTRAWORD
formidable ^jj+atrb+++=formidable
woman ^nn++++=woman
strode ^vbd+++xvbn+=strode
into ^in++++=into
the ^ati++++=the
waiting ^jj+atrb++xvbg+=waiting
room ^nn++++=room
on ^in++++=on
spike ^nn+++??+=spike
heels ^nns++++=heels.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
stockings ^nns++++=stockings,
, ^zz++++=EXTRAWORD
trench ^nn++++=trench
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
bag ^nn++++=bag
and ^cc++++=and
overseas ^jjb+atrb+++=overseas
cap ^nn++++=cap
were ^vbd+bed+vrb++=were
all ^abn++++=all
purple ^jj++++=purple,
, ^zz++++=EXTRAWORD
the ^ati++++=the
purple ^nn++++=purple
the ^ati++++=the
painter ^nn++++=painter
called ^vbd+++xvbn+=called
" ^zz++++="the
the ^ati++++=EXTRAWORD
color ^nn++++=color
of ^in++++=of
grapes ^nns++++=grapes
on ^in++++=on
Judgment ^nn+nom+++=Judgment
Day ^nn++++=Day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
medallion ^nn++++=medallion
on ^rp++++=on
her ^pp3o+pp3+++=her
purple ^jj+atrb+++=purple
musette ^nn+nom+++=musette
bag ^nn++++=bag
was ^vbd+bedz+vrb++=was
the ^ati++++=the
seal ^nn++++=seal
of ^in++++=of
the ^ati++++=the
Service ^nn++++=Service
Division ^nn++++=Division
of ^in++++=of
the ^ati++++=the
Federal ^jj+atrb+++=Federal
Bureau ^nn++++=Bureau
of ^in++++=of
Termination ^nn+nom+++=Termination,
, ^zz++++=EXTRAWORD
an ^at++++=an
eagle ^nn++++=eagle
perched ^vbd+++xvbn+=perched
on ^in++++=on
a ^at++++=a
turnstile ^nn++++=turnstile.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
had ^vb+hv+vrb++=had
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
facial ^jj+atrb+++=facial
hair ^nn++++=hair
an ^at++++=an
unmistakable ^jj+atrb+++=unmistakable
mustache ^nn+++??+=mustache,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
A ^at++++=A
curious ^jj+atrb+++=curious
thing ^nn++++=thing
about ^in++++=about
gas ^nn++++=gas-chamber
- ^zz++++=EXTRAWORD
chamber ^nn++++=EXTRAWORD
hostesses ^nns+nom+++=hostesses
was ^vbd+bedz+vrb++=was
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
no ^at++++=no
matter ^nn++++=matter
how ^wrb+who+++=how
lovely ^jj++++=lovely
and ^cc+phrs+++=and
feminine ^jj++++=feminine
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
when ^wrb+who+++=when
recruited ^vbd+++xvbn+=recruited,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
all ^abn++++=all
sprouted ^jj+atrb++xvbn+=sprouted
mustaches ^nns+++??+=mustaches
within ^in++++=within
five ^cd++++=five
years ^nns++++=years
or ^cc++++=or
so ^rb++++=so.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
this ^dt+pdem+++=this
where ^wrb+who+++=where
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
come ^vb++++=come?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
the ^ati++++=the
painter ^nn++++=painter.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
lot ^nn++++=lot
would ^md+prd+++=would
depend ^vb++++=depend
on ^in++++=on
what ^wdt+who+++=what
your ^pp$+pp2+++=your
business ^nns+nom+++=business
was ^vbd+bedz+vrb++=was,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
about ^md"++pmd"++=about
to ^md+prd+++=to
have ^vbi++vrb++=have
a ^at++++=a
baby ^nn++++=baby,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
pose ^vb++++=pose
for ^in++++=for
some ^dti++++=some
picture ^nn++++=picture,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
name ^nn++++=name's
's ^$++++=EXTRAWORD
Leora ^np+++??+=Leora
Duncan ^np++++=Duncan."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
waited ^vbd+++xvbnx+=waited.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
dunk ^nn+++??+=dunk
people ^nns++++=people,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Skip
skip ^vb++++=EXTRAWORD
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
sure ^jj++++=sure
is ^vbz+bez+vrb++=is
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
picture ^nn++++=picture,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Looks
looks ^nns++++=EXTRAWORD
just ^rb+emph+++=just
like ^in++++=like
heaven ^nn++++=heaven
or ^cc++++=or
something ^pn++++=something."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Or
or ^cc++++=EXTRAWORD
something ^pn++++=something,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
painter ^nn++++=painter.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
a ^at++++=a
list ^nn++++=list
of ^in++++=of
names ^nns++++=names
from ^in++++=from
his ^pp$+pp3+++=his
smock ^nn++++=smock
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
" ^zz++++="Duncan,
duncan ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Duncan ^np++++=Duncan,
, ^zz++++=EXTRAWORD
Duncan ^np++++=Duncan,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
scanning ^vbg+++xvbg+=scanning
the ^ati++++=the
list ^nn++++=list.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes
yes ^uh++++=EXTRAWORD
here ^rn+pl+++=here
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+aux++0=EXTRAWORD
entitled ^vpsv++agls+xvbnx+=entitled
to ^to++++=to
be ^vbi+vbi+aux++=be
immortalized ^vpsv++agls+xvbnx+=immortalized.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
any ^dti++++=any
faceless ^jj+atrb+++=faceless
body ^nn++++=body
here ^rn+pl+++=here
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
like ^in++++=like
me ^pp1o+pp1+++=me
to ^to++++=to
stick ^vbi++++=stick
your ^pp$+pp2+++=your
head ^jjb++++=head
on ^in+strn+++=on?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^ap++++=a
few ^ap"++++=few
choice ^nn++++=choice
ones ^cd1s++++=ones
left ^nn+++xvbn+=left."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
studied ^vbd+++xvbnx+=studied
the ^ati++++=the
mural ^nn++++=mural
bleakly ^rb++++=bleakly.
. ^zz++++=EXTRAWORD
" ^zz++++="Gee,"
gee ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="they're
they ^pp3a+pp3+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
same ^ap++++=same
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
anything ^pn++++=anything
about ^in++++=about
art ^nn++++=art."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
body ^nn++++=body's
's ^$++++=EXTRAWORD
a ^at++++=a
body ^nn++++=body,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
righty ^nn+++??+=righty.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
master ^nn++++=master
of ^in++++=of
fine ^jj+atrb+++=fine
art ^nn++++=art,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
recommend ^vb+vsua+++=recommend
this ^dt+dem+++=this
body ^nn++++=body
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
indicated ^vbd+vprv++xvbnx+=indicated
a ^at++++=a
faceless ^jj+atrb+++=faceless
figure ^nn++++=figure
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
carrying ^vbg+++xvbgx+=carrying
dried ^vprf+++xvbn+=dried
stalks ^nns+++??+=stalks
to ^in++++=to
a ^at++++=a
trash ^nn++++=trash-burner.
- ^zz++++=EXTRAWORD
burner ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Leora ^np+++??+=Leora
Duncan ^np++++=Duncan,
, ^zz++++=EXTRAWORD
" ^zz++++="that's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
more ^rbr++++=more
the ^ati++++=the
disposal ^nn+nom+++=disposal
people ^nns++++=people,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
in ^in++++=in
service ^nn++++=service.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
any ^dti++++=any
disposing ^nvbg+++xvbg+=disposing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
painter ^nn++++=painter
clapped ^vbd+++xvbn+=clapped
his ^pp$+pp3+++=his
hands ^nns++++=hands
in ^in++++=in
mock ^vb++++=mock
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
anything ^pn++++=anything
about ^in++++=about
art ^nn++++=art,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
you ^pp2+pp2+++=you
prove ^vb+vprv+++=prove
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
breath ^nn++++=breath
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
more ^rbr++++=more
about ^in++++=about
it ^pp3+it+++=it
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do!
! ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
the ^ati++++=the
sheave ^nn+++??+=sheave-carrier
- ^zz++++=EXTRAWORD
carrier ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
wrong ^jj+pred+++=wrong
for ^in++++=for
a ^at++++=a
hostess ^nns+nom+++=hostess!
! ^zz++++=EXTRAWORD
A ^at++++=A
snipper ^jjr++++=snipper,
, ^zz++++=EXTRAWORD
a ^at++++=a
pruner ^jjr++++=pruner
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
more ^ql++++=more
your ^pp$+pp2+++=your
line ^nn++++=line."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pointed ^vbd+++xvbnx+=pointed
to ^in++++=to
a ^at++++=a
figure ^nn++++=figure
in ^in++++=in
purple ^nn++++=purple
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
sawing ^vbg+++xvbgx+=sawing
a ^at++++=a
dead ^jj+atrb+++=dead
branch ^nn++++=branch
from ^in++++=from
an ^at++++=an
apple ^nn++++=apple
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
about ^in++++=about
her ^pp$+pp3+++=her?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
like ^in++++=like
her ^pp$+pp3+++=her
at ^rb++++=at
all ^abn++++=all?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Gosh
gosh ^nn+++??+=EXTRAWORD
" ^zz++++="
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
blushed ^vbd+++xvbnx+=blushed
and ^cc+phrs+++=and
became ^vbd+++xvbn+=became
humble ^jj++++=humble
" ^zz++++="that
that ^cs+sub+++=EXTRAWORD
that ^dt+pdem+++=that
puts ^vbz++++=puts
me ^pp1o+pp1+++=me
right ^jj++++=right
next ^in+cmpx+++=next
to ^in++++=to
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
upsets ^vbz++++=upsets
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
gravy ^nn++++=gravy,
, ^zz++++=EXTRAWORD
no ^at++++=no!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
such ^abl++++=such
an ^at++++=an
honor ^nn++++=honor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
admire ^vb++++=admire
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
admire ^vb++++=admire
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
worshiping ^jj+++xvbg+=worshiping
the ^ati++++=the
portrait ^nn++++=portrait
of ^in++++=of
Hitz ^np+++??+=Hitz.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
portrait ^nn++++=portrait
of ^in++++=of
a ^at++++=a
tanned ^jj+++xvbn+=tanned,
, ^zz++++=EXTRAWORD
white ^jj++++=white-haired,
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
, ^zz++++=EXTRAWORD
omnipotent ^jj+atrb+++=omnipotent
Zeus ^np+++??+=Zeus,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
admire ^vb++++=admire
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
responsible ^jj+pred+++=responsible
for ^in++++=for
setting ^xvbg+++xvbg+=setting
up ^rp++++=up
the ^ati++++=the
very ^ql+amp+++=very
first ^rb++++=first
gas ^nn++++=gas
chamber ^nn++++=chamber
in ^in++++=in
Chicago ^np++++=Chicago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing
nothing ^pn++++=EXTRAWORD
would ^md+prd+++=would
please ^uh++++=please
me ^pp1o+pp1+++=me
more ^rbr++++=more,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
painter ^nn++++=painter,
, ^zz++++=EXTRAWORD
" ^zz++++="than
than ^in++++=EXTRAWORD
to ^to++++=to
put ^vbi++++=put
you ^pp2+pp2+++=you
next ^in+cmpx+++=next
to ^in"++++=to
him ^pp3o+pp3+++=him
for ^in++++=for
all ^abn++++=all
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Sawing ^nvbg+++xvbg+=Sawing
off ^in+pl+++=off
a ^at++++=a
limb ^nn++++=limb
that ^tht+rel+subj++=that
strikes ^vbz++++=strikes
you ^pp2+pp2+++=you
as ^in++++=as
appropriate ^jj++++=appropriate?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
like ^in++++=like
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
demure ^jj+pred+++=demure
about ^in++++=about
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
was ^vbd+bedz+aux++=was
make ^vb++++=make
people ^nns++++=people
comfortable ^jj++++=comfortable
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
killed ^vbd+++xvbnx+=killed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Leora ^np+++??+=Leora
Duncan ^np++++=Duncan
was ^vbd+bedz+aux++=was
posing ^vbg+++xvbgx+=posing
for ^in++++=for
her ^pp$+pp3+++=her
portrait ^nn++++=portrait,
, ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
waitingroom ^nn+++??+=waitingroom
bounded ^vwbn+++xvbn+=bounded
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
