Hanrahan ^np+nom++??+=Hanrahan,
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
very ^ql+amp+++=very
slowly ^rb++++=slowly
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
great ^jj+atrb+++=great
load ^nn++++=load
on ^in++++=on
his ^pp$+pp3+++=his
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
light ^nn++++=light
a ^rb++++=a
little ^rb"++++=little
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
likely ^jj++++=likely
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
from ^in++++=from
Winny ^np++++=Winny's
's ^$++++=EXTRAWORD
house ^nn++++=house
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
shining ^vbg+++xvbgx+=shining,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
from ^in++++=from
the ^ati++++=the
path ^nn++++=path
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
clouds ^nns++++=clouds
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
over ^in++++=over
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
well ^jj+pred+++=well
see ^vb+vprv+++=see
his ^pp$+pp3+++=his
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
a ^ap++++=a
few ^ap"++++=few
steps ^nns++++=steps
his ^pp$+pp3+++=his
foot ^nn++++=foot
slipped ^vbd+++xvbn+=slipped
and ^cc++++=and
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
into ^in+ppvb+++=into
a ^at++++=a
bog ^nn++++=bog
drain ^nn++++=drain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
dragged ^vbd+++xvbnx+=dragged
himself ^ppl+pp3+++=himself
out ^rp+pl+++=out
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
roots ^nns++++=roots
of ^in++++=of
the ^ati++++=the
heather ^nn++++=heather,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fall ^nn++++=fall
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
him ^pp3o+pp3+++=him
a ^at++++=a
great ^nn++++=great
shake ^vb++++=shake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
better ^jjr++++=better
fit ^jj++++=fit
to ^to+jcmp+++=to
lie ^vbi++++=lie
down ^rp++++=down
than ^in++++=than
to ^to++++=to
go ^vbi++++=go
travelling ^vbg+nom++xvbg+=travelling.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
always ^rb++++=always
great ^jj+atrb+++=great
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
his ^pp$+pp3+++=his
way ^nn++++=way
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
step ^vb++++=step
by ^in++++=by
step ^nn++++=step,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
at ^rb++++=at
last ^rb"++++=last
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
Winny ^np++++=Winny's
's ^$++++=EXTRAWORD
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
had ^vb+hv+vrb++=had
no ^at++++=no
window ^nn++++=window,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
light ^nn++++=light
was ^vbd+bedz+aux++=was
shining ^vbg+++xvbgx+=shining
from ^in++++=from
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
to ^to+vcmp+++=to
go ^vbi++++=go
into ^in++++=into
it ^pp3+it+++=it
and ^cc++++=and
to ^in++++=to
rest ^nn++++=rest
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
Winny ^np+++??+=Winny
inside ^jjb++++=inside
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
was ^vbd+bedz+vrb++=was
four ^cd++++=four
old ^jj++++=old
grey ^jj++++=grey-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
women ^nns++++=women
playing ^vwbg+++xvbg+=playing
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Winny ^np+++??+=Winny
herself ^ppl+pp3+++=herself
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
among ^in++++=among
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Hanrahan ^np+nom++??+=Hanrahan
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
on ^in++++=on
a ^at++++=a
heap ^nn++++=heap
of ^in++++=of
turf ^nn++++=turf
beside ^in+pl+++=beside
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
tired ^vpsv++agls+xvbnx+=tired
out ^rp+pl+++=out
and ^cc+phrs+++=and
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
no ^at++++=no
wish ^nn++++=wish
for ^in++++=for
talking ^xvbg+++xvbg+=talking
or ^cc++++=or
for ^in++++=for
card ^nn++++=card-playing,
- ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
bones ^nns++++=bones
and ^cc++++=and
his ^pp$+pp3+++=his
joints ^nns++++=joints
aching ^vwbg+++xvbg+=aching
the ^ati++++=the
way ^nn++++=way
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
four ^cd++++=four
women ^nns++++=women
talking ^vwbg+++xvbg+=talking
as ^ql++++=as
they ^pp3a+pp3+++=they
played ^vbd+++xvbnx+=played,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
calling ^nvbg+++xvbg+=calling
out ^rp+pl+++=out
their ^pp$+pp3+++=their
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
saying ^vbg+++xvbgx+=saying,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
strange ^jj+atrb+++=strange
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
barn ^nn++++=barn
long ^rb++++=long
ago ^rb++++=ago:
: ^zz++++=EXTRAWORD
' ^zz++++='Spades
spades ^nns++++=EXTRAWORD
and ^cc++++=and
Diamonds ^nns++++=Diamonds,
, ^zz++++=EXTRAWORD
Courage ^nn+nom+++=Courage
and ^cc++++=and
Power ^nn++++=Power.
. ^zz++++=EXTRAWORD
Clubs ^nns++++=Clubs
and ^cc++++=and
Hearts ^nns++++=Hearts,
, ^zz++++=EXTRAWORD
Knowledge ^nn++++=Knowledge
and ^cc++++=and
Pleasure ^nn++++=Pleasure.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in++++=on
saying ^xvbg+++xvbg+=saying
those ^dt+dem+++=those
words ^nns++++=words
over ^in++++=over
and ^cc++++=and
over ^rb++++=over
to ^in++++=to
himself ^ppl+pp3+++=himself;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whether ^cs+who+++=whether
or ^cc++++=or
not ^xnot++not++=not
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
dreams ^nps++++=dreams,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pain ^nn++++=pain
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
never ^rb++++=never
left ^jj+++xvbn+=left
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
after ^in++++=after
a ^at++++=a
while ^cs+sub+++=while
the ^ati++++=the
four ^cd++++=four
women ^nns++++=women
in ^in++++=in
the ^ati++++=the
cabin ^nn++++=cabin
began ^vbd+++xvbn+=began
to ^to++++=to
quarrel ^vbi++++=quarrel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
one ^cd1++++=one
to ^to++++=to
say ^vbi+vpub+++=say
the ^ati++++=the
other ^ap++++=other
had ^vb+hv+aux++=had
not ^xnot++not++=not
played ^vbd+++xvbn+=played
fair ^jj++++=fair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
voices ^nns++++=voices
grew ^vbd+++xvbn+=grew
from ^in++++=from
loud ^nn++++=loud
to ^in++++=to
louder ^jjr++++=louder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
screams ^nns++++=screams
and ^cc++++=and
their ^pp$+pp3+++=their
curses ^nns++++=curses,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
at ^rb++++=at
last ^rb"++++=last
the ^ati++++=the
whole ^jj+atrb+++=whole
air ^nn++++=air
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
the ^ati++++=the
noise ^nn++++=noise
of ^in++++=of
them ^pp3o+pp3+++=them
around ^in++++=around
and ^cc++++=and
above ^jjb++++=above
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hanrahan ^np+nom++??+=Hanrahan,
, ^zz++++=EXTRAWORD
hearing ^vbg+vprv++xvbg+=hearing
it ^pp3+it+++=it
between ^in++++=between
sleep ^nn++++=sleep
and ^cc++++=and
waking ^nvbg+++xvbg+=waking,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
the ^ati++++=the
fighting ^jj+++xvbg+=fighting
between ^in++++=between
the ^ati++++=the
friends ^nns++++=friends
and ^cc++++=and
the ^ati++++=the
ill ^jj++++=ill-wishers
- ^zz++++=EXTRAWORD
wishers ^nns+nom+++=EXTRAWORD
of ^in++++=of
a ^at++++=a
man ^nn++++=man
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
near ^in+pl+++=near
his ^pp$+pp3+++=his
death ^nn++++=death.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
man ^nn++++=man
in ^in++++=in
this ^dt+dem+++=this
lonely ^jj+atrb+++=lonely
place ^nn++++=place
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
near ^in+pl+++=near
his ^pp$+pp3+++=his
death ^nn++++=death.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
asleep ^jj++++=asleep
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
opened ^vbd+++xvbnx+=opened
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
face ^nn++++=face
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
over ^rp++++=over
him ^pp3o+pp3+++=him
was ^vbd+bedz+vrb++=was
the ^ati++++=the
old ^nn++++=old
wrinkled ^vwbn+++xvbn+=wrinkled
face ^nn++++=face
of ^in++++=of
Winny ^np+++??+=Winny
of ^in++++=of
the ^ati++++=the
Cross ^nn++++=Cross
Road ^npl++++=Road.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
hard ^jj++++=hard
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
make ^vbi++++=make
sure ^jj++++=sure
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
wiped ^vbd+++xvbnx+=wiped
away ^rb+phrv+++=away
the ^ati++++=the
blood ^nn++++=blood
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
dry ^jj++++=dry
on ^in++++=on
his ^pp$+pp3+++=his
face ^nn++++=face
with ^in++++=with
a ^at++++=a
wet ^jj+atrb+++=wet
cloth ^nn++++=cloth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
a ^at++++=a
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
partly ^rb+down+++=partly
helped ^vbd+++xvbn+=helped
him ^pp3o+pp3+++=him
and ^cc++++=and
partly ^rb+down+++=partly
lifted ^jj+++xvbn+=lifted
him ^pp3o+pp3+++=him
into ^in++++=into
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
him ^pp3o+pp3+++=him
down ^rp++++=down
on ^in++++=on
what ^wdt+who+++=what
served ^vbd+++xvbn+=served
her ^pp$+pp3+++=her
for ^in++++=for
a ^at++++=a
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gave ^vbd+++xvbnx+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
potatoes ^nns++++=potatoes
from ^in++++=from
a ^at++++=a
pot ^nn++++=pot
on ^in++++=on
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
served ^vbd+++xvbn+=served
him ^pp3o+pp3+++=him
better ^jjr++++=better,
, ^zz++++=EXTRAWORD
a ^at++++=a
mug ^nn++++=mug
of ^in++++=of
spring ^nn++++=spring
water ^nn++++=water.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
slept ^vbd+++xvbnx+=slept
a ^rb++++=a
little ^rb"++++=little
now ^rn+tm+++=now
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
he ^pp3a+pp3+++=he
heard ^vbd+vprv+tht0+xvbnx+=heard
her ^pp$+pp3+++=her
singing ^vbg+++xvbg+=singing
to ^in++++=to
herself ^ppl+pp3+++=herself
as ^ql++++=as
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved
about ^rb+phrv+++=about
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
the ^ati++++=the
night ^nn++++=night
wore ^vbd+++xvbn+=wore
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
sky ^nn++++=sky
began ^vbd+++xvbn+=began
to ^to++++=to
brighten ^vbi++++=brighten
with ^in++++=with
the ^ati++++=the
dawn ^nn++++=dawn
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
for ^in+ppvb+++=for
the ^ati++++=the
bag ^nn++++=bag;
; ^zz++++=EXTRAWORD
where ^wrb+who+++=where
his ^pp$+pp3+++=his
little ^ap++++=little
store ^nn++++=store
of ^in++++=of
money ^nn++++=money
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
held ^vbd+vprv++xvbn+=held
it ^pp3+it+++=it
out ^rp+pl+++=out
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
out ^rp+pl+++=out
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
copper ^nn++++=copper
and ^cc++++=and
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
silver ^nn++++=silver
money ^nn++++=money,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
let ^vbd+++xvbnx+=let
it ^pp3+it+++=it
drop ^vb++++=drop
again ^rb+tm+++=again
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
money ^nn++++=money
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
beg ^vb++++=beg
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
food ^nn++++=food
and ^cc++++=and
rags ^nns++++=rags;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
maybe ^rb+hdg+++=maybe
because ^cs+cos+++=because
the ^ati++++=the
rising ^jj+++xvbg+=rising
of ^in++++=of
the ^ati++++=the
dawn ^nn++++=dawn
was ^vbd+bedz+aux++=was
filling ^nvbg+++xvbg+=filling
her ^pp$+pp3+++=her
with ^in++++=with
pride ^nn++++=pride
and ^cc++++=and
a ^at++++=a
new ^jj+atrb+++=new
belief ^nn++++=belief
in ^in++++=in
her ^pp$+pp3+++=her
own ^ap++++=own
great ^jj+atrb+++=great
beauty ^nn++++=beauty.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
and ^cc++++=and
cut ^nn+++xvbn+=cut
a ^ap++++=a
few ^ap"++++=few
armfuls ^nns+nom+++=armfuls
of ^in++++=of
heather ^nn++++=heather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
it ^pp3+it+++=it
in ^in++++=in
and ^cc++++=and
heaped ^vbd+++xvbn+=heaped
it ^pp3+it+++=it
over ^in++++=over
Hanrahan ^np+nom++??+=Hanrahan,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
something ^pn++++=something
about ^in++++=about
the ^ati++++=the
cold ^nn++++=cold
of ^in++++=of
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
notice ^nn++++=notice
of ^in++++=of
the ^ati++++=the
wrinkles ^nns++++=wrinkles
in ^in++++=in
her ^pp$+pp3+++=her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
greyness ^nns+nom+++=greyness
of ^in++++=of
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
teeth ^nns++++=teeth
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
black ^jj+pred+++=black
and ^cc+phrs+++=and
full ^jj++++=full
of ^in++++=of
gaps ^nns++++=gaps.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
well ^rb++splt++=well
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
the ^ati++++=the
heather ^nn++++=heather
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
away ^rp+pl+++=away
down ^in++++=down
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
mountain ^nn++++=mountain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
could ^md+pos+++=could
hear ^vb+vprv+tht0++=hear
her ^pp$+pp3+++=her
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
beautiful ^jj+pred+++=beautiful,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
beautiful ^jj+pred+++=beautiful,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
getting ^vbg+++xvbg+=getting
less ^rbr++++=less
and ^cc++++=and
less ^ql++++=less
as ^ql++++=as
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
at ^rb++++=at
last ^rb"++++=last
it ^pp3+it+++=it
died ^vbd+++xvbn+=died
away ^rp+pl+++=away
altogether ^nn+nom+++=altogether.
. ^zz++++=EXTRAWORD
Hanrahan ^np+nom++??+=Hanrahan
lay ^vbd+++xvbn+=lay
there ^rn+pl+++=there
through ^rp++++=through
the ^ati++++=the
length ^nn++++=length
of ^in++++=of
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
pains ^nns++++=pains
and ^cc++++=and
his ^pp$+pp3+++=his
weakness ^nns+nom+++=weakness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening
were ^vbd+bed+aux++=were
falling ^nvbg+++xvbg+=falling
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
her ^pp$+pp3+++=her
voice ^nn++++=voice
again ^rb+tm+++=again
coming ^vbg+++xvbg+=coming
up ^rp++++=up
the ^ati++++=the
hillside ^nn++++=hillside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
in ^in++++=in
and ^cc++++=and
boiled ^jj+++xvbn+=boiled
the ^ati++++=the
potatoes ^nns++++=potatoes
and ^cc++++=and
shared ^jj+++xvbn+=shared
them ^pp3o+pp3+++=them
with ^in++++=with
him ^pp3o+pp3+++=him
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
one ^cd1++++=one
day ^nn++++=day
after ^in++++=after
another ^dt++++=another
passed ^jj+++xvbn+=passed
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
weight ^nn++++=weight
of ^in++++=of
his ^pp$+pp3+++=his
flesh ^nn++++=flesh
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
little ^jj++++=little
by ^in++++=by
little ^jj++++=little
as ^ql++++=as
he ^pp3a+pp3+++=he
grew ^vbd+++xvbnx+=grew
weaker ^jjr++++=weaker
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
some ^dti++++=some
greater ^jjr++++=greater
than ^in++++=than
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
house ^nn++++=house
began ^vbd+++xvbn+=began
to ^to++++=to
be ^vbi+vbi+aux++=be
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
all ^abn++++=all
power ^nn++++=power
in ^in++++=in
their ^pp$+pp3+++=their
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
might ^md+pos+++=might
with ^in++++=with
one ^cd1++++=one
touch ^nn++++=touch
of ^in++++=of
the ^ati++++=the
hand ^nn++++=hand
break ^vb++++=break
down ^rp++++=down
the ^ati++++=the
wall ^nn++++=wall
the ^ati++++=the
hardness ^nns+nom+++=hardness
of ^in++++=of
pain ^nn++++=pain
had ^vbd+hvd+aux++=had
built ^vprf+++xvbnx+=built
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
take ^vb++++=take
him ^pp3o+pp3+++=him
into ^in++++=into
their ^pp$+pp3+++=their
own ^ap++++=own
world ^nn++++=world.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
sometimes ^rb++++=sometimes
he ^pp3a+pp3+++=he
could ^md+pos+++=could
hear ^vb+vprv+++=hear
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
faint ^vb++++=faint
and ^cc++++=and
joyful ^jj++++=joyful,
, ^zz++++=EXTRAWORD
