Exhausted ^jj+++xvbn+=Exhausted
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
they ^pp3a+pp3+++=they
may ^md+pos+++=may
kill ^vb++++=kill
you ^pp2+pp2+++=you
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
our ^pp$+pp1+++=our
children ^nns++++=children
will ^md+prd+++=will
perish ^vb++++=perish."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Life
life ^nn++++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
merciful ^jj+pred+++=merciful
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
even ^cs+sub+++=even
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
should ^md+nec+++=should
perish ^vb++++=perish--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
said ^vpsv++by+xvbnx+=said
by ^in++++=by
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
wife ^nn++++=wife--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
woman ^nn++++=woman
with ^in++++=with
whom ^whp+rel+pied++=whom
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
for ^in+ppvb+++=for
ten ^cd++++=ten
years ^nns++++=years.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
yesterday ^nr+tm+++=yesterday
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
known ^vprf++tht0+xvbnx+=known
nothing ^pn++++=nothing
except ^in++++=except
our ^pp$+pp1+++=our
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
fear ^nn++++=fear
for ^in++++=for
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
yesterday ^nr+tm+++=yesterday
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught
with ^in++++=with
terror ^nn++++=terror
the ^ati++++=the
stern ^jj+atrb+++=stern
symptoms ^nns++++=symptoms
of ^in++++=of
the ^ati++++=the
future ^nn++++=future.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
over ^in++++=over
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
forgot ^j+++xvbn+=forgot
everything ^pn++++=everything
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
yesterday ^nr+tm+++=yesterday.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go
with ^in++++=with
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
be ^vb+be+vrb++=be
angry" ^nn+++??+=angry"--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid,
, ^zz++++=EXTRAWORD
angry--"do ^nn+++??+=angry--"Don't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
angry ^jj+pred+++=angry.
. ^zz++++=EXTRAWORD
To ^to++++=To-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
to ^to++++=to
knock ^vbi++++=knock
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
still ^rb++splt++=still
sleeping ^vbg+++xvbgx+=sleeping,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suddenly ^rb++++=suddenly
understood ^vprf+++xvbn+=understood
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
children ^nns++++=children--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
simply ^rb++++=simply
temporary. ^nn+++??+=temporary...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
much" ^nn+++??+=much"--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
found ^vbd+vprv+tht0+xvbnx+=found
my ^pp$+pp1+++=my
hand ^nn++++=hand
and ^cc++++=and
shook ^vbd+++xvbn+=shook
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
new ^jj++++=new,
, ^zz++++=EXTRAWORD
unfamiliar ^jj++++=unfamiliar
grasp ^vb+vprv+++=grasp--"but
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
how ^wrb+who+whcl++=how
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
knocking ^vbg+++xvbgx+=knocking
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
knocking ^vbg+++xvbgx+=knocking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
something ^pn++++=something
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
falling ^nvbg+++xvbg+=falling,
, ^zz++++=EXTRAWORD
some ^dti++++=some
kind ^rb++++=kind
of ^rb"++++=of
walls ^nns++++=walls
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
falling ^nvbg+++xvbg+=falling--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
spacious ^jj++++=spacious,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
wide ^jj++++=wide,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
free ^jj++++=free.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
night ^nn++++=night
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
that ^dt+dem+++=that
the ^ati++++=the
sun ^nn++++=sun
is ^vbz+bez+aux++=is
shining ^vbg+++xvbgx+=shining.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
thirty ^cd++++=thirty
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
old ^jj+pred+++=old
already ^rb+cnj+++=already,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
only ^rb+down+++=only
seventeen ^cd++++=seventeen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
love ^nn++++=love
some ^dti++++=some
one ^pn++++=one
with ^in++++=with
my ^pp$+pp1+++=my
first ^od++++=first
love ^nn++++=love--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
great ^jj+atrb+++=great,
, ^zz++++=EXTRAWORD
boundless ^jj+atrb+++=boundless
love ^nn++++=love."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
night ^nn++++=night!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
city ^nn++++=city
were ^vbd+bed+vrb++=were
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
right ^jj+pred+++=right,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
also ^rb++splt++=also
forgotten ^vprf+++xvbnx+=forgotten
how ^wrb+who+whcl++=how
old ^jj++++=old
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+aux++=are
knocking ^vbg+++xvbgx+=knocking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
sounds ^vbz++++=sounds
to ^in++++=to
me ^pp1o+pp1+++=me
like ^in++++=like
music ^nn++++=music,
, ^zz++++=EXTRAWORD
like ^in++++=like
singing ^nn++++=singing
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
always ^rb++splt++=always
dreamed ^vprf+++xvbnx+=dreamed--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
whom ^whp+wpor+whcl++=whom
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
with ^in++++=with
such ^abl++++=such
a ^at++++=a
boundless ^jj+atrb+++=boundless
love ^nn++++=love,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
feel ^vb+vprv+++=feel
like ^in++++=like
crying ^xvbg+++xvbg+=crying
and ^cc++++=and
laughing ^xvbg+++xvbg+=laughing
and ^cc++++=and
singing ^xvbg+++xvbg+=singing.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
freedom ^nn+nom+++=freedom--do
-- ^--+clp+++=EXTRAWORD
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
take ^vb++++=take
my ^pp$+pp1+++=my
happiness ^nns+nom+++=happiness
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
die ^vb++++=die
with ^in++++=with
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
working ^vbg+++xvbgx+=working
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
calling ^nvbg+++xvbg+=calling
the ^ati++++=the
future ^jjb++++=future
so ^ql++++=so
bravely ^rb+cnj+++=bravely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
rousing ^vbg+++xvbgx+=rousing
the ^ati++++=the
dead ^jj++++=dead
past ^jjb++++=past
from ^in++++=from
its ^pp$+it+++=its
grave ^nn++++=grave."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
such ^abl++++=such
thing ^nn++++=thing
as ^in++++=as
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
such ^abl++++=such
thing ^nn++++=thing
as ^in++++=as
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
a ^at++++=a
human ^nn++++=human
being ^vwbg+beg++xvbg+=being?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
burst ^vbd+++xvbnx+=burst
into ^in+ppvb+++=into
such ^abl++++=such
ringing ^jj+atrb++xvbg+=ringing
laughter ^nn+nom+++=laughter
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
were ^vbd+bed+vrb++=were
really ^rb+emph+++=really
only ^rb+down+++=only
seventeen ^cd++++=seventeen
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
a ^at++++=a
human ^nn++++=human
being ^vwbg+beg++xvbg+=being?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
strange ^jj++++=strange
and ^cc+cls+++=and
how ^wrb+who+++=how
beautiful ^jj++++=beautiful
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
human ^nn++++=human
being ^vwbg+beg++xvbg+=being!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
writing ^vbg+++xvbgx+=writing
happened ^vprf+++xvbn+=happened
long ^rb++++=long
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
sleeping ^vbg+++xvbgx+=sleeping
now ^rn+tm+++=now
in ^in++++=in
the ^ati++++=the
sleep ^nn++++=sleep
of ^in++++=of
grey ^jj+atrb+++=grey
life ^nn++++=life
and ^cc++++=and
who ^whp+rel+subj++=who
die ^vb++++=die
without ^in++++=without
awakening ^nn++++=awakening-those
- ^zz++++=EXTRAWORD
those ^dt+pdem+++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me:
: ^zz++++=EXTRAWORD
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
such ^abl++++=such
thing ^nn++++=thing
as ^in++++=as
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
was ^vbd+bedz+aux++=was
rising ^vbg+++xvbgx+=rising
and ^cc+phrs+++=and
setting ^vbg+++xvbg+=setting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hand ^nn++++=hand
was ^vbd+bedz+aux++=was
moving ^vbg+++xvbgx+=moving
around ^rp++++=around
the ^ati++++=the
dial ^vb++++=dial--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
time ^nn++++=time
did ^vbd+dod+aux++=did
not ^xnot++not++=not
exist ^vb++++=exist.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
many ^ap++++=many
other ^ap++++=other
great ^jj+atrb+++=great
and ^cc+phrs+++=and
wonderful ^jj+atrb+++=wonderful
things ^nns++++=things
happened ^vbd+++xvbn+=happened
in ^in++++=in
those ^dt+dem+++=those
days.. ^nn+++??+=days....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
sleeping ^vbg+++xvbgx+=sleeping
now ^rn+tm+++=now
the ^ati++++=the
sleep ^nn++++=sleep
of ^in++++=of
this ^dt+dem+++=this
grey ^jj+atrb+++=grey
life ^nn++++=life
and ^cc++++=and
who ^whp+rel+subj++=who
die ^vb++++=die
without ^in++++=without
awakening ^nn++++=awakening,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
go ^vb++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Wait,
wait ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
something ^pn++++=something
to ^to++++=to
eat ^vbi++++=eat.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
eaten ^vwbn+++xvbn+=eaten
anything ^pn++++=anything
to ^to++++=to-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
how ^wrb+who+whcl++=how
sensible ^jj++++=sensible
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
go ^vb++++=go
to ^to++++=to-morrow.
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
give ^vb++++=give
the ^ati++++=the
children ^nns++++=children
away ^rp+pl+++=away
and ^cc++++=and
find ^vb+vprv+tht0++=find
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Comrade,"
comrade ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
comrade ^nn++++=comrade."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
open ^jj+atrb+++=open
windows ^nns++++=windows
came ^vbd+++xvbn+=came
the ^ati++++=the
breath ^nn++++=breath
of ^in++++=of
the ^ati++++=the
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cheerful ^jj+atrb+++=cheerful
strokes ^nns+++??+=strokes
of ^in++++=of
the ^ati++++=the
axe ^nn++++=axe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
by ^in++++=by
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
looked ^vbd+++xvbn+=looked
and ^cc+phrs+++=and
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
was ^vbd+bedz+vrb++=was
so ^ql++++=so
mysteriously ^rb++++=mysteriously
new ^jj++++=new
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
like ^in++++=like
laughing ^nn++++=laughing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
walls ^nns++++=walls
and ^cc++++=and
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
to ^to++++=to
be ^vbi++vrb++=be
transparent ^jj+pred+++=transparent.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
if ^cs+cnd+++=if
embracing ^vbg+++xvbg+=embracing
all ^rb++++=all
eternity ^nn+nom+++=eternity
with ^in++++=with
one ^cd1++++=one
glance ^nn++++=glance,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
how ^wrb+who+whcl++=how
all ^rb++++=all
these ^dt+dem+++=these
walls ^nns++++=walls
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
built ^vpsv++agls+xvbnx+=built,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
how ^wrb+who+whcl++=how
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
being ^vbg+beg+aux+xvbg+=being
destroyed ^vbd+++xvbn+=destroyed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
alone ^rb++++=alone
always ^rb++++=always
was ^vbd+bedz+aux++=was
and ^cc++++=and
always ^rb++++=always
will ^md+prd+++=will
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
will ^md+prd+++=will
pass ^vb++++=pass,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
remain ^vb++++=remain.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
everything ^pn++++=everything
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
strange ^jj++++=strange
and ^cc+phrs+++=and
queer ^jj++++=queer--so
-- ^--+clp+++=EXTRAWORD
so ^ql+emph+++=EXTRAWORD
unnatural ^jj++++=unnatural--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
table ^nn++++=table
and ^cc++++=and
the ^ati++++=the
food ^nn++++=food
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
outside ^in+cmpx+++=outside
of ^in"++++=of
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
all ^abn++++=all
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
transparent ^jj++++=transparent
and ^cc++++=and
light ^nn++++=light,
, ^zz++++=EXTRAWORD
existing ^vbg+++xvbg+=existing
only ^rb+down+++=only
temporarily ^rb++++=temporarily.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
eat ^vb++++=eat?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
my ^pp$+pp1+++=my
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
smiled ^vbd+++xvbnx+=smiled:
: ^zz++++=EXTRAWORD
" ^zz++++="Bread--it
bread ^nn++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
strange ^jj++++=strange."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
the ^ati++++=the
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
stale ^jj+atrb+++=stale,
, ^zz++++=EXTRAWORD
dry ^jj+atrb+++=dry
crust ^nn++++=crust
of ^in++++=of
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
some ^dti++++=some
reason ^nn++++=reason
her ^pp$+pp3+++=her
face ^nn++++=face
became ^vbd+++xvbn+=became
sad ^jj++++=sad.
. ^zz++++=EXTRAWORD
Still ^rb+atrb+++=Still
continuing ^jj+++xvbg+=continuing
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
silently ^rb++++=silently
adjusted ^jj+++xvbn+=adjusted
her ^pp3o+pp3+++=her
apron ^nn++++=apron
with ^in++++=with
her ^pp$+pp3+++=her
hands ^nns++++=hands
and ^cc++++=and
her ^pp$+pp3+++=her
head ^jjb++++=head
turned ^jj+++xvbn+=turned
slightly ^rb+cnj+++=slightly,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
slightly ^rb+cnj+++=slightly,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
where ^wrb+who+++=where
the ^ati++++=the
children ^nns++++=children
were ^vbd+bed+aux++=were
sleeping ^vbg+++xvbgx+=sleeping.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel
sorry ^uh++++=sorry
for ^in++++=for
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shook ^vbd+++xvbnx+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head
without ^in++++=without
removing ^xvbg+++xvbg+=removing
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
from ^in++++=from
the ^ati++++=the
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
what ^wdt+who+++=what
happened ^vbd+++xvbn+=happened
in ^in++++=in
our ^pp$+pp1+++=our
