Scene. ^np+++??+=Scene.--The
that ^tht+vcmp+++=that
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
sot ^nn+++??+=sot
her ^pp3o+pp3+++=her
eye ^nn++++=eye
on ^in++++=on
the ^ati++++=the
parson ^nn++++=parson
for ^in++++=for
herself ^ppl+pp3+++=herself:
: ^zz++++=EXTRAWORD
wal ^nn++++=wal,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
' ^zz++++='are
are ^vb+ber+aux++=EXTRAWORD
might ^md+pos+++=might
a ^at++++=a
been ^vb+jj+vrb+xvbn+=been,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
it ^pp3+it+++=it
might ^md+pos+++=might
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
folks ^nns++++=folks
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
suitable ^jj+atrb+++=suitable
connection ^nn+nom+++=connection.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+tht0++=see
she ^pp3a+pp3+++=she
hed ^vbd+++xvbnx+=hed
a ^at++++=a
good ^jj+atrb+++=good
property ^nn++++=property
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own,
, ^zz++++=EXTRAWORD
right ^jj++++=right
nigh ^rb++++=nigh
to ^in++++=to
the ^ati++++=the
minister ^nn+nom+++=minister's
's ^$++++=EXTRAWORD
lot ^nn++++=lot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
allers ^nn++++=allers
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
active ^jj++++=active
and ^cc+phrs+++=and
busy ^jj++++=busy;
; ^zz++++=EXTRAWORD
so ^ql++++=so
takin ^nn+++??+=takin'
' ^zz++++=EXTRAWORD
one ^cd1++++=one
thing ^nn++++=thing
with ^in++++=with
another ^dt++++=another,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
wonder ^vb++++=wonder
if ^cs+cnd+++=if
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
should ^md+nec+++=should
a ^at++++=a
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
Providence ^np+nom++??+=Providence
p ^zz++++=p'inted
'inted ^vbd+++xvbn+0=EXTRAWORD
that ^dt+dem+++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
At ^rb++++=At
any ^dti++++=any
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
up ^in+cmpx+++=up
to ^in++++=to
Deakin ^np+++??+=Deakin
Blod-gett ^np++++=Blod-gett's
's ^$++++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
two ^cd++++=two
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
put ^vbd+++xvbn+=put
their ^pp$+pp3+++=their
heads ^nns++++=heads
together ^nn+nom+++=together
a ^at++++=a
mournin ^nn+++??+=mournin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
condolin ^nn+++??+=condolin'
' ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
way ^nn++++=way
things ^nns++++=things
was ^vbd+bedz+vrb++=was
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
go ^vbi++++=go
on ^in++++=on
at ^rb++++=at
the ^ati++++=the
minister ^nn+nom+++=minister's
's ^$++++=EXTRAWORD
now ^rn+tm+++=now
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
the ^ati++++=the
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
women ^nns++++=women
who ^whp+rel+subj++=who
hed ^vbd+++xvbn+=hed
their ^pp$+pp3+++=their
eyes ^nns++++=eyes
everywhere ^rb++++=everywhere
and ^cc++++=and
on ^in++++=on
every ^at++++=every
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
thin ^jj+atrb+++=thin
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
tough ^jj++++=tough
as ^ql++++=as
Inger ^np+++??+=Inger
rubber ^nn++++=rubber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smart ^jj++++=smart
as ^in++++=as
a ^at++++=a
steel ^nn++++=steel
trap ^nn++++=trap;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
hen ^nn++++=hen
laid ^vbd+++xvbn+=laid
an ^at++++=an
egg ^nn++++=egg,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
cackled ^jj+++xvbn+=cackled,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right
there ^rn+pl+++=there
to ^to++++=to
see ^vbi+vprv+++=see
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
hed ^vbd+++xvbnx+=hed
the ^ati++++=the
garden ^npl++++=garden
made ^vbd+++xvbn+=made
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
medders ^nns+nom+++=medders
mowed ^vbd+++xvbn+=mowed
in ^in++++=in
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cider ^nn++++=cider
made ^vbd+++xvbn+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
corn ^nn++++=corn
husked ^vbd+++xvbn+=husked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
apples ^nns++++=apples
got ^vbd+++xvbn+=got
in ^rb+phrv+++=in
the ^ati++++=the
fall ^nn++++=fall;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
hed ^vbd+++xvbnx+=hedn't
n't ^xnot++not++0=EXTRAWORD
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
to ^to++++=to
do ^vbi++++=do
but ^cc++++=but
jest ^rb++++=jest
sit ^vb++++=sit
stock ^nn++++=stock
still ^rb++++=still
a ^at++++=a
meditatin ^nn+++??+=meditatin'
' ^zz++++=EXTRAWORD
on ^in++++=on
Jerusalem ^np++++=Jerusalem
and ^cc++++=and
Jericho ^np+++??+=Jericho
and ^cc++++=and
them ^pp3o+pp3+++=them
things ^nns++++=things
that ^tht+rel+obj++=that
ministers ^nns+nom+++=ministers
think ^vb+vprv+++=think
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Lordy ^np+++??+=Lordy
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
about ^in++++=about
where ^wrb+who+++=where
any ^dti++++=any
thing ^nn++++=thing
he ^pp3a+pp3+++=he
eat ^vb++++=eat
or ^cc++++=or
drunk ^jj+++xvbn+=drunk
or ^cc+phrs+++=or
wore ^jj+++xvbn+=wore
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
or ^cc++++=or
went ^vbd+++xvbn+=went
to ^to++++=to:
: ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
jest ^rb++++=jest
led ^vwbn+++xvbn+=led
him ^pp3o+pp3+++=him
' ^zz++++='round
round ^in++++=EXTRAWORD
in ^in++++=in
temporal ^jj+atrb+++=temporal
things ^nns++++=things
and ^cc++++=and
took ^vbd+++xvbn+=took
care ^nn++++=care
on ^rp++++=on
him ^pp3o+pp3+++=him
like ^in++++=like
a ^at++++=a
baby ^nn++++=baby.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
looked ^vbd+++xvbn+=looked
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him
in ^in++++=in
spirituals ^nns+nom+++=spirituals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world
on ^in++++=on
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
smarter ^jjr++++=smarter
minister ^npt+nom+++=minister
no ^at++++=no
where ^wrb+who+++=where
' ^zz++++='round.
round ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
preached ^vbd+++xvbnx+=preached
on ^in++++=on
decrees ^nns+nom+++=decrees
and ^cc++++=and
election ^nn+nom+++=election,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
used ^md"++pmd"++=used
to ^to++++=to
come ^vb++++=come
clear ^jj++++=clear
over ^in++++=over
from ^in++++=from
South ^np+pl+++=South
Parish ^nn++++=Parish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
West ^np+pl+++=West
Sherburne ^np+++??+=Sherburne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Old ^jj+atrb+++=Old
Town ^nn++++=Town
to ^to++++=to
hear ^vbi+vprv+++=hear
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
sich ^&fw++++=sich
a ^at++++=a
row ^nn++++=row
of ^in++++0=o'
waggins ^nn++++=waggins
tied ^vbd+++xvbn+=tied
along ^in++++=along
by ^in++++=by
the ^ati++++=the
meetin ^nn+++??+=meetin'-house
'-house ^nn+++??+=EXTRAWORD
that ^tht+rel+obj++=that
the ^ati++++=the
stables ^nns++++=stables
was ^vbd+bedz+vrb++=was
all ^abn++++=all
full ^jj++++=full,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
hitchin ^np++++=hitchin'-posts
'-posts ^nns+++??+0=EXTRAWORD
was ^vbd+bedz+vrb++=was
full ^jj++++=full
clean ^jj++++=clean
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
tavern ^nn++++=tavern,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+pdem+++=that
folks ^vbz++++=folks
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
doctor ^nn++++=doctor
made ^vbd+++xvbn+=made
the ^ati++++=the
town ^nn++++=town
look ^vb++++=look
like ^in++++=like
a ^at++++=a
gineral ^jj+atrb+++=gineral
trainin ^nn+++??+=trainin'-day
'-day ^nn+++??+=EXTRAWORD
a ^at++++=a
Sunday ^nr++++=Sunday.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
gret ^nn+++??+=gret
on ^in++++=on
texts ^nns++++=texts,
, ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
hed ^vbd+++xvbnx+=hed
a ^at++++=a
p ^zz++++=p'int
'int ^vbd+++xvbn+0=EXTRAWORD
to ^to++++=to
prove ^vbi+vprv+++=prove,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
jest ^rb++splt++=jest
go ^vb++++=go
through ^in++++0=thro'
the ^ati++++=the
Bible ^nn++++=Bible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drive ^nn++++=drive
all ^abn++++=all
the ^ati++++=the
texts ^nns++++=texts
ahead ^rb+pl+++=ahead
of ^in++++0=o'
him ^pp3o+pp3+++=him
like ^in++++=like
a ^at++++=a
flock ^nn++++=flock
of ^in++++0=o'
sheep ^nn++++=sheep;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
text ^nn++++=text
that ^tht+rel+subj++=that
seemed ^vprf+++xvbn+=seemed
agin ^nn+++??+=agin
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
come ^vprf+++xvbn+=come
out ^rb+phrv+++=out
with ^in+ppvb+++=with
his ^pp$+pp3+++=his
Greek ^nn++++=Greek
and ^cc++++=and
Hebrew ^nn++++=Hebrew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
chase ^vb++++=chase
it ^pp3+it+++=it
' ^zz++++='round
round ^in++++=EXTRAWORD
a ^at++++=a
spell ^nn++++=spell,
, ^zz++++=EXTRAWORD
jest ^rb++++=jest
as ^ql++++=as
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see
a ^at++++=a
fellar ^nn+++??+=fellar
chase ^nn++++=chase
a ^at++++=a
contrary ^nn+nom+++=contrary
bell ^nn++++=bell-wether,
- ^zz++++=EXTRAWORD
wether ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
make ^vb++++=make
him ^pp3o+pp3+++=him
jump ^vb++++=jump
the ^ati++++=the
fence ^nn++++=fence
arter ^jjr++++=arter
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
wa' ^nn+++??+=wa'n't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
text ^nn++++=text
in ^in++++=in
the ^ati++++=the
Bible ^nn++++=Bible
that ^tht+rel+subj++=that
could ^md+pos+++=could
stand ^vb++++=stand
agin ^nn+++??+=agin
the ^ati++++=the
doctor ^nn++++=doctor
when ^wrb+who+++=when
his ^pp$+pp3+++=his
blood ^nn++++=blood
was ^vbd+bedz+vrb++=was
up ^rp++++=up.
. ^zz++++=EXTRAWORD
The ^ati++++=The
year ^nn++++=year
arter ^jjr++++=arter
the ^ati++++=the
doctor ^nn++++=doctor
was ^vbd+bedz+vrb++=was
app ^jj+++??+=app'inted
'inted ^jj+++xvbn+0=EXTRAWORD
to ^to++++=to
preach ^vbi++++=preach
the ^ati++++=the
' ^zz++++='lection
lection ^nn+nom+++=EXTRAWORD
sermon ^nn++++=sermon
in ^in++++=in
Boston ^np++++=Boston,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
such ^abl++++=such
a ^at++++=a
figger ^jjr++++=figger
that ^cs+sub+++=that
the ^ati++++=the
Brattle ^np+++??+=Brattle-street
- ^zz++++=EXTRAWORD
street ^nn++++=EXTRAWORD
Church ^npl++++=Church
sent ^vbd+++xvbn+=sent
a ^at++++=a
committee ^nn+nom+++=committee
right ^jj++++=right
down ^rp++++=down
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
him ^pp3o+pp3+++=him
to ^in++++=to
Boston ^np++++=Boston;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
Sherburne ^np+++??+=Sherburne
folks ^nns++++=folks,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
up ^rp++++=up
and ^cc++++=and
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
salary ^nn++++=salary;
; ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
wakes ^nns+++??+=wakes
folks ^nns++++=folks
up ^rp++++=up
like ^in++++=like
somebody ^pn++++=somebody
else ^rb+cnj+++=else's
's ^vbz+bez+vrb++0=EXTRAWORD
wantin ^nn+++??+=wantin'
' ^zz++++=EXTRAWORD
what ^wdt+who+++=what
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got.
. ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
fall ^nn++++=fall
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
him ^pp3o+pp3+++=him
a ^at++++=a
Doctor ^nn++++=Doctor
of ^in++++0=o'
Divinity ^nn+nom+++=Divinity
at ^in++++=at
Cambridge ^np++++=Cambridge
College ^nn++++=College,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
they ^pp3a+pp3+++=they
sot ^nn+++??+=sot
more ^rbr++++=more
by ^in++++=by
him ^pp3o+pp3+++=him
than ^in++++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
lonesome ^jj++++=lonesome
and ^cc+phrs+++=and
afflicted ^jj+++xvbn+=afflicted
when ^wrb+who+++=when
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
railly ^jj++++=railly
and ^cc++++=and
truly ^rb+cnj+++=truly,
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
so ^ql++++=so
up ^in+cmpx+++=up
to ^in"++++=to
every ^at++++=every
thing ^nn++++=thing
about ^rp++++=about
house ^npl++++=house,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
doctor ^nn++++=doctor
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
miss ^npt++++=miss
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
temporal ^jj+atrb+++=temporal
way ^nn++++=way.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
shirt ^nn++++=shirt-bosoms
- ^zz++++=EXTRAWORD
bosoms ^nns++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
pleated ^jj++++=pleated
finer ^jjr++++=finer
than ^in++++=than
they ^pp3a+pp3+++=they
ever ^rb++++=ever
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
them ^pp3o+pp3+++=them
ruffles ^nns+++??+=ruffles
' ^zz++++='round
round ^in++++=EXTRAWORD
his ^pp$+pp3+++=his
wrists ^nns++++=wrists
was ^vbd+bedz+vrb++=was
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
driven ^jj+++xvbn+=driven
snow ^np++++=snow;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
brack ^nn++++=brack
in ^in++++=in
his ^pp$+pp3+++=his
silk ^nn++++=silk
stockin ^nn+++??+=stockin's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
his ^pp$+pp3+++=his
shoe ^nn++++=shoe
buckles ^nns++++=buckles
was ^vbd+bedz+vrb++=was
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
polished ^jj++++=polished
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
coats ^nns++++=coats
brushed ^vbd+++xvbn+=brushed;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
there ^rn+pl+++=there
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
bread ^nn++++=bread
and ^cc++++=and
biscuit ^nn++++=biscuit
like ^in++++=like
Huldy ^np+++??+=Huldy's;
's; ^nn+++??+=EXTRAWORD
and ^cc++++=and
her ^pp$+pp3+++=her
butter ^nn++++=butter
was ^vbd+bedz+vrb++=was
like ^in++++=like
solid ^jj+atrb+++=solid
lumps ^nns++++=lumps
of ^in++++0=o'
gold ^nn++++=gold;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
wer ^jjr++++=wern't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
pies ^nns++++=pies
to ^in++++=to
equal ^jj++++=equal
hers ^pp$$++++=hers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
the ^ati++++=the
doctor ^nn++++=doctor
never ^rb++++=never
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
loss ^nn++++=loss
of ^in++++0=o'
Miss ^npt++++=Miss
Carryl ^np++++=Carryl
at ^in++++=at
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
Huldy ^np+++??+=Huldy
allers ^nn++++=allers
opposite ^nn++++=opposite
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes
and ^cc++++=and
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks
like ^in++++=like
two ^cd++++=two
fresh ^jj+atrb+++=fresh
peaches ^nns++++=peaches.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
pleasant ^jj++++=pleasant
to ^to+jcmp+++=to
look ^vbi++++=look
at ^in+strn+++=at;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
more ^rbr++++=more
the ^ati++++=the
doctor ^nn++++=doctor
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
the ^ati++++=the
better ^jjr++++=better
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
things ^nns++++=things
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
on ^in++++=on
quite ^rb++++=quite
quiet ^nn++++=quiet
and ^cc++++=and
comfortable ^jj+atrb+++=comfortable
ef ^nn+++??+=ef
it ^pp3+it+++=it
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
that ^dt+dem+++=that
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
and ^cc++++=and
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Deakin ^np+++??+=Deakin
Blodgett ^np+++??+=Blodgett
and ^cc++++=and
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Sawin ^np+++??+=Sawin
got ^vbd+++xvbn+=got
their ^pp$+pp3+++=their
heads ^nns++++=heads
together ^nn+nom+++=together
a ^at++++=a
talkin ^nn+++??+=talkin'
' ^zz++++=EXTRAWORD
about ^in++++=about
things ^nns++++=things.
. ^zz++++=EXTRAWORD
" ^zz++++="'Poor
' ^zz++++=EXTRAWORD
poor ^jj+atrb+++=EXTRAWORD
man ^nn++++=man,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
' ^zz++++='what
what ^wdt+who+whq++=EXTRAWORD
can ^md+pos+++=can
that ^dt+dem+++=that
child ^nn++++=child
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
there ^rn+pl+++=there
do ^vb+do+vrb++=do
towards ^in++++=towards
takin ^nn+++??+=takin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
care ^nn++++=care
of ^in++++=of
all ^abn++++=all
that ^dt+dem+++=that
place ^nn++++=place?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
takes ^vbz++++=takes
a ^at++++=a
mature ^jj+atrb+++=mature
woman ^nn++++=woman,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='to
to ^to++++=EXTRAWORD
tread ^vbi++++=tread
in ^in++++=in
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np++++=Carryl's
's ^$++++=EXTRAWORD
shoes ^nns++++=shoes.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'That
' ^zz++++=EXTRAWORD
that ^cs+sub+++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Blodgett ^np+++??+=Blodgett;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
things ^nns++++=things
once ^rb+tm+++=once
get ^vb++++=get
to ^to+vcmp+++=to
runnin ^vb+++??+=runnin'
' ^zz++++=EXTRAWORD
down ^rp++++=down
hill ^npl++++=hill,
, ^zz++++=EXTRAWORD
