Whatever ^nn+nom+++=WHATEVER
, ^zz++++=EXTRAWORD
remains ^nns++++=remains.
. ^zz++++=EXTRAWORD
" ^zz++++="These
these ^dt+dem+++=EXTRAWORD
considerations ^nns+nom+++=considerations
have ^vb+hv+aux++=have
led ^vprf+++xvbnx+=led
me ^pp1o+pp1+++=me
to ^to++++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
some ^dti++++=some
good ^jj+atrb+++=good
results ^nns++++=results
might ^md+pos+++=might
ensue ^vb+++??+=ensue
from ^in++++=from
a ^at++++=a
series ^nn++++=series
of ^in++++=of
well ^rb++++=well-directed
- ^zz++++=EXTRAWORD
directed ^xvbn+++xvbn+=EXTRAWORD
questions ^nns+nom+++=questions
propounded ^vbd+++xvbn+=propounded
to ^in++++=to
me ^pp1o+pp1+++=me
while ^cs+sub+++=while
mesmerized ^vprf+++xvbn+=mesmerized.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
often ^rb++splt++=often
observed ^vprf+++xvbnx+=observed
the ^ati++++=the
profound ^jj+atrb+++=profound
self ^nn++++=self-cognizance
- ^zz++++=EXTRAWORD
cognizance ^nn+nom+++=EXTRAWORD
evinced ^vwbn+++xvbn+=evinced
by ^in++++=by
the ^ati++++=the
sleep ^nn++++=sleep-waker
- ^zz++++=EXTRAWORD
waker ^jjr++++=EXTRAWORD
the ^ati++++=the
extensive ^jj+atrb+++=extensive
knowledge ^nn++++=knowledge
he ^pp3a+pp3+++=he
displays ^nns++++=displays
upon ^in++++=upon
all ^abn++++=all
points ^nns++++=points
relating ^vwbg+++xvbg+=relating
to ^in++++=to
the ^ati++++=the
mesmeric ^jj+atrb+++=mesmeric
condition ^nn+nom+++=condition
itself ^ppl++++=itself
; ^zz++++=;
and ^cc+cls+++=and
from ^in++++=from
this ^dt+dem+++=this
self ^nn++++=self-cognizance
- ^zz++++=EXTRAWORD
cognizance ^nn+nom+++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
deduced ^vpsv++agls+xvbnx+=deduced
hints ^nns++++=hints
for ^in++++=for
the ^ati++++=the
proper ^jj+atrb+++=proper
conduct ^nn++++=conduct
of ^in++++=of
a ^at++++=a
catechism ^nn+nom+++=catechism."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
consented ^vbd+++xvbnx+=consented
of ^in+emph+++=of
course ^nn+emph"+++=course
to ^to++++=to
make ^vbi++++=make
this ^dt+dem+++=this
experiment ^nn+nom+++=experiment.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
passes ^nns++++=passes
threw ^vbd+++xvbn+=threw
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Vankirk ^np++++=Vankirk
into ^in++++=into
the ^ati++++=the
mesmeric ^jj+atrb+++=mesmeric
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
breathing ^xvbg+++xvbg+=breathing
became ^vbd+++xvbn+=became
immediately ^rb+tm+++=immediately
more ^rbr++++=more
easy ^jj++++=easy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
suffer ^vbi++++=suffer
no ^at++++=no
physical ^jj+atrb+++=physical
uneasiness ^nns+nom+++=uneasiness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
conversation ^nn+nom+++=conversation
then ^rn+tm+++=then
ensued ^vbd+++xvbn+=ensued:
: ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
dialogue ^nn++++=dialogue
representing ^vwbg+++xvbg+=representing
the ^ati++++=the
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
P ^zz++++=P.
. ^zz++++=EXTRAWORD
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
asleep ^jj++++=asleep?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes
no ^at++++=no
I ^pp1a+pp1+++=I
would ^md+prd+++=would
rather ^rb++++=rather
sleep ^nn++++=sleep
more ^rbr++++=more
soundly ^rb++++=soundly.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
[ ^zz++++=[After
after ^in++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
more ^ql++++=more
passes ^nns++++=passes.
. ^zz++++=EXTRAWORD
] ^zz++++=]
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
sleep ^vb++++=sleep
now ^rn+tm+++=now?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
your ^pp$+pp2+++=your
present ^jj+atrb+++=present
illness ^nns+nom+++=illness
will ^md+prd+++=will
result ^vb++++=result?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
[ ^zz++++=[After
after ^in++++=EXTRAWORD
a ^at++++=a
long ^jj+atrb+++=long
hesitation ^nn+nom+++=hesitation
and ^cc++++=and
speaking ^nvbg+++xvbg+=speaking
as ^cs+sub+++=as
if ^cs+cnd+++=if
with ^in++++=with
effort ^nn++++=effort
. ^zz++++=.]
] ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
die ^vb++++=die.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Does ^vbz+doz+vrb++=Does
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
death ^nn++++=death
afflict ^vb++++=afflict
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
[ ^zz++++=[Very
very ^ql+amp+++=EXTRAWORD
quickly ^rb++++=quickly
. ^zz++++=.]
] ^zz++++=EXTRAWORD
No ^at++++=No
no ^at++++=no!
! ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Are ^vb+ber+aux++=Are
you ^pp2+pp2+++=you
pleased ^vbd+++xvbn+=pleased
with ^in++++=with
the ^ati++++=the
prospect ^nn++++=prospect?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
awake ^jj+pred+++=awake
I ^pp1a+pp1+++=I
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
die ^vbi++++=die,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
no ^at++++=no
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mesmeric ^jj+atrb+++=mesmeric
condition ^nn+nom+++=condition
is ^vbz+bez+vrb++=is
so ^pn++++=so
near ^rb++++=near
death ^nn++++=death
as ^in++++=as
to ^in++++=to
content ^nn++++=content
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
you ^pp2+pp2+++=you
would ^md+prd+++=would
explain ^vb+vpub+tht0++=explain
yourself ^ppl+pp2+++=yourself,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Vankirk ^np++++=Vankirk.
. ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
do ^vbi++++=do
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
requires ^vbz++++=requires
more ^rbr++++=more
effort ^nn++++=effort
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
make ^vb++++=make.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+vrb++=do
not ^xnot++not++=not
question ^nn+nom+++=question
me ^pp1o+pp1+++=me
properly ^rb++++=properly.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
then ^rn+tm+++=then
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
ask ^vb++++=ask?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
begin ^vb++++=begin
at ^in++++=at
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beginning ^nvbg+++xvbg+=beginning
! ^zz++++=!
but ^cc+cls+++=but
where ^wrb+who+whq++=where
is ^vbz+bez+aux++=is
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning
is ^vbz+bez+vrb++=is
God ^np++++=GOD.
. ^zz++++=EXTRAWORD
[ ^zz++++=[
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low,
, ^zz++++=EXTRAWORD
fluctuating ^jj+atrb+++=fluctuating
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
every ^at++++=every
sign ^nn++++=sign
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
profound ^jj+atrb+++=profound
veneration ^nn+nom+++=veneration
. ^zz++++=.]
] ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
then ^rn+tm+++=then
is ^vbz+bez+vrb++=is
God ^np++++=God?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
[ ^zz++++=[Hesitating
hesitating ^vbg+++xvbg+=EXTRAWORD
for ^in++++=for
many ^ap++++=many
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
] ^zz++++=]
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
tell ^vb++++=tell.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
not ^xnot++not++=not
God ^nn++++=God
spirit ^nn++++=spirit?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
awake ^jj+pred+++=awake
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
meant ^vpsv++by+xvbn+=meant
by ^in++++=by
" ^zz++++="spirit,"
spirit ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
now ^rn+tm+++=now
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
only ^rb+down+++=only
a ^at++++=a
word ^nn++++=word
such ^abl++++=such
for ^in++++=for
instance ^nn+nom+++=instance
as ^in++++=as
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
beauty ^nn++++=beauty
a ^at++++=a
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
not ^xnot++not++=not
God ^np++++=God
immaterial ^jj++++=immaterial?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
immateriality ^nn+nom+++=immateriality
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
mere ^jjb+atrb+++=mere
word ^nn++++=word.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all
unless ^cs+cnd+++=unless
qualities ^nns+nom+++=qualities
are ^vb+ber+vrb++=are
things ^nns++++=things.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
God ^np++++=God,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
materia ^&fw++++=materia
? ^zz++++=?
V ^zz++++=V.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
[ ^zz++++=[This
this ^dt+dem+++=EXTRAWORD
reply ^nn++++=reply
startled ^vbd+++xvbn+=startled
me ^pp1o+pp1+++=me
very ^ql+amp+++=very
much ^ap++++=much.
. ^zz++++=EXTRAWORD
] ^zz++++=]
P ^zz++++=P.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
then ^rn+tm+++=then
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
[ ^zz++++=[
After ^in++++=After
a ^at++++=a
long ^rb++++=long
pause ^nn++++=pause,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mutteringly ^jj++++=mutteringly.
. ^zz++++=EXTRAWORD
] ^zz++++=]
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
but ^cc++++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
thing ^nn++++=thing
difficult ^jj++++=difficult
to ^to+jcmp+++=to
tell ^vbi++++=tell.
. ^zz++++=EXTRAWORD
[ ^zz++++=[Another
another ^dt++++=EXTRAWORD
long ^rb++++=long
pause ^nn++++=pause.
. ^zz++++=EXTRAWORD
] ^zz++++=]
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
exists ^vbz++++=exists.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
understand ^vb+vprv+tht0++=understand
it ^pp3+it+++=it
. ^zz++++=.
But ^cc+cls+++=But
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
gradations ^nns+nom+++=gradations
of ^in++++=of
matter ^nn++++=matter
of ^in++++=of
which ^whp+rel+pied++=which
man ^nn++++=man
knows ^vbz+vprv+++=knows
nothing ^pn++++=nothing
; ^zz++++=;
the ^ati++++=the
grosser ^nn++++=grosser
impelling ^vwbg+++xvbg+=impelling
the ^ati++++=the
finer ^jjr++++=finer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
finer ^jjr++++=finer
pervading ^jj+++xvbg+=pervading
the ^ati++++=the
grosser ^nn++++=grosser.
. ^zz++++=EXTRAWORD
The ^ati++++=The
atmosphere ^nn++++=atmosphere,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
impels ^vbz++++=impels
the ^ati++++=the
electric ^jj+atrb+++=electric
principle ^nn++++=principle,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
electric ^jj+atrb+++=electric
principle ^nn++++=principle
permeates ^nns+nom+++=permeates
the ^ati++++=the
atmosphere ^nn++++=atmosphere.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
gradations ^nns+nom+++=gradations
of ^in++++=of
matter ^nn++++=matter
increase ^nn++++=increase
in ^in++++=in
rarity ^nn++++=rarity
or ^cc++++=or
fineness ^nns+nom+++=fineness,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
we ^pp1a+pp1+++=we
arrive ^vb++++=arrive
at ^in++++=at
a ^at++++=a
matter ^nn++++=matter
unparticled ^vbd+++xvbn+=unparticled
without ^in++++=without
particles ^nns++++=particles
indivisible ^jj+atrb+++=indivisible
one ^cd1++++=one
and ^cc++++=and
here ^rn+pl+++=here
the ^ati++++=the
law ^nn++++=law
of ^in++++=of
impulsion ^nn+++??+=impulsion
and ^cc++++=and
permeation ^nn+nom+++=permeation
is ^vbz+bez+aux++=is
modified ^vpsv++agls+xvbnx+=modified.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ultimate ^jj++++=ultimate,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
unparticled ^jj+atrb++xvbn+=unparticled
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
permeates ^nns+nom+++=permeates
all ^abn++++=all
things ^nns++++=things
but ^cc++++=but
impels ^vbz++++=impels
all ^abn++++=all
things ^nns++++=things
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
is ^vbz+bez+vrb++=is
all ^abn++++=all
things ^nns++++=things
within ^in++++=within
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
matter ^nn++++=matter
is ^vbz+bez+vrb++=is
God ^np++++=God.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
men ^nns++++=men
attempt ^nn++++=attempt
to ^to+ncmp+++=to
embody ^vbi++++=embody
in ^in++++=in
the ^ati++++=the
word ^nn++++=word
" ^zz++++="thought,"
thought ^nn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
matter ^nn++++=matter
in ^in++++=in
motion ^nn++++=motion.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
The ^ati++++=The
metaphysicians ^nns++++=metaphysicians
maintain ^vb+vpub+++=maintain
that ^tht+vcmp+++=that
all ^abn++++=all
action ^nn++++=action
is ^vbz+bez+vrb++=is
reducible ^jj+pred+++=reducible
to ^in++++=to
motion ^nn++++=motion
and ^cc++++=and
thinking ^nvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
latter ^ap++++=latter
is ^vbz+bez+vrb++=is
the ^ati++++=the
origin ^nn++++=origin
of ^in++++=of
the ^ati++++=the
former ^ap++++=former.
. ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes
; ^zz++++=;
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
now ^rn+tm+++=now
see ^vb+vprv+++=see
the ^ati++++=the
confusion ^nn++++=confusion
of ^in++++=of
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
Motion ^nn++++=Motion
is ^vbz+bez+vrb++=is
the ^ati++++=the
action ^nn++++=action
of ^in++++=of
mind ^nn++++=mind
not ^xnot++not++=not
of ^in++++=of
thinking ^xvbg+++xvbg+=thinking.
. ^zz++++=EXTRAWORD
The ^ati++++=The
unparticled ^jj+atrb++xvbn+=unparticled
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
God ^np++++=God,
, ^zz++++=EXTRAWORD
in ^in++++=in
quiescence ^nn+nom+++=quiescence,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
( ^zz++++=(as
as ^ql++++=EXTRAWORD
nearly ^rb+down+++=nearly
as ^ql++++=as
we ^pp1a+pp1+++=we
can ^md+pos+++=can
conceive ^vb+vprv+tht0++=conceive
it ^pp3+it+++=it)
) ^zz++++=EXTRAWORD
what ^wdt+who+++=what
men ^nns++++=men
call ^vb++++=call
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
self ^nn++++=self-movement
- ^zz++++=EXTRAWORD
movement ^nn+nom+++=EXTRAWORD
( ^zz++++=(equivalent
equivalent ^jj++++=EXTRAWORD
in ^in++++=in
effect ^nn++++=effect
to ^in++++=to
human ^jj+atrb+++=human
volition ^nn+nom+++=volition)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
unparticled ^jj+atrb++xvbn+=unparticled
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
its ^pp$+it+++=its
unity ^nn++++=unity
and ^cc++++=and
omniprevalence ^nn+nom+++=omniprevalence
; ^zz++++=;
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
clearly ^rb++++=clearly
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
never ^rb++splt++=never
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
unparticled ^jj+atrb++xvbn+=unparticled
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
in ^in++++=in
motion ^nn++++=motion
by ^in++++=by
a ^at++++=a
law ^nn++++=law,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
existing ^vbg+++xvbg+=existing
within ^in++++=within
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
thinking ^vbg+++xvbgx+=thinking.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me
no ^at++++=no
more ^rbr++++=more
precise ^jj+atrb+++=precise
idea ^nn++++=idea
of ^in++++=of
what ^wdt+who+++=what
you ^pp2+pp2+++=you
term ^nn++++=term
the ^ati++++=the
unparticled ^jj+atrb++xvbn+=unparticled
matter ^nn++++=matter?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
The ^ati++++=The
matters ^nns+nom+++=matters
of ^in++++=of
which ^whp+rel+pied++=which
man ^nn++++=man
is ^vbz+bez+vrb++=is
cognizant ^nn+nom+++=cognizant,
, ^zz++++=EXTRAWORD
escape ^vb++++=escape
the ^ati++++=the
senses ^nns++++=senses
in ^in++++=in
gradation ^nn+nom+++=gradation.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
metal ^nn++++=metal,
, ^zz++++=EXTRAWORD
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
a ^at++++=a
drop ^nn++++=drop
of ^in++++=of
water ^nn++++=water,
, ^zz++++=EXTRAWORD
the ^ati++++=the
atmosphere ^nn++++=atmosphere,
, ^zz++++=EXTRAWORD
a ^at++++=a
gas ^nn++++=gas,
, ^zz++++=EXTRAWORD
caloric ^jj++++=caloric,
, ^zz++++=EXTRAWORD
electricity ^nn+nom+++=electricity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
luminiferous ^jj+atrb+++=luminiferous
ether ^nn++++=ether.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
we ^pp1a+pp1+++=we
call ^vb++++=call
all ^abn++++=all
these ^dt+dem+++=these
things ^nns++++=things
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
embrace ^vb++++=embrace
all ^abn++++=all
matter ^nn++++=matter
in ^in++++=in
one ^cd1++++=one
general ^jj+atrb+++=general
definition ^nn+nom+++=definition
; ^zz++++=;
but ^cc+cls+++=but
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
can ^md+pos+++=can
be ^vb+be+vrb++=be
no ^at++++=no
two ^cd++++=two
ideas ^nns++++=ideas
more ^rbr++++=more
essentially ^rb+down+++=essentially
distinct ^jj++++=distinct
than ^in++++=than
that ^dt+pdem+++=that
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
attach ^vb++++=attach
to ^in++++=to
a ^at++++=a
metal ^nn++++=metal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
attach ^vb++++=attach
to ^in++++=to
the ^ati++++=the
luminiferous ^jj+atrb+++=luminiferous
ether ^nn++++=ether.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
reach ^vb++++=reach
the ^ati++++=the
latter ^ap++++=latter,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
feel ^vb+vprv+++=feel
an ^at++++=an
almost ^rb+hdg+++=almost
irresistible ^jj+atrb+++=irresistible
inclination ^nn+nom+++=inclination
to ^to+ncmp+++=to
class ^vb++++=class
it ^pp3+it+++=it
with ^in++++=with
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
with ^in++++=with
nihility ^nn+nom+++=nihility.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
consideration ^nn+nom+++=consideration
which ^whp+rel+obj++=which
restrains ^nns+++??+=restrains
us ^pp1o+pp1+++=us
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
conception ^nn+nom+++=conception
of ^in++++=of
its ^pp$+it+++=its
atomic ^jj+atrb+++=atomic
constitution ^nn+nom+++=constitution
; ^zz++++=;
and ^cc+cls+++=and
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^md"++pmd"++=have
to ^md+nec+++=to
seek ^vb++++=seek
aid ^nn++++=aid
from ^in++++=from
our ^pp$+pp1+++=our
notion ^nn++++=notion
of ^in++++=of
an ^at++++=an
atom ^nn++++=atom,
, ^zz++++=EXTRAWORD
as ^ql++++=as
something ^pn++++=something
possessing ^jj+++xvbg+=possessing
in ^in++++=in
infinite ^jj+atrb+++=infinite
minuteness ^nns+nom+++=minuteness,
, ^zz++++=EXTRAWORD
solidity ^nn+nom+++=solidity,
, ^zz++++=EXTRAWORD
palpability ^nn+nom+++=palpability,
, ^zz++++=EXTRAWORD
weight ^nn++++=weight.
. ^zz++++=EXTRAWORD
Destroy ^vb++++=Destroy
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
the ^ati++++=the
atomic ^jj+atrb+++=atomic
constitution ^nn+nom+++=constitution
and ^cc++++=and
we ^pp1a+pp1+++=we
should ^md+nec+++=should
