[ ^zz++++=[The
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
yet ^rb++++=yet
a ^at++++=a
child ^nn++++=child,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
taught ^vpsv++agls+xvbnx+=taught
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
and ^cc+phrs+++=and
write ^vb++++=write.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
taught ^vpsv++agls+xvbnx+=taught
many ^ap++++=many
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
entered ^vpsv++agls+xvbnx+=entered
in ^in++++=in
the ^ati++++=the
secret ^jj+atrb+++=secret
service ^nn++++=service
of ^in++++=of
the ^ati++++=the
Government ^nn+nom+++=Government.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
no ^at++++=no
longer ^rbr++++=longer
wore ^vbd+++xvbn+=wore
the ^ati++++=the
slave ^nn++++=slave
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in"++++=for
disguise ^vb++++=disguise
at ^rb++++=at
such ^abl++++=such
times ^nns++++=times
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
sought ^vbd+++xvbnx+=sought
to ^to++++=to
penetrate ^nn+nom+++=penetrate
the ^ati++++=the
secrets ^nns++++=secrets
and ^cc++++=and
plots ^nns++++=plots
of ^in++++=of
the ^ati++++=the
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
but ^cc++++=but
eighteen ^cd++++=eighteen
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
brought ^vprf+++xvbn+=brought
that ^dt+dem+++=that
great ^jj+atrb+++=great
hero ^nn++++=hero
and ^cc++++=and
comrade ^nn++++=comrade,
, ^zz++++=EXTRAWORD
Ralph ^np++++=Ralph
Jacobus ^np+++??+=Jacobus,
, ^zz++++=EXTRAWORD
to ^in++++=to
trial ^nn++++=trial
and ^cc++++=and
execution ^nn+nom+++=execution
in ^in++++=in
the ^ati++++=the
electric ^jj+atrb+++=electric
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
all ^abn++++=all
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
sacred ^jj+atrb+++=sacred
name ^nn++++=name
of ^in++++=of
Ralph ^np++++=Ralph
Jacobus ^np+++??+=Jacobus,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
news ^nn++++=news
to ^in++++=to
you ^pp2+pp2+++=you
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
to ^rb+phrv+++=to
his ^pp$+pp3+++=his
death ^nn++++=death
by ^in++++=by
the ^ati++++=the
first ^od++++=first
Vanderwater ^np+nom++??+=Vanderwater,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Vange ^np+++??+=Vange.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
books ^nns++++=books.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
many ^ap++++=many
interesting ^jj+atrb+++=interesting
things ^nns++++=things
like ^in++++=like
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
books ^nns++++=books.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
after ^cs+sub+++=after
Ralph ^np++++=Ralph
Jacobus ^np+++??+=Jacobus
died ^vbd+++xvbn+=died
his ^pp$+pp3+++=his
shameful ^jj+atrb+++=shameful
death ^nn++++=death,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Vange ^np++++=Vange's
's ^$++++=EXTRAWORD
name ^nn++++=name
began ^vbd+++xvbn+=began
the ^ati++++=the
many ^ap++++=many
changes ^nns++++=changes
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
to ^to++++=to
undergo ^vbi++++=undergo.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
as ^in++++=as
" ^zz++++="Sly
sly ^jj+atrb+++=EXTRAWORD
Vange ^np+++??+=Vange"
" ^zz++++=EXTRAWORD
far ^rb+pl+++=far
and ^cc++++=and
wide ^jj++++=wide.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose
high ^jj++++=high
in ^in++++=in
the ^ati++++=the
secret ^jj+atrb+++=secret
service ^nn++++=service,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
rewarded ^vpsv++agls+xvbnx+=rewarded
in ^in++++=in
grand ^jj+atrb+++=grand
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb++++=still
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
member ^nn++++=member
of ^in++++=of
the ^ati++++=the
master ^nn++++=master
class ^nn++++=class.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
were ^vbd+bed+vrb++=were
willing ^jj+pred+++=willing
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
should ^md+nec+++=should
become ^vb++++=become
so ^ql++++=so;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
women ^nns++++=women
of ^in++++=of
the ^ati++++=the
master ^nn++++=master
class ^nn++++=class
who ^whp+rel+subj++=who
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
have ^vbi++vrb++=have
Sly ^jj+atrb+++=Sly
Vange ^np+++??+=Vange
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Sly ^jj+atrb+++=Sly
Vange ^np+++??+=Vange
gave ^vbd+++xvbn+=gave
good ^jj+atrb+++=good
service ^nn++++=service
to ^in++++=to
the ^ati++++=the
masters ^nns+nom+++=masters.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
slave ^nn++++=slave
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
ways ^nns++++=ways
of ^in++++=of
the ^ati++++=the
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
fooling ^jj+++xvbg+=fooling
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
days ^nns++++=days
the ^ati++++=the
slaves ^nns++++=slaves
were ^vbd+bed+vrb++=were
braver ^jjr+pred+++=braver
than ^in++++=than
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
always ^rb++splt++=always
trying ^vbg+++xvbgx+=trying
for ^in++++=for
their ^pp$+pp3+++=their
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Sly ^jj+atrb+++=Sly
Vange ^np+++??+=Vange
was ^vbd+bedz+vrb++=was
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
their ^pp$+pp3+++=their
schemes ^nns++++=schemes
and ^cc++++=and
plans ^nns++++=plans,
, ^zz++++=EXTRAWORD
bringing ^vbg+++xvbg+=bringing
their ^pp$+pp3+++=their
schemes ^nns++++=schemes
and ^cc++++=and
plans ^nns++++=plans
to ^to+ncmp+++=to
naught ^vbi++++=naught
and ^cc++++=and
their ^pp$+pp3+++=their
leaders ^nns+nom+++=leaders
to ^in++++=to
the ^ati++++=the
electric ^jj+atrb+++=electric
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
2255 ^cd++++=2255
that ^cs+sub+++=that
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+vrb++=was
next ^ap++++=next
changed ^jj+++xvbn+=changed
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^cs+sub+++=in
that ^cs"++++=that
year ^nn++++=year
that ^tht+rel+obj++=that
the ^ati++++=the
Great ^jj+atrb+++=Great
Mutiny ^nn++++=Mutiny
took ^vbd+++xvbn+=took
place ^nn++++=place.
. ^zz++++=EXTRAWORD
In ^cs+sub+++=In
that ^cs"++++=that
region ^nn++++=region
west ^np+pl+++=west
of ^in++++=of
the ^ati++++=the
Rocky ^jj+atrb+++=Rocky
Mountains ^nns++++=Mountains,
, ^zz++++=EXTRAWORD
seventeen ^cd++++=seventeen
millions ^cds++++=millions
of ^in++++=of
slaves ^nns++++=slaves
strove ^vbd+++xvbn+=strove
bravely ^rb++++=bravely
to ^to++++=to
overthrow ^vbi++++=overthrow
their ^pp$+pp3+++=their
masters ^nns+nom+++=masters.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
knows ^vbz+vprv+++=knows,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
Sly ^jj+atrb+++=Sly
Vange ^np+++??+=Vange
had ^vb+hv+aux++=had
not ^xnot++not++=not
lived ^vprf+++xvbn+=lived,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+aux++=have
succeeded ^vprf+++xvbnx+=succeeded?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Sly ^jj+atrb+++=Sly
Vange ^np+++??+=Vange
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
much ^ap++++=much
alive ^jj++++=alive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
masters ^nns+nom+++=masters
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
supreme ^jj+atrb+++=supreme
command ^nn++++=command
of ^in++++=of
the ^ati++++=the
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
In ^in++++=In
eight ^cd++++=eight
months ^nns++++=months
of ^in++++=of
fighting ^xvbg+++xvbg+=fighting,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
million ^cd++++=million
and ^cc++++=and
three ^cd++++=three
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
thousand ^cd++++=thousand
slaves ^nns++++=slaves
were ^vbd+bed+aux++=were
killed ^vpsv++agls+xvbnx+=killed.
. ^zz++++=EXTRAWORD
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
Sly ^jj+atrb+++=Sly
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
killed ^j+++xvbn+=killed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
broke ^vbd+++xvbnx+=broke
the ^ati++++=the
Great ^jj+atrb+++=Great
Mutiny ^nn++++=Mutiny.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
greatly ^rb+amp+splt++=greatly
rewarded ^vpsv++agls+xvbnx+=rewarded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
red ^jj++++=red
were ^vbd+bed+vrb++=were
his ^pp$+pp3+++=his
hands ^nns++++=hands
with ^in++++=with
the ^ati++++=the
blood ^nn++++=blood
of ^in++++=of
the ^ati++++=the
slaves ^nns++++=slaves
that ^tht+rel+++=that
thereafter ^nn+nom+++=thereafter
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
" ^zz++++="Bloody
bloody ^jj+atrb+++=EXTRAWORD
Vange ^np+++??+=Vange."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
interesting ^jj+atrb+++=interesting
things ^nns++++=things
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
the ^ati++++=the
books ^nns++++=books
when ^wrb+who+++=when
one ^cd1++++=one
can ^md+pos+++=can
read ^vb+vprv++xvbn+=read
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
take ^vb++++=take
my ^pp$+pp1+++=my
word ^nn++++=word
for ^in++++=for
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
many ^ap++++=many
other ^ap++++=other
things ^nns++++=things,
, ^zz++++=EXTRAWORD
even ^rb++++=even
more ^rbr++++=more
interesting ^jj++++=interesting,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
books ^nns++++=books.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
will ^md+prd+++=will
but ^cc++++=but
study ^nn++++=study
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
year ^nn++++=year's
's ^$++++=EXTRAWORD
time ^nn++++=time
you ^pp2+pp2+++=you
can ^md+pos+++=can
read ^vb+vprv++xvbn+=read
those ^dt+dem+++=those
books ^nns++++=books
for ^in++++=for
yourselves ^ppls+pp2+++=yourselves--ay,
-- ^--+clp+++=EXTRAWORD
ay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
six ^cd++++=six
months ^nns++++=months
some ^dti++++=some
of ^in++++=of
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
read ^vb+vprv++xvbn+=read
those ^dt+dem+++=those
books ^nns++++=books
for ^in++++=for
yourselves ^ppls+pp2+++=yourselves.
. ^zz++++=EXTRAWORD
Bloody ^jj+atrb+++=Bloody
Vange ^np+++??+=Vange
lived ^vbd+++xvbn+=lived
to ^in++++=to
a ^at++++=a
ripe ^jj+atrb+++=ripe
old ^jj+atrb+++=old
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb+cnj+++=always,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
last ^ap++++=last,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
received ^vbd+++xvbnx+=received
in ^in++++=in
the ^ati++++=the
councils ^nns++++=councils
of ^in++++=of
the ^ati++++=the
masters ^nns+nom+++=masters;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb++++=never
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
a ^at++++=a
master ^nn++++=master
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
first ^rb++splt++=first
opened ^vprf+++xvbnx+=opened
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
slave ^nn++++=slave
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
well ^rb++splt++=well
rewarded ^vpsv++agls+xvbnx+=rewarded!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
dozen ^cd++++=dozen
palaces ^nns++++=palaces
in ^in++++=in
which ^whp+rel+pied++=which
to ^to++++=to
live ^vbi++++=live.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
no ^at++++=no
master ^nn++++=master,
, ^zz++++=EXTRAWORD
owned ^j+++xvbn+=owned
thousands ^cds++++=thousands
of ^in++++=of
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
great ^jj+atrb+++=great
pleasure ^nn++++=pleasure
yacht ^nn++++=yacht
upon ^in++++=upon
the ^ati++++=the
sea ^nn++++=sea
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
a ^at++++=a
floating ^jj+atrb++xvbg+=floating
palace ^nn++++=palace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
owned ^vbd+++xvbnx+=owned
a ^at++++=a
whole ^jj+atrb+++=whole
island ^nn++++=island
in ^in++++=in
the ^ati++++=the
sea ^nn++++=sea
where ^wrb+who+++=where
toiled ^vbd+++xvbn+=toiled
ten ^cd++++=ten
thousand ^cd++++=thousand
slaves ^nns++++=slaves
on ^in++++=on
his ^pp$+pp3+++=his
coffee ^nn++++=coffee
plantations ^nns+nom+++=plantations.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
age ^nn++++=age
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
lonely ^jj+pred+++=lonely,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
apart ^rp++++=apart,
, ^zz++++=EXTRAWORD
hated ^xvbn+++xvbn+=hated
by ^in++++=by
his ^pp$+pp3+++=his
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
slaves ^nns++++=slaves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
down ^rp++++=down
upon ^in++++=upon
by ^in++++=by
those ^dt+dem+++=those
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
and ^cc++++=and
who ^whp+rel+subj++=who
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
be ^vbi++vrb++=be
his ^pp$+pp3+++=his
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
masters ^nns+nom+++=masters
looked ^vbd+++xvbn+=looked
down ^rp++++=down
upon ^in++++=upon
him ^pp3o+pp3+++=him
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born
a ^at++++=a
slave ^nn++++=slave.
. ^zz++++=EXTRAWORD
Enormously ^rb+amp+++=Enormously
wealthy ^jj++++=wealthy
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died
horribly ^rb+cnj+++=horribly,
, ^zz++++=EXTRAWORD
tormented ^xvbn+++xvbn+=tormented
by ^in++++=by
his ^pp$+pp3+++=his
conscience ^nn+nom+++=conscience,
, ^zz++++=EXTRAWORD
regretting ^vbg+++xvbg+=regretting
all ^rb++++=all
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
and ^cc++++=and
the ^ati++++=the
red ^jj+atrb+++=red
stain ^nn++++=stain
on ^in++++=on
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
with ^in++++=with
his ^pp$+pp3+++=his
children ^nns++++=children
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
different ^jj+pred+++=different.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
born ^vpsv++agls+xvbnx+=born
in ^in++++=in
the ^ati++++=the
slave ^nn++++=slave
pen ^nn++++=pen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
the ^ati++++=the
special ^jj+atrb+++=special
ruling ^nn++++=ruling
of ^in++++=of
the ^ati++++=the
Chief ^jjb++++=Chief
Oligarch ^np+++??+=Oligarch
of ^in++++=of
that ^dt+dem+++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
John ^np++++=John
Morrison ^np++++=Morrison,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
elevated ^vpsv++agls+xvbnx+=elevated
to ^in++++=to
the ^ati++++=the
master ^nn++++=master
class ^nn++++=class.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
that ^cs+sub+++=that
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Vange ^np+++??+=Vange
disappears ^vbz+seem+++=disappears
from ^in++++=from
the ^ati++++=the
page ^nn++++=page
of ^in++++=of
history ^nn++++=history.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
becomes ^vbz++++=becomes
Vanderwater ^np+nom++??+=Vanderwater,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jason ^np+++??+=Jason
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
Bloody ^jj+atrb+++=Bloody
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
becomes ^vbz++++=becomes
Jason ^np+++??+=Jason
Vanderwater ^np+nom++??+=Vanderwater,
, ^zz++++=EXTRAWORD
the ^ati++++=the
founder ^nn++++=founder
of ^in++++=of
the ^ati++++=the
Vanderwater ^np+nom++??+=Vanderwater
line ^nn++++=line.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
was ^vbd+bedz+vrb++=was
three ^cd++++=three
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Vanderwaters ^nns+nom++??+=Vanderwaters
of ^in++++=of
today ^nr+tm+++=to-day
forget ^vb+vprv+++=forget
their ^pp$+pp3+++=their
beginnings ^nns++++=beginnings
and ^cc++++=and
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
somehow ^rb++++=somehow
the ^ati++++=the
clay ^nn++++=clay
of ^in++++=of
their ^pp$+pp3+++=their
bodies ^nns++++=bodies
is ^vbz+bez+vrb++=is
different ^jj+atrb+++=different
stuff ^nn++++=stuff
from ^in++++=from
the ^ati++++=the
clay ^nn++++=clay
in ^in++++=in
your ^pp$+pp2+++=your
body ^nn++++=body
and ^cc++++=and
mine ^nn++++=mine
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
bodies ^nns++++=bodies
of ^in++++=of
all ^abn++++=all
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
ask ^vb++++=ask
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
should ^md+nec+++=should
a ^at++++=a
slave ^nn++++=slave
become ^vb++++=become
the ^ati++++=the
master ^nn++++=master
of ^in++++=of
another ^dt++++=another
slave ^nn++++=slave?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
why ^wrb+who+whq++=why
should ^md+nec+++=should
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
a ^at++++=a
slave ^nn++++=slave
become ^vb++++=become
the ^ati++++=the
master ^nn++++=master
of ^in++++=of
many ^ap++++=many
slaves ^nns++++=slaves?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
leave ^vb++++=leave
these ^dt+dem+++=these
questions ^nns+nom+++=questions
for ^in++++=for
you ^pp2+pp2+++=you
to ^in++++=to
answer ^nn++++=answer
for ^in++++=for
yourselves ^ppls+pp2+++=yourselves,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
do ^vb+do+aux++=do
not ^xnot++not++=not
forget ^vb+vprv+++=forget
that ^tht+vcmp+++=that
in ^in++++=in
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
the ^ati++++=the
Vanderwaters ^nns+nom++??+=Vanderwaters
were ^vbd+bed+vrb++=were
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
come ^vb++++=come
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
my ^pp$+pp1+++=my
tale ^nn++++=tale
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
of ^in++++=of
Tom ^np++++=Tom
Dixon ^np++++=Dixon's
's ^$++++=EXTRAWORD
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom+++=Vanderwater's
's ^$++++=EXTRAWORD
factory ^nn++++=factory
in ^in++++=in
Kingsbury ^np+++??+=Kingsbury
was ^vbd+bedz+aux++=was
rightly ^rb++splt++=rightly
named ^vpsv++agls+xvbnx+=named
" ^zz++++="Hell's
hell ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
the ^ati++++=the
men ^nns++++=men
who ^whp+rel+subj++=who
toiled ^vbd+++xvbn+=toiled
in ^in++++=in
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
men ^nns++++=men,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
toiled ^vbd+++xvbn+=toiled
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
children ^nns++++=children,
, ^zz++++=EXTRAWORD
little ^ap++++=little
children ^nns++++=children.
. ^zz++++=EXTRAWORD
All ^abn++++=All
that ^dt+dem+++=that
toiled ^jj+++xvbn+=toiled
there ^rn+pl+++=there
had ^vb+hv+vrb++=had
