Knowing ^vbg+vprv++xvbg+=Knowing
sorts ^nns++++=sorts
of ^in++++=of
queer ^jj+atrb+++=queer
things--do ^nn+++??+=things--don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
_see?_ ^jj+atrb++??+=_see?_
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right!
! ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right!
! ^zz++++=EXTRAWORD
Go ^vb++++=Go
away ^rp+pl+++=away
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she'll
'll ^md+prd+++0=EXTRAWORD
recognise ^vb+vprv+++=recognise
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
bothering ^vbg+++xvbgx+=bothering
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
_must_--must ^nn+++??+=_must_--mustn't
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she?
? ^zz++++=EXTRAWORD
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
will ^md+prd+++=will
before ^cs+sub+++=before-Have
- ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=EXTRAWORD
I ^pp1a+pp1+++=I
your ^pp$+pp2+++=your
leave ^nn++++=leave
to ^to++++=to
try ^vbi++++=try--?
-- ^--+clp+++=EXTRAWORD
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Anything ^pn++++=Anything
you ^pp2+pp2+++=you
please ^uh++++=please,
, ^zz++++=EXTRAWORD
so ^ql++++=so
long ^rb++++=long
as ^ql++++=as
she ^pp3a+pp3+++=she'll
'll ^md+prd+++0=EXTRAWORD
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
question ^nn+nom+++=question
of ^in+strn+++=of--hours,
-- ^--+clp+++=EXTRAWORD
hours ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Professionally._)
_professionally._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
While ^cs+sub+++=While
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
life ^nn++++=life
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
y ^zz++++=y'know.
'know. ^nn+++??+=EXTRAWORD
But ^cc++++=But
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
build ^nn++++=build
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Pull ^vb++++=Pull
her ^pp$+pp3+++=her
together ^nn+nom+++=together
if ^cs+cnd+++=if
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Aside._)
_aside._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
What ^wdt+who+++=What
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
done ^vbd+++xvbnx+=done
to ^to++++=to
deserve ^vbi++++=deserve
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Bending
_bending ^jj+++xvbg+=EXTRAWORD
over ^in++++=over
bed._ ^nn+++??+=bed._)
) ^zz++++=EXTRAWORD
Now ^rn+tm+++=Now,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gadsby ^np++++=Gadsby!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
all ^abn++++=all
right ^nn++++=right
to ^to+ncmp+++=to-morrow.
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
_must_ ^nn+++??+=_must_
take ^vb++++=take
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
I ^pp1a+pp1+++=I
shall ^md+prd+++=shan't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
Phil ^np++++=Phil
see ^vb+vprv+++=see
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
nasty ^jj++++=nasty,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
Medicines ^nns++++=Medicines!
! ^zz++++=EXTRAWORD
_always_ ^nn+++??+=_Always_
more ^ql++++=more
medicines ^nns++++=medicines!
! ^zz++++=EXTRAWORD
Can ^md+pos+++=Can't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
leave ^nn++++=leave
me ^pp1o+pp1+++=me
alone ^rb++++=alone?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
leave ^vb++++=leave
her ^pp$+pp3+++=her
in ^in++++=in
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
Doc ^np++++=Doc!
! ^zz++++=EXTRAWORD
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Stepping
_stepping ^jj+atrb++xvbg+=EXTRAWORD
back, ^nn+++??+=back,--aside._)
-- ^--+clp+++=EXTRAWORD
aside._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
May ^md+pos+++=May
I ^pp1a+pp1+++=I
be ^vb+be+aux++=be
forgiven ^vpsv++agls+xvbnx+=forgiven
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
done ^vprf+++xvbnx+=done
wrong ^jj++++=wrong.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Aloud._)
_aloud._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
In ^in++++=In
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes
she ^pp3a+pp3+++=she
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
sensible ^jj++++=sensible;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
dare ^vb++++=daren't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only-CAPT.
- ^zz++++=EXTRAWORD
capt ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
Go ^vb++++=Go
_on_ ^nn+++??+=_on_,
, ^zz++++=EXTRAWORD
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
( ^zz++++=(_In
_in ^nn+++??+=EXTRAWORD
a ^at++++=a
whisper._ ^nn+++??+=whisper._)
) ^zz++++=EXTRAWORD
Forcing ^vbg+++xvbg+=Forcing
the ^ati++++=the
last ^rb++++=last
rally ^vb++++=rally.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
leave ^nn++++=leave
us ^pp1o+pp1+++=us
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
mind ^vb+++??+=mind
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They--they--they
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
turn ^vb++++=turn
against ^in++++=against
those ^dt+dem+++=those
they ^pp3a+pp3+++=they
love ^nn++++=love
most ^ql+emph+++=most
sometimes ^rb++++=sometimes
in ^in++++=in
this.--it ^nn+++??+=this.--It's
's ^vbz+bez+vrb++0=EXTRAWORD
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but-CAPT.
- ^zz++++=EXTRAWORD
capt ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
I ^pp1a+pp1+++=I
her ^pp$+pp3+++=her
husband ^nn++++=husband
or ^cc++++=or
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Leave ^vb++++=Leave
us ^pp1o+pp1+++=us
alone ^rb++++=alone
for ^in++++=for
what ^wdt+who+++=what
time ^nn++++=time
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Confidentially._)
_confidentially._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
And ^cc++++=And
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
engaged ^vpsv++agls+xvbnx+=engaged
_quite_ ^nn+++??+=_quite_
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
Emma ^np++++=Emma.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
never ^rb++++=never
thought ^nn+++xvbn+=thought
of ^in++++=of
it ^pp3+it+++=it
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
Me! ^np+++??+=Me!--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
_what_ ^nn+++??+=_what_
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
_had ^vb+++??+=_hadn't_
n't_ ^vbd+++xvbn+0=EXTRAWORD
proposed ^vwbn+vsua++xvbn+=proposed.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thinks ^vbz+vprv+++=thinks
of ^in++++=of
that ^dt+dem+++=that
Deercourt ^np+++??+=Deercourt
girl ^nn++++=girl
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
thinks ^vbz+vprv+++=thinks
of ^in++++=of
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Aloud._)
_aloud._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie!
! ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
from ^in++++=from
the ^ati++++=the
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
Mummy ^npt++++=Mummy
dear ^jj++++=dear.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
get ^vb++++=get
the ^ati++++=the
real ^jj+atrb+++=real
leaves ^nns++++=leaves
from ^in++++=from
Kaintu ^np+++??+=Kaintu,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(_laughing
_laughing ^jj+atrb++xvbg+=EXTRAWORD
weakly_ ^nn+++??+=weakly_)
) ^zz++++=EXTRAWORD
never ^rb++++=never
mind ^nn++++=mind
about ^in++++=about
the ^ati++++=the
blossoms ^nns+++??+=blossoms--Dead
-- ^--+clp+++=EXTRAWORD
dead ^jj+atrb+++=EXTRAWORD
white ^jj+atrb+++=white
silk ^nn++++=silk
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
fit ^nn++++=fit
for ^in++++=for
widows ^nns++++=widows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
_wo ^vb+++??+=_won't_
n't_ ^vbd+++xvbn+0=EXTRAWORD
wear ^vb++++=wear
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
as ^in++++=as
bad ^nn++++=bad
as ^in++++=as
a ^at++++=a
winding ^jj+atrb++xvbg+=winding
sheet ^nn++++=sheet.
. ^zz++++=EXTRAWORD
( ^zz++++=(_A
_a ^nn+++??+=EXTRAWORD
long ^rb++++=long
pause._ ^nn+++??+=pause._)
) ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
asked ^vbd+vsua++xvbn+=asked
a ^at++++=a
favour ^nn++++=favour
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
anybody ^pn++++=anybody
to ^to++++=to
listen ^vbi++++=listen
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
her ^pp$+pp3+++=her
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me--even
-- ^--+clp+++=EXTRAWORD
even ^cs+sub+++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
die ^vb++++=die
too ^ql++++=too!
! ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Very
_very ^nn++++=EXTRAWORD
faintly._ ^nn+++??+=faintly._)
) ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip,
, ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip
dear ^nn++++=dear.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
darling ^np+nom+++=darling.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
has ^vbz+hvz+aux++=has
happened ^vprf+++xvbnx+=happened?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
bothering ^vbg+++xvbgx+=bothering
me ^pp1o+pp1+++=me
so ^rb++++=so
with ^in++++=with
medicines ^nns++++=medicines
and ^cc++++=and
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
come ^vb++++=come
and ^cc+phrs+++=and
see ^vb+vprv+++=see
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
never ^rb++++=never
ill ^jj+pred+++=ill
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
I ^pp1a+pp1+++=I
ill ^jj++++=ill
now ^rn+tm+++=now?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
quite ^abl++++=quite
well ^rb++++=well.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
funny ^jj++++=funny!
! ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
I ^pp1a+pp1+++=I
been ^vb+vbd+vrb+xvbnx+=been
ill ^jj++++=ill
long ^rb++++=long?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
days ^nns++++=days;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
all ^abn++++=all
right ^jj++++=right
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
feel ^vb+vprv+++=feel
well ^jj+pred+++=well
and ^cc++++=and--Oh!
-- ^--+clp+++=EXTRAWORD
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what
_have_ ^nn+++??+=_have_
they ^pp3a+pp3+++=they
done ^vbd+++xvbnx+=done
to ^in++++=to
my ^pp$+pp1+++=my
hair ^nn++++=hair?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d-d-do ^nn+++??+=d-d-don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They've
've ^vb+hv+aux++0=EXTRAWORD
cut ^vprf+++xvbnx+=cut
it ^pp3+it+++=it
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
shame ^nn++++=shame!
! ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
to ^to++++=to
make ^vbi++++=make
your ^pp$+pp2+++=your
head ^nn++++=head
cooler ^jjr++++=cooler.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
' ^zz++++='Just
just ^rb+emph+++=EXTRAWORD
like ^in++++=like
a ^at++++=a
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
wig ^nn++++=wig.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
look ^vb++++=look
horrid ^jj++++=horrid?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
looked ^vbd+++xvbn+=looked
prettier ^jjr++++=prettier
in ^in++++=in
your ^pp$+pp2+++=your
life ^nn++++=life,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Aside._)
_aside._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
How ^wrb+who+++=How
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I
to ^to++++=to
ask ^vbi++++=ask
her ^pp$+pp3+++=her
to ^to++++=to
say ^vbi+vpub+++=say
good ^jj++++=good-bye?
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
_feel_ ^nn+++??+=_feel_
pretty ^rb++++=pretty.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
very ^ql+amp+++=very
ill ^jj++++=ill.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
heart ^nn++++=heart
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
work ^nn++++=work.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
nearly ^rb+down+++=nearly
dead ^jj++++=dead
inside ^rp+pl+++=inside
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
funny ^jj++++=funny
feeling ^jj+++xvbg+=feeling
in ^in++++=in
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
seems ^vbz+seem+++=seems
the ^ati++++=the
same ^ap++++=same
distance ^nn+nom+++=distance--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
almirah ^nn+++??+=almirah
and ^cc++++=and
the ^ati++++=the
table ^nn++++=table--inside
-- ^--+clp+++=EXTRAWORD
inside ^jjb++++=EXTRAWORD
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
or ^cc++++=or
miles ^nns++++=miles
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
does ^vbz+doz+aux++=does
it ^pp3+it+++=it
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
feverish ^jj++++=feverish,
, ^zz++++=EXTRAWORD
Sweetheart ^nn++++=Sweetheart--very
-- ^--+clp+++=EXTRAWORD
very ^ql+amp+++=EXTRAWORD
feverish ^jj++++=feverish.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Breaking
_breaking ^jj+atrb++xvbg+=EXTRAWORD
down._ ^nn+++??+=down._)
) ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
love ^nn++++=love!
! ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
love ^nn++++=love!
! ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
let ^vbd+++xvbnx+=let
you ^pp2+pp2+++=you
go ^vb++++=go?
? ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
so ^ql++++=so.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
tell ^vb++++=tell
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
at ^rb++++=at
first ^rb"++++=first?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^vbg+++xvbgx+=going
to ^to++++=to--die.
-- ^--+clp+++=EXTRAWORD
die ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=aren't!
n't ^xnot++not++0=EXTRAWORD
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
sha ^nn+++??+=shan't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Ayah ^np+++??+=AYAH
_to ^nn+++??+=_to
punkah ^nn+++??+=punkah-coolie_.
- ^zz++++=EXTRAWORD
coolie_ ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
( ^zz++++=(_Stepping
_stepping ^jj+++xvbg+=EXTRAWORD
into ^in++++=into
veranda ^nn++++=veranda
after ^in++++=after
a ^at++++=a
glance ^nn++++=glance
at ^in++++=at
the ^ati++++=the
bed._ ^nn+++??+=bed._)
) ^zz++++=EXTRAWORD
_punkah ^nn+++??+=_Punkah
chor ^nn++++=chor
do!_ ^nn+++??+=do!_
( ^zz++++=(Stop
stop ^vb++++=EXTRAWORD
pulling ^vbg+nom++xvbg+=pulling
the ^ati++++=the
punkah ^nn+++??+=punkah.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip.
. ^zz++++=EXTRAWORD
So ^ql++++=So
very ^ql+amp+++=very,
, ^zz++++=EXTRAWORD
_very_ ^nn+++??+=_very_
hard ^jj++++=hard
after ^in++++=after
one ^cd1++++=one
year ^nn++++=year--just
-- ^--+clp+++=EXTRAWORD
just ^rb+emph+++=EXTRAWORD
one ^cd1++++=one
year ^nn++++=year.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Wailing._)
_wailing._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
And ^cc++++=And
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
