But ^cc++++=But
the ^ati++++=the
worter ^jjr++++=worter!
! ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
there ^ex+pex+++=there're
're ^vb+ber+vrb++0=EXTRAWORD
some ^dti++++=some
sweet ^jj+atrb+++=sweet
milk ^nn++++=milk
over ^in++++=over
there ^rn+pl+++=there
in ^in++++=in
one ^pn++++=one
of ^in++++0=o'
them ^pp3o+pp3+++=them
crocks ^nns++++=crocks,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ef ^nn+++??+=ef
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
jest ^rb+cnj+++=jest,
, ^zz++++=EXTRAWORD
kindo ^nn+++??+=kindo'
' ^zz++++=EXTRAWORD
keerful ^jj++++=keerful-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
lift ^nn++++=lift
off ^in+pl+++=off
the ^ati++++=the
led ^nn++++=led
of ^in++++=of
that ^cs+sub+++=that
third ^od++++=third
one ^pn++++=one,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
over ^in++++=over
there ^rn+pl+++=there
to ^to++++=to
yer ^pp$++++=yer
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dip ^nn++++=dip
you ^pp2+pp2+++=you
out ^rp+pl+++=out
a ^at++++=a
tinful ^nn++++=tinful
er ^&fw++++=er
two ^cd++++=two
of ^in++++0=o'
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
w ^zz++++=w'y,
'y, ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
good ^jj++++=good
to ^to+jcmp+++=to
drink ^vbi++++=drink
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
me ^pp1o+pp1+++=me
good ^jj++++=good
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
you ^pp2+pp2+++=you
at ^in++++=at
it ^pp3+it+++=it
But ^cc++++=But
hold ^vb+vprv+++=hold
up ^rp++++=up!
! ^zz++++=EXTRAWORD
hold ^nn++++=hold
up ^rp++++=up!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called,
, ^zz++++=EXTRAWORD
abruptly ^rb+cnj+++=abruptly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as,
, ^zz++++=EXTRAWORD
nowise ^rb++++=nowise
loath ^jj++++=loath,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bent ^vbd+++xvbnx+=bent
above ^jjb++++=above
the ^ati++++=the
vessel ^nn++++=vessel
designated ^vbd+++xvbn+=designated.
. ^zz++++=EXTRAWORD
" ^zz++++="Hold
hold ^nn++++=EXTRAWORD
yer ^pp$++++=yer
hosses ^nns+++??+=hosses
fer ^&fw++++=fer
a ^at++++=a
second ^od++++=second!
! ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here's
's ^vbz+bez+vrb++0=EXTRAWORD
Marthy ^np+++??+=Marthy;
; ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
her ^pp$+pp3+++=her
[ ^zz++++=[72]git
72]git ^cd++++=EXTRAWORD
it ^pp3+it+++=it
fer ^&fw++++=fer
ye ^pp2+pp2+++=ye."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
at ^rb++++=at
first ^rb"++++=first
surprised ^jj+++xvbn+=surprised
and ^cc+phrs+++=and
confused ^jj+++xvbn+=confused,
, ^zz++++=EXTRAWORD
meeting ^nvbg+++xvbg+=meeting
the ^ati++++=the
master ^nn++++=master
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
wholly ^rb++splt++=wholly
startled ^vpsv++agls+xvbnx+=startled
and ^cc+phrs+++=and
chagrined ^vpsv++agls+xvbn+=chagrined
in ^in++++=in
my ^pp$+pp1+++=my
present ^jj+atrb+++=present
position ^nn+nom+++=position
before ^in++++=before
its ^pp$+it+++=its
mistress ^nns+nom+++=mistress.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^ql++++=as
I ^pp1a+pp1+++=I
arose ^vbd+++xvbnx+=arose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stammered ^vbd+++xvbn+=stammered,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
some ^dti++++=some
incoherent ^jj+atrb+++=incoherent
apology ^nn++++=apology,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
again ^rb+tm+splt++=again
reassured ^vpsv++agls+xvbnx+=reassured
and ^cc+phrs+++=and
put ^vpsv++agls+xvbn+=put
at ^in++++=at
greater ^jjr+atrb+++=greater
ease ^nn++++=ease
by ^in++++=by
the ^ati++++=the
comprehensive ^jj+atrb+++=comprehensive
and ^cc+phrs+++=and
forgiving ^jj+atrb++xvbg+=forgiving
smile ^nn++++=smile
the ^ati++++=the
woman ^nn++++=woman
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
yielded ^vbd+++xvbnx+=yielded
her ^pp$+pp3+++=her
my ^pp$+pp1+++=my
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
lifted ^xvbn+++xvbn+=lifted
hat ^np++++=hat,
, ^zz++++=EXTRAWORD
awaited ^j+++xvbn+=awaited
her ^pp3o+pp3+++=her
further ^jjb+atrb+++=further
kindness ^nns+nom+++=kindness.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came
just ^rb+emph+++=just
in ^in++++=in
time ^nn++++=time,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
half ^abn++++=half
laughingly ^rb+cnj+++=laughingly,
, ^zz++++=EXTRAWORD
as ^in++++=as
with ^in"++++=with
strong ^jj+atrb+++=strong,
, ^zz++++=EXTRAWORD
bare ^jj+atrb+++=bare
arms ^nns++++=arms
she ^pp3a+pp3+++=she
reached ^vbd+++xvbnx+=reached
across ^in+pl+++=across
the ^ati++++=the
gurgling ^nn+nom+++=gurgling
trough ^nn++++=trough
and ^cc++++=and
replaced ^vbd+++xvbn+=replaced
the ^ati++++=the
lid ^nn++++=lid
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
partially ^rb+down+splt++=partially
removed ^vprf+++xvbnx+=removed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came
just ^rb+emph+++=just
in ^in++++=in
time ^nn++++=time,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
to ^to++++=to
prevent ^vbi++++=prevent
father ^nn++++=father
from ^in++++=from
having ^xvbg+++xvbg+=having
you ^pp2+pp2+++=you
dip ^vb++++=dip
into ^in++++=into
the ^ati++++=the
' ^zz++++='morning's-milk,'
morning ^nn++++=EXTRAWORD
's-milk,' ^nn+++??+=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
scarcely ^rb+down+++=scarcely
a ^at++++=a
veil ^nn++++=veil
of ^in++++=of
cream ^nn++++=cream
over ^in++++=over
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
it ^pp3+it+++=it
as ^ql++++=as
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
men ^nns++++=men,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
doubtless ^rb++++=doubtless
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
admit ^vbi+vpub+++=admit,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
on ^in++++=on
jocularly ^jj++++=jocularly,
, ^zz++++=EXTRAWORD
" ^zz++++="don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
about ^in++++=about
these ^dt+dem+++=these
things ^nns++++=things.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
pardon ^vb++++=pardon
father ^nn++++=father,
, ^zz++++=EXTRAWORD
as ^ql++++=as
much ^ap++++=much
for ^in++++=for
his ^pp$+pp3+++=his
well ^rb++++=well-meaning
- ^zz++++=EXTRAWORD
meaning ^nvbg+++xvbg+=EXTRAWORD
ignorance ^nn+nom+++=ignorance
of ^in++++=of
such ^abl++++=such
matters ^nns+nom+++=matters,
, ^zz++++=EXTRAWORD
as ^in++++=as
for ^in"++++=for
this ^dt+dem+++=this
cup ^nn++++=cup
of ^in++++=of
cream ^nn++++=cream,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure
you ^pp2+pp2+++=you
will ^md+prd+++=will
better ^jjr+atrb+++=better
relish ^nn++++=relish."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
arose ^vbd+++xvbnx+=arose,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
smiling ^jj+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
turned ^vbd+++xvbn+=turned
frankly ^rb++++=frankly
on ^in++++=on
my ^pp$+pp1+++=my
own ^ap++++=own.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
must ^md+nec+++=must
be ^vb+be+aux++=be
excused ^vpsv++agls+xvbnx+=excused
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that
as ^ql++++=as
I ^pp1a+pp1+++=I
bowed ^vbd+++xvbnx+=bowed
my ^pp$+pp1+++=my
thanks ^rb+dspt+++=thanks,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
the ^ati++++=the
proffered ^jj+atrb++xvbn+=proffered
cup ^nn++++=cup
and ^cc++++=and
lifting ^nvbg+++xvbg+=lifting
it ^pp3+it+++=it
to ^in++++=to
my ^pp$+pp1+++=my
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stared ^vbd+++xvbnx+=stared
with ^in++++=with
an ^at++++=an
uncommon ^jj+atrb+++=uncommon
interest ^nn++++=interest
and ^cc++++=and
pleasure ^nn++++=pleasure
at ^in++++=at
the ^ati++++=the
donor ^nn++++=donor's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
woman ^nn++++=woman
of ^in++++=of
certainly ^rb++++=certainly
not ^xnot++not++=not
less ^rbr++++=less
than ^in++++=than
forty ^cd++++=forty
years ^nns++++=years
of ^in++++=of
age ^nn++++=age.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rounded ^jj+atrb++xvbn+=rounded
grace ^nn++++=grace
and ^cc++++=and
fulness ^nns+nom+++=fulness
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
the ^ati++++=the
features ^nns++++=features
and ^cc++++=and
the ^ati++++=the
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
completed ^j+++xvbn+=completed
as ^ql++++=as
fine ^jj++++=fine
a ^at++++=a
specimen ^nn++++=specimen
of ^in++++=of
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
mental ^jj+atrb+++=mental
health ^nn++++=health
as ^in++++=as
ever ^rb++++=ever
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
my ^pp$+pp1+++=my
fortune ^nn++++=fortune
to ^to++++=to
meet ^vbi++++=meet;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
so ^rb+emph+++=so
full ^jj++++=full
of ^in++++=of
purpose ^nn++++=purpose
and ^cc++++=and
resolve ^vb++++=resolve
something ^pn++++=something
so ^rb+emph+++=so
wholesome ^jj++++=wholesome,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
character ^nn+nom+++=character
something ^pn++++=something
so ^ql+emph+++=so
womanly ^jj++++=womanly
I ^pp1a+pp1+++=I
might ^md+pos+++=might
almost ^rb+hdg+splt++=almost
say ^vb+vpub+++=say
manly ^jj++++=manly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
the ^ati++++=the
petty ^jj+atrb+++=petty
prejudice ^nn++++=prejudice
maybe ^rb+hdg+++=maybe
occasioned ^vpsv++by+xvbn+=occasioned
by ^in++++=by
the ^ati++++=the
trivial ^jj+atrb+++=trivial
fact ^nn++++=fact
of ^in++++=of
a ^at++++=a
locket ^nn+++??+=locket
having ^xvbg+++xvbg+=having
dropped ^vprf+++xvbn+=dropped
from ^in++++=from
her ^pp$+pp3+++=her
bosom ^nn++++=bosom
as ^ql++++=as
she ^pp3a+pp3+++=she
knelt ^vbd+++xvbnx+=knelt;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
[ ^zz++++=[73]that
73]that ^cd++++=EXTRAWORD
trinket ^nn+++??+=trinket
still ^rb+atrb+++=still
dangles ^nns+++??+=dangles
in ^in++++=in
my ^pp$+pp1+++=my
memory ^nn++++=memory
even ^rb++++=even
as ^ql++++=as
it ^pp3+it+++=it
then ^rn+tm+++=then
dangled ^vbd+++xvbn+=dangled
and ^cc+phrs+++=and
dropped ^vbd+++xvbn+=dropped
back ^jjb++++=back
to ^in++++=to
its ^pp$+it+++=its
concealment ^nn+nom+++=concealment
in ^in++++=in
her ^pp$+pp3+++=her
breast ^nn++++=breast
as ^ql++++=as
she ^pp3a+pp3+++=she
arose ^vbd+++xvbnx+=arose.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
her ^pp$+pp3+++=her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
by ^in++++=by
no ^at++++=no
means ^nns++++=means
handsome ^jj++++=handsome
in ^in++++=in
the ^ati++++=the
common ^jj+atrb+++=common
meaning ^nvbg+++xvbg+=meaning,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
marked ^vpsv++agls+xvbnx+=marked
with ^in++++=with
a ^at++++=a
breadth ^nn++++=breadth
and ^cc++++=and
strength ^nn++++=strength
of ^in++++=of
outline ^nn++++=outline
and ^cc++++=and
expression ^vb++++=expression
that ^tht+vcmp+subj++=that
approached ^vbd+++xvbn+=approached
the ^ati++++=the
heroic ^jj++++=heroic
a ^at++++=a
face ^nn++++=face
that ^tht+rel+++=that
once ^cs+tm+++=once
seen ^vprf+++xvbn+=seen
is ^vbz+bez+aux++=is
forever ^rb++splt++=forever
fixed ^vpsv++agls+xvbnx+=fixed
in ^in++++=in
memory ^nn++++=memory
a ^at++++=a
personage ^nn+nom+++=personage
once ^cs+tm+++=once
met ^vprf+++xvbn+=met
one ^cd1++++=one
must ^md+nec+++=must
know ^vb+vprv+++=know
more ^rbr++++=more
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
an ^at++++=an
hour ^nn++++=hour
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
strolled ^vbd+++xvbnx+=strolled
with ^in++++=with
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
about ^in++++=about
his ^pp$+pp3+++=his
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking,
, ^zz++++=EXTRAWORD
to ^in++++=to
all ^abn++++=all
intents ^nns+++??+=intents,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
profoundest ^jjt+atrb+++=profoundest
interest ^nn++++=interest
at ^in++++=at
his ^pp$+pp3+++=his
Devonshires ^np+++??+=Devonshires,
, ^zz++++=EXTRAWORD
Shorthorns ^np+++??+=Shorthorns,
, ^zz++++=EXTRAWORD
Jerseys ^nns++++=Jerseys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lured ^vbd+++xvbnx+=lured
from ^in++++=from
him ^pp3o+pp3+++=him
something ^pn++++=something
of ^in++++=of
an ^at++++=an
outline ^nn++++=outline
of ^in++++=of
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter's
's ^$++++=EXTRAWORD
history ^nn++++=history.
. ^zz++++=EXTRAWORD
" ^zz++++="There're
there ^ex+pex+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
no ^at++++=no
better ^jjr+atrb+++=better
girl ^nn++++=girl
' ^zz++++='n
n ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
mechanically ^rb++++=mechanically
answering ^vbg+++xvbg+=answering
some ^dti++++=some
ingenious ^jj+atrb+++=ingenious
allusion ^nn++++=allusion
to ^in++++=to
her ^pp$+pp3+++=her
worth ^in+strn+++=worth.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
yit ^nn+++??+=yit,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in++++=on
reflectively ^rb+cnj+++=reflectively,
, ^zz++++=EXTRAWORD
stooping ^vbg+++xvbg+=stooping
from ^in++++=from
his ^pp$+pp3+++=his
seat ^nn++++=seat
in ^in++++=in
the ^ati++++=the
barn ^nn++++=barn
door ^nn++++=door
and ^cc++++=and
with ^in++++=with
his ^pp$+pp3+++=his
open ^jj+atrb+++=open
jack ^np++++=jack-knife
- ^zz++++=EXTRAWORD
knife ^nn++++=EXTRAWORD
picking ^vwbg+++xvbg+=picking
up ^rp++++=up
a ^rb++++=a
little ^rb"++++=little
chip ^nn++++=chip
with ^in++++=with
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
the ^ati++++=the
blade ^nn++++=blade
" ^zz++++="and
and ^cc++++=EXTRAWORD
yit ^nn+++??+=yit
you ^pp2+pp2+++=you
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
it ^pp3+it+++=it
but ^cc++++=but
Marthy ^np+++??+=Marthy
was ^vbd+bedz+vrb++=was
the ^ati++++=the
oldest ^nn++++=oldest
of ^in++++0=o'
three ^cd++++=three
daughters ^nns+nom+++=daughters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hed ^vwbn+++xvbn+=hed
I ^pp1a+pp1+++=I
may ^md+pos+++=may
say ^vb+vpub+++=say
hed ^jj+++xvbn+=hed
more ^ql++++=more
advantages ^nns+nom+++=advantages
of ^in++++0=o'
marryin ^nn+++??+=marryin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
yit ^nn+++??+=yit,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
jest ^rb++++=jest
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
very ^ql+amp+++=very
one ^cd1++++=one
' ^zz++++='at
at ^rb++++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
marry ^vb++++=marry.
. ^zz++++=EXTRAWORD
Hed ^np+++??+=Hed
every ^at++++=every
advantage ^nn+nom+++=advantage
Marthy ^np+++??+=Marthy
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
W ^zz++++=W'y,
'y, ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we
even ^rb++++=even
hed ^vwbn+++xvbn+=hed
her ^pp$+pp3+++=her
educated ^vbd+++xvbn+=educated
her ^pp3o+pp3+++=her
mother ^npt++++=mother
was ^vbd+bedz+vrb++=was
a ^at++++=a-livin'
- ^zz++++=EXTRAWORD
livin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
then ^rn+tm+++=then
and ^cc++++=and
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
well ^rb++++=well
enough ^qlp++++=enough
fixed ^jj+++xvbn+=fixed
to ^to++++=to
afford ^vbi++++=afford
the ^ati++++=the
educatin ^nn+++??+=educatin'
' ^zz++++=EXTRAWORD
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
mother ^nn++++=mother
allus ^nns+++??+=allus
contended ^vwbn+vpub++xvbn+=contended
and ^cc++++=and
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
besides ^in+strn+++=besides,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Marthy ^np++++=Marthy's
's ^$++++=EXTRAWORD
notion ^nn++++=notion,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
women ^nns++++=women
is ^vbz+bez+vrb++=is
thataway ^nn+++??+=thataway
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
git ^np++++=git
their ^pp$+pp3+++=their
head ^jjb+atrb+++=head
set ^nn+++xvbn+=set.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
sent ^vbd+++xvbn+=sent
Marthy ^np+++??+=Marthy
down ^in++++=down
to ^in++++=to
Indianop ^np+++??+=Indianop'lus,
'lus, ^nn+++??+=EXTRAWORD
and ^cc++++=and
got ^vbd+++xvbn+=got
her ^pp$+pp3+++=her
books ^nns++++=books
and ^cc++++=and
putt ^np++++=putt
her ^pp$+pp3+++=her
in ^in++++=in
school ^nn++++=school
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
paid ^vbd+++xvbn+=paid
fer ^&fw++++=fer
her ^pp$+pp3+++=her
keepin ^nn+++??+=keepin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
ever ^rb++++=ever'thing;
'thing; ^vbd+++xvbn+0=EXTRAWORD
and ^cc++++=and
she ^pp3a+pp3+++=she
jest ^rb++++=jest
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
lived ^j+++xvbn+=lived
there ^rn+pl+++=there
stiddy ^nn+++??+=stiddy
fer ^&fw++++=fer
better ^jjr+atrb+++=better'n
'n ^nn+++??+=EXTRAWORD
four ^cd++++=four
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Of ^in+emph+++0=O'
course ^nn+emph"+++=course
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
git ^np++++=git
back ^jjb++++=back
ever ^rb++++=ever'
' ^zz++++=EXTRAWORD
once ^rb+tm+++=once-an-a-while,
- ^zz++++=EXTRAWORD
an ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
while ^cs+sub+++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
visits ^vbz++++=visits
was ^vbd+bedz+vrb++=was
allus ^nns+++??+=allus,
, ^zz++++=EXTRAWORD
some ^dti++++=some-way-another,
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
another ^dt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
onsatisfactory ^nn++++=onsatisfactory-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++='cause,
cause ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
was ^vbd+bedz+vrb++=was
allus ^nns+++??+=allus
my ^pp$+pp1+++=my
favorite ^jj++++=favorite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
allus ^vbz+++??+=allus
laughed ^vbd+++xvbn+=laughed
and ^cc+phrs+++=and
told ^vbd+vpub+tht0+xvbn+=told
her ^pp$+pp3+++=her
' ^zz++++='at
at ^rb++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
girls ^nns++++=girls
could ^md+pos+++=could
git ^vb++++=git
married ^vbd+++xvbn+=married
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
wanted ^vbd+++xvbnx+=wanted,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
' ^zz++++='nest-egg'
nest ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
egg ^nn++++=EXTRAWORD
' ^zz++++=EXTRAWORD
[ ^zz++++=[74]of
74]of ^cd++++=EXTRAWORD
our ^pp$+pp1+++=our
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='slong
slong ^nn+++??+=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
lived ^vbd+++xvbnx+=lived
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
her ^pp$+pp3+++=her
at ^in++++=at
home ^nr++++=home
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
laugh ^nn++++=laugh
and ^cc++++=and
