Having ^xvbg+++xvbg+=Having
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
full ^jj+pred+++=full
of ^in++++=of
hotels ^nns++++=hotels)
) ^zz++++=EXTRAWORD
give ^vb++++=give
glimpses ^nns++++=glimpses
of ^in++++=of
long ^jj+atrb+++=long
tables ^nns++++=tables
set ^vbd+++xvbn+=set
out ^rb+phrv+++=out
for ^in+ppvb+++=for
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
to ^to+vcmp+++=to
look ^vbi++++=look
sumptuous ^jj++++=sumptuous
by ^in++++=by
the ^ati++++=the
aid ^nn++++=aid
of ^in++++=of
napkins ^nns++++=napkins
folded ^vbd+++xvbn+=folded
fan ^nn++++=fan-wise,
- ^zz++++=EXTRAWORD
wise ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
rightly ^rb++splt++=rightly
judge ^vb++++=judge
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
uncommonly ^rb++++=uncommonly
good ^jj+atrb+++=good
town ^nn++++=town
to ^to++++=to
eat ^vbi++++=eat
and ^cc++++=and
drink ^nn++++=drink
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
an ^at++++=an
old ^jj+atrb+++=old
walled ^jj+atrb+++=walled
town ^nn++++=town,
, ^zz++++=EXTRAWORD
rich ^jj++++=rich
in ^in++++=in
cool ^vb++++=cool
public ^jj+atrb+++=public
wells ^np++++=wells
of ^in++++=of
water ^nn++++=water,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
a ^at++++=a
hill ^nn++++=hill
within ^in++++=within
and ^cc++++=and
above ^jjb++++=above
the ^ati++++=the
present ^jj+atrb+++=present
business ^nns+nom+++=business-town;
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
some ^dti++++=some
hundreds ^cds++++=hundreds
of ^in++++=of
miles ^nns++++=miles
further ^jjb++++=further
from ^in++++=from
England ^np++++=England,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
being ^xvbg+++xvbg+=being,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
clear ^jj+atrb+++=clear
day ^nn++++=day,
, ^zz++++=EXTRAWORD
within ^in++++=within
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
grass ^nn++++=grass
growing ^vwbg+++xvbg+=growing
in ^in++++=in
the ^ati++++=the
crevices ^nns+++??+=crevices
of ^in++++=of
the ^ati++++=the
chalk ^nn++++=chalk-cliffs
- ^zz++++=EXTRAWORD
cliffs ^nns++++=EXTRAWORD
of ^in++++=of
Dover ^np++++=Dover,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
long ^rb++++=long
ago ^rb++++=ago
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
bored ^vpsv++agls+xvbnx+=bored
to ^in++++=to
death ^nn++++=death
about ^in++++=about
that ^dt+dem+++=that
town ^nn++++=town.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
more ^rbr++++=more
picturesque ^jj+pred+++=picturesque
and ^cc+phrs+++=and
quaint ^jj++++=quaint
than ^in++++=than
half ^abn++++=half
the ^ati++++=the
innocent ^jj+atrb+++=innocent
places ^nns++++=places
which ^whp+rel+obj++=which
tourists ^nns+nom+++=tourists,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
their ^pp$+pp3+++=their
leader ^nn++++=leader
like ^in++++=like
sheep ^nns++++=sheep,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
impostors ^nns++++=impostors
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
To ^to++++=To
say ^vbi+vpub+++=say
nothing ^pn++++=nothing
of ^in++++=of
its ^pp$+it+++=its
houses ^nns++++=houses
with ^in++++=with
grave ^jj+atrb+++=grave
courtyards ^nns+++??+=courtyards,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
queer ^jj++++=queer
by ^in++++=by-corners,
- ^zz++++=EXTRAWORD
corners ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
manywindowed ^jj+atrb++xvbn+=manywindowed
streets ^nns++++=streets
white ^jj++++=white
and ^cc+phrs+++=and
quiet ^jj++++=quiet
in ^in++++=in
the ^ati++++=the
sunlight ^nn++++=sunlight,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
ancient ^jj+atrb+++=ancient
belfry ^nn++++=belfry
in ^in++++=in
it ^pp3+it+++=it
that ^dt+pdem+++=that
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
Annuals ^nns+nom+++=Annuals
and ^cc++++=and
Albums ^np+++??+=Albums,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
and ^cc+phrs+++=and
gone ^vbd+++xvbn+=gone,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
hundred ^cd++++=hundred
years ^nns++++=years
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+aux++=had
but ^cc++++=but
been ^vprf+ben+vrb+xvbn+=been
more ^rbr++++=more
expensive ^jj++++=expensive
to ^to+jcmp+++=to
get ^vbi++++=get
at ^in+ppvb+++=at.
. ^zz++++=EXTRAWORD
Happily ^rb++++=Happily
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
escaped ^vprf+++xvbnx+=escaped
so ^ql++++=so
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
only ^rb+down+++=only
in ^in++++=in
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place,
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
may ^md+pos+++=may
like ^in++++=like
it ^pp3+it+++=it
of ^in++++=of
your ^pp$+pp2+++=your
own ^ap++++=own
accord ^nn++++=accord
in ^in++++=in
a ^at++++=a
natural ^jj+atrb+++=natural
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
without ^in++++=without
being ^nn+nn+aux++=being
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
go ^vbi++++=go
into ^in++++=into
convulsions ^nns++++=convulsions
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
regard ^nn++++=regard
it ^pp3+it+++=it
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
later ^rbr+tm+++=later
blessings ^nns++++=blessings
of ^in++++=of
our ^pp$+pp1+++=our
life ^nn++++=life,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Bilkins ^np+++??+=BILKINS,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
authority ^nn+nom+++=authority
on ^in++++=on
Taste ^nn++++=Taste,
, ^zz++++=EXTRAWORD
never ^rb++++=never
took ^vbd+++xvbn+=took
any ^dti++++=any
notice ^vb+vprv+++=notice
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
can ^md+pos+++=can
find ^vb+vprv+++=find
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
of ^in++++=of
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place.
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Bilkins ^np+++??+=Bilkins
never ^rb++++=never
wrote ^vbd+vprv++xvbn+=wrote
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
never ^rb++++=never
pointed ^vbd+++xvbn+=pointed
out ^rp+pl+++=out
anything ^pn++++=anything
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
never ^rb++++=never
measured ^vwbn+++xvbn+=measured
anything ^pn++++=anything
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
always ^rb++++=always
left ^vbd+++xvbn+=left
it ^pp3+it+++=it
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
For ^in++++=For
which ^whp+rel+pied++=which
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
Heaven ^nn++++=Heaven
bless ^vb++++=bless
the ^ati++++=the
town ^nn++++=town
and ^cc++++=and
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
the ^ati++++=the
immortal ^jj+atrb+++=immortal
Bilkins ^np+++??+=Bilkins
likewise ^rb+cnj+++=likewise!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
charming ^jj+atrb++xvbg+=charming
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
arched ^j+++xvbn+=arched
and ^cc+phrs+++=and
shaded ^jj+++xvbn+=shaded
by ^in++++=by
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
old ^jj+atrb+++=old
walls ^nns++++=walls
that ^tht+rel+obj++=that
form ^nn++++=form
the ^ati++++=the
four ^cd++++=four
sides ^nns++++=sides
of ^in++++=of
this ^dt+dem+++=this
High ^jj+atrb+++=High
Town ^nn++++=Town,
, ^zz++++=EXTRAWORD
whence ^wrb+who+++=whence
you ^pp2+pp2+++=you
get ^vb++++=get
glimpses ^nns++++=glimpses
of ^in++++=of
the ^ati++++=the
streets ^nns++++=streets
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
changing ^jj+atrb++xvbg+=changing
views ^nns++++=views
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
town ^nn++++=town
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
hills ^nns++++=hills
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
more ^rbr++++=more
agreeable ^jj++++=agreeable
and ^cc+phrs+++=and
peculiar ^jj++++=peculiar
by ^in++++=by
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
solemn ^jj+atrb+++=solemn
houses ^nns++++=houses
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
rooted ^vpsv++agls+xvbnx+=rooted
in ^in++++=in
the ^ati++++=the
deep ^jj+atrb+++=deep
streets ^nns++++=streets
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
bursting ^jj+++xvbg+=bursting
into ^in++++=into
a ^at++++=a
fresher ^jjr+atrb+++=fresher
existence ^nn+nom+++=existence
a ^at++++=a-top,
- ^zz++++=EXTRAWORD
top ^jjb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
having ^vbg+hvg++xvbg+=having
doors ^nns++++=doors
and ^cc++++=and
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
on ^in++++=on
these ^dt+dem+++=these
ramparts ^nns++++=ramparts.
. ^zz++++=EXTRAWORD
A ^at++++=A
child ^nn++++=child
going ^vwbg+++xvbg+=going
in ^in++++=in
at ^in++++=at
the ^ati++++=the
courtyard ^nn++++=courtyard
gate ^nn++++=gate
of ^in++++=of
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
climbing ^nvbg+++xvbg+=climbing
up ^rp++++=up
the ^ati++++=the
many ^ap++++=many
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coming ^vbg+++xvbg+=coming
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
fourth ^od++++=fourth-floor
- ^zz++++=EXTRAWORD
floor ^nn++++=EXTRAWORD
window ^nn++++=window,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
conceive ^vb+vprv+++=conceive
himself ^ppl+pp3+++=himself
another ^ppls++++=another
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
alighting ^vbg+++xvbg+=alighting
on ^in++++=on
enchanted ^xvbn+++xvbn+=enchanted
ground ^nn++++=ground
from ^in++++=from
another ^dt++++=another
bean ^nn++++=bean-stalk.
- ^zz++++=EXTRAWORD
stalk ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
place ^nn++++=place
wonderfully ^rb++++=wonderfully
populous ^jj++++=populous
in ^in++++=in
children ^nns++++=children;
; ^zz++++=EXTRAWORD
English ^jj+atrb+++=English
children ^nns++++=children,
, ^zz++++=EXTRAWORD
with ^in++++=with
governesses ^nns+nom+++=governesses
reading ^vwbg+++xvbg+=reading
novels ^nns++++=novels
as ^ql++++=as
they ^pp3a+pp3+++=they
walk ^nn++++=walk
down ^rp++++=down
the ^ati++++=the
shady ^jj+atrb+++=shady
lanes ^nns++++=lanes
of ^in++++=of
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
nursemaids ^nns+++??+=nursemaids
interchanging ^vwbg+++xvbg+=interchanging
gossip ^nn++++=gossip
on ^in++++=on
the ^ati++++=the
seats ^nns++++=seats;
; ^zz++++=EXTRAWORD
French ^jj+atrb+++=French
children ^nns++++=children
with ^in++++=with
their ^pp$+pp3+++=their
smiling ^jj+++xvbg+=smiling
bonnes ^&fw++++=bonnes
in ^in++++=in
snow ^np++++=snow-white
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
caps ^nns++++=caps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
themselves ^ppls+pp3+++=themselves
if ^cs+cnd+++=if
little ^ap++++=little
boys ^nns++++=boys
in ^in++++=in
straw ^nn++++=straw
head ^nn++++=head-gear
- ^zz++++=EXTRAWORD
gear ^nn++++=EXTRAWORD
like ^in++++=like
bee ^nn++++=bee-hives,
- ^zz++++=EXTRAWORD
hives ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
work ^nn++++=work-baskets
- ^zz++++=EXTRAWORD
baskets ^nns++++=EXTRAWORD
and ^cc++++=and
church ^npl++++=church
hassocks ^nns+++??+=hassocks.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
three ^cd++++=three
weazen ^jj+atrb++xvbn+=weazen
old ^jj+atrb+++=old
men ^nns++++=men,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
bearing ^nvbg+++xvbg+=bearing
a ^at++++=a
frayed ^jj+atrb+++=frayed
red ^jj+atrb+++=red
ribbon ^nn++++=ribbon
in ^in++++=in
his ^pp$+pp3+++=his
threadbare ^jj+atrb+++=threadbare
button ^nn++++=button-hole,
- ^zz++++=EXTRAWORD
hole ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
always ^rb++++=always
to ^to++++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found
walking ^vbg+++xvbg+=walking
together ^nn+nom+++=together
among ^in++++=among
these ^dt+dem+++=these
children ^nns++++=children,
, ^zz++++=EXTRAWORD
before ^in++++=before
dinnertime ^nn+++??+=dinnertime.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
walked ^vbd+++xvbnx+=walked
for ^in++++=for
an ^at++++=an
appetite ^nn++++=appetite,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
doubtless ^rb++++=doubtless
lived ^vbd+++xvbn+=lived
en ^&fw++++=en
pension ^nn++++=pension
were ^vbd+bed+aux++=were
contracted ^vpsv++agls+xvbnx+=contracted
for ^in++++=for
otherwise ^rb+cnj+++=otherwise
their ^pp$+pp3+++=their
poverty ^nn++++=poverty
would ^md+prd+++=would
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
it ^pp3+it+++=it
a ^at++++=a
rash ^nn++++=rash
action ^nn++++=action.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
stooping ^vbg+++xvbgx+=stooping,
, ^zz++++=EXTRAWORD
blear ^nn+++??+=blear-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
dull ^jj+atrb+++=dull
old ^jj+atrb+++=old
men ^nns++++=men,
, ^zz++++=EXTRAWORD
slip ^nn++++=slip-shod
- ^zz++++=EXTRAWORD
shod ^vwbn+++xvbn+=EXTRAWORD
and ^cc++++=and
shabby ^jj++++=shabby,
, ^zz++++=EXTRAWORD
in ^in++++=in
long ^jj++++=long-skirted
- ^zz++++=EXTRAWORD
skirted ^vbd+++xvbn+=EXTRAWORD
short ^jj++++=short-waisted
- ^zz++++=EXTRAWORD
waisted ^jj+atrb++xvbn+=EXTRAWORD
coats ^nns++++=coats
and ^cc++++=and
meagre ^jj+atrb+++=meagre
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
with ^in++++=with
a ^at++++=a
ghost ^nn++++=ghost
of ^in++++=of
gentility ^nn+nom+++=gentility
hovering ^vwbg+++xvbg+=hovering
in ^in++++=in
their ^pp$+pp3+++=their
company ^nn++++=company.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
spoke ^vbd+++xvbnx+=spoke
little ^jj++++=little
to ^in++++=to
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
politically ^rb++++=politically
discontented ^jj++++=discontented
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
vitality ^nn+nom+++=vitality
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
overheard ^vprf+++xvbn+=overheard
red ^jj++++=red-ribbon
- ^zz++++=EXTRAWORD
ribbon ^nn++++=EXTRAWORD
feebly ^rb++++=feebly
complain ^vb+vpub+++=complain
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
two ^cd++++=two
that ^cs+sub+++=that
somebody ^pn++++=somebody,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
something ^pn++++=something,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
' ^zz++++='a
a ^at++++=EXTRAWORD
Robber ^nn++++=Robber;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
all ^rb++++=all
three ^cd++++=three
set ^nn+++xvbn+=set
their ^pp$+pp3+++=their
mouths ^nns++++=mouths
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+vrb++=have
ground ^nn++++=ground
their ^pp$+pp3+++=their
teeth ^nns++++=teeth
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
any ^dti++++=any.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ensuing ^jj+atrb+++=ensuing
winter ^nn++++=winter
gathered ^vbd+++xvbn+=gathered
redribbon ^nn+++??+=redribbon
unto ^in++++=unto
the ^ati++++=the
great ^jj+atrb+++=great
company ^nn++++=company
of ^in++++=of
faded ^jj+atrb++xvbn+=faded
ribbons ^nns++++=ribbons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
next ^ap++++=next
year ^nn++++=year
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
two ^cd++++=two
were ^vbd+bed+aux++=were
there ^ex+pex+++=there
getting ^vbg+++xvbg+=getting
themselves ^ppls+pp3+++=themselves
entangled ^vbd+++xvbn+=entangled
with ^in++++=with
hoops ^nns++++=hoops
and ^cc++++=and
dolls ^nns++++=dolls
familiar ^jj+atrb+++=familiar
mysteries ^nns+nom+++=mysteries
to ^in++++=to
the ^ati++++=the
children ^nns++++=children
probably ^rb++++=probably
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
most ^ap+emph+++=most
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
harmless ^jj+atrb+++=harmless
creatures ^nns++++=creatures
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
like ^in++++=like
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whom ^whp+rel+obj++=whom
children ^nns++++=children
could ^md+pos+++=could
never ^rb++++=never
be ^vb+be+vrb++=be
like ^in+strn+++=like.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
winter ^nn++++=winter
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
old ^jj+atrb+++=old
man ^nn++++=man
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
present ^jj+atrb+++=present
year ^nn++++=year,
, ^zz++++=EXTRAWORD
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
the ^ati++++=the
triumvirate ^nn+nom+++=triumvirate,
, ^zz++++=EXTRAWORD
left ^j+++xvbn+=left
off ^in+pl+++=off
walking ^xvbg+++xvbg+=walking
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
no ^at++++=no
good ^jj++++=good,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
and ^cc++++=and
sat ^vpsv++by+xvbn+=sat
by ^in++++=by
himself ^ppl+pp3+++=himself
on ^in++++=on
a ^rb++++=a
little ^rb"++++=little
solitary ^jj+atrb+++=solitary
bench ^nn++++=bench,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
hoops ^nns++++=hoops
and ^cc++++=and
the ^ati++++=the
dolls ^nns++++=dolls
as ^in++++=as
lively ^nn++++=lively
as ^in++++=as
ever ^rb++++=ever
all ^abn++++=all
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Place ^nn++++=Place
d ^zz++++=d'Armes
'armes ^nns+++??+0=EXTRAWORD
of ^in++++=of
this ^dt+dem+++=this
town ^nn++++=town,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
decayed ^jj+atrb++xvbn+=decayed
market ^nn++++=market
is ^vbz+bez+aux++=is
held ^vpsv++agls+xvbnx+=held,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
slip ^vbi++++=slip
through ^in++++=through
the ^ati++++=the
old ^jj+atrb+++=old
gateway ^nn++++=gateway,
, ^zz++++=EXTRAWORD
like ^in++++=like
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
rippling ^nn+nom+++=rippling
down ^in++++=down
the ^ati++++=the
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
to ^in++++=to
mingle ^nn+++??+=mingle
with ^in++++=with
the ^ati++++=the
murmuring ^jj+atrb++xvbg+=murmuring
market ^nn++++=market
in ^in++++=in
the ^ati++++=the
lower ^jjr+atrb+++=lower
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
get ^vb++++=get
lost ^vbd+++xvbn+=lost
in ^in++++=in
its ^pp$+it+++=its
movement ^nn+nom+++=movement
and ^cc++++=and
bustle ^nn++++=bustle.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
agreeable ^jj++++=agreeable
on ^in++++=on
an ^at++++=an
idle ^jj+atrb+++=idle
summer ^nn++++=summer
morning ^nn++++=morning
to ^to++++=to
pursue ^vbi++++=pursue
this ^dt+dem+++=this
market ^nn++++=market-stream
- ^zz++++=EXTRAWORD
stream ^nn++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
hill ^npl++++=hill-top.
- ^zz++++=EXTRAWORD
top ^jjb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
begins ^vbz++++=begins,
, ^zz++++=EXTRAWORD
dozingly ^jj++++=dozingly
and ^cc++++=and
dully ^rb+cnj+++=dully,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^ap++++=a
few ^ap"++++=few
sacks ^nns++++=sacks
of ^in++++=of
corn ^nn++++=corn;
; ^zz++++=EXTRAWORD
starts ^vbz++++=starts
into ^in++++=into
a ^at++++=a
surprising ^jj+atrb++xvbg+=surprising
collection ^nn+nom+++=collection
of ^in++++=of
boots ^nns++++=boots
and ^cc++++=and
shoes ^nns++++=shoes;
; ^zz++++=EXTRAWORD
goes ^vbz++++=goes
brawling ^nn+nom+++=brawling
down ^in++++=down
the ^ati++++=the
hill ^nn++++=hill
in ^in++++=in
a ^at++++=a
diversified ^jj+++xvbn+=diversified
channel ^npl++++=channel
of ^in++++=of
old ^jj+atrb+++=old
cordage ^nn+nom+++=cordage,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
crockery ^nn+nom+++=crockery,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
civil ^jj++++=civil
and ^cc+phrs+++=and
military ^jj+atrb+++=military,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
rags ^nns++++=rags,
, ^zz++++=EXTRAWORD
new ^jj+atrb+++=new
cotton ^np++++=cotton
goods ^nns++++=goods,
, ^zz++++=EXTRAWORD
flaming ^jj+atrb+++=flaming
prints ^nns++++=prints
of ^in++++=of
saints ^nns++++=saints,
, ^zz++++=EXTRAWORD
little ^rb++++=little
looking ^vbg+++xvbg+=looking-glasses,
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
incalculable ^jj+atrb+++=incalculable
lengths ^nns++++=lengths
of ^in++++=of
tape ^nn++++=tape;
; ^zz++++=EXTRAWORD
dives ^nns++++=dives
into ^in++++=into
a ^at++++=a
backway ^nn+++??+=backway,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
out ^rb+phrv+++=out
of ^in++++=of
sight ^nn++++=sight
for ^in++++=for
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
as ^ql++++=as
streams ^nns++++=streams
will ^md+prd+++=will,
