Hardly ^rb+down+++=Hardly
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
must ^md+nec+++=must
die ^vb++++=die,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
a ^at++++=a
cruelly ^rb++++=cruelly
hard ^jj+atrb+++=hard
thing ^nn++++=thing
to ^to++++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
no ^at++++=no
means ^nn++++=means
as ^in++++=as
" ^zz++++="comfortable"
comfortable ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
politely ^rb++++=politely
suggested ^vbd+vpub++xvbn+=suggested.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
not ^xnot++not++=not
the ^ati++++=the
heart ^nn++++=heart
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
privately ^rb++++=privately
indulged ^vprf+++xvbn+=indulged
the ^ati++++=the
hope ^vb++++=hope
that ^tht+vcmp+++=that
some ^dti++++=some
change ^nn++++=change
for ^in++++=for
the ^ati++++=the
better ^nn++++=better
might ^md+pos+++=might
take ^vb++++=take
place ^nn++++=place,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
gloomy ^jj+atrb+++=gloomy
prophecies ^nns++++=prophecies,
, ^zz++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
rendering ^nn++++=rendering
my ^pp$+pp1+++=my
task ^nn++++=task
unnecessary ^jj++++=unnecessary.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
minutes ^nns++++=minutes
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
in ^in++++=in
again ^rb+tm+++=again
with ^in++++=with
fresh ^jj+atrb+++=fresh
rollers ^nns+nom+++=rollers,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
John ^np++++=John
sitting ^vwbg+++xvbg+=sitting
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
one ^cd1++++=one
to ^to++++=to
support ^vbi++++=support
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
surgeon ^nn++++=surgeon
dressed ^vbd+++xvbn+=dressed
his ^pp$+pp3+++=his
back ^nn++++=back.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
never ^rb++splt++=never
hitherto ^rb++++=hitherto
seen ^vprf++tht0+xvbn+=seen
it ^pp3+it+++=it
done ^vbd+++xvbn+=done;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
simpler ^jjr+atrb+++=simpler
wounds ^nns++++=wounds
to ^to++++=to
attend ^vbi++++=attend
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knowing ^vbg+vprv++xvbg+=knowing
the ^ati++++=the
fidelity ^nn+nom+++=fidelity
of ^in++++=of
the ^ati++++=the
attendant ^nn+nom+++=attendant,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
John ^np++++=John
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
more ^rbr++++=more
agreeable ^jj+pred+++=agreeable
and ^cc+phrs+++=and
safe ^jj++++=safe;
; ^zz++++=EXTRAWORD
for ^in++++=for
both ^abx++++=both
strength ^nn++++=strength
and ^cc++++=and
experience ^nn+nom+++=experience
were ^vbd+bed+aux++=were
needed ^vpsv++agls+xvbnx+=needed
in ^in++++=in
his ^pp$+pp3+++=his
case ^nn++++=case.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten
that ^tht+vcmp+++=that
the ^ati++++=the
strong ^jj+atrb+++=strong
man ^nn++++=man
might ^md+pos+++=might
long ^rb++++=long
for ^in++++=for
the ^ati++++=the
gentler ^jjr+atrb+++=gentler
tendance ^nn+nom+++=tendance
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sympathetic ^jj+atrb+++=sympathetic
magnetism ^nn+nom+++=magnetism
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
feebler ^jjr+atrb+++=feebler
souls ^nns++++=souls
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Doctor ^np++++=Doctor's
's ^$++++=EXTRAWORD
words ^nns++++=words
caused ^vbd+++xvbn+=caused
me ^pp1o+pp1+++=me
to ^to++++=to
reproach ^vbi++++=reproach
myself ^ppl+pp1+++=myself
with ^in++++=with
neglect ^nn++++=neglect,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
of ^in++++=of
any ^dti++++=any
real ^jj+atrb+++=real
duty ^nn++++=duty
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
those ^dt+pdem+++=those
little ^rb++++=little
cares ^vbz++++=cares
and ^cc++++=and
kindnesses ^nns+nom++??+=kindnesses
that ^tht+rel+obj++=that
solace ^nn++++=solace
homesick ^jj+atrb+++=homesick
spirits ^nns++++=spirits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
make ^vb++++=make
the ^ati++++=the
heavy ^jj+atrb+++=heavy
hours ^nns++++=hours
pass ^vb++++=pass
easier ^jjr++++=easier.
. ^zz++++=EXTRAWORD
John ^np++++=John
looked ^vbd+++xvbn+=looked
lonely ^jj++++=lonely
and ^cc+phrs+++=and
forsaken ^jj++++=forsaken
just ^rb+emph+++=just
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
with ^in++++=with
bent ^xvbn+++xvbn+=bent
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
hands ^nns++++=hands
folded ^vbd+++xvbn+=folded
on ^in++++=on
his ^pp$+pp3+++=his
knee ^nn++++=knee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
outward ^nn++++=outward
sign ^vb++++=sign
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
nearer ^rbr++++=nearer,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
great ^jj+atrb+++=great
tears ^nns++++=tears
roll ^nn++++=roll
down ^rp++++=down
and ^cc++++=and
drop ^nn++++=drop
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
new ^jj+atrb+++=new
sight ^nn++++=sight
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
for ^in++++=for
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
many ^ap++++=many
suffer ^vb++++=suffer,
, ^zz++++=EXTRAWORD
some ^dti++++=some
swore ^vbd+vpub++xvbn+=swore,
, ^zz++++=EXTRAWORD
some ^dti++++=some
groaned ^jj+++xvbn+=groaned,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
endured ^jj+++xvbn+=endured
silently ^rb+cnj+++=silently,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
none ^pn++++=none
wept ^vbd+++xvbn+=wept.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
weak ^jj++++=weak,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
very ^ql+amp+++=very
touching ^nvbg+++xvbg+=touching,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
straightway ^rb++++=straightway
my ^pp$+pp1+++=my
fear ^vb++++=fear
vanished ^vbd+++xvbn+=vanished,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
heart ^nn++++=heart
opened ^vbd+++xvbn+=opened
wide ^jj++++=wide
and ^cc++++=and
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as,
, ^zz++++=EXTRAWORD
gathering ^vbg+++xvbg+=gathering
the ^ati++++=the
bent ^xvbn+++xvbn+=bent
head ^jjb++++=head
in ^in++++=in
my ^pp$+pp1+++=my
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
as ^ql++++=as
freely ^rb++++=freely
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^rb++++=a
little ^rb"++++=little
child ^nn++++=child,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said, ^nn+++??+=said,--"Let
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
help ^vb++++=help
you ^pp2+pp2+++=you
bear ^vb+vprv+++=bear
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
John ^np++++=John."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Never ^rb+cnj+++=Never,
, ^zz++++=EXTRAWORD
on ^in++++=on
any ^dti++++=any
human ^jj+atrb+++=human
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
seen ^vbd+vprv++xvbnx+=seen
so ^ql++++=so
swift ^np++++=swift
and ^cc++++=and
beautiful ^jj++++=beautiful
a ^at++++=a
look ^nn++++=look
of ^in++++=of
gratitude ^nn++++=gratitude,
, ^zz++++=EXTRAWORD
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
comfort ^nn++++=comfort,
, ^zz++++=EXTRAWORD
as ^in++++=as
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
answered ^vbd+vpub++xvbn+=answered
me ^pp1o+pp1+++=me
more ^rbr++++=more
eloquently ^jj++++=eloquently
than ^in++++=than
the ^ati++++=the
whispered, ^nn+++??+=whispered,-"Thank
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you
ma ^npt++++=ma'am;
'am; ^nn+++??+=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
right ^jj++++=right
good ^jj++++=good!
! ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
not ^xnot++not++=not
ask ^vb++++=ask
for ^in+ppvb+++=for
it ^pp3+it+++=it
before ^in++++=before?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
trouble ^nn++++=trouble;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
seemed ^vbd+seem++xvbn+=seemed
so ^ql+emph+++=so
busy ^jj++++=busy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=could
manage ^vb++++=manage
to ^to+vcmp+++=to
get ^vbi++++=get
on ^in++++=on
alone ^rb++++=alone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
shall ^md+prd+++=shall
not ^xnot++not++=not
want ^vb++++=want
it ^pp3+it+++=it
any ^dti++++=any
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
John ^np++++=John."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nor ^cc++neg++=Nor
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he;
; ^zz++++=EXTRAWORD
for ^in++++=for
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
understood ^vbd+vprv+tht0+xvbnx+=understood
the ^ati++++=the
wistful ^nn++++=wistful
look ^vb++++=look
that ^dt+pdem+++=that
sometimes ^rb++++=sometimes
followed ^vbd+vprv++xvbn+=followed
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
brief ^jj+atrb+++=brief
pause ^nn++++=pause
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
merely ^rb+down+++=merely
a ^at++++=a
passing ^jj+atrb++xvbg+=passing
nod ^nn++++=nod,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
busied ^vbd+++xvbn+=busied
with ^in++++=with
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
need ^vbi++++=need
me ^pp1o+pp1+++=me
more ^ql++++=more
than ^cs+sub+++=than
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
more ^rbr++++=more
urgent ^jj++++=urgent
in ^in++++=in
their ^pp$+pp3+++=their
demands ^nns++++=demands;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^in++++=as
to ^in"++++=to
so ^ql++++=so
many ^ap++++=many,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
the ^ati++++=the
poor ^jj+atrb+++=poor
substitute ^nn++++=substitute
for ^in++++=for
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
no ^at++++=no
stranger ^jjr++++=stranger,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
friend ^nn++++=friend
who ^whp+rel+subj++=who
hitherto ^rb++++=hitherto
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
neglectful ^jj++++=neglectful;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
modesty ^nn++++=modesty,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
guessed ^vprf+++xvbnx+=guessed
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
changed ^vpsv++agls+xvbnx+=changed
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
tedious ^jj+atrb+++=tedious
operation ^nn+nom+++=operation
of ^in++++=of
probing ^xvbg+++xvbg+=probing,
, ^zz++++=EXTRAWORD
bathing ^nvbg+++xvbg+=bathing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dressing ^nvbg+++xvbg+=dressing
his ^pp$+pp3+++=his
wounds ^nns++++=wounds,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
leaned ^vbd+++xvbnx+=leaned
against ^in++++=against
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
my ^pp$+pp1+++=my
hand ^nn++++=hand
fast ^nn++++=fast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
pain ^nn++++=pain
wrung ^vbd+++xvbn+=wrung
further ^jjb+atrb+++=further
tears ^nns++++=tears
from ^in++++=from
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
saw ^vbd+vprv++xvbn+=saw
them ^pp3o+pp3+++=them
fall ^nn++++=fall
but ^cc++++=but
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
laid ^vpsv++agls+xvbnx+=laid
down ^rb+phrv+++=down
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hovered ^vbd+++xvbnx+=hovered
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
remorseful ^jj+atrb+++=remorseful
state ^nn++++=state
of ^in++++=of
mind ^vb++++=mind
that ^tht+vcmp+subj++=that
would ^md+prd+++=would
not ^xnot++not++=not
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
bathed ^vprf+++xvbnx+=bathed
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
brushed ^j+++xvbn+=brushed
his ^pp$+pp3+++=his
" ^zz++++="bonny
bonny ^jj+atrb+++=EXTRAWORD
brown ^jj+atrb+++=brown
hair ^nn++++=hair,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
set ^vbd+++xvbn+=set
all ^abn++++=all
things ^nns++++=things
smooth ^jj++++=smooth
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
a ^at++++=a
knot ^nn++++=knot
of ^in++++=of
heath ^nn++++=heath
and ^cc++++=and
heliotrope ^nn+++??+=heliotrope
on ^in++++=on
his ^pp$+pp3+++=his
clean ^jj+atrb+++=clean
pillow ^nn++++=pillow.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
doing ^vbg+++xvbg+=doing
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
watched ^vbd+++xvbnx+=watched
me ^pp1o+pp1+++=me
with ^in++++=with
the ^ati++++=the
satisfied ^jj+atrb++xvbn+=satisfied
expression ^nn++++=expression
I ^pp1a+pp1+++=I
so ^ql+emph+++=so
linked ^jj+++xvbn+=linked
to ^to++++=to
see ^vbi+vprv+++=see;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
offered ^vbd+++xvbnx+=offered
the ^ati++++=the
little ^ap++++=little
nosegay ^nn+++??+=nosegay,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
it ^pp3+it+++=it
carefully ^rb++++=carefully
in ^in++++=in
his ^pp$+pp3+++=his
great ^jj+atrb+++=great
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
smoothed ^j+++xvbn+=smoothed
a ^at++++=a
ruffled ^jj+atrb++xvbn+=ruffled
leaf ^nn++++=leaf
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
surveyed ^xvbn+++xvbn+=surveyed
and ^cc+phrs+++=and
smelt ^xvbn+++xvbn+=smelt
it ^pp3+it+++=it
with ^in++++=with
an ^at++++=an
air ^nn++++=air
of ^in++++=of
genuine ^jj+atrb+++=genuine
delight ^nn++++=delight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lay ^jjb+++xvbn+=lay
contentedly ^rb++++=contentedly
regarding ^in++++=regarding
the ^ati++++=the
glimmer ^nn++++=glimmer
of ^in++++=of
the ^ati++++=the
sunshine ^nn++++=sunshine
on ^in++++=on
the ^ati++++=the
green ^nn++++=green.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
manliest ^jjt+atrb+++=manliest
man ^nn++++=man
among ^in++++=among
my ^pp$+pp1+++=my
forty ^cd++++=forty,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am,"
'am," ^nn+++??+=EXTRAWORD
like ^in++++=like
a ^rb++++=a
little ^rb"++++=little
boy ^nn++++=boy;
; ^zz++++=EXTRAWORD
received ^jj+atrb++xvbn+=received
suggestions ^nns+nom+++=suggestions
for ^in++++=for
his ^pp$+pp3+++=his
comfort ^nn++++=comfort
with ^in++++=with
the ^ati++++=the
quick ^jj+atrb+++=quick
smile ^nn++++=smile
that ^tht+rel+++=that
brightened ^jj+++xvbn+=brightened
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
face ^nn++++=face;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
tidying ^vbg+++xvbg+=tidying
the ^ati++++=the
table ^nn++++=table
by ^in++++=by
his ^pp$+pp3+++=his
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
him ^pp3o+pp3+++=him
softly ^rb++++=softly
touch ^vb++++=touch
my ^pp$+pp1+++=my
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
assure ^vbi++++=assure
himself ^ppl+pp3+++=himself
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Anything ^pn++++=Anything
more ^rbr++++=more
natural ^jj++++=natural
and ^cc++++=and
frank ^np++++=frank
I ^pp1a+pp1+++=I
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
this ^dt+dem+++=this
brave ^jj+atrb+++=brave
John ^np++++=John
as ^ql++++=as
bashful ^jj++++=bashful
as ^ql++++=as
brave ^vb++++=brave,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
full ^jj++++=full
of ^in++++=of
excellences ^nns+nom+++=excellences
and ^cc++++=and
fine ^jj+atrb+++=fine
aspirations ^nns+nom+++=aspirations,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
no ^at++++=no
power ^nn++++=power
to ^to+ncmp+++=to
express ^nns+nom+++=express
themselves ^ppls+pp3+++=themselves
in ^in++++=in
words ^nns++++=words,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
bloomed ^vbd+++xvbn+=bloomed
into ^in++++=into
his ^pp$+pp3+++=his
character ^nn+nom+++=character
and ^cc++++=and
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
an ^at++++=an
hour ^nn++++=hour
of ^in++++=of
each ^dt++++=each
evening ^nn++++=evening
that ^tht+rel+subj++=that
remained ^vprf+++xvbn+=remained
to ^in++++=to
him ^pp3o+pp3+++=him
was ^vbd+bedz+aux++=was
devoted ^vpsv++agls+xvbnx+=devoted
to ^in++++=to
his ^pp$+pp3+++=his
ease ^nn++++=ease
or ^cc++++=or
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
talk ^nn++++=talk
much ^ap++++=much,
, ^zz++++=EXTRAWORD
for ^in++++=for
breath ^nn++++=breath
was ^vbd+bedz+vrb++=was
precious ^jj+pred+++=precious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
in ^in++++=in
whispers ^nns+nom+++=whispers;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
occasional ^jj+atrb+++=occasional
conversations ^nns+nom+++=conversations,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
gleaned ^vbd+++xvbnx+=gleaned
scraps ^nns++++=scraps
of ^in++++=of
private ^jj+atrb+++=private
history ^nn++++=history
which ^whp+rel+obj++=which
only ^ap+down+++=only
added ^jj+++xvbn+=added
to ^in++++=to
the ^ati++++=the
affection ^nn+nom+++=affection
and ^cc++++=and
respect ^nn++++=respect
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
for ^in+ppvb+++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
me ^pp1o+pp1+++=me
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
settled ^vbd+++xvbnx+=settled
pen ^nn++++=pen
and ^cc++++=and
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
irrepressible ^jj+atrb+++=irrepressible
glimmer ^nn++++=glimmer
of ^in++++=of
feminine ^jj+atrb+++=feminine
curiosity ^nn+nom+++=curiosity,
, ^zz++++=EXTRAWORD
" ^zz++++="Shall
shall ^md+prd+++=EXTRAWORD
it ^pp3+it+++=it
be ^vb+be+aux++=be
addressed ^vpsv++agls+xvbnx+=addressed
to ^in++++=to
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
