Both ^abx++++=Both
their ^pp$+pp3+++=their
talk ^nn++++=talk
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
confidential ^jj+pred+++=confidential
than ^cs+sub+++=than
could ^md+pos+++=could
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
between ^in++++=between
two ^cd++++=two
total ^jj+atrb+++=total
strangers ^nns+nom+++=strangers.
. ^zz++++=EXTRAWORD
" ^zz++++="As
as ^in++++=EXTRAWORD
far ^in"+pl+++=far
as ^in"++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Merton ^np++++=Merton
candidly ^rb+cnj+++=candidly,
, ^zz++++=EXTRAWORD
" ^zz++++="there
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
sense ^nn++++=sense
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
it ^pp3+it+++=it
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
nobody ^pn++++=nobody
one ^cd1++++=one
can ^md+pos+++=can
suspect ^vb+vprv+++=suspect.
. ^zz++++=EXTRAWORD
Magnus ^np+++??+=Magnus
is ^vbz+bez+vrb++=is
a ^at++++=a
solemn ^jj+atrb+++=solemn
old ^jj+atrb+++=old
fool ^nn++++=fool;
; ^zz++++=EXTRAWORD
far ^rb+pl+++=far
too ^ql++++=too
much ^ap++++=much
of ^in++++=of
a ^at++++=a
fool ^jjb++++=fool
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
assassin ^nn++++=assassin.
. ^zz++++=EXTRAWORD
Royce ^np+++??+=Royce
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
baronet ^nn+++??+=baronet's
's ^vbz+bez+vrb++0=EXTRAWORD
best ^jjt+atrb+++=best
friend ^nn++++=friend
for ^in++++=for
years ^nns++++=years;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter
undoubtedly ^rb++++=undoubtedly
adored ^xvbn+++xvbn+=adored
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
too ^ql++++=too
absurd ^jj++++=absurd.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
would ^md+prd+++=would
kill ^vb++++=kill
such ^abl++++=such
a ^at++++=a
cheery ^jj+atrb+++=cheery
old ^jj+atrb+++=old
chap ^nn++++=chap
as ^ql++++=as
Armstrong ^np++++=Armstrong?
? ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
could ^md+pos+++=could
dip ^vb++++=dip
his ^pp$+pp3+++=his
hands ^nns++++=hands
in ^in++++=in
the ^ati++++=the
gore ^np++++=gore
of ^in++++=of
an ^at++++=an
after ^in++++=after-dinner
- ^zz++++=EXTRAWORD
dinner ^nn++++=EXTRAWORD
speaker ^nn++++=speaker?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+vrb++=be
like ^in++++=like
killing ^xvbg+++xvbg+=killing
Father ^nn++++=Father
Christmas ^np++++=Christmas."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
cheery ^jj+atrb+++=cheery
house ^nn++++=house,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
assented ^vbd+++xvbn+=assented
Father ^nn++++=Father
Brown ^jj++++=Brown.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
cheery ^jj+atrb+++=cheery
house ^npl++++=house
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
cheery ^jj+pred+++=cheery
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Merton ^np+++??+=Merton
started ^vbd+++xvbn+=started
a ^rb++++=a
little ^rb"++++=little
and ^cc++++=and
regarded ^vbd+++xvbn+=regarded
his ^pp$+pp3+++=his
companion ^nn++++=companion
with ^in++++=with
an ^at++++=an
enlivened ^jj+atrb++xvbn+=enlivened
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
repeated ^vbd+++xvbnx+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
the ^ati++++=the
priest ^nn++++=priest
stolidly ^rb+cnj+++=stolidly,
, ^zz++++=EXTRAWORD
" ^zz++++="he
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
cheerful ^jj+pred+++=cheerful.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
communicate ^nn+nom+++=communicate
his ^pp$+pp3+++=his
cheerfulness ^nns+nom+++=cheerfulness?
? ^zz++++=EXTRAWORD
Frankly ^rb+cnj+++=Frankly,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
anyone ^pn++++=anyone
else ^rb+cnj+++=else
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
cheerful ^jj++++=cheerful
but ^cc++++=but
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
window ^nn++++=window
in ^in++++=in
Merton ^np++++=Merton's
's ^$++++=EXTRAWORD
mind ^nn++++=mind
let ^vbd+++xvbn+=let
in ^rb+phrv+++=in
that ^cs"++++=that
strange ^jj+atrb+++=strange
light ^nn++++=light
of ^in++++=of
surprise ^nn++++=surprise
in ^in++++=in
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
things ^nns++++=things
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
all ^abn++++=all
along ^in+strn+++=along.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
often ^rb++splt++=often
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
the ^ati++++=the
Armstrongs ^np+++??+=Armstrongs',
', ^nn+++??+=EXTRAWORD
on ^in++++=on
little ^ap++++=little
police ^nns++++=police
jobs ^nns++++=jobs
of ^in++++=of
the ^ati++++=the
philanthropist ^nn+nom+++=philanthropist;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
in ^in++++=in
itself ^ppl++++=itself
a ^at++++=a
depressing ^jj+++xvbg+=depressing
house ^npl++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rooms ^nns++++=rooms
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
high ^np++++=high
and ^cc++++=and
very ^ql+amp+++=very
cold ^jj++++=cold;
; ^zz++++=EXTRAWORD
the ^ati++++=the
decoration ^nn+nom+++=decoration
mean ^nn++++=mean
and ^cc++++=and
provincial ^jj++++=provincial;
; ^zz++++=EXTRAWORD
the ^ati++++=the
draughty ^nn+++??+=draughty
corridors ^nns++++=corridors
were ^vbd+bed+aux++=were
lit ^vpsv++by+xvbnx+=lit
by ^in++++=by
electricity ^nn+nom+++=electricity
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
bleaker ^jjr+pred+++=bleaker
than ^in++++=than
moonlight ^nn++++=moonlight.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
though ^cs+sub+++=though
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
scarlet ^jj+atrb+++=scarlet
face ^nn++++=face
and ^cc++++=and
silver ^jj+atrb+++=silver
beard ^nn++++=beard
had ^vbd+hvd+aux++=had
blazed ^vprf+++xvbnx+=blazed
like ^in++++=like
a ^at++++=a
bonfire ^nn++++=bonfire
in ^in++++=in
each ^dt++++=each
room ^nn++++=room
or ^cc++++=or
passage ^nn+nom+++=passage
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
leave ^vb++++=leave
any ^dti++++=any
warmth ^nn++++=warmth
behind ^in+pl+++=behind
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Doubtless ^rb++++=Doubtless
this ^dt+dem+++=this
spectral ^jj+atrb+++=spectral
discomfort ^nn++++=discomfort
in ^in++++=in
the ^ati++++=the
place ^nn++++=place
was ^vbd+bedz+vrb++=was
partly ^rb+down+++=partly
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
very ^ap+amp+++=very
vitality ^nn+nom+++=vitality
and ^cc++++=and
exuberance ^nn+nom+++=exuberance
of ^in++++=of
its ^pp$+it+++=its
owner ^nn++++=owner;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed
no ^at++++=no
stoves ^nns++++=stoves
or ^cc++++=or
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
carried ^vbd+++xvbn+=carried
his ^pp$+pp3+++=his
own ^ap++++=own
warmth ^nn++++=warmth
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
Merton ^np+++??+=Merton
recalled ^vwbn+vprv++xvbn+=recalled
the ^ati++++=the
other ^ap++++=other
inmates ^nns+nom+++=inmates,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
also ^rb++++=also
were ^vbd+bed+vrb++=were
as ^in++++=as
shadows ^nps++++=shadows
of ^in++++=of
their ^pp$+pp3+++=their
lord ^npt++++=lord.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moody ^jj+atrb+++=moody
man ^nn++++=man-servant,
- ^zz++++=EXTRAWORD
servant ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
monstrous ^jj+atrb+++=monstrous
black ^jj+atrb+++=black
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
a ^at++++=a
nightmare ^nn++++=nightmare;
; ^zz++++=EXTRAWORD
Royce ^np+++??+=Royce,
, ^zz++++=EXTRAWORD
the ^ati++++=the
secretary ^nn+nom+++=secretary,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
solid ^jj+pred+++=solid
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
a ^at++++=a
big ^jj+atrb+++=big
bull ^nn++++=bull
of ^in++++=of
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
in ^in++++=in
tweeds ^nns++++=tweeds,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
short ^jj+atrb+++=short
beard ^nn++++=beard;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
straw ^nn++++=straw-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
beard ^nn++++=beard
was ^vbd+bedz+aux++=was
startlingly ^rb++splt++=startlingly
salted ^vpsv++agls+xvbnx+=salted
with ^in++++=with
grey ^np++++=grey
like ^in++++=like
the ^ati++++=the
tweeds ^nns++++=tweeds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
broad ^jj+atrb+++=broad
forehead ^nn++++=forehead
was ^vbd+bedz+aux++=was
barred ^vpsv++agls+xvbnx+=barred
with ^in++++=with
premature ^jj+atrb+++=premature
wrinkles ^nns++++=wrinkles.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj++++=EXTRAWORD
enough ^dt++++=enough
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
sad ^jj+atrb+++=sad
sort ^nn++++=sort
of ^in++++=of
good ^jj++++=good-nature,
- ^zz++++=EXTRAWORD
nature ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
a ^at++++=a
heart ^nn++++=heart-broken
- ^zz++++=EXTRAWORD
broken ^vbd+++xvbn+=EXTRAWORD
sort ^nn++++=sort
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
general ^jj+atrb+++=general
air ^nn++++=air
of ^in++++=of
being ^xvbg+++xvbg+=being
some ^dti++++=some
sort ^nn++++=sort
of ^in++++=of
failure ^nn++++=failure
in ^in++++=in
life ^nn++++=life.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
Armstrong ^np++++=Armstrong's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
incredible ^jj+pred+++=incredible
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
pallid ^jj++++=pallid
in ^in++++=in
colour ^nn++++=colour
and ^cc++++=and
sensitive ^jj++++=sensitive
in ^in++++=in
outline ^nn++++=outline.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
graceful ^jj+pred+++=graceful,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
quiver ^nn++++=quiver
in ^in++++=in
the ^ati++++=the
very ^ql+amp+++=very
shape ^vb++++=shape
of ^in++++=of
her ^pp$+pp3+++=her
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
like ^in++++=like
the ^ati++++=the
lines ^nns++++=lines
of ^in++++=of
an ^at++++=an
aspen ^nn++++=aspen.
. ^zz++++=EXTRAWORD
Merton ^np+++??+=Merton
had ^vb+hv+aux++=had
sometimes ^rb++splt++=sometimes
wondered ^vprf+++xvbnx+=wondered
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
learnt ^vprf+++xvbnx+=learnt
to ^to+vcmp+++=to
quail ^vb++++=quail
at ^in++++=at
the ^ati++++=the
crash ^nn++++=crash
of ^in++++=of
the ^ati++++=the
passing ^jj+atrb++xvbg+=passing
trains ^nns++++=trains.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Father ^nn++++=Father
Brown ^jj++++=Brown,
, ^zz++++=EXTRAWORD
blinking ^vbg+++xvbg+=blinking
modestly ^rb+cnj+++=modestly,
, ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
sure ^jj++++=sure
that ^tht+jcmp+++=that
the ^ati++++=the
Armstrong ^np++++=Armstrong
cheerfulness ^nns+nom+++=cheerfulness
is ^vbz+bez+vrb++=is
so ^ql++++=so
very ^ql+amp+++=very
cheerful ^jj++++=cheerful
for ^in++++=for
other ^ap++++=other
people ^nns++++=people.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
nobody ^pn++++=nobody
could ^md+pos+++=could
kill ^vb++++=kill
such ^abl++++=such
a ^at++++=a
happy ^jj+atrb+++=happy
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
sure ^jj++++=sure;
; ^zz++++=EXTRAWORD
ne ^&fw++++=ne
nos ^nns++++=nos
inducas ^nns+++??+=inducas
in ^in++++=in
tentationem ^nn+++??+=tentationem.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
ever ^rb++++=ever
I ^pp1a+pp1+++=I
murdered ^vbd+++xvbnx+=murdered
somebody ^pn++++=somebody,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added
quite ^rb++++=quite
simply ^rb+cnj+++=simply,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
dare ^vb++++=dare
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
an ^at++++=an
Optimist ^np+nom++??+=Optimist."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why?"
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Merton ^np+++??+=Merton
amused ^vbd+++xvbn+=amused.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
people ^nns++++=people
dislike ^nn++++=dislike
cheerfulness ^nns+nom+++=cheerfulness?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="People
people ^nns++++=EXTRAWORD
like ^in++++=like
frequent ^jj+atrb+++=frequent
laughter ^nn+nom+++=laughter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Father ^nn++++=Father
Brown ^jj++++=Brown,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
they ^pp3a+pp3+++=they
like ^vb++++=like
a ^at++++=a
permanent ^jj+atrb+++=permanent
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
Cheerfulness ^nns+nom++??+=Cheerfulness
without ^in++++=without
humour ^nn++++=humour
is ^vbz+bez+vrb++=is
a ^at++++=a
very ^ql+amp+++=very
trying ^jj+atrb++xvbg+=trying
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
walked ^vbd+++xvbnx+=walked
some ^dti++++=some
way ^nn++++=way
in ^in++++=in
silence ^nn++++=silence
along ^in++++=along
the ^ati++++=the
windy ^jj+atrb+++=windy
grassy ^jj+atrb+++=grassy
bank ^nn++++=bank
by ^in++++=by
the ^ati++++=the
rail ^nn++++=rail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
as ^ql++++=as
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
under ^in+ppvb+++=under
the ^ati++++=the
far ^rb+pl+++=far-flung
- ^zz++++=EXTRAWORD
flung ^vbd+++xvbn+=EXTRAWORD
shadow ^nn++++=shadow
of ^in++++=of
the ^ati++++=the
tall ^jj+atrb+++=tall
Armstrong ^np++++=Armstrong
house ^nn++++=house,
, ^zz++++=EXTRAWORD
Father ^nn++++=Father
Brown ^jj++++=Brown
said ^vbd+vpub++xvbn+=said
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
man ^nn++++=man
throwing ^vwbg+++xvbg+=throwing
away ^rp+pl+++=away
a ^at++++=a
troublesome ^jj+atrb+++=troublesome
thought ^nn+++xvbn+=thought
rather ^rb++++=rather
than ^in++++=than
offering ^xvbg+++xvbg+=offering
it ^pp3+it+++=it
seriously ^rb++++=seriously:
: ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
drink ^vb++++=drink
is ^vbz+bez+vrb++=is
neither ^dt++neg++=neither
good ^jj++++=good
nor ^cc+phrs+neg++=nor
bad ^jj++++=bad
in ^in++++=in
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
sometimes ^rb++++=sometimes
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
men ^nns++++=men
like ^in++++=like
Armstrong ^np++++=Armstrong
want ^vb++++=want
an ^at++++=an
occasional ^jj+atrb+++=occasional
glass ^nn++++=glass
of ^in++++=of
wine ^nn++++=wine
to ^to++++=to
sadden ^vbi++++=sadden
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Merton ^np++++=Merton's
's ^$++++=EXTRAWORD
official ^jj++++=official
superior ^jj++++=superior,
, ^zz++++=EXTRAWORD
a ^at++++=a
grizzled ^jj+atrb+++=grizzled
and ^cc+phrs+++=and
capable ^jj+atrb+++=capable
detective ^nn++++=detective
named ^vbd+++xvbn+=named
Gilder ^np+++??+=Gilder,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
on ^in++++=on
the ^ati++++=the
green ^nn++++=green
bank ^nn++++=bank
waiting ^vwbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
coroner ^nn++++=coroner,
, ^zz++++=EXTRAWORD
talking ^vbg+++xvbg+=talking
to ^in++++=to
Patrick ^np++++=Patrick
Royce ^np+++??+=Royce,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
big ^jj+atrb+++=big
shoulders ^nns+nom+++=shoulders
and ^cc++++=and
bristly ^jj+atrb+++=bristly
beard ^nn++++=beard
and ^cc++++=and
hair ^nn++++=hair
towered ^vbd+++xvbn+=towered
above ^rb++++=above
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
more ^rbr++++=more
noticeable ^jj++++=noticeable
because ^cs+cos+++=because
Royce ^np+++??+=Royce
walked ^vbd+++xvbn+=walked
always ^rb++++=always
with ^in++++=with
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
powerful ^jj+atrb+++=powerful
stoop ^nn+++??+=stoop,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
going ^vbg+++xvbgx+=going
about ^in+ppvb+++=about
his ^pp$+pp3+++=his
small ^jj+atrb+++=small
clerical ^jj+atrb+++=clerical
and ^cc+phrs+++=and
domestic ^jj+atrb+++=domestic
duties ^nns++++=duties
in ^in++++=in
a ^at++++=a
heavy ^jj+atrb+++=heavy
and ^cc+phrs+++=and
humbled ^jj+atrb++xvbn+=humbled
style ^nn++++=style,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
buffalo ^nn+++??+=buffalo
drawing ^vwbg+++xvbg+=drawing
a ^at++++=a
go ^vb++++=go-cart.
- ^zz++++=EXTRAWORD
cart ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
head ^nn++++=head
with ^in++++=with
unusual ^jj+atrb+++=unusual
pleasure ^nn++++=pleasure
at ^in++++=at
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
priest ^nn++++=priest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
a ^ap++++=a
few ^ap"++++=few
paces ^nns++++=paces
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
Meanwhile ^rb++++=Meanwhile
Merton ^np+++??+=Merton
was ^vbd+bedz+aux++=was
addressing ^vbg+++xvbgx+=addressing
the ^ati++++=the
older ^jjr+atrb+++=older
detective ^nn++++=detective
respectfully ^rb++++=respectfully
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
without ^in++++=without
a ^at++++=a
certain ^jj+atrb+++=certain
boyish ^jj+atrb+++=boyish
impatience ^nn+nom+++=impatience.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gilder ^np++++=Gilder,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
much ^ap++++=much
farther ^rbr++++=farther
with ^in++++=with
the ^ati++++=the
mystery ^nn+nom+++=mystery?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
mystery ^nn+nom+++=mystery,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Gilder ^np+++??+=Gilder,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
under ^in++++=under
dreamy ^jj+atrb+++=dreamy
eyelids ^nns++++=eyelids
at ^in++++=at
the ^ati++++=the
rooks ^nns+++??+=rooks.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
at ^rb++++=at
