If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
142 ^cd++++=142,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
a ^at++++=a
poor ^jj+atrb+++=poor
job ^nn++++=job
of ^in++++=of
concealing ^xvbg+++xvbg+=concealing
his ^pp$+pp3+++=his
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
glanced ^vbd+++xvbnx+=glanced
shyly ^rb++++=shyly
at ^in++++=at
the ^ati++++=the
daybed ^jj+++xvbn+=daybed,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
would ^md+prd+++=would
become ^vb++++=become
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
which ^whp+rel+pied++=which
Lou ^np++++=Lou
and ^cc++++=and
Emerald ^nn++++=Emerald
would ^md+prd+++=would
have ^md"++pmd"++=have
to ^md+nec+++=to
move ^vb++++=move
back ^jjb++++=back
into ^in++++=into
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
worst ^jjt+atrb+++=worst
spot ^nn++++=spot
of ^in++++=of
all ^rb++++=all
by ^in++++=by
the ^ati++++=the
bathroom ^nn++++=bathroom
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Gramps ^np+++??+=Gramps
missed ^vbd+++xvbn+=missed
none ^pn++++=none
of ^in++++=of
the ^ati++++=the
high ^jj+atrb+++=high
drama ^nn++++=drama
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
authored ^vprf+++xvbnx+=authored
and ^cc++++=and
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
his ^pp$+pp3+++=his
own ^ap++++=own
familiar ^jj+atrb+++=familiar
role ^nn++++=role
everything ^pn++++=everything
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had.
. ^zz++++=EXTRAWORD
Frowning ^vbg+++xvbg+=Frowning
and ^cc+phrs+++=and
running ^vbg+++xvbg+=running
his ^pp$+pp3+++=his
finger ^nn++++=finger
along ^in++++=along
each ^dt++++=each
line ^nn++++=line,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
seeing ^vbg+vprv++xvbgx+=seeing
the ^ati++++=the
will ^nn++++=will
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
read ^vbd+vprv++xvbnx+=read
aloud ^rb++++=aloud
in ^in++++=in
a ^at++++=a
deep ^jj+atrb+++=deep
portentous ^jj+atrb+++=portentous
monotone ^nn++++=monotone,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
bass ^np++++=bass
note ^nn++++=note
on ^in++++=on
a ^at++++=a
cathedral ^nn+nom+++=cathedral
organ ^nn++++=organ.
. ^zz++++=EXTRAWORD
" ^zz++++="I,
i ^pp1a+pp1+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Harold ^np++++=Harold
D ^zz++++=D.
. ^zz++++=EXTRAWORD
Ford ^np++++=Ford,
, ^zz++++=EXTRAWORD
residing ^vbg+++xvbg+=residing
in ^in++++=in
Building ^xvbg+++xvbg+=Building
257 ^cd++++=257
of ^in++++=of
Alden ^np+++??+=Alden
Village ^nn+nom+++=Village,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
York ^np++++=York
City ^nn++++=City,
, ^zz++++=EXTRAWORD
Connecticut ^np+++??+=Connecticut,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
hereby ^rb++splt++=hereby
make ^vb++++=make,
, ^zz++++=EXTRAWORD
publish ^vb++++=publish
and ^cc+phrs+++=and
declare ^vb+vpub+++=declare
this ^dt+dem+++=this
to ^to++++=to
be ^vbi++vrb++=be
my ^pp$+pp1+++=my
last ^ap++++=last
Will ^md+prd+++=Will
and ^cc++++=and
Testament ^nn+nom+++=Testament,
, ^zz++++=EXTRAWORD
revoking ^jj+++xvbg+=revoking
any ^dti++++=any
and ^cc++++=and
all ^rb++++=all
former ^ap++++=former
wills ^nns++++=wills
and ^cc++++=and
codicils ^nns+++??+=codicils
by ^in++++=by
me ^pp1o+pp1+++=me
at ^in++++=at
any ^dti++++=any
time ^nn++++=time
heretofore ^vb+++??+=heretofore
made ^vbd+++xvbn+=made."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
blew ^vbd+++xvbnx+=blew
his ^pp$+pp3+++=his
nose ^nn++++=nose
importantly ^rb++++=importantly
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
missing ^jj+++xvbg+=missing
a ^at++++=a
word ^nn++++=word,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
repeating ^vbg+vpub++xvbg+=repeating
many ^ap++++=many
for ^in++++=for
emphasis ^nn++++=emphasis
repeating ^vwbg+vpub++xvbg+=repeating
in ^rb++++=in
particular ^rb"++++=particular
his ^pp$+pp3+++=his
ever ^rb++++=ever-more-elaborate
- ^zz++++=EXTRAWORD
more ^ql++++=EXTRAWORD
- ^zz++++=EXTRAWORD
elaborate ^jj+atrb+++=EXTRAWORD
specifications ^nns+nom+++=specifications
for ^in++++=for
a ^at++++=a
funeral ^nn++++=funeral.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
these ^dt+dem+++=these
specifications ^nns+nom+++=specifications,
, ^zz++++=EXTRAWORD
Gramps ^np+++??+=Gramps
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
choked ^jj+++xvbn+=choked
with ^in++++=with
emotion ^nn+nom+++=emotion
that ^tht+rel+obj++=that
Lou ^np++++=Lou
thought ^vbd+++xvbn+=thought
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
why ^wrb+who+whcl++=why
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
brought ^vprf+++xvbnx+=brought
out ^rb+phrv+++=out
the ^ati++++=the
will ^nn++++=will
in ^in++++=in
the ^ati++++=the
first ^od++++=first
place ^nn++++=place.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Gramps ^np+++??+=Gramps
heroically ^rb++++=heroically
brought ^vbd+++xvbn+=brought
his ^pp$+pp3+++=his
powerful ^jj+atrb+++=powerful
emotions ^nns+nom+++=emotions
under ^in++++=under
control ^nn++++=control
and ^cc++++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
erasing ^nn++++=erasing
for ^in++++=for
a ^at++++=a
full ^jj+atrb+++=full
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
write ^vbi++++=write
and ^cc+phrs+++=and
speak ^vb++++=speak
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Lou ^np++++=Lou
could ^md+pos+++=could
have ^vb+hv+aux++=have
spoken ^vprf+++xvbnx+=spoken
his ^pp$+pp3+++=his
lines ^nns++++=lines
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
them ^pp3o+pp3+++=them
so ^rb++++=so
often ^rb++++=often.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
many ^ap++++=many
heartbreaks ^nns+++??+=heartbreaks
ere ^nn+++??+=ere
leaving ^vwbg+++xvbg+=leaving
this ^dt+dem+++=this
vale ^nn++++=vale
of ^in++++=of
tears ^nns++++=tears
for ^in++++=for
a ^at++++=a
better ^jjr+atrb+++=better
land ^nn++++=land,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gramps ^np+++??+=Gramps
said ^vbd+vpub++xvbn+=said
and ^cc+phrs+++=and
wrote ^vbd+vprv++xvbn+=wrote.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
deepest ^nn++++=deepest
hurt ^vbd+++xvbn+=hurt
of ^in++++=of
all ^rb++++=all
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
dealt ^vpsv++agls+xvbnx+=dealt
me ^pp1o+pp1+++=me
by ^in++++=by
" ^zz++++="
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
around ^rp++++=around
the ^ati++++=the
group ^nn++++=group,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
remember ^nn+nom+++=remember
who ^whp+who+++=who
the ^ati++++=the
malefactor ^nn++++=malefactor
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
looked ^vbd+++xvbn+=looked
helpfully ^rb++++=helpfully
at ^in++++=at
Lou ^np++++=Lou,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
held ^vbd+vprv++xvbn+=held
up ^rp++++=up
his ^pp$+pp3+++=his
hand ^nn++++=hand
resignedly ^rb++++=resignedly.
. ^zz++++=EXTRAWORD
Gramps ^np+++??+=Gramps
nodded ^vbd+++xvbn+=nodded,
, ^zz++++=EXTRAWORD
remembering ^vbg+vprv++xvbg+=remembering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
completed ^vbd+++xvbn+=completed
the ^ati++++=the
sentence ^nn+nom+++=sentence
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
great ^jj++++=great-grandson,
- ^zz++++=EXTRAWORD
grandson ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Louis ^np++++=Louis
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Ford ^np++++=Ford."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Grandson,
grandson ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Lou ^np++++=Lou.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
quibble ^nn+++??+=quibble.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
deep ^jj++++=deep
enough ^qlp++++=enough
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gramps ^np+++??+=Gramps,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
the ^ati++++=the
change ^nn++++=change.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
from ^in++++=from
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
without ^in++++=without
a ^at++++=a
misstep ^nn+++??+=misstep
through ^in++++=through
the ^ati++++=the
phrasing ^nn++++=phrasing
of ^in++++=of
the ^ati++++=the
disinheritance ^nn+nom+++=disinheritance,
, ^zz++++=EXTRAWORD
causes ^nns++++=causes
for ^in++++=for
which ^whp+rel+pied++=which
were ^vbd+bed+vrb++=were
disrespectfulness ^nns+nom+++=disrespectfulness
and ^cc++++=and
quibbling ^nn+nom+++=quibbling.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
paragraph ^nn++++=paragraph
following ^vwbg+++xvbg+=following,
, ^zz++++=EXTRAWORD
the ^ati++++=the
paragraph ^nn++++=paragraph
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
belonged ^vprf+++xvbnx+=belonged
to ^in++++=to
everyone ^pn++++=everyone
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
at ^in++++=at
one ^cd1++++=one
time ^nn++++=time
or ^cc++++=or
another ^dt++++=another,
, ^zz++++=EXTRAWORD
Lou ^np++++=Lou's
's ^$++++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+aux++=was
scratched ^vpsv++agls+xvbnx+=scratched
out ^rp+pl+++=out
and ^cc++++=and
Willy ^np++++=Willy's
's ^$++++=EXTRAWORD
substituted ^vbd+++xvbn+=substituted
as ^ql++++=as
heir ^nn++++=heir
to ^in++++=to
the ^ati++++=the
apartment ^nn+nom+++=apartment
and ^cc++++=and,
, ^zz++++=EXTRAWORD
the ^ati++++=the
biggest ^jjt++++=biggest
plum ^jj++++=plum
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
the ^ati++++=the
double ^jj+atrb+++=double
bed ^nn++++=bed
in ^in++++=in
the ^ati++++=the
private ^jj+atrb+++=private
bedroom ^nn++++=bedroom.
. ^zz++++=EXTRAWORD
" ^zz++++="So!"
so ^ql++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gramps ^np+++??+=Gramps,
, ^zz++++=EXTRAWORD
beaming ^vbg+++xvbg+=beaming.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
erased ^vbd+++xvbnx+=erased
the ^ati++++=the
date ^nn++++=date
at ^rb++++=at
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
will ^md+prd+++=will
and ^cc++++=and
substituted ^vbd+++xvbn+=substituted
a ^at++++=a
new ^jj+atrb+++=new
one ^pn++++=one,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
day ^nn++++=day.
. ^zz++++=EXTRAWORD
" ^zz++++="Well
well ^rb++++=EXTRAWORD
time ^nn++++=time
to ^to++++=to
watch ^vbi++++=watch
the ^ati++++=the
Mcgarvey ^np+++??+=McGarvey
Family ^nn++++=Family."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Mcgarvey ^np+++??+=McGarvey
Family ^nn++++=Family
was ^vbd+bedz+vrb++=was
a ^at++++=a
television ^nn++++=television
serial ^jj++++=serial
that ^cs+sub+++=that
Gramps ^np+++??+=Gramps
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
following ^vbg+++xvbgx+=following
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
60 ^cd++++=60,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
for ^in++++=for
a ^at++++=a
total ^nn++++=total
of ^in++++=of
112 ^cd++++=112
years ^nns++++=years.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
wait ^vb++++=wait
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
what ^wdt+who+++=what's
's ^vbz+bez+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
happen ^vb+++??+=happen
next ^ap++++=next,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Lou ^np++++=Lou
detached ^vbd+++xvbn+=detached
himself ^ppl+pp3+++=himself
from ^in++++=from
the ^ati++++=the
group ^nn++++=group
and ^cc++++=and
lay ^jjb+++xvbn+=lay
down ^rp++++=down
on ^in++++=on
his ^pp$+pp3+++=his
bed ^nn++++=bed
of ^in++++=of
pain ^nn++++=pain
by ^in++++=by
the ^ati++++=the
bathroom ^nn++++=bathroom
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Wishing ^vbg+++xvbg+=Wishing
Em ^np+++??+=Em
would ^md+prd+++=would
join ^vb++++=join
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wondered ^vbd+vprv++xvbnx+=wondered
where ^wrb+who+whcl++=where
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dozed ^vbd+++xvbnx+=dozed
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
disturbed ^vpsv++by+xvbnx+=disturbed
by ^in++++=by
someone ^pn++++=someone
stepping ^vbg+++xvbg+=stepping
over ^rp++++=over
him ^pp3o+pp3+++=him
to ^to++++=to
get ^vbi++++=get
into ^in+ppvb+++=into
the ^ati++++=the
bathroom ^nn++++=bathroom.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
faint ^jj+atrb+++=faint
gurgling ^nn+nom+++=gurgling
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
something ^pn++++=something
were ^vbd+bed+aux++=were
being ^vbg+beg+aux+xvbg+=being
poured ^vbd+++xvbn+=poured
down ^rp++++=down
the ^ati++++=the
washbasin ^nn+++??+=washbasin
drain ^nn++++=drain.
. ^zz++++=EXTRAWORD
Suddenly ^rb+cnj+++=Suddenly,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
entered ^vbd+++xvbn+=entered
his ^pp$+pp3+++=his
mind ^vb++++=mind
that ^tht+vcmp+obj++=that
Em ^np+++??+=Em
had ^vbd+hvd+aux++=had
cracked ^vprf+++xvbnx+=cracked
up ^rp++++=up,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
in ^in++++=in
there ^ex+pex+++=there
doing ^vbg+++xvbg+=doing
something ^pn++++=something
drastic ^jj++++=drastic
about ^in++++=about
Gramps ^np+++??+=Gramps.
. ^zz++++=EXTRAWORD
" ^zz++++="Em?"
em ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered
through ^in++++=through
the ^ati++++=the
panel ^nn++++=panel.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
reply ^nn++++=reply,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lou ^np++++=Lou
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
worn ^jj+atrb++xvbn+=worn
lock ^nn++++=lock,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
bolt ^nn++++=bolt
barely ^rb+down+++=barely
engaged ^vbd+++xvbn+=engaged
its ^pp$+it+++=its
socket ^nn++++=socket,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
for ^in++++=for
a ^at++++=a
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
let ^vb+++xvbn+=let
the ^ati++++=the
door ^nn++++=door
swing ^nn++++=swing
inward ^jjb++++=inward.
. ^zz++++=EXTRAWORD
" ^zz++++="Morty!"
morty ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
gasped ^vbd+++xvbn+=gasped
Lou ^np++++=Lou.
. ^zz++++=EXTRAWORD
Lou ^np++++=Lou's
's ^$++++=EXTRAWORD
great ^jj++++=great-grandnephew,
- ^zz++++=EXTRAWORD
grandnephew ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Mortimer ^np+nom+++=Mortimer,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
married ^vprf+++xvbnx+=married
and ^cc+phrs+++=and
brought ^vbd+++xvbn+=brought
his ^pp$+pp3+++=his
wife ^nn++++=wife
home ^nr++++=home
to ^in++++=to
the ^ati++++=the
Ford ^np++++=Ford
menage ^nn++++=menage,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
at ^rb++++=at
Lou ^np++++=Lou
with ^in++++=with
consternation ^nn+nom+++=consternation
and ^cc++++=and
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
Morty ^np+++??+=Morty
kicked ^vbd+++xvbn+=kicked
the ^ati++++=the
door ^nn++++=door
shut ^vbd+++xvbn+=shut,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
before ^cs+sub+++=before
Lou ^np++++=Lou
had ^vbd+hvd+aux++=had
glimpsed ^vprf+++xvbnx+=glimpsed
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand
Gramps ^np+++??+=Gramps'
' ^zz++++=EXTRAWORD
enormous ^jj+atrb+++=enormous
economy ^nn++++=economy-size
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
bottle ^nn++++=bottle
of ^in++++=of
anti ^nn+++??+=anti-gerasone,
- ^zz++++=EXTRAWORD
gerasone ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
apparently ^rb++splt++=apparently
been ^vprf+ben+vrb+xvbnx+=been
half ^abn++++=half-emptied,
- ^zz++++=EXTRAWORD
emptied ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
Morty ^np+++??+=Morty
was ^vbd+bedz+vrb++=was
refilling ^nn+nom+++=refilling
with ^in++++=with
tap ^nn++++=tap
water ^nn++++=water.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
Morty ^np+++??+=Morty
came ^vbd+++xvbn+=came
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
glared ^j+++xvbn+=glared
defiantly ^rb++++=defiantly
at ^in++++=at
Lou ^np++++=Lou
and ^cc++++=and
brushed ^vbd+++xvbn+=brushed
past ^nn++++=past
him ^pp3o+pp3+++=him
wordlessly ^rb++++=wordlessly
to ^to++++=to
rejoin ^vbi++++=rejoin
his ^pp$+pp3+++=his
pretty ^jj+atrb+++=pretty
bride ^nn++++=bride.
. ^zz++++=EXTRAWORD
Shocked ^j+++xvbn+=Shocked,
, ^zz++++=EXTRAWORD
Lou ^np++++=Lou
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
Gramps ^np+++??+=Gramps
take ^vb++++=take
the ^ati++++=the
mousetrapped ^jj+atrb++xvbn+=mousetrapped
anti ^nn+++??+=anti-gerasone
- ^zz++++=EXTRAWORD
gerasone ^nn+++??+=EXTRAWORD
but ^cc++++=but,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
warned ^vbd+vpub++xvbnx+=warned
Gramps ^np+++??+=Gramps
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Gramps ^np+++??+=Gramps
would ^md+prd+++=would
certainly ^rb++splt++=certainly
make ^vb++++=make
life ^nn++++=life
in ^in++++=in
the ^ati++++=the
apartment ^nn+nom+++=apartment,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
merely ^rb+down+++=merely
insufferable ^jj+pred+++=insufferable
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
harrowing ^jj++++=harrowing.
. ^zz++++=EXTRAWORD
Lou ^np++++=Lou
glanced ^vbd+++xvbn+=glanced
into ^in++++=into
the ^ati++++=the
living ^jj+atrb++xvbg+=living
room ^nn++++=room
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
Fords ^nps++++=Fords,
, ^zz++++=EXTRAWORD
Emerald ^nn++++=Emerald
among ^in++++=among
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
momentarily ^rb+tm+++=momentarily
at ^rb++++=at
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
relishing ^jj+++xvbg+=relishing
the ^ati++++=the
botches ^nns+++??+=botches
that ^tht+rel+obj++=that
the ^ati++++=the
Mcgarveys ^np+++??+=McGarveys
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
of ^in++++=of
their ^pp$+pp3+++=their
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
Stealthily ^rb+cnj+++=Stealthily,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
into ^in++++=into
the ^ati++++=the
bathroom ^nn++++=bathroom,
, ^zz++++=EXTRAWORD
locked ^j+++xvbn+=locked
the ^ati++++=the
door ^nn++++=door
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
pour ^vbi++++=pour
the ^ati++++=the
contents ^nns++++=contents
of ^in++++=of
Gramps ^np+++??+=Gramps'
' ^zz++++=EXTRAWORD
bottle ^nn++++=bottle
down ^in++++=down
the ^ati++++=the
drain ^nn++++=drain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
refill ^vb++++=refill
it ^pp3+it+++=it
with ^in++++=with
full ^jj++++=full-strength
- ^zz++++=EXTRAWORD
strength ^nn++++=EXTRAWORD
anti ^nn+++??+=anti-gerasone
- ^zz++++=EXTRAWORD
gerasone ^nn+++??+=EXTRAWORD
from ^in++++=from
the ^ati++++=the
22 ^cd++++=22
smaller ^jjr+atrb+++=smaller
bottles ^nns++++=bottles
on ^in++++=on
the ^ati++++=the
shelf ^nn++++=shelf.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bottle ^nn++++=bottle
contained ^vbd+++xvbn+=contained
a ^at++++=a
half ^abn++++=half-gallon,
- ^zz++++=EXTRAWORD
gallon ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
neck ^nn++++=neck
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
Lou ^vbi++++=Lou
that ^dt+dem+++=that
the ^ati++++=the
emptying ^nn++++=emptying
would ^md+prd+++=would
take ^vb++++=take
forever ^rb++++=forever.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
almost ^rb+hdg+++=almost
imperceptible ^jj+atrb+++=imperceptible
smell ^nn++++=smell
of ^in++++=of
anti ^nn+++??+=anti-gerasone,
- ^zz++++=EXTRAWORD
