Passing ^vbg+++xvbg+=Passing
the ^ati++++=the
village ^nn+nom+++=village
graveyards ^nns+++??+=graveyards
of ^in++++=of
New ^jj+atrb+++=New
England ^np++++=England.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
chief ^jjb++++=chief
and ^cc++++=and
most ^ql+emph+++=most
instructive ^jj+atrb+++=instructive
amusement ^nn+nom+++=amusement
was ^vbd+bedz+vrb++=was
to ^in++++=to
witness ^nns+nom+++=witness
his ^pp$+pp3+++=his
interviews ^nns++++=interviews
with ^in++++=with
his ^pp$+pp3+++=his
customers ^nns+nom+++=customers,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
held ^vbd+vprv++xvbn+=held
interminable ^jj+atrb+++=interminable
consultations ^nns+nom+++=consultations
about ^in++++=about
the ^ati++++=the
form ^nn++++=form
and ^cc++++=and
fashion ^nn++++=fashion
of ^in++++=of
the ^ati++++=the
desired ^jj+atrb++xvbn+=desired
monuments ^nns+nom+++=monuments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
buried ^jj+atrb++xvbn+=buried
excellence ^nn+nom+++=excellence
to ^to++++=to
be ^vbi+vbi+aux++=be
commemorated ^vpsv++agls+xvbnx+=commemorated,
, ^zz++++=EXTRAWORD
the ^ati++++=the
anguish ^nn++++=anguish
to ^to++++=to
be ^vbi+vbi+aux++=be
expressed ^vpsv++agls+xvbnx+=expressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
price ^nn++++=price
in ^in++++=in
dollars ^nns++++=dollars
and ^cc++++=and
cents ^nns++++=cents
for ^in++++=for
which ^whp+rel+pied++=which
a ^at++++=a
marble ^nn++++=marble
transcript ^nn++++=transcript
of ^in++++=of
their ^pp$+pp3+++=their
feelings ^nns+nom+++=feelings
might ^md+pos+++=might
be ^vb+be+aux++=be
obtained ^vpsv++agls+xvbnx+=obtained.
. ^zz++++=EXTRAWORD
Really ^rb+cnj+++=Really,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mind ^vb+++??+=mind
received ^vbd+++xvbn+=received
many ^ap++++=many
fresh ^jj+atrb+++=fresh
ideas ^nns++++=ideas
which ^whp+rel+subj++=which
perhaps ^rb++++=perhaps
may ^md+pos+++=may
remain ^vb++++=remain
in ^in++++=in
it ^pp3+it+++=it
even ^rb++++=even
longer ^rbr++++=longer
than ^in++++=than
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth's
's ^$++++=EXTRAWORD
hardest ^jjt+atrb+++=hardest
marble ^nn++++=marble
will ^md+prd+++=will
retain ^vb++++=retain
the ^ati++++=the
deepest ^jjt+atrb+++=deepest
strokes ^nns+++??+=strokes
of ^in++++=of
his ^pp$+pp3+++=his
chisel ^nn++++=chisel.
. ^zz++++=EXTRAWORD
An ^at++++=An
elderly ^jj+atrb+++=elderly
lady ^nn++++=lady
came ^vbd+++xvbn+=came
to ^in++++=to
bespeak ^nn+++??+=bespeak
a ^at++++=a
monument ^nn+nom+++=monument
for ^in++++=for
her ^pp3o+pp3+++=her
first ^od++++=first
love ^vb++++=love,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
killed ^vpsv++by+xvbnx+=killed
by ^in++++=by
a ^at++++=a
whale ^nn++++=whale
in ^in++++=in
the ^ati++++=the
Pacific ^jj+atrb+++=Pacific
Ocean ^nn++++=Ocean
no ^at++++=no
less ^rbr++++=less
than ^in++++=than
forty ^cd++++=forty
years ^nns++++=years
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
singular ^nn++++=singular
that ^tht+rel+++=that
so ^ql+emph+++=so
strong ^jj++++=strong
an ^at++++=an
impression ^nn++++=impression
of ^in++++=of
early ^jj++++=early
feeling ^jj+++xvbg+=feeling
should ^md+nec+++=should
have ^vb+hv+aux++=have
survived ^vprf+++xvbnx+=survived
through ^in++++=through
the ^ati++++=the
changes ^nns++++=changes
of ^in++++=of
her ^pp$+pp3+++=her
subsequent ^jj+atrb+++=subsequent
life ^nn++++=life,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
wife ^nn++++=wife
and ^cc++++=and
a ^at++++=a
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
judge ^vb++++=judge,
, ^zz++++=EXTRAWORD
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
and ^cc+phrs+++=and
happy ^jj+atrb+++=happy
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
Reflecting ^vbg+vprv++xvbg+=Reflecting
within ^in++++=within
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
me ^vbi++++=me
that ^cs+sub+++=that
this ^dt+dem+++=this
lifelong ^jj+atrb+++=lifelong
sorrow ^nn++++=sorrow
as ^in+strn+++=as,
, ^zz++++=EXTRAWORD
in ^in++++=in
all ^rb++++=all
good ^jj+atrb+++=good
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
deemed ^vbd+++xvbnx+=deemed
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
fortunate ^jj+atrb+++=fortunate
circumstances ^nns+nom+++=circumstances
of ^in++++=of
her ^pp$+pp3+++=her
history ^nn++++=history.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
an ^at++++=an
ideality ^nn+nom+++=ideality
to ^in++++=to
her ^pp$+pp3+++=her
mind ^nn++++=mind;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
her ^pp$+pp3+++=her
purer ^jjr++++=purer
and ^cc++++=and
less ^rbr++++=less
earthy ^jj++++=earthy
than ^cs+sub+++=than
she ^pp3a+pp3+++=she
would ^md+prd+++=would
otherwise ^rb+cnj+++=otherwise
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
by ^in++++=by
drawing ^xvbg+++xvbg+=drawing
a ^at++++=a
portion ^nn+nom+++=portion
of ^in++++=of
her ^pp$+pp3+++=her
sympathies ^nns++++=sympathies
apart ^in++++=apart
from ^in"++++=from
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Amid ^in++++=Amid
the ^ati++++=the
throng ^nn++++=throng
of ^in++++=of
enjoyments ^nns+nom+++=enjoyments
and ^cc++++=and
the ^ati++++=the
pressure ^nn++++=pressure
of ^in++++=of
worldly ^jj+atrb+++=worldly
care ^nn++++=care
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
warm ^jj+atrb+++=warm
materialism ^nn+nom+++=materialism
of ^in++++=of
this ^dt+dem+++=this
life ^nn++++=life
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
communed ^vprf+++xvbnx+=communed
with ^in++++=with
a ^at++++=a
vision ^nn++++=vision,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
better ^nn++++=better
for ^in++++=for
such ^abl++++=such
intercourse ^nn+++??+=intercourse.
. ^zz++++=EXTRAWORD
Faithful ^jj++++=Faithful
to ^in++++=to
the ^ati++++=the
husband ^nn++++=husband
of ^in++++=of
her ^pp$+pp3+++=her
maturity ^nn+nom+++=maturity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
loving ^jj+++xvbg+=loving
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
far ^rb+pl+++=far
more ^rbr++++=more
real ^jj+atrb+++=real
affection ^nn+nom+++=affection
than ^cs+sub+++=than
she ^pp3a+pp3+++=she
ever ^rb++++=ever
could ^md+pos+++=could
have ^vb+hv+aux++=have
felt ^vprf+++xvbnx+=felt
for ^in+ppvb+++=for
this ^dt+dem+++=this
dream ^nn++++=dream
of ^in++++=of
her ^pp$+pp3+++=her
girlhood ^nn+nom+++=girlhood,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
had ^vb+hv+aux++=had
still ^rb++splt++=still
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
imaginative ^jj+atrb+++=imaginative
faith ^nn++++=faith
to ^in++++=to
the ^ati++++=the
ocean ^nn++++=ocean-buried;
- ^zz++++=EXTRAWORD
buried ^jj+++xvbn+=EXTRAWORD
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
character ^nn+nom+++=character
had ^vb+hv+aux++=had
thus ^rb+cnj+splt++=thus
been ^vprf+ben+aux+xvbnx+=been
elevated ^vpsv++agls+xvbnx+=elevated
and ^cc++++=and
refined ^jj+++xvbn+=refined.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
sighs ^nns++++=sighs
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
breath ^nn++++=breath
of ^in++++=of
Heaven ^nn++++=Heaven
to ^in++++=to
her ^pp$+pp3+++=her
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
The ^ati++++=The
good ^jj+atrb+++=good
lady ^nn++++=lady
earnestly ^rb++++=earnestly
desired ^vbd+vsua++xvbn+=desired
that ^tht+vcmp+++=that
the ^ati++++=the
proposed ^jj+++xvbn+=proposed
monument ^np+nom+++=monument
should ^md+nec+++=should
be ^vb+be+aux++=be
ornamented ^vpsv++agls+xvbnx+=ornamented
with ^in++++=with
a ^at++++=a
carved ^jj+atrb++xvbn+=carved
border ^nn++++=border
of ^in++++=of
marine ^jj+atrb+++=marine
plants ^nns++++=plants
interwined ^vbd+++xvbn+=interwined
with ^in++++=with
twisted ^vbd+++xvbn+=twisted
sea ^nn++++=sea-shells,
- ^zz++++=EXTRAWORD
shells ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
were ^vbd+bed+aux++=were
probably ^rb++splt++=probably
waving ^vbg+++xvbgx+=waving
over ^rp++++=over
her ^pp3o+pp3+++=her
lover ^nn++++=lover's
's ^$++++=EXTRAWORD
skeleton ^nn++++=skeleton
or ^cc++++=or
strewn ^xvbn+++xvbn+=strewn
around ^rp++++=around
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
far ^rb+pl+++=far
depths ^nns++++=depths
of ^in++++=of
the ^ati++++=the
Pacific ^nn++++=Pacific.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth's
's ^$++++=EXTRAWORD
chisel ^nn++++=chisel
being ^vwbg+beg++xvbg+=being
inadequate ^jj++++=inadequate
to ^in++++=to
the ^ati++++=the
task ^nn++++=task,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
content ^vb++++=content
herself ^ppl+pp3+++=herself
with ^in++++=with
a ^at++++=a
rose ^nn+++xvbn+=rose
hanging ^vwbg+++xvbg+=hanging
its ^pp$+it+++=its
head ^nn++++=head
from ^in++++=from
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
stem ^nn++++=stem.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
her ^pp3o+pp3+++=her
departure ^nn++++=departure
I ^pp1a+pp1+++=I
remarked ^vbd+vpub++xvbnx+=remarked
that ^tht+vcmp+++=that
the ^ati++++=the
symbol ^nn++++=symbol
was ^vbd+bedz+vrb++=was
none ^pn++++=none
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
apt ^jj++++=apt.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
yet ^rb+cnj+++=yet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
friend ^nn++++=friend
the ^ati++++=the
sculptor ^nn++++=sculptor,
, ^zz++++=EXTRAWORD
embodying ^jj+++xvbg+=embodying
in ^in++++=in
this ^dt+dem+++=this
image ^nn++++=image
the ^ati++++=the
thoughts ^nns++++=thoughts
that ^tht+ncmp+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
passing ^vbg+++xvbgx+=passing
through ^in++++=through
my ^pp$+pp1+++=my
own ^ap++++=own
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^cs+sub+++=EXTRAWORD
broken ^vprf+++xvbn+=broken
rose ^nn+++xvbn+=rose
has ^vbz+hvz+aux++=has
shed ^vprf+++xvbnx+=shed
its ^pp$+it+++=its
sweet ^jj+atrb+++=sweet
smell ^nn++++=smell
through ^in++++=through
forty ^cd++++=forty
years ^nns++++=years
of ^in++++=of
the ^ati++++=the
good ^jj+atrb+++=good
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
life ^nn++++=life."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
seldom ^rb++++=seldom
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
find ^vb+vprv+++=find
such ^abl++++=such
pleasant ^jj+atrb+++=pleasant
food ^nn++++=food
for ^in++++=for
contemplation ^nn+nom+++=contemplation
as ^in++++=as
in ^in"++++=in
the ^ati++++=the
above ^jjb+atrb+++=above
instance ^nn+nom+++=instance.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
the ^ati++++=the
applicants ^nns+nom+++=applicants,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
affected ^xvbn+++xvbn+=affected
me ^pp1o+pp1+++=me
more ^rbr++++=more
disagreeably ^rb++++=disagreeably
than ^in++++=than
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
fourth ^od++++=fourth
wife ^nn++++=wife
hanging ^vwbg+++xvbg+=hanging
on ^in++++=on
his ^pp$+pp3+++=his
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
to ^in++++=to
bespeak ^jj+atrb++??+=bespeak
gravestones ^nns++++=gravestones
for ^in++++=for
the ^ati++++=the
three ^cd++++=three
former ^ap++++=former
occupants ^nns+nom+++=occupants
of ^in++++=of
his ^pp$+pp3+++=his
marriage ^nn+nom+++=marriage-bed.
- ^zz++++=EXTRAWORD
bed ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
with ^in++++=with
some ^dti++++=some
anxiety ^nn++++=anxiety
to ^to++++=to
see ^vbi+vprv+++=see
whether ^cs+who+++=whether
his ^pp$+pp3+++=his
remembrance ^nn+nom+++=remembrance
of ^in++++=of
either ^dtx++++=either
were ^vbd+bed+vrb++=were
more ^rbr++++=more
affectionate ^jj+pred+++=affectionate
than ^in++++=than
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
two ^cd++++=two,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=could
discover ^nn+nom+++=discover
no ^at++++=no
symptom ^nn++++=symptom
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
monuments ^nns+nom+++=monuments
were ^vbd+bed+vrb++=were
all ^abn++++=all
to ^to++++=to
be ^vbi++vrb++=be
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
material ^nn++++=material
and ^cc++++=and
form ^nn++++=form,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
decorated ^jj+++xvbn+=decorated
in ^in++++=in
bas ^nns+++??+=bas-relief
- ^zz++++=EXTRAWORD
relief ^nn++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
weeping ^jj+atrb+++=weeping
willows ^nns++++=willows,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
sympathetic ^jj+atrb+++=sympathetic
trees ^nns++++=trees
bending ^vwbg+++xvbg+=bending
over ^in++++=over
its ^pp$+it+++=its
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
broken ^vpsv++agls+xvbnx+=broken
in ^rb+phrv+++=in
the ^ati++++=the
midst ^nn++++=midst
and ^cc++++=and
rest ^nn++++=rest
upon ^in++++=upon
a ^at++++=a
sepulchral ^jj+atrb+++=sepulchral
urn ^nn++++=urn.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth's
's ^vbz+bez+aux++0=EXTRAWORD
standing ^vbg+++xvbg+=standing
emblem ^nn++++=emblem
of ^in++++=of
conjugal ^jj+atrb+++=conjugal
bereavement ^nn+nom+++=bereavement.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shuddered ^vbd+++xvbnx+=shuddered
at ^in++++=at
the ^ati++++=the
gray ^np++++=gray
polygamist ^nn+nom+++=polygamist
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
so ^ql++++=so
utterly ^rb+amp+++=utterly
lost ^vbd+++xvbn+=lost
the ^ati++++=the
holy ^jj+atrb+++=holy
sense ^nn++++=sense
of ^in++++=of
individuality ^nn+nom+++=individuality
in ^in++++=in
wedlock ^nn+++??+=wedlock
that ^tht+rel+obj++=that
me ^pp1o+pp1+++=methought
thought ^vbd+++xvbn+=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
fain ^nn+++??+=fain
to ^to++++=to
reckon ^vbi+vprv+++=reckon
upon ^in++++=upon
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
how ^wrb+who+++=how
many ^ap++++=many
women ^nns++++=women
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
slept ^vprf+++xvbnx+=slept
by ^in++++=by
his ^pp$+pp3+++=his
side ^nn++++=side
were ^vbd+bed+aux++=were
now ^rn+tm+splt++=now
sleeping ^vbg+++xvbgx+=sleeping
in ^in++++=in
their ^pp$+pp3+++=their
graves ^nns++++=graves.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
even ^cs+sub+++=even
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
wrong ^jj++++=wrong
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
no ^at++++=no
great ^jj+atrb+++=great
matter ^nn++++=matter
a ^at++++=a
glance ^nn++++=glance
sidelong ^jj++++=sidelong
at ^in++++=at
his ^pp$+pp3+++=his
living ^nvbg+++xvbg+=living
spouse ^nn++++=spouse,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
inclined ^jj++agls+xvbnx+=inclined
to ^to+jcmp+++=to
drive ^vbi++++=drive
a ^at++++=a
thriftier ^jjr+atrb+++=thriftier
bargain ^nn++++=bargain
by ^in++++=by
bespeaking ^xvbg+++xvbg+=bespeaking
four ^cd++++=four
gravestones ^nns++++=gravestones
in ^in++++=in
a ^at++++=a
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
better ^jjr++++=better
pleased ^jj+++xvbn+=pleased
with ^in++++=with
a ^at++++=a
rough ^jj++++=rough
old ^jj++++=old
whaling ^jj+++xvbg+=whaling-captain
- ^zz++++=EXTRAWORD
captain ^npt++++=EXTRAWORD
who ^whp+rel+subj++=who
gave ^vbd+++xvbn+=gave
directions ^nns+nom+++=directions
for ^in++++=for
a ^at++++=a
broad ^jj+atrb+++=broad
marble ^nn++++=marble
slab ^nn++++=slab
divided ^vwbn+++xvbn+=divided
into ^in++++=into
two ^cd++++=two
compartments ^nns+nom+++=compartments,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+aux++=was
to ^to++++=to
contain ^vbi++++=contain
an ^at++++=an
epitaph ^nn++++=epitaph
on ^in++++=on
his ^pp$+pp3+++=his
deceased ^jj+atrb+++=deceased
wife ^nn++++=wife
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
to ^to++++=to
be ^vbi+vbi+aux++=be
left ^vpsv++agls+xvbnx+=left
vacant ^jj++++=vacant
till ^cs+sub+++=till
death ^nn++++=death
should ^md+nec+++=should
engrave ^vb++++=engrave
his ^pp$+pp3+++=his
own ^ap++++=own
name ^nn++++=name
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
As ^ql++++=As
is ^vbz+bez+vrb++=is
frequently ^rb++++=frequently
the ^ati++++=the
case ^nn++++=case
among ^in++++=among
the ^ati++++=the
whalers ^nns+nom+++=whalers
of ^in++++=of
Martha ^np++++=Martha's
's ^$++++=EXTRAWORD
Vineyard ^nn++++=Vineyard,
, ^zz++++=EXTRAWORD
so ^ql++++=so
much ^ap++++=much
of ^in++++=of
this ^dt+dem+++=this
storm ^nn++++=storm-beaten
- ^zz++++=EXTRAWORD
beaten ^jj+atrb++xvbn+=EXTRAWORD
widower ^nn++++=widower's
's ^$++++=EXTRAWORD
life ^nn++++=life
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
tossed ^vpsv++agls+xvbnx+=tossed
away ^rp+pl+++=away
on ^in++++=on
distant ^jj+atrb+++=distant
seas ^nns++++=seas
that ^tht+rel+++=that
out ^rp+pl+++=out
of ^in++++=of
twenty ^cd++++=twenty
years ^nns++++=years
of ^in++++=of
matrimony ^nn++++=matrimony
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
scarce ^jj++++=scarce
three ^cd++++=three,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
at ^in++++=at
scattered ^xvbn+++xvbn+=scattered
intervals ^nns+nom+++=intervals,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
own ^ap++++=own
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
the ^ati++++=the
wife ^nn++++=wife
of ^in++++=of
his ^pp$+pp3+++=his
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died
in ^in++++=in
his ^pp$+pp3+++=his
and ^cc++++=and
her ^pp$+pp3+++=her
declining ^jj+atrb++xvbg+=declining
age ^nn++++=age,
, ^zz++++=EXTRAWORD
retained ^j+++xvbn+=retained
the ^ati++++=the
bridal ^jj+atrb+++=bridal
dewdrops ^nns+++??+=dewdrops
fresh ^jj++++=fresh
around ^rp++++=around
her ^pp3o+pp3+++=her
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
observations ^nns+nom+++=observations
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
the ^ati++++=the
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth
confirmed ^vwbn+vpub++xvbn+=confirmed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
husbands ^nns++++=husbands
were ^vbd+bed+vrb++=were
more ^rbr++++=more
faithful ^jj+pred+++=faithful
in ^in++++=in
setting ^xvbg+++xvbg+=setting
up ^rp++++=up
memorials ^nns+nom+++=memorials
to ^in++++=to
their ^pp$+pp3+++=their
dead ^jj+atrb+++=dead
wives ^nns++++=wives
than ^in++++=than
widows ^nns++++=widows
to ^in++++=to
their ^pp$+pp3+++=their
dead ^jj+atrb+++=dead
husbands ^nns++++=husbands.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
ill ^jj++++=ill-natured
- ^zz++++=EXTRAWORD
natured ^jj++++=EXTRAWORD
enough ^qlp++++=enough
to ^to++++=to
fancy ^vbi+vprv+++=fancy
that ^tht+vcmp+++=that
women ^nns++++=women
less ^rbr++++=less
than ^in++++=than
men ^nns++++=men
feel ^vb+vprv+++=feel
so ^rb+emph+++=so
sure ^jj++++=sure
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
constancy ^nn++++=constancy
as ^in++++=as
to ^to++++=to
be ^vbi++vrb++=be
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
give ^vbi++++=give
a ^at++++=a
pledge ^nn++++=pledge
of ^in++++=of
it ^pp3+it+++=it
in ^in++++=in
marble ^nn++++=marble.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
more ^rbr++++=more
probably ^rb++++=probably
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
men ^nns++++=men
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
reflect ^vb+vprv+++=reflect
upon ^in++++=upon
their ^pp$+pp3+++=their
lost ^xvbn+++xvbn+=lost
companions ^nns++++=companions
as ^ql++++=as
remembrances ^nns+nom++??+=remembrances
apart ^in++++=apart
from ^in"++++=from
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
women ^nns++++=women,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
conscious ^jj+pred+++=conscious
that ^tht+jcmp+++=that
a ^at++++=a
portion ^nn+nom+++=portion
of ^in++++=of
their ^pp$+pp3+++=their
being ^vbg+beg++xvbg+=being
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
with ^in++++=with
the ^ati++++=the
departed ^jj+++xvbn+=departed
whithersoever ^jjr++++=whithersoever
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone.
. ^zz++++=EXTRAWORD
Soul ^nn++++=Soul
clings ^vbz++++=clings
to ^in++++=to
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
the ^ati++++=the
living ^jj+atrb++xvbg+=living
dust ^nn++++=dust
has ^vbz+hvz+vrb++=has
a ^at++++=a
sympathy ^nn++++=sympathy
with ^in++++=with
the ^ati++++=the
