[ ^zz++++=[The
. ^zz++++=EXTRAWORD
' ^zz++++='"Then
" ^zz++++=EXTRAWORD
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we'm
'm ^vb+bem+aux++0=EXTRAWORD
lost ^vpsv++agls+xvbnx+=lost
and ^cc+phrs+++=and
done ^vpsv++agls+xvbn+=done
for ^in+strn+++=for,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
come ^vprf+++xvbn+=come
about ^in+strn+++=about?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
with ^in++++=with
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
waited ^vbd+++xvbnx+=waited
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Damme,
damme ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
any ^dti++++=any
other ^ap++++=other
person ^nn++++=person
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
me ^pp1o+pp1+++=me
this ^dt+dem+++=this
tale ^nn++++=tale
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+aux++=have
tanned ^vprf+++xvbnx+=tanned
his ^pp$+pp3+++=his
skin ^nn++++=skin."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
I ^pp1a+pp1+++=I
must ^md+nec+++=must
tell ^vb++++=tell
you ^pp2+pp2+++=you
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
and ^cc++++=and
grandmother ^nn+nom+++=grandmother
doted ^vbd+++xvbn+=doted
on ^in++++=on
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
' ^zz++++='"I
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
would ^md+prd+++=would,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother,
, ^zz++++=EXTRAWORD
dismally ^rb++++=dismally.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
how ^wrb+who+whcl++=how
the ^ati++++=the
temptation ^nn+nom+++=temptation
took ^vbd+++xvbn+=took
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
poor ^jj+atrb+++=poor
creatur ^nn+++??+=creatur'
' ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
little ^ap++++=little
more ^rbr++++=more'n
'n ^nn+++??+=EXTRAWORD
a ^at++++=a
boy ^nn++++=boy--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
a ^at++++=a-something
- ^zz++++=EXTRAWORD
something ^pn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
him ^pp3o+pp3+++=him--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
say ^vbi+vpub+tht0++=say
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a-something
- ^zz++++=EXTRAWORD
something ^pn++++=EXTRAWORD
that ^cs+sub+++=that
reminded ^vprf+++xvbn+=reminded
her ^pp$+pp3+++=her
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own
eldest ^jjt++++=eldest,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
a ^at++++=a
dozen ^cd++++=dozen
years ^nns++++=years
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
whether ^cs+who+++=whether
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
understood ^vwbn+vprv++xvbn+=understood
or ^cc+cls+++=or
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
all ^rb++++=all
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
" ^zz++++="However
however ^rb+cnj+++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
contrive ^vb++++=contrive
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='"It
" ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
came ^vbd+++xvbn+=came,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="of
of ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
takin ^nn+++??+=takin'
' ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
six ^cd++++=six
white ^jj+atrb+++=white
rabbits ^nns++++=rabbits
to ^in++++=to
market ^nn++++=market.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sold ^vbd+++xvbnx+=sold
mun ^nn+++??+=mun
all ^abn++++=all;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
sold ^vpsv++agls+xvbnx+=sold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hutch ^nn++++=hutch
standin ^nn+++??+=standin'
' ^zz++++=EXTRAWORD
empty ^jj++++=empty--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
grandmother ^nn+nom+++=grandmother
pulled ^vbd+++xvbn+=pulled
out ^rp+pl+++=out
her ^pp$+pp3+++=her
handkerchief ^nn++++=handkerchief
and ^cc++++=and
dabbed ^vbd+++xvbn+=dabbed
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
' ^zz++++='"You
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
drove ^vbd+++xvbn+=drove
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
rabbit ^nn++++=rabbit
hutch ^nn++++=hutch?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather.
. ^zz++++=EXTRAWORD
' ^zz++++='"With
" ^zz++++=EXTRAWORD
with ^in++++=EXTRAWORD
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
straw ^nn++++=straw
between ^in++++=between
him ^pp3o+pp3+++=him
and ^cc++++=and
the ^ati++++=the
bars ^nns++++=bars,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
owned ^vbd+++xvbnx+=owned.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
nobbut ^nn+++??+=nobbut
a ^at++++=a
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
how ^wrb+who+whcl++=how
easy ^jj++++=easy.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
look ^nn++++=look
of ^in++++=of
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
crep ^nn+++??+=crep'
' ^zz++++=EXTRAWORD
inside ^in+strn+++=inside--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='"Where
" ^zz++++=EXTRAWORD
where ^wrb+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua+tht0+xvbn+=asked
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather.
. ^zz++++=EXTRAWORD
' ^zz++++='"Somewheres
" ^zz++++=EXTRAWORD
somewheres ^nns+nom++??+=EXTRAWORD
hangin ^nn+++??+=hangin'
' ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
stable ^nn++++=stable
at ^rb++++=at
this ^dt+dem+++=this
moment ^nn++++=moment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++0=o'
sob ^nn++++=sob.
. ^zz++++=EXTRAWORD
' ^zz++++='So
so ^ql++++=EXTRAWORD
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
back ^nn++++=back.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
find ^vb+vprv+++=find
the ^ati++++=the
prisoner ^nn+nom+++=prisoner
in ^in++++=in
the ^ati++++=the
stable ^nn++++=stable,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by-and-by
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
he ^pp3a+pp3+++=he
caught ^vbd+++xvbnx+=caught
sight ^nn++++=sight
of ^in++++=of
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
slope ^nn++++=slope
of ^in++++=of
the ^ati++++=the
stubble ^nn++++=stubble
field ^nn++++=field
behind ^in+pl+++=behind
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^jj+atrb+++=poor
lad ^nn++++=lad
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
a ^at++++=a
hoe ^vb++++=hoe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
pretending ^vbg+++xvbgx+=pretending
to ^to+vcmp+++=to
work ^vb++++=work
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
edged ^vbd+++xvbnx+=edged
away ^rp+pl+++=away
in ^in++++=in
the ^ati++++=the
dimmety ^nn+++??+=dimmety
light ^jj++++=light.
. ^zz++++=EXTRAWORD
' ^zz++++='"Hallo!"
" ^zz++++=EXTRAWORD
hallo ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sings ^vbz++++=sings
out ^rp+pl+++=out
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
across ^in+pl+++=across
the ^ati++++=the
gate ^nn++++=gate;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
goes ^vbz++++=goes
striding ^vbg+++xvbg+=striding
up ^rp++++=up
the ^ati++++=the
field ^nn++++=field
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
hoe ^vb++++=hoe
stubble ^nn++++=stubble;
; ^zz++++=EXTRAWORD
because ^cs+cos+++=because
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
new ^jj++++=new
kind ^rb++++=kind
of ^rb"++++=of
agriculture ^nn++++=agriculture
in ^in++++=in
these ^dt+dem+++=these
parts ^nns++++=parts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
likely ^jj++++=likely
to ^to+jcmp+++=to
attract ^vbi++++=attract
notice ^vb+vprv+++=notice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='"I
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
doin ^nn+++??+=doin'
' ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
best ^jjt++++=best,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
twittered ^vbd+++xvbn+=twittered
the ^ati++++=the
prisoner ^nn+nom+++=prisoner.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
delicate ^jj++++=delicate-lookin'
- ^zz++++=EXTRAWORD
lookin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
lad ^nn++++=lad,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
white ^np++++=white
just ^rb+emph+++=just
now ^rn+tm+++=now
about ^in++++=about
the ^ati++++=the
gills ^nns++++=gills.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
come ^vb++++=come
from ^in+ppvb+++=from
Marblehead ^np++++=Marblehead,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained,
, ^zz++++=EXTRAWORD
" ^zz++++="and,
and ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
bred ^vwbn+++xvbn+=bred
to ^in++++=to
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
would ^md+prd+++=would
matter ^vb++++=matter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='"It
" ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
persevere ^vb++++=persevere
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
come ^vb++++=come
indoors ^rn+pl+++=indoors.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
stow ^vb+++??+=stow
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
cider ^nn++++=cider-loft
- ^zz++++=EXTRAWORD
loft ^nn++++=EXTRAWORD
for ^in++++=for
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
taken ^vprf+++xvbnx+=taken
a ^at++++=a
bite ^nn++++=bite
of ^in++++=of
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
to-morrow ^nr++++=to-morrow--well,
-- ^--+clp+++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
think ^vb+vprv+tht0++=think
that ^tht+vcmp+++=that
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather.
. ^zz++++=EXTRAWORD
' ^zz++++='For
for ^in++++=EXTRAWORD
the ^ati++++=the
next ^ap++++=next
few ^ap++++=few
hours ^nns++++=hours
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
pretty ^rb++++=pretty
easy ^jj++++=easy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
and ^cc++++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife
had ^vb+hv+vrb++=had
a ^at++++=a
good ^jj+atrb+++=good
reputation ^nn+nom+++=reputation
with ^in++++=with
the ^ati++++=the
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would
take ^vb++++=take
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
before ^in++++=before
suspecting ^xvbg+++xvbg+=suspecting
them ^pp3o+pp3+++=them
of ^in++++=of
any ^dti++++=any
hand ^nn++++=hand
in ^in++++=in
an ^at++++=an
escape ^nn++++=escape.
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
ate ^vbd+++xvbn+=ate
their ^pp$+pp3+++=their
supper ^nn++++=supper
together ^nn+nom+++=together
in ^in++++=in
good ^jj+atrb+++=good
comfort ^nn++++=comfort,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
pricked ^vbd+++xvbn+=pricked
up ^rp++++=up
his ^pp$+pp3+++=his
ears ^nns++++=ears
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
a ^at++++=a
gun ^nn++++=gun.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
wind ^nn++++=wind
blew ^vbd+++xvbn+=blew
from ^in++++=from
the ^ati++++=the
south ^nr+pl+++=south-west
- ^zz++++=EXTRAWORD
west ^np+pl+++=EXTRAWORD
that ^tht+rel+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
a ^at++++=a
gun ^nn++++=gun
was ^vbd+bedz+aux++=was
fired ^vpsv++agls+xvbnx+=fired
the ^ati++++=the
sound ^nn++++=sound
did ^vbd+dod+aux++=did
not ^xnot++not++=not
carry ^vb++++=carry.
. ^zz++++=EXTRAWORD
' ^zz++++='When
when ^wrb+who+++=EXTRAWORD
supper ^nn++++=supper
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother
made ^vbd+++xvbn+=made
a ^at++++=a
suggestion ^nn+nom+++=suggestion
that ^tht+ncmp+++=that
the ^ati++++=the
lad ^nn++++=lad,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
turning ^xvbg+++xvbg+=turning
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
cider ^nn++++=cider-loft,
- ^zz++++=EXTRAWORD
loft ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
sleep ^vb++++=sleep
in ^in++++=in
the ^ati++++=the
garret ^nn+++??+=garret
overhead ^jjb++++=overhead;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
a ^at++++=a
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
lad ^nn++++=lad's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
shut ^j+++xvbn+=shut
his ^pp$+pp3+++=his
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
not ^xnot++not++=not
gainsay ^vb++++=gainsay
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though--as
-- ^--+clp+++=EXTRAWORD
as ^in++++=EXTRAWORD
in ^in"++++=in
bed ^nn++++=bed
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
reminding ^vbg+++xvbg+=reminding
her ^pp$+pp3+++=her--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
pass ^vbi++++=pass
off ^in+pl+++=off
a ^at++++=a
visitor ^nn++++=visitor
in ^in++++=in
the ^ati++++=the
garret ^nn+++??+=garret,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
housebreaker ^nn++++=housebreaker.
. ^zz++++=EXTRAWORD
' ^zz++++='As
as ^ql++++=EXTRAWORD
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
not ^xnot++not++=not
disturbed ^jj+++xvbn+=disturbed
that ^tht+jcmp+++=that
night ^nn++++=night.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
for ^in++++=for
thinking ^xvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^at++++=a
very ^ql+amp+++=very
little ^ap++++=little
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
garret ^nn+++??+=garret
with ^in++++=with
the ^ati++++=the
best ^jjt+atrb+++=best
plan ^nn++++=plan
he ^pp3a+pp3+++=he
could ^md+pos+++=could
devise ^vb++++=devise.
. ^zz++++=EXTRAWORD
' ^zz++++='"I've
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
turnin ^nn+++??+=turnin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
over ^rb+cnj+++=over,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
road ^npl++++=road
will ^md+prd+++=will
help ^vb++++=help
you ^pp2+pp2+++=you
across ^in+pl+++=across
the ^ati++++=the
Moor ^npl++++=Moor
for ^in++++=for
days ^nns++++=days
to ^to++++=to
come ^vbi++++=come.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
bide ^vb++++=bide
here ^rn+pl+++=here
till ^in++++=till
the ^ati++++=the
hue-an ^jj+atrb+++=hue-an'-cry
'-cry ^nn+++??+=EXTRAWORD
has ^vbz+hvz+aux++=has
blown ^vprf+++xvbnx+=blown
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
meantime ^nn++++=meantime
the ^ati++++=the
missus ^nn++++=missus
must ^md+nec+++=must
fit ^vb++++=fit
up ^rp++++=up
some ^dti++++=some
disguise ^nn++++=disguise
for ^in++++=for
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
must ^md+nec+++=must
bide ^vb++++=bide
in ^in++++=in
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
man ^nn++++=man
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
step ^vb++++=step
out ^rp+pl+++=out
of ^in++++0=o'
this ^dt+dem+++=this
house ^nn++++=house,
, ^zz++++=EXTRAWORD
front ^jjb++++=front
or ^cc+phrs+++=or
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
without ^in++++=without
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
visible ^jj++++=visible
from ^in++++=from
all ^abn++++=all
the ^ati++++=the
tors ^nns++++=tors
around ^in+strn+++=around.
. ^zz++++=EXTRAWORD
So ^ql++++=So
rest ^vb++++=rest
where ^wrb+who+++=where
you ^pp2+pp2+++=you
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
just ^rb+emph+++=just
dander ^jjr++++=dander
down ^rp++++=down
along ^rp++++=along
t ^zz++++=t'wards
'wards ^rb++++0=EXTRAWORD
Walkhampton ^np+++??+=Walkhampton,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
Plymouth ^np++++=Plymouth
road ^npl++++=road
runs ^vbz++++=runs
under ^in++++=under
Sharpitor ^np+++??+=Sharpitor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
where ^wrb+who+++=where
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
meanin ^nn+++??+=meanin'
' ^zz++++=EXTRAWORD
to ^to++++=to
break ^vbi++++=break
up ^rp++++=up
a ^at++++=a
taty ^nn+++??+=taty-patch
- ^zz++++=EXTRAWORD
patch ^nn++++=EXTRAWORD
this ^dt+dem+++=this
long ^jj+atrb+++=long
time ^nn++++=time
past ^jjb++++=past.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
alway ^nn+++??+=alway
a ^at++++=a
plenty ^nn++++=plenty
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
' ^zz++++='pon
pon ^nn+++??+=EXTRAWORD
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
maybe ^rb+hdg+++=maybe
by ^in++++=by
keepin ^nn+++??+=keepin'
' ^zz++++=EXTRAWORD
an ^at++++=an
eye ^nn++++=eye
open ^nn++++=open
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
learn ^vb+vprv+++=learn
what ^wdt+who+whcl++=what
line ^nn++++=line
