Seven ^cd++++=SEVEN
, ^zz++++=EXTRAWORD
the ^ati++++=the
staff ^nn++++=staff
of ^in++++=of
which ^whp+rel+pied++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
shot ^vpsv++agls+xvbnx+=shot
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
known ^vprf++tht0+xvbnx+=known
it ^pp3+it+++=it
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
stages ^nns++++=stages
of ^in++++=of
its ^pp$+it+++=its
growth ^nn++++=growth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
splendid ^jj+atrb+++=splendid
action ^nn++++=action
and ^cc++++=and
feeling ^nvbg+++xvbg+=feeling
of ^in++++=of
the ^ati++++=the
thing ^nn++++=thing
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
special ^jj+atrb+++=special
significance ^nn+nom+++=significance
for ^in++++=for
the ^ati++++=the
half ^nn++++=half
dozen ^cd++++=dozen
of ^in++++=of
us ^pp1o+pp1+++=us
who ^whp+who+++=who
often ^rb++++=often
gathered ^xvbn+++xvbn+=gathered
at ^rb++++=at
Hartwell ^np++++=Hartwell's
's ^$++++=EXTRAWORD
rooms ^nns++++=rooms
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
in ^in++++=in
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
as ^ql++++=as
much ^ap++++=much
to ^to++++=to
dishearten ^vbi++++=dishearten
one ^pn++++=one
as ^in++++=as
to ^in"++++=to
inflame ^vb++++=inflame,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
so ^ql++++=so
much ^ap++++=much
in ^in++++=in
a ^at++++=a
field ^nn++++=field
so ^rb++++=so
amazingly ^rb++++=amazingly
difficult ^jj++++=difficult;
; ^zz++++=EXTRAWORD
who ^whp+who+whq++=who
had ^vbd+hvd+aux++=had
thrown ^vprf+++xvbnx+=thrown
up ^rp++++=up
in ^in++++=in
bronze ^jj++++=bronze
all ^abn++++=all
the ^ati++++=the
restless ^jj++++=restless,
, ^zz++++=EXTRAWORD
teeming ^vbg+++xvbg+=teeming
force ^nn++++=force
of ^in++++=of
that ^dt+dem+++=that
adventurous ^jj+atrb+++=adventurous
wave ^nn++++=wave
still ^rb+atrb+++=still
climbing ^nvbg+++xvbg+=climbing
westward ^rb++++=westward
in ^in++++=in
our ^pp$+pp1+++=our
own ^ap++++=own
land ^nn++++=land
across ^in+pl+++=across
the ^ati++++=the
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
recalled ^vbd+vprv+tht0+xvbn+=recalled
his ^pp$+pp3+++=his
" ^zz++++="Scout,"
scout ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
" ^zz++++="Pioneer,"
pioneer ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
" ^zz++++="Gold
gold ^nn++++=EXTRAWORD
Seekers ^nns+nom+++=Seekers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
those ^dt+dem+++=those
monuments ^nns+nom+++=monuments
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
invested ^vprf+++xvbnx+=invested
one ^cd1++++=one
and ^cc++++=and
another ^dt++++=another
of ^in++++=of
the ^ati++++=the
heroes ^nns++++=heroes
of ^in++++=of
the ^ati++++=the
Civil ^jj+atrb+++=Civil
War ^nn++++=War
with ^in++++=with
such ^abl++++=such
convincing ^jj+atrb+++=convincing
dignity ^nn+nom+++=dignity
and ^cc++++=and
power ^nn++++=power.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
does ^vbz+doz+aux++=does
he ^pp3a+pp3+++=he
get ^vb++++=get
the ^ati++++=the
heat ^nn++++=heat
to ^to++++=to
make ^vbi++++=make
an ^at++++=an
idea ^nn++++=idea
like ^in++++=like
that ^dt+dem+++=that
carry ^nn++++=carry?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bentley ^np++++=Bentley
remarked ^vbd+vpub++xvbn+=remarked
morosely ^rb+cnj+++=morosely,
, ^zz++++=EXTRAWORD
scowling ^vbg+nom++xvbg+=scowling
at ^in++++=at
the ^ati++++=the
clay ^nn++++=clay
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
" ^zz++++="Hang
hang ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Hartwell ^np+++??+=Hartwell,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
because ^cs+cos+++=because
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
really ^rb+emph+++=really
an ^at++++=an
American ^jj++++=American
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
can ^md+pos+++=can
look ^vb++++=look
at ^rb++++=at
it ^pp3+it+++=it
like ^in++++=like
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
big ^jj+atrb+++=big
man ^nn++++=man
shifted ^vbd+++xvbn+=shifted
uneasily ^rb++++=uneasily
against ^in++++=against
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied
smiling ^jj+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
" ^zz++++="perhaps
perhaps ^rb++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
something ^pn++++=something
in ^cs+sub+++=in
that ^cs"++++=that.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
citizenship ^nn+nom+++=citizenship
was ^vbd+bedz+vrb++=was
somewhat ^rb+down+++=somewhat
belated ^jj+pred+++=belated
and ^cc+phrs+++=and
emotional ^jj++++=emotional
in ^in++++=in
its ^pp$+it+++=its
flowering ^nn++++=flowering.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
half ^rb++++=half
a ^at++++=a
mind ^nn++++=mind
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Bentley ^np++++=Bentley."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose
uncertainly ^rb+cnj+++=uncertainly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
hesitating ^xvbg+++xvbg+=hesitating
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
back ^jjb++++=back
into ^in++++=into
his ^pp$+pp3+++=his
workroom ^nn+++??+=workroom,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
fumbling ^nvbg+++xvbg+=fumbling
among ^in++++=among
the ^ati++++=the
litter ^nn++++=litter
in ^in++++=in
the ^ati++++=the
corners ^nns+nom+++=corners.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
prospect ^nn++++=prospect
of ^in++++=of
any ^dti++++=any
sort ^nn++++=sort
of ^in++++=of
personal ^jj+atrb+++=personal
expression ^nn++++=expression
from ^in++++=from
Hartwell ^np+++??+=Hartwell,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
glanced ^vbd+++xvbn+=glanced
questioningly ^jj++++=questioningly
at ^rb++++=at
one ^cd1++++=one
another ^dt++++=another;
; ^zz++++=EXTRAWORD
for ^in++++=for
although ^cs+con+++=although
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
us ^pp1o+pp1+++=us
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked
to ^to+vcmp+++=to
have ^vbi++++=have
us ^pp1o+pp1+++=us
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
always ^rb++splt++=always
held ^vpsv++agls+xvbnx+=held
at ^rb++++=at
a ^at++++=a
distance ^nn+nom+++=distance
by ^in++++=by
a ^at++++=a
certain ^jj+atrb+++=certain
diffidence ^nn+nom+++=diffidence
of ^in++++=of
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
rare ^jj+atrb+++=rare
occasions ^nns++++=occasions
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
work ^nn++++=work
or ^cc++++=or
of ^in++++=of
ideas ^nns++++=ideas
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
forgot ^vbd+vprv++xvbnx+=forgot
to ^to+vcmp+++=to
be ^vbi++vrb++=be
shy ^jj+pred+++=shy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
exceptional ^jj++++=exceptional
that ^dt+dem+++=that
no ^at++++=no
flattery ^nn+nom+++=flattery
was ^vbd+bedz+vrb++=was
quite ^abl++++=quite
so ^ql+emph+++=so
seductive ^jj++++=seductive
as ^ql++++=as
being ^xvbg+++xvbg+=being
taken ^vprf+++xvbn+=taken
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
into ^in++++=into
Hartwell ^np++++=Hartwell's
's ^$++++=EXTRAWORD
confidence ^nn+nom+++=confidence.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter
of ^in++++=of
opinions ^nns++++=opinions
the ^ati++++=the
commonest ^nn++++=commonest
of ^in++++=of
currency ^nn++++=currency
in ^in++++=in
our ^pp$+pp1+++=our
circle ^nn++++=circle
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
niggardly ^jj+pred+++=niggardly
and ^cc+phrs+++=and
prone ^jj++++=prone
to ^to+jcmp+++=to
qualify ^vbi++++=qualify.
. ^zz++++=EXTRAWORD
No ^at++++=No
man ^nn++++=man
ever ^rb++++=ever
guarded ^vbd+++xvbn+=guarded
his ^pp$+pp3+++=his
mystery ^nn+nom+++=mystery
more ^rbr++++=more
effectually ^rb++++=effectually.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
singular ^nn++++=singular,
, ^zz++++=EXTRAWORD
intense ^jj+atrb+++=intense
spell ^nn++++=spell,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
about ^in++++=about
those ^dt+dem+++=those
few ^ap++++=few
evenings ^nns++++=evenings
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
through ^in++++=through
this ^dt+dem+++=this
excessive ^jj+atrb+++=excessive
modesty ^nn++++=modesty,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
shyness ^nns+nom+++=shyness,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
melancholy ^nn++++=melancholy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
committed ^j+++xvbn+=committed
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Hartwell ^np+++??+=Hartwell
returned ^vbd+++xvbn+=returned
from ^in++++=from
the ^ati++++=the
back ^jjb+atrb+++=back
room ^nn++++=room,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
with ^in++++=with
him ^pp3o+pp3+++=him
an ^at++++=an
unframed ^jj+atrb+++=unframed
canvas ^nn++++=canvas
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
an ^at++++=an
easel ^nn++++=easel
near ^in+pl+++=near
his ^pp$+pp3+++=his
clay ^nn++++=clay
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
drew ^vbd+++xvbn+=drew
close ^jj++++=close
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
darkness ^nns+nom+++=darkness
was ^vbd+bedz+aux++=was
rapidly ^rb++splt++=rapidly
coming ^vbg+++xvbgx+=coming
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
the ^ati++++=the
dullness ^nns+nom+++=dullness
of ^in++++=of
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
instantly ^rb+tm+++=instantly
recognized ^vbd+vprv++xvbn+=recognized
the ^ati++++=the
boy ^nn++++=boy
of ^in++++=of
Hartwell ^np++++=Hartwell's
's ^$++++=EXTRAWORD
" ^zz++++="Color
color ^nn++++=EXTRAWORD
Sergeant ^nn+nom+++=Sergeant."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
portrait ^nn++++=portrait
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
handsome ^jj+atrb+++=handsome
lad ^nn++++=lad
in ^in++++=in
uniform ^nn++++=uniform,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
beside ^in+pl+++=beside
a ^at++++=a
charger ^jjr++++=charger
impossibly ^rb++++=impossibly
rearing ^nn++++=rearing.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
in ^in++++=in
his ^pp$+pp3+++=his
radiant ^jj+atrb+++=radiant
countenance ^nn+nom+++=countenance
and ^cc++++=and
flashing ^jj+atrb++xvbg+=flashing
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
every ^at++++=every
line ^nn++++=line
of ^in++++=of
his ^pp$+pp3+++=his
young ^jj+atrb+++=young
body ^nn++++=body
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
energy ^nn++++=energy,
, ^zz++++=EXTRAWORD
a ^at++++=a
gallantry ^nn++++=gallantry,
, ^zz++++=EXTRAWORD
a ^at++++=a
joy ^nn++++=joy
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
arrested ^vbd+++xvbn+=arrested
and ^cc+phrs+++=and
challenged ^vbd+++xvbn+=challenged
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
the ^ati++++=the
notion ^nn++++=notion,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hartwell ^np+++??+=Hartwell
remarked ^vbd+vpub++xvbn+=remarked,
, ^zz++++=EXTRAWORD
wandering ^vbg+++xvbg+=wandering
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
seat ^nn++++=seat
in ^in++++=in
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
wanted ^vprf+++xvbnx+=wanted
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it
for ^in++++=for
years ^nns++++=years,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
felt ^vprf+++xvbnx+=felt
quite ^rb++++=quite
sure ^jj++++=sure
of ^in++++=of
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
of ^in++++=of
missing ^xvbg+++xvbg+=missing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
an ^at++++=an
uncle ^nn++++=uncle
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^nn++++=father's
's ^$++++=EXTRAWORD
half ^abn++++=half-brother,
- ^zz++++=EXTRAWORD
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
named ^vpsv++agls+xvbnx+=named
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
killed ^vpsv++agls+xvbnx+=killed
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
big ^jj+atrb+++=big
battles ^nns++++=battles
of ^in++++=of
Sixty ^cd++++=Sixty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
him ^pp3o+pp3+++=him
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew
him ^pp3o+pp3+++=him
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
dead ^jj++++=dead
for ^in++++=for
twenty ^cd++++=twenty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
night ^nn++++=night,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^to++++=to
know ^vbi+vprv+++=know
him ^pp3o+pp3+++=him
as ^ql++++=as
we ^pp1a+pp1+++=we
sometimes ^rb++++=sometimes
do ^vb+do+vrb++=do
living ^jj+atrb++xvbg+=living
persons ^nns++++=persons
intimately ^rb+cnj+++=intimately,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
moment ^nn++++=moment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused
to ^to++++=to
knock ^vbi++++=knock
the ^ati++++=the
ashes ^nns++++=ashes
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
short ^jj+atrb+++=short
pipe ^nn++++=pipe,
, ^zz++++=EXTRAWORD
refilled ^j+++xvbn+=refilled
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
puffed ^vpsv++agls+xvbn+=puffed
at ^in++++=at
it ^pp3+it+++=it
thoughtfully ^rb++++=thoughtfully
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
on ^in++++=on
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
settling ^vbg+nom++xvbg+=settling
back ^jjb++++=back
heavily ^rb++++=heavily
among ^in++++=among
the ^ati++++=the
cushions ^nns++++=cushions
and ^cc++++=and
looking ^vbg+++xvbg+=looking
absently ^rb++++=absently
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
his ^pp$+pp3+++=his
story ^nn++++=story.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
proceeded ^vbd+++xvbnx+=proceeded
further ^jjb++++=further
and ^cc+phrs+++=and
further ^jjb++++=further
into ^in++++=into
the ^ati++++=the
experience ^nn+nom+++=experience
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
convey ^vbi++++=convey
to ^in++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
voice ^nn++++=voice
sank ^vbd+++xvbn+=sank
so ^rb+emph+++=so
low ^jj++++=low
and ^cc++++=and
was ^vbd+bedz+vrb++=was
sometimes ^rb++++=sometimes
so ^ql+emph+++=so
charged ^jj+++xvbn+=charged
with ^in++++=with
feeling ^xvbg+++xvbg+=feeling,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
almost ^rb+hdg+++=almost
thought ^nn+++xvbn+=thought
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
forgotten ^vprf++tht0+xvbnx+=forgotten
our ^pp$+pp1+++=our
presence ^nn+nom+++=presence
and ^cc++++=and
was ^vbd+bedz+aux++=was
remembering ^vbg+vprv++xvbgx+=remembering
aloud ^rb++++=aloud.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
Bentley ^np++++=Bentley
forgot ^vbd+vprv++xvbn+=forgot
his ^pp$+pp3+++=his
nervousness ^nns+nom+++=nervousness
in ^in++++=in
astonishment ^nn+nom+++=astonishment
and ^cc++++=and
sat ^vbd+++xvbn+=sat
breathless ^jj++++=breathless
under ^in++++=under
the ^ati++++=the
spell ^nn++++=spell
of ^in++++=of
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
thus ^rb+cnj+++=thus
breathing ^vbg+++xvbg+=breathing
his ^pp$+pp3+++=his
memories ^nns++++=memories
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
dusk ^nn++++=dusk.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
fifteen ^cd++++=fifteen
years ^nns++++=years
ago ^rb++++=ago
this ^dt+pdem+++=this
last ^rb++++=last
spring ^vb++++=spring
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
first ^rb++++=first
went ^vbd+++xvbn+=went
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bentley ^np++++=Bentley's
's ^vbz+bez+aux++0=EXTRAWORD
having ^vbg+hvg++xvbg+=having
to ^to++++=to
cut ^vbi++++=cut
away ^rp+pl+++=away
like ^in++++=like
this ^dt+pdem+++=this
brings ^vbz++++=brings
it ^pp3+it+++=it
all ^abn++++=all
back ^jjb++++=back
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
in ^in++++=in
Italy ^np++++=Italy.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
was ^vbd+bedz+vrb++=was
a ^at++++=a
sculptor ^nn++++=sculptor,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
dare ^vb++++=dare
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
not ^xnot++not++=not
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
first ^rb++++=first
fellows ^nns++++=fellows
who ^whp+rel+subj++=who
went ^vbd+++xvbn+=went
over ^in++++=over
after ^in++++=after
Story ^nn++++=Story
and ^cc++++=and
Powers ^nns++++=Powers,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
to ^in++++=to
Italy ^np++++=Italy
for ^in++++=for
' ^zz++++='Art,'
art ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
quite ^rb++++=quite
simply ^rb++++=simply;
; ^zz++++=EXTRAWORD
to ^to++++=to
lift ^vbi++++=lift
from ^in++++=from
its ^pp$+it+++=its
native ^jj+atrb+++=native
bough ^nn++++=bough
the ^ati++++=the
willing ^jj+atrb+++=willing,
, ^zz++++=EXTRAWORD
iridescent ^jj+atrb+++=iridescent
bird ^nn++++=bird.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
story ^nn++++=story
is ^vbz+bez+aux++=is
told ^vpsv++agls+xvbnx+=told,
, ^zz++++=EXTRAWORD
informingly ^jj++++=informingly
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
by ^in++++=by
some ^dti++++=some
of ^in++++=of
those ^dt+dem+++=those
ingenuous ^jj+atrb+++=ingenuous
marble ^nn++++=marble
things ^nns++++=things
at ^in++++=at
the ^ati++++=the
Metropolitan ^nn++++=Metropolitan.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
came ^vbd+++xvbn+=came
over ^in++++=over
some ^dti++++=some
time ^nn++++=time
before ^in++++=before
the ^ati++++=the
outbreak ^nn++++=outbreak
of ^in++++=of
the ^ati++++=the
Civil ^jj+atrb+++=Civil
War ^nn++++=War,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
a ^at++++=a
renegade ^nn+++??+=renegade
by ^in++++=by
his ^pp$+pp3+++=his
family ^nn++++=family
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
go ^vb++++=go
home ^nr++++=home
to ^to++++=to
enter ^vbi++++=enter
the ^ati++++=the
army ^nn++++=army.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
half ^abn++++=half-brother,
- ^zz++++=EXTRAWORD
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
child ^nn++++=child
