Johannes ^np+++??+=Johannes
day ^nn++++=day
of ^in++++=of
January ^nr+nom+++=January,
, ^zz++++=EXTRAWORD
1761 ^cd+date+++=1761,
, ^zz++++=EXTRAWORD
the ^ati++++=the
day ^nn++++=day
before ^in++++=before
his ^pp$+pp3+++=his
fifth ^nn++++=fifth
birthday ^nn++++=birthday,
, ^zz++++=EXTRAWORD
at ^in++++=at
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
nine ^cd++++=nine
at ^in++++=at
night ^nn++++=night."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
first ^od++++=first
composition ^nn+nom+++=composition
the ^ati++++=the
sense ^nn++++=sense
of ^in++++=of
perfect ^jj+atrb+++=perfect
form ^nn++++=form
is ^vbz+bez+aux++=is
felt ^vpsv++agls+xvbnx+=felt
to ^to+vcmp+++=to
a ^at++++=a
remarkable ^jj+atrb+++=remarkable
degree ^nn++++=degree,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
book ^nn++++=book
in ^in++++=in
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
written ^vpsv++agls+xvbnx+=written
down ^rp++++=down,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
accompanied ^vbd+++xvbn+=accompanied
the ^ati++++=the
family ^nn++++=family
on ^in++++=on
their ^pp$+pp3+++=their
travels ^nns++++=travels,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
it ^pp3+it+++=it
Wolfgang ^np++++=Wolfgang
also ^rb++++=also
wrote ^vbd+vprv++xvbn+=wrote
down ^in++++=down
his ^pp$+pp3+++=his
first ^od++++=first
sonatas ^nns++++=sonatas,
, ^zz++++=EXTRAWORD
published ^j+++xvbn+=published
in ^in++++=in
1763 ^cd+date+++=1763.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
much ^ap++++=much
over ^in++++=over
five ^cd++++=five
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
Wolfgang ^np++++=Wolfgang
was ^vbd+bedz+aux++=was
chosen ^vpsv++agls+xvbnx+=chosen
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
part ^nn++++=part
of ^in++++=of
chorister ^nn+nom+++=chorister
in ^in++++=in
a ^at++++=a
Latin ^jj+atrb+++=Latin
comedy ^nn++++=comedy
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
at ^rb++++=at
the ^ati++++=the
close ^nn++++=close
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
year ^nn++++=year
of ^in++++=of
the ^ati++++=the
Salzburg ^np+++??+=Salzburg
Gymnasium ^nn++++=Gymnasium,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
among ^in++++=among
the ^ati++++=the
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
young ^jj+atrb+++=young
people ^nns++++=people
who ^whp+rel+subj++=who
took ^vbd+++xvbn+=took
part ^nn++++=part
in ^in++++=in
the ^ati++++=the
entertainment ^nn+nom+++=entertainment
one ^cd1++++=one
can ^md+pos+++=can
picture ^vb++++=picture
the ^ati++++=the
charming ^jj+++xvbg+=charming
little ^ap++++=little
musical ^jj++++=musical
fellow ^jjb++++=fellow
as ^in++++=as
the ^ati++++=the
great ^jj+atrb+++=great
feature ^nn++++=feature
of ^in++++=of
the ^ati++++=the
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
stories ^nns++++=stories
were ^vbd+bed+aux++=were
told ^vpsv++agls+xvbnx+=told
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time
of ^in++++=of
his ^pp$+pp3+++=his
marvellous ^jj+atrb+++=marvellous
sense ^nn++++=sense
of ^in++++=of
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ease ^nn++++=ease
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
overcame ^vbd+++xvbnx+=overcame
every ^at++++=every
technical ^jj+atrb+++=technical
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
Meanwhile ^rb++++=Meanwhile
he ^pp3a+pp3+++=he
learned ^vbd+vprv++xvbnx+=learned
to ^to+vcmp+++=to
play ^vbi++++=play
on ^in+ppvb+++=on
the ^ati++++=the
violin ^nn++++=violin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
tell ^vb++++=tell,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
one ^cd1++++=one
violin ^nn++++=violin
was ^vbd+bedz+vrb++=was
an ^at++++=an
eighth ^od++++=eighth
of ^in++++=of
a ^at++++=a
tone ^nn++++=tone
lower ^jjr++++=lower
than ^cs+sub+++=than
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
games ^nns++++=games,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
interesting ^jj+pred+++=interesting
to ^to+jcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
accompanied ^vpsv++by+xvbn+=accompanied
by ^in++++=by
music ^nn++++=music,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
family ^nn++++=family
friend ^nn++++=friend
in ^in++++=in
writing ^xvbg+++xvbg+=writing
of ^in++++=of
him ^pp3o+pp3+++=him
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
and ^cc++++=and
I ^pp1a+pp1+++=I
carried ^vbd+++xvbnx+=carried
playthings ^nns++++=playthings
from ^in++++=from
one ^cd1++++=one
room ^nn++++=room
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
who ^whp+rel+subj++=who
went ^vbd+++xvbn+=went
empty ^jj++++=empty-handed
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
must ^md+nec+++=must
sing ^vb++++=sing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
play ^nn++++=play
a ^at++++=a
march ^nr++++=march
on ^in++++=on
the ^ati++++=the
violin ^nn++++=violin
as ^ql++++=as
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
On ^in++++=On
an ^at++++=an
evening ^nn++++=evening
when ^wrb+who+++=when
a ^at++++=a
number ^nn++++=number
of ^in++++=of
violinists ^nns+nom+++=violinists
were ^vbd+bed+aux++=were
gathered ^vpsv++agls+xvbnx+=gathered
in ^in++++=in
the ^ati++++=the
Mozart ^np++++=Mozart
home ^nr++++=home
to ^to++++=to
play ^vbi++++=play
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
Wolfgang ^np++++=Wolfgang,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
recently ^rb+tm+splt++=recently
been ^vprf+ben+aux+xvbnx+=been
learning ^vbg+vprv++xvbgx+=learning
to ^to+vcmp+++=to
play ^vbi++++=play
the ^ati++++=the
violin ^nn++++=violin,
, ^zz++++=EXTRAWORD
begged ^vb+++xvbn+=begged
to ^to+vcmp+++=to
play ^vbi++++=play
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^npt++++=father
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
let ^vbi++++=let
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
to ^to++++=to
run ^vbi++++=run
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
second ^od++++=second
violinist ^nn+nom+++=violinist
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
little ^ap++++=little
man ^nn++++=man;
; ^zz++++=EXTRAWORD
wipe ^vb++++=wipe
away ^rb+phrv+++=away
those ^dt+dem+++=those
tears ^nns++++=tears
and ^cc++++=and
stand ^nn++++=stand
by ^in++++=by
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
close ^vb++++=close
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
stood ^vbd+++xvbn+=stood
the ^ati++++=the
little ^jj+atrb+++=little
chap ^nn++++=chap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presently ^rb+tm+++=presently
all ^rb++++=all
were ^vbd+bed+aux++=were
surprised ^jj++agls+xvbnx+=surprised
to ^to+jcmp+++=to
hear ^vbi+vprv+++=hear
a ^at++++=a
clear ^jj++++=clear,
, ^zz++++=EXTRAWORD
clean ^jj++++=clean-cut
- ^zz++++=EXTRAWORD
cut ^xvbn+++xvbn+=EXTRAWORD
tone ^np++++=tone
coming ^vwbg+++xvbg+=coming
from ^in++++=from
the ^ati++++=the
child ^nn++++=child's
's ^$++++=EXTRAWORD
violin ^nn++++=violin.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
touch ^nn++++=touch
was ^vbd+bedz+vrb++=was
so ^ql++++=so
exquisite ^nn++++=exquisite,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
interpretation ^nn+nom+++=interpretation
so ^rb+emph+++=so
masterly ^jj++++=masterly,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
presently ^rb+tm+++=presently
the ^ati++++=the
second ^od++++=second
violinist ^nn+nom+++=violinist
laid ^vbd+++xvbn+=laid
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
instrument ^nn+nom+++=instrument
and ^cc++++=and
listened ^vbd+++xvbn+=listened
breathlessly ^rb+cnj+++=breathlessly,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Wolfgang ^np++++=Wolfgang
played ^vbd+++xvbn+=played
on ^in+ppvb+++=on
and ^cc++++=and
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
forgetful ^jj++++=forgetful
of ^in++++=of
everything ^pn++++=everything
but ^cc++++=but
the ^ati++++=the
magic ^jj+atrb+++=magic
spell ^nn++++=spell
of ^in++++=of
the ^ati++++=the
music ^nn++++=music,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
his ^pp$+pp3+++=his
father ^npt++++=father
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
heart ^nn++++=heart
throbbed ^vbd+++xvbn+=throbbed
with ^in++++=with
pride ^nn++++=pride
and ^cc++++=and
joy ^nn++++=joy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tears ^nns++++=tears
rolled ^vbd+++xvbn+=rolled
down ^rp++++=down
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed:
: ^zz++++=EXTRAWORD
" ^zz++++="Little
little ^ap++++=EXTRAWORD
music ^nn++++=music-king
- ^zz++++=EXTRAWORD
king ^npt++++=EXTRAWORD
thou ^pp2+pp2+++=thou
art ^nn++++=art,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
Wolferl ^np+++??+=Wolferl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thou ^pp2+pp2+++=thou
shalt ^md++++=shalt
reign ^vb++++=reign
over ^rp++++=over
us ^pp1o+pp1+++=us
all ^rb++++=all!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
From ^in++++=From
that ^dt+dem+++=that
moment ^nn++++=moment
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
plain ^jj++++=plain
that ^tht+jcmp+obj++=that
Wolfgang ^np++++=Wolfgang
Mozart ^np++++=Mozart
was ^vbd+bedz+vrb++=was
a ^at++++=a
musical ^jj+atrb+++=musical
prodigy ^nn+++??+=prodigy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
little ^ap++++=little
Nannerl ^np+++??+=Nannerl,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
great ^jj+atrb+++=great
talent ^nn++++=talent,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proud ^jj+atrb+++=proud
father ^nn++++=father
now ^rn+tm+++=now
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
show ^vbi+vprv+++=show
them ^pp3o+pp3+++=them
to ^in++++=to
a ^at++++=a
world ^nn++++=world
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
ever ^rb++++=ever
eager ^jj+pred+++=eager
to ^to+jcmp+++=to
applaud ^vbi++++=applaud
such ^abl++++=such
genius ^nn++++=genius,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
1762 ^cd+date+++=1762
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
his ^pp$+pp3+++=his
first ^od++++=first
experiment ^nn+nom+++=experiment
of ^in++++=of
taking ^xvbg+++xvbg+=taking
the ^ati++++=the
children ^nns++++=children
on ^in++++=on
a ^at++++=a
concert ^nn++++=concert
tour ^nn++++=tour.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
successful ^jj++++=successful
that ^dt+dem+++=that
before ^cs+sub+++=before
Wolfgang ^np++++=Wolfgang
was ^vbd+bedz+vrb++=was
eight ^cd++++=eight
years ^nns++++=years
old ^jj++++=old
and ^cc++++=and
Nannerl ^np+++??+=Nannerl
twelve ^cd++++=twelve,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
appeared ^vprf+++xvbnx+=appeared
at ^rb++++=at
the ^ati++++=the
Courts ^nns++++=Courts
of ^in++++=of
Vienna ^np++++=Vienna,
, ^zz++++=EXTRAWORD
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
Munich ^np++++=Munich
and ^cc++++=and
London ^np++++=London,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everywhere ^rb++++=everywhere
Wolfgang ^np++++=Wolfgang
made ^vbd+++xvbn+=made
friends ^nns++++=friends
with ^in++++=with
rich ^jj++++=rich
and ^cc+phrs+++=and
poor ^jj++++=poor
alike ^jj++++=alike,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
personality ^nn+nom+++=personality
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
full ^jj++++=full
of ^in++++=of
charm ^nn++++=charm
and ^cc++++=and
simple ^jj+atrb+++=simple
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
during ^in++++=during
their ^pp$+pp3+++=their
travels ^nns++++=travels,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
detained ^vpsv++by+xvbn+=detained
by ^in++++=by
a ^at++++=a
heavy ^jj+atrb+++=heavy
shower ^nn++++=shower
at ^in++++=at
Ypps ^np+++??+=Ypps,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
took ^vbd+++xvbnx+=took
refuge ^nn++++=refuge
in ^in++++=in
a ^at++++=a
monastery ^nn+nom+++=monastery.
. ^zz++++=EXTRAWORD
The ^ati++++=The
monks ^nns++++=monks
were ^vbd+bed+vrb++=were
at ^in++++=at
supper ^nn++++=supper
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
of ^in++++=of
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
any ^dti++++=any
stranger ^nn+nom+++=stranger,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
suddenly ^rb++++=suddenly
from ^in++++=from
the ^ati++++=the
chapel ^nn++++=chapel
came ^vbd+++xvbn+=came
wonderful ^jj+atrb+++=wonderful
music ^nn++++=music,
, ^zz++++=EXTRAWORD
music ^nn++++=music
grave ^nn++++=grave
and ^cc++++=and
gay ^jj++++=gay,
, ^zz++++=EXTRAWORD
sad ^jj++++=sad,
, ^zz++++=EXTRAWORD
sweet ^jj++++=sweet,
, ^zz++++=EXTRAWORD
thrilling ^jj++++=thrilling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marvellous ^jj++++=marvellous
in ^in++++=in
its ^pp$+it+++=its
appeal ^nn++++=appeal
to ^in++++=to
hearts ^nns++++=hearts
and ^cc++++=and
souls ^nns++++=souls.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Fathers ^nns+nom+++=Fathers
were ^vbd+bed+aux++=were
frightened ^vpsv++agls+xvbnx+=frightened,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
knowing ^vbg+vprv++xvbg+=knowing
who ^whp+who+++=who
could ^md+pos+++=could
have ^vb+hv+aux++=have
entered ^vprf+++xvbnx+=entered
their ^pp$+pp3+++=their
sanctuary ^nn+nom+++=sanctuary,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
a ^at++++=a
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
at ^rb++++=at
last ^rb"++++=last
a ^at++++=a
light ^nn++++=light
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
creeping ^jj+++xvbg+=creeping
into ^in++++=into
the ^ati++++=the
chapel ^nn++++=chapel,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
discovered ^vbd+vprv++xvbnx+=discovered
little ^ap++++=little
Wolfgang ^np++++=Wolfgang
at ^in++++=at
the ^ati++++=the
organ ^nn++++=organ,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
vision ^nn++++=vision,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
just ^rb+emph+++=just
a ^at++++=a
mortal ^jj+atrb+++=mortal
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Fathers ^nns+nom+++=Fathers
were ^vbd+bed+aux++=were
overcome ^vpsv++agls+xvbnx+=overcome
with ^in++++=with
amazement ^nn+nom+++=amazement
and ^cc++++=and
lavished ^xvbn+++xvbn+=lavished
all ^rb++++=all
possible ^jj+atrb+++=possible
courtesies ^nns++++=courtesies
on ^in++++=on
the ^ati++++=the
wonderful ^jj+atrb+++=wonderful
little ^jj+atrb+++=little
musician ^nn++++=musician
and ^cc++++=and
his ^pp$+pp3+++=his
family ^nn++++=family
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
remained ^vbd+++xvbnx+=remained.
. ^zz++++=EXTRAWORD
On ^in++++=On
entering ^xvbg+++xvbg+=entering
Vienna ^np++++=Vienna,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
Custom ^nn++++=Custom
House ^nn++++=House,
, ^zz++++=EXTRAWORD
Wolfgang ^np++++=Wolfgang,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
brief ^jj+atrb+++=brief
chat ^nn++++=chat
with ^in++++=with
the ^ati++++=the
official ^jj++++=official
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
out ^rp+pl+++=out
his ^pp$+pp3+++=his
violin ^nn++++=violin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
played ^vpsv++agls+xvbn+=played
to ^in++++=to
the ^ati++++=the
official ^nn++++=official,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
delighted ^jj+++xvbn+=delighted
with ^in++++=with
the ^ati++++=the
boy ^nn++++=boy
and ^cc++++=and
his ^pp$+pp3+++=his
music ^nn++++=music,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
family ^nn++++=family
had ^vb+hv+vrb++=had
no ^at++++=no
trouble ^nn++++=trouble
with ^in++++=with
examination ^nn+nom+++=examination
of ^in++++=of
their ^pp$+pp3+++=their
luggage ^nn+nom+++=luggage,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
would ^md+prd+++=would
otherwise ^rb+cnj+++=otherwise
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Imperial ^jj+atrb+++=Imperial
family ^nn++++=family
of ^in++++=of
Vienna ^np++++=Vienna
were ^vbd+bed+vrb++=were
all ^abn++++=all
very ^ql+amp+++=very
fond ^jj++++=fond
of ^in++++=of
music ^nn++++=music,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
also ^rb++++=also
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
curiosity ^nn+nom+++=curiosity
greatly ^rb+amp+++=greatly
excited ^jj+++xvbn+=excited
in ^in++++=in
regard ^in"++++=regard
to ^in++++=to
this ^dt+dem+++=this
child ^nn++++=child
prodigy ^nn+++??+=prodigy,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
strange ^jj++++=strange
that ^tht+jcmp+++=that
only ^rb+down+++=only
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days
after ^cs+sub+++=after
the ^ati++++=the
Mozarts ^np+++??+=Mozarts
arrived ^vbd+++xvbn+=arrived,
, ^zz++++=EXTRAWORD
Leopold ^np++++=Leopold
should ^md+nec+++=should
have ^vb+hv+aux++=have
received ^vprf+++xvbnx+=received
a ^at++++=a
command ^nn++++=command
to ^to++++=to
bring ^vbi++++=bring
his ^pp$+pp3+++=his
children ^nns++++=children
to ^to++++=to
play ^vbi++++=play
at ^in+ppvb+++=at
Schoenbrum ^np+++??+=Schoenbrum,
, ^zz++++=EXTRAWORD
an ^at++++=an
imperial ^jj+atrb+++=imperial
palace ^nn++++=palace
near ^in+pl+++=near
Vienna ^np++++=Vienna,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
without ^in++++=without
any ^dti++++=any
effort ^nn++++=effort
on ^in++++=on
Mozart ^np++++=Mozart's
's ^$++++=EXTRAWORD
part ^nn++++=part
to ^to++++=to
get ^vbi++++=get
the ^ati++++=the
invitation ^nn+nom+++=invitation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Emperor ^nn++++=Emperor
was ^vbd+bedz+aux++=was
delighted ^vpsv++agls+xvbnx+=delighted
with ^in++++=with
the ^ati++++=the
little ^ap++++=little
" ^zz++++="sorcerer"
sorcerer ^jjr++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
Wolfgang ^np++++=Wolfgang,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
besides ^rb++++=besides
listening ^jj+++xvbg+=listening
to ^in++++=to
his ^pp$+pp3+++=his
real ^rb+emph+++=real
playing ^jj+++xvbg+=playing
with ^in++++=with
deepest ^jjt+atrb+++=deepest
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
him ^pp3o+pp3+++=him
play ^nn++++=play
with ^in++++=with
one ^cd1++++=one
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
little ^rb++++=little
fellow ^jjb++++=fellow
was ^vbd+bedz+vrb++=was
perfectly ^rb+amp+++=perfectly
successful ^jj+pred+++=successful.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
him ^pp3o+pp3+++=him
to ^to++++=to
play ^vbi++++=play
with ^in++++=with
the ^ati++++=the
keys ^nns++++=keys
covered ^vwbn+++xvbn+=covered
by ^in++++=by
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
cloth ^nn++++=cloth,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
instantly ^rb+cnj+++=instantly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
musical ^jj+atrb+++=musical
tricks ^nns++++=tricks
suggested ^vwbn+vpub++xvbn+=suggested
by ^in++++=by
the ^ati++++=the
Emperor ^np++++=Emperor's
's ^$++++=EXTRAWORD
fancy ^jj++++=fancy,
, ^zz++++=EXTRAWORD
thereafter ^nn+nom+++=thereafter
formed ^vbd+++xvbn+=formed
a ^at++++=a
far ^rb+pl+++=far
from ^rb"++++=from
unimportant ^jj+atrb+++=unimportant
part ^nn++++=part
of ^in++++=of
Wolfgang ^np++++=Wolfgang's
's ^$++++=EXTRAWORD
repertoire ^nn++++=repertoire
on ^in++++=on
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
concert ^nn++++=concert
tours ^nns++++=tours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
interested ^jj++++=interested
his ^pp$+pp3+++=his
audiences ^nns+nom+++=audiences.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
had ^vb+hv+vrb++=had
a ^at++++=a
keen ^jj+atrb+++=keen
sense ^nn++++=sense
of ^in++++=of
humour ^nn++++=humour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
entered ^vbd+++xvbn+=entered
heartily ^rb++++=heartily
into ^in++++=into
any ^dti++++=any
joke ^nn++++=joke
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sometimes ^rb++++=sometimes
he ^pp3a+pp3+++=he
could ^md+pos+++=could
be ^vb+be+vrb++=be
very ^ql+amp+++=very
serious ^jj++++=serious,
, ^zz++++=EXTRAWORD
as ^in++++=as
for ^in"++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
to ^to++++=to
play ^vbi++++=play
for ^in++++=for
the ^ati++++=the
court ^nn++++=court
composer ^nn+nom+++=composer,
, ^zz++++=EXTRAWORD
George ^np++++=George
Wagenseil ^np+++??+=Wagenseil,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
himself ^ppl+pp3+++=himself
a ^at++++=a
proficient ^jj+atrb+++=proficient
performer ^nn+nom+++=performer
on ^in++++=on
the ^ati++++=the
harpsichord ^nn++++=harpsichord.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Emperor ^npt++++=Emperor
