Richard ^np++++=Richard
colored ^jj+atrb++xvbn+=EXTRAWORD
bellies ^nns++++=bellies.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
father ^nn++++=father
Bruno ^np+++??+=Bruno,
, ^zz++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
hind ^jjb+atrb+++=hind
legs ^nns++++=legs
and ^cc++++=and
bare ^jj+atrb+++=bare
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
waddled ^j+++xvbn+=waddled
down ^rp++++=down
the ^ati++++=the
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
resembled ^vbd+++xvbnx+=resembled
a ^at++++=a
Hebrew ^jj+atrb+++=Hebrew
gentleman ^nn+nom+++=gentleman
in ^in++++=in
a ^at++++=a
brown ^jj+atrb+++=brown
bathing ^jj+atrb++xvbg+=bathing
suit ^nn++++=suit
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
his ^pp$+pp3+++=his
waist ^nn++++=waist-line.
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
tripped ^vbd+++xvbnx+=tripped
doubtfully ^rb++++=doubtfully
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
with ^in++++=with
mincing ^jj+atrb+++=mincing
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continually ^rb++++=continually
and ^cc+phrs+++=and
mournfully ^rb++++=mournfully
wagged ^vbd+++xvbn+=wagged
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
saying ^vbg+++xvbgx+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
water ^nn++++=water
is ^vbz+bez+vrb++=is
much ^ap++++=much
too ^ql++++=too
cold ^jj++++=cold
for ^in++++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
mamma ^npt++++=mamma
bear ^nn++++=bear
was ^vbd+bedz+aux++=was
dressed ^vpsv++agls+xvbnx+=dressed
in ^in++++=in
a ^at++++=a
poke ^nn++++=poke
bonnet ^nn++++=bonnet
and ^cc++++=and
white ^jj+atrb+++=white
apron ^nn++++=apron,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resembled ^vbd+++xvbn+=resembled
the ^ati++++=the
wolf ^nn++++=wolf
who ^whp+rel+obj++=who
frightened ^jj+++xvbn+=frightened
Little ^ap++++=Little
Red ^jj++++=Red
Riding ^jj+++xvbg+=Riding-Hood,
- ^zz++++=EXTRAWORD
hood ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ikey ^np+++??+=Ikey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
baby ^nn++++=baby
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
wore ^j+++xvbn+=wore
rakishly ^jj++++=rakishly
over ^in++++=over
one ^cd1++++=one
eye ^nn++++=eye
the ^ati++++=the
pointed ^jj+atrb++xvbn+=pointed
cap ^nn++++=cap
of ^in++++=of
a ^at++++=a
clown ^nn++++=clown.
. ^zz++++=EXTRAWORD
To ^in++++=To
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
their ^pp$+pp3+++=their
vaudeville ^np++++=vaudeville,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
indisputable ^jj+atrb+++=indisputable
evidence ^nn+nom+++=evidence
that ^tht+rel+obj++=that
Ikey ^np+++??+=Ikey
would ^md+prd+++=would
furnish ^vb++++=furnish
the ^ati++++=the
comic ^jj+atrb+++=comic
relief ^nn++++=relief.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
did ^vbd+dod+aux++=did
Ikey ^np+++??+=Ikey
disappoint ^vb++++=disappoint
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
wayward ^jj+atrb+++=wayward
son ^nn++++=son.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
his ^pp$+pp3+++=his
parents ^nns++++=parents
were ^vbd+bed+aux++=were
laboriously ^rb++splt++=laboriously
engaged ^vpsv++agls+xvbnx+=engaged
in ^in++++=in
a ^at++++=a
boxing ^jj+++xvbg+=boxing-match,
- ^zz++++=EXTRAWORD
match ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
dancing ^nvbg+++xvbg+=dancing
to ^in++++=to
the ^ati++++=the
" ^zz++++="Merry
merry ^jj+atrb+++=EXTRAWORD
Widow ^nn++++=Widow
Waltz ^nn++++=Waltz,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
balancing ^nn++++=balancing
on ^in++++=on
step ^nn++++=step-ladders,
- ^zz++++=EXTRAWORD
ladders ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ikey ^np+++??+=Ikey,
, ^zz++++=EXTRAWORD
on ^in++++=on
all ^abn++++=all
fours ^cds++++=fours,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
scamper ^jjr++++=scamper
to ^in++++=to
the ^ati++++=the
foot ^nn++++=foot-lights
- ^zz++++=EXTRAWORD
lights ^nns++++=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
make ^vb++++=make
a ^at++++=a
swift ^np++++=swift
grab ^nn++++=grab
at ^rb++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
first ^od++++=first
trombone ^nn++++=trombone.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
the ^ati++++=the
Countess ^nns+nom+++=Countess
Zichy ^np+++??+=Zichy,
, ^zz++++=EXTRAWORD
apprised ^xvbn+++xvbn+=apprised
by ^in++++=by
the ^ati++++=the
shouts ^nn++++=shouts
of ^in++++=of
the ^ati++++=the
audience ^nn+nom+++=audience
of ^in++++=of
Ikey ^np++++=Ikey's
's ^$++++=EXTRAWORD
misconduct ^nn++++=misconduct,
, ^zz++++=EXTRAWORD
waved ^j+++xvbn+=waved
a ^at++++=a
toy ^nn++++=toy
whip ^nn++++=whip,
, ^zz++++=EXTRAWORD
Ikey ^np+++??+=Ikey
would ^md+prd+++=would
gallop ^vb++++=gallop
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
pedestal ^nn+nom+++=pedestal
and ^cc++++=and
howl ^nn++++=howl
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
To ^in++++=To
every ^at++++=every
one ^pn++++=one,
, ^zz++++=EXTRAWORD
except ^in++++=except
Herrick ^np+++??+=Herrick
and ^cc++++=and
the ^ati++++=the
first ^od++++=first
trombone ^nn++++=trombone,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
playfulness ^nns+nom+++=playfulness
on ^in+cmpx+++=on
the ^in"++++=the
part ^in"++++=part
of ^in"++++=of
Ikey ^np+++??+=Ikey
furnished ^vbd+++xvbn+=furnished
great ^np++++=great
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
performances ^nns+nom+++=performances
of ^in++++=of
the ^ati++++=the
bears ^nn++++=bears
ended ^vbd+++xvbn+=ended
with ^in++++=with
Bruno ^np+++??+=Bruno
and ^cc++++=and
Clara ^np++++=Clara
dancing ^vwbg+++xvbg+=dancing
heavily ^rb++++=heavily
to ^in++++=to
the ^ati++++=the
refrain ^nn++++=refrain
of ^in++++=of
the ^ati++++=the
" ^zz++++="Merry
merry ^jj+atrb+++=EXTRAWORD
Widow ^nn++++=Widow
Waltz ^nn++++=Waltz,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Ikey ^np+++??+=Ikey
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
conduct ^vbi++++=conduct
the ^ati++++=the
music ^nn++++=music
of ^in++++=of
the ^ati++++=the
orchestra ^nn++++=orchestra.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
final ^nn++++=final
call ^vb++++=call,
, ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Zichy ^np+++??+=Zichy
threw ^vbd+++xvbn+=threw
to ^in++++=to
each ^dt++++=each
of ^in++++=of
the ^ati++++=the
animals ^nns+nom+++=animals
a ^at++++=a
beer ^nn++++=beer
bottle ^nn++++=bottle
filled ^vbd+++xvbn+=filled
with ^in++++=with
milk ^nn++++=milk;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
gusto ^nn++++=gusto
with ^in++++=with
which ^whp+rel+pied++=which
the ^ati++++=the
savage ^jj++++=savage-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
beasts ^nns++++=beasts
uncorked ^vbd+++xvbn+=uncorked
the ^ati++++=the
bottles ^nns++++=bottles
and ^cc++++=and
drank ^vpsv++agls+xvbn+=drank
from ^in++++=from
them ^pp3o+pp3+++=them
greatly ^rb+amp+++=greatly
amused ^vbd+++xvbn+=amused
the ^ati++++=the
audience ^nn+nom+++=audience.
. ^zz++++=EXTRAWORD
Ikey ^np+++??+=Ikey,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
on ^in++++=on
his ^pp$+pp3+++=his
hind ^jjb+atrb+++=hind
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^jjb++++=head
thrown ^vbd+++xvbn+=thrown
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
with ^in++++=with
both ^abx++++=both
paws ^nns+++??+=paws
clasping ^vwbg+++xvbg+=clasping
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
shoved ^j+++xvbn+=shoved
the ^ati++++=the
neck ^nn++++=neck
far ^rb+pl+++=far
down ^in++++=down
his ^pp$+pp3+++=his
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
hurling ^vbg+nom++xvbg+=hurling
it ^pp3+it+++=it
from ^in++++=from
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cocking ^vbg+++xvbg+=cocking
his ^pp$+pp3+++=his
clown ^vprf+++xvbn+=clown's
's ^vbz+bez+vrb++0=EXTRAWORD
hat ^nn++++=hat
over ^in++++=over
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
a ^at++++=a
masterful ^jj+atrb+++=masterful
imitation ^nn+nom+++=imitation
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
intoxicated ^jj+++xvbn+=intoxicated
bear ^vb+vprv+++=bear.
. ^zz++++=EXTRAWORD
" ^zz++++="That,"
that ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Herrick ^np+++??+=Herrick
hotly ^rb+cnj+++=hotly,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
a ^at++++=a
degrading ^jj+atrb++xvbg+=degrading
spectacle ^nn++++=spectacle.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
degrades ^vbz+++??+=degrades
the ^ati++++=the
bear ^nn++++=bear
and ^cc++++=and
degrades ^nns+++??+=degrades
me ^pp1o+pp1+++=me
and ^cc++++=and
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
bores ^nns++++=bores
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kelly ^np+++??+=Kelly.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
understood ^vbd+vprv++xvbn+=understood
nature ^nn++++=nature,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
retorted ^vbd+++xvbn+=retorted
Herrick ^np+++??+=Herrick,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
nature ^nn++++=nature's
's ^$++++=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
infuriate ^nn+nom+++=infuriate
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
to ^in++++=to
a ^at++++=a
music ^nn++++=music
hall ^nn++++=hall
to ^to++++=to
get ^vbi++++=get
infuriated ^vbd+++xvbn+=infuriated,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kelly ^np+++??+=Kelly.
. ^zz++++=EXTRAWORD
" ^zz++++="Trained
trained ^xvbn+++xvbn+=EXTRAWORD
dogs ^nns++++=dogs
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Herrick ^np+++??+=Herrick.
. ^zz++++=EXTRAWORD
" ^zz++++="Dogs
dogs ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
not ^xnot++not++=not
wild ^jj+atrb+++=wild
animals ^nns+nom+++=animals.
. ^zz++++=EXTRAWORD
The ^ati++++=The
things ^nns++++=things
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
trained ^vpsv++agls+xvbnx+=trained
to ^to++++=to
do ^vbi++++=do
are ^vb+ber+vrb++=are
of ^in++++=of
Use ^nn++++=USE.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
can ^md+pos+++=can
guard ^vb++++=guard
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
herd ^nn++++=herd
sheep ^nn++++=sheep.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
bear ^nn++++=bear
is ^vbz+bez+vrb++=is
a ^at++++=a
wild ^jj+atrb+++=wild
beast ^nn++++=beast.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
wild ^jj+atrb+++=wild
beast ^nn++++=beast.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
train ^nn++++=train
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi++vrb++=be
of ^in++++=of
use ^nn++++=use.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
degrading ^vbg+++xvbgx+=degrading
to ^to++++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
ride ^vb++++=ride
a ^at++++=a
bicycle ^nn++++=bicycle.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hate ^vb++++=hate
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
known ^vprf++tht0+xvbnx+=known
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
performing ^vbg+++xvbgx+=performing
bears ^nns++++=bears
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
known ^vprf++tht0+xvbnx+=known
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi++vrb++=be
here ^rn+pl+++=here
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kelly ^np+++??+=Kelly.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
we ^pp1a+pp1+++=we
go ^vb++++=go
to ^in++++=to
next ^ap++++=next?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
next ^in+cmpx+++=next
to ^in"++++=to
a ^at++++=a
restaurant ^nn+nom+++=restaurant
in ^in++++=in
a ^at++++=a
gayly ^nn++++=gayly
decorated ^vbd+++xvbn+=decorated
cellar ^nn++++=cellar.
. ^zz++++=EXTRAWORD
Into ^in++++=Into
this ^dt+dem+++=this
young ^jj+atrb+++=young
men ^nns++++=men
like ^in++++=like
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
beautiful ^jj+atrb+++=beautiful
ladies ^nns++++=ladies
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
anxious ^jj++++=anxious
to ^to+jcmp+++=to
hurl ^vbi++++=hurl
themselves ^ppls+pp3+++=themselves
that ^dt+dem+++=that
to ^to++++=to
restrain ^vbi++++=restrain
them ^pp3o+pp3+++=them
a ^at++++=a
rope ^nn++++=rope
was ^vbd+bedz+aux++=was
swung ^vpsv++agls+xvbnx+=swung
across ^in+pl+++=across
the ^ati++++=the
entrance ^nn+nom+++=entrance
and ^cc++++=and
page ^nn++++=page
boys ^nns++++=boys
stood ^vbd+++xvbn+=stood
on ^in++++=on
guard ^nn++++=guard.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
became ^vbd+++xvbn+=became
too ^rb++++=too
anxious ^jj++++=anxious
to ^to+jcmp+++=to
spend ^vbi++++=spend
his ^pp$+pp3+++=his
money ^nn++++=money,
, ^zz++++=EXTRAWORD
the ^ati++++=the
page ^nn++++=page
boys ^nns++++=boys
pushed ^vwbn+++xvbn+=pushed
in ^in++++=in
his ^pp$+pp3+++=his
shirt ^nn++++=shirt
front ^jjb++++=front.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
fought ^vprf+++xvbnx+=fought
their ^pp$+pp3+++=their
way ^nn++++=way
to ^in++++=to
a ^at++++=a
table ^nn++++=table,
, ^zz++++=EXTRAWORD
Herrick ^np+++??+=Herrick
ungraciously ^rb++++=ungraciously
remarked ^vbd+vpub+tht0+xvbn+=remarked
he ^pp3a+pp3+++=he
would ^md+prd+++=would
prefer ^vb+vprv+++=prefer
to ^to+vcmp+++=to
sup ^vbi++++=sup
in ^in++++=in
a ^at++++=a
subway ^nn++++=subway
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nn++++=people,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pointed ^vbd+++xvbnx+=pointed
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
more ^rbr++++=more
human ^jj+pred+++=human,
, ^zz++++=EXTRAWORD
the ^ati++++=the
decorations ^nns+nom+++=decorations
were ^vbd+bed+vrb++=were
much ^ap++++=much
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
Turkish ^jj++++=Turkish-bath
- ^zz++++=EXTRAWORD
bath ^np++++=EXTRAWORD
school ^nn++++=school
of ^in++++=of
art ^nn++++=art,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
no ^at++++=no
worse ^nn++++=worse.
. ^zz++++=EXTRAWORD
" ^zz++++="Cheer
cheer ^nn++++=EXTRAWORD
up ^rp++++=up,
, ^zz++++=EXTRAWORD
Clarence ^np+nom+++=Clarence!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
begged ^vbd+++xvbn+=begged
Jackson ^np++++=Jackson,
, ^zz++++=EXTRAWORD
" ^zz++++="you'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
soon ^rb+tm+++=soon
be ^vb+be+vrb++=be
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
Tomorrow ^nr+tm+++=To-morrow
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
among ^in++++=among
your ^pp$+pp2+++=your
tree ^nn++++=tree-toads
- ^zz++++=EXTRAWORD
toads ^nns++++=EXTRAWORD
and ^cc++++=and
sunsets ^nns++++=sunsets.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
hope ^nn++++=hope,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sighed ^vbd+++xvbnx+=sighed,
, ^zz++++=EXTRAWORD
" ^zz++++="no
no ^at++++=EXTRAWORD
one ^cd1++++=one
will ^md+prd+++=will
try ^vb++++=try
to ^to+vcmp+++=to
stop ^vbi++++=stop
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
worries ^nns++++=worries
me ^pp1o+pp1+++=me
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
explained ^vbd+vpub++xvbn+=explained
Herrick ^np+++??+=Herrick.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
thinking ^vb+++xvbg+=thinking
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
one ^cd1++++=one
night ^nn++++=night
of ^in++++=of
this ^dt+dem+++=this
artificial ^jj+atrb+++=artificial
life ^nn++++=life
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
hard ^jj++++=hard
upon ^in++++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
must ^md+nec+++=must
it ^pp3+it+++=it
be ^vb+be+vrb++=be
to ^in++++=to
those ^dt+dem+++=those
bears ^nns++++=bears!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kelly ^np+++??+=Kelly
exclaimed ^vbd+++xvbn+=exclaimed,
, ^zz++++=EXTRAWORD
with ^in++++=with
exasperation ^nn+nom+++=exasperation:
: ^zz++++=EXTRAWORD
" ^zz++++="Confound
confound ^vb++++=EXTRAWORD
the ^ati++++=the
bears ^nns++++=bears!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
spoil ^vb++++=spoil
my ^pp$+pp1+++=my
supper ^nn++++=supper
weeping ^nn++++=weeping
over ^in++++=over
animals ^nns+nom+++=animals,
, ^zz++++=EXTRAWORD
weep ^nn++++=weep
over ^in++++=over
cart ^nn++++=cart-horses.
- ^zz++++=EXTRAWORD
horses ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
work ^vb++++=work.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
bears ^nns++++=bears
are ^vb+ber+vrb++=are
loafers ^nns+nom+++=loafers.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+aux++0=EXTRAWORD
as ^cs+sub+splt++=as
well ^rb++++=well
fed ^vwbn+++xvbn+=fed
as ^ql++++=as
pet ^np++++=pet
canaries ^nns++++=canaries.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
aristocrats ^nns++++=aristocrats."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
free ^jj+atrb+++=free
life ^nn++++=life!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
protested ^vbd+vpub++xvbn+=protested
Herrick ^np+++??+=Herrick.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
life ^nn++++=life
they ^pp3a+pp3+++=they
love ^vb++++=love."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
darned ^jj+atrb+++=darned
sight ^nn++++=sight
better ^jjr++++=better,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
declared ^vbd+vpub++xvbn+=declared
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
than ^in++++=than
sleeping ^xvbg+++xvbg+=sleeping
in ^in++++=in
a ^at++++=a
damp ^nn++++=damp
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
eating ^nvbg+++xvbg+=eating
raw ^jj+atrb+++=raw
blackberries ^nns++++=blackberries----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
more ^ql++++=more
you ^pp2+pp2+++=you
say ^vb+vpub+++=say,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
retorted ^vbd+++xvbn+=retorted
Herrick ^np+++??+=Herrick,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
more ^ql++++=more
you ^pp2+pp2+++=you
show ^vb+vprv+tht0++=show
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
nothing ^pn++++=nothing
whatsoever ^nn+nom+++=whatsoever
of ^in++++=of
nature ^nn++++=nature's
's ^$++++=EXTRAWORD
children ^nns++++=children
and ^cc++++=and
their ^pp$+pp3+++=their
habits ^nns++++=habits."
