She ^pp3a+pp3+++=She
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you
so ^ql++++=so
that ^cs+sub+++=that
nothing ^pn++++=nothing
can ^md+pos+++=can
harm ^vb++++=harm
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
love ^nn++++=love
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
charm ^nn++++=charm.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
hang ^vb++++=hang
around ^rp++++=around
your ^pp$+pp2+++=your
neck ^nn++++=neck
and ^cc++++=and
protect ^vb++++=protect
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keep ^vb++++=keep
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bring ^vb++++=bring
you ^pp2+pp2+++=you
back ^jjb++++=back
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
in ^in++++=in
danger ^nn++++=danger
my ^pp$+pp1+++=my
love ^nn++++=love
will ^md+prd+++=will
save ^vb++++=save
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
For ^in+strn+++=For,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
it ^pp3+it+++=it
lives ^vbz++++=lives,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
live ^vb++++=live.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
it ^pp3+it+++=it
dies ^vbz++++=dies--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Chesterton ^np+++??+=Chesterton
kissed ^vbd+++xvbn+=kissed
her ^pp$+pp3+++=her
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
happens ^vbz+vsua+++=happens
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="doesn't
does ^vbz+doz+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
matter ^nn++++=matter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
war ^nn++++=war
game ^nn++++=game
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
its ^pp$+it+++=its
happy ^jj++++=happy-go-lucky
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
lucky ^jj+atrb+++=EXTRAWORD
course ^nn++++=course
briefly ^rb++++=briefly
and ^cc+phrs+++=and
brilliantly ^rb+cnj+++=brilliantly,
, ^zz++++=EXTRAWORD
with ^in++++=with
" ^zz++++="glory
glory ^nn++++=EXTRAWORD
enough ^dt++++=enough
for ^in++++=for
all ^rb+cnj+++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
even ^rb++++=even
for ^in++++=for
Chesterton ^np+++??+=Chesterton.
. ^zz++++=EXTRAWORD
For ^in+strn+++=For,
, ^zz++++=EXTRAWORD
in ^in++++=in
no ^at++++=no
previous ^jj+atrb+++=previous
campaign ^nn++++=campaign
had ^vb+hv+vrb++=had
good ^jj+atrb+++=good
fortune ^nn++++=fortune
so ^ql++++=so
persistently ^rb++++=persistently
stood ^vbd+++xvbn+=stood
smiling ^jj+++xvbg+=smiling
at ^rb++++=at
his ^pp$+pp3+++=his
elbow ^nn++++=elbow.
. ^zz++++=EXTRAWORD
At ^rb++++=At
each ^dt++++=each
moment ^nn++++=moment
of ^in++++=of
the ^ati++++=the
war ^nn++++=war
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
critical ^jj+pred+++=critical,
, ^zz++++=EXTRAWORD
picturesque ^jj++++=picturesque,
, ^zz++++=EXTRAWORD
dramatic ^jj++++=dramatic,
, ^zz++++=EXTRAWORD
by ^in++++=by
some ^dti++++=some
lucky ^jj+atrb+++=lucky
accident ^nn++++=accident
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
himself ^ppl+pp3+++=himself
among ^in++++=among
those ^dt+dem+++=those
present ^nn++++=present.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
lose ^vb++++=lose.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
when ^wrb+who+++=when
his ^pp$+pp3+++=his
press ^nn++++=press
boat ^nn++++=boat
broke ^vbd+++xvbn+=broke
down ^rp++++=down
at ^rb++++=at
Cardenas ^np+++??+=Cardenas,
, ^zz++++=EXTRAWORD
a ^at++++=a
Yankee ^jj+atrb+++=Yankee
cruiser ^nn++++=cruiser
and ^cc++++=and
two ^cd++++=two
Spanish ^jj+atrb+++=Spanish
gun ^nn++++=gun-boats,
- ^zz++++=EXTRAWORD
boats ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
apparently ^rb++++=apparently
for ^in++++=for
his ^pp$+pp3+++=his
sole ^jjb+atrb+++=sole
benefit ^nn++++=benefit,
, ^zz++++=EXTRAWORD
engaged ^xvbn+++xvbn+=engaged
in ^in++++=in
an ^at++++=an
impromptu ^jj+atrb+++=impromptu
duel ^nn++++=duel
within ^in++++=within
range ^nn++++=range
of ^in++++=of
his ^pp$+pp3+++=his
megaphone ^nn++++=megaphone.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
his ^pp$+pp3+++=his
horse ^nn++++=horse
went ^vbd+++xvbn+=went
lame ^jj++++=lame,
, ^zz++++=EXTRAWORD
the ^ati++++=the
column ^nn++++=column
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
wished ^vprf+++xvbnx+=wished
to ^to+vcmp+++=to
advance ^nn+nom+++=advance,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
the ^ati++++=the
front ^jjb++++=front
unmolested ^jj++++=unmolested,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
rear ^jjb+atrb+++=rear
guard ^nn++++=guard,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
join ^vbi++++=join
his ^pp$+pp3+++=his
fortune ^nn++++=fortune,
, ^zz++++=EXTRAWORD
fought ^j+++xvbn+=fought
its ^pp$+it+++=its
way ^nn++++=way
through ^in++++=through
the ^ati++++=the
stifling ^jj+atrb+++=stifling
underbrush ^nn+++??+=underbrush.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
his ^pp$+pp3+++=his
news ^nn++++=news
despatches ^nns+++??+=despatches,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
singing ^vbg+++xvbg+=singing
the ^ati++++=the
praises ^nns++++=praises
of ^in++++=of
his ^pp$+pp3+++=his
fellow ^jjb++++=fellow-countrymen,
- ^zz++++=EXTRAWORD
countrymen ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
copying ^jj+atrb++xvbg+=copying
lists ^nns++++=lists
of ^in++++=of
their ^pp$+pp3+++=their
killed ^vprf+++xvbn+=killed
and ^cc+phrs+++=and
wounded ^vprf+++xvbn+=wounded,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote
to ^in++++=to
Miss ^npt++++=Miss
Armitage ^np+nom+++=Armitage.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
letters ^nns+nom+++=letters
were ^vbd+bed+aux++=were
scrawled ^vpsv++agls+xvbnx+=scrawled
on ^in++++=on
yellow ^jj+atrb+++=yellow
copy ^nn++++=copy
paper ^nn++++=paper
and ^cc++++=and
consisted ^vpsv++agls+xvbn+=consisted
of ^in++++=of
repetitions ^nns+nom+++=repetitions
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
words ^nns++++=words,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
love ^nn++++=love
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
rearranged ^jj+++xvbn+=rearranged,
, ^zz++++=EXTRAWORD
illuminated ^j+++xvbn+=illuminated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
intensified ^jj+++xvbn+=intensified.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
letter ^nn++++=letter
began ^vbd+++xvbn+=began
much ^rb++++=much
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
war ^nn++++=war
is ^vbz+bez+aux++=is
still ^rb++splt++=still
going ^vbg+++xvbgx+=going
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
read ^vb+vprv++xvbn+=read
about ^in++++=about
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
know ^vbi+vprv+++=know
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you
as ^ql++++=as
no ^at++++=no
man ^nn++++=man
ever ^rb++++=ever--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^rb++++=And
so ^rb"++++=so
on ^rb"++++=on
for ^in++++=for
many ^ap++++=many
pages ^nns++++=pages.
. ^zz++++=EXTRAWORD
From ^in++++=From
her ^pp$+pp3+++=her
only ^rb+down+++=only
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
letters ^nns+nom+++=letters
she ^pp3a+pp3+++=she
wrote ^vbd+vprv++xvbnx+=wrote
reached ^vprf+++xvbn+=reached
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
picked ^vpsv++agls+xvbnx+=picked
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
sand ^nn++++=sand
at ^in++++=at
Siboney ^np+++??+=Siboney
after ^in++++=after
the ^ati++++=the
medical ^jj+atrb+++=medical
corps ^nn++++=corps,
, ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
effort ^nn++++=effort
to ^to+ncmp+++=to
wipe ^vbi++++=wipe
out ^rb+phrv+++=out
the ^ati++++=the
yellow ^jj++++=yellow-fever,
- ^zz++++=EXTRAWORD
fever ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
set ^vprf+++xvbnx+=set
fire ^nn++++=fire
to ^in++++=to
the ^ati++++=the
postoffice ^nn+++??+=postoffice
tent ^nn++++=tent.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
it ^pp3+it+++=it
some ^dti++++=some
weeks ^nns++++=weeks
before ^in++++=before
from ^in++++=from
her ^pp$+pp3+++=her
summer ^nn++++=summer
home ^nr++++=home
at ^in++++=at
Newport ^np++++=Newport,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
it ^pp3+it+++=it
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
no ^at++++=no
woman ^nn++++=woman
could ^md+pos+++=could
love ^vb++++=love
more ^rbr++++=more
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
one ^cd1++++=one
girl ^nn++++=girl
who ^whp+rel+subj++=who
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
cannot ^md+pos+not++=cannot
write ^vb++++=write
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
can ^md+pos+++=can
never ^rb++splt++=never
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
just ^rb+emph+splt++=just
believe ^vb+vprv+++=believe.
. ^zz++++=EXTRAWORD
" ^zz++++="Each
each ^ppls++++=EXTRAWORD
day ^np++++=day
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
from ^in++++=from
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
for ^in++++=for
as ^in++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
paper ^nn++++=paper
comes ^vbz++++=comes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
it ^pp3+it+++=it
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
rocks ^nns++++=rocks
and ^cc++++=and
read ^vb+vprv+tht0+xvbn+=read
your ^pp$+pp2+++=your
cables ^nns++++=cables,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
look ^vb++++=look
south ^nr+pl+++=south
across ^in+pl+++=across
the ^ati++++=the
ocean ^nn++++=ocean
to ^in++++=to
Cuba ^np++++=Cuba,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
try ^vb++++=try
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
you ^pp2+pp2+++=you
in ^in++++=in
all ^abn++++=all
that ^dt+dem+++=that
fighting ^jj+++xvbg+=fighting
and ^cc++++=and
heat ^nn++++=heat
and ^cc++++=and
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
afraid ^jj++++=afraid.
. ^zz++++=EXTRAWORD
For ^in++++=For
each ^dt++++=each
morning ^nn++++=morning
I ^pp1a+pp1+++=I
wake ^vb++++=wake
to ^to++++=to
find ^vbi+vprv+tht0++=find
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you
more ^ql++++=more;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
grown ^vprf+++xvbnx+=grown
stronger ^jjr++++=stronger,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
wonderful ^jj++++=wonderful,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
hard ^jj++++=hard
to ^to+jcmp+++=to
bear ^vbi+vprv+++=bear.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
the ^ati++++=the
charm ^nn++++=charm
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
you ^pp2+pp2+++=you
grows ^vbz++++=grows
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
more ^rbr++++=more
powerful ^jj+pred+++=powerful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
will ^md+prd+++=will
bring ^vb++++=bring
you ^pp2+pp2+++=you
back ^jjb++++=back
to ^in++++=to
me ^pp1o+pp1+++=me
wearing ^vbg+++xvbg+=wearing
new ^jj+atrb+++=new
honors ^nns++++=honors,
, ^zz++++=EXTRAWORD
' ^zz++++='bearing
bearing ^vbg+++xvbg+=EXTRAWORD
your ^pp$+pp2+++=your
sheaves ^nns++++=sheaves
with ^in++++=with
you ^pp2+pp2+++=you.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="As
as ^cs+sub+++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
cared ^vbd+++xvbnx+=cared
for ^in+ppvb+++=for
your ^pp$+pp2+++=your
new ^jj+atrb+++=new
honors ^nns++++=honors.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
You ^pp2+pp2+++=YOU,
, ^zz++++=EXTRAWORD
You ^pp2+pp2+++=YOU,
, ^zz++++=EXTRAWORD
You ^pp2+pp2+++=YOU--only
-- ^--+clp+++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
You ^pp2+pp2+++=YOU."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Santiago ^np+++??+=Santiago
surrendered ^vbd+++xvbn+=surrendered
and ^cc++++=and
the ^ati++++=the
invading ^jj+atrb+++=invading
army ^nn++++=army
settled ^vbd+++xvbn+=settled
down ^rp++++=down
to ^to++++=to
arrange ^vbi++++=arrange
terms ^nns++++=terms
of ^in++++=of
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
imbibe ^jj+atrb++??+=imbibe
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
General ^jj+atrb+++=General
Miles ^nns++++=Miles
moved ^vbd+++xvbn+=moved
to ^in++++=to
Porto ^np+++??+=Porto
Rico ^np+++??+=Rico,
, ^zz++++=EXTRAWORD
Chesterton ^np+++??+=Chesterton
moved ^vbd+++xvbn+=moved
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^cs+sub+++=In
that ^cs"++++=that
pretty ^rb++++=pretty
little ^ap++++=little
island ^nn++++=island
a ^at++++=a
command ^nn++++=command
of ^in++++=of
regulars ^nns++++=regulars
under ^in++++=under
a ^at++++=a
general ^nn++++=general
of ^in++++=of
the ^ati++++=the
regular ^jj+atrb+++=regular
army ^nn++++=army
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
night ^nn++++=night
attack ^nn++++=attack,
, ^zz++++=EXTRAWORD
driven ^xvbn+++xvbn+=driven
back ^jjb++++=back
the ^ati++++=the
Spaniards ^nn++++=Spaniards
from ^in++++=from
Adhuntas ^np+++??+=Adhuntas.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
afternoon ^nn++++=afternoon
as ^in++++=as
the ^ati++++=the
column ^nn++++=column
was ^vbd+bedz+vrb++=was
in ^in++++=in
line ^nn++++=line
of ^in++++=of
march ^nn++++=march,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
men ^nns++++=men
were ^vbd+bed+aux++=were
shaking ^vbg+++xvbgx+=shaking
themselves ^ppls+pp3+++=themselves
into ^in++++=into
their ^pp$+pp3+++=their
accoutrements ^nns+nom+++=accoutrements,
, ^zz++++=EXTRAWORD
a ^at++++=a
dusty ^jj++++=dusty,
, ^zz++++=EXTRAWORD
sweating ^xvbg+++xvbg+=sweating
volunteer ^nn+nom+++=volunteer
staff ^nn++++=staff
officer ^nn++++=officer
rode ^vbd+++xvbn+=rode
down ^in++++=down
the ^ati++++=the
main ^jjb+atrb+++=main
street ^nn++++=street
of ^in++++=of
Adhuntas ^np+++??+=Adhuntas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
authority ^nn+nom+++=authority
of ^in++++=of
a ^at++++=a
field ^nn++++=field
marshal ^nn++++=marshal,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
up ^rp++++=up
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="General
general ^jj+atrb+++=EXTRAWORD
Miles ^np++++=Miles's
's ^$++++=EXTRAWORD
compliments ^nns+nom+++=compliments,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
panted ^vbd+++xvbnx+=panted,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
peace ^nn++++=peace
is ^vbz+bez+aux++=is
declared ^vpsv++agls+xvbnx+=declared!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Different ^jj+atrb+++=Different
men ^nns++++=men
received ^vbd+++xvbn+=received
the ^ati++++=the
news ^nn++++=news
each ^dt++++=each
in ^in++++=in
a ^at++++=a
different ^jj+atrb+++=different
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
whirled ^jj+++xvbn+=whirled
their ^pp$+pp3+++=their
hats ^nns++++=hats
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
and ^cc++++=and
cheered ^vbd+++xvbn+=cheered.
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
who ^whp+rel+subj++=who
saw ^vbd+vprv++xvbn+=saw
promotion ^nn+nom+++=promotion
and ^cc++++=and
the ^ati++++=the
new ^jj+atrb+++=new
insignia ^nn+++??+=insignia
on ^in++++=on
their ^pp$+pp3+++=their
straps ^nns++++=straps
vanish ^vb++++=vanish,
, ^zz++++=EXTRAWORD
swore ^j+++xvbn+=swore
deeply ^rb++++=deeply.
. ^zz++++=EXTRAWORD
Chesterton ^np+++??+=Chesterton
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
his ^pp$+pp3+++=his
saddle ^nn++++=saddle-bags
- ^zz++++=EXTRAWORD
bags ^nns++++=EXTRAWORD
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
distribute ^vbi++++=distribute
his ^pp$+pp3+++=his
possessions ^nns++++=possessions
among ^in++++=among
the ^ati++++=the
enlisted ^jj+atrb++xvbn+=enlisted
men ^nns++++=men.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
remobilized ^vprf+++xvbnx+=remobilized,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
effects ^nns++++=effects
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
a ^at++++=a
change ^nn++++=change
of ^in++++=of
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
camera ^nn++++=camera,
, ^zz++++=EXTRAWORD
water ^nn++++=water-bottle,
- ^zz++++=EXTRAWORD
bottle ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
medicine ^nn++++=medicine
case ^nn++++=case.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
present ^vb++++=present
state ^nn++++=state
of ^in++++=of
health ^nn++++=health
and ^cc++++=and
spirits ^nns++++=spirits
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
believe ^vb+vprv+tht0++=believe
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
in ^in++++=in
need ^in"++++=need
of ^in"++++=of
the ^ati++++=the
medicine ^nn++++=medicine
case ^nn++++=case,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
gift ^nn++++=gift
from ^in++++=from
Miss ^npt++++=Miss
Armitage ^np+nom+++=Armitage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vpsv++agls+xvbn+=carried
with ^in++++=with
it ^pp3+it+++=it
a ^at++++=a
promise ^nn++++=promise
from ^in++++=from
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
always ^rb++++=always
would ^md+prd+++=would
carry ^vb++++=carry
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
" ^zz++++="packed"
packed ^jj+++xvbn+=EXTRAWORD
" ^zz++++=EXTRAWORD
it ^pp3+it+++=it
throughout ^in++++=throughout
the ^ati++++=the
campaign ^nn++++=campaign,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
others ^aps++++=others
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
proved ^vprf+++xvbnx+=proved
of ^in++++=of
value ^nn++++=value.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
leaving ^vbg+++xvbgx+=leaving
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
an ^at++++=an
officer ^nn++++=officer
enviously ^jj++++=enviously.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
leaving ^vbg+++xvbgx+=leaving
you ^pp2+pp2+++=you
so ^ql+emph+++=so
quick ^jj++++=quick,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Chesterton ^np+++??+=Chesterton
laughing ^vwbg+++xvbg+=laughing,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
see ^vb+vprv+++=see
the ^ati++++=the
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
transport ^nn++++=transport
starts ^vbz++++=starts
from ^in++++=from
Mayaguez ^np+++??+=Mayaguez
at ^in++++=at
six ^cd++++=six
tomorrow ^nr+tm+++=to-morrow
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
catch ^vb++++=catch
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
pony ^nn++++=pony
will ^md+prd+++=will
die ^vb++++=die
on ^in++++=on
the ^ati++++=the
wharf ^nn++++=wharf."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
road ^nn++++=road
to ^in++++=to
Mayaguez ^np+++??+=Mayaguez
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
healthy ^jj++++=healthy
for ^in++++=for
Americans ^nns+nom+++=Americans,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
general ^nn++++=general
in ^in++++=in
command ^nn++++=command.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
