Tim ^np++++=TIM
not ^xnot++not++=not
enter ^vb++++=enter
till ^cs+sub+++=till
she ^pp3a+pp3+++=she
touched ^vbd+++xvbnx+=touched
the ^ati++++=the
button ^nn++++=button
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
illuminated ^jj+++xvbn+=illuminated
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
if ^cs+cnd+++=if
it ^pp3+it+++=it
so ^ql+emph+++=so
happened ^jj+++xvbn+=happened
that ^dt+dem+++=that
the ^ati++++=the
lights ^nns++++=lights
were ^vbd+bed+aux++=were
turned ^vpsv++agls+xvbnx+=turned
off ^in+pl+++=off
in ^in++++=in
the ^ati++++=the
night ^nn++++=night
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
awoke ^vbd+++xvbnx+=awoke
to ^to++++=to
find ^vbi+vprv+tht0++=find
himself ^ppl+pp3+++=himself
in ^in++++=in
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shrieked ^vbd+++xvbnx+=shrieked
till ^in++++=till
the ^ati++++=the
woman ^nn++++=woman
came ^vbd+++xvbn+=came
running ^nvbg+++xvbg+=running
to ^in++++=to
his ^pp$+pp3+++=his
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
derisive ^jj+atrb+++=derisive
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
them ^pp3o+pp3+++=them
on ^in++++=on
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
after ^cs+sub+++=after
these ^dt+dem+++=these
frights ^nns+++??+=frights
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
trembling ^jj+++xvbg+=trembling
and ^cc+phrs+++=and
white ^jj++++=white
in ^in++++=in
his ^pp$+pp3+++=his
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
be ^vbi+vbi+aux++=be
alarmed ^vpsv++agls+xvbnx+=alarmed
for ^in++++=for
the ^ati++++=the
clever ^jj++++=clever,
, ^zz++++=EXTRAWORD
gold ^nn++++=gold-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
little ^ap++++=little
machine ^nn++++=machine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
renew ^vbi++++=renew
her ^pp$+pp3+++=her
assiduities ^nns+nom+++=assiduities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
horde ^nn++++=horde
more ^rbr++++=more
tenaciously ^jj++++=tenaciously
than ^in++++=than
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
valuable ^jj+atrb+++=valuable
curios ^nns++++=curios
on ^in++++=on
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
some ^dti++++=some
day ^nn++++=day
expected ^vwbn+vprv++xvbn+=expected
to ^to+vcmp+++=to
realize ^vbi+vprv+++=realize
when ^wrb+who+whcl++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
longer ^rbr++++=longer
in ^in++++=in
a ^at++++=a
position ^nn+nom+++=position
to ^in++++=to
object ^nn++++=object
to ^in++++=to
their ^pp$+pp3+++=their
barter ^vb++++=barter.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor's
'connor's ^nns+++??+0=EXTRAWORD
idiosyncrasy ^nn+++??+=idiosyncrasy
of ^in++++=of
fear ^nn++++=fear
was ^vbd+bedz+vrb++=was
a ^at++++=a
source ^nn++++=source
of ^in++++=of
much ^ap++++=much
amusement ^nn+nom+++=amusement
among ^in++++=among
the ^ati++++=the
boys ^nns++++=boys
at ^in++++=at
the ^ati++++=the
office ^nn++++=office
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
made ^vbd+++xvbnx+=made
open ^jj+atrb+++=open
sport ^nn++++=sport
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
recognizing ^jj+++xvbg+=recognizing
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
sensitive ^jj+atrb+++=sensitive
plant ^nn++++=plant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
granting ^vbg+++xvbg+=granting
that ^tht+vcmp+++=that
genius ^nn++++=genius
was ^vbd+bedz+aux++=was
entitled ^vpsv++agls+xvbnx+=entitled
to ^in++++=to
whimsicalities ^nns+nom+++=whimsicalities,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
their ^pp$+pp3+++=their
custom ^nn++++=custom
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
for ^in+ppvb+++=for
him ^pp3o+pp3+++=him
after ^in++++=after
work ^nn++++=work
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
to ^to++++=to
permit ^vbi++++=permit
him ^pp3o+pp3+++=him
to ^to++++=to
reach ^vbi++++=reach
the ^ati++++=the
lighted ^jj+atrb++xvbn+=lighted
corridor ^nn++++=corridor
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
turned ^vbd+++xvbnx+=turned
out ^rb+phrv+++=out
the ^ati++++=the
gas ^nn++++=gas
over ^in++++=over
his ^pp$+pp3+++=his
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
reasoned ^vbd+vprv++xvbnx+=reasoned,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
but ^cc++++=but
a ^at++++=a
slight ^jj+atrb+++=slight
service ^nn++++=service
to ^to++++=to
perform ^vbi++++=perform
for ^in++++=for
the ^ati++++=the
most ^ql+emph+++=most
enchanting ^jj+atrb+++=enchanting
beggar ^nn++++=beggar
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^jj++++=EXTRAWORD
fellow ^jjb++++=fellow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Rick ^np+++??+=Rick
Dodson ^np+++??+=Dodson,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
loved ^vbd+++xvbn+=loved
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
the ^ati++++=the
Devil ^nn++++=Devil
you ^pp2+pp2+++=you
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
see ^vbi+vprv+++=see?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
so ^ql++++=so,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
averse ^jj++++=averse?
? ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
the ^ati++++=the
Devil ^nn++++=Devil
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
such ^abl++++=such
a ^at++++=a
bad ^jj+atrb+++=bad
old ^jj+atrb+++=old
chap ^nn++++=chap."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
found ^vprf+++xvbn+=found
him ^pp3o+pp3+++=him
so ^ql++++=so?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tim,
tim ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
by ^in++++=by
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
explain ^vb+vpub+++=explain
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
A ^at++++=A
citizen ^nn++++=citizen
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
a ^at++++=a
student ^nn++++=student
of ^in++++=of
its ^pp$+it+++=its
purlieus ^nns+++??+=purlieus,
, ^zz++++=EXTRAWORD
like ^in++++=like
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
to ^to++++=to
know ^vbi+vprv+++=know!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
man ^nn++++=man
of ^in++++=of
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
a ^ap++++=a
few ^ap"++++=few
bad ^jj+atrb+++=bad
habits ^nns++++=habits
- ^zz++++=-such
such ^abl++++=EXTRAWORD
as ^ql++++=as
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
fad ^nn+++??+=fad
of ^in++++=of
yours ^pp$$++++=yours
madness ^nns+nom+++=madness?
? ^zz++++=EXTRAWORD
- ^zz++++=-which
which ^wdt+who+whq++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
quite ^rb++++=quite
to ^in++++=to
your ^pp$+pp2+++=your
credit ^nn++++=credit,
, ^zz++++=EXTRAWORD
- ^zz++++=-for
for ^in++++=EXTRAWORD
gadzooks ^nns+++??+=gadzooks,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
a ^at++++=a
lunatic ^jj++++=lunatic!
! ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
the ^ati++++=the
complaint ^nn++++=complaint
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
gathered ^vprf+++xvbnx+=gathered
too ^ql++++=too
much ^ap++++=much
data ^nns++++=data
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
Old ^jj+atrb+++=Old
Rye ^np+++??+=Rye?
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
suspect ^vb+vprv+++=suspect,
, ^zz++++=EXTRAWORD
something ^pn++++=something
more ^rbr++++=more
occult ^jj+++xvbn+=occult,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
more ^rbr++++=more
interesting ^jj++++=interesting?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Rick,
rick ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tim ^np++++=Tim,
, ^zz++++=EXTRAWORD
" ^zz++++="you're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
too ^ql++++=too
- ^zz++++=-inquiring!"
inquiring ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^in++++=to
his ^pp$+pp3+++=his
desk ^nn++++=desk
with ^in++++=with
a ^at++++=a
look ^nn++++=look
of ^in++++=of
delicate ^jj+atrb+++=delicate
hauteur ^nn+++??+=hauteur.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
very ^ql+amp+++=very
next ^ap++++=next
night ^nn++++=night
that ^tht+rel+obj++=that
these ^dt+dem+++=these
two ^cd++++=two
tippling ^nn+nom+++=tippling
pessimists ^nns+nom+++=pessimists
spent ^vbd+++xvbn+=spent
together ^nn+nom+++=together
talking ^vbg+++xvbg+=talking
about ^in++++=about
certain ^jj+atrb+++=certain
disgruntled ^jj+atrb+++=disgruntled
but ^cc+phrs+++=but
immortal ^jj+atrb+++=immortal
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
said ^vprf++tht0+xvbn+=said
their ^pp$+pp3+++=their
say ^vb+vpub+++=say
and ^cc+phrs+++=and
made ^vbd+++xvbn+=made
the ^ati++++=the
world ^nn++++=world
quite ^rb++++=quite
uncomfortable ^jj++++=uncomfortable,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
now ^rn+tm+splt++=now
journeyed ^vprf+++xvbnx+=journeyed
on ^in++++=on
to ^to++++=to
inquire ^vbi++++=inquire
into ^in++++=into
the ^ati++++=the
nothingness ^nns+nom+++=nothingness
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
postulated ^vbd+++xvbnx+=postulated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dawn ^nn++++=dawn
was ^vbd+bedz+aux++=was
breaking ^vbg+++xvbgx+=breaking
in ^rb+phrv+++=in
the ^ati++++=the
muggy ^nn+++??+=muggy
east ^np+pl+++=east;
; ^zz++++=EXTRAWORD
the ^ati++++=the
bottles ^nns++++=bottles
were ^vbd+bed+vrb++=were
empty ^jj+pred+++=empty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cigars ^nns++++=cigars
burnt ^vbd+++xvbn+=burnt
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Tim ^np++++=Tim
turned ^vbd+++xvbn+=turned
toward ^in++++=toward
his ^pp$+pp3+++=his
friend ^nn++++=friend
with ^in++++=with
a ^at++++=a
sharp ^nn++++=sharp
breaking ^vwbg+++xvbg+=breaking
of ^in++++=of
sociable ^jj+atrb+++=sociable
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
" ^zz++++="Rick,"
rick ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that
Fear ^vb++++=Fear
has ^vbz+hvz+vrb++=has
a ^at++++=a
Shape ^nn++++=Shape?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
so ^ql++++=so
has ^vbz+hvz+vrb++=has
my ^pp$+pp1+++=my
nose ^nn++++=nose!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
me ^pp1o+pp1+++=me
the ^ati++++=the
other ^ap++++=other
night ^nn++++=night
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
feared ^vbd+vprv++xvbnx+=feared.
. ^zz++++=EXTRAWORD
Holy ^jj+atrb+++=Holy
father ^nn++++=father,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
make ^vb++++=make
my ^pp$+pp1+++=my
confession ^nn++++=confession
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
fear ^vb++++=fear
is ^vbz+bez+aux++=is
Fear ^vb++++=Fear."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
because ^cs+cos+++=because
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
drunk ^vprf+++xvbnx+=drunk
too ^ql++++=too
much ^ap++++=much
- ^zz++++=-or
or ^cc++++=EXTRAWORD
not ^xnot++not++=not
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
costume ^nn++++=costume
then ^rn+tm+++=then
would ^md+prd+++=would
be ^vb+be+vrb++=be
too ^ql++++=too
nebulous ^jj++++=nebulous
for ^in++++=for
this ^dt+dem+++=this
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
true ^jj++++=true
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid
of ^in++++=of
ghosts ^nns++++=ghosts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
an ^at++++=an
agnostic ^jj++++=agnostic
that ^dt+pdem+++=that
seems ^vbz+seem+++=seems
a ^at++++=a
bit ^nn++++=bit
-- ^--+clp+++=--"
" ^zz++++=EXTRAWORD
" ^zz++++="Agnostic!
agnostic ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
so ^ql++++=so
completely ^rb+amp+++=completely
an ^at++++=an
agnostic ^jj++++=agnostic
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
even ^rb++++=even
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know!
! ^zz++++=EXTRAWORD
God ^np++++=God,
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+tht0++=mean
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
no ^at++++=no
ghosts ^nns++++=ghosts
- ^zz++++=-no
no ^at++++=EXTRAWORD
- ^zz++++=-no
no ^at++++=EXTRAWORD
things ^nns++++=things
which ^whp+rel+subj++=which
shape ^vb++++=shape
themselves ^ppls+pp3+++=themselves?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
things ^nns++++=things
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
-- ^--+clp+++=--"
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boy ^nn++++=boy!
! ^zz++++=EXTRAWORD
See ^vb+vprv+++=See,
, ^zz++++=EXTRAWORD
' ^zz++++='night's
night ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
candles ^nns++++=candles
are ^vb+ber+aux++=are
burnt ^vpsv++agls+xvbnx+=burnt
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jocund ^nn+++??+=jocund
day ^nn++++=day
stands ^vbz++++=stands
tiptoe ^nn+++??+=tiptoe
on ^in++++=on
the ^ati++++=the
misty ^jj+atrb+++=misty
mountain ^nn++++=mountain
top. ^nn+++??+=top.'"
'" ^nn+++??+=EXTRAWORD
Tim ^np++++=Tim
looked ^vbd+++xvbn+=looked
about ^rb++++=about
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
sickly ^jj+atrb+++=sickly
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him
and ^cc++++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
stared ^j+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
blank ^jj+atrb+++=blank
window ^nn++++=window,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
smoky ^jj+atrb+++=smoky
dawn ^nn++++=dawn
showed ^vbd+vprv++xvbn+=showed
its ^pp$+it+++=its
offensive ^jj+atrb+++=offensive
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pushed ^vbd+++xvbnx+=pushed
away ^rp+pl+++=away
the ^ati++++=the
moist ^jj+atrb+++=moist
hair ^nn++++=hair
from ^in++++=from
his ^pp$+pp3+++=his
haggard ^jj+atrb+++=haggard
face ^nn++++=face
- ^zz++++=-that
that ^dt+dem+++=EXTRAWORD
face ^nn++++=face
which ^whp+rel+subj++=which
would ^md+prd+++=would
look ^vb++++=look
like ^in++++=like
the ^ati++++=the
blessed ^jj+++xvbn+=blessed
St ^npt++++=St.
. ^zz++++=EXTRAWORD
John ^np++++=John,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaned ^vbd+++xvbn+=leaned
heavily ^rb++++=heavily
back ^jjb++++=back
in ^in++++=in
his ^pp$+pp3+++=his
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
" ^zz++++="'Yon
' ^zz++++=EXTRAWORD
yon ^nn+++??+=EXTRAWORD
light ^jj++++=light
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
daylight ^nn++++=daylight,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I, ^np+++??+=I,'"
'" ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
murmured ^vbd+++xvbnx+=murmured
drowsily ^jj++++=drowsily,
, ^zz++++=EXTRAWORD
" ^zz++++="'it
' ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
some ^dti++++=some
meteor ^nn++++=meteor
which ^whp+rel+obj++=which
the ^ati++++=the
sun ^nn++++=sun
exhales ^nns+++??+=exhales,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
to ^to++++=to
thee ^pp2+pp2+++=thee
this ^dt+dem+++=this
night ^nn++++=night
-- ^--+clp+++=--'"
' ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
floated ^vbd+++xvbn+=floated
off ^rp+pl+++=off
in ^in++++=in
languid ^jj+atrb+++=languid
nothingness ^nns+nom+++=nothingness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept.
. ^zz++++=EXTRAWORD
Dodson ^np+++??+=Dodson
arose ^vbd+++xvbn+=arose
preparatory ^vb++++=preparatory
to ^to+vcmp+++=to
stretching ^vbi++++=stretching
himself ^ppl+pp3+++=himself
on ^in++++=on
his ^pp$+pp3+++=his
couch ^nn++++=couch.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
first ^rb++++=first
he ^pp3a+pp3+++=he
bent ^vbd+++xvbnx+=bent
over ^in++++=over
his ^pp$+pp3+++=his
friend ^nn++++=friend
with ^in++++=with
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
tragic ^jj+atrb+++=tragic
appreciation ^nn+nom+++=appreciation.
. ^zz++++=EXTRAWORD
" ^zz++++="Damned
damned ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
the ^ati++++=the
skin ^nn++++=skin
of ^in++++=of
his ^pp$+pp3+++=his
teeth ^nns++++=teeth!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
muttered ^vbd+++xvbnx+=muttered.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
right ^jj++++=right,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Devil ^nn++++=Devil
would ^md+prd+++=would
have ^vb+hv+aux++=have
lost ^vprf+++xvbnx+=lost
a ^at++++=a
good ^jj++++=good
fellow ^jjb++++=fellow.
. ^zz++++=EXTRAWORD
As ^ql++++=As
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is"
" ^zz++++=EXTRAWORD
- ^zz++++=-he
he ^pp3a+pp3+++=EXTRAWORD
smiled ^vbd+++xvbnx+=smiled
with ^in++++=with
his ^pp$+pp3+++=his
usual ^jj+atrb+++=usual
conceited ^jj+atrb+++=conceited
delight ^nn++++=delight
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
sayings ^nns+++??+=sayings,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
uttered ^vpsv++agls+xvbnx+=uttered
in ^in++++=in
soliloquy ^nn+++??+=soliloquy
- ^zz++++=-"he
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
merely ^rb+down+++=merely
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
splendid ^jj+atrb+++=splendid
gentlemen ^nns++++=gentlemen
one ^cd1++++=one
will ^md+prd+++=will
meet ^vb++++=meet
with ^in+ppvb+++=with
in ^in++++=in
hell ^nn++++=hell."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Dodson ^np+++??+=Dodson
had ^vb+hv+vrb++=had
a ^at++++=a
momentary ^jj+atrb+++=momentary
nostalgia ^nn++++=nostalgia
for ^in++++=for
goodness ^nns+nom+++=goodness
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
soon ^rb+tm+++=soon
overcame ^vbd+++xvbn+=overcame
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stretching ^nvbg+++xvbg+=stretching
himself ^ppl+pp3+++=himself
on ^in++++=on
his ^pp$+pp3+++=his
sofa ^nn++++=sofa,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he,
