1700 ^cd+date+++=1700
certainly ^rb++++=certainly
the ^ati++++=the
steel ^nn++++=steel-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
knight ^nn++++=knight,
, ^zz++++=EXTRAWORD
with ^in++++=with
barbed ^jj+atrb+++=barbed
steed ^nn++++=steed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sword ^nn++++=sword
and ^cc++++=and
lance ^np++++=lance,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
disappeared ^vprf+++xvbnx+=disappeared
from ^in++++=from
the ^ati++++=the
battle ^nn++++=battle-field;
- ^zz++++=EXTRAWORD
field ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
most ^ql+emph+++=most
essential ^nn++++=essential
qualities ^nns+nom+++=qualities,
, ^zz++++=EXTRAWORD
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
faithfulness ^nns+nom+++=faithfulness,
, ^zz++++=EXTRAWORD
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
self ^nn++++=self-devotion,
- ^zz++++=EXTRAWORD
devotion ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
not ^xnot++not++=not
disappeared ^vprf+++xvbn+=disappeared
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
can ^md+pos+++=can
they ^pp3a+pp3+++=they
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
Christian ^jj+atrb+++=Christian
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
bear ^vb+vprv+++=bear
in ^in++++=in
mind ^vb++++=mind
that ^tht+vcmp+++=that
' ^zz++++='greater
greater ^jjr+atrb+++=EXTRAWORD
love ^nn++++=love
hath ^vbz+hvz+vrb++=hath
no ^at++++=no
man ^nn++++=man
than ^in++++=than
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
life ^nn++++=life
for ^in++++=for
his ^pp$+pp3+++=his
friend ^nn++++=friend'.
'. ^nn+++??+=EXTRAWORD
And ^cc++++=And
that ^cs+sub+++=that
terrible ^jj+atrb+++=terrible
compound ^nn++++=compound,
, ^zz++++=EXTRAWORD
gunpowder ^nn+nom+++=gunpowder,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
occasion ^nn++++=occasion
of ^in++++=of
many ^ap++++=many
another ^dt++++=another
daring ^jj+atrb++xvbg+=daring
deed ^nn++++=deed,
, ^zz++++=EXTRAWORD
requiring ^vbg+vsua++xvbg+=requiring
desperate ^jj+atrb+++=desperate
resolution ^nn+nom+++=resolution,
, ^zz++++=EXTRAWORD
to ^to++++=to
save ^vbi++++=save
others ^aps++++=others
at ^in+cmpx+++=at
the ^in"++++=the
expense ^in"++++=expense
of ^in"++++=of
a ^at++++=a
death ^nn++++=death
perhaps ^rb++++=perhaps
more ^rbr++++=more
frightful ^jj++++=frightful
to ^in++++=to
the ^ati++++=the
imagination ^nn+nom+++=imagination
than ^in++++=than
any ^dti++++=any
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Listen ^vb++++=Listen
to ^in++++=to
a ^at++++=a
story ^nn++++=story
of ^in++++=of
the ^ati++++=the
King ^np++++=King's
's ^$++++=EXTRAWORD
birthday ^nn++++=birthday
in ^in++++=in
Jersey ^np++++=Jersey
' ^zz++++='sixty
sixty ^cd++++=EXTRAWORD
years ^nns++++=years
since ^in++++=since'--in
'--in ^nn+++??+=EXTRAWORD
1804 ^cd+date+++=1804,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
that ^dt+dem+++=that
4 ^zz++++=4
th ^zz++++=th
of ^in++++=of
June ^nr++++=June
that ^tht+rel+obj++=that
Eton ^np++++=Eton
boys ^nns++++=boys
delight ^nn++++=delight
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
already ^rb++++=already
in ^in++++=in
the ^ati++++=the
forty ^cd++++=forty-fourth
- ^zz++++=EXTRAWORD
fourth ^od++++=EXTRAWORD
year ^nn++++=year
of ^in++++=of
its ^pp$+it+++=its
observance ^nn+nom+++=observance
in ^in++++=in
honor ^nn++++=honor
of ^in++++=of
the ^ati++++=the
then ^rn+tm+++=then
reigning ^jj+atrb+++=reigning
monarch ^nn++++=monarch,
, ^zz++++=EXTRAWORD
George ^np++++=George
Iii ^np+++??+=III.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
forts ^nns++++=forts
in ^in++++=in
the ^ati++++=the
island ^nn++++=island
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
due ^jj+atrb+++=due
honor ^nn++++=honor
to ^in++++=to
the ^ati++++=the
birthday ^nn++++=birthday
of ^in++++=of
His ^pp$+pp3+++=His
Majesty ^nn++++=Majesty,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
just ^rb+emph+++=just
recovered ^vbd+++xvbn+=recovered
from ^in++++=from
an ^at++++=an
attack ^nn++++=attack
of ^in++++=of
insanity ^nn+nom+++=insanity.
. ^zz++++=EXTRAWORD
In ^in++++=In
each ^dt++++=each
the ^ati++++=the
guns ^nns++++=guns
at ^in++++=at
noon ^nn++++=noon-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
thundered ^vbd+++xvbn+=thundered
out ^rp+pl+++=out
their ^pp$+pp3+++=their
royal ^jj+atrb+++=royal
salute ^nn++++=salute,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flashes ^nns++++=flashes
had ^vbd+hvd+aux++=had
answered ^vprf+++xvbnx+=answered
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
smoke ^nn++++=smoke
had ^vbd+hvd+aux++=had
wreathed ^vprf+++xvbnx+=wreathed
itself ^ppl++++=itself
away ^rp+pl+++=away
over ^in++++=over
the ^ati++++=the
blue ^jj+atrb+++=blue
sea ^nn++++=sea
of ^in++++=of
Jersey ^np++++=Jersey.
. ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj+atrb+++=new
fort ^nn++++=fort
on ^in++++=on
the ^ati++++=the
hill ^nn++++=hill
just ^rb+emph+++=just
above ^jjb++++=above
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Heliers ^nns+nom++??+=Heliers
had ^vbd+hvd+aux++=had
contributed ^vprf+++xvbnx+=contributed
its ^pp$+it+++=its
share ^nn++++=share
to ^in++++=to
the ^ati++++=the
loyal ^jj+atrb+++=loyal
thunders ^nns+nom+++=thunders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
shut ^vpsv++agls+xvbnx+=shut
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
keys ^nns++++=keys
carried ^vbd+++xvbn+=carried
away ^rp+pl+++=away
by ^in++++=by
Captain ^nn++++=Captain
Salmon ^nn++++=Salmon,
, ^zz++++=EXTRAWORD
the ^ati++++=the
artillery ^nn+nom+++=artillery
officer ^nn++++=officer
on ^in++++=on
guard ^nn++++=guard
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
locking ^jj++++=locking
up ^rp++++=up
therein ^rb++++=therein
209 ^cd++++=209
barrels ^nns++++=barrels
of ^in++++=of
gunpowder ^nn+nom+++=gunpowder,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
large ^jj+atrb+++=large
supply ^nn++++=supply
of ^in++++=of
bombshells ^nns+++??+=bombshells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
kind ^rb++++=kind
of ^rb"++++=of
ammunition ^nn+nom+++=ammunition
such ^abl++++=such
as ^ql++++=as
might ^md+pos+++=might
well ^rb++++=well
be ^vb+be+aux++=be
needed ^vpsv++agls+xvbnx+=needed
in ^in++++=in
the ^ati++++=the
Channel ^npl++++=Channel
islands ^nns++++=islands
the ^ati++++=the
year ^nn++++=year
before ^cs+sub+++=before
Lord ^npt++++=Lord
Nelson ^np++++=Nelson
had ^vbd+hvd+aux++=had
freed ^vprf+++xvbnx+=freed
England ^np++++=England
from ^in++++=from
the ^ati++++=the
chance ^nn++++=chance
of ^in++++=of
finding ^xvbg+++xvbg+=finding
the ^ati++++=the
whole ^jj+atrb+++=whole
French ^jj+atrb+++=French
army ^nn++++=army
on ^in++++=on
our ^pp$+pp1+++=our
coast ^nn++++=coast
in ^in++++=in
the ^ati++++=the
flat ^jj++++=flat-bottomed
- ^zz++++=EXTRAWORD
bottomed ^jj+atrb++xvbn+=EXTRAWORD
boats ^nns++++=boats
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
waiting ^vbg+++xvbgx+=waiting
at ^rb++++=at
Boulogne ^np++++=Boulogne
for ^in++++=for
the ^ati++++=the
dark ^jj+atrb+++=dark
night ^nn++++=night
that ^tht+rel+subj++=that
never ^rb++++=never
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
At ^rb++++=At
six ^cd++++=six
o'clock ^rb++++=o'clock
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Salmon ^nn++++=Salmon
went ^vbd+++xvbn+=went
to ^to++++=to
dine ^vbi++++=dine
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
officers ^nns+nom+++=officers
in ^in++++=in
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Heliers ^nns+nom++??+=Heliers
and ^cc++++=and
to ^to++++=to
drink ^vbi++++=drink
the ^ati++++=the
King ^np++++=King's
's ^$++++=EXTRAWORD
health ^nn++++=health,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
on ^in++++=on
guard ^vb++++=guard
beheld ^nn+++??+=beheld
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
smoke ^nn++++=smoke
curling ^vwbg+++xvbg+=curling
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
air ^nn++++=air-hole
- ^zz++++=EXTRAWORD
hole ^nn++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
magazine ^nn++++=magazine.
. ^zz++++=EXTRAWORD
Shouting ^vbg+vpub++xvbg+=Shouting
' ^zz++++='fire',
fire ^nn++++=EXTRAWORD
', ^nn+++??+=EXTRAWORD
they ^pp3a+pp3+++=they
ran ^vbd+++xvbnx+=ran
away ^rp+pl+++=away
to ^to++++=to
avoid ^vbi++++=avoid
an ^at++++=an
explosion ^nn++++=explosion
that ^tht+rel+subj++=that
would ^md+prd+++=would
have ^vb+hv+aux++=have
shattered ^vprf+++xvbnx+=shattered
them ^pp3o+pp3+++=them
to ^in++++=to
pieces ^nns++++=pieces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
might ^md+pos+++=might
perhaps ^rb++splt++=perhaps
endanger ^nn+nom+++=endanger
the ^ati++++=the
entire ^jjb+atrb+++=entire
town ^nn++++=town
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Heliers ^nns+nom++??+=Heliers.
. ^zz++++=EXTRAWORD
Happily ^rb++++=Happily
their ^pp$+pp3+++=their
shout ^vb++++=shout
was ^vbd+bedz+aux++=was
heard ^vpsv++by+xvbnx+=heard
by ^in++++=by
a ^at++++=a
man ^nn++++=man
of ^in++++=of
different ^jj+atrb+++=different
mould ^nn++++=mould.
. ^zz++++=EXTRAWORD
Lieutenant ^npt+nom+++=Lieutenant
Lys ^np++++=Lys,
, ^zz++++=EXTRAWORD
the ^ati++++=the
signal ^nn++++=signal
officer ^nn++++=officer,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
watch ^vb++++=watch-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coming ^vbg+++xvbg+=coming
out ^rp+pl+++=out
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perceived ^vbd+vprv++xvbn+=perceived
the ^ati++++=the
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Thomas ^np++++=Thomas
and ^cc++++=and
Edward ^np++++=Edward
Touzel ^np+++??+=Touzel,
, ^zz++++=EXTRAWORD
carpenters ^nns+nom+++=carpenters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sons ^nns++++=sons
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
up ^rp++++=up
to ^to++++=to
take ^vbi++++=take
down ^rb+phrv+++=down
a ^at++++=a
flagstaff ^nn+++??+=flagstaff
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++agls+xvbnx+=raised
in ^in++++=in
honor ^nn++++=honor
of ^in++++=of
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lys ^np++++=Lys
ordered ^vbd+++xvbn+=ordered
them ^pp3o+pp3+++=them
to ^to++++=to
hasten ^vbi++++=hasten
to ^in++++=to
the ^ati++++=the
town ^nn++++=town
to ^to++++=to
inform ^vbi++++=inform
the ^ati++++=the
commander ^npt+nom+++=commander-in-chief,
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
chief ^jjb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
get ^vb++++=get
the ^ati++++=the
keys ^nns++++=keys
from ^in++++=from
Captain ^nn++++=Captain
Salmon ^nn++++=Salmon.
. ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
endeavored ^vb+++xvbn+=endeavored
to ^to+vcmp+++=to
persuade ^vbi++++=persuade
his ^pp$+pp3+++=his
brother ^nn++++=brother
to ^to++++=to
accompany ^vbi++++=accompany
him ^pp3o+pp3+++=him
from ^in++++=from
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
danger ^nn++++=danger;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Edward ^np++++=Edward
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
die ^vb++++=die
some ^dti++++=some
day ^nn++++=day
or ^cc++++=or
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
do ^vb+do+vrb++=do
his ^pp$+pp3+++=his
best ^jjt++++=best
to ^to+jcmp+++=to
save ^vbi++++=save
the ^ati++++=the
magazine ^nn++++=magazine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
stop ^vbi++++=stop
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
runaway ^jjb+atrb+++=runaway
soldiers ^nns+nom+++=soldiers
to ^to++++=to
assist ^vbi++++=assist.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
refused ^vbd+++xvbn+=refused;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
another ^dt++++=another,
, ^zz++++=EXTRAWORD
William ^np++++=William
Ponteney ^np+++??+=Ponteney,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
3 ^zz++++=3
rd ^npl++++=rd,
, ^zz++++=EXTRAWORD
replied ^vb+++xvbn+=replied
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
die ^vbi++++=die
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
shook ^vbd+++xvbnx+=shook
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
Touzel ^np+++??+=Touzel
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
help ^nn++++=help
of ^in++++=of
a ^at++++=a
wooden ^jj+atrb+++=wooden
bar ^nn++++=bar
and ^cc++++=and
an ^at++++=an
axe ^nn++++=axe,
, ^zz++++=EXTRAWORD
broke ^j+++xvbn+=broke
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
fort ^nn++++=fort,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
making ^vbg+++xvbg+=making
his ^pp$+pp3+++=his
way ^nn++++=way
into ^in++++=into
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
the ^ati++++=the
case ^nn++++=case,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shouted ^vpsv++agls+xvbn+=shouted
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lys ^np++++=Lys
on ^in++++=on
the ^ati++++=the
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
' ^zz++++='the
the ^ati++++=EXTRAWORD
magazine ^nn++++=magazine
is ^vbz+bez+vrb++=is
on ^in++++=on
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
blow ^vb++++=blow
up ^rp++++=up,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
must ^md+nec+++=must
lose ^vb++++=lose
our ^pp$+pp1+++=our
lives ^nns++++=lives;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
huzza ^nn+++??+=huzza
for ^in++++=for
the ^ati++++=the
King ^nn++++=King!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
try ^vb++++=try
and ^cc+phrs+++=and
save ^vb++++=save
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
then ^rn+tm+++=then
rushed ^vbd+++xvbn+=rushed
into ^in++++=into
the ^ati++++=the
flame ^nn++++=flame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seizing ^vbg+++xvbg+=seizing
the ^ati++++=the
matches ^nns++++=matches,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
almost ^rb+hdg+splt++=almost
burnt ^vpsv++agls+xvbnx+=burnt
out ^rp+pl+++=out
( ^zz++++=(probably
probably ^rb++++=EXTRAWORD
splinters ^nns+nom+++=splinters
of ^in++++=of
wood ^npl++++=wood
tipped ^vwbn+++xvbn+=tipped
with ^in++++=with
brimstone ^nn+++??+=brimstone),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
them ^pp3o+pp3+++=them
by ^in++++=by
armfuls ^nns+nom+++=armfuls
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lys ^np++++=Lys
and ^cc++++=and
the ^ati++++=the
soldier ^nn++++=soldier
Ponteney ^np+++??+=Ponteney,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
stood ^vbd+++xvbn+=stood
outside ^jjb++++=outside
and ^cc+phrs+++=and
received ^jj+++xvbn+=received
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lys ^np++++=Lys
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
cask ^nn+++??+=cask
of ^in++++=of
water ^nn++++=water
near ^in+pl+++=near
at ^rb++++=at
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
to ^to++++=to
carry ^vbi++++=carry
the ^ati++++=the
water ^nn++++=water
in ^in++++=in
but ^cc++++=but
an ^at++++=an
earthen ^jj+atrb+++=earthen
pitcher ^nn++++=pitcher,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
own ^ap++++=own
hat ^nn++++=hat
and ^cc++++=and
the ^ati++++=the
soldier ^nn++++=soldier's.
's. ^nn+++??+=EXTRAWORD
These ^dt+pdem+++=These,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
filled ^vbd+++xvbnx+=filled
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
handed ^vpsv++agls+xvbn+=handed
to ^in++++=to
Touzel ^np+++??+=Touzel,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
thus ^rb+cnj+++=thus
extinguished ^vbd+++xvbn+=extinguished
all ^abn++++=all
the ^ati++++=the
fire ^nn++++=fire
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+++=see;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
smoke ^nn++++=smoke
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
dense ^jj++++=dense,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
in ^in++++=in
horrible ^jj+atrb+++=horrible
doubt ^nn++++=doubt
and ^cc++++=and
obscurity ^nn+nom+++=obscurity,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
suffocated ^xvbn+++xvbn+=suffocated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
his ^pp$+pp3+++=his
face ^nn++++=face
and ^cc++++=and
hands ^nns++++=hands
already ^rb++++=already
scorched ^vbd+++xvbn+=scorched.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beams ^nns++++=beams
over ^in++++=over
his ^pp$+pp3+++=his
head ^nn++++=head
were ^vbd+bed+vrb++=were
on ^in++++=on
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
large ^jj+atrb+++=large
cases ^nns++++=cases
containing ^vwbg+++xvbg+=containing
powder ^nn++++=powder
horns ^nns++++=horns
had ^vb+hv+aux++=had
already ^rb++splt++=already
caught ^vprf+++xvbnx+=caught,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
open ^jj+atrb+++=open
barrel ^nn++++=barrel
of ^in++++=of
gunpowder ^nn+nom+++=gunpowder
was ^vbd+bedz+vrb++=was
close ^jj+pred+++=close
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
awaiting ^vbg+++xvbg+=awaiting
the ^ati++++=the
fall ^nn++++=fall
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
brand ^nn++++=brand
to ^to++++=to
burst ^vbi++++=burst
into ^in+ppvb+++=into
a ^at++++=a
fatal ^jj+atrb+++=fatal
explosion ^nn++++=explosion.
. ^zz++++=EXTRAWORD
Touzel ^np+++??+=Touzel
called ^vbd+++xvbn+=called
out ^rp+pl+++=out
to ^in++++=to
entreat ^nn+++??+=entreat
for ^in++++=for
some ^dti++++=some
drink ^nn++++=drink
to ^to++++=to
enable ^vbi++++=enable
him ^pp3o+pp3+++=him
to ^to++++=to
endure ^vbi++++=endure
the ^ati++++=the
stifling ^jj++++=stifling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lys ^np++++=Lys
handed ^vbd+++xvbn+=handed
him ^pp3o+pp3+++=him
some ^dti++++=some
spirits ^nns++++=spirits-and-water,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
drank ^vbd+++xvbnx+=drank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
worked ^vpsv++agls+xvbn+=worked
on ^in+strn+++=on;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
the ^ati++++=the
officers ^nns+nom+++=officers
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
alarm ^nn++++=alarm,
, ^zz++++=EXTRAWORD
dispelled ^xvbn+++xvbn+=dispelled
the ^ati++++=the
panic ^nn++++=panic
among ^in++++=among
the ^ati++++=the
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
rescue ^nn++++=rescue.
. ^zz++++=EXTRAWORD
The ^ati++++=The
magazine ^nn++++=magazine
was ^vbd+bedz+aux++=was
completely ^rb+amp+splt++=completely
emptied ^vpsv++agls+xvbnx+=emptied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
last ^rb++++=last
smoldering ^jj+++xvbg+=smoldering
sparks ^np++++=sparks
extinguished ^vbd+++xvbn+=extinguished;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
whole ^nn++++=whole
of ^in++++=of
the ^ati++++=the
garrison ^nn++++=garrison
and ^cc++++=and
citizens ^nns++++=citizens
felt ^vbd+vprv++xvbn+=felt
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
owed ^vbd+++xvbnx+=owed
their ^pp$+pp3+++=their
lives ^nns++++=lives
to ^in++++=to
the ^ati++++=the
three ^cd++++=three
gallant ^jj+atrb+++=gallant
men ^nns++++=men
to ^to++++=to
whose ^whp+who+++=whose
exertions ^nns+nom+++=exertions
alone ^rb++++=alone
under ^in++++=under
Providence ^np+nom++??+=Providence,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
owing ^in++++=owing
that ^dt+dem+++=that
succor ^nn++++=succor
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vprf+++xvbn+=come
too ^ql++++=too
late ^jj++++=late.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
of ^in++++=of
all ^rb++++=all
was ^vbd+bedz+vrb++=was
honor ^nn++++=honor
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
Edward ^vb++++=Edward
Touzel ^np+++??+=Touzel,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
civilian ^nn++++=civilian,
, ^zz++++=EXTRAWORD
