[ ^zz++++=[The
tired ^vpsv++agls+xvbnx+=tired
out ^rp+pl+++=out
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
still ^jj+pred+++=still
more ^rbr++++=more
difficult ^jj++++=difficult
to ^to+jcmp+++=to
get ^vbi++++=get
along ^in+strn+++=along.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
glided ^vbd+++xvbnx+=glided
on ^in++++=on
to ^in++++=to
juniper ^jjr+atrb+++=juniper
bushes ^nns++++=bushes
and ^cc++++=and
caught ^vbd+++xvbn+=caught
my ^pp$+pp1+++=my
snow ^np++++=snow-shoes
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
in ^in++++=in
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
a ^at++++=a
tiny ^jj+atrb+++=tiny
fir ^nn++++=fir
tree ^nn++++=tree
appeared ^vbd+seem++xvbn+=appeared
between ^in++++=between
my ^pp$+pp1+++=my
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
from ^in++++=from
want ^nn++++=want
of ^in++++=of
practise ^nn++++=practise,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
snow ^np++++=snow-shoes
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
slipped ^vbd+++xvbn+=slipped
off ^in+strn+++=off;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
upon ^in+ppvb+++=upon
a ^at++++=a
stump ^nn++++=stump
or ^cc++++=or
a ^at++++=a
log ^&fo++++=log
hidden ^vpsv++by+xvbn+=hidden
by ^in++++=by
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
very ^ql+amp+++=very
tired ^jj+++xvbn+=tired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
drenched ^vpsv++agls+xvbnx+=drenched
with ^in++++=with
perspiration ^nn+nom+++=perspiration;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
off ^rb+phrv+++=off
my ^pp$+pp1+++=my
fur ^nn++++=fur
cloak ^nn++++=cloak.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
Damian ^np+++??+=Damian
all ^rb++++=all
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
gliding ^vbg+++xvbg+=gliding
along ^in++++=along
as ^cs+sub+++=as
if ^cs+cnd+++=if
in ^in++++=in
a ^at++++=a
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
snowshoes ^nns+++??+=snowshoes
moving ^vwbg+++xvbg+=moving
as ^cs+sub+++=as
if ^cs+cnd+++=if
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
accord ^nn++++=accord,
, ^zz++++=EXTRAWORD
never ^rb++++=never
catching ^jj+++xvbg+=catching
against ^in++++=against
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
slipping ^vbg+++xvbg+=slipping
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
even ^rb++++=even
took ^vbd+++xvbn+=took
my ^pp$+pp1+++=my
fur ^nn++++=fur
and ^cc++++=and
slung ^vbd+++xvbn+=slung
it ^pp3+it+++=it
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb++++=still
kept ^vbd+++xvbn+=kept
urging ^nvbg+++xvbg+=urging
me ^pp1o+pp1+++=me
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
on ^in++++=on
for ^in++++=for
two ^cd++++=two
more ^ql++++=more
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
marsh ^nn++++=marsh.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
lagging ^vbg+++xvbgx+=lagging
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
snow ^np++++=snow-shoes
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
kept ^vbd+++xvbn+=kept
slipping ^vbg+++xvbg+=slipping
off ^rp+pl+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
feet ^nns++++=feet
stumbled ^vbd+++xvbn+=stumbled.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
Damian ^np+++??+=Damian,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
ahead ^rb+pl+++=ahead
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped
and ^cc+phrs+++=and
waved ^jj+++xvbn+=waved
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
bent ^vbd+++xvbnx+=bent
down ^rp++++=down,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
with ^in++++=with
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whispered ^jj+++xvbn+=whispered:
: ^zz++++=EXTRAWORD
' ^zz++++='Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
the ^ati++++=the
magpie ^nn+++??+=magpie
chattering ^jj++++=chattering
above ^jjb++++=above
that ^dt+dem+++=that
undergrowth ^nn++++=undergrowth?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
scents ^nns++++=scents
the ^ati++++=the
bear ^nn++++=bear
from ^in++++=from
afar ^rb++++=afar.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
must ^md+nec+++=must
be ^vb+be+vrb++=be.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
turned ^vbd+++xvbn+=turned
off ^in+pl+++=off
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
on ^in++++=on
for ^in++++=for
more ^ql++++=more
than ^cs+sub+++=than
another ^dt++++=another
half ^abn++++=half-mile,
- ^zz++++=EXTRAWORD
mile ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presently ^rb+tm+++=presently
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
old ^jj+atrb+++=old
track ^nn++++=track
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
been ^vb+j+vrb+xvbn+=been
right ^jj++++=right
round ^in++++=round
the ^ati++++=the
bear ^nn++++=bear
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
within ^in++++=within
the ^ati++++=the
track ^nn++++=track
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
stopped ^vbd+++xvbn+=stopped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
off ^rb+phrv+++=off
my ^pp$+pp1+++=my
cap ^nn++++=cap
and ^cc++++=and
loosened ^vbd+++xvbn+=loosened
all ^abn++++=all
my ^pp$+pp1+++=my
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
as ^ql++++=as
hot ^jj++++=hot
as ^in++++=as
in ^in"++++=in
a ^at++++=a
steam ^nn++++=steam
bath ^nn++++=bath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
wet ^jj++++=wet
as ^ql++++=as
a ^at++++=a
drowned ^jj+atrb++xvbn+=drowned
rat ^nn++++=rat.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
too ^ql++++=too
was ^vbd+bedz+aux++=was
flushed ^vpsv++agls+xvbnx+=flushed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wiped ^vbd+++xvbn+=wiped
his ^pp$+pp3+++=his
face ^nn++++=face
with ^in++++=with
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
' ^zz++++='Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='we
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
our ^pp$+pp1+++=our
job ^nn++++=job,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
we ^pp1a+pp1+++=we
must ^md+nec+++=must
have ^vb+hv+vrb++=have
a ^at++++=a
rest ^nn++++=rest.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
evening ^nn++++=evening
glow ^nn++++=glow
already ^rb++++=already
showed ^vbd+vprv++xvbn+=showed
red ^jj++++=red
through ^in++++=through
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
took ^vbd+++xvbn+=took
off ^rb+phrv+++=off
our ^pp$+pp1+++=our
snow ^np++++=snow-shoes
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
and ^cc++++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
on ^rp++++=on
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vbd+++xvbn+=got
some ^dti++++=some
bread ^nn++++=bread
and ^cc++++=and
salt ^nn++++=salt
out ^rp+pl+++=out
of ^in++++=of
our ^pp$+pp1+++=our
bags ^nns++++=bags.
. ^zz++++=EXTRAWORD
First ^rb++++=First
I ^pp1a+pp1+++=I
ate ^vbd+++xvbnx+=ate
some ^dti++++=some
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
some ^dti++++=some
bread ^nn++++=bread;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bread ^nn++++=bread
tasted ^vprf+++xvbn+=tasted
so ^rb+emph+++=so
good ^jj++++=good,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
never ^rb++++=never
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life
had ^vb+hv+vrb++=had
any ^dti++++=any
like ^in++++=like
it ^pp3+it+++=it
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
sat ^vbd+++xvbn+=sat
there ^ex+pex+++=there
resting ^vbg+++xvbg+=resting
until ^cs+sub+++=until
it ^pp3+it+++=it
began ^vbd+++xvbn+=began
to ^to++++=to
grow ^vbi++++=grow
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked
Damian ^np+++??+=Damian
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
far ^rb+pl+++=far
to ^in++++=to
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
' ^zz++++='Yes,'
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
about ^in++++=about
eight ^cd++++=eight
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will
go ^vb++++=go
on ^in++++=on
there ^rn+pl+++=there
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
we ^pp1a+pp1+++=we
must ^md+nec+++=must
rest ^vb++++=rest.
. ^zz++++=EXTRAWORD
Put ^j+++xvbn+=Put
on ^in++++=on
your ^pp$+pp2+++=your
fur ^nn++++=fur
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
catching ^vbg+++xvbgx+=catching
cold ^jj++++=cold.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
flattened ^vwbn+++xvbn+=flattened
down ^in++++=down
the ^ati++++=the
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
breaking ^vbg+++xvbg+=breaking
off ^rb+phrv+++=off
some ^dti++++=some
fir ^nn++++=fir
branches ^nns++++=branches
made ^vbd+++xvbn+=made
a ^at++++=a
bed ^nn++++=bed
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
lay ^vbd+++xvbn+=lay
down ^rb+phrv+++=down
side ^nn++++=side
by ^in++++=by
side ^nn++++=side,
, ^zz++++=EXTRAWORD
resting ^vbg+++xvbg+=resting
our ^pp$+pp1+++=our
heads ^nns++++=heads
on ^in++++=on
our ^pp$+pp1+++=our
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
remember ^nn+nom+++=remember
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
fell ^vbd+++xvbnx+=fell
asleep ^jj++++=asleep.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
hours ^nns++++=hours
later ^rbr+tm+++=later
I ^pp1a+pp1+++=I
woke ^vbd+++xvbnx+=woke
up ^rp++++=up,
, ^zz++++=EXTRAWORD
hearing ^vbg+vprv+tht0+xvbg+=hearing
something ^pn++++=something
crack ^jjb++++=crack.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
slept ^vprf+++xvbnx+=slept
so ^ql++++=so
soundly ^rb++++=soundly
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
around ^rp++++=around
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
wonderful ^jj++++=wonderful!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
some ^dti++++=some
sort ^nn++++=sort
of ^in++++=of
a ^at++++=a
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
all ^abn++++=all
glittering ^jj++++=glittering
and ^cc+phrs+++=and
white ^jj++++=white
with ^in++++=with
gleaming ^xvbg+++xvbg+=gleaming
pillars ^nns++++=pillars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw,
, ^zz++++=EXTRAWORD
through ^in++++=through
delicate ^jj+atrb+++=delicate
white ^jj+atrb+++=white
tracery ^nn+nom+++=tracery,
, ^zz++++=EXTRAWORD
a ^at++++=a
vault ^nn++++=vault,
, ^zz++++=EXTRAWORD
raven ^j+++xvbn+=raven
black ^jj++++=black
and ^cc+phrs+++=and
studded ^jj+++xvbn+=studded
with ^in++++=with
coloured ^jj+atrb++xvbn+=coloured
lights ^nns++++=lights.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
good ^jj+atrb+++=good
look ^nn++++=look,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
for ^in++++=for
a ^at++++=a
hall ^nn++++=hall
and ^cc++++=and
pillars ^nns++++=pillars,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
trees ^nns++++=trees
covered ^vbd+++xvbn+=covered
with ^in++++=with
snow ^nn++++=snow
and ^cc++++=and
hoar ^nn+++??+=hoar-frost,
- ^zz++++=EXTRAWORD
frost ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
coloured ^jj+atrb++xvbn+=coloured
lights ^nns++++=lights
were ^vbd+bed+vrb++=were
stars ^nns++++=stars
twinkling ^vwbg+++xvbg+=twinkling
between ^in++++=between
the ^ati++++=the
branches ^nns++++=branches.
. ^zz++++=EXTRAWORD
Hoar ^np+++??+=Hoar-frost
- ^zz++++=EXTRAWORD
frost ^np++++=EXTRAWORD
had ^vbd+hvd+aux++=had
settled ^vprf+++xvbnx+=settled
in ^in++++=in
the ^ati++++=the
night ^nn++++=night;
; ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
twigs ^nns++++=twigs
were ^vbd+bed+vrb++=were
thick ^jj+pred+++=thick
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
on ^in++++=on
my ^pp$+pp1+++=my
fur ^nn++++=fur
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
dropped ^vbd+++xvbn+=dropped
down ^rp++++=down
from ^in++++=from
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
woke ^vbd+++xvbnx+=woke
Damian ^np+++??+=Damian,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
our ^pp$+pp1+++=our
snowshoes ^nns+++??+=snowshoes
and ^cc++++=and
started ^vbd+++xvbn+=started.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
quiet ^nn++++=quiet
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
No ^at++++=No
sound ^jj++++=sound
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
but ^cs+sub+++=but
that ^cs"++++=that
of ^in++++=of
our ^pp$+pp1+++=our
snow ^np++++=snow-shoes
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
pushing ^vwbg+++xvbg+=pushing
through ^in++++=through
the ^ati++++=the
soft ^jj+atrb+++=soft
snow ^nn++++=snow;
; ^zz++++=EXTRAWORD
except ^in++++=except
when ^wrb+who+++=when
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
a ^at++++=a
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
cracked ^xvbn+++xvbn+=cracked
by ^in++++=by
the ^ati++++=the
frost ^nn++++=frost,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
the ^ati++++=the
forest ^nn++++=forest
resound ^nn+++??+=resound.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
once ^rb+tm+++=once
we ^pp1a+pp1+++=we
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
a ^at++++=a
living ^jj+atrb++xvbg+=living
creature ^nn++++=creature.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
rustled ^vbd+++xvbn+=rustled
close ^in+cmpx+++=close
to ^in"++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
rushed ^vbd+++xvbn+=rushed
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
sure ^jj++++=sure
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
spot ^nn++++=spot
whence ^wrb+who+++=whence
the ^ati++++=the
sound ^jj++++=sound
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
footmarks ^nns+++??+=footmarks
of ^in++++=of
hares ^nns++++=hares,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
several ^ap++++=several
young ^jj+atrb+++=young
aspen ^jj+atrb++xvbn+=aspen
trees ^nns++++=trees
with ^in++++=with
their ^pp$+pp3+++=their
bark ^nn++++=bark
gnawed ^vbd+++xvbn+=gnawed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
startled ^vprf+++xvbnx+=startled
some ^dti++++=some
hares ^nns++++=hares
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
feeding ^vbg+++xvbgx+=feeding.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vbd+vprv+tht0+xvbn+=followed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
dragging ^vbg+++xvbg+=dragging
our ^pp$+pp1+++=our
snow ^np++++=snow-shoes
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
behind ^in+pl+++=behind
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
easy ^jj++++=easy
walking ^jj+++xvbg+=walking
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
snow ^np++++=snow-shoes
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
clattered ^vbd+++xvbn+=clattered
as ^ql++++=as
they ^pp3a+pp3+++=they
slid ^vbd+++xvbnx+=slid
behind ^rp+pl+++=behind
us ^pp1o+pp1+++=us
from ^in++++=from
side ^nn++++=side
to ^in++++=to
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
hard ^jj++++=hard-trodden
- ^zz++++=EXTRAWORD
trodden ^vprf+++xvbn+=EXTRAWORD
road ^npl++++=road.
. ^zz++++=EXTRAWORD
The ^ati++++=The
snow ^nn++++=snow
creaked ^vbd+++xvbn+=creaked
under ^in++++=under
our ^pp$+pp1+++=our
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cold ^jj+atrb+++=cold
hoar ^nn+++??+=hoar-frost
- ^zz++++=EXTRAWORD
frost ^np++++=EXTRAWORD
settled ^vbd+++xvbn+=settled
on ^in+ppvb+++=on
our ^pp$+pp1+++=our
faces ^nns++++=faces
like ^in++++=like
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Seen ^j+++xvbn+=Seen
through ^in++++=through
the ^ati++++=the
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stars ^nn++++=stars
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
running ^vbg+++xvbgx+=running
to ^to++++=to
meet ^vbi++++=meet
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
twinkling ^jj+++xvbg+=twinkling,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
vanishing ^jj+++xvbg+=vanishing,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
whole ^jj+atrb+++=whole
sky ^nn++++=sky
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
move ^nn++++=move.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
my ^pp$+pp1+++=my
comrade ^nn++++=comrade
sleeping ^vwbg+++xvbg+=sleeping,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
woke ^vbd+++xvbn+=woke
him ^pp3o+pp3+++=him
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
related ^jj+++xvbn+=related
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
round ^rb++++=round
the ^ati++++=the
bear ^nn++++=bear.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
telling ^xvbg+++xvbg+=telling
our ^pp$+pp1+++=our
peasant ^nn+nom+++=peasant
host ^nn++++=host
to ^to++++=to
collect ^vbi++++=collect
beaters ^nns+nom+++=beaters
for ^in++++=for
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
supper ^nn++++=supper
and ^cc++++=and
lay ^jjb+++xvbn+=lay
down ^rp++++=down
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
tired ^jj+++xvbn+=tired
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
