No ^at++++=No
marvel ^vb++++=marvel
at ^in++++=at
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
make ^vb++++=make
a ^at++++=a
living ^jj+++xvbg+=living
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
telephone ^nn++++=telephone
rings ^nns++++=rings
seven ^cd++++=seven
thousand ^cd++++=thousand
eight ^cd++++=eight
hundred ^cd++++=hundred
and ^cc++++=and
six ^cd++++=six
times ^nns++++=times
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
once ^rb+tm+++=once
in ^in++++=in
the ^ati++++=the
last ^ap++++=last
eight ^cd++++=eight
years ^nns++++=years
has ^vbz+hvz+aux++=has
it ^pp3+it+++=it
been ^vprf+ben+aux+xvbn+=been
rung ^vprf+++xvbn+=rung
by ^in++++=by
any ^dti++++=any
one ^cd1++++=one
who ^whp+rel+subj++=who
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
buy ^vbi++++=buy
a ^at++++=a
story ^nn++++=story
from ^in++++=from
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
eighty ^cd++++=eighty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
million ^cd++++=million
times ^nns++++=times
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
rung ^vprf+++xvbn+=rung
by ^in++++=by
people ^nns++++=people
who ^whp+rel+subj++=who
wanted ^vbd+++xvbn+=wanted
me ^pp1o+pp1+++=me
to ^to++++=to
gather ^vbi+vprv+++=gather
a ^at++++=a
new ^jj+atrb+++=new
crop ^nn++++=crop
of ^in++++=of
goat ^nn++++=goat-feathers.
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
one ^cd1++++=one
time ^nn++++=time
I ^pp1a+pp1+++=I
moved ^vbd+++xvbnx+=moved
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
barn ^nn++++=barn
to ^to++++=to
get ^vbi++++=get
away ^rb+phrv+++=away
from ^in"++++=from
the ^ati++++=the
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
result ^nn++++=result
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
come ^vb++++=come
down ^rp++++=down
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
second ^od++++=second
story ^nn++++=story
of ^in++++=of
the ^ati++++=the
barn ^nn++++=barn,
, ^zz++++=EXTRAWORD
walk ^nn++++=walk
across ^rp+pl+++=across
my ^pp$+pp1+++=my
property ^nn++++=property,
, ^zz++++=EXTRAWORD
enter ^vb++++=enter
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
upstairs ^jjb++++=upstairs
every ^at++++=every
time ^nn++++=time
the ^ati++++=the
telephone ^nn++++=telephone
rang ^vbd+++xvbn+=rang.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
eighty ^cd++++=eighty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
times ^nns++++=times
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
moved ^vbd+++xvbn+=moved
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
had ^vb+hv+vrb++=had
an ^at++++=an
extension ^nn++++=extension
telephone ^vb++++=telephone
put ^vbd+++xvbn+=put
in ^rb+phrv+++=in
my ^pp$+pp1+++=my
workroom ^nn+++??+=workroom
so ^ql++++=so
close ^in+cmpx+++=close
to ^in"++++=to
my ^pp$+pp1+++=my
desk ^nn++++=desk
that ^tht+rel+obj++=that
every ^at++++=every
time ^nn++++=time
I ^pp1a+pp1+++=I
flexed ^vbd+++xvbnx+=flexed
a ^at++++=a
muscle ^nn++++=muscle
I ^pp1a+pp1+++=I
knocked ^vbd+++xvbnx+=knocked
the ^ati++++=the
' ^zz++++='phone
phone ^nn++++=EXTRAWORD
off ^in+pl+++=off
its ^pp$+it+++=its
table ^nn++++=table.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
much ^ap++++=much
handier ^jjr++++=handier
for ^in++++=for
the ^ati++++=the
goat ^nn++++=goat-feather
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
distributers ^nns+nom+++=distributers,
, ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
me ^pp1o+pp1+++=me
up ^rp++++=up
oftener ^rbr++++=oftener.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
call ^nn++++=call
me ^pp1o+pp1+++=me
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
out ^rp+pl+++=out
of ^in++++=of
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
in ^in++++=in
the ^ati++++=the
bathtub ^nn+++??+=bathtub,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
go ^vb++++=go
to ^in++++=to
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Usually ^rb+down+++=Usually
they ^pp3a+pp3+++=they
call ^nn++++=call
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
' ^zz++++='phone
phone ^nn++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
tell ^vb++++=tell
me ^pp1o+pp1+++=me
to ^to++++=to
wait ^vbi++++=wait
a ^at++++=a
minute ^nn++++=minute
until ^in++++=until
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jonesky ^np++++=Jonesky
comes ^vbz++++=comes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
favorite ^jj+atrb+++=favorite
times ^nns++++=times
for ^in++++=for
calling ^xvbg+++xvbg+=calling
me ^pp1o+pp1+++=me
are ^vb+ber+vrb++=are
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
in ^in++++=in
the ^ati++++=the
bathtub ^nn+++??+=bathtub,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
at ^rb++++=at
meals ^nns++++=meals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
concentrate ^nn+nom+++=concentrate
on ^in++++=on
my ^pp$+pp1+++=my
writing ^nvbg+++xvbg+=writing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
not ^xnot++not++=not
blaming ^vbg+++xvbg+=blaming
any ^dti++++=any
one ^pn++++=one
for ^in++++=for
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
to ^in++++=to
rent ^nn++++=rent
a ^at++++=a
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
let ^vprf+++xvbnx+=let
people ^nns++++=people
come ^vprf+++xvbn+=come
to ^in++++=to
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
A ^ap++++=A
great ^ap"++++=great
many ^ap"++++=many
do ^vb+do+aux++=do
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
average ^nn+nom+++=average,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
takes ^vbz++++=takes
the ^ati++++=the
person ^nn++++=person
who ^whp+rel+subj++=who
comes ^vbz++++=comes
to ^in++++=to
the ^ati++++=the
house ^nn++++=house
just ^rb+emph+++=just
one ^cd1++++=one
hour ^nn++++=hour
to ^in++++=to
state ^nn++++=state
a ^at++++=a
proposition ^nn+nom+++=proposition
that ^tht+ncmp+++=that
could ^md+pos+++=could
be ^vb+be+aux++=be
put ^vpsv++agls+xvbnx+=put
in ^rb+phrv+++=in
a ^at++++=a
six ^cd++++=six-word
- ^zz++++=EXTRAWORD
word ^nn++++=EXTRAWORD
telegram ^nn++++=telegram
or ^cc++++=or
' ^zz++++='phoned
phoned ^vprf+++xvbn+=EXTRAWORD
in ^in++++=in
one ^cd1++++=one
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
The ^ati++++=The
visitor ^nn++++=visitor
always ^rb++++=always
begins ^vbz++++=begins
with ^in++++=with
a ^ap++++=a
few ^ap"++++=few
neat ^jj+atrb+++=neat
remarks ^nns++++=remarks
about ^in++++=about
" ^zz++++="Pigs
pigs ^nns++++=EXTRAWORD
and ^cc++++=and
Pigs ^nns++++=Pigs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
is ^vbz+bez+aux++=is
not ^xnot++not++=not
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
story ^nn++++=story,
, ^zz++++=EXTRAWORD
tells ^vbz++++=tells
how ^wrb+who+++=how
his ^pp$+pp3+++=his
grandmother ^nn+nom+++=grandmother
laughed ^vbd+++xvbn+=laughed
over ^in++++=over
it ^pp3+it+++=it
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
swallowed ^vbd+++xvbnx+=swallowed
her ^pp$+pp3+++=her
false ^jj+atrb+++=false
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
explains ^vbz+vpub+++=explains
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
grandmother ^nn+nom+++=grandmother
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Tootlecoms ^np+++??+=Tootlecoms
of ^in++++=of
Worcester ^np+nom+++=Worcester,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
married ^vpsv++agls+xvbn+=married
into ^in++++=into
the ^ati++++=the
Blahblah ^np+++??+=Blahblah
family ^nn++++=family.
. ^zz++++=EXTRAWORD
About ^in++++=About
half ^abn++++=half
an ^at++++=an
hour ^nn++++=hour
later ^rbr+tm+++=later
the ^ati++++=the
visitor ^nn++++=visitor
remarks ^nns++++=remarks,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
busy ^jj++++=busy
and ^cc++++=and
I ^pp1a+pp1+++=I
hate ^vb++++=hate
to ^to+vcmp+++=to
ask ^vbi++++=ask
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
asks ^vbz++++=asks
me ^pp1o+pp1+++=me
to ^to++++=to
do ^vbi++++=do
some ^dti++++=some
little ^jj+atrb+++=little
trifle ^nn++++=trifle
like ^in++++=like
raising ^xvbg+++xvbg+=raising
$ ^zz++++=$80,000,000
80,000,000 ^cd++++=EXTRAWORD
in ^in++++=in
Flushing ^nn++++=Flushing
for ^in++++=for
the ^ati++++=the
War ^nn++++=War
Fund ^nn++++=Fund
of ^in++++=of
the ^ati++++=the
One ^cd1++++=One-Legged
- ^zz++++=EXTRAWORD
legged ^jj+atrb++xvbn+=EXTRAWORD
Gardeners ^nns+nom+++=Gardeners'
' ^zz++++=EXTRAWORD
League ^nn++++=League,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
a ^at++++=a
plan ^nn++++=plan
for ^in++++=for
planting ^xvbg+++xvbg+=planting
sweet ^jj+atrb+++=sweet
peas ^nns++++=peas
in ^in++++=in
the ^ati++++=the
trenches ^nns++++=trenches
in ^in++++=in
Mesopotamia ^np+++??+=Mesopotamia.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says
pleasantly ^rb++++=pleasantly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+tht0++=feel
the ^ati++++=the
great ^nn++++=great
urge ^vb+vsua+++=urge
of ^in++++=of
ability ^nn+nom+++=ability
rise ^nn++++=rise
within ^in++++=within
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
care ^vb+vprv+++=care
a ^at++++=a
hang ^nn++++=hang
for ^in++++=for
Mesopotamia ^np+++??+=Mesopotamia,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
for ^in++++=for
sweet ^jj+atrb+++=sweet
peas ^nns++++=peas
in ^in++++=in
the ^ati++++=the
trenches ^nns++++=trenches
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
something ^pn++++=something
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
go ^vb++++=go
ahead ^rb+pl+++=ahead
and ^cc++++=and
do ^vb+do+vrb++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
gather ^vb+vprv+++=gather
two ^cd++++=two
quarts ^nns+++??+=quarts
of ^in++++=of
red ^jj++++=red,
, ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blue ^jj+atrb+++=blue
goat ^nn++++=goat-feathers,
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
give ^vb++++=give
eighteen ^cd++++=eighteen
magazine ^nn++++=magazine
editors ^nns++++=editors
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
forget ^vbi+vprv+tht0++=forget
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
alive ^jj+pred+++=alive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
find ^vb+vprv+++=find
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
month ^nn++++=month
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
three ^cd++++=three
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty
dollars ^nns++++=dollars
deeper ^jjr++++=deeper
in ^in++++=in
debt ^nn++++=debt
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
about ^in++++=about
that ^dt+pdem+++=that
people ^vbz++++=people
are ^vb+ber+aux++=are
actually ^rb+amp+splt++=actually
offended ^vpsv++agls+xvbnx+=offended
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
jump ^vb++++=jump
into ^in++++=into
every ^at++++=every
mad ^jj+atrb+++=mad
goat ^nn++++=goat-feather
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
quest ^nn++++=quest
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
proposed ^vpsv++agls+xvbnx+=proposed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
firmly ^rb++splt++=firmly
convinced ^jj++agls+xvbnx+=convinced
that ^tht+jcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
extant ^jj+pred+++=extant
an ^at++++=an
Association ^nn+nom+++=Association
to ^to++++=to
Prevent ^vbi++++=Prevent
Butler ^np++++=Butler
Doing ^vwbg+++xvbg+=Doing
a ^at++++=a
Full ^jj+atrb+++=Full
Day ^np++++=Day's
's ^$++++=EXTRAWORD
Work ^nn++++=Work.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
seem ^vbi+seem+++=seem
egotistical ^jj++++=egotistical,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
now ^rn+tm+++=now
of ^in++++=of
the ^ati++++=the
opinion ^nn++++=opinion
that ^tht+ncmp+++=that
the ^ati++++=the
Kaiser ^npt++++=Kaiser
started ^vbd+++xvbn+=started
the ^ati++++=the
war ^nn++++=war
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
make ^vb++++=make
it ^pp3+it+++=it
seem ^vb+seem+++=seem
necessary ^jj++++=necessary
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
make ^vbi++++=make
Four ^cd++++=Four-Minute
- ^zz++++=EXTRAWORD
minute ^nn++++=EXTRAWORD
speeches ^nns++++=speeches
on ^in++++=on
Food ^nn++++=Food
Conservation ^np+nom++??+=Conservation,
, ^zz++++=EXTRAWORD
Give ^vb++++=Give
Your ^pp$+pp2+++=Your
Binoculars ^nns++++=Binoculars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Buy ^vb++++=Buy
a ^at++++=a
Thrift ^nn++++=Thrift
Stamp ^nn++++=Stamp.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
all ^abn++++=all
our ^pp$+pp1+++=our
patriotic ^jj++++=patriotic,
, ^zz++++=EXTRAWORD
Liberty ^nn++++=Liberty
Loan ^nn++++=Loan,
, ^zz++++=EXTRAWORD
Red ^jj+atrb+++=Red
Cross ^nn++++=Cross,
, ^zz++++=EXTRAWORD
Thrift ^nn++++=Thrift
Stamp ^nn++++=Stamp
side ^nn++++=side-lining
- ^zz++++=EXTRAWORD
lining ^vbg+++xvbg+=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
goat ^nn++++=goat-feathering.
- ^zz++++=EXTRAWORD
feathering ^jj+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
genuine ^jj+atrb+++=genuine
variety ^nn++++=variety
is ^vbz+bez+vrb++=is
eagle ^nn++++=eagle-feather
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
gathering ^vwbg+++xvbg+=gathering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
as ^ql++++=as
proud ^jj++++=proud
of ^in++++=of
my ^pp$+pp1+++=my
eagle ^nn++++=eagle-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sour ^jj+pred+++=sour
on ^in++++=on
my ^pp$+pp1+++=my
goat ^nn++++=goat-feathers.
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
fine ^jj+atrb+++=fine
thing ^nn++++=thing
to ^to++++=to
be ^vbi++vrb++=be
treasurer ^nn+nom+++=treasurer
of ^in++++=of
the ^ati++++=the
Flushing ^jj+atrb++xvbg+=Flushing
Hospital ^nn+nom+++=Hospital,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
fine ^jj+atrb+++=fine
thing ^nn++++=thing
to ^to++++=to
be ^vbi++vrb++=be
president ^npt++++=president
of ^in++++=of
the ^ati++++=the
Flushing ^jj+atrb++xvbg+=Flushing
Country ^nn++++=Country
Club ^nn++++=Club,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
pall ^vb++++=pall
when ^wrb+who+++=when
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
the ^ati++++=the
reason ^nn++++=reason
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
given ^vpsv++agls+xvbnx+=given
those ^dt+dem+++=those
glories ^nns++++=glories
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
nobody ^pn++++=nobody
else ^rb+cnj+++=else
would ^md+prd+++=would
take ^vb++++=take
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
" ^zz++++="grand
grand ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
glorious ^jj+atrb+++=glorious
feelin ^nn+++??+=feelin'"
'" ^nn+++??+=EXTRAWORD
to ^to++++=to
know ^vbi+vprv+tht0++=know
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
some ^dti++++=some
affair ^nn++++=affair
and ^cc++++=and
make ^vb++++=make
it ^pp3+it+++=it
a ^at++++=a
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
near ^in+pl+++=near-success;
- ^zz++++=EXTRAWORD
success ^nns+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
may ^md+pos+++=may
make ^vb++++=make
a ^at++++=a
success ^nns+nom+++=success
of ^in++++=of
a ^at++++=a
Flushing ^jj+atrb++xvbg+=Flushing
Public ^jj+atrb+++=Public
Playground ^nn++++=Playground
and ^cc++++=and
not ^xnot++not++=not
be ^vb+be+aux++=be
making ^vbg+++xvbgx+=making
a ^at++++=a
success ^nns+nom+++=success
of ^in++++=of
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
be ^vb+be+aux++=be
making ^vbg+++xvbgx+=making
a ^at++++=a
goat ^nn++++=goat
of ^in++++=of
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chances ^nns+nom+++=chances
are ^vb+ber+vrb++=are
ten ^cd++++=ten
to ^to++++=to
one ^cd1++++=one
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
making ^vbg+++xvbgx+=making
a ^at++++=a
goat ^nn++++=goat
of ^in++++=of
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
never ^rb++splt++=never
get ^vb++++=get
the ^ati++++=the
Pulitzer ^np+nom++??+=Pulitzer
prize ^nn++++=prize
for ^in++++=for
the ^ati++++=the
best ^jjt+atrb+++=best
novel ^nn++++=novel
or ^cc++++=or
for ^in++++=for
the ^ati++++=the
best ^jjt+atrb+++=best
play ^nn++++=play,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
Pulitzer ^np+nom++??+=Pulitzer
prize ^nn++++=prize
for ^in++++=for
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
human ^jj+atrb+++=human
goat ^nn++++=goat
nobody ^pn++++=nobody
else ^rb+cnj+++=else
would ^md+prd+++=would
be ^vb+be+vrb++=be
in ^in++++=in
the ^ati++++=the
running ^nvbg+++xvbg+=running.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
got ^vprf+++xvbn+=got
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
dozen ^cd++++=dozen
or ^cc++++=or
by ^in++++=by
the ^ati++++=the
pound ^nn++++=pound--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
them ^pp3o+pp3+++=them
by ^in++++=by
the ^ati++++=the
bale ^nn+++??+=bale.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
estimate ^nn+nom+++=estimate
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
all ^abn++++=all
my ^pp$+pp1+++=my
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
end ^np++++=end
to ^in++++=to
end ^nn++++=end
they ^pp3a+pp3+++=they
would ^md+prd+++=would
reach ^vb++++=reach
from ^in++++=from
the ^ati++++=the
bread ^nn++++=bread
line ^nn++++=line
to ^in++++=to
the ^ati++++=the
poor ^jj++++=poor-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
you ^pp2+pp2+++=you
may ^md+pos+++=may
gather ^vb+vprv+++=gather
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
grouch ^nn+++??+=grouch
on ^in++++=on
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
so ^ql++++=so,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=To-day
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
forty ^cd++++=forty-nine
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
years ^nns++++=years
and ^cc++++=and
six ^cd++++=six
months ^nns++++=months
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
a ^at++++=a
bright ^jj++++=bright
and ^cc+phrs+++=and
shining ^jj+atrb++xvbg+=shining
literary ^jj+atrb+++=literary
light ^nn++++=light
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
exactly ^rb++++=exactly
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
