Nobody ^pn++++=NOBODY
His ^pp$+pp3+++=His
air ^nn++++=air
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
out ^rb+phrv+++=out
for ^in+ppvb+++=for
things ^nns++++=things
that ^tht+rel+subj++=that
come ^vprf+++xvbn+=come
high ^jj++++=high
and ^cc++++=and
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
get ^vb++++=get
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown
was ^vbd+bedz+vrb++=was
ever ^rb++++=ever
and ^cc+phrs+++=and
again ^rb+tm+++=again
dropping ^vbg+++xvbg+=dropping
a ^at++++=a
word ^nn++++=word
before ^cs+sub+++=before
Percy ^np++++=Percy
about ^in++++=about
how ^wrb+who+++=how
the ^ati++++=the
girl ^nn++++=girl
that ^tht+rel+subj++=that
took ^vbd+++xvbn+=took
Charley ^np++++=Charley
would ^md+prd+++=would
have ^vb+hv+vrb++=have
her ^pp$+pp3+++=her
flat ^nn++++=flat
furnished ^vwbn+++xvbn+=furnished
by ^in++++=by
the ^ati++++=the
best ^jjt+atrb+++=best
furniture ^nn++++=furniture
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
china ^np++++=china-closet
- ^zz++++=EXTRAWORD
closet ^nn++++=EXTRAWORD
stocked ^vwbn+++xvbn+=stocked
with ^in++++=with
the ^ati++++=the
best ^jjt+atrb+++=best
ware ^nn++++=ware,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
to ^to++++=to
worry ^vbi+vprv+++=worry
about ^in++++=about
but ^cc++++=but
nicks ^nns+++??+=nicks
and ^cc++++=and
scratches ^nns++++=scratches.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
himself ^ppl+pp3+++=himself
pitted ^vbd+++xvbn+=pitted
against ^in++++=against
this ^dt+dem+++=this
pulling ^jj+atrb++xvbg+=pulling
power ^nn++++=power
of ^in++++=of
Greengay ^np++++=Greengay's
's ^$++++=EXTRAWORD
that ^dt+dem+++=that
Percy ^np++++=Percy
had ^vb+hv+vrb++=had
brazenly ^jj++++=brazenly
lied ^jj+++xvbn+=lied
to ^in++++=to
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
her ^pp$+pp3+++=her
that ^cs+sub+++=that
his ^pp$+pp3+++=his
salary ^nn++++=salary
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++agls+xvbnx+=raised
to ^to+vcmp+++=to
fifty ^cd++++=fifty
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
get ^vbi++++=get
married ^vbd+++xvbn+=married.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
out ^rb+phrv+++=out
this ^dt+dem+++=this
challenge ^nn++++=challenge
to ^in++++=to
Mother ^nn++++=Mother
Brown ^np++++=Brown,
, ^zz++++=EXTRAWORD
Percy ^np++++=Percy
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
thirty ^cd++++=thirty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
dollars ^nns++++=dollars
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
well ^jj+pred+++=well
enough ^qlp++++=enough
that ^dt+dem+++=that
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
several ^ap++++=several
hundred ^cd++++=hundred
thousand ^cd++++=thousand
young ^jj+atrb+++=young
men ^nns++++=men
in ^in++++=in
New ^jj+atrb+++=New
York ^np++++=York
who ^whp+rel+subj++=who
would ^md+prd+++=would
do ^vb+do+vrb++=do
his ^pp$+pp3+++=his
work ^nn++++=work
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
for ^in++++=for
thirty ^cd++++=thirty.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
the ^ati++++=the
factors ^nns++++=factors
in ^in++++=in
Percy ^np++++=Percy's
's ^$++++=EXTRAWORD
present ^vb++++=present
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
over ^rp++++=over
them ^pp3o+pp3+++=them
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again
as ^ql++++=as
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
stooping ^vbg+++xvbg+=stooping
on ^in++++=on
his ^pp$+pp3+++=his
tall ^jj+atrb+++=tall
stool ^nn++++=stool.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
quite ^rb++splt++=quite
lost ^vprf+++xvbnx+=lost
track ^npl++++=track
of ^in++++=of
time ^nn++++=time
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
janitor ^nn++++=janitor
call ^nn++++=call
good ^jj+atrb+++=good
night ^nn++++=night
to ^in++++=to
the ^ati++++=the
watchman ^nn+nom+++=watchman.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
thinking ^xvbg+++xvbg+=thinking
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
slid ^vbd+++xvbnx+=slid
into ^in++++=into
his ^pp$+pp3+++=his
overcoat ^nn++++=overcoat,
, ^zz++++=EXTRAWORD
caught ^j+++xvbn+=caught
his ^pp$+pp3+++=his
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rushed ^vbd+++xvbn+=rushed
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
elevator ^nn++++=elevator,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
the ^ati++++=the
janitor ^nn++++=janitor
The ^ati++++=The
moment ^nn++++=moment
the ^ati++++=the
car ^nn++++=car
dropped ^vbd+++xvbn+=dropped,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
the ^ati++++=the
thing ^nn++++=thing
was ^vbd+bedz+aux++=was
decided ^vpsv++agls+xvbnx+=decided
without ^in++++=without
his ^pp$+pp3+++=his
making ^xvbg+++xvbg+=making
made ^vprf+++xvbn+=made
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^nn++++=mind
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
The ^ati++++=The
familiar ^nn++++=familiar
floors ^vbz++++=floors
passed ^vprf+++xvbn+=passed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
nine ^cd++++=nine,
, ^zz++++=EXTRAWORD
eight ^cd++++=eight,
, ^zz++++=EXTRAWORD
seven ^cd++++=seven.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
fifth ^nn++++=fifth,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
possibility ^nn+nom+++=possibility
of ^in++++=of
going ^xvbg+++xvbg+=going
back ^jjb++++=back;
; ^zz++++=EXTRAWORD
the ^ati++++=the
click ^nn++++=click
of ^in++++=of
the ^ati++++=the
drop ^vb++++=drop-lever
- ^zz++++=EXTRAWORD
lever ^&fw++++=EXTRAWORD
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
settle ^vbi++++=settle
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
The ^ati++++=The
money ^nn++++=money
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
himself ^ppl+pp3+++=himself
as ^ql++++=as
he ^pp3a+pp3+++=he
hurried ^vbd+++xvbnx+=hurried
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
exciting ^jj+atrb+++=exciting
clamor ^nn++++=clamor
of ^in++++=of
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
worry ^vb+vprv+++=worry
about ^in++++=about
it ^pp3+it+++=it
any ^dti++++=any
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Percy ^np++++=Percy
reached ^vbd+++xvbn+=reached
the ^ati++++=the
Browns ^np+++??+=Browns'
' ^zz++++=EXTRAWORD
flat ^nn++++=flat
on ^in++++=on
123 ^cd++++=123
d ^zz++++=d
Street ^npl++++=Street
that ^tht+rel+++=that
evening ^nn++++=evening
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
just ^rb+emph+++=just
the ^ati++++=the
slightest ^nn++++=slightest
chill ^vb++++=chill
in ^in++++=in
Stella ^np++++=Stella's
's ^vbz+bez+aux++0=EXTRAWORD
greeting ^vbg+++xvbg+=greeting.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
make ^vb++++=make
that ^dt+dem+++=that
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
kissed ^vbd+++xvbnx+=kissed
her ^pp$+pp3+++=her
lightly ^rb++++=lightly
in ^in++++=in
the ^ati++++=the
dark ^jj++++=dark
three ^cd++++=three-by-four
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
entrance ^nn+nom+++=entrance-hall.
- ^zz++++=EXTRAWORD
hall ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Percy ^np++++=Percy's
's ^vbz+bez+aux++0=EXTRAWORD
courting ^vbg+++xvbg+=courting
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
prosecuted ^vpsv++agls+xvbnx+=prosecuted
mainly ^rb++++=mainly
in ^in++++=in
the ^ati++++=the
Bronx ^np++++=Bronx
or ^cc++++=or
in ^in++++=in
winged ^jj+atrb+++=winged
pursuit ^nn++++=pursuit
of ^in++++=of
a ^at++++=a
Broadway ^np++++=Broadway
car ^nn++++=car.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
crowded ^nn++++=crowded
sitting ^vwbg+++xvbg+=sitting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
he ^pp3a+pp3+++=he
greeted ^vbd+++xvbnx+=greeted
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown
respectfully ^rb++++=respectfully
and ^cc++++=and
the ^ati++++=the
four ^cd++++=four
girls ^nns++++=girls
playfully ^rb++++=playfully.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
all ^abn++++=all
piled ^jj+++xvbn+=piled
on ^in++++=on
one ^cd1++++=one
couch ^nn++++=couch,
, ^zz++++=EXTRAWORD
reading ^vbg+++xvbg+=reading
the ^ati++++=the
continued ^jj+atrb++xvbn+=continued
story ^nn++++=story
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
n't ^xnot++not++0=n't
think ^vb+vprv+++=think
it ^pp3+it+++=it
necessary ^jj++++=necessary
to ^to+jcmp+++=to
assume ^vbi+vprv+++=assume
more ^rbr++++=more
formal ^jj+atrb+++=formal
attitudes ^nns++++=attitudes
for ^in++++=for
Percy ^np++++=Percy.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
over ^in++++=over
the ^ati++++=the
smeary ^nn++++=smeary
pink ^jj+atrb+++=pink
sheets ^nns++++=sheets
of ^in++++=of
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
handed ^vbd+++xvbn+=handed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Percy ^np++++=Percy
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
old ^jj++++=old
jolly ^jj++++=jolly:
: ^zz++++=EXTRAWORD
" ^zz++++="Hullo,
hullo ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Perc ^np+++??+=Perc'!
'! ^nn+++??+=EXTRAWORD
Come ^vprf+++xvbn+=Come
to ^to++++=to
see ^vbi+vprv+++=see
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
So ^ql+emph+++=So
flattered ^jj+++xvbn+=flattered!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Any
any ^dti++++=EXTRAWORD
sweet ^jj+atrb+++=sweet
goods ^nns++++=goods
on ^in++++=on
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Perc ^np+++??+=Perc'?
'? ^nn+++??+=EXTRAWORD
Anything ^pn++++=Anything
doing ^vbg+++xvbg+=doing
in ^in++++=in
the ^ati++++=the
bong ^nn+++??+=bong-bong
- ^zz++++=EXTRAWORD
bong ^nn+++??+=EXTRAWORD
line ^nn++++=line
to ^to++++=to-night?"
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
at ^rb++++=at
his ^pp$+pp3+++=his
new ^jj+atrb+++=new
neckwear ^nn+++??+=neckwear!
! ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say,
, ^zz++++=EXTRAWORD
Perc ^np+++??+=Perc',
', ^nn+++??+=EXTRAWORD
remember ^nn+nom+++=remember
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
tie ^nn++++=tie
would ^md+prd+++=would
go ^vb++++=go
lovely ^jj++++=lovely
with ^in++++=with
my ^pp$+pp1+++=my
new ^jj+atrb+++=new
tailored ^jj+atrb++xvbn+=tailored
waist ^nn++++=waist."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Quit
quit ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
kiddin ^nn+++??+=kiddin',
', ^nn+++??+=EXTRAWORD
girls ^nns++++=girls!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^vwbn+++xvbn+=called
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
drying ^vbg+++xvbgx+=drying
shirt ^nn++++=shirt-waists
- ^zz++++=EXTRAWORD
waists ^nn++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
dining ^jj+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
radiator ^nn++++=radiator.
. ^zz++++=EXTRAWORD
" ^zz++++="And,
and ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Percy ^np++++=Percy,
, ^zz++++=EXTRAWORD
mind ^nn++++=mind
the ^ati++++=the
rugs ^nns++++=rugs
when ^wrb+who+++=when
you ^pp2+pp2+++=you
're ^vb+ber+vrb++0='re
steppin ^nn+++??+=steppin'
' ^zz++++=EXTRAWORD
round ^in++++=round
among ^in++++=among
them ^pp3o+pp3+++=them
gum ^np++++=gum-drops."
- ^zz++++=EXTRAWORD
drops ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Percy ^np++++=Percy
fired ^vbd+++xvbn+=fired
his ^pp$+pp3+++=his
last ^rb++++=last
shot ^nn+++xvbn+=shot
at ^rb++++=at
the ^ati++++=the
recumbent ^jj+atrb+++=recumbent
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vbn+vprv++xvbn+=followed
Stella ^np++++=Stella
into ^in++++=into
the ^ati++++=the
dining ^jj+++xvbg+=dining-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
two ^cd++++=two
large ^jj++++=large
easy ^jj++++=easy-chairs
- ^zz++++=EXTRAWORD
chairs ^nns++++=EXTRAWORD
formed ^vbd+++xvbn+=formed,
, ^zz++++=EXTRAWORD
in ^in++++=in
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown's
's ^$++++=EXTRAWORD
estimation ^nn+nom+++=estimation,
, ^zz++++=EXTRAWORD
a ^at++++=a
proper ^jj+atrb+++=proper
background ^nn++++=background
for ^in++++=for
a ^at++++=a
serious ^jj+atrb+++=serious
suitor ^nn++++=suitor.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
Stell ^np+++??+=Stell,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
as ^ql++++=as
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
about ^in++++=about
the ^ati++++=the
table ^nn++++=table
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
in ^in++++=in
his ^pp$+pp3+++=his
pockets ^nns++++=pockets,
, ^zz++++=EXTRAWORD
" ^zz++++="seems
seems ^vbz+seem+++=EXTRAWORD
to ^to+vcmp+++=to
me ^vbi++++=me
we ^pp1a+pp1+++=we
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
begin ^vb++++=begin
buying ^vbg+++xvbg+=buying
our ^pp$+pp1+++=our
stuff ^nn++++=stuff."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
brightened ^vbd+++xvbnx+=brightened
perceptibly ^jj++++=perceptibly.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,"
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Percy ^np++++=Percy
thought ^vbd+++xvbn+=thought,
, ^zz++++=EXTRAWORD
" ^zz++++="so
so ^ql++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
trouble ^nn++++=trouble!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To-morrow's
to-morrow ^nr++++=EXTRAWORD
's ^$++++=EXTRAWORD
Saturday ^nr++++=Saturday;
; ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
we ^pp1a+pp1+++=we
make ^vb++++=make
an ^at++++=an
afternoon ^nn++++=afternoon
of ^in++++=of
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in++++=on
cheerfully ^rb++++=cheerfully.
. ^zz++++=EXTRAWORD
" ^zz++++="Shop
shop ^nn++++=EXTRAWORD
till ^cs+sub+++=till
we ^pp1a+pp1+++=we
're ^vb+ber+aux++0='re
tired ^vpsv++agls+xvbnx+=tired,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
go ^vb++++=go
to ^in++++=to
Houtin ^np++++=Houtin's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in++++=for
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
end ^nn++++=end
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
theater ^nn++++=theater."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
bent ^vbd+++xvbnx+=bent
over ^in++++=over
the ^ati++++=the
lists ^nns++++=lists
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
of ^in++++=of
things ^nns++++=things
needed ^vwbn+++xvbn+=needed,
, ^zz++++=EXTRAWORD
Percy ^np++++=Percy
glanced ^vbd+++xvbn+=glanced
at ^rb++++=at
her ^pp3o+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
much ^ap++++=much
out ^rp+pl+++=out
of ^in++++=of
her ^pp$+pp3+++=her
sisters ^nns+nom+++=sisters'
' ^zz++++=EXTRAWORD
class ^nn++++=class
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
congratulating ^vbg+++xvbg+=congratulating
himself ^ppl+pp3+++=himself
on ^in++++=on
his ^pp$+pp3+++=his
nerve ^nn++++=nerve.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
in ^rb+phrv+++=in
for ^in+ppvb+++=for
something ^pn++++=something
much ^ap++++=much
too ^ql++++=too
handsome ^jj++++=handsome
and ^cc+phrs+++=and
expensive ^jj++++=expensive
and ^cc+phrs+++=and
distinguished ^jj+++xvbn+=distinguished
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
courage ^nn+nom+++=courage
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
plunger ^nn++++=plunger.
. ^zz++++=EXTRAWORD
To ^to++++=To
begin ^vbi++++=begin
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
Stella ^np++++=Stella
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
girl ^nn++++=girl
who ^whp+rel+subj++=who
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
well ^jj+pred+++=well
dressed ^vbd+++xvbn+=dressed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
pale ^nn++++=pale
primrose ^np++++=primrose
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
with ^in++++=with
tones ^nns++++=tones
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
soft ^jj++++=soft
and ^cc+phrs+++=and
fine ^jj++++=fine,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
lay ^vbd+++xvbn+=lay
smooth ^jj++++=smooth
however ^rb+cnj+++=however
she ^pp3a+pp3+++=she
dressed ^vbd+++xvbnx+=dressed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pale ^jj++++=pale-blue
- ^zz++++=EXTRAWORD
blue ^jj+atrb+++=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
with ^in++++=with
blond ^jj+atrb+++=blond
eyebrows ^nns++++=eyebrows
and ^cc++++=and
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
lashes ^nns++++=lashes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^rb++++=a
little ^rb"++++=little
too ^rb++++=too
remote ^jj++++=remote
and ^cc+phrs+++=and
languid ^jj++++=languid
even ^rb++++=even
for ^in++++=for
the ^ati++++=the
fastidious ^jj+atrb+++=fastidious
Percy ^np++++=Percy
had ^vb+hv+aux++=had
it ^pp3+it+++=it
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
her ^pp$+pp3+++=her
hard ^jj+atrb+++=hard,
, ^zz++++=EXTRAWORD
practical ^jj+atrb+++=practical
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
with ^in++++=with
lips ^nns++++=lips
that ^tht+rel+subj++=that
always ^rb++++=always
kept ^vbd+++xvbn+=kept
their ^pp$+pp3+++=their
pink ^jj++++=pink
even ^rb++++=even
when ^wrb+who+++=when
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
her ^pp$+pp3+++=her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
employers ^nns+nom+++=employers,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
at ^rb++++=at
first ^rb"++++=first
might ^md+pos+++=might
be ^vb+be+aux++=be
struck ^vpsv++by+xvbnx+=struck
by ^in++++=by
her ^pp$+pp3+++=her
indifference ^nn+nom+++=indifference,
, ^zz++++=EXTRAWORD
understood ^vpbn+vprv++xvbn+=understood
that ^tht+vcmp+++=that
anybody ^pn++++=anybody
with ^in++++=with
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
mouth ^nn++++=mouth
would ^md+prd+++=would
get ^vb++++=get
through ^in++++=through
the ^ati++++=the
work ^nn++++=work.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
shopping ^jj+++xvbg+=shopping-lists
- ^zz++++=EXTRAWORD
lists ^nns++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
gone ^vpsv++agls+xvbnx+=gone
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
Percy ^np++++=Percy
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
the ^ati++++=the
