1564 ^cd++++=1564.
counteraction ^nn+nom+++=counteraction
of ^in++++=of
the ^ati++++=the
incantations ^nns+nom+++=incantations
of ^in++++=of
the ^ati++++=the
magicians ^nns++++=magicians.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
Tatars ^np+++??+=Tatars
were ^vbd+bed+vrb++=were
Mahometans ^nns+nom++??+=Mahometans,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
must ^md+nec+++=must
have ^vb+hv+aux++=have
retained ^vprf+++xvbnx+=retained
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
wind ^nn++++=wind-raising
- ^zz++++=EXTRAWORD
raising ^jj+atrb++xvbg+=EXTRAWORD
enchantments ^nns+nom+++=enchantments
of ^in++++=of
their ^pp$+pp3+++=their
Buddhist ^jj+atrb+++=Buddhist
brethren ^nns++++=brethren
in ^in++++=in
Asia ^np++++=Asia.
. ^zz++++=EXTRAWORD
A ^at++++=A
great ^jj++++=great
mine ^pp$$++++=mine
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
under ^in++++=under
the ^ati++++=the
gate ^nn++++=gate
of ^in++++=of
Arsk ^np+++??+=Arsk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eleven ^cd++++=eleven
barrels ^nns++++=barrels
of ^in++++=of
gunpowder ^nn+nom+++=gunpowder
placed ^vwbn+++xvbn+=placed
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
30 ^cd++++=30
th ^zz++++=th
of ^in++++=of
September ^nr+nom+++=September
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
blown ^vpsv++agls+xvbnx+=blown
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
tower ^nn++++=tower
became ^vbd+++xvbn+=became
a ^at++++=a
heap ^nn++++=heap
of ^in++++=of
ruins ^nns++++=ruins.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
minutes ^nns++++=minutes
the ^ati++++=the
consternation ^nn+nom+++=consternation
of ^in++++=of
the ^ati++++=the
besieged ^jj+++xvbn+=besieged
was ^vbd+bedz+vrb++=was
such ^abl++++=such
that ^dt+dem+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
dead ^nn++++=dead
silence ^nn+nom+++=silence
like ^in++++=like
the ^ati++++=the
stillness ^nns+nom+++=stillness
of ^in++++=of
the ^ati++++=the
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Russians ^nn++++=Russians
rushed ^vbd+++xvbn+=rushed
forward ^rb++++=forward
over ^in++++=over
the ^ati++++=the
opening ^nvbg+++xvbg+=opening,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
Tatars ^np+++??+=Tatars,
, ^zz++++=EXTRAWORD
recovering ^vbg+++xvbg+=recovering
at ^in++++=at
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
fought ^j+++xvbn+=fought
desperately ^rb+cnj+++=desperately,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=could
not ^xnot++not++=not
prevent ^vb++++=prevent
them ^pp3o+pp3+++=them
from ^in++++=from
taking ^xvbg+++xvbg+=taking
possession ^nn++++=possession
of ^in++++=of
the ^ati++++=the
tower ^nn++++=tower
at ^rb++++=at
the ^ati++++=the
gateway ^nn++++=gateway.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
mines ^nns++++=mines
were ^vbd+bed+aux++=were
already ^rb++splt++=already
prepared ^vpsv++agls+xvbnx+=prepared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Tzar ^np+++??+=Tzar
gave ^vbd+++xvbn+=gave
notice ^nn++++=notice
of ^in++++=of
a ^at++++=a
general ^jj+atrb+++=general
assault ^nn++++=assault
for ^in++++=for
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
recommended ^vbd+vsua++xvbn+=recommended
all ^abn++++=all
his ^pp$+pp3+++=his
warriors ^nns++++=warriors
to ^to++++=to
purify ^vbi++++=purify
their ^pp$+pp3+++=their
souls ^nns++++=souls
by ^in++++=by
repentance ^nn+nom+++=repentance,
, ^zz++++=EXTRAWORD
confession ^nn++++=confession,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
communion ^nn++++=communion,
, ^zz++++=EXTRAWORD
in ^in++++=in
readiness ^nns+nom+++=readiness
for ^in++++=for
the ^ati++++=the
deadly ^jj+atrb+++=deadly
strife ^nn++++=strife
before ^in++++=before
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
meantime ^nn++++=meantime,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
Yediguer ^np+nom++??+=Yediguer
a ^at++++=a
last ^rb++++=last
offer ^nn++++=offer
of ^in++++=of
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
brave ^jj+atrb+++=brave
Tatars ^np+++??+=Tatars
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
' ^zz++++='We
we ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
have ^vb+hv+vrb++=have
no ^at++++=no
pardon ^nn++++=pardon!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
Russians ^nn++++=Russians
have ^vb+hv+vrb++=have
one ^cd1++++=one
tower ^nn++++=tower,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
build ^vb++++=build
another ^dt++++=another;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
ruin ^vb++++=ruin
our ^pp$+pp1+++=our
ramparts ^nns++++=ramparts
we ^pp1a+pp1+++=we
will ^md+prd+++=will
set ^vb+++xvbn+=set
up ^rb+phrv+++=up
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will
be ^vb+be+aux++=be
buried ^vpsv++agls+xvbnx+=buried
under ^in++++=under
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
Kazan ^np+++??+=Kazan,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
else ^rb+cnj+++=else
we ^pp1a+pp1+++=we
will ^md+prd+++=will
make ^vb++++=make
him ^pp3o+pp3+++=him
raise ^vb++++=raise
the ^ati++++=the
siege ^nn++++=siege.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Early ^jj+atrb+++=Early
dawn ^nn++++=dawn
began ^vbd+++xvbn+=began
to ^to++++=to
break ^vbi++++=break.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear
and ^cc+phrs+++=and
cloudless ^jj++++=cloudless.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Tatars ^np+++??+=Tatars
were ^vbd+bed+vrb++=were
on ^in++++=on
their ^pp$+pp3+++=their
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Russians ^nn++++=Russians
in ^in++++=in
their ^pp$+pp3+++=their
trenches ^nns++++=trenches;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Imperial ^jj+atrb+++=Imperial
eagle ^nn++++=eagle
standard ^jj++++=standard,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
Ivan ^np++++=Ivan
had ^vb+hv+aux++=had
lately ^rb+tm+splt++=lately
assumed ^vprf+++xvbnx+=assumed,
, ^zz++++=EXTRAWORD
floated ^j+++xvbn+=floated
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
armies ^nns++++=armies
were ^vbd+bed+vrb++=were
perfectly ^rb+amp+++=perfectly
silent ^jj+pred+++=silent,
, ^zz++++=EXTRAWORD
save ^vb++++=save
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
the ^ati++++=the
bray ^np++++=bray
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
trumpet ^nn++++=trumpet,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
beat ^vpsv++agls+xvbn+=beat
of ^in++++=of
a ^at++++=a
naker ^jjr+atrb+++=naker
drum ^nn++++=drum
in ^in++++=in
one ^cd1++++=one
or ^cc++++=or
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
continuous ^jj+atrb+++=continuous
hum ^nn+++??+=hum
of ^in++++=of
the ^ati++++=the
hymns ^nns++++=hymns
and ^cc++++=and
chants ^vbz++++=chants
from ^in++++=from
the ^ati++++=the
three ^cd++++=three
Russian ^jj+atrb+++=Russian
chapeltents ^nns+++??+=chapeltents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
archers ^nns+nom+++=archers
held ^vbd+vprv++xvbn+=held
their ^pp$+pp3+++=their
arrows ^nns++++=arrows
on ^in++++=on
the ^ati++++=the
string ^nn++++=string,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gunners ^nns+nom+++=gunners
stood ^vbd+++xvbn+=stood
with ^in++++=with
lighted ^nn++++=lighted
matches ^vbz++++=matches.
. ^zz++++=EXTRAWORD
The ^ati++++=The
copper ^nn++++=copper-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
domes ^nns+++??+=domes
of ^in++++=of
the ^ati++++=the
minarets ^nns++++=minarets
began ^vbd+++xvbn+=began
to ^to++++=to
glow ^vbi++++=glow
with ^in++++=with
the ^ati++++=the
rising ^jj+atrb++xvbg+=rising
sunbeams ^nns+++??+=sunbeams;
; ^zz++++=EXTRAWORD
the ^ati++++=the
muezzins ^nns+++??+=muezzins
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
roofs ^nns++++=roofs
about ^md"++pmd"++=about
to ^md+prd+++=to
call ^vb++++=call
the ^ati++++=the
Moslemin ^np+++??+=Moslemin
to ^in++++=to
prayer ^nn++++=prayer;
; ^zz++++=EXTRAWORD
the ^ati++++=the
deacon ^np++++=deacon
in ^in++++=in
the ^ati++++=the
Tzar ^np++++=Tzar's
's ^$++++=EXTRAWORD
chapel ^nn++++=chapel-tent
- ^zz++++=EXTRAWORD
tent ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
reading ^vbg+++xvbgx+=reading
the ^ati++++=the
Gospel ^nn++++=Gospel.
. ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
one ^cd1++++=one
fold ^nn++++=fold
and ^cc++++=and
one ^cd1++++=one
Shepherd ^nn++++=Shepherd.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment
the ^ati++++=the
sun ^nn++++=sun's
's ^$++++=EXTRAWORD
disk ^nn+++??+=disk
appeared ^vbd+seem++xvbn+=appeared
above ^jjb++++=above
the ^ati++++=the
eastern ^jj+atrb+++=eastern
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ere ^nn+++??+=ere
yet ^rb++++=yet
the ^ati++++=the
red ^jj+atrb+++=red
orb ^nn+++??+=orb
had ^vb+hv+aux++=had
fully ^rb+amp+splt++=fully
mounted ^vprf+++xvbnx+=mounted
above ^jjb++++=above
the ^ati++++=the
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
a ^at++++=a
burst ^vbd+++xvbn+=burst
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
of ^in++++=of
tremendous ^jj+atrb+++=tremendous
thunderings ^nns+++??+=thunderings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ground ^nn++++=ground
shook ^vbd+++xvbn+=shook
beneath ^in+pl+++=beneath
the ^ati++++=the
church ^nn++++=church.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Tzar ^np+++??+=Tzar
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
entrance ^nn+nom+++=entrance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
whole ^jj+atrb+++=whole
city ^nn++++=city
hill ^npl++++=hill
so ^ql++++=so
' ^zz++++='rolled
rolled ^vbd+++xvbn+=EXTRAWORD
in ^in++++=in
sable ^jj+atrb+++=sable
smoke ^nn++++=smoke',
', ^nn+++??+=EXTRAWORD
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
distinguish ^vb++++=distinguish
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
place ^nn++++=place,
, ^zz++++=EXTRAWORD
desired ^j+++xvbn+=desired
that ^dt+dem+++=that
the ^ati++++=the
service ^nn++++=service
should ^md+nec+++=should
continue ^vb++++=continue.
. ^zz++++=EXTRAWORD
The ^ati++++=The
deacon ^np++++=deacon
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
prayer ^nn++++=prayer
for ^in++++=for
the ^ati++++=the
establishment ^nn+nom+++=establishment
of ^in++++=of
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
the ^ati++++=the
Tzar ^np+++??+=Tzar
and ^cc++++=and
the ^ati++++=the
discomfiture ^nn+++??+=discomfiture
of ^in++++=of
his ^pp$+pp3+++=his
enemies ^nns++++=enemies,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
crushing ^nn++++=crushing
burst ^vbd+++xvbn+=burst
of ^in++++=of
another ^dt++++=another
explosion ^nn++++=explosion
rushed ^vbd+++xvbn+=rushed
upon ^in++++=upon
their ^pp$+pp3+++=their
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
it ^pp3+it+++=it
died ^vbd+++xvbn+=died
away ^rp+pl+++=away
another ^dt++++=another
voice ^nn++++=voice
broke ^vbd+++xvbn+=broke
forth ^rb+cnj+++=forth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shout ^vb++++=shout
raised ^vpsv++by+xvbn+=raised
by ^in++++=by
every ^at++++=every
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
Russian ^jj+atrb+++=Russian
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
' ^zz++++='God
god ^np++++=EXTRAWORD
is ^vbz+bez+vrb++=is
with ^in++++=with
us ^pp1o+pp1+++=us!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
On ^in++++=On
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
marched ^vbd+++xvbnx+=marched
towards ^in++++=towards
the ^ati++++=the
openings ^nns++++=openings
that ^tht+rel+obj++=that
the ^ati++++=the
mines ^nns++++=mines
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^rn+pl+++=there
the ^ati++++=the
dauntless ^jj+atrb+++=dauntless
garrison ^nn++++=garrison,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
terror ^nn++++=terror
and ^cc++++=and
destruction ^nn+nom+++=destruction
caused ^vwbn+++xvbn+=caused
by ^in++++=by
the ^ati++++=the
two ^cd++++=two
explosions ^nns++++=explosions,
, ^zz++++=EXTRAWORD
met ^j+++xvbn+=met
them ^pp3o+pp3+++=them
with ^in++++=with
unabated ^jj+atrb++xvbn+=unabated
fury ^nn++++=fury,
, ^zz++++=EXTRAWORD
rolling ^vbg+nom++xvbg+=rolling
beams ^nns++++=beams
or ^cc++++=or
pouring ^vbg+++xvbg+=pouring
boiling ^nvbg+++xvbg+=boiling
water ^nn++++=water
upon ^in++++=upon
them ^pp3o+pp3+++=them
as ^ql++++=as
they ^pp3a+pp3+++=they
strove ^vbd+++xvbnx+=strove
to ^to++++=to
climb ^vbi++++=climb
the ^ati++++=the
breach ^nn++++=breach,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fighting ^jj+atrb++xvbg+=fighting
hand ^nn++++=hand
to ^in++++=to
hand ^nn++++=hand
with ^in++++=with
them ^pp3o+pp3+++=them
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
mounted ^vbd+++xvbnx+=mounted
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
Tzar ^np+++??+=Tzar
had ^vbd+hvd+aux++=had
completed ^vprf+++xvbnx+=completed
his ^pp$+pp3+++=his
devotions ^nns+nom+++=devotions
and ^cc++++=and
mounted ^jj+++xvbn+=mounted
his ^pp$+pp3+++=his
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eagle ^nn++++=eagle
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
above ^jjb++++=above
the ^ati++++=the
smoke ^nn++++=smoke
upon ^in++++=upon
the ^ati++++=the
citadel ^nn++++=citadel.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
the ^ati++++=the
city ^nn++++=city
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
won ^vbd+++xvbn+=won,
, ^zz++++=EXTRAWORD
step ^vb++++=step
by ^in++++=by
step ^nn++++=step,
, ^zz++++=EXTRAWORD
house ^npl++++=house
by ^in++++=by
house ^nn++++=house,
, ^zz++++=EXTRAWORD
street ^nn++++=street
by ^in++++=by
street ^nn++++=street;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
while ^cs+sub+++=while
struggling ^vbg+nom++xvbg+=struggling
onwards ^rb++++=onwards
the ^ati++++=the
Russians ^nn++++=Russians
were ^vbd+bed+aux++=were
tempted ^vpsv++agls+xvbnx+=tempted
aside ^rp++++=aside
by ^in++++=by
plunder ^nn++++=plunder
among ^in++++=among
the ^ati++++=the
rich ^jj+atrb+++=rich
stores ^nns++++=stores
of ^in++++=of
merchandise ^nn++++=merchandise
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
heaped ^vpsv++agls+xvbnx+=heaped
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
warehouses ^nns++++=warehouses
of ^in++++=of
this ^dt+dem+++=this
the ^ati++++=the
mart ^np++++=mart
of ^in++++=of
the ^ati++++=the
East ^np+pl+++=East.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Khan ^npt++++=Khan
profited ^vwbn+++xvbn+=profited
by ^in++++=by
their ^pp$+pp3+++=their
lack ^nn++++=lack
of ^in++++=of
discipline ^nn++++=discipline,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
forced ^jj+++xvbn+=forced
them ^pp3o+pp3+++=them
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
walls ^nns++++=walls;
; ^zz++++=EXTRAWORD
nay ^uh++++=nay,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+aux++=have
absolutely ^rb+amp+splt++=absolutely
been ^vprf+ben+aux+xvbnx+=been
driven ^vpsv++agls+xvbnx+=driven
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
great ^jj+atrb+++=great
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
they ^pp3a+pp3+++=they
beheld ^vb+++??+=beheld
their ^pp$+pp3+++=their
young ^jj+atrb+++=young
Tzar ^np+++??+=Tzar
on ^in++++=on
horseback ^nn++++=horseback
among ^in++++=among
his ^pp$+pp3+++=his
grey ^jj++++=grey-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
councillors ^nns++++=councillors.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
advice ^nn++++=advice
of ^in++++=of
these ^dt+dem+++=these
old ^jj+atrb+++=old
men ^nns++++=men
Ivan ^np++++=Ivan
rode ^vbd+++xvbn+=rode
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
his ^pp$+pp3+++=his
own ^ap++++=own
hand ^nn++++=hand
planted ^vwbn+++xvbn+=planted
the ^ati++++=the
sacred ^jj++++=sacred
standard ^jj++++=standard
at ^rb++++=at
the ^ati++++=the
gates ^nns++++=gates,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
forming ^vbg+++xvbg+=forming
a ^at++++=a
barrier ^nn++++=barrier
that ^tht+rel+obj++=that
the ^ati++++=the
fugitives ^nns++++=fugitives
were ^vbd+bed+vrb++=were
ashamed ^jj+pred+++=ashamed
to ^to+jcmp+++=to
pass ^vbi++++=pass.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
with ^in++++=with
half ^nn++++=half
his ^pp$+pp3+++=his
choice ^nn++++=choice
cavalry ^nn++++=cavalry,
, ^zz++++=EXTRAWORD
dismounted ^j+++xvbn+=dismounted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entered ^vbd+++xvbn+=entered
the ^ati++++=the
town ^nn++++=town
all ^rb++++=all
fresh ^jj++++=fresh
and ^cc+phrs+++=and
vigorous ^jj++++=vigorous,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
rich ^jj+atrb+++=rich
armor ^nn++++=armor
glittering ^jj++++=glittering
with ^in++++=with
gold ^nn++++=gold
and ^cc++++=and
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plumes ^nns+++??+=plumes
of ^in++++=of
various ^jj+atrb+++=various
colours ^nns++++=colours
streaming ^vwbg+++xvbg+=streaming
from ^in++++=from
their ^pp$+pp3+++=their
helmets ^nns++++=helmets
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
brilliancy ^nn+++??+=brilliancy
of ^in++++=of
Eastern ^jj+atrb+++=Eastern
taste ^nn++++=taste.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
reinforcement ^nn+nom+++=reinforcement
recalled ^vwbn+vprv++xvbn+=recalled
the ^ati++++=the
plunderers ^nns+nom+++=plunderers
to ^in++++=to
their ^pp$+pp3+++=their
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Tatars ^np+++??+=Tatars
were ^vbd+bed+aux++=were
driven ^vpsv++agls+xvbnx+=driven
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
Khan ^np++++=Khan's
's ^$++++=EXTRAWORD
palace ^nn++++=palace,
, ^zz++++=EXTRAWORD
whence ^wrb+who+++=whence,
, ^zz++++=EXTRAWORD
after ^in++++=after
an ^at++++=an
hour ^nn++++=hour's
's ^$++++=EXTRAWORD
defense ^nn+++??+=defense,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
retreat ^vb++++=retreat.
. ^zz++++=EXTRAWORD
At ^rb++++=At
a ^at++++=a
postern ^jj+atrb++xvbn+=postern
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
Andrej ^np+++??+=Andrej
Kourbsky ^np+++??+=Kourbsky
and ^cc++++=and
two ^cd++++=two
hundred ^cd++++=hundred
men ^nns++++=men
met ^vbd+++xvbn+=met
Yediguer ^np+nom++??+=Yediguer
and ^cc++++=and
10,000 ^cd++++=10,000
Tatars ^np+++??+=Tatars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cut ^vpsv++agls+xvbn+=cut
off ^rb+phrv+++=off
their ^pp$+pp3+++=their
retreat ^nn++++=retreat,
, ^zz++++=EXTRAWORD
enclosing ^vbg+++xvbg+=enclosing
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
narrow ^jj+atrb+++=narrow
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
forced ^vbd+++xvbnx+=forced
their ^pp$+pp3+++=their
Khan ^npt++++=Khan
to ^to++++=to
take ^vbi++++=take
refuge ^nn++++=refuge
in ^in++++=in
a ^at++++=a
tower ^nn++++=tower,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^xvbn+++xvbn+=made
signs ^nns++++=signs
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
capitulate ^nn+nom+++=capitulate.
. ^zz++++=EXTRAWORD
' ^zz++++='Listen,'
listen ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
' ^zz++++='As
as ^ql++++=EXTRAWORD
long ^rb++++=long
as ^ql++++=as
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
government ^nn+nom+++=government,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
die ^vbi++++=die
for ^in++++=for
our ^pp$+pp1+++=our
prince ^nn++++=prince
and ^cc++++=and
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
Kazan ^np+++??+=Kazan
is ^vbz+bez+vrb++=is
yours ^pp$$++++=yours,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
deliver ^vb++++=deliver
our ^pp$+pp1+++=our
Khan ^npt++++=Khan
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
alive ^jj++++=alive
and ^cc++++=and
unhurt ^nn+++??+=unhurt--lead
-- ^--+clp+++=EXTRAWORD
lead ^nn++++=EXTRAWORD
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
Tzar ^np+++??+=Tzar.
. ^zz++++=EXTRAWORD
For ^in++++=For
our ^pp$+pp1+++=our
own ^ap++++=own
part ^nn++++=part,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
coming ^vbg+++xvbgx+=coming
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
open ^jj+atrb+++=open
field ^nn++++=field
to ^in++++=to
drain ^nn++++=drain
our ^pp$+pp1+++=our
last ^jj+atrb+++=last
cup ^nn++++=cup
of ^in++++=of
life ^nn++++=life
with ^in++++=with
you ^pp2+pp2+++=you.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Yediguer ^np+nom++??+=Yediguer
and ^cc++++=and
one ^cd1++++=one
old ^jj+atrb+++=old
councillor ^nn++++=councillor
were ^vbd+bed+aux++=were
accordingly ^rb++splt++=accordingly
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
an ^at++++=an
officer ^nn++++=officer,
