Peg ^nn++++=Peg
and ^cc+cls+++=and
quake ^nn+++??+=quake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pray ^vb+vsua+++=pray
her ^pp$+pp3+++=her
last ^rb++++=last.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
Penlynden ^np+++??+=Penlynden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
as ^in++++=as
vague ^nn++++=vague
as ^in++++=as
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
more ^rbr++++=more
gloomy ^jj++++=gloomy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
about ^in++++=about
a ^at++++=a
week ^nn++++=week
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
went ^vbd+++xvbn+=went
oftener ^rbr++++=oftener.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cleric ^nn++++=cleric
in ^in++++=in
the ^ati++++=the
long ^rb++++=long
black ^jj+atrb+++=black
frock ^nn++++=frock
was ^vbd+bedz+vrb++=was
also ^rb++++=also
daily ^jj+pred+++=daily
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
at ^rb++++=at
last ^rb"++++=last
came ^vbd+++xvbn+=came
that ^dt+dem+++=that
last ^rb++++=last
sacrament ^nn+nom+++=sacrament
in ^in++++=in
the ^ati++++=the
gates ^nns++++=gates
of ^in++++=of
death ^nn++++=death,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
sinner ^nn++++=sinner
is ^vbz+bez+aux++=is
traversing ^vbg+++xvbgx+=traversing
those ^dt+dem+++=those
dread ^nn++++=dread
steps ^nns++++=steps
that ^tht+rel+subj++=that
never ^rb++++=never
can ^md+pos+++=can
be ^vb+be+aux++=be
retraced ^vpsv++agls+xvbnx+=retraced;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
face ^nn++++=face
is ^vbz+bez+aux++=is
turned ^vpsv++agls+xvbnx+=turned
for ^rb++++=for
ever ^rb"++++=ever
from ^in++++=from
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
a ^at++++=a
receding ^jj+atrb++xvbg+=receding
shape ^nn++++=shape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hear ^vb+vprv+++=hear
a ^at++++=a
voice ^nn++++=voice
already ^rb++++=already
irrevocably ^jj++++=irrevocably
in ^in++++=in
the ^ati++++=the
land ^nn++++=land
of ^in++++=of
spirits ^nns++++=spirits.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
poor ^jj+atrb+++=poor
lady ^npt++++=lady
died ^vbd+++xvbn+=died;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
people ^nns++++=people
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Captain ^npt++++=Captain
" ^zz++++="felt
felt ^vbd+vprv++xvbn+=EXTRAWORD
it ^pp3+it+++=it
very ^ql+amp+++=very
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
very ^ql+amp+++=very
well ^rb++++=well
just ^rb+emph+++=just
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
the ^ati++++=the
part ^nn++++=part
of ^in++++=of
mourner ^jjr++++=mourner
and ^cc++++=and
penitent ^nn++++=penitent
to ^in++++=to
admiration ^nn+nom+++=admiration--being
-- ^--+clp+++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
seedy ^jj++++=seedy
and ^cc+phrs+++=and
sick ^jj++++=sick.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drank ^vbd+++xvbnx+=drank
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
brandy ^nn++++=brandy
and ^cc++++=and
water ^nn++++=water
that ^tht+rel+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vpsv++agls+xvbn+=called
in ^rb+phrv+++=in
Farmer ^nn++++=Farmer
Dobbs ^np+++??+=Dobbs,
, ^zz++++=EXTRAWORD
for ^in++++=for
want ^in"++++=want
of ^in"++++=of
better ^jjr+atrb+++=better
company ^nn++++=company,
, ^zz++++=EXTRAWORD
to ^to++++=to
drink ^vbi++++=drink
with ^in++++=with
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
all ^abn++++=all
his ^pp$+pp3+++=his
grievances ^nns+nom+++=grievances,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
happy ^jj++++=happy
he ^pp3a+pp3+++=he
and ^cc++++=and
" ^zz++++="the
the ^ati++++=EXTRAWORD
poor ^jj+atrb+++=poor
lady ^nn++++=lady
up ^rp++++=up-stairs"
- ^zz++++=EXTRAWORD
stairs ^nns++++=EXTRAWORD
" ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
it ^pp3+it+++=it
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
liars ^nns++++=liars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pick ^vb++++=pick-thanks,
- ^zz++++=EXTRAWORD
thanks ^rb+dspt+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tale ^nn++++=tale-bearers,
- ^zz++++=EXTRAWORD
bearers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came
between ^in+ppvb+++=between
them ^pp3o+pp3+++=them--meaning
-- ^--+clp+++=EXTRAWORD
meaning ^nvbg+++xvbg+=EXTRAWORD
Molly ^np++++=Molly
Doyle ^np+++??+=Doyle--whom,
-- ^--+clp+++=EXTRAWORD
whom ^whp+wpor+++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
waxed ^vbd+++xvbnx+=waxed
eloquent ^jj++++=eloquent
over ^in++++=over
his ^pp$+pp3+++=his
liquor ^nn++++=liquor,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
at ^rb++++=at
last ^rb"++++=last
to ^to++++=to
curse ^vbi++++=curse
and ^cc++++=and
rail ^nn++++=rail
at ^in++++=at
by ^in++++=by
name ^nn++++=name,
, ^zz++++=EXTRAWORD
with ^in++++=with
more ^rbr++++=more
than ^in++++=than
his ^pp$+pp3+++=his
accustomed ^vbd+++xvbn+=accustomed
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
described ^vbd+++xvbnx+=described
his ^pp$+pp3+++=his
own ^ap++++=own
natural ^jj+atrb+++=natural
character ^nn+nom+++=character
and ^cc++++=and
amiability ^nn+nom+++=amiability
in ^in++++=in
such ^abl++++=such
moving ^jj+atrb++xvbg+=moving
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
wept ^vbd+++xvbnx+=wept
maudlin ^jj+atrb+++=maudlin
tears ^nns++++=tears
of ^in++++=of
sensibility ^nn+nom+++=sensibility
over ^in++++=over
his ^pp$+pp3+++=his
theme ^nn++++=theme;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Dobbs ^np+++??+=Dobbs
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
drank ^j+++xvbn+=drank
some ^dti++++=some
more ^rbr++++=more
grog ^nn+++??+=grog,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vpsv++agls+xvbn+=took
to ^to+vcmp+++=to
railing ^vb+nom+++=railing
and ^cc++++=and
cursing ^vbg+++xvbg+=cursing
again ^rb+tm+++=again
by ^in++++=by
himself ^ppl+pp3+++=himself;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
mounted ^vbd+++xvbn+=mounted
the ^ati++++=the
stairs ^nns++++=stairs
unsteadily ^rb+cnj+++=unsteadily,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
" ^zz++++="what
what ^wdt+who+++=EXTRAWORD
the ^ati++++=the
devil ^nn++++=devil
Doyle ^np+++??+=Doyle
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
-- ^--+clp+++=---old
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
witches ^nns++++=witches
were ^vbd+bed+vrb++=were
about ^in++++=about
in ^in++++=in
poor ^jj+atrb+++=poor
Peg ^np++++=Peg's
's ^$++++=EXTRAWORD
room ^nn++++=room."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
pushed ^vbd+++xvbnx+=pushed
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
some ^dti++++=some
half ^abn++++=half-dozen
- ^zz++++=EXTRAWORD
dozen ^cd++++=EXTRAWORD
crones ^nns+++??+=crones,
, ^zz++++=EXTRAWORD
chiefly ^rb++++=chiefly
Irish ^jj++++=Irish,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
neighbouring ^jj+atrb+++=neighbouring
town ^nn++++=town
of ^in++++=of
Hackleton ^np+++??+=Hackleton,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
over ^in++++=over
tea ^nn++++=tea
and ^cc++++=and
snuff ^nn++++=snuff,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
candles ^nns++++=candles
lighted ^vbd+++xvbn+=lighted
round ^rb++++=round
the ^ati++++=the
corpse ^nn++++=corpse,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
arrayed ^vwbn+++xvbn+=arrayed
in ^in++++=in
a ^at++++=a
strangely ^rb++++=strangely
cut ^vb+++xvbn+=cut
robe ^nn++++=robe
of ^in++++=of
brown ^jj+atrb+++=brown
serge ^nn++++=serge.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
secretly ^rb++splt++=secretly
belonged ^vprf+++xvbnx+=belonged
to ^in++++=to
some ^dti++++=some
order ^nn++++=order--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think
the ^ati++++=the
Carmelite ^np+++??+=Carmelite,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
certain ^jj++++=certain--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
wore ^vbd+++xvbn+=wore
the ^ati++++=the
habit ^nn++++=habit
in ^in++++=in
her ^pp$+pp3+++=her
coffin ^nn++++=coffin.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
the ^ati++++=the
d ^zz++++=d---are
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
with ^in++++=with
my ^pp$+pp1+++=my
wife ^nn++++=wife?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
Captain ^nn++++=Captain,
, ^zz++++=EXTRAWORD
rather ^rb++++=rather
thickly ^rb++++=thickly.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
dare ^vb++++=dare
you ^pp2+pp2+++=you
dress ^nn++++=dress
her ^pp$+pp3+++=her
up ^rp++++=up
in ^in++++=in
this ^dt+pdem+++=this
-- ^--+clp+++=---trumpery,
- ^zz++++=EXTRAWORD
trumpery ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
cheating ^nvbg+++xvbg+=cheating
old ^jj+atrb+++=old
witch ^nn++++=witch;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+dem+++=that
candle ^nn++++=candle
doing ^vwbg+++xvbg+=doing
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
startled ^jj+++xvbn+=startled,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
spectacle ^nn++++=spectacle
was ^vbd+bedz+vrb++=was
grisly ^jj+pred+++=grisly
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dead ^jj+atrb+++=dead
lady ^nn++++=lady
was ^vbd+bedz+aux++=was
arrayed ^vwbn+++xvbn+=arrayed
in ^in++++=in
this ^dt+dem+++=this
strange ^jj+atrb+++=strange
brown ^jj+atrb+++=brown
robe ^nn++++=robe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
her ^pp$+pp3+++=her
rigid ^jj+atrb+++=rigid
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
a ^at++++=a
socket ^nn++++=socket,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
large ^jj+atrb+++=large
wooden ^jj+atrb+++=wooden
beads ^nns++++=beads
and ^cc++++=and
cross ^jj++++=cross
wound ^xvbn+++xvbn+=wound
round ^rb++++=round
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
burned ^j+++xvbn+=burned
a ^at++++=a
wax ^nn++++=wax
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
shedding ^vbg+++xvbg+=shedding
its ^pp$+it+++=its
white ^jj++++=white
light ^jj++++=light
over ^in++++=over
the ^ati++++=the
sharp ^jj+atrb+++=sharp
features ^nns++++=features
of ^in++++=of
the ^ati++++=the
corpse ^nn++++=corpse.
. ^zz++++=EXTRAWORD
Moll ^np+++??+=Moll
Doyle ^np+++??+=Doyle
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
put ^vpsv++agls+xvbnx+=put
down ^rb+phrv+++=down
by ^in++++=by
the ^ati++++=the
Captain ^nn++++=Captain,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
she ^pp3a+pp3+++=she
hated ^vbd+++xvbnx+=hated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accordingly ^rb+cnj+++=accordingly,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
phrase ^nn++++=phrase,
, ^zz++++=EXTRAWORD
" ^zz++++="he
he ^pp3a+pp3+++=EXTRAWORD
got ^vbd+++xvbnx+=got
as ^ql++++=as
good ^jj++++=good
as ^ql++++=as
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
Captain ^np++++=Captain's
's ^$++++=EXTRAWORD
wrath ^nn++++=wrath
waxed ^vbd+++xvbn+=waxed
fiercer ^jjr++++=fiercer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
chucked ^vbd+++xvbnx+=chucked
the ^ati++++=the
wax ^nn++++=wax
taper ^nn++++=taper
from ^in++++=from
the ^ati++++=the
dead ^jj+atrb+++=dead
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
flinging ^xvbg+++xvbg+=flinging
it ^pp3+it+++=it
at ^in++++=at
the ^ati++++=the
old ^jj+atrb+++=old
serving-woman ^nn+nom+++=serving-woman's
's ^$++++=EXTRAWORD
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
holy ^jj+atrb+++=holy
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
sinner ^nn++++=sinner!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+vrb++0=EXTRAWORD
a ^at++++=a
mind ^nn++++=mind
to ^to++++=to
make ^vbi++++=make
you ^pp2+pp2+++=you
eat ^vb++++=eat
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
beast ^nn++++=beast,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
Captain ^nn++++=Captain.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
known ^vbd+vprv++xvbn+=known
before ^cs+sub+++=before
what ^wdt+who+++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
subsided ^vprf+++xvbn+=subsided
a ^rb++++=a
little ^rb"++++=little
sulkily ^rb+cnj+++=sulkily,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
stuffed ^vbd+++xvbnx+=stuffed
his ^pp$+pp3+++=his
hand ^nn++++=hand
with ^in++++=with
the ^ati++++=the
candle ^nn++++=candle
( ^zz++++=(quite
quite ^rb++++=EXTRAWORD
extinct ^jj++++=extinct
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time)
) ^zz++++=EXTRAWORD
into ^in++++=into
his ^pp$+pp3+++=his
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he-"You
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
devilish ^jj++++=devilish
well ^rb++++=well
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
no ^at++++=no
business ^nns+nom+++=business
going ^vwbg+++xvbg+=going
on ^in++++=on
with ^in++++=with
y ^zz++++=y-y-your
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
your ^pp$+pp2+++=EXTRAWORD
d ^zz++++=d---witch-craft
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
witch ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
craft ^nn++++=EXTRAWORD
about ^in++++=about
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
without ^in++++=without
my ^pp$+pp1+++=my
leave ^vb++++=leave--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+vrb++=do--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
please ^uh++++=please
take ^vb++++=take
off ^rb+phrv+++=off
that ^dt+dem+++=that
d ^zz++++=d---brown
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
pinafore ^nn+++??+=pinafore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
get ^vb++++=get
her ^pp$+pp3+++=her
decently ^rb++++=decently
into ^in++++=into
her ^pp$+pp3+++=her
coffin ^nn++++=coffin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
pitch ^vb++++=pitch
your ^pp$+pp2+++=your
devil ^nn++++=devil's
's ^$++++=EXTRAWORD
waxlight ^nn+++??+=waxlight
into ^in++++=into
the ^ati++++=the
sink ^nn++++=sink."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
Captain ^npt++++=Captain
stalked ^vbd+++xvbn+=stalked
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="An'
and ^cc++++0=EXTRAWORD
now ^rn+tm+++=now
her ^pp$+pp3+++=her
poor ^jj+atrb+++=poor
sowl ^nn+++??+=sowl's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
wretch ^nn++++=wretch,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
the ^ati++++=the
mains ^nn++++=mains
of ^in++++0=o'
ye ^pp2+pp2+++=ye;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
may ^md+pos+++=may
yer ^pp$++++=yer
own ^ap++++=own
be ^vb+be+aux++=be
shut ^vpsv++agls+xvbnx+=shut
into ^in++++=into
the ^ati++++=the
wick ^np++++=wick
of ^in++++0=o'
that ^dt+dem+++=that
same ^ap++++=same
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
burned ^vpsv++agls+xvbnx+=burned
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
savage ^jj++++=savage."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
ducked ^vbd+++xvbn+=ducked
for ^in++++=for
a ^at++++=a
witch ^nn++++=witch,
, ^zz++++=EXTRAWORD
for ^in++++=for
two ^cd++++=two-pence,"
- ^zz++++=EXTRAWORD
pence ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
roared ^vbd+++xvbn+=roared
the ^ati++++=the
Captain ^nn++++=Captain
up ^rp++++=up
the ^ati++++=the
staircase ^nn++++=staircase,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
hand ^nn++++=hand
on ^in++++=on
the ^ati++++=the
banisters ^nns+nom+++=banisters,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
on ^in++++=on
the ^ati++++=the
lobby ^nn++++=lobby.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
chamber ^nn++++=chamber
of ^in++++=of
death ^nn++++=death
clapped ^vbd+++xvbn+=clapped
angrily ^rb+cnj+++=angrily,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
parlour ^nn++++=parlour,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
examined ^vbd+++xvbnx+=examined
the ^ati++++=the
holy ^jj+atrb+++=holy
candle ^nn++++=candle
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
tipsy ^jj+atrb+++=tipsy
gravity ^nn+nom+++=gravity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
with ^in++++=with
something ^pn++++=something
of ^in++++=of
that ^dt+dem+++=that
reverential ^jj++++=reverential
feeling ^jj+++xvbg+=feeling
for ^in++++=for
the ^ati++++=the
symbolic ^jj++++=symbolic,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
uncommon ^jj++++=uncommon
in ^in++++=in
rakes ^nns++++=rakes
and ^cc++++=and
scamps ^nns+++??+=scamps,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thoughtfully ^rb++++=thoughtfully
locked ^jj+++xvbn+=locked
it ^pp3+it+++=it
up ^rp++++=up
in ^in++++=in
a ^at++++=a
press ^nn++++=press,
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
were ^vbd+bed+aux++=were
accumulated ^vpsv++agls+xvbnx+=accumulated
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
obsolete ^jj+atrb+++=obsolete
rubbish ^nn++++=rubbish--soiled
-- ^--+clp+++=EXTRAWORD
soiled ^jj+atrb+++=EXTRAWORD
packs ^nns++++=packs
of ^in++++=of
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
disused ^jj+atrb++xvbn+=disused
tobacco ^nn++++=tobacco
pipes ^nns++++=pipes,
, ^zz++++=EXTRAWORD
broken ^jj+atrb++xvbn+=broken
powder ^nn++++=powder
flasks ^nns++++=flasks,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
military ^jj+atrb+++=military
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
dusky ^nn+++??+=dusky
bundle ^nn++++=bundle
of ^in++++=of
the ^ati++++=the
" ^zz++++="Flash
flash ^nn++++=EXTRAWORD
Songster ^nn+nom+++=Songster,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
other ^ap++++=other
questionable ^jj+atrb+++=questionable
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
trouble ^nn++++=trouble
the ^ati++++=the
dead ^jj+atrb+++=dead
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
room ^nn++++=room
any ^dti++++=any
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
a ^at++++=a
volatile ^jj+atrb+++=volatile
man ^nn++++=man
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
probable ^jj+pred+++=probable
that ^tht+jcmp+++=that
more ^rbr++++=more
cheerful ^jj+atrb+++=cheerful
plans ^nns++++=plans
and ^cc++++=and
occupations ^nns+nom+++=occupations
