After ^in++++=After
than ^in++++=than
you ^pp2+pp2+++=you
thought ^vbd+++xvbn+=thought
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton
examined ^vwbn+++xvbn+=examined
his ^pp$+pp3+++=his
patient ^nn++++=patient.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
only ^rb+down+splt++=only
prescribed ^vprf+++xvbnx+=prescribed
last ^rb++++=last
night ^nn++++=night,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
you ^pp2+pp2+++=you
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
all ^abn++++=all
this ^dt+pdem+++=this
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
saved ^vpsv++agls+xvbnx+=saved."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
alarmed ^vpsv++agls+xvbnx+=alarmed,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
" ^zz++++="there
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
serious ^jj++++=serious
in ^in++++=in
this ^dt+dem+++=this
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
soon ^rb+tm+splt++=soon
subside ^vb++++=subside."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
scarlet ^jj+atrb+++=scarlet
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
passionately ^rb+cnj+++=passionately,
, ^zz++++=EXTRAWORD
bursting ^jj+++xvbg+=bursting
into ^in++++=into
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
beg ^vb++++=beg
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^in++++=to
distress ^nns+nom+++=distress
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
danger ^nn++++=danger!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
last ^rb++++=last
night ^nn++++=night,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
much ^ap++++=much
worse ^jjr++++=worse
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
getting ^vbg+++xvbgx+=getting!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton
was ^vbd+bedz+vrb++=was
generally ^rb+down+++=generally
a ^at++++=a
man ^nn++++=man
of ^in++++=of
few ^ap++++=few
words ^nns++++=words,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
no ^at++++=no
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
wrote ^vbd+vprv++xvbn+=wrote
a ^at++++=a
prescription ^nn+nom+++=prescription,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
promising ^jj++++=promising,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
earnest ^nn++++=earnest
request ^nn++++=request
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel,
, ^zz++++=EXTRAWORD
to ^to++++=to
call ^vbi++++=call
again ^rb+tm+++=again
that ^cs+sub+++=that
night ^nn++++=night.
. ^zz++++=EXTRAWORD
About ^in++++=About
nine ^cd++++=nine
o'clock ^rb++++=o'clock
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
in ^rb+cnj+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
Charley ^np++++=Charley's
's ^$++++=EXTRAWORD
fever ^nn++++=fever
in ^in++++=in
no ^at++++=no
degree ^nn++++=degree
abated ^vbd+++xvbn+=abated.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel
was ^vbd+bedz+vrb++=was
in ^in++++=in
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
husband ^nn++++=husband
pacing ^vwbg+++xvbg+=pacing
the ^ati++++=the
floor ^nn++++=floor
in ^in++++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
great ^jj+atrb+++=great
uneasiness ^nns+nom+++=uneasiness.
. ^zz++++=EXTRAWORD
" ^zz++++="O
o ^zz++++=EXTRAWORD
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
die ^vb++++=die!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel,
, ^zz++++=EXTRAWORD
weeping ^nn++++=weeping
bitterly ^rb++++=bitterly.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
alarmed ^vpsv++agls+xvbnx+=alarmed,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^jj+atrb+++=dear
madam ^npt++++=madam,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
doctor ^nn++++=doctor.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
assure ^vb++++=assure
you ^pp2+pp2+++=you
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
serious ^jj++++=serious."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
' ^zz++++='sure
sure ^jj++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
scarlet ^jj+atrb+++=scarlet
fever ^nn++++=fever!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
about ^in++++=about
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
in ^in++++=in
earnest ^nn++++=earnest
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
throat ^nn++++=throat
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
least ^rbt++++=least
sore ^nn++++=sore."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
sore ^jj+pred+++=sore!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
responded ^vbd+++xvbn+=responded
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
examining ^vbg+++xvbg+=examining
Charley ^np++++=Charley's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth
and ^cc++++=and
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
showed ^vbd+vprv++xvbn+=showed
not ^xnot++not++=not
the ^ati++++=the
least ^rbt++++=least
symptom ^nn++++=symptom
of ^in++++=of
any ^dti++++=any
irritation ^nn+nom+++=irritation
of ^in++++=of
the ^ati++++=the
mucous ^jj+atrb+++=mucous
membrane ^nn++++=membrane.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
sore ^jj+pred+++=sore
from ^in++++=from
any ^dti++++=any
serious ^jj+atrb+++=serious
cause ^nn++++=cause.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
trifling ^jj+atrb+++=trifling
swelling ^nn+nom+++=swelling
of ^in++++=of
the ^ati++++=the
glands ^nns+++??+=glands
is ^vbz+bez+vrb++=is
all ^abn++++=all
that ^dt+pdem+++=that
can ^md+pos+++=can
occasion ^vb++++=occasion
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
any ^dti++++=any
exist ^vb++++=exist."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
assured ^jj+++xvbn+=assured,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
positive ^jj+atrb+++=positive
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel's
's ^$++++=EXTRAWORD
alarm ^vb++++=alarm
in ^in++++=in
some ^dti++++=some
degree ^nn++++=degree
abated ^vbd+++xvbn+=abated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
ordering ^xvbg+++xvbg+=ordering
a ^at++++=a
warm ^jj+atrb+++=warm
bath ^np++++=bath,
, ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor
retired ^vbd+++xvbn+=retired.
. ^zz++++=EXTRAWORD
About ^in++++=About
three ^cd++++=three
o'clock ^rb++++=o'clock
the ^ati++++=the
doctor ^nn++++=doctor
was ^vbd+bedz+aux++=was
again ^rb+tm+splt++=again
sent ^vpsv++agls+xvbnx+=sent
for ^in++++=for
in ^in++++=in
great ^jj+atrb+++=great
haste ^nn++++=haste.
. ^zz++++=EXTRAWORD
On ^in++++=On
entering ^xvbg+++xvbg+=entering
the ^ati++++=the
chamber ^nn++++=chamber
of ^in++++=of
his ^pp$+pp3+++=his
little ^ap++++=little
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
his ^pp$+pp3+++=his
fever ^nn++++=fever
all ^abn++++=all
gone ^vprf+++xvbn+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
in ^in++++=in
a ^at++++=a
pleasant ^jj+atrb+++=pleasant
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low,
, ^zz++++=EXTRAWORD
anxious ^jj+atrb+++=anxious
whisper ^nn++++=whisper.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
doing ^vbg+++xvbgx+=doing
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
he ^pp3a+pp3+++=he
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
a' ^nn+++??+=a'n't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
should ^md+nec+++=should
breathe ^vb++++=breathe
so ^rb+emph+++=so
low ^jj++++=low?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looks ^nns++++=looks
so ^ql++++=so
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lays ^vbz++++=lays
so ^ql++++=so
quiet ^nn++++=quiet!
! ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
sure ^jj++++=sure
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
dying ^nvbg+++xvbg+=dying?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dying!"
dying ^vbg+++xvbg+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton,--"he ^np++++=Elton,--"he's
's ^$++++=EXTRAWORD
no ^at++++=no
more ^rbr++++=more
dying ^vbg+++xvbg+=dying
than ^in++++=than
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are!
! ^zz++++=EXTRAWORD
Really ^rb+cnj+++=Really,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel,
, ^zz++++=EXTRAWORD
yon ^nn+++??+=yon
torment ^nn+nom+++=torment
yourself ^ppl+pp2+++=yourself
with ^in++++=with
unnecessary ^jj+atrb+++=unnecessary
fears ^nns++++=fears!
! ^zz++++=EXTRAWORD
Nature ^nn++++=Nature
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
a ^rb++++=a
little ^rb"++++=little
exhausted ^jj+++xvbn+=exhausted
from ^in++++=from
struggling ^xvbg+++xvbg+=struggling
with ^in++++=with
the ^ati++++=the
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
be ^vb+be+vrb++=be
like ^in++++=like
a ^at++++=a
new ^jj+atrb+++=new
person ^nn++++=person
by ^in++++=by
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
mistake ^vb++++=mistake
the ^ati++++=the
case ^nn++++=case,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
much ^ap++++=much
concerned ^jj+++xvbn+=concerned,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
assure ^vb++++=assure
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
the ^ati++++=the
case ^nn++++=case
precisely ^rb++++=precisely;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
must ^md+nec+++=must
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
that ^dt+dem+++=that
no ^at++++=no
patient ^nn++++=patient
was ^vbd+bedz+vrb++=was
ever ^rb++++=ever
in ^in++++=in
a ^at++++=a
better ^jjr+atrb+++=better
way ^nn++++=way
than ^in++++=than
your ^pp$+pp2+++=your
little ^jj+atrb+++=little
boy ^nn++++=boy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Next ^ap++++=Next
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
charges ^nns++++=charges
made ^vwbn+++xvbn+=made
by ^in++++=by
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
two ^cd++++=two
against ^in++++=against
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel,
, ^zz++++=EXTRAWORD
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
To ^to++++=To
four ^cd++++=four
visits ^nns++++=visits
to ^in++++=to
son ^nn++++=son,
, ^zz++++=EXTRAWORD
$ ^zz++++=$4.
4 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
_to ^nn+++??+=_To
one ^cd1++++=one
night ^nn++++=night-visit
- ^zz++++=EXTRAWORD
visit ^vb++++=EXTRAWORD
to ^in++++=to
son,_ ^nn+++??+=son,_
$ ^zz++++=$5.
5 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
bad ^jj+atrb+++=bad
customer ^nn+nom+++=customer!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
up ^rp++++=up
the ^ati++++=the
whole ^jj+atrb+++=whole
account ^nn++++=account,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
closed ^vbd+++xvbn+=closed
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
constant ^jj+atrb+++=constant
habit ^nn++++=habit
of ^in++++=of
sending ^nn++++=sending
for ^in++++=for
the ^ati++++=the
doctor ^nn++++=doctor
on ^in++++=on
every ^at++++=every
trifling ^jj+atrb+++=trifling
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
it ^pp3+it+++=it
occurred ^vbd+++xvbn+=occurred
at ^rb++++=at
noonday ^nn++++=noonday
or ^cc++++=or
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
wondered ^vpsv++agls+xvbnx+=wondered
at ^rb++++=at
that ^dt+dem+++=that
a ^at++++=a
pretty ^rb++++=pretty
large ^jj+atrb+++=large
bill ^nn++++=bill
should ^md+nec+++=should
find ^vb+vprv+++=find
its ^pp$+it+++=its
way ^nn++++=way
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
year ^nn++++=year.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
worst ^nn++++=worst
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
the ^ati++++=the
health ^nn++++=health
of ^in++++=of
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
family ^nn++++=family
suffered ^vbd+++xvbn+=suffered
in ^in++++=in
no ^at++++=no
slight ^jj+atrb+++=slight
degree ^nn++++=degree
from ^in++++=from
the ^ati++++=the
fact ^nn++++=fact
of ^in++++=of
each ^dt++++=each
individual ^jj++++=individual
being ^jj+++xvbg+=being
so ^ql++++=so
frequently ^rb++++=frequently
under ^in++++=under
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
medicine ^nn++++=medicine.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
Charley ^np++++=Charley
was ^vbd+bedz+aux++=was
victimized ^vpsv++agls+xvbnx+=victimized
almost ^rb+hdg+++=almost
every ^at++++=every
week ^nn++++=week;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^at++++=a
fresh ^jj+atrb+++=fresh,
, ^zz++++=EXTRAWORD
hearty ^jj+atrb+++=hearty
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
show ^vbi+vprv+++=show
a ^at++++=a
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
thin ^jj+atrb+++=thin
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
indication ^nn+nom+++=indication
of ^in++++=of
a ^at++++=a
weakened ^jj+atrb++xvbn+=weakened
vital ^jj+atrb+++=vital
action ^nn++++=action.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
appearance ^nn+nom+++=appearance
only ^ap+down+++=only
increased ^jj+++xvbn+=increased
the ^ati++++=the
evil ^nn++++=evil,
, ^zz++++=EXTRAWORD
for ^in++++=for
both ^abx++++=both
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
growing ^jj+++xvbg+=growing
more ^rbr++++=more
anxious ^jj++++=anxious
in ^rb++++=in
consequence ^nn+nom+++=consequence,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
more ^rbr++++=more
urgent ^vb+pred+++=urgent
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
him ^pp3o+pp3+++=him
placed ^vbd+++xvbn+=placed
under ^in++++=under
treatment ^nn+nom+++=treatment.
. ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Elton ^np++++=Elton
sometimes ^rb++++=sometimes
remonstrated ^vbd+++xvbn+=remonstrated
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
no ^ati++neg++=no
purpose ^nn++++=purpose;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yielding ^vbg+++xvbg+=yielding
to ^in++++=to
their ^pp$+pp3+++=their
ignorance ^nn+nom+++=ignorance
and ^cc++++=and
their ^pp$+pp3+++=their
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
a ^at++++=a
party ^nn++++=party
in ^in++++=in
the ^ati++++=the
destruction ^nn+nom+++=destruction
of ^in++++=of
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
health ^nn++++=health.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Marvel ^np++++=Marvel
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
some ^dti++++=some
ten ^cd++++=ten
months ^nns++++=months
after ^in++++=after
their ^pp$+pp3+++=their
introduction ^nn+nom+++=introduction
to ^in++++=to
the ^ati++++=the
reader ^nn++++=reader,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
latter ^ap++++=latter
regarded ^jj+++xvbn+=regarded,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
pleasant ^jj+atrb+++=pleasant
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
piece ^nn++++=piece
of ^in++++=of
paper ^nn++++=paper
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
held ^vbd+vprv++xvbnx+=held
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
