Colonel ^npt++++=Colonel
brethren ^nns++++=brethren
refused ^vbd+++xvbn+=refused
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
loved ^vbd+++xvbnx+=loved
Boone ^np++++=Boone
too ^ql++++=too
well ^rb++++=well
to ^in++++=to
part ^nn++++=part
with ^in++++=with
him ^pp3o+pp3+++=him
at ^in++++=at
any ^dti++++=any
price ^nn++++=price,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
took ^vbd+++xvbnx+=took
him ^pp3o+pp3+++=him
back ^rp++++=back
to ^in++++=to
Old ^jj+atrb+++=Old
Chillicothe ^np+++??+=Chillicothe
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
betrayed ^vbd+++xvbn+=betrayed
the ^ati++++=the
anxiety ^nn++++=anxiety
for ^in++++=for
his ^pp$+pp3+++=his
wife ^nn++++=wife
and ^cc++++=and
children ^nns++++=children
that ^tht+rel+++=that
constantly ^rb++++=constantly
tormented ^jj+++xvbn+=tormented
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
for ^in++++=for
fear ^nn++++=fear
of ^in++++=of
rousing ^xvbg+++xvbg+=rousing
the ^ati++++=the
suspicions ^nns++++=suspicions
of ^in++++=of
the ^ati++++=the
Indians ^nn++++=Indians;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
Old ^jj+atrb+++=Old
Chillicothe ^np+++??+=Chillicothe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv+tht0+xvbn+=found
a ^at++++=a
large ^jj+atrb+++=large
party ^nn++++=party
painted ^vbd+++xvbn+=painted
and ^cc++++=and
ready ^jj++++=ready
to ^to+jcmp+++=to
take ^vbi++++=take
the ^ati++++=the
warpath ^nn+++??+=warpath
in ^in++++=in
a ^at++++=a
new ^nn++++=new
attack ^vb++++=attack
upon ^in++++=upon
Boones ^np+++??+=Boones-borough,
- ^zz++++=EXTRAWORD
borough ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
bear ^vb+vprv+tht0++=bear
it ^pp3+it+++=it
no ^at++++=no
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
showed ^vbd+vprv++xvbnx+=showed
no ^at++++=no
sign ^nn++++=sign
of ^in++++=of
his ^pp$+pp3+++=his
misery ^nn++++=misery,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
joined ^vbd+++xvbnx+=joined
the ^ati++++=the
Indians ^nn++++=Indians
in ^in++++=in
all ^abn++++=all
their ^pp$+pp3+++=their
sports ^nns++++=sports
as ^ql++++=as
before ^in++++=before,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
watching ^vbg+++xvbgx+=watching
for ^in+ppvb+++=for
some ^dti++++=some
chance ^nn++++=chance
to ^to+ncmp+++=to
escape ^vbi++++=escape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
morning ^nn++++=morning
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
June ^nr++++=June
he ^pp3a+pp3+++=he
stole ^vbd+++xvbnx+=stole
away ^in+pl+++=away
from ^in"++++=from
his ^pp$+pp3+++=his
captors ^nns++++=captors.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
his ^pp$+pp3+++=his
way ^nn++++=way
a ^at++++=a
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty
miles ^nns++++=miles
through ^in++++=through
the ^ati++++=the
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
ninth ^od++++=ninth
day ^nn++++=day
entered ^vbd+++xvbn+=entered
Boonesborough ^np+++??+=Boonesborough,
, ^zz++++=EXTRAWORD
faint ^jj++++=faint
with ^in++++=with
the ^ati++++=the
fast ^nn++++=fast
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
but ^cc++++=but
once ^rb+tm+++=once
in ^in++++=in
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
flight ^nn++++=flight,
, ^zz++++=EXTRAWORD
to ^to++++=to
find ^vbi+vprv+++=find
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
up ^rb+phrv+++=up
for ^in++++=for
dead ^jj++++=dead
and ^cc++++=and
his ^pp$+pp3+++=his
family ^nn++++=family
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
back ^jjb++++=back
to ^in++++=to
North ^nr+pl+++=North
Carolina ^np+++??+=Carolina.
. ^zz++++=EXTRAWORD
Boone ^np++++=Boone
spent ^vbd+++xvbn+=spent
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
his ^pp$+pp3+++=his
days ^nns++++=days
fighting ^vwbg+++xvbg+=fighting
wild ^jj+atrb+++=wild
men ^nns++++=men
and ^cc++++=and
hunting ^nvbg+++xvbg+=hunting
wild ^jj+atrb+++=wild
beasts ^nns++++=beasts
in ^in++++=in
Kentucky ^np+++??+=Kentucky,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
both ^abx++++=both
were ^vbd+bed+vrb++=were
well ^rb++++=well-nigh
- ^zz++++=EXTRAWORD
nigh ^rb++++=EXTRAWORD
gone ^vbd+++xvbn+=gone
and ^cc++++=and
the ^ati++++=the
tamer ^jjr+atrb+++=tamer
life ^nn++++=life
of ^in++++=of
civilization ^nn+nom+++=civilization
pressed ^vbd+++xvbn+=pressed
closer ^rbr++++=closer
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
set ^vbd+++xvbnx+=set
out ^rb+phrv+++=out
for ^in+ppvb+++=for
Missouri ^np+++??+=Missouri,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
himself ^ppl+pp3+++=himself
again ^rb+tm+++=again
in ^in++++=in
the ^ati++++=the
wilderness ^nns+nom+++=wilderness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dwelt ^vbd+++xvbn+=dwelt
there ^rn+pl+++=there
in ^in++++=in
his ^pp$+pp3+++=his
beloved ^jj+atrb+++=beloved
solitude ^nn++++=solitude
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
ever ^rb++++=ever
moved ^vbd+++xvbn+=moved
him ^pp3o+pp3+++=him
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
the ^ati++++=the
memoir ^nn++++=memoir
which ^whp+rel+obj++=which
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
wrote ^vbd+vprv++xvbn+=wrote
down ^rp++++=down
for ^in++++=for
him ^pp3o+pp3+++=him
and ^cc++++=and
had ^vbd+hvd+aux++=had
printed ^vprf+++xvbnx+=printed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
fond ^jj+pred+++=fond
of ^in++++=of
having ^xvbg+++xvbg+=having
it ^pp3+it+++=it
read ^vbd+vprv++xvbn+=read
to ^in++++=to
him ^pp3o+pp3+++=him
( ^zz++++=(for
for ^in++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
read ^vb+vprv++xvbn+=read
any ^dti++++=any
more ^ql++++=more
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
could ^md+pos+++=could
write ^vb++++=write),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
would ^md+prd+++=would
cry ^vb++++=cry
out ^rp+pl+++=out
in ^in++++=in
delight ^nn++++=delight
over ^in++++=over
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
true ^jj++++=true;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
lie ^nn++++=lie
in ^in++++=in
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recorded ^vpsv++agls+xvbnx+=recorded
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
once ^cs+tm+++=once
allowed ^vprf+++xvbn+=allowed
himself ^ppl+pp3+++=himself
to ^to++++=to
be ^vbi++vrb++=be
so ^ql++++=so
far ^rb+pl+++=far
excited ^vpsv++by+xvbn+=excited
by ^in++++=by
the ^ati++++=the
heroic ^jj+atrb+++=heroic
behavior ^nn++++=behavior
of ^in++++=of
a ^at++++=a
friend ^nn++++=friend
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
saved ^vprf+++xvbnx+=saved
his ^pp$+pp3+++=his
life ^nn++++=life
in ^in++++=in
an ^at++++=an
Indian ^jj+atrb+++=Indian
fight ^nn++++=fight,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own,
, ^zz++++=EXTRAWORD
as ^in++++=as
to ^in"++++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
behaved ^vbd+++xvbn+=behaved
like ^in++++=like
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
friend ^nn++++=friend
was ^vbd+bedz+vrb++=was
Simon ^np++++=Simon
Kenton ^np+++??+=Kenton,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb++++=rather
Simon ^np++++=Simon
Butler ^np++++=Butler,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
greatest ^nn++++=greatest
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
Indian ^jj+atrb+++=Indian
hunters ^nns+nom+++=hunters
of ^in++++=of
Kentucky ^np+++??+=Kentucky
and ^cc++++=and
Ohio ^np+++??+=Ohio.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed
his ^pp$+pp3+++=his
name ^nn++++=name
to ^to++++=to
escape ^vbi++++=escape
pursuit ^nn++++=pursuit
from ^in++++=from
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
home ^nr++++=home
in ^in++++=in
Virginia ^np++++=Virginia,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
fled ^vbd+++xvbnx+=fled
leaving ^nvbg+++xvbg+=leaving
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
neighbors ^nns++++=neighbors,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
supposed ^vbd+vprv++xvbnx+=supposed,
, ^zz++++=EXTRAWORD
dead ^jj++++=dead
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground
after ^in++++=after
a ^at++++=a
fight ^nn++++=fight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
the ^ati++++=the
name ^nn++++=name
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
through ^in++++=through
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wandered ^vbd+++xvbnx+=wandered
about ^in++++=about
on ^in++++=on
the ^ati++++=the
frontier ^nn+nom+++=frontier
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
wilderness ^nns+nom+++=wilderness
beyond ^in++++=beyond
it ^pp3+it+++=it
for ^in++++=for
several ^ap++++=several
years ^nns++++=years,
, ^zz++++=EXTRAWORD
fighting ^nvbg+++xvbg+=fighting
the ^ati++++=the
savages ^nns+nom+++=savages
single ^jj++++=single
handed ^jj+++xvbn+=handed
or ^cc++++=or
with ^in++++=with
a ^ap++++=a
few ^ap"++++=few
comrades ^nns++++=comrades,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
times ^nns++++=times
serving ^vwbg+++xvbg+=serving
as ^ql++++=as
scout ^nn++++=scout
or ^cc++++=or
spy ^nn++++=spy
in ^in++++=in
the ^ati++++=the
expeditions ^nns+nom+++=expeditions
of ^in++++=of
the ^ati++++=the
English ^nn++++=English
against ^in++++=against
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
Revolution ^nn+nom+++=Revolution
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sided ^vbd+++xvbnx+=sided
of ^in+emph+++=of
course ^nn+emph"+++=course
with ^in++++=with
his ^pp$+pp3+++=his
own ^ap++++=own
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
two ^cd++++=two
sieges ^nns+++??+=sieges
by ^in++++=by
the ^ati++++=the
Indians ^nn++++=Indians
in ^in++++=in
Boonesborough ^np+++??+=Boonesborough.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
here ^rn+pl+++=here
that ^cs+sub+++=that
Boone ^np++++=Boone
found ^vbd+vprv++xvbn+=found
him ^pp3o+pp3+++=him
in ^in++++=in
1778 ^cd+date+++=1778
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
escaped ^vbd+++xvbnx+=escaped
from ^in++++=from
Old ^jj+atrb+++=Old
Chillicothe ^np+++??+=Chillicothe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
promptly ^rb++++=promptly
made ^vbd+++xvbn+=made
a ^at++++=a
foray ^nn++++=foray
together ^nn+nom+++=together
into ^in++++=into
the ^ati++++=the
Ohio ^np+++??+=Ohio
country ^nn++++=country,
, ^zz++++=EXTRAWORD
against ^in++++=against
an ^at++++=an
Indian ^jj+atrb+++=Indian
town ^nn++++=town
on ^in++++=on
Paint ^nn++++=Paint
Creek ^npl++++=Creek.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
fell ^vbd+++xvbnx+=fell
in ^rb+phrv+++=in
with ^in+ppvb+++=with
a ^at++++=a
war ^nn++++=war
party ^nn++++=party
on ^in++++=on
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
some ^dti++++=some
fighting ^nvbg+++xvbg+=fighting,
, ^zz++++=EXTRAWORD
Boone ^np++++=Boone
went ^vbd+++xvbn+=went
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Kenton ^np+++??+=Kenton
kept ^vbd+++xvbn+=kept
on ^rb+phrv+++=on
with ^in++++=with
another ^dt++++=another
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
return ^vb++++=return
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
some ^dti++++=some
Indian ^jj+atrb+++=Indian
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
As ^ql++++=As
soon ^rb+tm+++=soon
as ^ql++++=as
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
Boonesborough ^np+++??+=Boonesborough
the ^ati++++=the
commandant ^npt+nom+++=commandant
sent ^vbd+++xvbn+=sent
them ^pp3o+pp3+++=them
into ^in++++=into
Ohio ^np+++??+=Ohio
again ^rb+tm+++=again
to ^in++++=to
reconnoiter ^jjr++++=reconnoiter
a ^at++++=a
town ^nn++++=town
on ^in++++=on
the ^ati++++=the
Little ^jj+atrb+++=Little
Miami ^np++++=Miami
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
attack ^vb++++=attack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
once ^rb+tm+++=once
more ^ql++++=more
Kenton ^np+++??+=Kenton
was ^vbd+bedz+aux++=was
tempted ^vpsv++by+xvbnx+=tempted
by ^in++++=by
the ^ati++++=the
chance ^nn++++=chance
to ^to+ncmp+++=to
steal ^vbi++++=steal
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
bear ^vb+vprv+++=bear
to ^to+vcmp+++=to
leave ^vbi++++=leave
any ^dti++++=any,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
and ^cc++++=and
his ^pp$+pp3+++=his
men ^nns++++=men
started ^vbd+++xvbn+=started
homeward ^rb++++=homeward
through ^in++++=through
the ^ati++++=the
woods ^nns++++=woods
with ^in++++=with
the ^ati++++=the
whole ^jj+atrb+++=whole
herd ^nn++++=herd.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
Ohio ^np+++??+=Ohio,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
so ^ql++++=so
rough ^np++++=rough
that ^tht+rel+obj++=that
Kenton ^np+++??+=Kenton
was ^vbd+bedz+aux++=was
nearly ^rb+down+splt++=nearly
drowned ^vpsv++agls+xvbnx+=drowned
in ^in++++=in
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
cross ^vbi++++=cross
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
back ^rb+phrv+++=back
to ^in++++=to
the ^ati++++=the
northern ^jj+atrb+++=northern
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
all ^abn++++=all
waited ^jj+++xvbn+=waited
for ^in++++=for
the ^ati++++=the
wind ^nn++++=wind
to ^to++++=to
go ^vbi++++=go
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
waves ^nns++++=waves
to ^to++++=to
fall ^vbi++++=fall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
the ^ati++++=the
Indians ^nn++++=Indians
found ^vbd+vprv++xvbn+=found
them ^pp3o+pp3+++=them
the ^ati++++=the
second ^od++++=second
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
comrades ^nns++++=comrades
were ^vbd+bed+aux++=were
killed ^vpsv++agls+xvbnx+=killed
and ^cc++++=and
Kenton ^np+++??+=Kenton
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
prisoner ^nn+nom+++=prisoner
by ^in++++=by
the ^ati++++=the
Indians ^nn++++=Indians
whose ^whp+rel+obj++=whose
horses ^nns++++=horses
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Indians ^nn++++=Indians
were ^vbd+bed+aux++=were
always ^rb++splt++=always
stealing ^nvbg+++xvbg+=stealing
white ^jj+atrb+++=white
men ^nns++++=men's
's ^$++++=EXTRAWORD
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
think ^vbi+vprv+tht0++=think
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
much ^ap++++=much
more ^rbr++++=more
wicked ^jj++++=wicked
and ^cc+phrs+++=and
shameful ^jj++++=shameful
for ^in++++=for
white ^jj+atrb+++=white
men ^nns++++=men
to ^to++++=to
steal ^vbi++++=steal
Indians ^nn++++=Indians'
' ^zz++++=EXTRAWORD
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
fell ^vbd+++xvbnx+=fell
upon ^in++++=upon
Kenton ^np+++??+=Kenton
and ^cc++++=and
beat ^nn+++xvbn+=beat
him ^pp3o+pp3+++=him
over ^in++++=over
the ^ati++++=the
head ^nn++++=head
with ^in++++=with
their ^pp$+pp3+++=their
ramrods ^nns+++??+=ramrods
and ^cc++++=and
mocked ^vbd+++xvbn+=mocked
him ^pp3o+pp3+++=him
with ^in++++=with
cries ^nns++++=cries
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
" ^zz++++="Steal
steal ^vb++++=EXTRAWORD
Indians ^nn++++=Indians'
' ^zz++++=EXTRAWORD
hoss ^nns+++??+=hoss,
, ^zz++++=EXTRAWORD
hey ^uh++++=hey!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
his ^pp$+pp3+++=his
sufferings ^nns++++=sufferings.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
fastened ^vbd+++xvbnx+=fastened
him ^pp3o+pp3+++=him
for ^in++++=for
the ^ati++++=the
night ^nn++++=night
by ^in++++=by
stretching ^xvbg+++xvbg+=stretching
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground
with ^in++++=with
one ^cd1++++=one
stick ^vb++++=stick
across ^in+pl+++=across
his ^pp$+pp3+++=his
breast ^nn++++=breast
and ^cc++++=and
another ^dt++++=another
down ^rp++++=down
his ^pp$+pp3+++=his
middle ^jjb++++=middle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tying ^vbg+++xvbg+=tying
his ^pp$+pp3+++=his
hands ^nns++++=hands
and ^cc++++=and
feet ^nns++++=feet
to ^in++++=to
these ^dt+dem+++=these
with ^in++++=with
thongs ^nns+++??+=thongs
of ^in++++=of
buffalo ^nn+++??+=buffalo
skin ^nn++++=skin:
: ^zz++++=EXTRAWORD
stakes ^nns++++=stakes
were ^vbd+bed+aux++=were
driven ^vpsv++agls+xvbnx+=driven
into ^in++++=into
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
pinioned ^jj+atrb++xvbn+=pinioned
arms ^nns++++=arms
and ^cc++++=and
legs ^nns++++=legs
were ^vbd+bed+aux++=were
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^at++++=a
halter ^jjr++++=halter,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
passed ^vpsv++agls+xvbnx+=passed
round ^rb+phrv+++=round
his ^pp$+pp3+++=his
neck ^nn++++=neck
and ^cc++++=and
then ^rn+tm+++=then
round ^in++++=round
a ^at++++=a
sapling ^nn+nom+++=sapling
near ^in+pl+++=near
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
him ^pp3o+pp3+++=him
from ^in++++=from
moving ^xvbg+++xvbg+=moving
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
making ^vbg+++xvbgx+=making
sure ^jj++++=sure
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
should ^md+nec+++=should
not ^xnot++not++=not
escape ^vb++++=escape,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Indians ^nn++++=Indians
were ^vbd+bed+aux++=were
cuffing ^vbg+++xvbgx+=cuffing
his ^pp$+pp3+++=his
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reviling ^nn+nom+++=reviling
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
" ^zz++++="Tief!
tief ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
A ^at++++=A
hoss ^nns+++??+=hoss
steal ^vb++++=steal!
! ^zz++++=EXTRAWORD
A ^at++++=A
rascal ^nn++++=rascal!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning
they ^pp3a+pp3+++=they
mounted ^vbd+++xvbnx+=mounted
him ^pp3o+pp3+++=him
on ^in++++=on
an ^at++++=an
unbroken ^jj+atrb+++=unbroken
colt ^nn++++=colt,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
tied ^vbd+++xvbn+=tied
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him
and ^cc++++=and
his ^pp$+pp3+++=his
legs ^nns++++=legs
tied ^vbd+++xvbn+=tied
under ^in++++=under
the ^ati++++=the
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drove ^vbd+++xvbn+=drove
it ^pp3+it+++=it
into ^in++++=into
the ^ati++++=the
briers ^nn++++=briers
and ^cc++++=and
underbrush ^nn+++??+=underbrush,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
his ^pp$+pp3+++=his
face ^nn++++=face
and ^cc++++=and
hands ^nns++++=hands
were ^vbd+bed+aux++=were
torn ^vpsv++by+xvbnx+=torn
by ^in++++=by
the ^ati++++=the
brambles ^nns++++=brambles,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
the ^ati++++=the
colt ^nn++++=colt
quieted ^vbd+++xvbn+=quieted
down ^rp++++=down
of ^in++++=of
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vpsv++agls+xvbn+=followed
in ^in++++=in
line ^in"++++=line
with ^in"++++=with
the ^ati++++=the
other ^ap++++=other
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
third ^od++++=third
day ^nn++++=day,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
drew ^vbd+++xvbnx+=drew
near ^in+pl+++=near
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Old ^jj+atrb+++=Old
Chillicothe ^np+++??+=Chillicothe,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Boone ^np++++=Boone
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
held ^vpsv++agls+xvbnx+=held
captive ^jj++++=captive,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
met ^vpsv++by+xvbnx+=met
by ^in++++=by
the ^ati++++=the
chief ^jjb++++=chief
