Her ^pp$+pp3+++=Her
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
breathing ^nvbg+++xvbg+=breathing
was ^vbd+bedz+aux++=was
so ^ql++++=so
faint ^vb++++=faint
that ^dt+dem+++=that
in ^in++++=in
her ^pp$+pp3+++=her
half ^abn++++=half-reclining
- ^zz++++=EXTRAWORD
reclining ^jj+atrb++xvbg+=EXTRAWORD
position ^nn+nom+++=position
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
hear ^vb+vprv+++=hear
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+vrb++=be
aware ^jj+pred+++=aware
of ^in++++=of
the ^ati++++=the
moment ^nn++++=moment
of ^in++++=of
his ^pp$+pp3+++=his
death ^nn++++=death.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
extended ^vbd+++xvbnx+=extended
her ^pp3o+pp3+++=her
arm ^vb++++=arm
resolutely ^rb++++=resolutely
and ^cc++++=and
laid ^xvbn+++xvbn+=laid
her ^pp$+pp3+++=her
hand ^nn++++=hand
on ^in++++=on
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
must ^md+nec+++=must
she ^pp3a+pp3+++=she
feel ^vb+vprv+tht0++=feel
his ^pp$+pp3+++=his
going ^vbg+++xvbg+=going,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
strong ^jj++++=strong
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
comradeship ^nn+nom+++=comradeship
between ^in++++=between
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
loving ^xvbg+++xvbg+=loving
honor ^nn++++=honor
to ^to++++=to
stand ^vbi++++=stand
by ^in++++=by
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
last ^ap++++=last.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
hot ^jj+atrb+++=hot
heavy ^jj+atrb+++=heavy
night ^nn++++=night,
, ^zz++++=EXTRAWORD
pressing ^nvbg+++xvbg+=pressing
her ^pp3o+pp3+++=her
hand ^nn++++=hand
hard ^jj++++=hard
against ^in++++=against
the ^ati++++=the
ebbing ^jj+atrb++xvbg+=ebbing
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
unseen ^jj++++=unseen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
awaited ^jj+atrb++xvbn+=awaited
Death ^nn++++=Death.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
an ^at++++=an
odd ^nn++++=odd
fancy ^vb+vprv+++=fancy
possessed ^vbd+++xvbn+=possessed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
was ^vbd+bedz+aux++=was
Death ^nn++++=Death?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
tarrying ^nvbg+++xvbg+=tarrying?
? ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
was ^vbd+bedz+aux++=was
detaining ^vbg+++xvbgx+=detaining
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
From ^in++++=From
what ^wdt+who+++=what
quarter ^nn++++=quarter
would ^md+prd+++=would
he ^pp3a+pp3+++=he
come ^vb++++=come?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
taking ^vbg+++xvbgx+=taking
his ^pp$+pp3+++=his
leisure ^nn++++=leisure,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
near ^in+pl+++=near
with ^in++++=with
footsteps ^nns++++=footsteps
as ^cs+sub+++=as
measured ^vbd+++xvbn+=measured
as ^ql++++=as
those ^dt+dem+++=those
of ^in++++=of
men ^nns++++=men
keeping ^vwbg+++xvbg+=keeping
time ^nn++++=time
to ^in++++=to
a ^at++++=a
funeral ^nn++++=funeral
march ^nn++++=march.
. ^zz++++=EXTRAWORD
By ^in++++=By
a ^at++++=a
wayward ^jj+atrb+++=wayward
deflection ^nn+nom+++=deflection
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
of ^in++++=of
the ^ati++++=the
slow ^jj+atrb+++=slow
music ^nn++++=music
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
turned ^vpsv++agls+xvbnx+=turned
on ^rb+phrv+++=on
in ^in++++=in
the ^ati++++=the
theatre ^nn++++=theatre
when ^wrb+who+++=when
the ^ati++++=the
heroine ^nn++++=heroine
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
appear ^vb+seem+++=appear,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
something ^pn++++=something
eventful ^jj++++=eventful
to ^to++++=to
happen ^vbi+v+++=happen.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
always ^rb++splt++=always
thought ^vprf+++xvbnx+=thought
that ^tht+vcmp+++=that
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
thing ^nn++++=thing
ridiculous ^jj++++=ridiculous
and ^cc++++=and
inartistic ^nn++++=inartistic.
. ^zz++++=EXTRAWORD
So ^ql++++=So
had ^vb+hv+vrb++=had
He ^pp3a+pp3+++=He.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drew ^vbd+++xvbnx+=drew
her ^pp$+pp3+++=her
brows ^nns++++=brows
together ^nn+nom+++=together
angrily ^rb+cnj+++=angrily,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering
at ^rb++++=at
her ^pp3o+pp3+++=her
levity ^nn++++=levity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pressed ^jj+++xvbn+=pressed
her ^pp3o+pp3+++=her
relaxed ^vbd+++xvbn+=relaxed
palm ^np++++=palm
against ^in++++=against
the ^ati++++=the
heart ^nn++++=heart
it ^pp3+it+++=it
kept ^vbd+++xvbn+=kept
guard ^vb++++=guard
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
the ^ati++++=the
sweat ^nn++++=sweat
stood ^vbd+++xvbn+=stood
on ^in++++=on
her ^pp$+pp3+++=her
face ^nn++++=face;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
pent ^jj++++=pent-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
breath ^nn++++=breath
burst ^vbd+++xvbn+=burst
from ^in++++=from
her ^pp$+pp3+++=her
lungs ^nns++++=lungs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
still ^rb++++=still
lived ^vbd+++xvbn+=lived.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
more ^rbr++++=more
the ^ati++++=the
fancy ^nn++++=fancy
wantoned ^vbd+++xvbn+=wantoned
above ^jjb++++=above
the ^ati++++=the
stunned ^jj+atrb++xvbn+=stunned
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Death ^nn++++=Death--where
-- ^--+clp+++=EXTRAWORD
where ^wrb+who+whq++=EXTRAWORD
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
curious ^jj+atrb+++=curious
experience ^nn+nom+++=experience:
: ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
sitting ^vbg+++xvbgx+=sitting
alone ^rb++++=alone
in ^in++++=in
a ^at++++=a
big ^jj+atrb+++=big
house ^nn++++=house--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
the ^ati++++=the
cook ^nn++++=cook
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
out ^rp+pl+++=out--waiting
-- ^--+clp+++=EXTRAWORD
waiting ^vbg+++xvbg+=EXTRAWORD
for ^in++++=for
Death ^nn++++=Death
to ^to++++=to
come ^vbi++++=come
and ^cc++++=and
snatch ^nn++++=snatch
her ^pp3o+pp3+++=her
husband ^nn++++=husband
from ^in++++=from
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
No ^at++++=No;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
snatch ^vb++++=snatch,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
steal ^vb++++=steal
upon ^in++++=upon
his ^pp$+pp3+++=his
prey ^nn++++=prey
as ^in++++=as
noiselessly ^rb++++=noiselessly
as ^in++++=as
the ^ati++++=the
approach ^nn++++=approach
of ^in++++=of
Sin ^nn++++=Sin
to ^in++++=to
Innocence ^nn+nom+++=Innocence--an
-- ^--+clp+++=EXTRAWORD
an ^at++++=EXTRAWORD
invisible ^jj++++=invisible,
, ^zz++++=EXTRAWORD
unfair ^jj+atrb+++=unfair,
, ^zz++++=EXTRAWORD
sneaking ^jj+atrb+++=sneaking
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
with ^in++++=with
whom ^whp+rel+pied++=whom
no ^at++++=no
man ^nn++++=man's
's ^$++++=EXTRAWORD
strength ^nn++++=strength
could ^md+pos+++=could
grapple ^vb++++=grapple.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
would ^md+prd+++=would
only ^ap+down+++=only
come ^vprf+++xvbn+=come
like ^in++++=like
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
take ^vb++++=take
his ^pp$+pp3+++=his
chances ^nns+nom+++=chances
like ^in++++=like
a ^at++++=a
man ^nn++++=man!
! ^zz++++=EXTRAWORD
Women ^nns++++=Women
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
reach ^vbi++++=reach
the ^ati++++=the
hearts ^nns++++=hearts
of ^in++++=of
giants ^nns++++=giants
with ^in++++=with
the ^ati++++=the
dagger ^nn++++=dagger's
's ^$++++=EXTRAWORD
point ^nn++++=point.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
would ^md+prd+++=would
creep ^vb++++=creep
upon ^in++++=upon
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gave ^vbd+++xvbnx+=gave
an ^at++++=an
exclamation ^nn+nom+++=exclamation
of ^in++++=of
horror ^nn++++=horror.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
was ^vbd+bedz+aux++=was
creeping ^vbg+++xvbgx+=creeping
over ^in++++=over
the ^ati++++=the
window ^nn++++=window-sill.
- ^zz++++=EXTRAWORD
sill ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
limbs ^nns++++=limbs
palsied ^vbd+++xvbn+=palsied,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
struggled ^vbd+++xvbnx+=struggled
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
feet ^nns++++=feet
and ^cc++++=and
looked ^vbd+++xvbn+=looked
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
dragged ^vbd+++xvbn+=dragged
about ^in++++=about
against ^in++++=against
her ^pp$+pp3+++=her
own ^ap++++=own
volition ^nn+nom+++=volition.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
small ^jj+atrb+++=small
green ^nn++++=green
stars ^nns++++=stars
glared ^vbd+++xvbn+=glared
menacingly ^rb++++=menacingly
at ^rb++++=at
her ^pp3o+pp3+++=her
just ^rb+emph+++=just
above ^jjb++++=above
the ^ati++++=the
sill ^nn++++=sill;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
cat ^nn++++=cat
possessing ^vwbg+++xvbg+=possessing
them ^pp3o+pp3+++=them
leaped ^vbd+++xvbn+=leaped
downward ^jjb++++=downward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stars ^nn++++=stars
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
realized ^vbd+vprv++xvbnx+=realized
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
horribly ^rb++splt++=horribly
frightened ^vpsv++agls+xvbnx+=frightened.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
possible ^jj++++=possible?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="Am
am ^vb+bem+vrb++=EXTRAWORD
I ^pp1a+pp1+++=I
afraid ^jj++++=afraid
of ^in++++=of
Death ^nn++++=Death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
Death ^nn++++=Death
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
yet ^rb++++=yet
come ^vprf+++xvbn+=come?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
rather ^rb++++=rather
a ^at++++=a
brave ^jj+atrb+++=brave
woman ^nn++++=woman;
; ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^md"++pmd"++=used
to ^to++++=to
call ^vb++++=call
me ^pp1o+pp1+++=me
heroic ^jj++++=heroic;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
with ^in++++=with
him ^pp3o+pp3+++=him
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
fear ^vbi++++=fear
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
begged ^vbd+++xvbnx+=begged
them ^pp3o+pp3+++=them
to ^to++++=to
leave ^vbi++++=leave
me ^pp1o+pp1+++=me
alone ^rb++++=alone
with ^in++++=with
him ^pp3o+pp3+++=him
as ^in++++=as
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
earthly ^jj+atrb+++=earthly
boons ^nns+++??+=boons.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
shame ^vb++++=shame!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
quaking ^jj+pred+++=quaking
as ^ql++++=as
she ^pp3a+pp3+++=she
resumed ^vbd+++xvbnx+=resumed
her ^pp3o+pp3+++=her
seat ^nn++++=seat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^xvbn+++xvbn+=laid
her ^pp$+pp3+++=her
hand ^nn++++=hand
again ^rb+tm+++=again
on ^in++++=on
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wished ^vbd+vprv++xvbnx+=wished
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked
Mary ^np++++=Mary
to ^to++++=to
sit ^vbi++++=sit
outside ^jjb++++=outside
the ^ati++++=the
door ^nn++++=door;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
bell ^nn++++=bell
in ^in++++=in
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
To ^to++++=To
call ^vbi++++=call
would ^md+prd+++=would
be ^vb+be+vrb++=be
worse ^jjr+pred+++=worse
than ^in++++=than
desecrating ^xvbg+++xvbg+=desecrating
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
God ^np++++=God,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
would ^md+prd+++=would
not ^xnot++not++=not
leave ^nn++++=leave
him ^pp3o+pp3+++=him
for ^in++++=for
one ^cd1++++=one
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
To ^to++++=To
return ^vbi++++=return
and ^cc+phrs+++=and
find ^vb+vprv+++=find
him ^pp3o+pp3+++=him
dead ^jj++++=dead--gone
-- ^--+clp+++=EXTRAWORD
gone ^j+++xvbn+=EXTRAWORD
alone ^rb++++=alone!
! ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
knees ^nns++++=knees
smote ^vbd+++xvbn+=smote
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
idle ^jj+pred+++=idle
to ^to++++=to
deny ^vbi+vpub+++=deny
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
unreasoning ^jj+atrb+++=unreasoning
terror ^nn++++=terror.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
eyes ^nns++++=eyes
rolled ^vbd+++xvbn+=rolled
apprehensively ^jj++++=apprehensively
about ^in+strn+++=about;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wondered ^vbd+vprv++xvbnx+=wondered
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
should ^md+nec+++=should
see ^vb+vprv+tht0++=see
It ^pp3+it+++=It
when ^wrb+who+++=when
It ^pp3+it+++=It
came ^vbd+++xvbn+=came;
; ^zz++++=EXTRAWORD
wondered ^j+++xvbn+=wondered
how ^wrb+who+++=how
far ^rb+pl+++=far
off ^in+pl+++=off
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
very ^ql+amp+++=very
far ^rb+pl+++=far;
; ^zz++++=EXTRAWORD
the ^ati++++=the
heart ^nn++++=heart
was ^vbd+bedz+aux++=was
barely ^rb+down+splt++=barely
pulsing ^vbg+++xvbgx+=pulsing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
of ^in++++=of
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
the ^ati++++=the
corpse ^nn++++=corpse
to ^to++++=to
drive ^vbi++++=drive
brave ^jj+atrb+++=brave
men ^nns++++=men
to ^in++++=to
frenzy ^nn++++=frenzy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
wondered ^vprf+++xvbnx+=wondered,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
no ^at++++=no
morbid ^jj+atrb+++=morbid
horror ^nn++++=horror
of ^in++++=of
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this!
! ^zz++++=EXTRAWORD
To ^to++++=To
wait ^vbi++++=wait--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
wait ^vb++++=wait--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
wait ^vb++++=wait--perhaps
-- ^--+clp+++=EXTRAWORD
perhaps ^rb++++=EXTRAWORD
for ^in++++=for
hours ^nns++++=hours--past
-- ^--+clp+++=EXTRAWORD
past ^jjb++++=EXTRAWORD
the ^ati++++=the
midnight ^nn++++=midnight--on
-- ^--+clp+++=EXTRAWORD
on ^in+cmpx+++=EXTRAWORD
to ^in"++++=to
the ^ati++++=the
small ^jj+atrb+++=small
hours ^nns++++=hours--while
-- ^--+clp+++=EXTRAWORD
while ^cs+sub+++=EXTRAWORD
that ^dt+dem+++=that
awful ^jj++++=awful,
, ^zz++++=EXTRAWORD
determined ^j+++xvbn+=determined,
, ^zz++++=EXTRAWORD
leisurely ^jj++++=leisurely
Something ^pn++++=Something
stole ^vbd+++xvbn+=stole
nearer ^rbr++++=nearer
and ^cc+phrs+++=and
nearer ^rbr++++=nearer.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bent ^vbd+++xvbnx+=bent
to ^in++++=to
him ^pp3o+pp3+++=him
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
her ^pp$+pp3+++=her
protector ^nn++++=protector
with ^in++++=with
a ^at++++=a
spasm ^nn++++=spasm
of ^in++++=of
anger ^nn++++=anger.
. ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
was ^vbd+bedz+aux++=was
the ^ati++++=the
indomitable ^jj+atrb+++=indomitable
spirit ^nn++++=spirit
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
held ^vprf+++xvbnx+=held
her ^pp$+pp3+++=her
all ^abn++++=all
these ^dt+dem+++=these
years ^nns++++=years
with ^in++++=with
such ^abl++++=such
strong ^jj+atrb+++=strong
and ^cc+phrs+++=and
loving ^jj+atrb++xvbg+=loving
clasp ^nn++++=clasp?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
he ^pp3a+pp3+++=he
leave ^vb++++=leave
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
he ^pp3a+pp3+++=he
desert ^nn++++=desert
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
head ^jjb++++=head
fell ^vbd+++xvbn+=fell
back ^jjb++++=back
and ^cc+phrs+++=and
moved ^jj+++xvbn+=moved
restlessly ^rb++++=restlessly
against ^in++++=against
the ^ati++++=the
cushion ^nn++++=cushion;
; ^zz++++=EXTRAWORD
moaning ^vbg+++xvbg+=moaning
with ^in++++=with
the ^ati++++=the
agony ^nn++++=agony
of ^in++++=of
loss ^nn++++=loss,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
recalled ^vbd+vprv++xvbnx+=recalled
him ^pp3o+pp3+++=him
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
fear ^vb++++=fear
once ^rb+tm+++=once
more ^ql++++=more
took ^vbd+++xvbn+=took
possession ^nn++++=possession
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
rigid ^jj++++=rigid,
, ^zz++++=EXTRAWORD
breathless ^jj++++=breathless,
, ^zz++++=EXTRAWORD
awaiting ^vbg+++xvbg+=awaiting
the ^ati++++=the
approach ^nn++++=approach
of ^in++++=of
Death ^nn++++=Death.
. ^zz++++=EXTRAWORD
Suddenly ^rb+cnj+++=Suddenly,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
first ^od++++=first
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
strained ^vbd+++xvbn+=strained
hearing ^xvbg+++xvbg+=hearing
took ^vbd+++xvbn+=took
note ^nn++++=note
of ^in++++=of
a ^at++++=a
sound ^nn++++=sound--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
wary ^jj+atrb+++=wary,
, ^zz++++=EXTRAWORD
muffled ^jj+atrb+++=muffled
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
some ^dti++++=some
one ^cd1++++=one
were ^vbd+bed+aux++=were
creeping ^vbg+++xvbgx+=creeping
up ^rp++++=up
the ^ati++++=the
stair ^nn++++=stair,
, ^zz++++=EXTRAWORD
fearful ^jj++++=fearful
of ^in++++=of
being ^nn+nn+aux++=being
heard ^vbd+vprv++xvbn+=heard.
. ^zz++++=EXTRAWORD
Slowly ^rb++++=Slowly!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
count ^vbi++++=count
a ^at++++=a
hundred ^cd++++=hundred
between ^in++++=between
the ^ati++++=the
laying ^jj+++xvbg+=laying
down ^rp++++=down
of ^in++++=of
each ^dt++++=each
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gave ^vbd+++xvbnx+=gave
a ^at++++=a
hysterical ^jj+atrb+++=hysterical
gasp ^nn++++=gasp.
. ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
was ^vbd+bedz+aux++=was
the ^ati++++=the
slow ^jj+atrb+++=slow
music ^nn++++=music?
? ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
body ^nn++++=body,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
wet ^jj+pred+++=wet--as
-- ^--+clp+++=EXTRAWORD
as ^cs+sub+++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
wave ^nn++++=wave
of ^in++++=of
death ^nn++++=death-sweat
- ^zz++++=EXTRAWORD
sweat ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
over ^rp++++=over
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
stiff ^jj++++=stiff
feeling ^jj+++xvbg+=feeling
at ^rb++++=at
the ^ati++++=the
roots ^nns++++=roots
of ^in++++=of
her ^pp$+pp3+++=her
hair ^nn++++=hair;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wondered ^vbd+vprv++xvbnx+=wondered
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+aux++=were
really ^rb+emph+splt++=really
standing ^vbg+++xvbgx+=standing
erect ^jj++++=erect.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
raise ^vb++++=raise
her ^pp$+pp3+++=her
hand ^nn++++=hand
to ^to++++=to
ascertain ^vbi+vprv+++=ascertain.
. ^zz++++=EXTRAWORD
Possibly ^rb++++=Possibly
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
the ^ati++++=the
coloring ^jj+atrb++xvbg+=coloring
matter ^nn++++=matter
freezing ^nn++++=freezing
and ^cc++++=and
bleaching ^nn++++=bleaching.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
muscles ^nns++++=muscles
were ^vbd+bed+vrb++=were
flabby ^jj+pred+++=flabby,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
nerves ^nns++++=nerves
twitched ^vbd+++xvbn+=twitched
