( ^zz++++=(1855)In
firstclass ^nns+++??+=firstclass,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
negro ^nn++++=negro
slaves ^nns++++=slaves,
, ^zz++++=EXTRAWORD
amongst ^in++++=amongst
other ^ap++++=other
valuable ^jj+atrb+++=valuable
freight ^nn++++=freight,
, ^zz++++=EXTRAWORD
from ^in++++=from
onecolonial ^jj+atrb+++=onecolonial
port ^nn++++=port
to ^in++++=to
another ^dt++++=another.
. ^zz++++=EXTRAWORD
A ^at++++=A
very ^ql+amp+++=very
large ^jj++++=large,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
time ^nn++++=time,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
finevessel ^vb+++??+=finevessel,
, ^zz++++=EXTRAWORD
such ^in++++=such
as ^in++++=as
in ^in"++++=in
those ^dt+dem+++=those
days ^nns++++=days
were ^vbd+bed+vrb++=were
at ^rb++++=at
intervals ^nns+nom+++=intervals
encountered ^vwbn+++xvbn+=encountered
along ^in++++=along
thatmain ^nn+++??+=thatmain;
; ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
superseded ^xvbn+++xvbn+=superseded
Acapulco ^np+++??+=Acapulco
treasure ^nn++++=treasure-ships,
- ^zz++++=EXTRAWORD
ships ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
retired ^vbd+++xvbn+=retired
frigatesof ^nn+++??+=frigatesof
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
king ^nn++++=king's
's ^$++++=EXTRAWORD
navy ^nn++++=navy,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
like ^in++++=like
superannuated ^vbd+++xvbn+=superannuated
Italian ^jj+atrb+++=Italian
palaces,still ^nn+++??+=palaces,still,
, ^zz++++=EXTRAWORD
under ^in++++=under
a ^at++++=a
decline ^nn++++=decline
of ^in++++=of
masters ^nns+nom+++=masters,
, ^zz++++=EXTRAWORD
preserved ^xvbn+++xvbn+=preserved
signs ^nns++++=signs
of ^in++++=of
former ^ap++++=former
state ^nn++++=state.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
whale ^nn++++=whale-boat
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
drew ^vbd+++xvbn+=drew
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
nigh ^rb+cnj+++=nigh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cause ^nn++++=cause
of ^in++++=of
the ^ati++++=the
peculiarpipe ^nn+++??+=peculiarpipe-clayed
- ^zz++++=EXTRAWORD
clayed ^jj+atrb++xvbn+=EXTRAWORD
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
stranger ^nn+nom+++=stranger
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
the ^ati++++=the
slovenly ^jj++++=slovenly
neglectpervading ^jj+++xvbg+=neglectpervading
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spars ^nns+++??+=spars,
, ^zz++++=EXTRAWORD
ropes ^nns++++=ropes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
great ^jj+atrb+++=great
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
bulwarks ^nns+++??+=bulwarks,
, ^zz++++=EXTRAWORD
lookedwoolly ^jj++++=lookedwoolly,
, ^zz++++=EXTRAWORD
from ^in++++=from
long ^jj+atrb+++=long
unacquaintance ^nn+nom+++=unacquaintance
with ^in++++=with
the ^ati++++=the
scraper ^nn++++=scraper,
, ^zz++++=EXTRAWORD
tar ^nn++++=tar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
brush.her ^jjr+atrb+++=brush.Her
keel ^nn++++=keel
seemed ^vbd+seem++xvbn+=seemed
laid ^vbd+++xvbn+=laid,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
ribs ^nns++++=ribs
put ^vbd+++xvbn+=put
together ^rb+cnj+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
launched ^vbd+++xvbnx+=launched,
, ^zz++++=EXTRAWORD
fromezekiel ^nn+++??+=fromEzekiel's
's ^$++++=EXTRAWORD
Valley ^nn++++=Valley
of ^in++++=of
Dry ^jj+atrb+++=Dry
Bones ^nns++++=Bones.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
business ^nns+nom+++=business
in ^in++++=in
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
generalmodel ^nn+++??+=generalmodel
and ^cc++++=and
rig ^nn++++=rig
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
undergone ^vprf+++xvbn+=undergone
no ^at++++=no
material ^nn++++=material
change ^nn++++=change
from ^in++++=from
theiroriginal ^jj++++=theiroriginal
warlike ^jj++++=warlike
and ^cc++++=and
Froissart ^np+++??+=Froissart
pattern ^nn++++=pattern.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
no ^at++++=no
guns ^nns++++=guns
were ^vbd+bed+aux++=were
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tops ^nns++++=tops
were ^vbd+bed+vrb++=were
large ^jj+pred+++=large,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
railed ^jj+pred+++=railed
about ^in++++=about
with ^in++++=with
what ^wdt+who+++=what
had ^vb+hv+vrb++=had
once ^rb+tm+++=once
beenoctagonal ^jj++++=beenoctagonal
net ^jjb++++=net-work,
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
all ^abn++++=all
now ^rn+tm+++=now
in ^in++++=in
sad ^jj+atrb+++=sad
disrepair ^nn++++=disrepair.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
tops ^nns++++=tops
hung ^vbd+++xvbn+=hung
overheadlike ^jj+atrb+++=overheadlike
three ^cd++++=three
ruinous ^jj+atrb+++=ruinous
aviaries ^nns++++=aviaries,
, ^zz++++=EXTRAWORD
in ^in++++=in
one ^pn++++=one
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen,
, ^zz++++=EXTRAWORD
perched ^j+++xvbn+=perched,
, ^zz++++=EXTRAWORD
on ^in++++=on
aratlin ^nn+++??+=aratlin,
, ^zz++++=EXTRAWORD
a ^at++++=a
white ^jj+atrb+++=white
noddy ^nn+++??+=noddy,
, ^zz++++=EXTRAWORD
a ^at++++=a
strange ^jj+atrb+++=strange
fowl ^nn+++??+=fowl,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
called ^jj+++xvbn+=called
from ^in++++=from
its ^pp$+it+++=its
lethargic,somnambulistic ^jj+atrb+++=lethargic,somnambulistic
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
frequently ^rb++++=frequently
caught ^vpsv++by+xvbn+=caught
by ^in++++=by
hand ^nn++++=hand
at ^in++++=at
sea.battered ^vbd+++xvbn+=sea.Battered
and ^cc++++=and
mouldy ^nn+++??+=mouldy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
castellated ^jj+atrb++xvbn+=castellated
forecastle ^nn+++??+=forecastle
seemed ^vbd+seem++xvbn+=seemed
some ^dti++++=some
ancientturret ^nn+++??+=ancientturret,
, ^zz++++=EXTRAWORD
long ^rb++++=long
ago ^rb++++=ago
taken ^vpsv++by+xvbn+=taken
by ^in++++=by
assault ^nn++++=assault,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
left ^vbd+++xvbn+=left
to ^in++++=to
decay ^nn++++=decay.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
thestern ^jj+++xvbn+=thestern,
, ^zz++++=EXTRAWORD
two ^cd++++=two
high ^jj++++=high-raised
- ^zz++++=EXTRAWORD
raised ^vbd+++xvbn+=EXTRAWORD
quarter ^nn++++=quarter
galleries ^nns+nom+++=galleries--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
balustrades ^nns+++??+=balustrades
here ^rn+pl+++=here
and ^cc++++=and
therecovered ^vpsv++agls+xvbn+=therecovered
with ^in++++=with
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
tindery ^nn+nom+++=tindery
sea-moss ^nns+++??+=sea-moss--opening
-- ^--+clp+++=EXTRAWORD
opening ^nvbg+++xvbg+=EXTRAWORD
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
unoccupiedstate ^nn+nom+++=unoccupiedstate-cabin,
- ^zz++++=EXTRAWORD
cabin ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
dead ^jj++++=dead-lights,
- ^zz++++=EXTRAWORD
lights ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
the ^ati++++=the
mild ^jj+atrb+++=mild
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
werehermetically ^rb++++=werehermetically
closed ^jj+++xvbn+=closed
and ^cc+phrs+++=and
calked ^jj+++xvbn+=calked--these
-- ^--+clp+++=EXTRAWORD
these ^dt+dem+++=EXTRAWORD
tenantless ^jj+atrb+++=tenantless
balconies ^nns++++=balconies
hung ^vbd+++xvbn+=hung
over ^in++++=over
thesea ^nn+++??+=thesea
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
the ^ati++++=the
grand ^jj+atrb+++=grand
Venetian ^np+++??+=Venetian
canal ^nn++++=canal.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
principal ^jjb+atrb+++=principal
relic ^nn++++=relic
offaded ^vbd+++xvbn+=offaded
grandeur ^nn++++=grandeur
was ^vbd+bedz+vrb++=was
the ^ati++++=the
ample ^jj++++=ample
oval ^jj++++=oval
of ^in++++=of
the ^ati++++=the
shield ^nn++++=shield-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
stern ^jj++++=stern-piece,intricately
- ^zz++++=EXTRAWORD
piece,intricately ^jj++++=EXTRAWORD
carved ^jj+++xvbn+=carved
with ^in++++=with
the ^ati++++=the
arms ^nns++++=arms
of ^in++++=of
Castile ^np++++=Castile
and ^cc++++=and
Leon ^np++++=Leon,
, ^zz++++=EXTRAWORD
medallioned ^jj+atrb++xvbn+=medallioned
aboutby ^nn+++??+=aboutby
groups ^nns++++=groups
of ^in++++=of
mythological ^jj+atrb+++=mythological
or ^cc+phrs+++=or
symbolical ^jj+atrb+++=symbolical
devices ^nns++++=devices;
; ^zz++++=EXTRAWORD
uppermost ^jj++++=uppermost
and ^cc++++=and
centralof ^nn+++??+=centralof
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
a ^at++++=a
dark ^jj+atrb+++=dark
satyr ^nn+++??+=satyr
in ^in++++=in
a ^at++++=a
mask ^nn++++=mask,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
his ^pp$+pp3+++=his
foot ^nn++++=foot
on ^in++++=on
the ^ati++++=the
prostrateneck ^nn+++??+=prostrateneck
of ^in++++=of
a ^at++++=a
writhing ^jj+atrb+++=writhing
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
likewise ^rb+cnj+++=likewise
masked ^vbd+++xvbn+=masked.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
the ^ati++++=the
ship ^nn++++=ship
had ^vb+hv+vrb++=had
a ^at++++=a
figure ^nn++++=figure-head,
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
only ^rb+down+++=only
a ^at++++=a
plain ^jj+atrb+++=plain
beak ^nn++++=beak,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
quitecertain ^nn+++??+=quitecertain,
, ^zz++++=EXTRAWORD
owing ^in+cmpx+++=owing
to ^in++++=to
canvas ^nn++++=canvas
wrapped ^vbd+++xvbn+=wrapped
about ^in++++=about
that ^dt+dem+++=that
part ^nn++++=part,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
to ^to++++=to
protect ^vbi++++=protect
itwhile ^nn+++??+=itwhile
undergoing ^vwbg+++xvbg+=undergoing
a ^at++++=a
re ^in++++=re-furbishing,
- ^zz++++=EXTRAWORD
furbishing ^jj+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
else ^rb+cnj+++=else
decently ^rb++++=decently
to ^to++++=to
hide ^vbi++++=hide
its ^pp$+it+++=its
decay.rudely ^jj++++=decay.Rudely
painted ^jj+++xvbn+=painted
or ^cc+phrs+++=or
chalked ^jj+++xvbn+=chalked,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
a ^at++++=a
sailor ^nn++++=sailor
freak ^jjb++++=freak,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
forward ^rb++++=forward
sideof ^nn+++??+=sideof
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
pedestal ^nn+nom+++=pedestal
below ^in+pl+++=below
the ^ati++++=the
canvas ^nn++++=canvas,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sentence ^nn+nom+++=sentence,
, ^zz++++=EXTRAWORD
" ^zz++++="_Seguidvuestro
_seguidvuestro ^nn+++??+=EXTRAWORD
jefe_ ^nn+++??+=jefe_"
" ^zz++++=EXTRAWORD
( ^zz++++=(follow
follow ^vb+vprv+++=EXTRAWORD
your ^pp$+pp2+++=your
leader ^nn++++=leader);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
upon ^in++++=upon
the ^ati++++=the
tarnishedheadboards ^nns+++??+=tarnishedheadboards,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
appeared ^j+++xvbn+=appeared,
, ^zz++++=EXTRAWORD
in ^in++++=in
stately ^jj+atrb+++=stately
capitals ^nns+nom+++=capitals,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
gilt ^jj++++=gilt,
, ^zz++++=EXTRAWORD
theship ^nn+nom+++=theship's
's ^$++++=EXTRAWORD
name ^nn++++=name,
, ^zz++++=EXTRAWORD
" ^zz++++="SAN
san ^np++++=EXTRAWORD
Dominick ^np+++??+=DOMINICK,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
each ^dt++++=each
letter ^nn++++=letter
streakingly ^jj+atrb+++=streakingly
corroded ^jj+atrb++xvbn+=corroded
withtricklings ^nns+nom+++=withtricklings
of ^in++++=of
copper ^nn++++=copper-spike
- ^zz++++=EXTRAWORD
spike ^nn+++??+=EXTRAWORD
rust ^nn++++=rust;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
like ^in++++=like
mourning ^xvbg+++xvbg+=mourning
weeds ^nns++++=weeds,
, ^zz++++=EXTRAWORD
darkfestoons ^nns+++??+=darkfestoons
of ^in++++=of
sea ^nn++++=sea-grass
- ^zz++++=EXTRAWORD
grass ^nn++++=EXTRAWORD
slimily ^jj++++=slimily
swept ^vbd+++xvbn+=swept
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro
over ^in++++=over
the ^ati++++=the
name ^nn++++=name,
, ^zz++++=EXTRAWORD
with ^in++++=with
everyhearse ^nn+++??+=everyhearse-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
roll ^nn++++=roll
of ^in++++=of
the ^ati++++=the
hull ^nn++++=hull.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As,
, ^zz++++=EXTRAWORD
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
the ^ati++++=the
boat ^nn++++=boat
was ^vbd+bedz+aux++=was
hooked ^vpsv++agls+xvbnx+=hooked
from ^in++++=from
the ^ati++++=the
bow ^nn++++=bow
along ^in++++=along
toward ^in++++=toward
the ^ati++++=the
gangwayamidship ^nn+nom+++=gangwayamidship,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
keel ^nn++++=keel,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
yet ^rb++++=yet
some ^dti++++=some
inches ^nns++++=inches
separated ^vbd+++xvbn+=separated
from ^in++++=from
the ^ati++++=the
hull,harshly ^nn++++=hull,harshly
grated ^vbd+++xvbn+=grated
as ^ql++++=as
on ^in++++=on
a ^at++++=a
sunken ^jj+atrb+++=sunken
coral ^nn++++=coral
reef ^nn++++=reef.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
proved ^vbd+vprv+tht0+xvbn+=proved
a ^at++++=a
huge ^jj+atrb+++=huge
bunch ^nn++++=bunch
ofconglobated ^vbd+++xvbn+=ofconglobated
barnacles ^nns+++??+=barnacles
adhering ^vwbg+++xvbg+=adhering
below ^in+pl+++=below
the ^ati++++=the
water ^nn++++=water
to ^in++++=to
the ^ati++++=the
side ^nn++++=side
like ^in++++=like
a ^at++++=a
wen ^&fw++++=wen--atoken
-- ^--+clp+++=EXTRAWORD
atoken ^j+++xvbn+=EXTRAWORD
of ^in++++=of
baffling ^jj++++=baffling
airs ^&fw++++=airs
and ^cc++++=and
long ^rb++++=long
calms ^vbz++++=calms
passed ^vbd+++xvbn+=passed
somewhere ^rb++++=somewhere
in ^in++++=in
those ^dt+dem+++=those
seas ^nns++++=seas.
. ^zz++++=EXTRAWORD
Climbing ^nvbg+++xvbg+=Climbing
the ^ati++++=the
side ^nn++++=side,
, ^zz++++=EXTRAWORD
the ^ati++++=the
visitor ^nn++++=visitor
was ^vbd+bedz+aux++=was
at ^rb++splt++=at
once ^rb"+tm+++=once
surrounded ^vpsv++by+xvbn+=surrounded
by ^in++++=by
a ^at++++=a
clamorousthrong ^nn+++??+=clamorousthrong
of ^in++++=of
whites ^nns++++=whites
and ^cc++++=and
blacks ^nns++++=blacks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
latter ^ap++++=latter
outnumbering ^jj+++xvbg+=outnumbering
the ^ati++++=the
former ^ap++++=former
morethan ^nn+nom+++=morethan
could ^md+pos+++=could
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
expected ^vpsv++agls+xvbnx+=expected,
, ^zz++++=EXTRAWORD
negro ^nn++++=negro
transportation ^nn+nom+++=transportation-ship
- ^zz++++=EXTRAWORD
ship ^nn++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
strangerin ^nn+++??+=strangerin
port ^npl++++=port
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
in ^in++++=in
one ^cd1++++=one
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
with ^in"++++=with
one ^cd1++++=one
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
all ^abn++++=all
poured ^jj+atrb++xvbn+=poured
outa ^nn+++??+=outa
common ^jj+atrb+++=common
tale ^nn++++=tale
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering;
; ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
negresses ^nns+nom++??+=negresses,
, ^zz++++=EXTRAWORD
of ^in++++=of
whom ^whp+rel+pied++=whom
there ^rn+pl+++=there
werenot ^nn+++??+=werenot
a ^ap++++=a
few ^ap"++++=few,
, ^zz++++=EXTRAWORD
exceeded ^j+++xvbn+=exceeded
the ^ati++++=the
others ^aps++++=others
in ^in++++=in
their ^pp$+pp3+++=their
dolorous ^jj+atrb+++=dolorous
vehemence ^nn+nom+++=vehemence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scurvy,together ^nn++++=scurvy,together
with ^in++++=with
the ^ati++++=the
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
swept ^vprf+++xvbnx+=swept
off ^in+pl+++=off
a ^at++++=a
great ^jj+atrb+++=great
part ^nn++++=part
of ^in++++=of
their ^pp$+pp3+++=their
number,more ^nn+++??+=number,more
especially ^rb++++=especially
the ^ati++++=the
Spaniards ^nn++++=Spaniards.
. ^zz++++=EXTRAWORD
Off ^rp+pl+++=Off
Cape ^npl++++=Cape
Horn ^np++++=Horn
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
narrowly ^rb++++=narrowly
escapedshipwreck ^jj+++??+=escapedshipwreck;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
for ^in++++=for
days ^nns++++=days
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
lain ^vprf+++xvbn+=lain
tranced ^jj+++xvbn+=tranced
without ^in++++=without
wind;their ^nn+++??+=wind;their
provisions ^nns++++=provisions
were ^vbd+bed+vrb++=were
low ^jj+pred+++=low;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
water ^nn++++=water
next ^in+cmpx+++=next
to ^in"++++=to
none ^pn++++=none;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
lips ^nns++++=lips
thatmoment ^nn+nom+++=thatmoment
were ^vbd+bed+aux++=were
baked ^vpsv++agls+xvbnx+=baked.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
Captain ^npt++++=Captain
Delano ^np+++??+=Delano
was ^vbd+bedz+aux++=was
thus ^rb+cnj+splt++=thus
made ^vpsv++agls+xvbnx+=made
the ^ati++++=the
mark ^nn++++=mark
of ^in++++=of
all ^rb++++=all
eager ^jj+atrb+++=eager
tongues ^nns++++=tongues,
, ^zz++++=EXTRAWORD
hisone ^nn+++??+=hisone
eager ^jj+atrb+++=eager
glance ^nn++++=glance
took ^vbd+++xvbn+=took
in ^rb+phrv+++=in
all ^abn++++=all
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
with ^in++++=with
every ^at++++=every
other ^ap++++=other
object ^nn++++=object
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
upon ^in++++=upon
first ^od++++=first
boarding ^nn++++=boarding
a ^at++++=a
large ^jj+atrb+++=large
and ^cc+phrs+++=and
populous ^jj+atrb+++=populous
ship ^nn++++=ship
at ^rb++++=at
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
especiallya ^nn+++??+=especiallya
foreign ^jj+atrb+++=foreign
one ^pn++++=one,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
nondescript ^jj+atrb+++=nondescript
crew ^nn++++=crew
such ^abl++++=such
as ^ql++++=as
Lascars ^np+++??+=Lascars
or ^cc++++=or
Manilla ^np+++??+=Manilla
men,the ^nn+++??+=men,the
impression ^nn++++=impression
varies ^vbz++++=varies
in ^in++++=in
a ^at++++=a
peculiar ^jj+atrb+++=peculiar
way ^nn++++=way
from ^in++++=from
that ^cs+sub+++=that
produced ^vpsv++by+xvbn+=produced
by ^in++++=by
firstentering ^xvbg+++xvbg+=firstentering
a ^at++++=a
strange ^jj+atrb+++=strange
house ^nn++++=house
with ^in++++=with
strange ^jj+atrb+++=strange
inmates ^nns+nom+++=inmates
in ^in++++=in
a ^at++++=a
strange ^jj+atrb+++=strange
land ^nn++++=land.
. ^zz++++=EXTRAWORD
Bothhouse ^np+++??+=Bothhouse
and ^cc++++=and
ship ^nn++++=ship--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
one ^pn++++=one
by ^in++++=by
its ^pp$+it+++=its
walls ^nns++++=walls
and ^cc++++=and
blinds ^nns++++=blinds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
by ^in++++=by
its ^pp$+it+++=its
highbulwarks ^nns+++??+=highbulwarks
like ^in++++=like
ramparts ^nns++++=ramparts--hoard
-- ^--+clp+++=EXTRAWORD
hoard ^nn+++??+=EXTRAWORD
from ^in++++=from
view ^nn++++=view
their ^pp$+pp3+++=their
interiors ^nns++++=interiors
till ^in++++=till
the ^ati++++=the
lastmoment ^nn+nom+++=lastmoment:
: ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
the ^ati++++=the
ship ^nn++++=ship
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
addition ^nn+nom+++=addition;
; ^zz++++=EXTRAWORD
that ^dt+dem+++=that
theliving ^vbg+++xvbg+=theliving
spectacle ^nn++++=spectacle
it ^pp3+it+++=it
contains ^vbz++++=contains,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
its ^pp$+it+++=its
sudden ^jj+atrb+++=sudden
and ^cc+phrs+++=and
complete ^jj+atrb+++=complete
disclosure,has ^nns+++??+=disclosure,has,
, ^zz++++=EXTRAWORD
in ^in++++=in
contrast ^nn++++=contrast
with ^in++++=with
the ^ati++++=the
blank ^jj+atrb+++=blank
ocean ^nn++++=ocean
which ^whp+rel+obj++=which
zones ^nns++++=zones
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
something ^pn++++=something
of ^in++++=of
theeffect ^nn+++??+=theeffect
of ^in++++=of
enchantment ^nn+nom+++=enchantment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ship ^nn++++=ship
seems ^vbz+seem+++=seems
unreal ^jj++++=unreal;
; ^zz++++=EXTRAWORD
these ^dt+dem+++=these
strange ^jj+atrb+++=strange
costumes,gestures ^nns+++??+=costumes,gestures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
shadowy ^jj+atrb+++=shadowy
tableau ^nn+++??+=tableau
just ^rb+emph+++=just
emerged ^vbd+++xvbn+=emerged
from ^in++++=from
the ^ati++++=the
deep,which ^nn+++??+=deep,which
directly ^rb++++=directly
must ^md+nec+++=must
receive ^vb++++=receive
back ^jjb++++=back
what ^wdt+who+++=what
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
some ^dti++++=some
such ^abl++++=such
influence ^nn+nom+++=influence,
, ^zz++++=EXTRAWORD
as ^in++++=as
above ^jjb++++=above
is ^vbz+bez+aux++=is
attempted ^vpsv++agls+xvbnx+=attempted
to ^to+vcmp+++=to
bedescribed ^vbi++++=bedescribed,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
Captain ^nn++++=Captain
Delano ^np++++=Delano's
's ^$++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
heightened ^xvbn+++xvbn+=heightened
whatever ^nn+nom+++=whatever,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
astaid ^nn+++??+=astaid
scrutiny ^nn++++=scrutiny,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
seemed ^vprf+++xvbnx+=seemed
unusual ^jj++++=unusual;
