Chapter ^nn++++=Chapter
and ^cc++++=and
take ^vb++++=take
the ^ati++++=the
old ^jj+atrb+++=old
home ^nr++++=home!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
pleaded ^vbd+vpub++xvbn+=pleaded
the ^ati++++=the
distracted ^jj+++xvbn+=distracted
Stubbs ^np+++??+=Stubbs
while ^cs+sub+++=while
his ^pp$+pp3+++=his
stricken ^jj+atrb+++=stricken
spouse ^nn++++=spouse
merely ^rb+down+++=merely
glowered ^vbd+++xvbn+=glowered,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure
the ^ati++++=the
child ^nn++++=child's
's ^$++++=EXTRAWORD
affections ^nns+nom+++=affections
are ^vb+ber+aux++=are
elsewhere ^rb++splt++=elsewhere
placed ^vpsv++agls+xvbnx+=placed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
mine ^pp$$++++=mine!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sternly ^rb++++=sternly
snapped ^vbd+++xvbn+=snapped
the ^ati++++=the
sinister ^jj++++=sinister
' ^zz++++='Squire.
squire ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
make ^vb++++=make
her ^pp$+pp3+++=her
love ^nn++++=love
me ^pp1o+pp1+++=me
none ^rb++++=none
shall ^md+prd+++=shall
resist ^vb++++=resist
my ^pp$+pp1+++=my
will ^md+prd+++=will!
! ^zz++++=EXTRAWORD
Either ^dtx++++=Either
she ^pp3a+pp3+++=she
becomes ^vbz++++=becomes
muh ^jj+atrb++??+=muh
wife ^nn++++=wife
or ^cc++++=or
the ^ati++++=the
old ^jj+atrb+++=old
homestead ^nn++++=homestead
goes ^vbz++++=goes!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
with ^in++++=with
a ^at++++=a
sneer ^vb++++=sneer
and ^cc++++=and
flick ^nn++++=flick
of ^in++++=of
his ^pp$+pp3+++=his
riding ^nvbg+++xvbg+=riding-crop
- ^zz++++=EXTRAWORD
crop ^nn++++=EXTRAWORD
' ^zz++++='Squire
squire ^nn++++=EXTRAWORD
Hardman ^np+++??+=Hardman
strode ^vbd+++xvbn+=strode
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Scarce ^jj++++=Scarce
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
departed ^vbd+++xvbnx+=departed,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
there ^ex+pex+++=there
entered ^vpsv++by+xvbn+=entered
by ^in++++=by
the ^ati++++=the
back ^jjb+atrb+++=back
door ^nn++++=door
the ^ati++++=the
radiant ^jj+atrb+++=radiant
lovers ^nns++++=lovers,
, ^zz++++=EXTRAWORD
eager ^jj++++=eager
to ^to+jcmp+++=to
tell ^vbi++++=tell
the ^ati++++=the
senior ^jj+atrb+++=senior
Stubbses ^np+++??+=Stubbses
of ^in++++=of
their ^pp$+pp3+++=their
new ^jj++++=new-found
- ^zz++++=EXTRAWORD
found ^vbd+vprv++xvbn+=EXTRAWORD
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
Imagine ^vb+vprv+++=Imagine
the ^ati++++=the
universal ^jj+atrb+++=universal
consternation ^nn+nom+++=consternation
which ^whp+rel+subj++=which
reigned ^vbd+++xvbn+=reigned
when ^wrb+who+++=when
all ^rb++++=all
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known!
! ^zz++++=EXTRAWORD
Tears ^nns++++=Tears
flowed ^vbd+++xvbn+=flowed
like ^in++++=like
white ^jj+atrb+++=white
ale ^nn++++=ale,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
suddenly ^rb++++=suddenly
Jack ^np++++=Jack
remembered ^vwbn+vprv+tht0+xvbn+=remembered
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
hero ^nn++++=hero
and ^cc++++=and
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
declaiming ^jj+++xvbg+=declaiming
in ^in++++=in
appropriately ^rb++++=appropriately
virile ^jj+atrb+++=virile
accents ^nns++++=accents:
: ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
shall ^md+prd+++=shall
the ^ati++++=the
fair ^jj+atrb+++=fair
Ermengarde ^np+++??+=Ermengarde
be ^vb+be+aux++=be
offered ^vpsv++agls+xvbnx+=offered
up ^in+cmpx+++=up
to ^in"++++=to
this ^dt+dem+++=this
beast ^nn++++=beast
as ^in++++=as
a ^at++++=a
sacrifice ^nn++++=sacrifice
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
live ^vb++++=live!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
protect ^vb++++=protect
her ^pp$+pp3+++=her
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
mine ^nn++++=mine
and ^cc++++=and
then ^rn+tm+++=then
some ^dti++++=some!
! ^zz++++=EXTRAWORD
Fear ^vb++++=Fear
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
dear ^uh++++=dear
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother
to ^to++++=to
be ^vbi+vbi+aux++=be
I ^pp1a+pp1+++=I
will ^md+prd+++=will
defend ^vb++++=defend
you ^pp2+pp2+++=you
all ^rb++++=all!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
the ^ati++++=the
old ^jj+atrb+++=old
home ^nr++++=home
still ^rb++++=still
[ ^zz++++=[adverb,
adverb ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
noun ^nn++++=noun
although ^cs+con+++=although
Jack ^np++++=Jack
was ^vbd+bedz+vrb++=was
by ^in++++=by
no ^at++++=no
means ^nns++++=means
out ^rp+pl+++=out
of ^in++++=of
sympathy ^nn++++=sympathy
with ^in++++=with
Stubbs ^np+++??+=Stubbs'
' ^zz++++=EXTRAWORD
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
farm ^nn++++=farm
produce ^vb++++=produce]
] ^zz++++=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
lead ^vb++++=lead
to ^in++++=to
the ^ati++++=the
altar ^nn++++=altar
the ^ati++++=the
beauteous ^jj+atrb+++=beauteous
Ermengarde ^np+++??+=Ermengarde,
, ^zz++++=EXTRAWORD
loveliest ^jjt++++=loveliest
of ^in++++=of
her ^pp$+pp3+++=her
sex ^nn++++=sex!
! ^zz++++=EXTRAWORD
To ^in++++=To
perdition ^nn+nom+++=perdition
with ^in++++=with
the ^ati++++=the
crool ^nn+++??+=crool
' ^zz++++='Squire
squire ^nn++++=EXTRAWORD
and ^cc++++=and
his ^pp$+pp3+++=his
ill ^jj++++=ill-gotten
- ^zz++++=EXTRAWORD
gotten ^vb+++xvbn+=EXTRAWORD
gold ^nn++++=gold
the ^ati++++=the
right ^nn++++=right
shall ^md+prd+++=shall
always ^rb++splt++=always
win ^vb++++=win,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
hero ^nn++++=hero
is ^vbz+bez+vrb++=is
always ^rb++++=always
in ^in++++=in
the ^ati++++=the
right ^nn++++=right!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
great ^jj+atrb+++=great
city ^nn++++=city
and ^cc++++=and
there ^rn+pl+++=there
make ^vb++++=make
a ^at++++=a
fortune ^nn++++=fortune
to ^to++++=to
save ^vbi++++=save
you ^pp2+pp2+++=you
all ^abn++++=all
ere ^nn+++??+=ere
the ^ati++++=the
mortgage ^nn+nom+++=mortgage
fall ^nn++++=fall
due ^jj++++=due!
! ^zz++++=EXTRAWORD
Farewell ^nn++++=Farewell,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
love ^nn++++=love
I ^pp1a+pp1+++=I
leave ^vb++++=leave
you ^pp2+pp2+++=you
now ^rn+tm+++=now
in ^in++++=in
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
return ^vb++++=return
to ^to++++=to
pay ^vbi++++=pay
off ^in+pl+++=off
the ^ati++++=the
mortgage ^nn+nom+++=mortgage
and ^cc++++=and
claim ^nn++++=claim
you ^pp2+pp2+++=you
as ^ql++++=as
my ^pp$+pp1+++=my
bride ^nn++++=bride!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Jack,
jack ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
protector ^nn++++=protector!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ermie,
ermie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
sweet ^jj+atrb+++=sweet
roll ^nn++++=roll!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dearest!"
dearest ^jjt++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Darling!
darling ^np+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
forget ^vb+vprv+++=forget
that ^tht+vcmp+++=that
ring ^nn++++=ring
at ^rb++++=at
Perkins ^np++++=Perkins'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="Oh!"
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!"
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Chapter ^nn++++=Chapter
Iii ^np+++??+=III
But ^cc++++=But
the ^ati++++=the
resourceful ^jj++++=resourceful
' ^zz++++='Squire
squire ^nn++++=EXTRAWORD
Hardman ^np+++??+=Hardman
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^rb++++=so
easily ^rb++++=easily
to ^to++++=to
be ^vbi+vbi+aux++=be
foiled ^vpsv++agls+xvbnx+=foiled.
. ^zz++++=EXTRAWORD
Close ^jj++++=Close
by ^in++++=by
the ^ati++++=the
village ^nn+nom+++=village
lay ^vbd+++xvbn+=lay
a ^at++++=a
disreputable ^jj+atrb+++=disreputable
settlement ^nn+nom+++=settlement
of ^in++++=of
unkempt ^jj+atrb++xvbn+=unkempt
shacks ^nns+++??+=shacks,
, ^zz++++=EXTRAWORD
populated ^xvbn+++xvbn+=populated
by ^in++++=by
a ^at++++=a
shiftless ^jj+atrb+++=shiftless
scum ^nn+++??+=scum
who ^whp+rel+subj++=who
lived ^vpsv++by+xvbn+=lived
by ^in++++=by
thieving ^xvbg+++xvbg+=thieving
and ^cc++++=and
other ^ap++++=other
odd ^jj+atrb+++=odd
jobs ^nns++++=jobs.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
the ^ati++++=the
devilish ^jj+atrb+++=devilish
villain ^nn++++=villain
secured ^vbd+++xvbn+=secured
two ^cd++++=two
accomplices ^nns++++=accomplices
ill ^jj++++=ill-favoured
- ^zz++++=EXTRAWORD
favoured ^xvbn+++xvbn+=EXTRAWORD
fellows ^nns++++=fellows
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
clearly ^rb++++=clearly
no ^at++++=no
gentlemen ^nns++++=gentlemen.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
the ^ati++++=the
night ^nn++++=night
the ^ati++++=the
evil ^nn++++=evil
three ^cd++++=three
broke ^vbd+++xvbn+=broke
into ^in+ppvb+++=into
the ^ati++++=the
Stubbs ^np+++??+=Stubbs
cottage ^nn+nom+++=cottage
and ^cc++++=and
abducted ^vbd+++xvbn+=abducted
the ^ati++++=the
fair ^jj+atrb+++=fair
Ermengarde ^np+++??+=Ermengarde,
, ^zz++++=EXTRAWORD
taking ^jj+++xvbg+=taking
her ^pp3o+pp3+++=her
to ^in++++=to
a ^at++++=a
wretched ^jj+atrb+++=wretched
hovel ^nn+++??+=hovel
in ^in++++=in
the ^ati++++=the
settlement ^nn+nom+++=settlement
and ^cc++++=and
placing ^vbg+++xvbg+=placing
her ^pp$+pp3+++=her
under ^in++++=under
the ^ati++++=the
charge ^nn++++=charge
of ^in++++=of
Mother ^nn++++=Mother
Maria ^&fw++++=Maria,
, ^zz++++=EXTRAWORD
a ^at++++=a
hideous ^jj+atrb+++=hideous
old ^jj+atrb+++=old
hag ^nn+++??+=hag.
. ^zz++++=EXTRAWORD
Farmer ^nn++++=Farmer
Stubbs ^np+++??+=Stubbs
was ^vbd+bedz+vrb++=was
quite ^abl++++=quite
distracted ^jj+++xvbn+=distracted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
have ^vb+hv+aux++=have
advertised ^vprf+++xvbnx+=advertised
in ^in++++=in
the ^ati++++=the
papers ^nns++++=papers
if ^cs+cnd+++=if
the ^ati++++=the
cost ^nn++++=cost
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
less ^rbr++++=less
than ^in++++=than
a ^at++++=a
cent ^nnu"++++=cent
a ^at++++=a
word ^nn++++=word
for ^in++++=for
each ^dt++++=each
insertion ^nn+nom+++=insertion.
. ^zz++++=EXTRAWORD
Ermengarde ^np+++??+=Ermengarde
was ^vbd+bedz+vrb++=was
firm ^jj+pred+++=firm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
wavered ^vbd+++xvbn+=wavered
in ^in++++=in
her ^pp$+pp3+++=her
refusal ^nn++++=refusal
to ^to+ncmp+++=to
wed ^vbi++++=wed
the ^ati++++=the
villain ^nn++++=villain.
. ^zz++++=EXTRAWORD
" ^zz++++="Aha,
aha ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
proud ^jj+atrb+++=proud
beauty ^nn++++=beauty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
quoth ^nn+++??+=quoth
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
ye ^pp2+pp2+++=ye
in ^in++++=in
me ^pp1o+pp1+++=me
power ^nn++++=power,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sooner ^rbr++++=sooner
or ^cc+phrs+++=or
later ^rbr+tm+++=later
I ^pp1a+pp1+++=I
will ^md+prd+++=will
break ^vb++++=break
that ^dt+pdem+++=that
will ^md+prd+++=will
of ^in++++=of
thine ^pp$+pp2+++=thine!
! ^zz++++=EXTRAWORD
Meanwhile ^rb++++=Meanwhile
think ^vb+vprv+++=think
of ^in++++=of
your ^pp$+pp2+++=your
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
father ^nn++++=father
and ^cc++++=and
mother ^npt++++=mother
as ^cs+sub+++=as
turned ^jj+++xvbn+=turned
out ^rp+pl+++=out
of ^in++++=of
hearth ^nn++++=hearth
and ^cc++++=and
home ^nr++++=home
and ^cc++++=and
wandering ^jj+++xvbg+=wandering
helpless ^jj++++=helpless
through ^in++++=through
the ^ati++++=the
meadows ^nns++++=meadows!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
spare ^jj++++=spare
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
spare ^jj++++=spare
them ^pp3o+pp3+++=them!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
maiden ^nn++++=maiden.
. ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
ha ^uh++++=ha
ha ^uh++++=ha
ha ^uh++++=ha
ha ^uh++++=ha!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
leered ^jj+++xvbn+=leered
the ^ati++++=the
brute ^nn++++=brute.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^rb++++=so
the ^ati++++=the
cruel ^jj+atrb+++=cruel
days ^nns++++=days
sped ^vbd+++xvbn+=sped
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
all ^abn++++=all
in ^in++++=in
ignorance ^nn+nom+++=ignorance
young ^jj+atrb+++=young
Jack ^np++++=Jack
Manly ^jj++++=Manly
was ^vbd+bedz+aux++=was
seeking ^vbg+++xvbgx+=seeking
fame ^nn++++=fame
and ^cc++++=and
fortune ^nn++++=fortune
in ^in++++=in
the ^ati++++=the
great ^jj+atrb+++=great
city ^nn++++=city.
. ^zz++++=EXTRAWORD
Chapter ^nn++++=Chapter
Iv ^np+++??+=IV
One ^cd1++++=One
day ^nn++++=day
as ^in++++=as
' ^zz++++='Squire
squire ^nn++++=EXTRAWORD
Hardman ^np+++??+=Hardman
sat ^vbd+++xvbn+=sat
in ^in++++=in
the ^ati++++=the
front ^jjb+atrb+++=front
parlour ^nn++++=parlour
of ^in++++=of
his ^pp$+pp3+++=his
expensive ^jj+atrb+++=expensive
and ^cc+phrs+++=and
palatial ^jj+atrb+++=palatial
home ^nr++++=home,
, ^zz++++=EXTRAWORD
indulging ^vbg+++xvbg+=indulging
in ^in++++=in
his ^pp$+pp3+++=his
favourite ^jjb+atrb+++=favourite
pastime ^nn++++=pastime
of ^in++++=of
gnashing ^nn++++=gnashing
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
and ^cc++++=and
swishing ^nn++++=swishing
his ^pp$+pp3+++=his
riding ^nvbg+++xvbg+=riding-crop,
- ^zz++++=EXTRAWORD
crop ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
thought ^nn+++xvbn+=thought
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
cursed ^vbd+++xvbnx+=cursed
aloud ^rb++++=aloud
at ^in++++=at
the ^ati++++=the
statue ^nn++++=statue
of ^in++++=of
Satan ^np++++=Satan
on ^in++++=on
the ^ati++++=the
onyx ^nn+++??+=onyx
mantelpiece ^nn++++=mantelpiece.
. ^zz++++=EXTRAWORD
" ^zz++++="Fool
fool ^jjb++++=EXTRAWORD
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+vrb++=did
I ^pp1a+pp1+++=I
ever ^rb++++=ever
waste ^nn++++=waste
all ^abn++++=all
this ^dt+dem+++=this
trouble ^nn++++=trouble
on ^in++++=on
the ^ati++++=the
girl ^nn++++=girl
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
can ^md+pos+++=can
get ^vb++++=get
the ^ati++++=the
farm ^nn++++=farm
by ^in++++=by
simply ^rb++++=simply
foreclosing ^jj+++xvbg+=foreclosing?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
thought ^nn+++xvbn+=thought
of ^in++++=of
that ^dt+pdem+++=that!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
let ^vb+++xvbn+=let
the ^ati++++=the
girl ^nn++++=girl
go ^vb++++=go,
, ^zz++++=EXTRAWORD
take ^vb++++=take
the ^ati++++=the
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
free ^jj+pred+++=free
to ^to+jcmp+++=to
wed ^vbi++++=wed
some ^dti++++=some
fair ^jj+atrb+++=fair
city ^nn++++=city
maid ^np++++=maid
like ^in++++=like
the ^ati++++=the
leading ^jj+++xvbg+=leading
lady ^npt++++=lady
of ^in++++=of
that ^dt+dem+++=that
burlesque ^nn++++=burlesque
troupe ^nn+++??+=troupe
which ^whp+rel+subj++=which
played ^vbd+++xvbn+=played
last ^rb++++=last
week ^nn++++=week
at ^in++++=at
the ^ati++++=the
Town ^nn++++=Town
Hall ^nn++++=Hall!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
so ^ql++++=so
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
settlement ^nn+nom+++=settlement,
, ^zz++++=EXTRAWORD
apologised ^j+++xvbn+=apologised
to ^in++++=to
Ermengarde ^np+++??+=Ermengarde,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
her ^pp$+pp3+++=her
go ^vb++++=go
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
home ^nr++++=home
himself ^ppl+pp3+++=himself
to ^in++++=to
plot ^nn++++=plot
new ^jj+atrb+++=new
crimes ^nns++++=crimes
and ^cc++++=and
invent ^vb++++=invent
new ^jj+atrb+++=new
modes ^nns++++=modes
of ^in++++=of
villainy ^nn+++??+=villainy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
days ^nns++++=days
wore ^vbd+++xvbn+=wore
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Stubbses ^np+++??+=Stubbses
grew ^vbd+++xvbn+=grew
very ^ql+amp+++=very
sad ^jj++++=sad
over ^in++++=over
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
loss ^nn++++=loss
of ^in++++=of
their ^pp$+pp3+++=their
home ^nr++++=home
and ^cc++++=and
still ^rb++++=still
but ^cc++++=but
nobody ^pn++++=nobody
seemed ^vbd+seem++xvbn+=seemed
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
do ^vb++++=do
anything ^pn++++=anything
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
a ^at++++=a
party ^nn++++=party
of ^in++++=of
hunters ^nns+nom+++=hunters
from ^in++++=from
the ^ati++++=the
city ^nn++++=city
chanced ^vbd+++xvbn+=chanced
to ^to++++=to
stray ^vbi++++=stray
over ^in++++=over
the ^ati++++=the
old ^jj+atrb+++=old
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
gold ^nn++++=gold!!
! ^zz++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Hiding ^vbg+++xvbg+=Hiding
his ^pp$+pp3+++=his
discovery ^nn+nom+++=discovery
from ^in++++=from
his ^pp$+pp3+++=his
companions ^nns++++=companions,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
feigned ^vbd+++xvbnx+=feigned
rattlesnake ^nn+++??+=rattlesnake-bite
- ^zz++++=EXTRAWORD
bite ^vb++++=EXTRAWORD
and ^cc+phrs+++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
the ^ati++++=the
Stubbs ^np+++??+=Stubbs'
' ^zz++++=EXTRAWORD
cottage ^nn+nom+++=cottage
for ^in++++=for
aid ^nn++++=aid
of ^in++++=of
the ^ati++++=the
usual ^jj+atrb+++=usual
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
Ermengarde ^np+++??+=Ermengarde
opened ^vbd+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
also ^rb++++=also
saw ^vbd+vprv+tht0+xvbn+=saw
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^cs+sub+++=in
that ^cs"++++=that
moment ^nn++++=moment
resolved ^vwbn+vsua++xvbn+=resolved
to ^to+vcmp+++=to
win ^vbi++++=win
her ^pp3o+pp3+++=her
and ^cc++++=and
the ^ati++++=the
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
old ^jj+atrb+++=old
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
sake ^nn++++=sake
I ^pp1a+pp1+++=I
must ^md+nec+++=must"
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried
loudly ^rb++++=loudly
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
sacrifice ^nn++++=sacrifice
is ^vbz+bez+vrb++=is
too ^ql++++=too
great ^np++++=great!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Chapter ^nn++++=Chapter
V ^zz++++=V
Algernon ^np+++??+=Algernon
Reginald ^np++++=Reginald
Jones ^np++++=Jones
was ^vbd+bedz+vrb++=was
a ^at++++=a
polished ^jj+atrb+++=polished
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
from ^in++++=from
the ^ati++++=the
great ^jj+atrb+++=great
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
his ^pp$+pp3+++=his
sophisticated ^jj+atrb+++=sophisticated
hands ^nns++++=hands
our ^pp$+pp1+++=our
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
Ermengarde ^np+++??+=Ermengarde
was ^vbd+bedz+vrb++=was
as ^in++++=as
a ^at++++=a
mere ^jjb+atrb+++=mere
child ^nn++++=child.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
could ^md+pos+++=could
almost ^rb+hdg+splt++=almost
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
sixteen ^cd++++=sixteen-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
stuff ^nn++++=stuff.
. ^zz++++=EXTRAWORD
Algy ^np+++??+=Algy
was ^vbd+bedz+vrb++=was
a ^at++++=a
fast ^jj+atrb+++=fast
worker ^nn++++=worker,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb++++=never
crude ^jj++++=crude.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
have ^vb+hv+aux++=have
taught ^vprf+++xvbnx+=taught
Hardman ^np+++??+=Hardman
a ^at++++=a
thing ^nn++++=thing
or ^cc++++=or
two ^cd++++=two
about ^in++++=about
finesse ^nn+nom+++=finesse
