( ^zz++++=(January
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
when ^wrb+who+++=when
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
well ^rb++++=well.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
sighed ^vbd+++xvbn+=sighed
with ^in++++=with
relief ^nn++++=relief.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
that ^cs+sub+++=that
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
her ^pp$+pp3+++=her
head ^jjb++++=head
had ^vb+hv+aux++=had
suddenly ^rb++splt++=suddenly
grown ^vprf+++xvbnx+=grown
cooler ^jjr++++=cooler.
. ^zz++++=EXTRAWORD
' ^zz++++='Good!'
good ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
' ^zz++++='Now
now ^rn+tm+++=EXTRAWORD
warm ^vb++++=warm
my ^pp$+pp1+++=my
night ^nn++++=night-gown
- ^zz++++=EXTRAWORD
gown ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
perspired ^vprf+++xvbnx+=perspired.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
towels ^nns++++=towels
also ^rb++++=also.
. ^zz++++=EXTRAWORD
Make ^vb++++=Make
the ^ati++++=the
inhaler ^jjr+atrb+++=inhaler
steam ^nn++++=steam,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vpsv++agls+xvbn+=put
in ^rb+phrv+++=in
the ^ati++++=the
eucalyptus ^nn++++=eucalyptus;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
for ^in++++=for
the ^ati++++=the
larynx ^nn+++??+=larynx.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
sit ^vb++++=sit
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
ring ^nn++++=ring.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
hot ^jj++++=hot-water
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
bottle ^nn++++=bottle.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
and ^cc++++=and
scientifically ^rb++++=scientifically
tucked ^vbd+++xvbn+=tucked
in ^rb+phrv+++=in.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+++=EXTRAWORD
news ^nn++++=news?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
drowsily ^jj++++=drowsily.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
out ^rp+pl+++=out
that ^dt+dem+++=that
day ^nn++++=day.
. ^zz++++=EXTRAWORD
' ^zz++++='Another
another ^dt++++=EXTRAWORD
victory ^nn++++=victory,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anna ^np++++=Anna.
. ^zz++++=EXTRAWORD
' ^zz++++='Many
many ^ap++++=EXTRAWORD
more ^ql++++=more
prisoners ^nns+nom+++=prisoners
and ^cc++++=and
guns ^nns++++=guns.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
purred ^vbd+++xvbn+=purred,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
might ^md+pos+++=might
almost ^rb+hdg+splt++=almost
say ^vb+vpub+++=say
grunted ^vbd+++xvbn+=grunted,
, ^zz++++=EXTRAWORD
contentedly ^rb++++=contentedly.
. ^zz++++=EXTRAWORD
' ^zz++++='That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
too ^rb+cnj+++=too,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Anna ^np++++=Anna,
, ^zz++++=EXTRAWORD
after ^in++++=after
lighting ^nn++++=lighting
the ^ati++++=the
inhaler ^jjr++++=inhaler-lamp,
- ^zz++++=EXTRAWORD
lamp ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
reflected ^vbd+vprv++xvbn+=reflected
that ^tht+vcmp+++=that
in ^in++++=in
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
so ^rb++++=so
the ^ati++++=the
aspirin ^nn++++=aspirin
would ^md+prd+++=would
begin ^vb++++=begin
to ^to++++=to
work ^vbi++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
would ^md+prd+++=would
be ^vb+be+vrb++=be
well ^rb++++=well.
. ^zz++++=EXTRAWORD
To-morrow ^nr++++=To-morrow--no,
-- ^--+clp+++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
day ^nn++++=day
after ^in+strn+++=after--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
would ^md+prd+++=would
take ^vb++++=take
up ^rb+phrv+++=up
life ^nn++++=life
with ^in++++=with
something ^pn++++=something
to ^to++++=to
talk ^vbi++++=talk
over ^rb+phrv+++=over
with ^in++++=with
her ^pp$+pp3+++=her
friends ^nns++++=friends
at ^in++++=at
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
rare ^jj+pred+++=rare--every
-- ^--+clp+++=EXTRAWORD
every ^at++++=EXTRAWORD
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew
it ^pp3+it+++=it--that
-- ^--+clp+++=EXTRAWORD
that ^tht+vcmp+++=EXTRAWORD
she ^pp3a+pp3+++=she
should ^md+nec+++=should
be ^vb+be+aux++=be
overcome ^vpsv++by+xvbnx+=overcome
by ^in++++=by
any ^dti++++=any
ailment ^nn+nom+++=ailment.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
in ^in++++=in
all ^abn++++=all
her ^pp3o+pp3+++=her
distresses ^nns+nom+++=distresses
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
allowed ^vbd+++xvbn+=allowed
the ^ati++++=the
minutest ^jjt+atrb+++=minutest
deviation ^nn+nom+++=deviation
from ^in++++=from
daily ^jj++++=daily
routine ^jj++++=routine
and ^cc+phrs+++=and
ritual ^jjb++++=ritual.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
tell ^vb++++=tell
her ^pp$+pp3+++=her
friends ^nns++++=friends--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
ran ^vbd+++xvbnx+=ran
over ^rb+phrv+++=over
their ^pp$+pp3+++=their
names ^nns++++=names
one ^pn++++=one
by ^in++++=by
one ^pn++++=one--exactly
-- ^--+clp+++=EXTRAWORD
exactly ^rb++++=EXTRAWORD
what ^wdt+who+++=what
measures ^nns++++=measures
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
against ^in+ppvb+++=against
the ^ati++++=the
lace ^nn++++=lace
cover ^nn++++=cover
on ^in++++=on
the ^ati++++=the
radiator ^nn++++=radiator-top
- ^zz++++=EXTRAWORD
top ^jjb++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
regard ^in"++++=regard
to ^in++++=to
her ^pp$+pp3+++=her
two ^cd++++=two
tortoise ^vb++++=tortoise-shell
- ^zz++++=EXTRAWORD
shell ^nn++++=EXTRAWORD
hair ^nn++++=hair
brushes ^nns++++=brushes
and ^cc++++=and
the ^ati++++=the
comb ^nn++++=comb
at ^rb++++=at
right ^jj+atrb+++=right
angles ^nns++++=angles.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
set ^vprf+++xvbnx+=set
everything ^pn++++=everything
in ^in++++=in
order ^nn++++=order--everything
-- ^--+clp+++=EXTRAWORD
everything ^pn++++=EXTRAWORD
in ^in++++=in
order ^nn++++=order.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
roved ^vbd+++xvbnx+=roved
further ^jjb++++=further
afield ^rb++++=afield
as ^ql++++=as
she ^pp3a+pp3+++=she
wriggled ^vbd+++xvbnx+=wriggled
her ^pp$+pp3+++=her
toes ^nns++++=toes
luxuriously ^jj++++=luxuriously
on ^in++++=on
the ^ati++++=the
hot ^jj++++=hot-water
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
pleased ^vbd+++xvbn+=pleased
our ^pp$+pp1+++=our
dear ^uh++++=dear
God ^nn++++=God
to ^to++++=to
take ^vbi++++=take
her ^pp$+pp3+++=her
to ^in++++=to
Himself ^ppl+pp3+++=Himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^rb+emph+++=so
young ^jj++++=young
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been--there
-- ^--+clp+++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
plate ^nn++++=plate
of ^in++++=of
the ^ati++++=the
four ^cd++++=four
lower ^jjr+atrb+++=lower
ones ^pn++++=ones
in ^in++++=in
the ^ati++++=the
blue ^jj+atrb+++=blue
tooth ^nn++++=tooth-glass,
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance--He
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
should ^md+nec+++=should
find ^vb+vprv+++=find
all ^abn++++=all
her ^pp3o+pp3+++=her
belongings ^nns++++=belongings
fit ^jj++++=fit
to ^to+jcmp+++=to
meet ^vbi++++=meet
His ^pp$+pp3+++=His
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
' ^zz++++='Swept
swept ^vbd+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
garnished ^vbd+++xvbn+=garnished'
' ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
the ^ati++++=the
words ^nns++++=words
that ^tht+rel+subj++=that
shaped ^vwbn+++xvbn+=shaped
themselves ^ppls+pp3+++=themselves
in ^in++++=in
her ^pp$+pp3+++=her
intent ^jj+atrb+++=intent
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
' ^zz++++='Swept
swept ^vbd+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
garnished ^vbd+++xvbn+=garnished
for ^in+strn+++=for--'
-- ^--+clp+++=EXTRAWORD
' ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
certainly ^rb++++=certainly
not ^xnot++not++=not
for ^in++++=for
the ^ati++++=the
dear ^jj+atrb+++=dear
Lord ^npt++++=Lord
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
swept ^vprf+++xvbnx+=swept;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+vrb++=have
her ^pp$+pp3+++=her
room ^nn++++=room
swept ^vwbn+++xvbn+=swept
out ^rp+pl+++=out
tomorrow ^nr+tm+++=to-morrow
or ^cc++++=or
the ^ati++++=the
day ^nn++++=day
after ^in+strn+++=after,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
garnished ^vwbn+++xvbn+=garnished.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hands ^nns++++=hands
began ^vbd+++xvbn+=began
to ^to++++=to
swell ^vbi++++=swell
again ^rb+tm+++=again
into ^in++++=into
huge ^jj+atrb+++=huge
pillows ^nns++++=pillows
of ^in++++=of
nothingness ^nns+nom+++=nothingness.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
shrank ^vbd+++xvbnx+=shrank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
did ^vbd+dod+vrb++=did
her ^pp$+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
to ^in++++=to
minute ^nn++++=minute
dots ^nns++++=dots.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
her ^pp$+pp3+++=her
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
some ^dti++++=some
event ^nn++++=event,
, ^zz++++=EXTRAWORD
some ^dti++++=some
tremendously ^rb++++=tremendously
important ^jj+atrb+++=important
event ^nn++++=event,
, ^zz++++=EXTRAWORD
to ^to++++=to
come ^vbi++++=come
to ^to++++=to
pass ^vbi++++=pass.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lay ^vbd+++xvbnx+=lay
with ^in++++=with
shut ^xvbn+++xvbn+=shut
eyes ^nns++++=eyes
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
till ^cs+sub+++=till
her ^pp3o+pp3+++=her
head ^jjb++++=head
and ^cc++++=and
hands ^nns++++=hands
should ^md+nec+++=should
return ^vb++++=return
to ^in++++=to
their ^pp$+pp3+++=their
proper ^jj+atrb+++=proper
size ^nn++++=size.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
opened ^vbd+++xvbnx+=opened
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
with ^in++++=with
a ^at++++=a
jerk ^nn++++=jerk.
. ^zz++++=EXTRAWORD
' ^zz++++='How
how ^wrb+who+++=EXTRAWORD
stupid ^jj++++=stupid
of ^in++++=of
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
aloud ^rb+cnj+++=aloud,
, ^zz++++=EXTRAWORD
' ^zz++++='to
to ^to++++=EXTRAWORD
set ^vbi++++=set
the ^ati++++=the
room ^nn++++=room
in ^in++++=in
order ^nn++++=order
for ^in++++=for
a ^at++++=a
parcel ^nn++++=parcel
of ^in++++=of
dirty ^jj+atrb+++=dirty
little ^jj+atrb+++=little
children ^nns++++=children!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there--five
-- ^--+clp+++=EXTRAWORD
five ^cd++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
two ^cd++++=two
little ^jj+atrb+++=little
boys ^nns++++=boys
and ^cc++++=and
three ^cd++++=three
girls ^nns++++=girls--headed
-- ^--+clp+++=EXTRAWORD
headed ^xvbn+++xvbn+=EXTRAWORD
by ^in++++=by
the ^ati++++=the
anxious ^jj++++=anxious-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
ten ^cd++++=ten-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj++++=EXTRAWORD
whom ^whp+wpor+++=whom
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
must ^md+nec+++=must
have ^vb+hv+aux++=have
entered ^vprf+++xvbnx+=entered
by ^in++++=by
the ^ati++++=the
outer ^jjb+atrb+++=outer
door ^nn++++=door,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
Anna ^np++++=Anna
had ^vbd+hvd+aux++=had
neglected ^vprf+++xvbnx+=neglected
to ^to++++=to
shut ^vbi++++=shut
behind ^in+pl+++=behind
her ^pp$+pp3+++=her
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
returned ^vbd+++xvbnx+=returned
with ^in++++=with
the ^ati++++=the
inhaler ^nn++++=inhaler.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
counted ^vbd+++xvbnx+=counted
them ^pp3o+pp3+++=them
backward ^jj++++=backward
and ^cc++++=and
forward ^rb++++=forward
as ^ql++++=as
one ^cd1++++=one
counts ^nns++++=counts
scales ^nns++++=scales--one,
-- ^--+clp+++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
two ^cd++++=two,
, ^zz++++=EXTRAWORD
three ^cd++++=three,
, ^zz++++=EXTRAWORD
four ^cd++++=four,
, ^zz++++=EXTRAWORD
five ^cd++++=five.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
took ^vbd+++xvbnx+=took
no ^at++++=no
notice ^nn++++=notice
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
hung ^vpsv++agls+xvbn+=hung
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
first ^od++++=first
on ^rp++++=on
one ^cd1++++=one
foot ^nn++++=foot
then ^rn+tm+++=then
on ^in++++=on
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
like ^in++++=like
strayed ^vbd+++xvbn+=strayed
chickens ^nns++++=chickens,
, ^zz++++=EXTRAWORD
the ^ati++++=the
smaller ^jjr+atrb+++=smaller
ones ^cd1s++++=ones
holding ^nvbg+++xvbg+=holding
by ^in++++=by
the ^ati++++=the
larger ^nn++++=larger.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
utterly ^rb+amp+++=utterly
wearied ^vprf+++xvbn+=wearied
passengers ^nns+nom+++=passengers
in ^in++++=in
a ^at++++=a
railway ^nn++++=railway
waiting ^vwbg+++xvbg+=waiting-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
clothes ^nns++++=clothes
were ^vbd+bed+vrb++=were
disgracefully ^jj++++=disgracefully
dirty ^jj++++=dirty.
. ^zz++++=EXTRAWORD
' ^zz++++='Go
go ^vb++++=EXTRAWORD
away ^rp+pl+++=away!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
struggled ^vprf+++xvbnx+=struggled,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
for ^in++++=for
years ^nns++++=years
to ^in++++=to
shape ^nn++++=shape
the ^ati++++=the
words ^nns++++=words.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
called ^vbd+++xvbn+=called?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anna ^np++++=Anna
at ^in++++=at
the ^ati++++=the
living ^jj+++xvbg+=living-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
door ^nn++++=door.
. ^zz++++=EXTRAWORD
' ^zz++++='No,'
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
mistress ^nns+nom+++=mistress.
. ^zz++++=EXTRAWORD
' ^zz++++='Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
shut ^vbd+++xvbn+=shut
the ^ati++++=the
flat ^jj+atrb+++=flat
door ^nn++++=door
when ^wrb+who+++=when
you ^pp2+pp2+++=you
came ^vbd+++xvbn+=came
in ^in+strn+++=in?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Assuredly,'
assuredly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anna ^np++++=Anna.
. ^zz++++=EXTRAWORD
' ^zz++++='Besides,
besides ^rb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
catch ^vbi++++=catch
shut ^vb+++xvbn+=shut
of ^in++++=of
itself ^ppl++++=itself.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Then
then ^rn+tm+++=EXTRAWORD
go ^vb++++=go
away ^rp+pl+++=away,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
little ^ap++++=little
above ^jjb++++=above
a ^at++++=a
whisper ^nn++++=whisper.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Anna ^np++++=Anna
pretended ^vbd+vprv++xvbn+=pretended
not ^xnot++not++=not
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
speak ^vb++++=speak
to ^in++++=to
Anna ^np++++=Anna
later ^rbr+tm+++=later
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
' ^zz++++='And
and ^cc++++=EXTRAWORD
now ^rn+tm+++=now,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
toward ^in++++=toward
them ^pp3o+pp3+++=them
as ^in++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
door ^nn++++=door
closed ^vbd+++xvbn+=closed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smallest ^nn++++=smallest
of ^in++++=of
the ^ati++++=the
crowd ^nn++++=crowd
smiled ^vbd+++xvbn+=smiled
at ^in++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^jjb++++=head
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
buried ^vbd+++xvbnx+=buried
it ^pp3+it+++=it
in ^in++++=in
his ^pp$+pp3+++=his
sister ^nn++++=sister's
's ^$++++=EXTRAWORD
skirts ^nns++++=skirts.
. ^zz++++=EXTRAWORD
' ^zz++++='Why--don't--you--go--away?'
why--do ^nn+++??+=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
go ^vb++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
away ^rp+pl+++=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered
earnestly ^rb++++=earnestly.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
they ^pp3a+pp3+++=they
took ^vbd+++xvbnx+=took
no ^at++++=no
notice ^vb+vprv+++=notice,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
guided ^xvbn+++xvbn+=guided
by ^in++++=by
the ^ati++++=the
elder ^jjr+atrb+++=elder
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
themselves ^ppls+pp3+++=themselves
to ^to++++=to
climb ^vbi++++=climb,
, ^zz++++=EXTRAWORD
boots ^nns++++=boots
and ^cc++++=and
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
green ^jj+atrb+++=green
plush ^jj+atrb+++=plush
sofa ^nn++++=sofa
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
radiator ^nn++++=radiator.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
boys ^nns++++=boys
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
pushed ^vbd+++xvbn+=pushed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
could ^md+pos+++=could
not ^xnot++not++=not
compass ^nn++++=compass
the ^ati++++=the
stretch ^nn++++=stretch
unaided ^jj++++=unaided.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
settled ^vbd+++xvbnx+=settled
themselves ^ppls+pp3+++=themselves
in ^in++++=in
a ^at++++=a
row ^nn++++=row,
, ^zz++++=EXTRAWORD
with ^in++++=with
small ^jj+atrb+++=small
gasps ^nns++++=gasps
of ^in++++=of
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pawed ^vbd+++xvbn+=pawed
the ^ati++++=the
plush ^jj++++=plush
approvingly ^jj++++=approvingly.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
ask ^vb++++=ask
you ^pp2+pp2+++=you--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
ask ^vb++++=ask
you ^pp2+pp2+++=you
why ^wrb+who+++=why
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
not ^xnot++not++=not
go ^vb++++=go
away ^rp+pl+++=away--why
-- ^--+clp+++=EXTRAWORD
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
not ^xnot++not++=not
go ^vb++++=go
away ^rp+pl+++=away?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
found ^vbd+vprv+tht0+xvbn+=found
herself ^ppl+pp3+++=herself
repeating ^vbg+vpub++xvbg+=repeating
