[ ^zz++++=[This
What ^wdt+who+++=What
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
anything ^pn++++=anything
to ^to++++=to
ask ^vbi++++=ask
your ^pp$+pp2+++=your
mother ^nn++++=mother
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
care ^vb+vprv+++=care
anything ^pn++++=anything
about ^in++++=about
that ^dt+dem+++=that
rag ^nn++++=rag
doll ^nn++++=doll."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ain't
ai ^vb+be+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
going ^md"++pmd"++=going
to ^md+prd+++=to
ask ^vb++++=ask
your ^pp$+pp2+++=your
mother ^nn++++=mother
about ^in++++=about
the ^ati++++=the
work ^nn++++=work-box?"
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Submit ^vb+vpub+++=Submit
stoutly ^rb++++=stoutly.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
mine ^pp$$++++=mine;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother
gave ^vbd+++xvbn+=gave
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
reflected ^vbd+vprv++xvbn+=reflected.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
our ^pp$+pp1+++=our
turkey ^nn++++=turkey
is ^vbz+bez+vrb++=is
the ^ati++++=the
biggest ^jjt++++=biggest,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
lovingly ^rb++++=lovingly
at ^in++++=at
Thankful ^jj++++=Thankful,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
justify ^vbi++++=justify
herself ^ppl+pp3+++=herself
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
finally ^rb++++=finally.
. ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When's
when ^wrb+who+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
yours ^pp$$++++=yours
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
killed ^vprf+++xvbn+=killed?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
afternoon ^nn++++=afternoon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So's
so ^ql++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
ours ^pp$$++++=ours.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
tucked ^vbd+++xvbn+=tucked
Thankful ^jj++++=Thankful
closer ^rbr++++=closer
under ^in++++=under
her ^pp$+pp3+++=her
shawl ^nn++++=shawl.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
our ^pp$+pp1+++=our
turkey ^nn++++=turkey
is ^vbz+bez+vrb++=is
biggest ^jjt+pred+++=biggest,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
very ^ql+amp+++=very
sober ^jj++++=sober,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
her ^pp$+pp3+++=her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
defiant ^jj+pred+++=defiant.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
then ^rn+tm+++=then
the ^ati++++=the
great ^jj+atrb+++=great
turkey ^np++++=turkey
came ^vbd+++xvbn+=came
swinging ^jj+++xvbg+=swinging
through ^in++++=through
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv++xvbnx+=held
up ^rp++++=up
his ^pp$+pp3+++=his
head ^jjb++++=head
proudly ^rb++++=proudly
and ^cc++++=and
gobbled ^vprf+++xvbn+=gobbled.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
every ^at++++=every
feather ^nn++++=feather
stood ^vbd+++xvbn+=stood
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
enormous ^jj++++=enormous
a ^at++++=a
perfect ^jj++++=perfect
giant ^jjb++++=giant
among ^in++++=among
turkeys ^nns+++??+=turkeys.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
at ^rb++++=at
him ^pp3o+pp3+++=him!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sarah ^np++++=Sarah,
, ^zz++++=EXTRAWORD
edging ^vbg+++xvbg+=edging
a ^rb++++=a
little ^rb"++++=little
closer ^rbr++++=closer
to ^in++++=to
the ^ati++++=the
wall ^nn++++=wall;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
afraid ^jj+pred+++=afraid
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
half ^abn++++=half
so ^pn+emph+++=so
big ^jj++++=big
as ^ql++++=as
ours ^pp$$++++=ours,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
Submit ^vb+vpub+++=Submit,
, ^zz++++=EXTRAWORD
stoutly ^rb++++=stoutly;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
heart ^nn++++=heart
sank ^vbd+++xvbn+=sank.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Thompson ^np++++=Thompson
turkey ^nn++++=turkey
did ^vbd+dod+aux++=did
look ^vb++++=look
very ^ql+amp+++=very
large ^jj++++=large.
. ^zz++++=EXTRAWORD
" ^zz++++="Submit!
submit ^vb+vpub+++=EXTRAWORD
! ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=called
a ^at++++=a
voice ^nn++++=voice
from ^in++++=from
the ^ati++++=the
Thompson ^np++++=Thompson
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
slowly ^rb++++=slowly
got ^vbd+++xvbn+=got
down ^rp++++=down
from ^in++++=from
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
feathers ^nns+nom+++=feathers
are ^vb+ber+vrb++=are
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
thicker ^jjr++++=thicker
than ^in++++=than
ours ^pp$$++++=ours,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
defiantly ^rb+cnj+++=defiantly,
, ^zz++++=EXTRAWORD
to ^in++++=to
Sarah ^np++++=Sarah.
. ^zz++++=EXTRAWORD
" ^zz++++="Submit,"
submit ^vb+vpub+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=called
the ^ati++++=the
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="come
come ^vprf+++xvbn+=EXTRAWORD
right ^jj+atrb+++=right
home ^nr++++=home!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^in++++=to
pare ^jj+atrb++??+=pare
apples ^nns++++=apples
for ^in++++=for
the ^ati++++=the
pies ^nns++++=pies.
. ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
quick ^jj+pred+++=quick!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
marm ^nn+++??+=marm,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
answered ^vbd+vpub++xvbn+=answered
back ^rb+cnj+++=back,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
shrill ^jj+atrb+++=shrill
voice ^nn++++=voice;
; ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
coming ^vbg+++xvbgx+=coming!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
across ^in+pl+++=across
the ^ati++++=the
yard ^nn++++=yard
and ^cc++++=and
into ^in++++=into
the ^ati++++=the
kitchen ^nn++++=kitchen
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
Thompson ^np++++=Thompson
house ^nn++++=house,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
red ^jj+atrb+++=red
robin ^np++++=robin
into ^in++++=into
a ^at++++=a
nest ^nn++++=nest.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taught ^vpsv++agls+xvbnx+=taught
to ^to+vcmp+++=to
obey ^vbi++++=obey
her ^pp3o+pp3+++=her
mother ^npt++++=mother
promptly ^rb++++=promptly.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Thompson ^np++++=Thompson
was ^vbd+bedz+vrb++=was
a ^at++++=a
decided ^jj+atrb++xvbn+=decided
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
looked ^vbd+++xvbn+=looked
after ^cs+sub+++=after
Submit ^vb+vpub+++=Submit,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
gathered ^vbd+++xvbnx+=gathered
Thankful ^jj++++=Thankful
closer ^rbr++++=closer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
went ^vbd+++xvbn+=went
into ^in++++=into
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Thompson ^np++++=Thompson,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
preparing ^vbg+++xvbgx+=preparing
for ^in++++=for
Thanksgiving ^np+++??+=Thanksgiving.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
kitchen ^nn++++=kitchen
was ^vbd+bedz+vrb++=was
all ^abn++++=all
of ^in++++=of
a ^at++++=a
pleasant ^jj+atrb+++=pleasant
litter ^nn++++=litter
with ^in++++=with
pie ^nn++++=pie
plates ^nns++++=plates
and ^cc++++=and
cake ^nn++++=cake
pans ^nns++++=pans
and ^cc++++=and
mixing ^nvbg+++xvbg+=mixing
bowls ^nns++++=bowls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
full ^jj++++=full
of ^in++++=of
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
spicy ^nn+++??+=spicy
odours ^nns++++=odours.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oven ^nn++++=oven
in ^in++++=in
the ^ati++++=the
chimney ^nn++++=chimney
was ^vbd+bedz+vrb++=was
all ^abn++++=all
heated ^jj+++xvbn+=heated
and ^cc+phrs+++=and
ready ^jj++++=ready
for ^in++++=for
a ^at++++=a
batch ^nn++++=batch
of ^in++++=of
apple ^nn++++=apple
and ^cc++++=and
pumpkin ^nn+++??+=pumpkin
pies ^nns++++=pies.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Adams ^np++++=Adams
was ^vbd+bedz+vrb++=was
busy ^jj++++=busy
sliding ^jj+++xvbg+=sliding
them ^pp3o+pp3+++=them
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
stopped ^vbd+++xvbnx+=stopped
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
Sarah ^np++++=Sarah
and ^cc++++=and
Thankful ^jj++++=Thankful.
. ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
only ^rb+down+++=only
child ^nn++++=child.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
makes ^vbz++++=makes
you ^pp2+pp2+++=you
look ^vb++++=look
so ^ql+emph+++=so
sober ^jj++++=sober?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Nothing,"
nothing ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Sarah ^np++++=Sarah.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
off ^rb+phrv+++=off
her ^pp3o+pp3+++=her
blanket ^nn++++=blanket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vpsv++agls+xvbn+=sat
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
straight ^rb++++=straight-backed
- ^zz++++=EXTRAWORD
backed ^vbd+++xvbn+=EXTRAWORD
kitchen ^nn++++=kitchen
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
Thankful ^jj++++=Thankful.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
dreadful ^jj++++=dreadful
sober ^jj++++=sober,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
tired ^vbd+++xvbn+=tired?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
marm ^nn+++??+=marm."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
cold ^jj++++=cold
standing ^jj+++xvbg+=standing
out ^rp+pl+++=out
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel
chilly ^jj++++=chilly?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
marm ^nn+++??+=marm.
. ^zz++++=EXTRAWORD
Mother ^nn++++=Mother,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
much ^rb++++=much
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+tht0++=suppose
our ^pp$+pp1+++=our
turkey ^nn++++=turkey
weighs ^vbz++++=weighs?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
believe ^vb+vprv+tht0++=believe
father ^npt++++=father
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
weigh ^vb++++=weigh
about ^in++++=about
twenty ^cd++++=twenty
pounds ^nns++++=pounds.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
sure ^jj+pred+++=sure
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
feel ^vb+vprv+++=feel
chilly ^jj++++=chilly?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
marm ^nn+++??+=marm.
. ^zz++++=EXTRAWORD
Mother ^nn++++=Mother,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+tht0++=suppose
our ^pp$+pp1+++=our
turkey ^nn++++=turkey
weighs ^vbz++++=weighs
more ^ql++++=more
than ^cs+sub+++=than
Submit ^vb+vpub+++=Submit's?"
's?" ^nn+++??+=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+tht0++=suppose
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
set ^xvbn+++xvbn+=set
eyes ^nns++++=eyes
on ^in++++=on
their ^pp$+pp3+++=their
turkey ^nn++++=turkey
lately ^rb+tm+++=lately.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel
well ^jj+pred+++=well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
sit ^vb++++=sit
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
stone ^nn++++=stone
that ^tht+rel+++=that
bowl ^nn++++=bowl
of ^in++++=of
raisins ^nns++++=raisins.
. ^zz++++=EXTRAWORD
Put ^j+++xvbn+=Put
your ^pp$+pp2+++=your
dolly ^jj++++=dolly
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
get ^vb++++=get
your ^pp$+pp2+++=your
apron ^nn++++=apron."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
Sarah ^np++++=Sarah
stoned ^vbd+++xvbn+=stoned
raisins ^nns++++=raisins
with ^in++++=with
Thankful ^nn++++=Thankful
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap,
, ^zz++++=EXTRAWORD
hidden ^j+++xvbn+=hidden
under ^in++++=under
her ^pp$+pp3+++=her
apron ^nn++++=apron.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
full ^jj++++=full
of ^in++++=of
anxiety ^nn++++=anxiety
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
bear ^vb+vprv+++=bear
to ^to+vcmp+++=to
put ^vbi++++=put
her ^pp$+pp3+++=her
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+++=Suppose
the ^ati++++=the
Thompson ^np++++=Thompson
turkey ^nn++++=turkey
should ^md+nec+++=should
be ^vb+be+vrb++=be
larger ^jjr+pred+++=larger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
should ^md+nec+++=should
lose ^vb++++=lose
Thankful ^jj++++=Thankful
Thankful ^jj++++=Thankful
that ^tht+jcmp+++=that
her ^pp3o+pp3+++=her
beautiful ^jj+atrb+++=beautiful
Aunt ^nn++++=Aunt
Rose ^vbd+++xvbn+=Rose
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
for ^in+ppvb+++=for
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit,
, ^zz++++=EXTRAWORD
over ^in++++=over
in ^in++++=in
the ^ati++++=the
Thompson ^np++++=Thompson
house ^nn++++=house,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
sat ^vprf+++xvbnx+=sat
down ^rb+phrv+++=down
at ^rb++++=at
once ^rb"+tm+++=once
to ^in++++=to
her ^pp$+pp3+++=her
apple ^nn++++=apple
paring ^vwbg+++xvbg+=paring.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
not ^xnot++not++=not
gone ^vbd+++xvbn+=gone
into ^in++++=into
the ^ati++++=the
best ^jjt+atrb+++=best
room ^nn++++=room
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
the ^ati++++=the
work ^nn++++=work-box
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
whose ^whp+rel+obj++=whose
possession ^nn++++=possession
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
hazarded ^vprf+++xvbnx+=hazarded.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
stood ^vbd+++xvbn+=stood
in ^in++++=in
there ^rn+pl+++=there
on ^rp++++=on
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
of ^in++++=of
yellow ^jj+atrb+++=yellow
satiny ^nn+++??+=satiny
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sliding ^jj+atrb++xvbg+=sliding
lid ^nn++++=lid
ornamented ^vbd+++xvbn+=ornamented
with ^in++++=with
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
little ^jj+atrb+++=little
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
had ^vb+hv+vrb++=had
a ^at++++=a
certain ^jj+atrb+++=certain
pride ^nn++++=pride
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
fear ^vb++++=fear
of ^in++++=of
losing ^xvbg+++xvbg+=losing
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
equal ^jj++++=equal
to ^in++++=to
her ^pp$+pp3+++=her
hope ^nn++++=hope
of ^in++++=of
possessing ^xvbg+++xvbg+=possessing
Thankful ^jj++++=Thankful.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
had ^vb+hv+aux++=had
never ^rb++++=never
had ^vb+hv+vrb++=had
a ^at++++=a
doll ^nn++++=doll,
, ^zz++++=EXTRAWORD
except ^in++++=except
a ^ap++++=a
few ^ap"++++=few
plebeian ^jj+atrb+++=plebeian
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
manufactured ^j+++xvbn+=manufactured
secretly ^rb++++=secretly
out ^rp+pl+++=out
of ^in++++=of
corncobs ^nns+++??+=corncobs,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
more ^rbr++++=more
imagination ^nn+nom+++=imagination
than ^cs+sub+++=than
she ^pp3a+pp3+++=she
possessed ^vbd+++xvbnx+=possessed
to ^to++++=to
admire ^vbi++++=admire.
. ^zz++++=EXTRAWORD
Gradually ^rb++++=Gradually
all ^rb++++=all
emulation ^nn+nom+++=emulation
over ^in++++=over
the ^ati++++=the
turkeys ^nns+++??+=turkeys
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost
in ^in++++=in
the ^ati++++=the
naughty ^jj+atrb+++=naughty
covetousness ^nns+nom+++=covetousness
of ^in++++=of
her ^pp$+pp3+++=her
little ^ap++++=little
friend ^nn++++=friend
and ^cc++++=and
neighbour ^nn++++=neighbour's
's ^$++++=EXTRAWORD
doll ^nn++++=doll.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
felt ^vbd+vprv++xvbn+=felt
shocked ^vbd+++xvbn+=shocked
and ^cc++++=and
guilty ^jj++++=guilty,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
there ^ex+pex+++=there
paring ^vbg+++xvbg+=paring
the ^ati++++=the
Baldwin ^np++++=Baldwin
apples ^nns++++=apples,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thinking ^nvbg+++xvbg+=thinking
to ^in++++=to
herself ^ppl+pp3+++=herself:
: ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
our ^pp$+pp1+++=our
turkey ^nn++++=turkey
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
bigger ^jjr+pred+++=bigger,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
only ^rb+down+++=only
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
Thankful ^jj++++=Thankful."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
mouth ^nn++++=mouth
was ^vbd+bedz+aux++=was
pursed ^vpsv++agls+xvbnx+=pursed
up ^rp++++=up
and ^cc++++=and
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
snapped ^vbd+++xvbn+=snapped.
. ^zz++++=EXTRAWORD
