Love ^nn++++=LOVE
that ^tht+vcmp+++=that
a ^at++++=a
certain ^jj+atrb+++=certain
baby ^nn++++=baby
( ^zz++++=(you)
you ^pp2+pp2+++=EXTRAWORD
) ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^tht+vcmp+++=that
day ^nn++++=day
when ^wrb+who+++=when
all ^rb++++=all
of ^in++++=of
us ^pp1o+pp1+++=us
hiked ^vbd+++xvbn+=hiked
out ^rp+pl+++=out
at ^rb++++=at
Point ^nn++++=Point
Lobos ^np+++??+=Lobos.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
extremely ^rb+amp+++=extremely
loud ^jj+atrb+++=loud
seal ^nn++++=seal,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
sister ^nn++++=sister's
's ^$++++=EXTRAWORD
scarf ^nn++++=scarf
drifting ^vwbg+++xvbg+=drifting
down ^rp++++=down,
, ^zz++++=EXTRAWORD
down ^rp++++=down
to ^in++++=to
that ^dt+dem+++=that
black ^jj++++=black,
, ^zz++++=EXTRAWORD
briny ^nn+++??+=briny
boulder ^nn++++=boulder,
, ^zz++++=EXTRAWORD
the ^ati++++=the
replacement ^nn+nom+++=replacement
you ^pp2+pp2+++=you
so ^ql++++=so
generously ^rb++++=generously
bought ^vbd+++xvbn+=bought
her ^pp$+pp3+++=her
in ^in++++=in
Monterey ^np+++??+=Monterey,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
pleased ^jj+++xvbn+=pleased
you ^pp2+pp2+++=you
made ^vbd+++xvbn+=made
her ^pp$+pp3+++=her
with ^in++++=with
your ^pp$+pp2+++=your
kindness ^nns+nom+++=kindness.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
things ^nns++++=things
were ^vbd+bed+vrb++=were
real ^jj+pred+++=real.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
( ^zz++++=(that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
all ^abn++++=all)
) ^zz++++=EXTRAWORD
one ^cd1++++=one
gets ^vbz++++=gets.
. ^zz++++=EXTRAWORD
All ^abn++++=All
this ^dt+dem+++=this
other ^ap++++=other
stuff ^nn++++=stuff
is ^vbz+bez+vrb++=is
real ^jj+pred+++=real
only ^rb+down+++=only
to ^in++++=to
the ^ati++++=the
extent ^nn++++=extent
that ^tht+rel+obj++=that
it ^pp3+it+++=it
interferes ^nns+nom+++=interferes
with ^in++++=with
those ^dt+dem+++=those
moments ^nns+nom+++=moments.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
say ^vb+vpub+++=say
( ^zz++++=(I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
hear ^vb+vprv+tht0++=hear
you ^pp2+pp2+++=you
saying ^vbg+++xvbg+=saying
it ^pp3+it+++=it
and ^cc++++=and
see ^vb+vprv+++=see
the ^ati++++=the
look ^nn++++=look
on ^in++++=on
your ^pp$+pp2+++=your
face ^nn++++=face
as ^ql++++=as
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do)
) ^zz++++=EXTRAWORD
that ^cs+sub+++=that
this ^dt+dem+++=this
incident ^nn++++=incident
with ^in++++=with
J ^zz++++=J.
. ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
an ^at++++=an
interference ^nn+nom+++=interference.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
respect ^nn++++=respect
that ^tht+rel+++=that.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
as ^ql++++=as
your ^pp$+pp2+++=your
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
you ^pp2+pp2+++=you
not ^xnot++not++=not
to ^to++++=to
underestimate ^nn+nom+++=underestimate
the ^ati++++=the
power ^nn++++=power/danger
of ^in++++=of
this ^dt+dem+++=this
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
yet ^rb++++=yet
mentioned ^vwbn+vpub++xvbn+=mentioned
this ^dt+dem+++=this
to ^in++++=to
you ^pp2+pp2+++=you:
: ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
days ^nns++++=days
of ^in++++=of
this ^dt+dem+++=this
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wrote ^vbd+vprv++xvbnx+=wrote
two ^cd++++=two
letters ^nns+nom+++=letters
to ^in++++=to
the ^ati++++=the
editor ^nn++++=editor
of ^in++++=of
the ^ati++++=the
local ^jj+atrb+++=local
rag ^nn++++=rag,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
overwrought ^vbd+++xvbn+=overwrought,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
comic ^nn++++=comic.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
had ^vb+hv+vrb++=had
any ^dti++++=any
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
who ^whp+rel+subj++=who
agreed ^vbd+vpub++xvbn+=agreed
with ^in++++=with
me ^pp1o+pp1+++=me
agreed ^vbd+vpub++xvbn+=agreed
with ^in++++=with
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=did
not ^xnot++not++=not
remained ^vbd+++xvbn+=remained
unpersuaded ^vbd+++xvbn+=unpersuaded.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
third ^od++++=third
attempt ^vb++++=attempt
was ^vbd+bedz+aux++=was
rejected ^vpsv++agls+xvbnx+=rejected,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
pulled ^vbd+++xvbn+=pulled
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
up ^rp++++=up
near ^in+pl+++=near
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
for ^in++++=for
no ^at++++=no
reason ^nn++++=reason
I ^pp1a+pp1+++=I
could ^md+pos+++=could
discern ^vb++++=discern.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cop ^nn++++=cop
( ^zz++++=(nice
nice ^jj+atrb+++=EXTRAWORD
guy ^np++++=guy,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
a ^at++++=a
kid ^nn++++=kid,
, ^zz++++=EXTRAWORD
really ^rb+emph+++=really)
) ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
all ^abn++++=all
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
any ^dti++++=any
hobbies ^nns++++=hobbies?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
no ^at++++=no.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
us ^pp1o+pp1+++=us
heard ^vbd+vprv+tht0+xvbn+=heard
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
type ^vbi++++=type.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
in ^in++++=in
my ^pp$+pp1+++=my
car ^nn++++=car,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
over ^in++++=over
at ^rb++++=at
his ^pp$+pp3+++=his
large ^jj++++=large,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
a ^at++++=a
kid ^nn++++=kid.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
arm ^nn++++=arm
of ^in++++=of
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
would ^md+prd+++=would
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
about ^in++++=about
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Have
a ^at++++=a
good ^jj+atrb+++=good
night ^nn++++=night,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Stay ^vb++++=Stay
off ^in+pl+++=off
the ^ati++++=the
computer ^nn+nom+++=computer.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
Lord ^npt++++=Lord,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
stupidity ^nn+nom+++=stupidity
and ^cc++++=and
bulk ^nn++++=bulk
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
the ^ati++++=the
metallic ^nn++++=metallic
clanking ^vwbg+++xvbg+=clanking
from ^in++++=from
his ^pp$+pp3+++=his
belt ^nn++++=belt
area ^nn++++=area,
, ^zz++++=EXTRAWORD
the ^ati++++=the
palpable ^jj+atrb+++=palpable
certainty ^nn++++=certainty
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
feel ^vbi+vprv+++=feel
regarding ^in++++=regarding
his ^pp$+pp3+++=his
cause ^nn++++=cause,
, ^zz++++=EXTRAWORD
a ^at++++=a
cause ^nn++++=cause
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
begin ^vb++++=begin,
, ^zz++++=EXTRAWORD
even ^rb++++=even
at ^rb++++=at
this ^dt+dem+++=this
late ^jj+atrb+++=late
date ^nn++++=date,
, ^zz++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
my ^pp$+pp1+++=my
head ^jjb++++=head
around ^rb+cnj+++=around,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
view ^nn++++=view
from ^in++++=from
within ^in+strn+++=within,
, ^zz++++=EXTRAWORD
so ^ql++++=so
to ^to++++=to
speak ^vbi++++=speak.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
want ^vb++++=want
you ^pp2+pp2+++=you
anywhere ^rb++++=anywhere
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
under ^in++++=under
the ^ati++++=the
sway ^nn++++=sway
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
person ^nn++++=person,
, ^zz++++=EXTRAWORD
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
here ^rn+pl+++=here
a ^at++++=a
need ^vb++++=need
to ^to+vcmp+++=to
address ^nns+nom+++=address
the ^ati++++=the
last ^jj+atrb+++=last
part ^nn++++=part
of ^in++++=of
your ^pp$+pp2+++=your
email ^nn+++??+=email,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
( ^zz++++=(I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
assure ^vbi++++=assure
you ^pp2+pp2+++=you)
) ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
upset ^jj+++xvbn+=upset
me ^pp1o+pp1+++=me
or ^cc++++=or
" ^zz++++="hurt
hurt ^vbd+++xvbn+=EXTRAWORD
my ^pp$+pp1+++=my
feelings ^nns+nom+++=feelings."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
reach ^vb++++=reach
my ^pp$+pp1+++=my
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
lucky ^np++++=lucky
enough ^qlp++++=enough
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
grandson ^nn++++=grandson
like ^in++++=like
you ^pp2+pp2+++=you
( ^zz++++=(stellar),
stellar ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
that ^cs+sub+++=that
grandson ^nn++++=grandson
could ^md+pos+++=could
say ^vb+vpub+++=say
could ^md+pos+++=could
ever ^rb++splt++=ever
hurt ^vbd+++xvbn+=hurt
your ^pp$+pp2+++=your
feelings ^nns+nom+++=feelings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
so ^ql+emph+++=so
touched ^jj+++xvbn+=touched
that ^dt+dem+++=that
you ^pp2+pp2+++=you
thought ^vbd+++xvbn+=thought
to ^to+vcmp+++=to
write ^vbi++++=write
me ^pp1o+pp1+++=me
in ^in++++=in
your ^pp$+pp2+++=your
time ^nn++++=time
of ^in++++=of
need ^nn++++=need
and ^cc++++=and
be ^vb+be+aux++=be
so ^ql++++=so
direct ^vb+vpub+++=direct
and ^cc++++=and
even ^rb++++=even
( ^zz++++=(I
i ^pp1a+pp1+++=EXTRAWORD
admit ^vb+vpub+tht0++=admit
it ^pp3+it+++=it)
) ^zz++++=EXTRAWORD
somewhat ^rb+down+++=somewhat
rough ^jj++++=rough
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Seen ^j+++xvbn+=Seen
in ^in++++=in
retrospect ^nn++++=retrospect,
, ^zz++++=EXTRAWORD
yes ^nn++++=yes:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
regrets ^vbz++++=regrets.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
certain ^jj+atrb+++=certain
critical ^jj+atrb+++=critical
period ^nn++++=period.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
During ^in++++=During
that ^dt+dem+++=that
period ^nn++++=period,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother
and ^cc++++=and
I ^pp1a+pp1+++=I
were ^vbd+bed+aux++=were
working ^vbg+++xvbgx+=working
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
every ^at++++=every
night ^nn++++=night,
, ^zz++++=EXTRAWORD
a ^at++++=a
jigsaw ^nn++++=jigsaw
puzzle ^nn++++=puzzle
each ^dt++++=each,
, ^zz++++=EXTRAWORD
at ^rb++++=at
that ^dt+dem+++=that
dining ^jj+atrb++xvbg+=dining
room ^nn++++=room
table ^nn++++=table
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
well ^jj+pred+++=well.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
planning ^vbg+++xvbgx+=planning
to ^to+vcmp+++=to
have ^vbi++vrb++=have
the ^ati++++=the
kitchen ^nn++++=kitchen
redone ^nn+++??+=redone,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
having ^xvbg+++xvbg+=having
the ^ati++++=the
walls ^nns++++=walls
out ^rp+pl+++=out
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
yard ^npl++++=yard
rebuilt ^vwbn+++xvbn+=rebuilt
at ^rb++++=at
great ^jj+atrb+++=great
expense ^nn++++=expense,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
experiencing ^vbg+++xvbgx+=experiencing
the ^ati++++=the
first ^od++++=first
intimations ^nns+nom+++=intimations
of ^in++++=of
the ^ati++++=the
dental ^jj+atrb+++=dental
issues ^nns++++=issues
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
heard ^vprf++tht0+xvbnx+=heard
so ^pn++++=so
much ^ap++++=much
( ^zz++++=(perhaps
perhaps ^rb++++=EXTRAWORD
too ^ql++++=too
much ^ap++++=much)
) ^zz++++=EXTRAWORD
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
night ^nn++++=night,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
sat ^vbd+++xvbn+=sat
across ^in+pl+++=across
from ^in++++=from
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
doing ^vbg+++xvbg+=doing
those ^dt+dem+++=those
puzzles ^nns++++=puzzles,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Tv ^nn++++=TV
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
room ^nn++++=room
blared ^vbd+++xvbn+=blared
this ^dt+dem+++=this
litany ^nn++++=litany
of ^in++++=of
things ^nns++++=things
that ^tht+rel+subj++=that
had ^vb+hv+vrb++=had
never ^rb++++=never
before ^cs+sub+++=before
happened ^vbd+++xvbn+=happened,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
could ^md+pos+++=could
never ^rb++++=never
have ^vb+hv+aux++=have
imagined ^vprf+++xvbnx+=imagined
happening ^vbg+++xvbg+=happening,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
were ^vbd+bed+aux++=were
now ^rn+tm+splt++=now
happening ^vbg+++xvbgx+=happening,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
only ^ap+down+++=only
response ^nn++++=response
from ^in++++=from
the ^ati++++=the
Tv ^nn++++=TV
pundits ^nns++++=pundits
was ^vbd+bedz+vrb++=was
a ^at++++=a
wry ^jj+atrb+++=wry,
, ^zz++++=EXTRAWORD
satirical ^jj+atrb+++=satirical
smugness ^nns+nom+++=smugness
that ^tht+rel+subj++=that
assumed ^vbd+vprv++xvbn+=assumed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
assumed ^vbd+vprv++xvbn+=assumed,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
those ^dt+dem+++=those
things ^nns++++=things
could ^md+pos+++=could
and ^cc++++=and
would ^md+prd+++=would
soon ^rb+tm+++=soon
be ^vb+be+aux++=be
undone ^vpsv++agls+xvbnx+=undone
and ^cc++++=and
that ^dt+dem+++=that
all ^abn++++=all
would ^md+prd+++=would
return ^vb++++=return
to ^in++++=to
normal ^jj++++=normal
that ^cs+sub+++=that
some ^dti++++=some
adult ^nn++++=adult
or ^cc++++=or
adults ^nns++++=adults
would ^md+prd+++=would
arrive ^vb++++=arrive,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
always ^rb++splt++=always
arrived ^vprf+++xvbnx+=arrived
in ^in++++=in
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
to ^to++++=to
set ^vbi++++=set
things ^nns++++=things
right ^nn++++=right.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
( ^zz++++=(and
and ^cc++++=EXTRAWORD
please ^uh++++=please
destroy ^vb++++=destroy
this ^dt+dem+++=this
letter ^nn++++=letter
after ^cs+sub+++=after
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
it ^pp3+it+++=it)
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
someone ^pn++++=someone
so ^rb+emph+++=so
clownish ^jj++++=clownish
could ^md+pos+++=could
disrupt ^vwbn+++xvbn+=disrupt
something ^pn++++=something
so ^rb+emph+++=so
noble ^jj++++=noble
and ^cc++++=and
time ^nn++++=time-tested
- ^zz++++=EXTRAWORD
tested ^xvbn+++xvbn+=EXTRAWORD
and ^cc++++=and
seemingly ^rb++++=seemingly
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
something ^pn++++=something
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
with ^in++++=with
us ^pp1o+pp1+++=us
literally ^rb++++=literally
every ^at++++=every
day ^nn++++=day
of ^in++++=of
our ^pp$+pp1+++=our
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken,
, ^zz++++=EXTRAWORD
in ^in++++=in
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
a ^at++++=a
profound ^jj+atrb+++=profound
gift ^nn++++=gift
for ^in++++=for
granted ^nn++++=granted.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
not ^xnot++not++=not
know ^vb+vprv+tht0++=know
the ^ati++++=the
gift ^nn++++=gift
was ^vbd+bedz+vrb++=was
a ^at++++=a
fluke ^nn++++=fluke,
, ^zz++++=EXTRAWORD
a ^at++++=a
chimera ^nn+++??+=chimera,
, ^zz++++=EXTRAWORD
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
accident ^nn++++=accident
of ^in++++=of
consensus ^nn++++=consensus
and ^cc++++=and
mutual ^jj+atrb+++=mutual
understanding ^nvbg+++xvbg+=understanding.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
this ^dt+dem+++=this
destruction ^nn+nom+++=destruction
was ^vbd+bedz+aux++=was
emanating ^vbg+++xvbgx+=emanating
from ^in++++=from
such ^abl++++=such
an ^at++++=an
inept ^jj+atrb+++=inept
source ^nn++++=source,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
seemed ^vbd+seem++xvbn+=seemed
( ^zz++++=(at
at ^rb++++=EXTRAWORD
that ^dt+dem+++=that
time ^nn++++=time)
) ^zz++++=EXTRAWORD
merely ^rb+down+++=merely
comically ^rb++++=comically
thuggish ^jj++++=thuggish,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
so ^ql++++=so
little ^ap++++=little
about ^in++++=about
that ^dt+pdem+++=that
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
disrupting ^vbg+++xvbgx+=disrupting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
life ^nn++++=life
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
every ^at++++=every
day ^nn++++=day
he ^pp3a+pp3+++=he/they
burst ^vbd+++xvbnx+=burst
through ^in++++=through
some ^dti++++=some
new ^jj+atrb+++=new
gate ^nn++++=gate
of ^in++++=of
propriety ^nn++++=propriety,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
soon ^rb+tm+++=soon
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
no ^at++++=no
genuine ^jj+atrb+++=genuine
outrage ^nn+nom+++=outrage
was ^vbd+bedz+vrb++=was
available ^jj+pred+++=available
to ^in++++=to
us ^pp1o+pp1+++=us
anymore ^nn+++??+=anymore.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
allow ^vb++++=allow
me ^pp1o+pp1+++=me
a ^at++++=a
crude ^jj+atrb+++=crude
metaphor ^nn++++=metaphor
( ^zz++++=(as
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
the ^ati++++=the
King ^nn++++=King
of ^in++++=of
Las ^np++++=Las
Bromas ^np+++??+=Bromas
de ^&fw++++=de
Fartos ^np+++??+=Fartos,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will):
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
a ^at++++=a
guy ^np++++=guy
comes ^vbz++++=comes
into ^in+ppvb+++=into
a ^at++++=a
dinner ^nn++++=dinner
party ^nn++++=party,
, ^zz++++=EXTRAWORD
takes ^vbz++++=takes
a ^at++++=a
dump ^nn++++=dump
on ^in++++=on
the ^ati++++=the
rug ^nn++++=rug
in ^in++++=in
the ^ati++++=the
living ^jj+atrb++xvbg+=living
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
guests ^nns++++=guests
get ^vb++++=get
excited ^jj+++xvbn+=excited,
, ^zz++++=EXTRAWORD
yell ^vb++++=yell
out ^rp+pl+++=out
in ^in++++=in
protest ^nn++++=protest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
takes ^vbz++++=takes
a ^at++++=a
second ^od++++=second
dump ^nn++++=dump.
. ^zz++++=EXTRAWORD
The ^ati++++=The
guests ^nns++++=guests
feel ^vb+vprv+++=feel,
, ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
yelling ^vbg+nom++xvbg+=yelling
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help.
. ^zz++++=EXTRAWORD
( ^zz++++=(While
while ^cs+sub+++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them
applaud ^vb++++=applaud
his ^pp$+pp3+++=his
audacity ^nn+nom+++=audacity.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
takes ^vbz++++=takes
a ^at++++=a
third ^nn++++=third
dump ^nn++++=dump,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb++++=still
no ^at++++=no
one ^cd1++++=one
throws ^vbz++++=throws
him ^pp3o+pp3+++=him
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
point ^nn++++=point,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sky ^nn++++=sky
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
the ^ati++++=the
limit ^nn++++=limit
in ^in++++=in
terms ^nns++++=terms
